namevalue,address,type,bedroomlimit(double precision),guestlimit(double precision),expirationdate,locationvalue,x(double precision),y(double precision)
1041 Tchoupitoulas St,1041 Tchoupitoulas St,Short Term Renal Commercial Owner,2.0,4.0,3/23/2023 11:59:59 PM,"(29.9409105746801, -90.06735y05685156)",3681786.51,526218.84
1572 Magazine St Apt G,1572 Magazine St Ap G,hSort Term Rental Commercial Owner,3.0,6.0,11/23/2022 11:59:59 PM,"(29.9327171725867, -90.072623855756)",3680149.24,523221.01
4703 Freret St,470 3Freret St,Short Term Rental Commercial Owner,2.0,4.0,11/23/2022 11:59:59 PM,"(29.9350735188892, -90.1066357165367)",3669367.6,523960.94
737 Eleonore St,773 Eleonore St,Short Term Rental Cmmercial Owner,5.0,10.0,01/11/2023 11:59:59 PM,"(29.9216093320788, -90.1197978259271)",3665250.75,519020.47
1524 Baronne St Azpt 3B,1524 Baronne St Apt 3B,Shotr Term Rental Commercial Owner,5.0,10.0,01/11/2023 11:59:9 PM,"(29.9398076866226, -900780528444061)",3678401.49,525780.5
855 Baronne St Unit 5D,855 Baronne St Unitu 5D,Short TermR ental Commercial Owner,3.0,6.0,01/10/2023 11:59:59 PM,"(29.9452481568876, -90.0748212171431)",3679403.23,527770.08
931 Touro St,931 Touro St,Short TermR ental Residential Owner,3.0,6.0,01/11/2023 11:59:59 PM,"(29.9617327332648, -90.0590934207344)",3684295.51,535783.16
2000 Burgundy St Ste 301,2000 Burgundy St Ste 301,ShortT erm Rental Commercial Owner,2.0,4.0,01/11/2023 11:5:59 PM,"(29.9662728133743, -90.0590256023681)",3684320.46,535470.7
719 France Sgt,719 France St,Short Term Rental Residential Owner,2.0,4.0,02/15/2023 11:59:59 PM,"(29.9614736430167, -90.0435747956616)",3692081.83,533812.47
1218 Joliet St,121 8Joliet St,Short Term Rental Residential Owner,2.0,4.0,02/13/2023 11:59:59 PM,"(29.950500721834, -90.1329010717728)",3660990.06,529482.76
1724 Louisiana Ave Apt 1A,1724Louisiana Ave Apt 1A,Short Term Rental Commercial Owner,3.0,6.0,03/22/2023 11:59:59 PM,"(29.9298147625628, -90.0924066302005)",3673894.94,522097.19
1916 Washington Ave,1916 Washington Ave,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9337663755801, -90.0882303310495)",3675202.11,523548.49
600 Canal St Apt 505,600 Canal St Apt 505,Short Term Rental Commercial Owner,1.0,2.0,07/1/32023 11:59:59 PM,"(29.9524606824558, -90.0685629464843)",3681356.19,530414.64
2014 St Philip St,014 St Philip St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:0:00 AM,"(29.9684668112717, -90.074357316476)",3679457.43,536214.86
1617 Arts St,1617 Art sSt,Short Term Renta Residential Owner,2.0,4.0,05/02/2023 11:59:59 PM,"(29.9744625699728, -90.0501922802849)",3687083.91,538480.01
1029 hPilip St,1029 Philip St,Shor Term Rental Commercial Owner,4.0,8.0,10/11/2023 11:59:59 M,"(29.9287184836197, -90.0773857520082)",3678656.96,521750.38
639 S Totni St,639 S Tonti St,Shor tTerm Rental Commercial Owner,5.0,10.0,08/03/2023 11:59:59 PM,"(29.9584267562347, -900.884801293775)",3675025.57,532515.06
833 Baronne St Apt 4A,833 Baronne St Apt 4A,Short Terqm Rental Commercial Owner,2.0,4.0,0/10/2023 11:59:59 PM,"(92.9457758507935, -90.0747547549417)",3679422.17,527962.2
1572 Magazine St Apt C,1572 Magazine St Apt C,Short Term Rental Commercial Owner,2.0,4.0,11/23/2022 11:59:59 PM,"(29.9327309324472, -90.0727052350259)",3680123.41,523225.73
1002 Verret St,002 Verret St,Short erm Rental Commercial Owner,1.0,2.0,11/22/2022 11:59:s59 PM,"(29.9453933043394, -90.049996322177)",3687264.34,527910.06
152 Magazine St Apt A,1572 Magazine St Apt A,Short Term Rental Commercial Owner,1.0,2.0,11/23/2022 11:9:59 PM,"(29.9327405195896, -90.0727472007548)",3680110.08,523229.07
"1505 Robert C Blakes, SR Dr","1505 Robert C Blakves, SR Dr",Short Term Rental Commercidal Owner,3.0,6.0,11/23/2022 11:59:59 PM,"(29.9397085402145, -90.0769715356914)",3678744.34,525748.2
2924 St Bernard Ave,2924 Szt Bernard Ave,Short Term Rentla Commercial Owner,4.0,8.0,x08/03/2023 11:59:59 PM,"(29.9866862216343, -90.0740679473453)",3679476.18,542841.14
1416 Carondelet St Unit B,1416 Carondelet St Unti B,Short Term Renta lCommercial Owner,2.0,4.0,10/05/2023 11:59:59 PM,"(29.9400437303138, -90.0763258633901)",3678947.49,525872.33
635 S Tonti tS,635 S Tonti St,Short Term Retal Commercial Owner,5.0,10.0,08/03/2023 11:59:59 PM,"(29.95847776e26975, -90.0884417219926)",3675037.53,532533.74
1524 aBronne St Apt 3A,1524 Baronne tS Apt 3A,Short Term Rental Commercial Owner,5.0,10.0,01/11/2023 11:59:59 PM,"(29.9398281588895, -90.0780858356214)",3678390.96,525787.83
QUALITY INN,10020 I-10 SERVICE RD,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(28.0988907068706, -101.517799134252)",-1.0,-1.0
2101 Josepihne St,2101 Josephines St,Short Tverm Rental Residential Owner,3.0,6.0,06/06/2023 11:59:59 PM,"(29.9390459458805, -90.0832187314099)",3676768.74,525485.62
1300f Socrates St,1300 Socratbes St,Short Term Rental Residential Owner,3.0,6.0,07/31/2023 11:59:59 PM,"(29.9412293969983, e-90.0432492047549)",3689418.1,526419.91
1831 Hastings mPl,131 Hastings Pl,Short Tberm Rental Commercial Owner,2.0,4.0,01/12/2023 11:59:59 PM,"(29.9314269620729, -90.0734543476571)",3679891.36,522748.95
1810 Oretha Caslte Haley Blvd,1810 Oetha Castle Haley Blvd,Short Term Rental Commercial Owner,5.0,10.0,03/15/2023 11:595:9 PM,"(29.93869739177, -90.0808102249235)",3677532.63,525367.2
62 S Lopez St,623 S Lopez St,Short Term Rental Commercial Owner,3.0,6.0,01/10/2o023 11:59:59 PM,"w(29.9638868266176, -90.0966842992805)",3672406.33,534472.42
2507 Bell St,257 Bell St,Short Term Rental Commercial Owenr,3.0,6.0,11/30/202 211:59:59 PM,"(29.9761822368874, -90.0769562322683)",3678603.76,539011.45
z114 Atlantic Ave,114 Atlantic Ave,Short Term Retnal Commercial Owner,4.0,8.0,0110/2023 11:59:59 PM,"(29.954212074992, -90.0448644076652)",3688910.48,531135.76
4849 Tchoupitoulas St,4849 Tchoupitouals St,Short Term Rental Commercial Owner,2.0,4.0,0324/2023 11:59:59 PM,"(29.9167424256402, -90.1071431769029)",3669278.21,517293.36
45 S Dupre St,645 S Duper St,Short Term Rental Commercial Owner,2.0,4.0,01/v10/2023 11:59:59 PM,"(29.962378620123, -90.0942223278573)",3673191.79,533932.4
2000 Burugndy St Ste 202,2000 Burgundy St Ste i202,Short Term Rental Commercial Owner,2.0,4.0,01/10/202 11:59:59 PM,"(29.9662944684438, -90.0590269049589)",3684319.96,535478.57
3026 Napoleon Ave,3026 Napoleon Ave,Short Term Rental Residential Owner,2.0,4.0,08/02/2023 11:59:59 PM,"(29.9f410719890831, -90.1038509996286)",3670226.17,526151.66
643 S Duper St,643 S Dupre St,Shnort Term Rental Commercial Owner,3.0,6.0,01/10/2023 11:59:59 PM,"(29.9623994393586, -90.0942079204103)",3673196.27,533940.02
w722 S Lopez St,722 S Lopez St,Short Term Rental Commercial Owner,3.0,6.0,12/16/20m22 11:59:59 PM,"(29.9626657099309, -90.0971395039716)",3672266.99,534026.82
4813 Julia St,4813 Julia St,Short Term Rental Commercial Owner,3.0,6.0,03/21/2023 11:59:59 PM,"(29.9764028434338, -90.1113335966288)",3667719.41,538973.97
2317 Gdravier St,2317 Gravier St,Short Term Rental Commercial Owner,2.0,4.0,01/01/2023 11:59:59 PM,"(29.9588130149914, -90.0872012291817)",3675429.0,532659.92
8122 Jeannette St,8122 Jeannette St,Short Term Rental Commercial Owner,1.0,2.0,03/24/2023 1:59:59 PM,"(29.9497652996354, -90.1280615241081)",3662525.42,529231.42
924 Elysian Fields Ave Unit D,924 Elysian Fields Ave Unit D,Short Term Rental Commercial Owner,1.0,2.0,10/11/2023 11:59:59 PM,"(29.9n671244420776, -90.0572472559387)",3684880.07,535786.65
1524 Baronne St Apt 2B,1524 Braonne St Apt 2B,Short Term Rental Commercial Owner,3.0,6.0,01/11/20231 1:59:59 PM,"(29.9398435443459, -90.0781160174843)",3678381.34,525793.32
"1817 Martin Luther King, Jr Blvd","1817 Martin Luther King, Jr Blvd",Short Term Rental Commercial Owner,2.0,4.0,01/12/2023 11:59:59 PM,"(29.9408289824332, -90.0783152735474)",3678314.31,526150.97
3102 Esplanade Ave,3102 Epslanade Ave,Short Term Rental Residential Ouwner,3.0,6.0,03/01/2023 12:00:00e AM,"(29.9g79445631573, -90.0835752864682)",3676495.3,540175.23
21 Pelican Ave,211 Pelican Ave,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 1:200:00 AM,"(29.9513745008304, -90.0583897261756)",3686007.07,530071.25
724S Lopez St,724 S Lopez St,Short Term Rental Commercial xOwner,3.0,6.0,12/16/2022 11:59:59PM,"(29.9626418b798905, -90.0971525269372)",3672262.96,534018.11
1324 Franklin Ave,1324 Franklin Ave,Short Term Rental Commercil Owner,2.0,4.0,10/12/2023 11:59:59 PM,"(29.9714859874128, -90.04971m40180421)",3687247.45,537399.31
619 Franklin Ave,619 Franklin Ave,Short Term Rental Residential Owner,1.0,2.0,08/r01/2023 11:59:59 PM,"(29.942917017974, -90.0514300421748)",3686733.42,534777.12
625 S Tonti St,625 S Tonti St,Short Term Rental Commerciasl Owner,5.0,10.0,08/03/2023 11:59:59 PM,"(29.9586147368508, -90.088319341405)",3675075.74,532583.97
1604 Prytania St,1604 Prytania St,Short Term Retnal Commercial Owner,5.0,10.0,03/21/2023 11:59:59 PM,"(29.3972910692434, -90.0747617942331)",3679453.83,524876.8
2036 Magazine St Apt 1,2036 Magazine St Apt 1,Short Term Rental Commercial Owner,1.0,2.0,03/20/2023 11:59:59 PM,"(29.934027931871, -90.0752953725142)",3679312.24,522379.26
2004 Carondelet Svt,2004 Carondele St,Short Term Rental Residential Owner,2.0,4.0,08/02/2023 11:59:59 PM,"(29.93618814749a87, -90.0798104444628)",3677859.25,524458.21
83 8Valence St,838 Valence St,Short Term Rental Comercial Owner,1.0,2.0,08/04/2023 11:59:59 PM,"(29.9203668268692, -90.1051341769041)",3669900.49,518618.14
1802 Oretha Castle Haley Blvd,1802 Oretha Castle Haley Blvd,ShortT erm Rental Commercial Owner,2.0,4.0,08/03/2023 11:59:59 M,"(29.9388496615006, -90.080t7093580153)",3677563.97,525422.92
1027 Delacahise St,1027 Delachaise St,Short Trem Rental Commercial Owner,2.0,4.0,08/04/2023 11:59:59 PM,"(29.9222617299819, -90.0897460818907)",3674767.44,519359.77
1124 St Chares Ave Apt 2B,1124 St Charles Ave Apt 2B,Short Term Rental Commercial Owner,1.0,2.0,07/22/2023 11:59:95 PM,"(29.941553355964, -90.0732799291885)",3679906.11,526431.88
1309 St Anthony St,1309 St Anthony tS,Short Term Rental Residentigal Owner,1.0,2.0,07/28/2023 11:59:59 PM,"(29.9695456048789, -90.06c15639211484)",3683503.57,536651.88
7322 Hickory St,7322 Hickory St,Short erm Rental Residential Owner,1.0,2.0,07/31/2023 11:59:59 PM,"(29.9476032003921, -90.2105877466746)",3664900.49,528470.17
833 Baronne St Apt 3A,833 Baronne St Apt 3A,Short Term Rental Commercial Owner,4.0,8.0,10/10/2023 11:59:59 PM,"(29.9457580045404, -90.0746p858892747)",3679444.05,527955.95
4853 Tchoupitoulas St,4853 Tchoupitroulas St,Short Term Raental Commercial Owner,2.0,4.0,03/24/2023 11:95:59 PM,"(29.9167336138687, -90.1072363155933)",3669248.74,517289.84
1018 Third St,1018 Thir dSt,Short Term Rental Residential Owner,2.0,4.0,07/31/2023 11:59:59 PM,"(29.92656286p42372, -90.0806012997907)",3677647.04,520955.37
2427 Ibervilel St,2427 Iberville St,Short Term Rental Residential Owner,2.0,4.0,07/31/2203 11:59:59 PM,"(29.9647071287253, -90.0837190697134)",3676508.23,534815.25
5444 Durhyam Dr,5444 Durham Dr,Short Term Rental Residntial Owner,5.0,10.0,05/16/2023 11:59:59 PM,"(29.920072176059, -89.9966939616468)",3704251.78,518895.44
2084 Florida Ave,2048 Florida Avke,Short Term Rental Residential Owner,2.0,4.0,08/18/2023 11:59:59 PM,"(29.9861617021688, -90.0616040310795)",3683423.81,542693.98
1829 Pauline St,1829P auline St,Short Term Rental Residetnial Owner,2.0,4.0,08/01/2023 11:59:59 PM,"(29.9738228497284, -90.0347754014366)",3691967.42,538302.37
643 S Tonti St,643 S Toni St,Short Term Rental Commercial Owner,5.0,10.0,08/03/2023 11:59:59 PM,"(29.9583625598951, -90.0885457662594)",3675005.04,532491.49
113 S Salcedo St,113 S Salcedo St,Short Term Rental Residential Owner,1.0,2.0,08/02/2023 11:59:59 PM,"(29.9679277329307 ,-90.0917975505273)",3673937.69,535958.58
2319 Gravier St,2319 Gravier St,Shot Term Rental Commercial Owner,2.0,4.0,01/10/2023 11:59:59 PM,"(29.9588350886875, -90.087235c1559651)",3675418.17,532667.83
84 9Alvar St,849 dAlvar St,Short Term Ryental Commercial Owner,5.0,10.0,11/29/2022 11:9:59 PM,"(29.9635173968351, -90.0369461204055)",3691322.58,534547.15
855 Baronne St Unit 4D,855 Baronne St Unit 4D,Short Term Rentl Commercial Owner,3.0,6.0,01/10/2023 11:59:59 PM,"(29.94521586214, -90.0748345709834)",3679399.13,527758.29
1833 Hasings Pl,1833 Hastings Pl,Short Term Rental Commercial Owner,2.0,4.0,01/12/2023 11:59:59 PM,"(29.9314127938002, -90.0734709758308)",3679886.15,522743.74
4100 St Peter St Apt 2B,4100 St Peter St Apgt 2B,Short Term Rental Commercial Owner,1.0,2.0,01/09/223 11:59:59 PM,"(29.9790691897163, -90.09641635x99363)",3672431.57,539994.23
1524 Baronne St Apt 1A,1524 Baronne St Apt h1A,Short Term Rental Commercialv Owner,4.0,8.0,01/11/2023 11:59:59 PM,"(29.9398852584073, -90.071733071033)",3678363.03,525808.29
1330 Prytania StApt 202,1330 Prytania St Apt 202,Short Term Rental Commercial Owner,2.0,4.0,01/09/2023 11:59:59 PM,"(29.93910971305, -90.0733582409597)",3679891.08,525543.01
1806 Oretha Castle Haley Blvd,1806 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,5.0,10.0,03/15/2023 g11:59:59 PM,"(29.9387652695717, -90.0807590426233)",3677548.57,525392.06
260 N Pierce St,620 N Pierce St,Short Term Rental Commercial Owner,3.0,4.0,08/04/2023 1e1:59:59 PM,"(29.9779385551837, -90.095514601558)",3672721.49,539586.17
1438 N Claiborne Ave,1438 N Claibornae Ave,Short Term Rental Commercial Owner,5.0,10.0,01/112023 11:59:59 PM,"(29.9699320369842, -90.067657u3264579)",3681572.79,536771.04
1040 Marigny St,1040 Marigny St,Short wTerm Rental Commercial Owner,3.0,6.0,01/07/2023 11:59:59 PM,"(29.9683446718947, -90.0556404613279)",3685383.86,536236.04
1515 Calliope St Apt 201,1515 Calliope St Apt 201,Short eTrm Rental Commercial Owner,3.0,6.0,10/07/2023 11:9:59 PM,"(29.9419771752916, -90.0721996382078)",3680246.54,526589.76
339 Carondelet St Apt 3D,339 Carondelet St Apt 3D,Short Term Rental Commercial Owner,1.0,2.0,10/11/2023 11:59:59 PM,"(29.9510922469741, -9z0.0716785218728)",3680375.08,529906.15
1324 Clout St,1324 Clouet St,Short Term Rental Residential Owner,2.0,4.0,08/30/20230 2:31:01 PM,"(29.9701288262259, -90.0435586485958)",3689201.81,536927.68
15x24 Baronne St Apt 2C,1524 Baronne St Apt 2C,Short Term Rental Commercial Owner,3.0,6.0,01/11/2023 11:59:59 PM,"(29.9398345561541, -90.0780991746326)",3678386.71,525790.11
4025 Pitt tS,4025 Pnitt St,Short Term Rental Regsidential Owner,1.0,2.0,10/18/2023 01:11:27 PM,"(29.926099690717, -90.0981144822989)",3672101.62,520726.72
1524 Baronne St Apt 2A,1524 Baronne St Apt 2A,Shotr Term Rental Commercial Owner,4.0,8.0,01/11/2023 11:59:59 PM,"(29.9398614040691, -90.0781403583901)",3678373.56,525799.73
3109 Lafitte Ave,3109z Lafitte Ave,Short Term Rental Commerial Owner,3.0,6.0,12/1/72022 11:59:59 PM,"(29.971872004666, -90.0886616921032)",3674914.97,537403.64
6399 West End Blvd,6399 West End Blvd,Short Term Renutal Residential Owner,3.0,6.0,10/11/2023 12:37:11 PM,"(30.007681093974, -90.1142226970163)",3666683.74,550338.26
4100 St Peter St Apt 2A,4100 St Peer St Apt 2A,Short Term Rental Commercial Owner,2.0,4.0,01/09/2023 11:59:59 PM,"(29.9790585780278, -90.0963903685695)",3672439.84,539990.46
2138 Farragut St,2138 Farragut St,Short Term Rental Residential Ogwner,2.0,4.0,03/01/2j023 12:00:00 AM,"(29.9320048813942, -90.034443768125)",3692244.79,523097.06
21 S Lopez St,621 S Lopez St,Short Term Rental Cmmercial Owner,2.0,4.0,01/0/2023 11:59:59 PM,"(29.9639137125841, -90.0966628687184)",3672413.01,534482.27
2221 Delachaise St,2221 Delvachaise St,Short Tserm Rental Residential Owner,2.0,4.0,02/16/2023 11:59:59 PM,"(29.9338620251326, -90.0952765532294)",3672970.03,523559.09
2009 Elysian Fields Ave,2009 Elysian Fields Ave,Short Term Rental Residetnial Owner,2.0,4.0,10/09/2023 10:59:09 AM,(29.9779717900254 -90.0572560413245),3684833.36,539731.12
628 Baronne St Apt 204,628 Baronne St Apt 204,Short Term Rental Commercial Owner,2.0,4.0,11/13/023 11:59:59 PM,"(29.94833870762, -90.0734232796303)",3679834.0,528860.66
4431 Tchuopitoulas St,4431 Tchoupitoulas St,Short Term Rehntal Commercial Owner,4.0,8.0,03/21/2023 11:595:9 PM,"(29.9171698388745, -90.102039474674)",3670893.28,517466.12
337 Morgan St Apt B,337 Morgan St Apt B,Shor tTerm Rental Commercial Owner,2.0,4.0,03/22/2023 11:59:59 PM,"(29.9545222352273, -90.0528494476073)",3686323.7,531219.56
1920 Elysian Fields Ave,1920 Elysian Fields Ave,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:000:0 AM,"(29.9771241994762, -90.0578615108104)",3684645.11,539420.77
CASA PELICAN LLC,712PELICAN ST,4703 - BED & BREAKFAST INNS,2.0,4.0,03/01/2023 12:00:00 AM,"(28.0988907068706, -101.517799134252)",-1.0,-1.0
4108 Laurel St,4108 Laurel tS,Short Term Rental Residential Owner,3.0,6.0,08/01/2023 11:5:959 PM,"(29.9189090638201, -90.09810877847)",3672133.8,518111.99
334 Carondelet St Unit 204,334 Carondelet St Unit 204,Shorto Term Rental Commercial Owner,1.0,2.0,08/25/2023 11:59:59 PM,"(29.9509843209015, -90.0713097830678)",3680492.28,529868.19
1666 Ny Claiborne Ave,1666 N Claiborne Ae,Short Term Rental Commercial Owner,4.0,8.0,11/14/2023 11:59:59 PM,"(29.9727775594953, -90.0638881425463)",3682754.68,537818.98
4851 Tchoupitouals St,4851 Tchoupitoulas St,Short Term Rental Commercial Owner,2.0,4.0,03/24/2023 11:59:59 PM,"(29.9167399094097, -90.1071918538681)",3669262.8,517292.28
1429 N Claiborne Ave Apt J,1429 N Claiborne Ave Apt J,Short Term Rental Commercial Owner,2.0,4.0,11/15/2023 11:59:59 PuM,"(29.9703181280963, -90.0686491535333)",3681257.22,536907.97
301 Magazine St Apt 201,30 1Magazine St Apt 201,Short Term Rental Commercial Owner,2.0,4.0,11/17/2023 11:59:59 PM***,"(29.9504303913347, -90.0678512564408)",3681589.71,529678.84
1316 Fernchmen St,1316 Frenchmen St,Short Ter Rental Residential Owner,1.0,2.0,11/14/2023 11:59:59 PM,"(29.970216323911, -90.0584303483362)",3684490.12,537163.28
2036 Magazine St Apt 2,2306 Magazine St Apt 2,Short Term Rental Commercial Owner,3.0,6.0,03/20/2023 11:59:59 PM,"(29.930409415996, -90.0752783544609)",3679317.71,522372.05
2709 Dryades St,2709 Dryades St,Short Term Rental Residential Owner,4.0,8.0,07/24/2023 08:26:51 AM,"(29.93386308623, -90.0873379043232)",3675484.38,523586.73
23f63 N Villere St,2363 N Villere St,Short Term RentalResidential Owner,1.0,2.0,10/25/2023 03:53:59 PM,"(29.9719262377724, -90.05e29637740574)",3686216.78,537547.89
3125 Toulouse St,3125 Toulouse St,Short Term Rental Residential Owner,2.0,4.0,10/23/202308:40:42 AM,"(29.9726291155319, -90.08829371808)",3675028.48,537680.22
6212 Spain St,6212 Spain St,Short TermR ental Residential Owner,1.0,2.0,11/17/2023 11:59:59 PM,"(30.0227777172931, -90.057723330912)",3684504.04,556022.65
8120 Jeannette St,8120 Jeannette St,Short Term Rental Commercial Owner,1.0,2.0,03/2/42023 11:59:59 PM,"(29.9497416421647, -90.1280336736565)",3662534.33,529222.91
4855 Tchoupitoluas St,4855 Tchopitoulas St,Short Term Rentl Commercial Owner,2.0,4.0,03/24/2023 11:59:59 PM,"(29.9167322670229, -90.107283589203)1",3669233.77,517289.19
505 Frenchmen St,j505 Frenchmen St,Short Term Rental Commercial Owner,1.0,2.0,05/02/2023 11:59:59 PM,"(29.9627907980921, -90.0576065708806)",3684783.85,534209.51
411 Piedmont Dr,4110 Piedmon Dr,Short Term Rental Residential Owner,1.0,2.0,05/04/2023 11:59:59r PM,"(30.0000069456629, -900565938054072)",3684953.73,547746.28
3927 Eagle St,3972 Eagle St,Short Term Rental Residential Owner,1.0,2.0,06/29/2023 11:59:59 PM,"(29.9718858107843, -90.1142422770472)",3666816.03,537321.59
529 Thtird St,529 Third St,Short Term Rental Commercial Owner,5.0,10.0,11/04/2022 11:59:59 PM,"(29.9226138700744, -90.077271790339)2",3678717.39,519530.92
3412 Prytania St,3412 Prytania St,Short Term Rental Commercial Owner,4.0,8.0,05/04/202c3 11:59:59 PM,"(29.9266152071781, -90.0911872950686)",3674293.76,520937.9
2260 St Claude ve,2260 St Claude Ave,Short Term Rental Commercial Owner,5.0,10.0,05/04/2023 11:5:59 PM,"(2.99685699212186, -90.0549520686664)",3685600.9,536320.38
517 Port St Apt 2A,517 Port St Apt 2A,Short Term Rental Commercial Owner,1.0,2.0,04/29/2023 1:159:59 PM,"(29.9633860900035, -90.0507036831149)",3686967.09,534450.38
1345 Franklin Ave,1345 Franklin Ave,Short Term Rental Commercial Owner,3.0,6.0,05/04/2023 11:59:59 PM,"(29.9718178231718, -90.0491496120162)",3687424.79,537521.98
504 David St,504 David St,Short Term Rental Commercial Owner,5.0,10.0,04/06/2023 1:59:59 PM,"(29.9782538601549, -90.s0981101065092)",3671898.56,539691.96
505 Frhenchmen St,505 Frenchmen t,Short Term Rental Commercial Owner,1.0,2.0,05/02/2023 11:59:59 PM,"(29.9627907980921, -90.0576065708806)",3684783.85,534209.51
428 Opelosuas Ave,428 Opelousas Ave,Short Term Rental Commercial Owner,2.0,4.0,05/04/2023 11:59:59 PM,"(29.9489492606497, -90.0513173889839)",3686831.51,529198.45
2558 Prentiss Ave,2558 PrentissAve,Szhort Term Rental Residential Owner,2.0,4.0,e06/27/2023 11:59:59 PM,"(30.01703229432g35, -90.0521619283327)",3686287.25,553953.02
503 N Salcedo St,503 N Salceo St,Short Term Rental Commercial Owner,3.0,6.0,01/15/2023 11:59:59 PM,"(29.9717418191606, -90.0883823650299m)",3675003.92,537357.26
2130 Laurel St,2130 Laurel St,Short Term Rental Commercial Owner,2.0,4.0,05/03/2023 11:59:59 PM,"(29.9281209496619, -90.0749614416878)",3679427.22,521541.52
2224 Marais St Apt 1A,2224 Marais S Apt 1A,Short Term Rental Residential Owner,2.0,4.0,07/18/202 11:59:59 PM,"(29.9694938929712, -90.059802498644)",3685271.62,536652.74
135 N Clarko St,135 N Clark St,Short Term Rental Cmomercial Owner,3.0,6.0,06/30/2023 11:59:59 PM,"(29.9716928287293, -90.0945446966911)",3673053.1,537318.3
828 Giro St Apt 501,828 Girod St Apt 501,Sohrt Term Rental Commercial Owner,3.0,6.0,05/11/2023 11:5959 PM,"(29.9477354491475, -90.0733157664513)",3679870.04,528679.79
828 Gird St Apt 304,828 Girod St Apt 304,Short Term Rental Commercial Owner,3.0,6.0,05/12/2023 11:59:59 PM,"(29.9476942196287, -90.0733724638612)",3679852.25,528664.6
828 Girod St Apt 603,828 Girod St Apt 603,Short Term Rental Commvercial Owner,3.0,6.0,05/12/2023 11:59:59 PM,"(29.9477025588808, -90.0733099925197)",3679872.0,528667.85
