2345.locationvalue,"(29.950840295232, -90.0713554986585)","(29.9508403295232, -90.0713554986585)"
121.expirationdate,11/17/2023 11:59:59 PM***,11/17/2023 11:59:59 PM
1414.locationvalue,"(29.963704735897, -90.0561796136561)","(29.9637047358987, -90.0561796136561)"
109.address,2221 Delvachaise St,2221 Delachaise St
2568.expirationdate,03/01/2023 12:00:0 AM,03/01/2023 12:00:00 AM
1973.namevalue,HE SYD,THE SYD
352.address,733 Constantinople tS,733 Constantinople St
1641.expirationdate,01/04/i2023 11:59:59 PM,01/04/2023 11:59:59 PM
2550.expirationdate,03/01/2023 1u2:00:00 AM,03/01/2023 12:00:00 AM
2607.address,631 Royal St,2631 Royal St
2264.expirationdate,8/29/2023 11:59:59 PM,08/29/2023 11:59:59 PM
583.address,420 S Bernadotte St***,420 S Bernadotte St
1425.namevalue,HYATT FRENCH kQUARTER,HYATT FRENCH QUARTER
2693.namevalue,r834 Bartholomew St,834 Bartholomew St
1883.locationvalue,"(29.9662903846042, -90.0595793871j045)","(29.9662903846042, -90.0595793871045)"
1031.expirationdate,06/07/2023 11:59:59 M,06/07/2023 11:59:59 PM
2273.locationvalue,"(29.965304287944, -90.042005463634)","(29.9653042879484, -90.042005463634)"
1235.namevalue,101 Fourth St Unit B,1017 Fourth St Unit B
33.namevalue,639 S Totni St,639 S Tonti St
1812.namevalue,731 Jackson uAve,731 Jackson Ave
2271.type,Shrot Term Rental Residential Owner,Short Term Rental Residential Owner
1207.type,4703 p- BED & BREAKFAST INNS,4703 - BED & BREAKFAST INNS
1264.type,Short Term Rental Residentiasl Owner,Short Term Rental Residential Owner
47.address,1810 Oetha Castle Haley Blvd,1810 Oretha Castle Haley Blvd
2674.address,123 4Magazine St,1234 Magazine St
1173.locationvalue,"(29.916655419858, -90.11053399399)","(29.9166557419858, -90.11053399399)"
2058.address,605 S uSolomon St,605 S Solomon St
1587.namevalue,2726 JeffersonA ve,2726 Jefferson Ave
1753.expirationdate,01/06/20t23 11:59:59 PM,01/06/2023 11:59:59 PM
2499.type,Short Term Rentasl Residential Owner,Short Term Rental Residential Owner
2317.namevalue,1572 Magazin eSt Apt D,1572 Magazine St Apt D
361.address,1210 S Rampart St nit 2A,1210 S Rampart St Unit 2A
650.address,916 St Frdinand St A,916 St Ferdinand St A
2607.expirationdate,3/01/2023 12:00:00 AM,03/01/2023 12:00:00 AM
1644.expirationdate,03/01/2023 12e:00:00 AM,03/01/2023 12:00:00 AM
445.type,Short Term Rental Commercil Owner,Short Term Rental Commercial Owner
1052.locationvalue,"(29.9275504046946, -9e0.0747859316082)","(29.9275504046946, -90.0747859316082)"
823.namevalue,4327 N Derbign St,4327 N Derbigny St
1356.type,Short Term RentalResidential Owner,Short Term Rental Residential Owner
1895.namevalue,3111 Franklin Ave,1311 Franklin Ave
1155.type,4703  -BED & BREAKFAST INNS,4703 - BED & BREAKFAST INNS
2466.expirationdate,03/1/2023 12:00:00 AM,03/01/2023 12:00:00 AM
1990.namevalue,ROYAL SONESTA pHOTEL,ROYAL SONESTA HOTEL
1240.expirationdate,03g/01/2023 12:00:00 AM,03/01/2023 12:00:00 AM
1146.address,1234 CHARTERS ST,1234 CHARTRES ST
1724.locationvalue,"(29.9579241775608, -9.0678353933293)","(29.9579241775608, -90.0678353933293)"
1188.expirationdate,08/22/203 11:59:59 PM,08/22/2023 11:59:59 PM
1132.namevalue,92 6Mazant St,926 Mazant St
2655.namevalue,1020 N Carrollotn Ave,1020 N Carrollton Ave
1717.namevalue,73 Poland Ave Apt B,730 Poland Ave Apt B
2308.type,Short zTerm Rental Residential Owner,Short Term Rental Residential Owner
95.expirationdate,08/04/2023 1e1:59:59 PM,08/04/2023 11:59:59 PM
2564.address,1022 Rpace St Apt 3,1022 Race St Apt 3
2690.locationvalue,"(29.9192855212012, -90.106309241319)","(29.9192855212012, -90.1063092401319)"
96.locationvalue,"(29.9699320369842, -90.067657u3264579)","(29.9699320369842, -90.0676573264579)"
1080.expirationdate,0/01/2023 12:00:00 AM,03/01/2023 12:00:00 AM
1858.type,Short Term Rental Commercial Ownr,Short Term Rental Commercial Owner
1177.type,Short Term Rental Reidential Owner,Short Term Rental Residential Owner
1645.locationvalue,"(29.9599363707562, -90.0675269275604)","(29.9599363707562, -90.0675269276504)"
2392.locationvalue,"29.9468643094538, -90.0684782641699)","(29.9468643094538, -90.0684782641699)"
315.namevalue,1101 S Dupre eSt,1101 S Dupre St
653.expirationdate,04f/11/2023 11:59:59 PM,04/11/2023 11:59:59 PM
2669.address,534 Washington Ave,1534 Washington Ave
1182.namevalue,382 Canal St,3826 Canal St
2489.namevalue,1908 Cabmronne St,1908 Cambronne St
154.address,1109 Eirato St,1109 Erato St
587.address,3529 St Clwaude Ave,3529 St Claude Ave
407.locationvalue,"(29.9838176236154, -900.44438660997)","(29.9838176236154, -90.044438660997)"
681.expirationdate,04/12/2023 11:59o:59 PM,04/12/2023 11:59:59 PM
2607.namevalue,2631 oyal St,2631 Royal St
424.namevalue,925 N Carrollton Ave qA,925 N Carrollton Ave A
1645.expirationdate,03/01/2023 12:00:00 MA,03/01/2023 12:00:00 AM
404.expirationdate,12/02f/2022 11:59:59 PM,12/02/2022 11:59:59 PM
724.type,Short Tevrm Rental Residential Owner,Short Term Rental Residential Owner
2011.type,Short Term Rental Residetnial Owner,Short Term Rental Residential Owner
1920.address,924 GOVERNOR NICOLLS ST,924 GOVERNOR NICHOLLS ST
873.type,Short Term Rental Commecrial Owner,Short Term Rental Commercial Owner
1504.type,Shot Term Rental Residential Owner,Short Term Rental Residential Owner
46.namevalue,1831 Hastings mPl,1831 Hastings Pl
599.type,Short Term Rental Comercial Owner,Short Term Rental Commercial Owner
2671.type,Short Term Rentanl Residential Owner,Short Term Rental Residential Owner
1024.expirationdate,07/12/0223 11:59:59 PM,07/12/2023 11:59:59 PM
1706.type,Short Term Rental Residentia Owner,Short Term Rental Residential Owner
897.namevalue,900 aBrtholomew St Unit 305,900 Bartholomew St Unit 305
1657.address,1001 CARTRES ST,1001 CHARTRES ST
2777.locationvalue,"(29.924772577366,a -90.0742436287477)","(29.924772577366, -90.0742436287477)"
452.locationvalue,"(29.9446936857202, -90.001524361267)","(29.9446936857202, -90.0501524361267)"
1133.namevalue,1428N Claiborne Ave B,1428 N Claiborne Ave B
389.type,Short Term Rental Residentiayl Owner,Short Term Rental Residential Owner
629.type,Short Term Rnetal Residential Owner,Short Term Rental Residential Owner
629.expirationdate,05/25/2n023 11:59:59 PM,05/25/2023 11:59:59 PM
2663.locationvalue,"(92.9171182404821, -90.1029084516557)","(29.9171182404821, -90.1029084516557)"
1730.type,Short Term Rental Residential Ownker,Short Term Rental Residential Owner
1667.address,111 TULANE AVE,1111 TULANE AVE
1787.type,Short Term Rental Rseidential Owner,Short Term Rental Residential Owner
257.namevalue,710B aronne St Apt 201,710 Baronne St Apt 201
1837.locationvalue,"(29.967341057685, -90.0613420031851)","(29.9673461057685, -90.0613420031851)"
2471.expirationdate,09/12/2023 11:59:59f PM,09/12/2023 11:59:59 PM
377.type,Short Term Renal Commercial Owner,Short Term Rental Commercial Owner
2724.type,Sohrt Term Rental Commercial Owner,Short Term Rental Commercial Owner
1710.type,Shor tTerm Rental Commercial Owner,Short Term Rental Commercial Owner
2689.locationvalue,"(29.977893922465, -90.0735253945865)","(29.9778939227465, -90.0735253945865)"
2610.expirationdate,0/01/2023 12:00:00 AM,03/01/2023 12:00:00 AM
997.address,929 Pieyt St,929 Piety St
1328.address,1328 Esplanade vAe Apt 2A,1328 Esplanade Ave Apt 2A
799.address,3673r Tchoupitoulas St,3673 Tchoupitoulas St
2440.type,Short Term Rental CommercialOwner,Short Term Rental Commercial Owner
1127.locationvalue,"(29.938303127919, -90.09031814616)","(29.938303127919, -90.109031814616)"
1401.locationvalue,"(29.9585637282188, -90.088386582510z6)","(29.9585637282188, -90.0883865825106)"
1504.expirationdate,03/01/2023 12:00:0 AM,03/01/2023 12:00:00 AM
374.locationvalue,"(29.9268x369463469, -90.0789956251387)","(29.9268369463469, -90.0789956251387)"
1427.expirationdate,03/01/2023 12:0:00 AM,03/01/2023 12:00:00 AM
1765.address,2632 S Derbgny St,2632 S Derbigny St
987.namevalue,3 0Neron Pl,30 Neron Pl
1905.address,507 S Pirce St,507 S Pierce St
279.namevalue,1808 Hastings lP Apt A,1808 Hastings Pl Apt A
1058.namevalue,1902 harbonnet St,1902 Charbonnet St
357.address,3400 Npaoleon Ave,3400 Napoleon Ave
1642.namevalue,1684 N Claborne Ave,1684 N Claiborne Ave
2333.namevalue,2319A dams St,2319 Adams St
1843.locationvalue,"(29.9509746940956, -90.0712239157598)","(29.9509746940956, -90.0712293157598)"
2390.address,741 Esplanae Ave Unit 11,741 Esplanade Ave Unit 11
1783.type,kShort Term Rental Residential Owner,Short Term Rental Residential Owner
423.address,17 ORLEANS AVE,717 ORLEANS AVE
1131.type,Short Term Rental Reqsidential Owner,Short Term Rental Residential Owner
1455.namevalue,4231 Genera Pershing St,4231 General Pershing St
2131.locationvalue,"(29.9524190318675,-90.0685527374712)","(29.9524190318675, -90.0685527374712)"
2508.address,1824 Bienvwille Ave,1824 Bienville Ave
762.expirationdate,06/08/20231 1:59:59 PM,06/08/2023 11:59:59 PM
8.expirationdate,11/03/2022 11:59p:59 PM,11/03/2022 11:59:59 PM
474.type,Shrot Term Rental Residential Owner,Short Term Rental Residential Owner
2288.address,736 S Lopez Sgt,736 S Lopez St
1057.address,2627 Aubry tS,2627 Aubry St
2727.type,4701 - HOTELS (EXC CASINO HOTELS )& MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
584.address,2226 Columbu St,2226 Columbus St
1424.expirationdate,03/1r4/2023 11:59:59 PM,03/14/2023 11:59:59 PM
1182.expirationdate,08/24/20231 1:59:59 PM,08/24/2023 11:59:59 PM
2381.locationvalue,"(29.93292033057m6, -90.0725910108758)","(29.932920330576, -90.0725910108758)"
1327.namevalue,463 Chestnut St,4603 Chestnut St
2169.type,Short Term Renta lResidential Owner,Short Term Rental Residential Owner
2112.type,Short Term Rental Residenital Owner,Short Term Rental Residential Owner
2455.address,726 Constance St,3726 Constance St
2532.address,219 N Tont iSt,219 N Tonti St
963.namevalue,1024 Sixth St Apt 23,1024 Sixth St Apt 203
1976.expirationdate,0301/2023 12:00:00 AM,03/01/2023 12:00:00 AM
1665.locationvalue,"(29.9693864827183, -900720616161758)","(29.9693864827183, -90.0720616161758)"
1528.locationvalue,"(29.9284322657828, -90.0682881626541)","(29.9284322657882, -90.0682881626541)"
2337.namevalue,1209 Magazie St,1209 Magazine St
544.locationvalue,"(29.9750553723491, -90.0990026763118)","(29.9750553723491, -90.0990026673118)"
50.expirationdate,0110/2023 11:59:59 PM,01/10/2023 11:59:59 PM
34.expirationdate,0/10/2023 11:59:59 PM,10/10/2023 11:59:59 PM
1525.locationvalue,"(29.9737259021727, -0.081632514747)","(29.9737259021727, -90.081632514747)"
792.expirationdate,06/16/2203 11:59:59 PM,06/16/2023 11:59:59 PM
1213.address,23096 Chef eMenteur Hwy,23096 Chef Menteur Hwy
1026.type,Shotr Term Rental Residential Owner,Short Term Rental Residential Owner
358.address,705 Camp St Apt202,705 Camp St Apt 202
3.namevalue,624 Sh Miro St,624 S Miro St
1944.expirationdate,3/01/2023 12:00:00 AM,03/01/2023 12:00:00 AM
2681.namevalue,2040 Louisca St,2040 Louisa St
914.address,131 Barracks St,1312 Barracks St
1589.address,2509 Peniston St Apt 120,2509 Peniston St Apt 102
2503.address,15j70 N Dorgenois St,1570 N Dorgenois St
1921.type,4701 - HOTELS (EXC CASINO HOTELS)& MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
1393.locationvalue,"(29.9373930082986, -901084428455935)","(29.9373930082986, -90.1084428455935)"
436.namevalue,617 Cnaal St Apt 201,617 Canal St Apt 201
91.expirationdate,01/09/223 11:59:59 PM,01/09/2023 11:59:59 PM
1240.namevalue,1523 DesireS t,1523 Desire St
1085.locationvalue,"(29.91891g3461653, -90.0963136851403)","(29.918913461653, -90.0963136851403)"
2484.namevalue,3137 Dumain eSt,3137 Dumaine St
1885.address,900 BartholomewS t Unit 414,900 Bartholomew St Unit 414
535.address,425 Thalia St,1425 Thalia St
2678.address,3001 St Ann mSt,3001 St Ann St
2001.namevalue,10140 Hane Blvd 202,10140 Hayne Blvd 202
1830.address,3810 RYAL ST,3810 ROYAL ST
1292.type,Short Term Rental Residentialp Owner,Short Term Rental Residential Owner
1427.address,708 URSULINES VAE,708 URSULINES AVE
2277.expirationdate,03/01/202 312:00:00 AM,03/01/2023 12:00:00 AM
406.namevalue,833 Baronne St Atp 2A,833 Baronne St Apt 2A
2295.namevalue,WYNDHAM LA BELLE AISON,WYNDHAM LA BELLE MAISON
78.locationvalue,"(29.9457580045404, -90.0746p858892747)","(29.9457580045404, -90.0746858892747)"
2439.expirationdate,09/11/2023 01:34:23 MP,09/11/2023 01:34:23 PM
445.locationvalue,"(29.9469730542421, -90.0702913620107j)","(29.9469730542421, -90.0702913620107)"
245.address,2421 Cheartres St,2421 Chartres St
533.expirationdate,04/26/0223 11:59:59 PM,04/26/2023 11:59:59 PM
1030.address,1715 S Dzupre St,1715 S Dupre St
1460.locationvalue,"(29.9651717001607, -9.00364666764789)","(29.9651717001607, -90.0364666764789)"
1912.type,470h3 - BED & BREAKFAST INNS,4703 - BED & BREAKFAST INNS
2016.type,ShortT erm Rental Commercial Owner,Short Term Rental Commercial Owner
2719.address,2430 Frenhcmen St,2430 Frenchmen St
1865.expirationdate,03/01/2023 12:00:0 AM,03/01/2023 12:00:00 AM
582.namevalue,334 Carondelet sSt Unit 211,334 Carondelet St Unit 211
2214.expirationdate,06/28/x2023 11:59:59 PM,06/28/2023 11:59:59 PM
1176.locationvalue,"(29.945683o4442128, -90.0714895844918)","(29.9456834442128, -90.0714895844918)"
961.type,Short Term Rental Rescidential Owner,Short Term Rental Residential Owner
256.namevalue,4320 Dh'emecourt St,4320 D'hemecourt St
2551.locationvalue,"(29.9260697734296, -90.081050270702)","(29.9260697734296, -90.0810502702702)"
1228.address,1115 Margaret Pl Unit 10c2,1115 Margaret Pl Unit 102
1622.type,4701 - HOTELS (EXC CASINO HOELS) & MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
236.type,Short Term Rental Commerial Owner,Short Term Rental Commercial Owner
1875.namevalue,EMPeRESS HOTEL,EMPRESS HOTEL
2687.expirationdate,0301/2023 12:00:00 AM,03/01/2023 12:00:00 AM
2129.locationvalue,"(29.9197962619399, -90.090932598042)","(29.9197962619399, -90.0909325980642)"
2652.address,1022l Philip St,1022 Philip St
2016.locationvalue,"(29.9519463419132, -90.0174807428984)","(29.9519463419132, -90.0714807428984)"
808.expirationdate,06n/12/2023 11:59:59 PM,06/12/2023 11:59:59 PM
2516.address,711S  Peters St Apt 309,711 S Peters St Apt 309
23.type,Short TermR ental Residential Owner,Short Term Rental Residential Owner
2670.type,ShortTerm Rental Residential Owner,Short Term Rental Residential Owner
1001.type,Short Term Rental Commercil Owner,Short Term Rental Commercial Owner
1802.namevalue,812 Gravire St Apt 514,812 Gravier St Apt 514
2498.expirationdate,10/23/2023 11:59:5 9PM,10/23/2023 11:59:59 PM
110.locationvalue,(29.9779717900254 -90.0572560413245),"(29.9779717900254, -90.0572560413245)"
1708.expirationdate,03/01/2023 12:00:00AM,03/01/2023 12:00:00 AM
2603.type,hort Term Rental Residential Owner,Short Term Rental Residential Owner
79.expirationdate,03/24/2023 11:95:59 PM,03/24/2023 11:59:59 PM
1577.namevalue,3540 Louisiana Avenue Prkwy,3504 Louisiana Avenue Prkwy
2272.locationvalue,"(29.9854621644674, -90.069503448185)","(29.9854621644674, -90.0695303448185)"
1315.expirationdate,10n/19/2023 11:59:59 PM,10/19/2023 11:59:59 PM
402.locationvalue,"(29.9686802233563, -90.093998678398)","(29.9686802233563, -90.0939986783918)"
518.expirationdate,09/2j8/2023 05:45:09 AM,09/28/2023 05:45:09 AM
901.expirationdate,70/05/2023 11:59:59 PM,07/05/2023 11:59:59 PM
45.namevalue,1300f Socrates St,1300 Socrates St
2294.expirationdate,05/31/2023 11:5c9:59 PM,05/31/2023 11:59:59 PM
65.type,Short Term Rental Commercial xOwner,Short Term Rental Commercial Owner
2039.expirationdate,0/721/2023 11:59:59 PM,07/21/2023 11:59:59 PM
1058.type,Short Term Retnal Residential Owner,Short Term Rental Residential Owner
2494.type,Short Term Rental Residenital Owner,Short Term Rental Residential Owner
850.expirationdate,60/14/2023 11:59:59 PM,06/14/2023 11:59:59 PM
2488.namevalue,2634 Ursulnies Ave,2634 Ursulines Ave
686.namevalue,628 Kerelrec St,628 Kerlerec St
2388.expirationdate,10/12/2v023 08:36:57 AM,10/12/2023 08:36:57 AM
1243.namevalue,512 Verbena St,2512 Verbena St
631.namevalue,1022 Race St Aptu 5,1022 Race St Apt 5
601.expirationdate,03/31/2023 11:5959 PM,03/31/2023 11:59:59 PM
2686.expirationdate,03/01/2023 12:00:0r0 AM,03/01/2023 12:00:00 AM
2008.address,812 Gravier St Apt405,812 Gravier St Apt 405
1897.namevalue,1327 S Sariatoga St,1327 S Saratoga St
1984.locationvalue,"(29.9522866489113, -90.0524263302249)***","(29.9522866489113, -90.0524263302249)"
1945.type,470 - BED & BREAKFAST INNS,4703 - BED & BREAKFAST INNS
1196.expirationdate,08/24/2023 1159:59 PM,08/24/2023 11:59:59 PM
2688.namevalue,1520 N Deyrbigny St,1520 N Derbigny St
2529.namevalue,4854 Magzaine St,4854 Magazine St
2194.address,93g1 N Claiborne Ave,931 N Claiborne Ave
2284.namevalue,809 Opeloiusas Ave,809 Opelousas Ave
2380.locationvalue,"(2.9979315711075, -90.0867667996445)","(29.979315711075, -90.0867667996445)"
1061.locationvalue,"29.9434373516626, -90.1083690019513)","(29.9434373516626, -90.1083690019513)"
815.address,6600 Harbouroview Dr,6600 Harbourview Dr
359.type,Short Term Rental Residentikal Owner,Short Term Rental Residential Owner
2623.address,4127 Desire St,1427 Desire St
1204.locationvalue,"(29.9149436y226917, -90.0026285607423)","(29.9149436226917, -90.0026285607423)"
1105.expirationdate,08/25/2023 11:95:59 PM,08/25/2023 11:59:59 PM
357.expirationdate,04/26/2023 11:59:5 9PM,04/26/2023 11:59:59 PM
544.type,Short Term Rental Commercial wner,Short Term Rental Commercial Owner
2335.namevalue,624n S Lopez St,624 S Lopez St
359.namevalue,4517 Banks St UnitA ,4517 Banks St Unit A
576.type,Short Term Rental Residential Oner,Short Term Rental Residential Owner
1875.address,1317 URSULINES AVpE,1317 URSULINES AVE
999.namevalue,2411 St Philipu St,2411 St Philip St
2408.namevalue,451 Girod St Apt202,451 Girod St Apt 202
811.expirationdate,06/02/023 11:59:59 PM,06/02/2023 11:59:59 PM
2715.locationvalue,"(29.9715019217653, -90.h0736935407586)","(29.9715019217653, -90.0736935407586)"
2707.namevalue,1422 N Ramaprt St,1422 N Rampart St
1061.type,Short Term bRental Residential Owner,Short Term Rental Residential Owner
156.namevalue,32 S Broad St,326 S Broad St
318.namevalue,900 Bartholomew vSt Unit 510,900 Bartholomew St Unit 510
2294.namevalue,160m4 Pauger St Apt A,1604 Pauger St Apt A
2306.type,Short Term Rental Residential Ownr,Short Term Rental Residential Owner
289.type,Short Ter Rental Residential Owner,Short Term Rental Residential Owner
2700.namevalue,011 Green St,8011 Green St
2424.expirationdate,11/06/023 11:59:59 PM,11/06/2023 11:59:59 PM
2262.type,Short Term Rentla Residential Owner,Short Term Rental Residential Owner
505.locationvalue,"(92.9586983478064, -90.0893644246273)","(29.9586983478064, -90.0893644246273)"
1899.namevalue,900B artholomew St Unit 510,900 Bartholomew St Unit 510
1251.address,4629t Eastern St,4629 Eastern St
149.address,828 Girod St pAt 303,828 Girod St Apt 303
2479.namevalue,3205 Contki St,3205 Conti St
994.address,8735 Birhc St,8735 Birch St
1823.locationvalue,"(30.n002082539245, -90.1027831799391)","(30.002082539245, -90.1027831799391)"
2241.expirationdate,07/28/2023 11:59:5 PM,07/28/2023 11:59:59 PM
2224.expirationdate,07/5/2023 11:59:59 PM,07/25/2023 11:59:59 PM
2212.address,2453 N Roman St AptC ,2453 N Roman St Apt C
2046.address,1626 xGentilly Blvd,1626 Gentilly Blvd
980.address,1027Touro St Apt 2C,1027 Touro St Apt 2C
1779.type,Shrot Term Rental Residential Owner,Short Term Rental Residential Owner
1773.expirationdate,h12/17/2022 11:59:59 PM,12/17/2022 11:59:59 PM
224.address,1214 Mazant St kA,1214 Mazant St A
2729.locationvalue,"(29.9250738950921, -90.077191960298)","(29.9250738950921, -90.077191960928)"
423.expirationdate,03/01/2023 12:00:0d0 AM,03/01/2023 12:00:00 AM
1351.expirationdate,08/30/2023 04:04:05 AyM,08/30/2023 04:04:05 AM
151.namevalue,1126 Independencue St,1126 Independence St
1023.address,1117 Music St***,1117 Music St
822.locationvalue,"(2.99193377338756, -90.0848950090263)","(29.9193377338756, -90.0848950090263)"
2354.expirationdate,09/05/2023 11:59z:59 PM,09/05/2023 11:59:59 PM
960.type,Short Term Rental Rseidential Owner,Short Term Rental Residential Owner
609.expirationdate,05/23/202r3 11:59:59 PM,05/23/2023 11:59:59 PM
1038.address,5410 S ocheblave St,5410 S Rocheblave St
1987.address,2190 CHARTRES ST,2109 CHARTRES ST
2103.locationvalue,"(29.5924456725026, -90.0685319995888)","(29.9524456725026, -90.0685319995888)"
1702.type,Short Term Rental Residenatial Owner,Short Term Rental Residential Owner
2773.expirationdate,10/04/2023 1:59:59 PM,10/04/2023 11:59:59 PM
53.expirationdate,01/10/202 11:59:59 PM,01/10/2023 11:59:59 PM
673.namevalue,2420 Laure lSt,2420 Laurel St
493.expirationdate,1/06/2023 03:54:07 PM,10/06/2023 03:54:07 PM
1513.type,Short Term Rental Commercial Oner,Short Term Rental Commercial Owner
1018.namevalue,3908 Annunciation tS,3908 Annunciation St
846.type,Short Term Rentafl Residential Owner,Short Term Rental Residential Owner
2704.locationvalue,"(29.972141860169,1 -90.0685225916821)","(29.9721418601691, -90.0685225916821)"
1433.locationvalue,"(29.735792044608, -90.0752375350751)","(29.9735792044608, -90.0752375350751)"
19.address,470 3Freret St,4703 Freret St
1896.locationvalue,"(30.033431978j1166, -89.9472608150118)","(30.0334319781166, -89.9472608150118)"
2097.address,600 Canal St Apt4 01,600 Canal St Apt 401
602.namevalue,3808 Bikenville Ave,3808 Bienville Ave
940.expirationdate,08/08/202 11:59:59 PM,08/08/2023 11:59:59 PM
2081.address,1830 EsplanadeAve,1830 Esplanade Ave
2440.address,4502  NRampart St,4502 N Rampart St
92.locationvalue,"(29.9398852584073, -90.071733071033)","(29.9398852584073, -90.0781733071033)"
448.address,705 Cmp St Apt 401,705 Camp St Apt 401
2525.address,1529 Dumaine t,1529 Dumaine St
1198.namevalue,TONY'rS FRENCH QUARTER ROOMS,TONY'S FRENCH QUARTER ROOMS
589.address,1414 rEato St,1414 Erato St
1351.address,1244 Cloute St,1244 Clouet St
1455.locationvalue,"(29.9505349863647, -90.1051000170307)","(29.9505349863467, -90.1051000170307)"
1589.namevalue,2509 Pneiston St Apt 102,2509 Peniston St Apt 102
1662.address,131 ACRONDELET ST,131 CARONDELET ST
2631.locationvalue,"(29.936004575732, -90.1079234454273)","(29.9360045675732, -90.1079234454273)"
468.namevalue,5605 cTchoupitoulas St,5605 Tchoupitoulas St
160.locationvalue,"(29.9182440897811, -90.0924339365308)","(29.9812440897811, -90.0924339365308)"
1761.namevalue,26080 Chef Menteuur Hwy,26080 Chef Menteur Hwy
1474.locationvalue,"(29.9732450665584, -90.0747523923069)","(29.9732450665584, -90.0747253923069)"
457.address,242n8 Valence St,2428 Valence St
813.namevalue,4025 Magaznie St,4025 Magazine St
1243.address,2512 eVrbena St,2512 Verbena St
1709.expirationdate,03/b01/2023 12:00:00 AM,03/01/2023 12:00:00 AM
1572.namevalue,5330 Duaphine St,5330 Dauphine St
2569.type,Short Term Rental Commercila Owner,Short Term Rental Commercial Owner
1705.type,Short Term Renta Residential Owner,Short Term Rental Residential Owner
2204.address,1510 Governor Nicholl St,1510 Governor Nicholls St
1343.expirationdate,08/30/t2023 08:18:41 AM,08/30/2023 08:18:41 AM
2649.namevalue,540 Napmoleon Ave,540 Napoleon Ave
2052.expirationdate,07/21/202e3 11:59:59 PM,07/21/2023 11:59:59 PM
