1694.fipstwo,f3059,f37059
3131.county,Ozukee ,Ozaukee 
3160.fipstwo,f54050,f54005
3075.statevalue,A,WA
1799.fipstwo,fr38069,f38069
373.fipstwo,f1095,f12095
1763.statecounty,NC_Yadin,NC_Yadkin
1745.statecounty,fNC_Rutherford,NC_Rutherford
3075.statecounty,WA_Skaigt,WA_Skagit
121.statevalue,AwR,AR
2969.county,Lunnburg ,Lunenburg 
2573.statevalue,qTN,TN
1021.fipstwo,f1043,f21043
2964.fipstwo,tf51103,f51103
2737.countytwo,Johnsn ,Johnson 
2920.countytwo,Cahrlottesville city,Charlottesville city
1306.countytwo,nOtsego ,Otsego 
480.county,Le e,Lee 
2366.statevalue,RP,PR
2226.statevalue,R,OR
1715.countytwo,Johnstno ,Johnston 
1611.county,Blaien ,Blaine 
199.statecounty,CA_Devl Norte,CA_Del Norte
613.countytwo,Le ,Lee 
974.fipstwo,f20195,f20159
2302.statecounty,AP_Northampton,PA_Northampton
342.countytwo,Fagler ,Flagler 
1687.statevalue,CN,NC
453.county,Glimer ,Gilmer 
1442.statevalue,yMO,MO
331.county,Browar d,Broward 
2830.statevalue,X,TX
2957.statecounty,VA_Highlannd,VA_Highland
2798.statevalue,X,TX
3141.countytwo,Sau k,Sauk 
134.fipstwo,f00575,f05075
2029.countytwo,Osweog ,Oswego 
1853.county,Garfieeld ,Garfield 
1330.fipstwo,f270l19,f27019
2828.statecounty,TX_Stonecwall,TX_Stonewall
1865.countytwo,Jeffersn ,Jefferson 
1069.countytwo,Lyivingston ,Livingston 
2074.fipstwo,f3904n1,f39041
499.statecounty,GA_Newtn,GA_Newton
783.statecounty,LI_Sangamon,IL_Sangamon
463.county,Haralso ,Haralson 
2816.county,San Patriycio ,San Patricio 
2548.county,Hamben ,Hamblen 
1139.statevalue,A,LA
2051.statecounty,NY_estchester,NY_Westchester
1050.statecounty,KY_Henerson,KY_Henderson
1993.county,Alilegany ,Allegany 
890.county,Washingtozn ,Washington 
2070.countytwo,rawford ,Crawford 
2892.fipstwo,f4c9051,f49051
2402.statecounty,RI_Neport,RI_Newport
2374.countytwo,Nuaguabo Municipio,Naguabo Municipio
638.fipstwo,19161,f19161
1986.countytwo,Minerxal ,Mineral 
742.county,Jerey ,Jersey 
2935.statecounty,VAF_airfax city,VA_Fairfax city
3185.county,Merce r,Mercer 
379.statevalue,LF,FL
124.statevalue,AhR,AR
1692.fipstwo,f37055***,f37055
1513.county,uSllivan ,Sullivan 
1360.statecounty,MN_Le Suuer,MN_Le Sueur
90.county,dTalladega ,Talladega 
2895.fipstwo,fs49057,f49057
585.county,Delawar e,Delaware 
1858.countytwo,amilton ,Hamilton 
1843.countytwo,Dixo ,Dixon 
2391.fipstwo,f71237,f72137
145.county,Montgsomery ,Montgomery 
2758.countytwo,Limesotone ,Limestone 
1406.county,Wrighut ,Wright 
1462.county,Larwence ,Lawrence 
2469.fipstwo,46039,f46039
1842.county,Deel ,Deuel 
2232.county,Hood Rier ,Hood River 
2478.fipstwo,f64057,f46057
1541.statevalue,SM,MS
793.countytwo,Waabsh ,Wabash 
2291.county,Lawence ,Lawrence 
2439.county,McComrick ,McCormick 
516.fipstwo,f3251,f13251
714.statecounty,IL_Cinton,IL_Clinton
2313.statecounty,AP_Tioga,PA_Tioga
842.fipstwo,f1809,f18079
532.county,Treutle ,Treutlen 
1457.countytwo,Jeffrson ,Jefferson 
2874.statecounty,UT_Emeyr,UT_Emery
2333.statevalue,R,PR
1185.county,Brekshire ,Berkshire 
896.countytwo,Anderso n,Anderson 
750.statecounty,nIL_LaSalle,IL_LaSalle
2471.statecounty,SD_Douglsa,SD_Douglas
255.statevalue,OC,CO
1869.county,lKeya Paha ,Keya Paha 
901.countytwo,Brow n,Brown 
1014.countytwo,Bulqlitt ,Bullitt 
1771.statevalue,DN,ND
93.county,Walke ,Walker 
1430.fipstwo,f20945,f29045
1346.statevalue,nMN,MN
1170.statevalue,LxA,LA
2568.countytwo,iLncoln ,Lincoln 
890.statecounty,IN_Wasihngton,IN_Washington
1270.fipstwo,f2065,f26065
1158.statecounty,LA_Pointe Coupee***,LA_Pointe Coupee
1303.county,Ontonago ,Ontonagon 
587.countytwo,Dickinso n,Dickinson 
1493.countytwo,Putnm ,Putnam 
2024.fipstwo,f36056,f36065
945.countytwo,Laneb ,Lane 
2272.statecounty,PA_lCinton,PA_Clinton
2366.statecounty,PR_LoizaMunicipio,PR_Loiza Municipio
3234.countytwo,ashakie ,Washakie 
1532.county,Bolivdar ,Bolivar 
284.statevalue,CvO,CO
142.fipstwo,f05j091,f05091
3036.statevalue,TV,VT
848.fipstwo,18091,f18091
1995.countytwo,Broomqe ,Broome 
289.statevalue,OC,CO
3192.countytwo,Oho ,Ohio 
2199.countytwo,Otatwa ,Ottawa 
705.statevalue,LI,IL
492.county,iller ,Miller 
2784.countytwo,otley ,Motley 
1650.statevalue,T,MT
2645.statevalue,X,TX
2338.county,Catano Muniipio,Catano Municipio
1447.countytwo,Grrundy ,Grundy 
2602.statecounty,TN_Unioi,TN_Unicoi
478.countytwo,aLnier ,Lanier 
2261.countytwo,lBair ,Blair 
730.statevalue,L,IL
2814.statecounty,TX_an Augustine,TX_San Augustine
292.statevalue,O,CO
529.statecounty,GA_Tit,GA_Tift
133.county,Laayette ,Lafayette 
3230.statevalue,Y,WY
2961.countytwo,King and Qeen ,King and Queen 
2726.countytwo,Hudsepth ,Hudspeth 
932.countytwo,Hamiltonw ,Hamilton 
2282.county,Frankli n,Franklin 
873.statecounty,IN_Sctt,IN_Scott
936.countytwo,oHdgeman ,Hodgeman 
1936.countytwo,Passaisc ,Passaic 
656.countytwo,Wrgiht ,Wright 
164.statecounty,AR_fSt. Francis,AR_St. Francis
809.statecounty,IN_Bown,IN_Brown
805.statecounty,IN_Bartholomw,IN_Bartholomew
1660.fipstwo,f3003,f30103
638.county,Sa c,Sac 
2552.county,cHardin ,Hardin 
1854.countytwo,Gospter ,Gosper 
2628.statecounty,XT_Borden,TX_Borden
245.statecounty,C_Tulare,CA_Tulare
2694.statevalue,XT,TX
626.statecounty,A_Montgomery,IA_Montgomery
1900.statecounty,NES_ioux,NE_Sioux
117.county,eDsha ,Desha 
2825.statevalue,X,TX
2483.fipstwo,f46076,f46067
936.statecounty,KS_Hodgemabn,KS_Hodgeman
2996.countytwo,Prince Geore ,Prince George 
2342.statecounty,P_Cidra Municipio,PR_Cidra Municipio
1431.county,Cglay ,Clay 
55.county,Elmroe ,Elmore 
681.fipstwo,f1649,f16049
637.countytwo,Ringold ,Ringgold 
2242.county,Marin ,Marion 
917.fipstwo,20045,f20045
1894.fipstwo,f3113,f31153
913.statevalue,S,KS
740.countytwo,Jaspe r,Jasper 
2189.county,McCurtin ,McCurtain 
2994.county,Powhaatn ,Powhatan 
389.countytwo,Voltusia ,Volusia 
1624.countytwo,Gallain ,Gallatin 
1794.statecounty,N_DMorton,ND_Morton
578.countytwo,gClay ,Clay 
1056.statecounty,KY_Jessavmine,KY_Jessamine
1461.county,Lafayett e,Lafayette 
211.fipstwo,f0603o9,f06039
2072.statevalue,HO,OH
115.fipstwo,f00537,f05037
2930.countytwo,Dickensonq ,Dickenson 
2155.countytwo,Clevland ,Cleveland 
2057.statecounty,OH_Asthabula,OH_Ashtabula
32.statevalue,LA,AL
718.statecounty,IL_Cumberladn,IL_Cumberland
2188.countytwo,Mclain ,McClain 
1622.statecounty,MT_Fegus,MT_Fergus
2292.statevalue,A,PA
1659.statecounty,MT_Toohle,MT_Toole
1612.countytwo,Broaodwater ,Broadwater 
1549.statecounty,MS_Hancck,MS_Hancock
2998.countytwo,Pulaskki ,Pulaski 
575.countytwo,Cheroee ,Cherokee 
1772.statevalue,bND,ND
1426.statevalue,MfO,MO
1588.countytwo,hScott ,Scott 
3025.fipstwo,5f1830,f51830
149.countytwo,iPerry ,Perry 
811.statecounty,hIN_Cass,IN_Cass
874.fipstwo,f1845,f18145
1716.fipstwo,f73103,f37103
2557.statevalue,N,TN
1891.statecounty,NE_Rchardson,NE_Richardson
1835.countytwo,lCay ,Clay 
2010.statecounty,NY_vGenesee,NY_Genesee
2009.statecounty,NY_Futlon,NY_Fulton
1117.statecounty,KY_Witley,KY_Whitley
2298.county,Misfflin ,Mifflin 
833.statevalue,NI,IN
2939.statecounty,VA_oFluvanna,VA_Fluvanna
3069.countytwo,Maso n,Mason 
660.fipstwo,f16070,f16007
2877.statevalue,T,UT
2895.countytwo,Wber ,Weber 
658.countytwo,Adatms ,Adams 
3006.fipstwo,tf51165,f51165
1299.county,ewaygo ,Newaygo 
1525.statevalue,PM,MP
2768.fipstwo,f48r319,f48319
2013.statevalue,Y,NY
1458.county,Johnso n,Johnson 
2124.statevalue,H,OH
2711.statecounty,TX_Halrdin,TX_Hardin
444.fipstwo,f1315,f13105
1954.countytwo,Hyidalgo ,Hidalgo 
2744.county,Kjerr ,Kerr 
2045.county,ioga ,Tioga 
238.statevalue,AC,CA
1573.countytwo,Mrashall ,Marshall 
1645.statevalue,T,MT
1724.county,ecklenburg ,Mecklenburg 
2829.countytwo,Suttno ,Sutton 
1323.fipstwo,f2q7005,f27005
138.countytwo,ogan ,Logan 
1000.county,Aadir ,Adair 
2143.statecounty,O_KAlfalfa,OK_Alfalfa
1809.countytwo,tStark ,Stark 
384.statevalue,LF,FL
1389.fipstwo,f27319,f27139
1473.statevalue,OM,MO
698.fipstwo,16083,f16083
1874.countytwo,ogan ,Logan 
2307.statevalue,AP,PA
2366.county,Loiza Muncipio,Loiza Municipio
3016.statevalue,A,VA
1257.countytwo,rawford ,Crawford 
2581.statevalue,N,TN
623.countytwo,Mitcheqll ,Mitchell 
169.statevalue,RA,AR
2057.countytwo,Azshtabula ,Ashtabula 
1158.county,Pointe Coupee Prish,Pointe Coupee Parish
1006.statecounty,KsY_Bell,KY_Bell
952.statevalue,aKS,KS
636.statecounty,IA_Poweschiek,IA_Poweshiek
2300.statevalue,PeA,PA
3047.statecounty,WAA_dams,WA_Adams
2741.fipstwo,f4829,f48259
942.county,ingman ,Kingman 
2977.statevalue,sVA,VA
309.fipstwo,f01817,f08117
2478.statevalue,D,SD
1757.statecounty,NgC_Warren,NC_Warren
2402.statevalue,lRI,RI
2671.statevalue,uTX,TX
2404.countytwo,Wjashington ,Washington 
1221.statecounty,MD_Wporcester,MD_Worcester
516.statevalue,GvA,GA
1125.countytwo,eBauregard ,Beauregard 
1098.countytwo,Powiell ,Powell 
2564.fipstwo,f4095,f47095
3211.fipstwo,f54t107,f54107
1222.statecounty,ME_Androscoggibn,ME_Androscoggin
2411.countytwo,Beaufvort ,Beaufort 
1813.statevalue,DN,ND
2990.countytwo,Peetrsburg city,Petersburg city
1150.statecounty,kLA_Lincoln,LA_Lincoln
772.statevalue,oIL,IL
841.statevalue,IqN,IN
2193.statecounty,OK_Nobel,OK_Noble
153.fipstwo,f05n113,f05113
2941.statevalue,A,VA
49.statecounty,AL_dCovington,AL_Covington
2749.statecounty,TX_Knxo,TX_Knox
6.statecounty,AlK_Denali Borough,AK_Denali Borough
1936.statevalue,aNJ,NJ
2807.county,Refugpio ,Refugio 
1123.countytwo,Asusmption ,Assumption 
2148.countytwo,Byran ,Bryan 
2213.county,Tulas ,Tulsa 
1657.statecounty,T_Sweet Grass,MT_Sweet Grass
1049.statevalue,Y,KY
1333.fipstwo,f27052,f27025
581.fipstwo,xf19047,f19047
2504.statecounty,SD_Robets,SD_Roberts
371.countytwo,kaloosa ,Okaloosa 
3139.countytwo,Rok ,Rock 
1721.fipstwo,f371o15,f37115
2916.county,Cadroline ,Caroline 
1303.statevalue,IM,MI
2313.county,Tiog a,Tioga 
801.statecounty,IL_Winnebaog,IL_Winnebago
1918.statevalue,H,NH
1769.county,Botineau ,Bottineau 
359.fipstwo,1f2069,f12069
2969.countytwo,Luenburg ,Lunenburg 
2106.statecounty,lOH_Meigs,OH_Meigs
1824.countytwo,Box Buptte ,Box Butte 
1925.fipstwo,f4009,f34009
2597.fipstwo,4f7161,f47161
2289.county,Lackawann a,Lackawanna 
2353.county,Guaynabo Municipilo,Guaynabo Municipio
1914.fipstwo,f33070,f33007
2546.fipstwo,f470v59,f47059
2612.statecounty,TX_Adnerson,TX_Anderson
2411.statevalue,uSC,SC
724.statecounty,vIL_Edwards,IL_Edwards
2052.fipstwo,f36211,f36121
1765.statevalue,yND,ND
1437.statevalue,OM,MO
421.statevalue,GuA,GA
2396.county,Vieques uMnicipio,Vieques Municipio
3174.countytwo,Harrisony ,Harrison 
166.county,Uniojn ,Union 
2057.fipstwo,f39070,f39007
3137.countytwo,Raicne ,Racine 
1600.fipstwo,f2847,f28147
2280.county,Faytte ,Fayette 
1695.statecounty,NC_Dplin,NC_Duplin
700.county,Washeington ,Washington 
455.fipstwo,f1317,f13127
2328.fipstwo,f7q2013,f72013
2262.statecounty,PABradford,PA_Bradford
2378.statevalue,xPR,PR
1556.county,Joackson ,Jackson 
1117.fipstwo,f12235,f21235
3096.countytwo,eColumbia ,Columbia 
65.statecounty,AL_Jacksn,AL_Jackson
466.statecounty,A_Heard,GA_Heard
2534.fipstwo,f4703z5,f47035
1770.fipstwo,f38101,f38011
2866.fipstwo,f73400,f74300
2692.statecounty,TX_Freewstone,TX_Freestone
2704.countytwo,Gimes ,Grimes 
734.statecounty,IL_Hawncock,IL_Hancock
2786.countytwo,avarro ,Navarro 
1175.county,nUion Parish,Union Parish
2105.fipstwo,f3103,f39103
2295.statevalue,AP,PA
247.statevalue,A,CA
1237.county,Yoirk ,York 
1238.fipstwo,2f6001,f26001
2889.statecounty,UT_Tooeel,UT_Tooele
214.fipstwo,f00645,f06045
518.statecounty,GA_Sspalding,GA_Spalding
2456.county,Brwn ,Brown 
2108.fipstwo,f3910w9,f39109
1665.county,Alamanc ,Alamance 
2999.county,Radfor dcity,Radford city
2285.countytwo,Huntindon ,Huntingdon 
3032.statecounty,VI_St. hTomas Island,VI_St. Thomas Island
1359.statecounty,MN_Lfake of the Woods,MN_Lake of the Woods
1109.fipstwo,f2121w9,f21219
2852.statevalue,TyX,TX
2443.statecounty,SC_ickens,SC_Pickens
1835.fipstwo,f3103g5,f31035
2478.countytwo,Hamin ,Hamlin 
2871.countytwo,Dagget ,Daggett 
1761.statecounty,C_Wilkes,NC_Wilkes
1668.county,nson ,Anson 
2583.statevalue,N,TN
2084.county,Hamiltno ,Hamilton 
2123.county,aRichland ,Richland 
1173.county,Tesas Parish,Tensas Parish
2122.statecounty,OH_Putnma,OH_Putnam
1931.county,Medrcer ,Mercer 
1997.county,Cayugda ,Cayuga 
137.county,Litttle River ,Little River 
1473.statecounty,MO_aMiller,MO_Miller
353.fipstwo,f21057,f12057
1206.statecounty,MD_Chrales,MD_Charles
916.countytwo,Donpihan ,Doniphan 
1526.statevalue,kMP,MP
2505.fipstwo,f64111,f46111
983.county,Shawnxee ,Shawnee 
2148.fipstwo,fm40013,f40013
2122.statevalue,H,OH
1521.fipstwo,f92227,f29227
112.county,Craihgead ,Craighead 
3105.statevalue,IW,WI
3009.fipstwo,f51619,f51169
2487.countytwo,Jone s,Jones 
789.fipstwo,f171q77,f17177
1446.statecounty,MO_Grene,MO_Greene
2658.countytwo,Copmanche ,Comanche 
2468.statevalue,DS,SD
2349.statecounty,PR_lorida Municipio,PR_Florida Municipio
1389.statevalue,qMN,MN
3196.countytwo,Prestn ,Preston 
3037.county,Eshsex ,Essex 
2188.statecounty,OK_cMClain,OK_McClain
951.statevalue,KkS,KS
236.countytwo,Sahsta ,Shasta 
1969.countytwo,Siera ,Sierra 
1349.statecounty,MN_gHubbard,MN_Hubbard
369.county,Monore ,Monroe 
935.countytwo,Hasell ,Haskell 
2912.fipstwo,51027,f51027
3200.county,Rithcie ,Ritchie 
998.fipstwo,2f0207,f20207
347.county,Glf ,Gulf 
2826.statecounty,TX_Stqephens,TX_Stephens
875.county,Spnecer ,Spencer 
3004.countytwo,Roanoke icty,Roanoke city
1471.statevalue,O,MO
2765.fipstwo,f483j13,f48313
146.statecounty,AR_Nevjada,AR_Nevada
2493.countytwo,Marshall ***,Marshall 
2546.statevalue,NT,TN
737.statecounty,IL_Hnery,IL_Henry
1033.statevalue,nKY,KY
2573.statecounty,TN_arshall,TN_Marshall
937.countytwo,Jacksno ,Jackson 
2947.statevalue,AV,VA
567.county,Bucahnan ,Buchanan 
1211.statecounty,MD_oward,MD_Howard
1161.statecounty,A_Richland,LA_Richland
2007.countytwo,Esex ,Essex 
3067.fipstwo,f5041,f53041
450.statecounty,GgA_Forsyth,GA_Forsyth
1176.county,fVermilion Parish,Vermilion Parish
1686.fipstwo,f3704r3,f37043
2285.county,untingdon ,Huntingdon 
2814.statevalue,XT,TX
89.statevalue,ApL,AL
1525.statecounty,MP_Saipan unicipality,MP_Saipan Municipality
2674.county,Dicknes ,Dickens 
339.statevalue,FgL,FL
1680.statecounty,NC_Cartereut,NC_Carteret
948.fipstwo,20107,f20107
1180.county,Wets Baton Rouge Parish,West Baton Rouge Parish
1956.statevalue,NqM,NM
2580.countytwo,oore ,Moore 
105.statevalue,AsR,AR
1967.statecounty,NM_Sanoval,NM_Sandoval
556.countytwo,Kauadi ,Kauai 
2495.statecounty,DS_McPherson,SD_McPherson
476.countytwo,Jonles ,Jones 
2429.statevalue,C,SC
840.statecounty,oIN_Jay,IN_Jay
1219.statecounty,MD_Washngton,MD_Washington
1818.countytwo,dams ,Adams 
3031.statevalue,iVI,VI
456.fipstwo,f13192,f13129
2239.countytwo,Lincol n,Lincoln 
2065.fipstwo,f30923,f39023
710.statevalue,IcL,IL
2728.statecounty,X_Hutchinson,TX_Hutchinson
2270.statecounty,PA_Clarin,PA_Clarion
2756.county,Leo ,Leon 
3051.statevalue,AW,WA
1775.statevalue,NrD,ND
448.countytwo,Fayettye ,Fayette 
2289.countytwo,ackawanna ,Lackawanna 
574.countytwo,erro Gordo ,Cerro Gordo 
2266.countytwo,Camern ,Cameron 
2512.statevalue,DS,SD
571.fipstwo,1f9027,f19027
1361.countytwo,Lnicoln ,Lincoln 
2667.county,Dallamr ,Dallam 
2446.statecounty,SC_Spartanurg,SC_Spartanburg
1188.county,Esasex ,Essex 
732.statecounty,IL_Grnudy,IL_Grundy
1093.countytwo,Owe n,Owen 
416.countytwo,Chagrlton ,Charlton 
2482.statevalue,SmD,SD
874.countytwo,Shelb ,Shelby 
1752.statevalue,CN,NC
1159.statecounty,LA_Rapiwdes,LA_Rapides
87.statecounty,AL_Syhelby,AL_Shelby
2521.countytwo,Bluont ,Blount 
1183.countytwo,Wnin ,Winn 
2186.statecounty,KO_Marshall,OK_Marshall
1404.fipstwo,f7167,f27167
2577.countytwo,Meig ,Meigs 
2575.countytwo,McMinnm ,McMinn 
2937.statevalue,fVA,VA
290.statevalue,O,CO
281.countytwo,Kioa ,Kiowa 
1312.statevalue,I,MI
1972.fipstwo,f3m5057,f35057
2152.fipstwo,f40012,f40021
2700.statecounty,TX_onzales,TX_Gonzales
2304.county,Perr y,Perry 
283.statevalue,lCO,CO
1027.countytwo,Criwttenden ,Crittenden 
1274.statecounty,MI_Isaeblla,MI_Isabella
1242.statecounty,MIAntrim,MI_Antrim
1285.statevalue,MuI,MI
99.countytwo,Bxater ,Baxter 
266.statevalue,qCO,CO
2661.statecounty,TX_Coreyll,TX_Coryell
307.countytwo,San iguel ,San Miguel 
2464.countytwo,odington ,Codington 
462.countytwo,Hancobck ,Hancock 
263.fipstwo,f08205,f08025
1131.countytwo,Camelron ,Cameron 
2673.fipstwo,f4812v3,f48123
2467.countytwo,Davisno ,Davison 
1346.county,Gant ,Grant 
2457.statecounty,S_DBrule,SD_Brule
2271.countytwo,Clerafield ,Clearfield 
1454.statecounty,M_Iron,MO_Iron
1932.county,Middliesex ,Middlesex 
24.countytwo,Southeast Firbanks Census Area,Southeast Fairbanks Census Area
220.statevalue,CyA,CA
580.statecounty,IA_Clhinton,IA_Clinton
968.countytwo,Phlilips ,Phillips 
1561.county,Kempser ,Kemper 
1276.countytwo,Kalamazo o,Kalamazoo 
1213.county,ontgomery ,Montgomery 
2677.county,uval ,Duval 
732.statevalue,L,IL
232.statecounty,CA_SanMateo,CA_San Mateo
2007.fipstwo,f3031,f36031
3096.fipstwo,f55f021,f55021
1456.fipstwo,f29f097,f29097
3036.county,Chittednen ,Chittenden 
2387.statecounty,PR_San orenzo Municipio,PR_San Lorenzo Municipio
346.county,Gldes ,Glades 
2766.statecounty,mTX_Marion,TX_Marion
2395.statecounty,PR_Vega Baja uMnicipio,PR_Vega Baja Municipio
2245.countytwo,olk ,Polk 
1019.statecounty,KY_Carisle,KY_Carlisle
1160.statecounty,LA_Red Rivr,LA_Red River
25.statevalue,AhK,AK
1680.statevalue,CN,NC
904.county,Chautauquap ,Chautauqua 
1074.county,arion ,Marion 
1337.statevalue,N,MN
1754.fipstwo,3f7179,f37179
2993.statecounty,VA_oPrtsmouth city,VA_Portsmouth city
1573.county,Mareshall ,Marshall 
1666.county,lexander ,Alexander 
763.statevalue,L,IL
2336.statecounty,PR_Canovanas uMnicipio,PR_Canovanas Municipio
1367.countytwo,eeker ,Meeker 
2401.statevalue,kRI,RI
1130.statecounty,LA_Caldwgell,LA_Caldwell
1340.fipstwo,f2709,f27039
248.county,Yoo ,Yolo 
1689.fipstwo,f37409,f37049
688.statecounty,ID_Lincln,ID_Lincoln
1885.countytwo,Prkins ,Perkins 
1495.county,Randoplh ,Randolph 
1108.fipstwo,f21271,f21217
540.countytwo,Wre ,Ware 
503.statecounty,GA_Peah,GA_Peach
537.statevalue,A,GA
2937.fipstwo,f1061,f51061
279.fipstwo,08057,f08057
124.statecounty,RA_Greene,AR_Greene
83.countytwo,Piickens ,Pickens 
2985.fipstwo,f517i20,f51720
1115.fipstwo,21231,f21231
420.fipstwo,f13075,f13057
2307.county,Pottegr ,Potter 
1886.statevalue,NaE,NE
692.county,Oneda ,Oneida 
1678.statecounty,NCCaldwell,NC_Caldwell
1905.countytwo,Valley ***,Valley 
2752.statevalue,X,TX
961.countytwo,Nosho ,Neosho 
479.county,Laurnes ,Laurens 
924.statevalue,SK,KS
2768.county,Masonn ,Mason 
1102.fipstwo,f2f1205,f21205
3106.county,Fokrest ,Forest 
903.statevalue,KxS,KS
753.county,Livnigston ,Livingston 
2000.county,Chenagno ,Chenango 
701.statecounty,IL_Adms,IL_Adams
358.statevalue,LF,FL
1823.county,Booe ,Boone 
635.statecounty,IAP_ottawattamie,IA_Pottawattamie
1158.fipstwo,f2z2077,f22077
969.fipstwo,f2149,f20149
348.countytwo,Haimlton ,Hamilton 
2763.fipstwo,f84303,f48303
91.statecounty,sAL_Tallapoosa,AL_Tallapoosa
827.statecounty,IN_Futlon,IN_Fulton
2191.county,Murrlay ,Murray 
376.countytwo,Pacso ,Pasco 
70.countytwo,Lxee ,Lee 
753.countytwo,ivingston ,Livingston 
2444.statevalue,C,SC
1515.statevalue,MnO,MO
1160.county,Red Rvier Parish,Red River Parish
2271.fipstwo,f24033,f42033
1855.county,Grat ,Grant 
961.statevalue,iKS,KS
2660.countytwo,Cookeo ,Cooke 
1696.countytwo,Dpurham ,Durham 
1865.statecounty,NE_Jekfferson,NE_Jefferson
2349.county,Florid Municipio,Florida Municipio
1571.statecounty,MS_Madispon,MS_Madison
227.county,San dBernardino ,San Bernardino 
705.county,Bown ,Brown 
1345.countytwo,Goodue ,Goodhue 
1832.fipstwo,f31092,f31029
3143.county,Shawao ,Shawano 
2025.statevalue,NkY,NY
1382.countytwo,Rasey ,Ramsey 
581.countytwo,Crawfodr ,Crawford 
2648.fipstwo,4f8073,f48073
965.county,sOborne ,Osborne 
2771.fipstwo,f4m8307,f48307
