115.sex,Femael,Female
182.percentage,95.3%,59.3%
293.noteonpercentage,Interpret data with caution. The coefficient of vaiation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
302.noteonpercentage,Data not availale.,Data not available.
24.raceethnicity,"Amreican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
273.characteristic,"Asian, non-Hispaic","Asian, non-Hispanic"
233.raceethnicity,"White, non-Hisanic","White, non-Hispanic"
44.raceethnicity,"White, nonHispanic","White, non-Hispanic"
109.sex,Fmeale,Female
117.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 pecrent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
132.characteristic,"Whitee, non-Hispanic","White, non-Hispanic"
303.percentage,43.%3,43.3%
128.noteoncount,Reorting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
277.raceethnicity,"Pacific Islandern, non-Hispanic","Pacific Islander, non-Hispanic"
257.percentage,i31%,31%
146.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimateor the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
169.sex,Malme,Male
278.noteonpercentage,Interpret data with caution. The coefficient of variaiton (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
217.characteristic,"Two or more racmes, non-Hispanic","Two or more races, non-Hispanic"
36.characteristic,Total - emale,Total - Female
201.characteristic,"American Indian/Alaska Native, nvon-Hispanic","American Indian/Alaska Native, non-Hispanic"
27.sex,emale,Female
309.raceethnicity,"Two or more races, non-Hispanifc","Two or more races, non-Hispanic"
217.sex,Malre,Male
49.sex,Femle,Female
176.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficeint of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
159.percentage,16.%,16.2%
68.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
168.raceethnicity,Hispanci,Hispanic
252.sex,Fmale,Female
68.characteristic,Ttoal - Hispanic,Total - Hispanic
294.raceethnicity,"Amercian Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
228.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is qbetween 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
249.characteristic,Hipsanic,Hispanic
142.noteonpercentage,Interpret dat awith caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
273.noteonpercentage,Interpret data with caution. The coefficien of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
58.sex,emale,Female
152.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimatge or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
42.noteonpercentage,Interpret data with caution. The coeffiwcient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
156.noteoncount,Reporting standards not met. Either there arey too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
210.sex,ale,Male
165.noteoncount,Reporting standards not metg. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
57.characteristic,"Ttal - Black, non-Hispanic","Total - Black, non-Hispanic"
161.sex,Malxe,Male
276.percentage,3k8.4%,38.4%
266.percentage,588%,58.8%
162.sex,Mlae,Male
302.raceethnicity,"Two or more races, neon-Hispanic","Two or more races, non-Hispanic"
159.noteoncount,Reporting standrds not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
261.raceethnicity,"Asian, non-Hoispanic","Asian, non-Hispanic"
248.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between y30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
134.raceethnicity,"Wite, non-Hispanic","White, non-Hispanic"
191.noteoncount,Reporting standards not met. Either there are too few cases for a areliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
120.sex,emale,Female
180.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 eprcent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
165.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate iss between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
83.sex,Fmale,Female
103.noteoncount,Reporting standards not met. Either there are too few cases for  reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
97.raceethnicity,"Pacific Islander, no-nHispanic","Pacific Islander, non-Hispanic"
19.sex,Mael,Male
4.percentage,37h.8%,37.8%
143.noteonpercentage,Interpret data with caution. The coefficient of variaation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
189.noteoncount,Repotring standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
26.characteristic,Total -Male,Total - Male
230.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is btween 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
215.sex,Mle,Male
203.characteristic,"American Indian/Alastka Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
271.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimvate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
143.raceethnicity,"Whie, non-Hispanic","White, non-Hispanic"
162.percentage,0.7%,20.7%
211.noteoncount,Dtata not available.,Data not available.
103.raceethnicity,"Pacific Islander, non-Hgispanic","Pacific Islander, non-Hispanic"
83.raceethnicity,"Asin, non-Hispanic","Asian, non-Hispanic"
52.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this etimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
133.noteonpercentage,Interpret data with caution. Teh coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
153.sex,Mael,Male
139.raceethnicity,"White, nonHispanic","White, non-Hispanic"
97.characteristic,"Total - Pacific Isander, non-Hispanic","Total - Pacific Islander, non-Hispanic"
196.percentage,2.8%,12.8%
74.sex,emale,Female
221.noteonpercentage,Interpret data with caution. The coefficiexnt of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
31.percentage,41.%,41.2%
139.noteonpercentage,Interpret data with caution. The ocefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
109.characteristic,"Totacl - American Indian/Alaska Native, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
41.raceethnicity,"White, non-Hizspanic","White, non-Hispanic"
101.raceethnicity,"Pacific sIlander, non-Hispanic","Pacific Islander, non-Hispanic"
54.percentage,314.%,31.4%
244.characteristic,"Black, non-ispanic","Black, non-Hispanic"
80.percentage,61.3t%,61.3%
171.sex,ale,Male
29.raceethnicity,"American Inddian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
243.raceethnicity,"Black, jnon-Hispanic","Black, non-Hispanic"
121.characteristic,"Totalg - Two or more races, non-Hispanic","Total - Two or more races, non-Hispanic"
299.noteoncount,Reporting standards not met. Either there are too few cases for a reliable stimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
13.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient ofvariation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
184.sex,Mlae,Male
72.percentage,2.36%,23.6%
180.characteristic,"Asia, non-Hispanic","Asian, non-Hispanic"
288.percentage,241.%,24.1%
257.sex,mFemale,Female
137.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
59.sex,zFemale,Female
116.percentage,3.5%,23.5%
236.percentage,35.%,35.5%
66.characteristic,Total- Hispanic,Total - Hispanic
218.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this esqtimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
261.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variationp (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
294.noteonpercentage,Interpret data wtih caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
305.raceethnicity,"Two or mor races, non-Hispanic","Two or more races, non-Hispanic"
39.raceethnicity,"American Indian/Alska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
246.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimat eis between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
296.percentage,20.8y%,20.8%
236.raceethnicity,"Blck, non-Hispanic","Black, non-Hispanic"
171.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or hte coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
155.raceethnicity,"Black, non-Hisdpanic","Black, non-Hispanic"
199.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 pecrent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
264.raceethnicity,"sAian, non-Hispanic","Asian, non-Hispanic"
295.sex,eFmale,Female
229.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient ofo variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
210.noteonpercentage,Dtaa not available.,Data not available.
252.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is bteween 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
111.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimateu is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
256.characteristic,Hispnic,Hispanic
262.sex,Feamale,Female
163.percentage,2%,20%
189.noteonpercentage,Interpret data with caution.The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
44.noteonpercentage,Interpret data wpith caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
200.raceethnicity,"American Indian/Alaska Native, non-Hispainc","American Indian/Alaska Native, non-Hispanic"
198.percentage,02.1%,20.1%
296.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (zCV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
201.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 adn 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
112.noteoncount,Reporting standards not metx. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
73.percentage,26.%6,26.6%
100.sex,Fzemale,Female
79.noteoncount,Reporting standarsd not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
18.noteonpercentage,Interpret data with cautio.n The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
160.noteonpercentage,Interpret data with caution. The coefficient of variaton (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
120.raceethnicity,"Two or more races, no-nHispanic","Two or more races, non-Hispanic"
212.sex,ale,Male
279.characteristic,"Pacific Islaner, non-Hispanic","Pacific Islander, non-Hispanic"
164.noteonpercentage,Interpret dtata with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
15.noteonpercentage,Interpret data with caution. The coefficient of svariation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
258.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (V) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
211.sex,aMle,Male
257.noteoncount,Reporting standards not met. Either there are too few cases for a relible estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
122.noteonpercentage,Interpretk data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
106.characteristic,"Total - American Indain/Alaska Native, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
38.raceethnicity,"AmericanI ndian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
41.noteoncount,Rpeorting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
136.characteristic,"White, non-Hispanc","White, non-Hispanic"
154.noteonpercentage,Interpret data with caution. The coefficinet of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
109.percentage,24.%4,24.4%
201.percentage,25.%,25.7%
283.raceethnicity,"Paccific Islander, non-Hispanic","Pacific Islander, non-Hispanic"
251.percentage,29.e4%,29.4%
37.raceethnicity,"American Indian/Alaska Native, on-Hispanic","American Indian/Alaska Native, non-Hispanic"
72.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estmiate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
119.noteonpercentage,Data no tavailable.,Data not available.
234.percentage,4w6%,46%
76.percentage,31.%,31.9%
237.noteoncount,Reporting standards not met. Either there aretoo few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
209.sex,Mael,Male
124.characteristic,"Total - Two or more races, non-ispanic","Total - Two or more races, non-Hispanic"
245.noteonpercentage,Interpret data with cautipon. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
181.percentage,95.9%,59.9%
311.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or pthe coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
33.sex,Femle,Female
173.characteristic,"Asian, non-Hispanci","Asian, non-Hispanic"
222.characteristic,"Whie, non-Hispanic","White, non-Hispanic"
158.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient f variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
78.characteristic,Totl - Hispanic,Total - Hispanic
115.percentage,a41.4%,41.4%
73.raceethnicity,Hispnic,Hispanic
139.noteoncount,Reporting standardso not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
117.noteoncount,Reporting standards not met. Either there are too few cases for a erliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
269.percentage,6%3,63%
298.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate ics between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
220.noteonpercentage,Interpret data ith caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
101.characteristic,"Total - Pacific Islander, non-iHspanic","Total - Pacific Islander, non-Hispanic"
60.percentage,3w3.1%,33.1%
27.percentage,x38.4%,38.4%
221.characteristic,"Two or more races, nno-Hispanic","Two or more races, non-Hispanic"
291.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the cuoefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
33.raceethnicity,"American Indian/Alaska Native, nn-Hispanic","American Indian/Alaska Native, non-Hispanic"
294.percentage,43.5%,34.5%
140.noteonpercentage,Interpret data with caution. The coefficient ofvariation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
228.characteristic,"White, onn-Hispanic","White, non-Hispanic"
129.characteristic,"Total - Two orm ore races, non-Hispanic","Total - Two or more races, non-Hispanic"
198.noteoncount,Reporting standards not met. Either there are too fewcases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
46.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is beteen 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
95.sex,oFemale,Female
279.noteoncount,Reporting standards not met. Eithe there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
50.raceethnicity,"Whie, non-Hispanic","White, non-Hispanic"
88.noteonpercentage,Interpret data with caution. The cofficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
161.noteonpercentage,Interpret ata with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
127.sex,Femae,Female
268.noteonpercentage,Inetrpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
303.characteristic,Two or more races non-Hispanic,"Two or more races, non-Hispanic"
1.sex,Femae,Female
185.sex,Mlae,Male
105.raceethnicity,"merican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
285.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for thist estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
297.percentage,63.6%,36.6%
138.noteonpercentage,Interpret adta with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
116.sex,Femalne,Female
78.percentage,37.%,37.5%
308.noteonpercentage,Interpret data with caution. The coefficient of varation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
171.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 andj 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
301.raceethnicity,"Trwo or more races, non-Hispanic","Two or more races, non-Hispanic"
25.sex,zMale,Male
235.sex,Femlae,Female
292.raceethnicity,"American Indian/Alaska Native, no-Hispanic","American Indian/Alaska Native, non-Hispanic"
2.percentage,36.%3,36.3%
34.raceethnicity,"American Indian/Alaska Native, non-iHspanic","American Indian/Alaska Native, non-Hispanic"
216.sex,Mmale,Male
160.characteristic,oHispanic,Hispanic
211.raceethnicity,"Two or morer aces, non-Hispanic","Two or more races, non-Hispanic"
310.sex,Femlae,Female
25.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greaer.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
273.raceethnicity,"zAsian, non-Hispanic","Asian, non-Hispanic"
173.noteonpercentage,Interpret data with caution. The coefficient of variation (CVs) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
298.characteristic,"American Indian/Alaska Native, nn-Hispanic","American Indian/Alaska Native, non-Hispanic"
248.percentage,254.%,25.4%
61.characteristic,"Total - Black, non-Hispdanic","Total - Black, non-Hispanic"
188.noteoncount,Reporting standards not met. Either there are too few cases fior a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
221.raceethnicity,"Tw oor more races, non-Hispanic","Two or more races, non-Hispanic"
128.raceethnicity,"Two or more races, njon-Hispanic","Two or more races, non-Hispanic"
