characteristic,sex,raceethnicity,yearvalue,percentage,standarderroronpercentage,noteonpercentage,countinthousands,standarderroroncountinthousands,noteoncount
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,42%,0.59,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,12570.0,190.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,41%,0.62,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,12456.0,218.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2000,32.6%,0.6,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,4343.0,100.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2001,33.6%,0.63,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,4543.0,102.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,33.7%,0.59,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,4629.0,98.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,34.3%,0.59,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,4697.0,98.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,34.7%,0.59,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,4865.0,100.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,35.3%,0.59,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,4973.0,101.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,34.1%,0.58,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,4874.0,100.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,35.5%,0.58,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,5156.0,103.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,37%,0.58,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,5383.0,105.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,38.4%,0.59,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,5640.0,107.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,38.3%,0.78,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,5698.0,117.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,39.1%,0.8,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,5953.0,122.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,37.6%,0.79,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,5731.0,146.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2000,38.4%,0.6,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,5109.0,108.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2001,39%,0.64,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,5302.0,110.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,39.7%,0.61,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,5404.0,105.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2003,41.3%,0.61,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,5667.0,108.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,41.2%,0.61,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,5746.0,108.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,42.5%,0.61,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,5861.0,109.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,40.6%,0.6,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,5712.0,108.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,42.1%,0.6,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,6005.0,111.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,42.3%,0.6,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,6083.0,111.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,44.2%,0.6,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,6432.0,114.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,44.1%,0.84,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,6515.0,125.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,44.9%,0.8,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,6617.0,133.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,44.5%,0.86,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,6725.0,133.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2000,38.7%,0.57,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,6709.0,123.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2001,39.5%,0.57,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,6921.0,125.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2002,40.9%,0.55,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,7004.0,119.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2003,41.6%,0.55,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,7129.0,120.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2004,41.7%,0.55,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,7228.0,121.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,42.8%,0.55,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,7393.0,122.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2006,41%,0.54,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,7200.0,120.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,42.6%,0.54,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,7533.0,123.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,44.2%,0.54,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,7894.0,126.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,45%,0.55,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,7983.0,126.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2010,43.3%,0.81,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,7663.0,146.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,44.7%,0.77,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,7882.0,158.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2012,42.1%,0.83,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,7189.0,156.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2000,30.5%,1.21,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,1182.0,54.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2001,31.4%,1.22,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,1226.0,55.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2002,31.9%,1.18,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,1196.0,51.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2003,32.3%,1.2,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,1190.0,51.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2004,31.8%,1.18,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,1201.0,52.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2005,33.1%,1.18,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,1259.0,53.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,32.6%,1.16,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,1291.0,53.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2007,33.1%,1.15,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,1340.0,54.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2008,32.1%,1.13,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,1311.0,54.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,37.7%,1.17,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,1574.0,58.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,38.4%,1.66,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,1611.0,71.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2011,37.1%,1.53,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,1571.0,69.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2012,36.4%,1.62,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,1578.0,75.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Hispanic,Female,Hispanic,2000,21.7%,1.12,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,899.0,51.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Hispanic,Female,Hispanic,2001,21.7%,1.1,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,931.0,52.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Hispanic,Female,Hispanic,2002,19.9%,0.94,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,979.0,50.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Hispanic,Female,Hispanic,2003,23.5%,1.02,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,1115.0,53.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Hispanic,Female,Hispanic,2004,24.7%,1.02,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,1221.0,55.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Hispanic,Female,Hispanic,2005,24.8%,1.02,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,1215.0,55.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Hispanic,Female,Hispanic,2006,23.6%,0.99,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,1182.0,55.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Hispanic,Female,Hispanic,2007,26.6%,1.02,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,1375.0,58.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Hispanic,Female,Hispanic,2008,25.8%,1.01,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,1338.0,58.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Hispanic,Female,Hispanic,2009,27.5%,1.01,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,1465.0,60.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Hispanic,Female,Hispanic,2010,31.9%,1.15,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,1814.0,69.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Hispanic,Female,Hispanic,2011,34.8%,1.2,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,2079.0,78.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Hispanic,Female,Hispanic,2012,37.5%,1.18,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,2403.0,80.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,55.9%,2.42,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,631.0,40.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,61.3%,2.35,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,707.0,42.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,60.9%,2.1,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,789.0,42.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,61.2%,2.27,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,682.0,39.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,60.6%,2.24,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,692.0,39.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,61%,2.26,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,684.0,39.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,58.3%,2.28,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,657.0,38.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,57.2%,2.28,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,651.0,38.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,59.3%,2.32,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,640.0,38.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,65.2%,2.17,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,756.0,41.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,63.6%,2.7,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,807.0,41.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,60.1%,2.45,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,729.0,35.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,59.8%,2.61,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,883.0,47.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,38.4%,0.78,Data not available.,92.0,16.0,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,38.4%,0.78,Data not available.,92.0,16.0,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,38.4%,0.78,Data not available.,92.0,16.0,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,43.3%,9.97,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,55.8%,8.99,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,50.6%,10.95,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,39.1%,8.36,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,37.1%,9.07,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,27.3%,8.92,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,33.4%,7.45,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,36%,8.36,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,92.0,16.0,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
