1634.city,Cany,Caney
224.datelastmodified,03/4/2004,03/04/2004
5591.datelastmodified,030/4/2004,03/04/2004
5423.city,Marsyville,Marysville
4653.city,West Laayette,West Lafayette
1067.geocodecitylevel,"Owego, NY
(42.103237, -76.263163)","Yoakum, TX
(29.287873, -97.152462)"
6684.city,Belzding,Belding
1778.typeofchangefulltext,No Change shave been made.,No Changes have been made.
8331.datelastmodified,30/04/2004,03/04/2004
570.psapid,7620.0,8213
358.psapid,5093.0,705
6803.city,Van dWert,Van Wert
140.statevalue,K,OK
3408.statevalue,AC,CA
1645.psapname,anola Sheriffs Office,Panola Sheriffs Office
4653.county,ippecanoe,Tippecanoe
6065.statevalue,IM,MI
4512.typeofchangefulltext,Orphaned PSAP no longer considered a primary calltaking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
6414.county,Oalkand,Oakland
8065.typeofchangefulltext,No Changes have beegn made.,No Changes have been made.
4550.county,Rowwan,Rowan
1111.psapid,7344.0,6956
7986.psapname,Pottawatomie Couny Sheriffs Office,Pottawatomie County Sheriffs Office
390.geocodecitylevel,"Inez, KY
(37.866646, -82.539105)","Raymondville, TX
(26.482844, -97.781691)"
62.geocodecitylevel,"Sandusky, OH
(41.454934, -82.710963)","Platteville, WI
(42.732914, -90.4781)"
991.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using tbhese in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
711.geocodecitylevel,"Inez, KY
(37.866646, -82.539105)","Plymouth, IN
(41.343543, -86.309537)"
1229.city,Rutfland,Rutland
7383.typeofchangefulltext,"PSAP Name, Sate, County or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
1453.statevalue,TaN,TN
4657.statevalue,Y,KY
7839.county,an Diego,San Diego
229.geocodecitylevel,"Brooklyn, NY
(40.692529, -73.990996)","Indian River, FL
(25.87446, -80.141629)"
1239.psapid,2282.0,621
4.datelastmodified,03/04/2040,03/04/2004
3876.statevalue,RA,AR
4700.psapname,New WhitelandP olice Department,New Whiteland Police Department
114.geocodecitylevel,"Cheyenne, WY
(41.14024, -104.818802)","Slocomb, AL
(31.10763, -85.593662)"
3642.statevalue,SM,MS
5423.typeofchangefulltext,No Changes hvae been made.,No Changes have been made.
127.geocodecitylevel,"Seattle, WA
(47.603229, -122.33028)","Dawson Springs, KY
(37.167311, -87.692555)"
3278.county,Mimlam,Milam
883.psapid,6574.0,5864
3473.typeofchangefulltext,No Changes zhave been made.,No Changes have been made.
6534.statevalue,PvA,PA
6022.city,Weabash,Wabash
648.geocodecitylevel,"Wilmington, DE
(39.744432, -75.5451)","Owhyee, NV
(41.937167, -116.095134)"
943.geocodecitylevel,"Great Lakes, IL
(42.307598, -87.853104)","Wayne, NJ
(40.927178, -74.231046)"
2274.county,Sant Clara,Santa Clara
23.datelastmodified,03/04/2004***,03/04/2004
907.geocodecitylevel,"San Antonio, TX
(29.425173, -98.494599)","Fincastle, VA
(37.499015, -79.87606)"
962.psapid,6574.0,3898
590.geocodecitylevel,"Medford, WI
(45.14287, -90.342964)","Livingston, LA
(30.503191, -90.749792)"
2677.psapname,Healdsburg Poilce Department,Healdsburg Police Department
469.psapid,6534.0,5222
643.psapid,6534.0,2455
1042.geocodecitylevel,"Cheyenne, WY
(41.14024, -104.818802)","Big Rapids, MI
(43.702205, -85.48398)"
6649.statevalue,IW,WI
7872.county,Earxly,Early
3310.city,Hdollywood,Hollywood
4533.psapname,Jackson Police Departmetn,Jackson Police Department
6315.datelastmodified,03/04/2040,03/04/2004
5854.city,Lillingtoln,Lillington
888.geocodecitylevel,"Del Rio, TX
(29.365723, -100.897922)","Washington, KS
(39.813535, -97.051315)"
7799.county,Lee***,Lee
2009.city,Crhillicothe,Chillicothe
4587.county,Washode,Washoe
894.geocodecitylevel,"Peekskill, NY
(41.290357, -73.921894)","Henderson, KY
(37.836281, -87.590825)"
6419.statevalue,bNE,NE
1461.datelastmodified,01/31/0206,01/31/2006
547.datelastmodified,0/15/2005,09/15/2005
7967.psapname,Clay Area Emergenc yService Communication Center,Clay Area Emergency Service Communication Center
5762.city,Pjayson,Payson
8033.city,Houstn,Houston
182.psapid,7346.0,7357
1889.city,rWangell,Wrangell
4237.city,Fredericwktown,Fredericktown
2908.county,Jacksn,Jackson
3158.city,Westeryl,Westerly
3898.typeofchangefulltext,No Chanjges have been made.,No Changes have been made.
6580.typeofchangefulltext,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in uture filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
497.geocodecitylevel,"Medford, WI
(45.14287, -90.342964)","Bushnell, FL
(28.663094, -82.110561)"
6780.datelastmodified,0/04/2004,03/04/2004
559.geocodecitylevel,"Abbeville, LA
(29.973848, -92.134547)","Williamsburg, KY
(36.740616, -84.162089)"
155.psapid,2266.0,6821
1811.statevalue,I,HI
7936.city,Hecndersonville,Hendersonville
5959.geocodecitylevel,"Lincoln Center, KS
(39.047979, -98.144602)","Lincoln Center, KS
(39.049779, -98.144602)"
2067.psapid,2282.0,2087
4260.psapname,East Lyme Emergency Communication Cneter,East Lyme Emergency Communication Center
954.psapid,3354.0,894
2973.city,Richomnd,Richmond
7614.statevalue,LF,FL
2368.typeofchangefulltext,"PSAP Name, State ,County or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
2106.datelastmodified,08/17d/2017,08/17/2017
4926.statevalue,JN,NJ
857.county,Ttillamook,Tillamook
2228.psapname,McnairyCounty 911,Mcnairy County 911
279.psapid,5093.0,6017
990.psapid,2984.0,7122
675.geocodecitylevel,"AZ
(34.869712, -111.760902)","Troy, MI
(42.56294, -83.154042)"
8369.county,eoria,Peoria
458.psapid,7344.0,2776
7031.datelastmodified,03/0/2004,03/04/2004
4606.datelastmodified,10/102014,10/10/2014
300.typeofchangefulltext,No Changes hav been made.,No Changes have been made.
6297.psapname,Hernando County Sherifhfs Department,Hernando County Sheriffs Department
1044.geocodecitylevel,"Hometown, IL
(41.73199, -87.73231)","Arab, AL
(34.316833, -86.49582)"
945.psapid,5215.0,2298
7949.statevalue,A,WA
7096.city,Wooter,Wooster
3933.datelastmodified,01/2c9/2009,01/29/2009
6587.typeofchangefulltext,Nod Changes have been made.,No Changes have been made.
6757.datelastmodified,s11/09/2004,11/09/2004
1166.psapid,8502.0,1801
4959.city,Suart,Stuart
1195.psapid,5137.0,673
851.county,Henyr,Henry
2289.city,Knxoville,Knoxville
1028.statevalue,N,TN
128.typeofchangefulltext,No Chagnes have been made.,No Changes have been made.
7589.psapname,Grant Couty Sheriffs Office,Grant County Sheriffs Office
451.datelastmodified,03/04q/2004,03/04/2004
355.psapid,7346.0,4471
199.geocodecitylevel,"Sturtevant, WI
(42.69799, -87.89603)","Blanca, CO
(37.440318, -105.513541)"
730.psapid,2282.0,3414
5306.county,Newpotr,Newport
7758.typeofchangefulltext,No Changes have bewen made.,No Changes have been made.
2879.datelastmodified,03/04/2n004,03/04/2004
974.county,Lincon,Lincoln
6013.county,itkin,Pitkin
1122.county,Nacogdches,Nacogdoches
846.psapid,7346.0,8349
2142.statevalue,CD,DC
3631.county,Meckenburg,Mecklenburg
1751.city,tWayne,Wayne
2885.psapname,Lebanon Police Depratment,Lebanon Police Department
8283.statevalue,CdA,CA
4625.psapname,Pasquotank-camden-elizabet City Central Communications Center,Pasquotank-camden-elizabeth City Central Communications Center
334.psapid,3354.0,1051
634.psapid,2984.0,6628
7787.datelastmodified,12/19/2z013,12/19/2013
685.psapid,7403.0,5776
904.geocodecitylevel,"Malad City, ID
(42.183976, -112.248058)","La Crescenta, CA
(34.224201, -118.239197)"
2859.psapname,Wjebster County,Webster County
6220.city,Pine Rqidge,Pine Ridge
4774.typeofchangefulltext,Secondary PSAP associateyd with a Primary PSAP. Use the Primary PSAP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
4682.statevalue,TrX,TX
5205.psapname,ew Holstein Police Department,New Holstein Police Department
1484.psapname,Hodgeman County Sheriff's Offie,Hodgeman County Sheriff's Office
4066.statevalue,L,FL
6807.county,Plymouh,Plymouth
445.geocodecitylevel,"Owego, NY
(42.103237, -76.263163)","Warren, OH
(41.236121, -80.816186)"
4453.datelastmodified,060/9/2011,06/09/2011
4987.city,Louisvile,Louisville
4186.geocodecitylevel,"erea, KY
(37.568457, -84.296789)","Berea, KY
(37.568457, -84.296789)"
6994.psapname,Rhode Island E9-1-1 Emergency Telephone Systm,Rhode Island E9-1-1 Emergency Telephone System
369.county,Solnao,Solano
7382.city,vLima,Lima
6970.datelastmodified,03/042/004,03/04/2004
6135.datelastmodified,05/0/2013,05/03/2013
4169.county,Oscela,Osceola
207.statevalue,AV,VA
325.typeofchangefulltext,"PSAP Nam,e State, County or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
3722.statevalue,H,OH
913.geocodecitylevel,"Erie, NY","Brewer, ME
(44.794712, -68.766164)"
6128.geocodecitylevel,"Winchester, TN
(35.816788, -86.111798)","Winchester, TN
(35.186788, -86.111798)"
1780.datelastmodified,091/2/2013,09/12/2013
2515.statevalue,XT,TX
8105.datelastmodified,3/04/2004,03/04/2004
1051.geocodecitylevel,"Gallup, NM
(35.519123, -108.739769)","New Ulm, MN
(44.312958, -94.456617)"
6633.geocodecitylevel,"Washington, VA
(38.7g13527, -78.159831)","Washington, VA
(38.713527, -78.159831)"
1485.datelastmodified,06z/29/2015,06/29/2015
993.geocodecitylevel,"Wilmer, TX
(32.59067, -96.684108)","Salyersville, KY
(37.748596, -83.066955)"
6350.county,Ellsis,Ellis
5682.typeofchangefulltext,PSAP was added since the original posting odf the FCC Registry.,PSAP was added since the original posting of the FCC Registry.
8367.datelastmodified,100/4/2012,10/04/2012
6097.typeofchangefulltext,Orphaned PSAP n longer considered a primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
174.geocodecitylevel,"Spencer, IN
(39.287029, -86.762548)","Steele, ND
(46.856574, -99.91569)"
2911.datelastmodified,03/04/2040,03/04/2004
1749.typeofchangefulltext,No Changes have been msade.,No Changes have been made.
3641.datelastmodified,o02/07/2005,02/07/2005
1907.datelastmodified,10/8/2008,10/08/2008
2512.datelastmodified,04/p20/2004,04/20/2004
8225.geocodecitylevel,"Towson, MD
(39.401814, -76.60x2736)","Towson, MD
(39.401814, -76.602736)"
5751.geocodecitylevel,"Oak Cresek, CO
(40.275991, -106.956947)","Oak Creek, CO
(40.275991, -106.956947)"
7765.county,Vermillino,Vermillion
1344.psapid,7346.0,4393
7031.county,Flod,Floyd
3756.typeofchangefulltext,No Chnges have been made.,No Changes have been made.
983.psapid,2266.0,2430
3766.city,Sprin gValley,Spring Valley
3384.geocodecitylevel,"Tecumseh, O
(35.259726, -96.930413)","Tecumseh, OK
(35.259726, -96.930413)"
166.typeofchangefulltext,"PSAP Name, State, County or City text has been modified since the oriignal posting.","PSAP Name, State, County or City text has been modified since the original posting."
57.datelastmodified,1/004/2012,10/04/2012
839.psapid,5174.0,6151
5177.datelastmodified,08/222016,08/22/2016
2684.county,Blhair,Blair
509.psapid,2299.0,1215
41.psapid,6534.0,4482
1945.psapname,Arvin Police eDpartment,Arvin Police Department
8243.city,Ternton,Trenton
964.psapid,2266.0,8266
2055.city,Santa Brbara,Santa Barbara
4856.psapname,Connecticut State olice-a Troop,Connecticut State Police-a Troop
493.psapid,5137.0,7840
7010.city,Merirll,Merrill
6296.typeofchangefulltext,Orphaned PSAP no longer considered  primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
6191.geocodecitylevel,"Alabny, OR
(44.618595, -123.090339)","Albany, OR
(44.618595, -123.090339)"
4967.psapname,Great Lakse,Great Lakes
5722.statevalue,ZA,AZ
2133.statevalue,aPA,PA
1290.psapid,5137.0,1633
6645.datelastmodified,1/31/2017,01/31/2017
7760.typeofchangefulltext,"PSAP Name, State, County or Cikty text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
2859.city,Red hCloud,Red Cloud
4202.psapname,Berkey Department Of Public Safety,Berkley Department Of Public Safety
8444.city,ontrose,Montrose
2329.psapname,Independence Poice Department,Independence Police Department
7253.statevalue,Y,KY
999.geocodecitylevel,"Waupaca, WI
(44.358804, -89.084882)","Sterling, MA
(42.437712, -71.760109)"
1972.datelastmodified,2/06/2004,12/06/2004
5055.geocodecitylevel,"Carthage, TN
(36.257163n, -85.951224)","Carthage, TN
(36.257163, -85.951224)"
5203.datelastmodified,10/172/007,10/17/2007
575.typeofchangefulltext,No Changmes have been made.,No Changes have been made.
1008.statevalue,NM,MN
5637.typeofchangefulltext,No Cahnges have been made.,No Changes have been made.
7995.city,Pomnoa,Pomona
4577.city,San Brno,San Bruno
5909.typeofchangefulltext,o Changes have been made.,No Changes have been made.
2845.city,rGanbury,Granbury
5485.city,Buena ista,Buena Vista
6541.geocodecitylevel,"Geneva, NE
(40.525713, -9r7.601088)","Geneva, NE
(40.525713, -97.601088)"
836.geocodecitylevel,"Rosemont, IL
(41.991886, -87.863316)","Hays, KS
(38.87821, -99.317831)"
3121.typeofchangefulltext,No Chnges have been made.,No Changes have been made.
694.geocodecitylevel,"Inez, KY
(37.866646, -82.539105)","Charlotte, NC
(35.222936, -80.840161)"
36.psapid,2210.0,8269
671.county,Powedr River,Powder River
714.geocodecitylevel,"Waupaca, WI
(44.358804, -89.084882)","Taylor, TX
(30.570682, -97.409131)"
4775.geocodecitylevel,"Somerset, PA
(40.008431, -c79.078605)","Somerset, PA
(40.008431, -79.078605)"
5112.datelastmodified,03/04/20d04,03/04/2004
7931.city,ochelle,Rochelle
5229.psapname,National City PoliceD epartment,National City Police Department
888.psapid,2266.0,2852
7815.city,Diubois,Dubois
1361.city,Portsjmouth,Portsmouth
1510.psapname,Richland County iDspatch Center,Richland County Dispatch Center
928.geocodecitylevel,"Owego, NY
(42.103237, -76.263163)","Cando, ND
(48.486659, -99.208044)"
2919.psapname,Northfiyeld Police Department,Northfield Police Department
793.psapid,2452.0,1669
7450.typeofchangefulltext,Orphaned zPSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
700.psapid,5215.0,4916
7960.typeofchangefulltext,"PSAP Name, State, County or City text has kbeen modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
388.geocodecitylevel,"AZ
(34.869712, -111.760902)","Faulkton, SD
(45.034872, -99.130069)"
7517.typeofchangefulltext,"PSAP Name, Stvate, County or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
2735.statevalue,LF,FL
4058.statevalue,V,WV
606.psapid,6574.0,3486
6272.typeofchangefulltext,PSAP waso added since the original posting of the FCC Registry.,PSAP was added since the original posting of the FCC Registry.
5872.statevalue,OfR,OR
5450.psapname,Shelbyo County Communications,Shelby County Communications
8026.city,Vandenburg Ari Force Base,Vandenburg Air Force Base
1071.geocodecitylevel,"Lincoln, RI
(41.926671, -71.445401)","Elizabeth, CO
(39.359622, -104.601003)"
6552.typeofchangefulltext,"PSAP Name, State, County or City text hs been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
7114.typeofchangefulltext,No hanges have been made.,No Changes have been made.
4402.county,Vmictoria,Victoria
8553.typeofchangefulltext,PSAP was added since the original posting of the FCCR egistry.,PSAP was added since the original posting of the FCC Registry.
3429.geocodecitylevel,"Menlo Pjark, CA
(37.453629, -122.18296)","Menlo Park, CA
(37.453629, -122.18296)"
392.psapid,6574.0,4279
664.psapid,5093.0,559
530.geocodecitylevel,"Forest Park, GA
(33.620529, -84.366322)","Lawrenceburg, TN
(35.251345, -87.326511)"
8221.county,San Lutis Obispo,San Luis Obispo
7893.statevalue,N,MN
2935.typeofchangefulltext,No Chanegs have been made.,No Changes have been made.
3743.typeofchangefulltext,No Changeshave been made.,No Changes have been made.
8027.psapname,Fayette Counzty Oes,Fayette County Oes
1987.geocodecitylevel,"Highwood, IL
(24.207067, -87.811699)","Highwood, IL
(42.207067, -87.811699)"
5354.county,Los Angeels,Los Angeles
1072.psapid,5997.0,6546
4634.typeofchangefulltext,No Changes have bee nmade.,No Changes have been made.
496.statevalue,NI,IN
1299.psapid,2619.0,5423
1406.county,Sanpekte,Sanpete
2097.typeofchangefulltext,Secondary PSAP associaed with a Primary PSAP. Use the Primary PSAP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
3248.county,Tulrsa,Tulsa
922.geocodecitylevel,"Scarsdale, NY
(40.988732, -73.796583)","Beaumont, TX
(30.08617, -94.102012)"
1811.datelastmodified,03/28/011,03/28/2011
5106.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refrani from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
526.geocodecitylevel,"Great Lakes, IL
(42.307598, -87.853104)","Athol, MA
(42.593126, -72.227055)"
5797.statevalue,X,TX
7448.psapname,Marshall oCunty 911,Marshall County 911
1215.psapid,5400.0,3697
717.geocodecitylevel,"Sibley, IA
(43.404, -95.751208)","Flemingsburg, KY
(38.422116, -83.733744)"
3132.statevalue,OC,CO
7355.psapname,Ardmore/carater County E9-1-1 Center,Ardmore/carter County E9-1-1 Center
115.county,Zavaal,Zavala
7514.statevalue,hAL,AL
722.geocodecitylevel,"Rosemont, IL
(41.991886, -87.863316)","Lancaster, SC
(34.721126, -80.771316)"
299.typeofchangefulltext,NoC hanges have been made.,No Changes have been made.
3637.county,Fot Bend,Fort Bend
7975.statevalue,Z,AZ
7257.city,kRoseville,Roseville
8397.geocodecitylevel,"La Grange, TX
(29.9u05588, -96.876663)","La Grange, TX
(29.905588, -96.876663)"
7858.datelastmodified,0/04/2004,03/04/2004
1021.geocodecitylevel,"Darrington, WA
(48.255271, -121.604924)","Walnut Ridge, AR
(36.069736, -90.957539)"
3036.datelastmodified,7/02/2008,07/02/2008
5839.statevalue,D,ND
984.geocodecitylevel,"Owego, NY
(42.103237, -76.263163)","Somerset, KY
(37.092109, -84.60461)"
3789.datelastmodified,03/04/2040,03/04/2004
945.geocodecitylevel,"AZ
(34.869712, -111.760902)","Lake Zurich, IL
(42.196926, -88.093087)"
6520.psapname,Todd County Sheriffs fOfice,Todd County Sheriffs Office
5039.typeofchangefulltext,PSAP was added since the original postnig of the FCC Registry.,PSAP was added since the original posting of the FCC Registry.
7602.city,zKosciusko,Kosciusko
2806.geocodecitylevel,"San Marcos, TX
(29.882083, -d97.939985)","San Marcos, TX
(29.882083, -97.939985)"
2478.city,Carrohllton,Carrollton
645.psapid,5093.0,7044
513.geocodecitylevel,"Owego, NY
(42.103237, -76.263163)","Winter Park, FL
(28.600246, -81.33882)"
3546.county,Tallaposoa,Tallapoosa
5664.county,Ipron,Iron
7761.county,Yoklo,Yolo
390.psapid,445.0,6846
1165.psapid,2321.0,3814
1398.county,Macoupni,Macoupin
6443.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refprain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1154.statevalue,E,NE
405.county,Lincolnn,Lincoln
5838.statevalue,LA,AL
4990.typeofchangefulltext,No Changesm have been made.,No Changes have been made.
