psapid,psapname,county,city,statevalue,typeofchangefulltext,datelastmodified,geocodecitylevel
2686.0,Warrick Central Dispatch,Warrick,Boonville,IN,No Changes have been made.,03/04/2004,"Boonville, IN (38.049999, -87.274302)"
2847.0,Trego County Law Enforcement Center,Trego,Wakeeney,KS,No Changes have been made.,03/04/2004,"Wakeeney, KS (39.021331, -99.88078)"
4482.0,Wilkes County Sheriffs Communications,Wilkes,Wilkesboro,NC,No Changes have been made.,03/04/2004,"Wilkesboro, NC (36.145878, -81.161309)"
3165.0,Fall River Police Department,Bristol,Fall River,MA,No Changes have been made.,03/04/2004,"Fall River, MA (41.701025, -71.155389)"
2982.0,Marion Police Department,Crittenden,Marion,KY,No Changes have been made.,03/04/2004,"Marion, KY (37.332986, -88.08132)"
8171.0,Reedy Creek Emergency Services,Orange,Lake Buena Vista,FL,PSAP was added since the original posting of the FCC Registry.,08/02/2007,"Lake Buena Vista, FL (28.393671, -81.528968)"
2313.0,Lynwood-thornton East Hazel Crest Police Fire Ems,Cook,Lynwood,IL,No Changes have been made.,03/04/2004,"Lynwood, IL (41.531192, -87.539041)"
5461.0,Ohio State Highway Patrol-sandusky,Erie,Sandusky,OH,No Changes have been made.,03/04/2004,"Sandusky, OH (41.454934, -82.710963)"
3053.0,Beaureguard Parish Communications District,Beauregard,Deridder,LA,No Changes have been made.,03/04/2004,"Deridder, LA (30.847861, -93.285518)"
4953.0,Roswell Police Department,Chaves,Roswell,NM,No Changes have been made.,03/04/2004,"Roswell, NM (33.393142, -104.522734)"
2085.0,Oneida County Sheriff,Oneida,Malad City,ID,No Changes have been made.,03/04/2004,"Malad City, ID (42.183976, -112.248058)"
2788.0,Montgomery County Sheriffs Office,Montgomery,Independence,KS,No Changes have been made.,03/04/2004,"Independence, KS (37.232351, -95.706596)"
203.0,Hanceville Police Department,Cullman,Hanceville,AL,No Changes have been made.,03/04/2004,"Hanceville, AL (34.065461, -86.764111)"
7832.0,Sandwich Police,Barnstable,Sandwich,MA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Sandwich, MA (41.757724, -70.500139)"
859.0,Orange Police Department,Orange,Orange,CA,No Changes have been made.,03/04/2004,"Orange, CA (33.791489, -117.853096)"
2282.0,Jersey County Sheriffs Department,Jersey,Jerseyville,IL,No Changes have been made.,03/04/2004,"Jerseyville, IL (39.119444, -90.327431)"
5254.0,Beavercreek Police Department,Greene,Beavercreek,OH,No Changes have been made.,03/04/2004,"Beavercreek, OH (39.73277, -84.065876)"
5034.0,Ardsley Village Police Department,Westchester,Ardsley,NY,No Changes have been made.,03/04/2004,"Ardsley, NY (41.008591, -73.841246)"
8358.0,Us Navy Navsta Great Lakes,Lake,Great Lakes,IL,PSAP was added since the original posting of the FCC Registry.,10/04/2012,"Great Lakes, IL (42.307598, -87.853104)"
8480.0,Sacramento International Airport Police,Sacramento,Sacramento,CA,PSAP was added since the original posting of the FCC Registry.,05/05/2015,"Sacramento, CA (38.582087, -121.50012)"
1804.0,Lumpkin County 9-1-1,Lumpkin,Dahlonega,GA,No Changes have been made.,03/04/2004,"Dahlonega, GA (34.533691, -83.983274)"
2897.0,Cynthiana-harrison County E9-1-1,Harrison,Cynthiana,KY,No Changes have been made.,03/04/2004,"Cynthiana, KY (38.392918, -84.292489)"
1331.0,Derby Police Department,New Haven,Derby,CT,No Changes have been made.,03/04/2004,"Derby, CT (41.322959, -73.089594)"
7487.0,Platteville Police Department,Grant,Platteville,WI,No Changes have been made.,03/04/2004,"Platteville, WI (42.732914, -90.4781)"
5415.0,Mayfield Heights Police,Cuyahoga,Mayfield Heights,OH,No Changes have been made.,03/04/2004,"Mayfield Heights, OH (41.520067, -81.463245)"
2786.0,Miami County Sheriffs Office,Miami,Paola,KS,No Changes have been made.,03/04/2004,"Paola, KS (38.576654, -94.868369)"
5997.0,State Police-lincoln Barracks,Providence,Lincoln,RI,No Changes have been made.,03/04/2004,"Lincoln, RI (41.926671, -71.445401)"
7004.0,Wilmer Police Department,Dallas,Wilmer,TX,No Changes have been made.,03/04/2004,"Wilmer, TX (32.59067, -96.684108)"
1396.0,Stamford Emergency Communication Center,Fairfield,Stamford,CT,No Changes have been made.,03/04/2004,"Stamford, CT (41.051924, -73.539475)"
6414.0,Atlanta Police Department,Cass,Atlanta,TX,No Changes have been made.,03/04/2004,"Atlanta, TX (33.117758, -94.155238)"
230.0,Macon County Sheriffs Office,Macon,Tuskegee,AL,No Changes have been made.,03/04/2004,"Tuskegee, AL (32.423636, -85.690489)"
2028.0,Westcom,Polk,West Des Moines,IA,"PSAP Name, State, County or City text has been modified since the original posting.",10/05/2017,"West Des Moines, IA (41.575505, -93.713031)"
1996.0,Osceola County Sheriff's Office,Osceola,Sibley,IA,"PSAP Name, State, County or City text has been modified since the original posting.",08/30/2017,"Sibley, IA (43.404, -95.751208)"
45.0,Galena Health Center,Yukon-koyukuk Census Area,Galena,AK,No Changes have been made.,03/04/2004,"Galena, AK (64.73396, -156.928334)"
5539.0,Vermilion Police Department,Erie,Vermilion,OH,No Changes have been made.,03/04/2004,"Vermilion, OH (41.422021, -82.364611)"
5560.0,Wickliffe Police,Lake,Wickliffe,OH,No Changes have been made.,03/04/2004,"Wickliffe, OH (41.605007, -81.475558)"
106.0,Tanana Emergency Medical Services,Yukon-koyukuk Census Area,Tanana,AK,No Changes have been made.,03/04/2004,"Tanana, AK (65.15647, -152.103712)"
6275.0,Hohenwald Police Department,Lewis,Hohenwald,TN,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,05/22/2008,"Hohenwald, TN (35.54945, -87.560075)"
5982.0,Pawtucket Fire And Rescue Department,Providence,Pawtucket,RI,No Changes have been made.,03/04/2004,"Pawtucket, RI (41.8799, -71.382408)"
1762.0,Forest Park City,Clayton,Forest Park,GA,No Changes have been made.,03/04/2004,"Forest Park, GA (33.620529, -84.366322)"
725.0,Cal-fire Fortuna (humboldt/del Norte Unit),Humboldt,Fortuna,CA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,04/29/2010,"Fortuna, CA (40.58858, -124.146858)"
305.0,Clay County Sheriffs Department,Clay,Piggott,AR,No Changes have been made.,03/04/2004,"Piggott, AR (36.382142, -90.190529)"
7298.0,Lapush Police Department,Clallam,Lapush,WA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,09/19/2005,"Lapush, WA (47.908901, -124.6353)"
6457.0,Brookshire Police Department,Waller,Brookshire,TX,No Changes have been made.,03/04/2004,"Brookshire, TX (29.786298, -95.9513)"
6671.0,Irving Police Department East,Dallas,Irving,TX,"PSAP Name, State, County or City text has been modified since the original posting.",10/09/2007,"Irving, TX (32.813879, -96.949933)"
1968.0,Joint Emergency Communications Center (jecc),Johnson,Iowa City,IA,"PSAP Name, State, County or City text has been modified since the original posting.",03/07/2015,"Iowa City, IA (41.66124, -91.530128)"
6960.0,University Park Police Department,Dallas,University Park,TX,No Changes have been made.,03/04/2004,"University Park, TX (32.851576, -96.79495)"
6948.0,Tomball Police Department,Harris,Tomball,TX,No Changes have been made.,03/04/2004,"Tomball, TX (30.097205, -95.616006)"
7842.0,Southwick Police,Hampden,Southwick,MA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Southwick, MA (42.054808, -72.770113)"
828.0,Monrovia Police Department,Los Angeles,Monrovia,CA,No Changes have been made.,03/04/2004,"Monrovia, CA (34.14591, -118.000929)"
448.0,Kearny Police Department,Pinal,Kearny,AZ,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,10/05/2017,"Kearny, AZ (33.058594, -110.903704)"
1579.0,Marion County Sheriffs Department,Marion,Ocala,FL,No Changes have been made.,03/04/2004,"Ocala, FL (29.189311, -82.137789)"
6126.0,Clark County Sheriffs Department,Clark,Clark,SD,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,03/20/2016,"Clark, SD (44.8777, -97.734918)"
2027.0,Webster County Law Enforcement Center-ft Dodge,Webster,Ft Dodge,IA,No Changes have been made.,03/04/2004,"Ft Dodge, IA (42.501169, -94.169388)"
5013.0,Lyon County Dispatch Center,Lyon,Yerington,NV,No Changes have been made.,03/04/2004,"Yerington, NV (38.988757, -119.163163)"
2139.0,Buecomm,Bureau,Princeton,IL,"PSAP Name, State, County or City text has been modified since the original posting.",05/16/2013,"Princeton, IL (41.37035, -89.465045)"
6421.0,Balcones Heights Police Department,Bexar,San Antonio,TX,"PSAP Name, State, County or City text has been modified since the original posting.",09/23/2005,"San Antonio, TX (29.425173, -98.494599)"
4853.0,Sea Isle City Police Department,Cape May,Sea Isle City,NJ,No Changes have been made.,03/04/2004,"Sea Isle City, NJ (39.153421, -74.692903)"
546.0,Baldwin Park Police Department,Los Angeles,Baldwin Park,CA,No Changes have been made.,03/04/2004,"Baldwin Park, CA (34.08538, -117.960355)"
7785.0,Methuen Police,Essex,Methuen,MA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Methuen, MA (42.726101, -71.191399)"
6158.0,Lower Brule County,Lyman,Lower Brule,SD,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,01/30/2004,"Lower Brule, SD (44.07109, -99.581761)"
5238.0,Amberly Village Police Department,Hamilton,Amberly,OH,No Changes have been made.,03/04/2004,"Amberly, OH (39.195794, -84.432893)"
4683.0,Bernardsville Borough Police Department,Somerset,Bernardsville,NJ,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,12/21/2010,"Bernardsville, NJ (40.719225, -74.569359)"
5195.0,Scarsdale Village Police Department,Westchester,Scarsdale,NY,No Changes have been made.,03/04/2004,"Scarsdale, NY (40.988732, -73.796583)"
2397.0,Putnam County Sheriffs Office,Putnam,Hennepin,IL,No Changes have been made.,03/04/2004,"Hennepin, IL (41.252926, -89.343256)"
7514.0,Sturtevant Police,Racine,Sturtevant,WI,No Changes have been made.,03/04/2004,"Sturtevant, WI (42.69799, -87.89603)"
5746.0,Woodward County 911 Communications,Woodward,Woodward,OK,"PSAP Name, State, County or City text has been modified since the original posting.",05/22/2015,"Woodward, OK (36.433741, -99.398387)"
6321.0,Morristown Rescue Squad,Hamblen,Morristown,TN,No Changes have been made.,03/04/2004,"Morristown, TN (36.214459, -83.295107)"
742.0,Glendora Police Department,Los Angeles,Glendora,CA,No Changes have been made.,03/04/2004,"Glendora, CA (34.136001, -117.865485)"
5640.0,Tillman County E9-1-1,Tillman,Frederick,OK,"PSAP Name, State, County or City text has been modified since the original posting.",02/04/2010,"Frederick, OK (34.392082, -99.010781)"
571.0,Butte County Sheriff (oroville),Butte,Oroville,CA,"PSAP Name, State, County or City text has been modified since the original posting.",04/27/2010,"Oroville, CA (39.512339, -121.554608)"
4519.0,Logan County,Logan,Napoleon,ND,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/06/2013,"Napoleon, ND (46.503786, -99.769071)"
6857.0,River Oaks Police Department,Tarrant,River Oaks,TX,No Changes have been made.,03/04/2004,"River Oaks, TX (32.773231, -97.399845)"
2516.0,Benton County Sheriffs Office,Benton,Fowler,IN,No Changes have been made.,03/04/2004,"Fowler, IN (40.617668, -87.323452)"
3699.0,Pipestone County Psap,Pipestone,Pipestone,MN,"PSAP Name, State, County or City text has been modified since the original posting.",12/19/2013,"Pipestone, MN (44.000535, -96.30752)"
266.0,Slocomb Police Department,Geneva,Slocomb,AL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,08/07/2013,"Slocomb, AL (31.10763, -85.593662)"
6520.0,Crystal City Police Department,Zavala,Crystal City,TX,No Changes have been made.,03/04/2004,"Crystal City, TX (28.694299, -99.830747)"
5829.0,Silver Falls 9-1-1,Marion,Silverton,OR,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,02/13/2016,"Silverton, OR (45.005538, -122.78206)"
6466.0,Burnet County Sheriff's Office,Burnet,Burnet,TX,"PSAP Name, State, County or City text has been modified since the original posting.",10/05/2017,"Burnet, TX (30.758093, -98.22876)"
4496.0,Bia Law Enforcement-turtle Mountain Agency,Rolette,Belcourt,ND,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,08/20/2004,"Belcourt, ND (48.839153, -99.744853)"
2966.0,Lawrenceburg Police Department,Anderson,Lawrenceburg,KY,No Changes have been made.,03/04/2004,"Lawrenceburg, KY (38.034294, -84.895387)"
6012.0,Woonsocket Police Department,Providence,Woonsocket,RI,No Changes have been made.,03/04/2004,"Woonsocket, RI (42.000971, -71.505472)"
2346.0,Morris City Police Department,Grundy,Morris,IL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,03/07/2015,"Morris, IL (41.359352, -88.421581)"
6850.0,Red Oak Police Department,Ellis,Red Oak,TX,No Changes have been made.,03/04/2004,"Red Oak, TX (32.516662, -96.800743)"
7284.0,Issaquah Police Department,King,Issaquah,WA,No Changes have been made.,03/04/2004,"Issaquah, WA (47.530072, -122.032904)"
1671.0,Temple Terrace Police Department,Hillsborough,Temple Terrace,FL,No Changes have been made.,03/04/2004,"Temple Terrace, FL (28.035943, -82.389373)"
4144.0,Madison County Sheriff,Madison,Virginia City,MT,No Changes have been made.,03/04/2004,"Virginia City, MT (45.293704, -111.944132)"
7540.0,Wisconsin Dells Police Department,Columbia,Wisconsin Dells,WI,No Changes have been made.,03/04/2004,"Wisconsin Dells, WI (43.652392, -89.775781)"
8302.0,Dawson Springs Police Department,Hopkins,Dawson Springs,KY,PSAP was added since the original posting of the FCC Registry.,05/05/2011,"Dawson Springs, KY (37.167311, -87.692555)"
6004.0,Warwick Fire And Rescue Department,Kent,Warwick,RI,No Changes have been made.,03/04/2004,"Warwick, RI (41.698709, -71.460018)"
1441.0,Wilmington 9-1-1 Center,New Castle,Wilmington,DE,"PSAP Name, State, County or City text has been modified since the original posting.",11/21/2005,"Wilmington, DE (39.744432, -75.5451)"
3553.0,Selfridge Air National Guard,Macomb,Selfridge,MI,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,12/06/2004,"Selfridge, MI (42.5872, -82.833504)"
3628.0,Faribault Police Department,Faribault,Faribault,MN,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,10/12/2005,"Faribault, MN (44.294758, -93.268448)"
2661.0,Seymour Police Department,Jackson,Seymour,IN,No Changes have been made.,03/04/2004,"Seymour, IN (38.957531, -85.885428)"
5785.0,John Day Emergency Communications Center,Grant,John Day,OR,"PSAP Name, State, County or City text has been modified since the original posting.",10/05/2017,"John Day, OR (44.389673, -118.950086)"
6841.0,Quanah-hardeman County Sheriffs Department,Hardeman,Quanah,TX,No Changes have been made.,03/04/2004,"Quanah, TX (34.297752, -99.739597)"
518.0,Yavapai-prescott Tribal Police,Yavapai,Prescott,AZ,No Changes have been made.,03/04/2004,"Prescott, AZ (34.541445, -112.470124)"
160.0,Conecuh County Sheriff's Office Dispatch,Conecuh,Evergreen,AL,"PSAP Name, State, County or City text has been modified since the original posting.",08/14/2013,"Evergreen, AL (31.435609, -86.956377)"
3817.0,Hazelwood Police Department,St. Louis,Hazelwood,MO,No Changes have been made.,03/04/2004,"Hazelwood, MO (38.785254, -90.390119)"
5290.0,City Of Canton Police,Stark,Canton,OH,No Changes have been made.,03/04/2004,"Canton, OH (40.797388, -81.377036)"
6263.0,Hamilton County Ems,Hamilton,Chattanooga,TN,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,09/11/2013,"Chattanooga, TN (35.045756, -85.308287)"
5651.0,Haskell County Sheriff,Haskell,Stigler,OK,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,09/24/2014,"Stigler, OK (35.253391, -95.122361)"
507.0,Tucson Fire Medics,Pima,Tucson,AZ,No Changes have been made.,03/04/2004,"Tucson, AZ (32.221878, -110.971225)"
5912.0,Montgomery County Department Of Public Safety,Montgomery,Eagleville,PA,"PSAP Name, State, County or City text has been modified since the original posting.",03/07/2015,"Eagleville, PA (41.056647, -77.593035)"
6392.0,Alton Police Department,Hidalgo,Alton,TX,"PSAP Name, State, County or City text has been modified since the original posting.",12/15/2016,"Alton, TX (26.28708, -98.313631)"
1974.0,Leecomm,Lee,Montrose,IA,"PSAP Name, State, County or City text has been modified since the original posting.",05/14/2014,"Montrose, IA (40.530605, -91.411211)"
739.0,Garden Grove Police Department,Orange,Garden Grove,CA,No Changes have been made.,03/04/2004,"Garden Grove, CA (33.776069, -117.937878)"
4606.0,Hayes County,Hayes,Hayes Center,NE,"PSAP Name, State, County or City text has been modified since the original posting.",11/09/2004,"Hayes Center, NE (40.509317, -101.016136)"
4145.0,Malmstrom Air Force Base,Cascade,Malmstrom Afb,MT,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/19/2005,"Malmstrom Afb, MT (47.509384, -111.190689)"
5325.0,Eaton Police Department,Preble,Eaton,OH,No Changes have been made.,03/04/2004,"Eaton, OH (39.747897, -84.636411)"
85.0,Petersburg Volunteer Fire Department,Wrangell-petersburg Census Area,Petersburg,AK,No Changes have been made.,03/04/2004,"Petersburg, AK (56.811109, -132.957367)"
5387.0,Kirtland Police,Lake,Kirtland,OH,No Changes have been made.,03/04/2004,"Kirtland, OH (41.615523, -81.356079)"
5400.0,Loudonville Police Department,Ashland,Loudonville,OH,No Changes have been made.,03/04/2004,"Loudonville, OH (40.635591, -82.233485)"
2865.0,Ballard County Detention Center,Ballard,Wickliffe,KY,No Changes have been made.,03/04/2004,"Wickliffe, KY (36.964811, -89.089171)"
8177.0,Airport Communications,Marion,Indianapolis,IN,PSAP was added since the original posting of the FCC Registry.,10/02/2007,"Indianapolis, IN (39.76845, -86.156212)"
2602.0,Lafayette Police Department,Tippecanoe,Lafayette,IN,No Changes have been made.,03/04/2004,"Lafayette, IN (40.417328, -86.890617)"
6821.0,Parker County Sheriffs Department,Parker,Weatherford,TX,No Changes have been made.,03/04/2004,"Weatherford, TX (32.757462, -97.814529)"
5422.0,Mercer County Sheriffs Office,Mercer,Celina,OH,No Changes have been made.,03/04/2004,"Celina, OH (40.549993, -84.570811)"
427.0,Eloy Police Department,Pinal,Eloy,AZ,No Changes have been made.,03/04/2004,"Eloy, AZ (32.751976, -111.55485)"
1622.0,Palm Beach Shores Public Safety Department,Palm Beach,Palm Beach Shores,FL,No Changes have been made.,03/04/2004,"Palm Beach Shores, FL (26.778446, -80.035202)"
1468.0,Calhoun County Sheriffs Department,Calhoun,Blountstown,FL,No Changes have been made.,03/04/2004,"Blountstown, FL (30.445812, -85.04496)"
3230.0,Prince Georges County Emerg Communications Center,Prince George's,Landover,MD,"PSAP Name, State, County or City text has been modified since the original posting.",11/09/2004,"Landover, MD (38.933597, -76.907114)"
2680.0,Union County 911,Union,Liberty,IN,"PSAP Name, State, County or City text has been modified since the original posting.",12/15/2015,"Liberty, IN (39.633401, -84.923328)"
629.0,Chp-los Angeles Communications Center-baldwin Park,Los Angeles,Los Angeles,CA,"PSAP Name, State, County or City text has been modified since the original posting.",06/24/2010,"Los Angeles, CA (34.052238, -118.243344)"
3746.0,Ballwin Police Department,St. Louis,Ballwin,MO,"PSAP Name, State, County or City text has been modified since the original posting.",05/14/2008,"Ballwin, MO (38.595104, -90.544918)"
3819.0,Hickory County Sheriffs Department,Hickory,Hermitage,MO,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,04/30/2004,"Hermitage, MO (37.944885, -93.325027)"
5307.0,Coshocton County Sheriffs Office,Coshocton,Coshocton,OH,No Changes have been made.,03/04/2004,"Coshocton, OH (40.269647, -81.850516)"
3700.0,Polk County Psap,Polk,Crookston,MN,"PSAP Name, State, County or City text has been modified since the original posting.",12/19/2013,"Crookston, MN (47.773789, -96.606834)"
5951.0,Cranston Fire And Rescue Department,Providence,Cranston,RI,No Changes have been made.,03/04/2004,"Cranston, RI (41.778963, -71.435808)"
7964.0,Ablemarle Emergency Communications Center,Albemarle,Houston,VA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,01/03/2005,"VA (37.542699, -78.45822)"
3260.0,Kennebunkport Police Department,York,Kennebunkport,ME,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,07/02/2008,"Kennebunkport, ME (43.360884, -70.474104)"
7401.0,Burnett County Sheriffs Department,Burnett,Siren,WI,No Changes have been made.,03/04/2004,"Siren, WI (45.782603, -92.38116)"
3433.0,Keweenaw County Sheriffs Office,Keweenaw,Eagle River,MI,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,12/06/2004,"Eagle River, MI (47.413852, -88.29555)"
5744.0,Weatherford Police Department,Custer,Weatherford,OK,No Changes have been made.,03/04/2004,"Weatherford, OK (35.526058, -98.704959)"
6830.0,Pharr Police Department,Hidalgo,Pharr,TX,"PSAP Name, State, County or City text has been modified since the original posting.",12/15/2016,"Pharr, TX (26.193348, -98.184175)"
4516.0,Kidder County Sheriff,Kidder,Steele,ND,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/06/2013,"Steele, ND (46.856574, -99.91569)"
769.0,Irwindale Police Department,Los Angeles,Irwindale,CA,No Changes have been made.,03/04/2004,"Irwindale, CA (34.103775, -117.934149)"
3722.0,Rice / Steele County Combined 911 Center,Steele,Owatonna,MN,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,10/12/2005,"Owatonna, MN (44.084811, -93.225492)"
2382.0,Park Ridge Police Department,Cook,Park Ridge,IL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,06/02/2008,"Park Ridge, IL (42.011007, -87.835869)"
1809.0,Mcduffie County Communications,Mcduffie,Thomson,GA,"PSAP Name, State, County or City text has been modified since the original posting.",03/31/2014,"Thomson, GA (33.466202, -82.502554)"
5658.0,Iowa Tribal Police Department,Payne,Perkins,OK,No Changes have been made.,03/04/2004,"Perkins, OK (35.976226, -97.027773)"
5092.0,Hamburg,Erie,Hamburg,NY,No Changes have been made.,03/04/2004,"Hamburg, NY (42.723291, -78.839026)"
6548.0,Donna Police Department,Hidalgo,Donna,TX,No Changes have been made.,03/04/2004,"Donna, TX (26.1707, -98.054279)"
7357.0,Spokane Fire Department,Spokane,Spokane,WA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,09/19/2005,"Spokane, WA (47.658999, -117.425022)"
1718.0,Candler County Sheriffs Office,Candler,Metter,GA,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/24/2014,"Metter, GA (32.39722, -82.060135)"
