psapid(long),psapname,county,city,statevalue,typeofchangefulltext,datelastmodified,geocodecitylevel
7346.0,Seattle Police Department,King,Seattle,WA,No Changes have been made.,03/04/2004,"Seattle, WA (47.603229, -122.33028)"
5137.0,New York City Police Department -brooklyn,New York,Brooklyn,NY,No Changes have been made.,03/04/2004,"Brooklyn, NY (40.692529, -73.990996)"
6534.0,Del Rio Police Department,Val Verde,Del Rio,TX,No Changes have been made.,03/04/2004,"Del Rio, TX (29.365723, -100.897922)"
2619.0,Torrington Police Department,Goshen,Torrington,WY,No Changes have been made.,03/04/2004,"Waupaca, WI (44.358804, -89.084882)"
8131.0,E-com Dispatch Center,Cook,Homewood,IL,PSAP was added since the original posting of the FCC Registry.,12/30/2005,"Homewood, IL (41.563348, -87.668329)"
6574.0,Everman Police Department,Tarrant,Everman,TyX,No Changes have been made.,03/04/2004,"Everman, TX (32.632014, -97.287121)"
7516.0,Taylor County,Taylor,Medford,WI,No Changes have been made.,03/04/2004,"Medford, WI (45.14287, -90.342964)"
7620.0,Suffolk County Police Department,Suffolk,Yaphank,NY,No Changes have been made.,03/04/2004,"AZ (34.869712, -111.760902)"
3354.0,Clare County Central Dispatch,Clare,Harrison,MI,No Changes have been made.,03/04/2004***,"Harrison, MI (42.58763, -82.81854)"
6574.0,Daniels County Sheriffs Office,Daniels,Scobey,MuT,No Changes have been made.,03/04/200k4,"Cheyenne, WY (41.14024, -104.818802)"
1564.0,Largo Police Department,Pinellas,Largo,FL,No Changes have been made.,03/d04/2004,"Largo, FL (27.91829, -82.774936)"
7403.0,Caledonia Police,Racine,Caledonia,WI,No Changes have been made.,03/04/0204,"Caledonia, WI (42.814847, -87.914135)"
2210.0,Edwards County Sheriffs Department,Edwards,Albion,IL,No Changes have been made.,03/04/004,"Albion, IL (38.377003, -88.056281)"
7620.0,St James Parish 9-1-1,St. James,Convent,LA,No Changes have beenmade.,03/04/2004,"Peekskill, NY (41.290357, -73.921894)"
7344.0,Noble County Sheriff,Noble,Perry,OK,No hCanges have been made.,03/04/2004,"Cheyenne, WY (41.14024, -104.818802)"
8131.0,West Allis Police And Fire,Milwaukee,West Allis,WpI,No Changes have been made.,03/04/2004,"Waupaca, WI (44.358804, -89.084882)"
2321.0,Bethel Police Department,Fairfield,Bethel,CT,No Changes have been made.,03/04/2004,"Hometown, IL (41.73199, -87.73231)"
3138.0,Vermilion Parish Communications District,Vermilion,Abbeville,LA,No Changes have been made.,03/04/2004,"Abbeville, LA (29.973848, -92.134547)"
7403.0,Rosemont Public Safety Department,Cook,Rosemont,IL,No Changes have been made.,03/04/2004,"Rosemont, IL (41.991886, -87.863316)"
7620.0,Woodhaven Police Department,Wayne,Woodhaven,I,No Changes have been made.,03/04/2004,"Derby, CT (41.322959, -73.089594)"
2984.0,Charleston Afb Fire Department,Charleston,Charleston,SC,No Changes have been made.,03/04/2004,"Hometown, IL (41.73199, -87.73231)"
2210.0,Calloway County Fiscal Court E911,Calloway,Murray,KY,PSAP was added since the original posting of the FCC Registry.,06/10/2010,"Murray, KY (36.610582, -88.315258)"
5174.0,Peekskill City Police Department,Westchester,Peekskill,NY,No Changes have been made.,03/04/2004,"Peekskill, NY (41.290357, -73.921894)"
2321.0,Slidell Police Department,St. Tammany,Slidell,LA,No Changes have been made.,03/04/2004,"Largo, FL (27.91829, -82.774936)"
5215.0,Warrick Central Dispatch,Warrick,Boonville,IN,No Changes have been made.,03/04/2004,"Seymour, IN (38.957531, -85.885428)"
7531.0,Trego County Law Enforcement Center,Trego,Wakeeney,KS,No Changes have been made.,03/04/2004,"Bernardsville, NJ (40.719225, -74.569359)"
6534.0,Wilkes County Sheriffs Communications,Wilkes,Wilkesboro,NC,No Changes have been made.,03/4/2004,"Inez, KY (37.866646, -82.539105)"
7346.0,Fall River Police Department,Bristol,Fall River,MA,No Changes have been made.,03/04/2004,"Peru, IN (40.753762, -86.069115)"
1564.0,Marion Police Department,Crittenden,Marion,KY,No Changesh ave been made.,03/04/2004,"Mayfield Heights, OH (41.520067, -81.463245)"
5137.0,Reedy Creek Emergency Services,Orange,Lake Buena Vista,FL,PSAP was added since the original posting of the FCC Registry.,08/02/2007,"Lake Buena Vista, FL (28.393671, -81.528968)"
7531.0,Lynwood-thornton East Hazel Crest Police Fire Ems,Cook,Lynwood,IL,No Changes have been made.,03/042/004,"Largo, FL (27.91829, -82.774936)"
5137.0,Ohio State iHghway Patrol-sandusky,Erie,Sandusky,OH,No Changes have been made.,0/04/2004,"Sandusky, OH (41.454934, -82.710963)"
7344.0,Beaureguard Parish Communications District,Beauregard,Deridder,LA,No Changes have been made.,03/04/2004,"Deridder, LA (30.847861, -93.285518)"
2321.0,Roswell Police Department,Chaves,Roswell,NM,No Changes have been made.,03/04/2004,"Waupaca, WI (44.358804, -89.084882)"
2085.0,Oneida Cyounty Sheriff,Oneida,Malad City,ID,No Changes have been made.,03/04/2004,"Malad City, ID (42.183976, -112.248058)"
6574.0,Montgomery County Sheriffs Office,Montgomery,Independence,KS,No Changes have been made.,03/04/2004,"Gallup, NM (35.519123, -108.739769)"
2321.0,Hanceville Police Department,Cullman,Hanceville,AL,No Changes have been made.,03/04/2004,"Largo, FL (27.91829, -82.774936)"
7403.0,Sandwich Police,Barnstable,Sandwich,MA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Sandwich, MA (41.757724, -70.500139)"
7620.0,Orange Police Department,Oraneg,Orange,CA,No Changes have been made.,03/04/2004,"Orange, CA (33.791489, -117.853096)"
2282.0,Jersey County Sheriffs Department,Jersey,Jerseyville,IL,No Changes have been made.,03/04/2004,"Jerseyville, IL (39.119444, -90.327431)"
7516.0,Beavercreek Police Department,Greene,Beavercreek,OH,No Changes have been made.,03/04/2004,"Lincoln, RI (41.926671, -71.445401)"
445.0,Ardsley Village Police Department,Westchester,Ardsley,NY,No Changes have been made.,03/04/2004,"Homewood, IL (41.563348, -87.668329)"
6534.0,Us Najvy Navsta Great Lakes,Lake,Great Lakes,IL,PSAP was added since the original posting of the FCC Registry.,1/004/2012,"Great Lakes, IL (42.307598, -87.853104)"
5215.0,Sacramento International Airport Police,Sacramento,Sacramento,CA,PSAP was added since the original posting of the FCC Registry.,05/05/2015,"Sandusky, OH (41.454934, -82.710963)"
5137.0,Lumpkin County 9-1-1,Lumpkni,Dahlonega,GA,No Changes have been made.,03/04/2004,"Sandwich, MA (41.757724, -70.500139)"
2210.0,Cynthiana-harrison County E9-1-1,Harrison,Cynthiana,KY,No Changes have been made.,03/04/2004,"Cynthiana, KY (38.392918, -84.292489)"
2984.0,Derby Police Department,New Haven,Derby,CT,No Changes have been made.,03/04/2004,"Derby, CT (41.322959, -73.089594)"
7344.0,Platteville Police Department,Grant,Platteville,WI,No Changes have been made.,3/04/2004,"Sandusky, OH (41.454934, -82.710963)"
2984.0,Mayfield Heights Police,Cuyahoga,Mayfield Heights,OH,No Changes have been made.,03/04/2004,"Mayfield Heights, OH (41.520067, -81.463245)"
445.0,Miami County Sheriffs Office,Miami,Paola,KS,No Changes have been made.,03/04/2004,"Harrison, MI (42.58763, -82.81854)"
5997.0,State Police-lincoln Barracks,Providence,Lincoln,RI,No Changes have been made.,03/04/2004,"Lincoln, RI (41.926671, -71.445401)"
2619.0,Wilmer Police Department,Dallas,Wilmer,TX,No Changes have been made.,03/04/2004,"Wilmer, TX (32.59067, -96.684108)"
7516.0,Stamford Emergency Communication Center,Fairfienld,Stamford,CT,No Changes have been made.,03/04/2004,"Homewood, IL (41.563348, -87.668329)"
7531.0,Atlanta Police Department,Cass,Atlanta,TX,No Changes have been made.,0/304/2004,"Harrison, MI (42.58763, -82.81854)"
2266.0,Macon County Sheriffs Office,Macon,Tuskegee,AL,No Changes have been made.,03/04/2004,"Tuskegee, AL (32.423636, -85.690489)"
7344.0,Westcom,Polk,West Des Moines,IA,"PSAP Name, State, County or City text hasb een modified since the original posting.",10/05/2017,"West Des Moines, IA (41.575505, -93.713031)"
2984.0,Osceola County Sheriff's Office,Osceola,Sibley,IA,"PSAP Naem, State, County or City text has been modified since the original posting.",08/30/2017,"Sibley, IA (43.404, -95.751208)"
8131.0,Galena Health Center,Yukon-koyukuk Census Area,Galena,K,No Changes have been made.,03/04/2004,"Galena, AK (64.73396, -156.928334)"
3354.0,Vermilion Police Department,Erie,Vermilion,OH,No Changes have been made.,03/04/2004,"Gallup, NM (35.519123, -108.739769)"
7346.0,Wickliffe Police,Lake,Wickliffe,OH,No Changes have been made.,03/04/2004,"Derby, CT (41.322959, -73.089594)"
106.0,Tanana Emergency Medical Services,Yukon-koyukuk Census Area,Tanana,AK,No Changes have been made.,03/04/2004,"Tanana, AK (65.15647, -152.103712)"
5215.0,Hohenwald Police Department,Lewis,Hohenwald,TN,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,05/22/2008,"Peekskill, NY (41.290357, -73.921894)"
2619.0,Pawtucket Fire And Rescue Department,Providence,Pawtucket,RI,No Changes have een made.,03/04/2004,"AZ (34.869712, -111.760902)"
5137.0,Forest Park City,Clayton,Forest Park,GA,No Changes have been made.,03/04/2004,"Forest Park, GA (33.620529, -84.366322)"
2619.0,Cal-fire Fortuna (humboldt/del Norte Unit),Humboldt,Fortuna,CA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,04/29/2010,"Del Rio, TX (29.365723, -100.897922)"
7344.0,Clay County Sheriffs Department,Clay,Piggott,AR,No Changes have been made.,03/04/2004,"Waupaca, WI (44.358804, -89.084882)"
7403.0,Lapush Police Department,Clallam,Lapush,WA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,09/19/2005,"Seattle, WA (47.603229, -122.33028)"
6534.0,Brookshire Police Department,Waller,Brookshire,TX,No Changes have been made.,03/04/v2004,"Brookshire, TX (29.786298, -95.9513)"
5093.0,Irving Police Department East,Dallas,Irving,gTX,"PSAP Name, State, County or City text has been modified since the original posting.",10/09/2007,"Cheyenne, WY (41.14024, -104.818802)"
5093.0,Joint Emergency Communications Center (jecc),Johnson,Iowa City,IA,"PSAP Name, State, County or City text has been modified since the original posting.",03/07/2015,"Gallup, NM (35.519123, -108.739769)"
7531.0,University Park Police Department,Dallas,University Park,TX,No Changes have been made.,03/04/2004,"University Park, TX (32.851576, -96.79495)"
7620.0,Tomball Police Department,Hnarris,Tomball,TX,No Changes have been made.,03/04/2004,"Tomball, TX (30.097205, -95.616006)"
7620.0,Southwick Police,Hampden,Southwick,MA,PSAP was added since theo riginal posting of the FCC Registry.,03/04/2004,"Brooklyn, NY (40.692529, -73.990996)"
6534.0,Monrovia Police Department,Los Angeles,Monrovia,CA,No Changes have been made.,03/04/2004,"Everman, TX (32.632014, -97.287121)"
8131.0,Kearny Police Department,Pinal,Kearny,AZ,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,10/05/2017,"Del Rio, TX (29.365723, -100.897922)"
2266.0,Marion County Sheriffs Department,arion,Ocala,FL,No Changes have bleen made.,03/04/2004,"Ocala, FL (29.189311, -82.137789)"
6534.0,Clark County Sheriffs Department,Clark,Clark,SD,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,03/20/2016,"University Park, TX (32.851576, -96.79495)"
2027.0,Webster County Law Enforcement Center-ft Dodge,Webster,Ft Dodge,AI,No Changes have been made.,03/04/2004,"Ft Dodge, IA (42.501169, -94.169388)"
5013.0,Lyon County Dispatch Center,Lyon,Yerington,NV,No Changes have been made.,03/04/2004,"Yerington, NV (38.988757, -119.163163)"
2619.0,Buecomm,Bureau,Princeton,IL,"PSAP Name, State, County or City text has been modified since the original posting.",05/16/2013,"Tuskegee, AL (32.423636, -85.690489)"
6421.0,Balcones Heights Police Departsment,Bexar,San Antonio,TX,"PSAP Name, State, County or City text has been modified since the original posting.",0/23/2005,"San Antonio, TX (29.425173, -98.494599)"
7531.0,Sea Isle City Police Department,Cape May,Sea Isle City,NJ,No Changes have been made.,0/304/2004,"Sea Isle City, NJ (39.153421, -74.692903)"
3354.0,Baldwin Park Police Department,Los Angeles,Baldwin Park,CA,No Changes have been made.,03/04/2004,"Lake Buena Vista, FL (28.393671, -81.528968)"
8131.0,Methuen Police,Essex,Methuen,AM,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Methuen, MA (42.726101, -71.191399)"
7516.0,Lower Brule County,Lyman,Lower Brule,SD,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,01/30/2004,"Medford, WI (45.14287, -90.342964)"
7620.0,Amberly Village Police Department,Hamilton,Amberly,OH,No Changes have been made.,03/04/2004,"Brooklyn, NY (40.692529, -73.990996)"
6574.0,Bernardsville Borough Police Department,Somerset,Bernardsville,NJ,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,12/21/2010,"Bernardsville, NJ (40.719225, -74.569359)"
5137.0,Scarsdale Village Police Department,Westchesqter,Scarsdale,NY,No Changes have been made.,03/04/2004,"Scarsdale, NY (40.988732, -73.796583)"
8131.0,Putnam County Sheriffs Office,Putnam,Hennepin,IL,No Changes have been made.,03/04/2004,"Hennepin, IL (41.252926, -89.343256)"
6421.0,Sturtevant Police,Racine,Sturtevant,WI,No Changes have been made.,03/04/2004,"Sturtevant, WI (42.69799, -87.89603)"
8131.0,Woodward County 911 Communications,Woodward,Woodward,OK,"PSAP Name, State, County or City text has been modified since the original posting.",05/22/2015,"Owego, NY (42.103237, -76.263163)"
5093.0,Morristown Rescue Squad,Hamblen,Morristown,TN,No Changes have been made.,03/04/2004,"Peru, IN (40.753762, -86.069115)"
5997.0,Glendora Police Department,Los Angeles,Glendora,CA,No Changes have been made.,03/04/2004,"Glendora, CA (34.136001, -117.865485)"
5137.0,Tillman County E9-1-1,Tillman,Frederick,OK,"PSAP Name, State, County or City text has been modified since the original posting.",02/04/2010,"Rosemont, IL (41.991886, -87.863316)"
7620.0,Butte County Sheriff (oroville),Butte,Oroville,CA,"PSAP Name, State, County or City text has been modified since the original posting.",04/27/2010,"San Antonio, TX (29.425173, -98.494599)"
5174.0,Logan County,Logan,Napoleon,ND,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/06/2013,"Napoleon, ND (46.503786, -99.769071)"
2321.0,River Oaks Police Department,Tarrant,River Oaks,TX,No Chantges have been made.,03/04/2004,"Albion, IL (38.377003, -88.056281)"
1564.0,Benton County Sheriffs Office,Benton,Fowler,IN,No Changes have been made.,03/04/2004,"Hometown, IL (41.73199, -87.73231)"
6534.0,Pipestone County Psap,Pipesotne,Pipestone,MN,"PSAP Name, State, County or City text has been modified since the original posting.",12/19/2013,"Great Lakes, IL (42.307598, -87.853104)"
5215.0,Slocomb Police Department,Geneva,Slocomb,AL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,08/07/2013,"Cheyenne, WY (41.14024, -104.818802)"
2266.0,Crystal City Police Department,Zavaal,Crystal City,TX,No Changes have been made.,03/04/2004,"Crystal City, TX (28.694299, -99.830747)"
6534.0,Silver Falls 9-1-1,arion,Silverton,R,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,02/13/2016,"Murray, KY (36.610582, -88.315258)"
7531.0,Burnet County Sheriff's Office,Burnet,Burnet,nTX,"PSAP Name, State, County or City text has been modified since the original posting.",10/05/2017,"Brooklyn, NY (40.692529, -73.990996)"
2321.0,Bia Law Enforcement-turtle Mountain Agency,Rolette,Belcourt,ND,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,08/20/2004,"Glendora, CA (34.136001, -117.865485)"
7620.0,Lawrenceburg Police Department,Anderson,Lawrenceburg,KY,No Changes have been made.,03/04/2004,"Lawrenceburg, KY (38.034294, -84.895387)"
2266.0,Woonsocket Police Department,Providence,Woonsocket,RI,No Changes have been made.,03/04/2004,"Darrington, WA (48.255271, -121.604924)"
3138.0,Morris City Police Department,Grundy,Morris,IL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,03/07/2015,"Morris, IL (41.359352, -88.421581)"
2984.0,Red Oak Police Department,Ellis,Red Oak,TX,No Changes have been made.,03/04/2004,"Albion, IL (38.377003, -88.056281)"
2984.0,Issaquah Police Department,King,Issaquah,WA,No Changes have been made.,03/04/2004,"Caledonia, WI (42.814847, -87.914135)"
7346.0,Temple Terrace Police Department,Hillsborough,Temple Terrace,FL,No Changes have been made.,3/04/2004,"Medford, WI (45.14287, -90.342964)"
7344.0,Madison County Sheriff,Madison,Virginia City,MT,No Changes have been made.,03/04/2004,"Waupaca, WI (44.358804, -89.084882)"
2619.0,Wisconsin Dells Police Department,Columbia,Wisconsin Dells,WI,No Changes have been made.,03/04/2004,"Derby, CT (41.322959, -73.089594)"
7344.0,Dawson Springs Police Department,Hopkins,Dawson Springs,KY,PSAP was added since the original posting of the FCC Registry.,05/05/2011,"Seattle, WA (47.603229, -122.33028)"
5093.0,Warwick Fire And Rescue Department,Kent,Warwick,RI,No Chagnes have been made.,03/04/2004,"Gallup, NM (35.519123, -108.739769)"
2619.0,Wilmington 9-1-1 eCnter,New aCastle,Wilmington,DE,"PSAP Name, State, County or City text has been modified since the original posting.",11/21/2005,"Wilmington, DE (39.744432, -75.5451)"
2984.0,Selfridge Air National Guard,Macomb,Selfridge,MI,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.***,12/06/2004,"Selfridge, MI (42.5872, -82.833504)"
3138.0,Faribault Police Department,Faribault,Faribault,MN,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,10/12/2005,"Faribault, MN (44.294758, -93.268448)"
8131.0,Seymour Police Department,Jackson,Seymour,IN,No Changes have been made.,03/04/2004,"Seymour, IN (38.957531, -85.885428)"
5093.0,John Day Emergency Communications Center,Grant,John Day,OR,"PSAP Name, State, County or City text has been modified since the original posting.",10/05/2017,"Markham, IL (41.593513, -87.694621)"
7531.0,Quanah-hardeman County Sheriffs Department,Hardemna,Quanah,TX,No Changes have been made.,03/04/2004,"Markham, IL (41.593513, -87.694621)"
5093.0,Yavapai-prescott Tribal Police,Yaapai,Prescott,AZ,No Changes have been made.,03/04/2004,"Largo, FL (27.91829, -82.774936)"
445.0,Conecuh County Sheriff's Office Dispatch,Conecuh,Evergreen,AL,"PSAP Name, State, County or City text has been modified since the original posting.",08/14/2013,"Hometown, IL (41.73199, -87.73231)"
2619.0,Hazelwood Police Department,St. Louis,Hazelwood,MO,No Changes have been made.,03/04/2004,"Markham, IL (41.593513, -87.694621)"
7516.0,City Of Canton Police,Stark,Canton,OH,No Changes have been made.,03/04/2004,"Deridder, LA (30.847861, -93.285518)"
6263.0,Hamilton County Ems,Hamilton,Chattanooga,TN,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,09/11/2013,"Chattanooga, TN (35.045756, -85.308287)"
5093.0,Haskell County Sheriff,Haskell,Stigler,K,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,09/24/2014,"Kirtland, OH (41.615523, -81.356079)"
5137.0,Tucson Fire Medics,Pima,Tucson,AZ,No Changes have bene made.,03/04/2004,"San Bernardino, CA (34.108323, -117.29415)"
445.0,Montgomery County Department Of Public Safety,Montgomery,Eagleville,PA,"PSAP Name, State, County or City text has been modified since the original posting.",03/07/2015,"Brooklyn, NY (40.692529, -73.990996)"
5093.0,Alton Police Department,Hidalgo,Alton,TX,"PSAP Name, State, County or City text has been modified since the original posting.",12/15/2016,"Peru, IN (40.753762, -86.069115)"
7344.0,Leecomm,Lee,Montrose,IA,"PSAP Name, State, County or City text has been modified since the original posting.",05/14/2014,"Brooklyn, NY (40.692529, -73.990996)"
445.0,Garden Grove Police Department,Orange,Garden Grove,CA,No Changes have been made.,03/04/2004,"Inez, KY (37.866646, -82.539105)"
7346.0,Hayes County,Hayes,Hayes Center,NE,"PSAP Name, State, County or Cty text has been modified since the original posting.",11/09/2004,"Del Rio, TX (29.365723, -100.897922)"
5093.0,Malmstrom Air Force Base,Cascade,Malmstrom Afb,MT,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/19/2005,"Homewood, IL (41.563348, -87.668329)"
7403.0,Eaton Police Department,Preble,Eaton,OH,No Changes have been made.,03/04/2004,"Deridder, LA (30.847861, -93.285518)"
2321.0,Petersburg Volunteer Fire Department,Wrangell-petersburg Census Area,Petersburg,AK,No Changes have been made.,03/04/2004,"Petersburg, AK (56.811109, -132.957367)"
7620.0,Kirtland Police,Lake,Kirtland,H,No Changes have been made.,03/04/200o4,"Kirtland, OH (41.615523, -81.356079)"
5400.0,Loudonville Police Department,Ashland,Loudonville,OH,No Changes have been made.,03/04/2004,"Loudonville, OH (40.635591, -82.233485)"
445.0,Ballard County Detention Center,Ballard,Wickliffe,KY,No Changes have been made.,03/04/2004,"Medford, WI (45.14287, -90.342964)"
5137.0,Airport Communications,Marion,Indianapolis,IN,PSAP was added since the original posting of the FCC Registry.,10/02/2007,"Owego, NY (42.103237, -76.263163)"
8131.0,Lafayette Police Department,Tippecanoe,Lafayette,IN,No Changes have been made.,03/04/2004,"Homewood, IL (41.563348, -87.668329)"
2266.0,Parker County Sheriffs Department,Parker,Weatherford,TX,No Changes have been made.,3/04/2004,"Weatherford, TX (32.757462, -97.814529)"
7620.0,Mercer County Sheriffs Office,Mercer,Celina,OH,No Changes have been made.,03/04/2004,"AZ (34.869712, -111.760902)"
427.0,Eloy Police Department,Pinal,Eloy,AZ,No Changes have been made.,03/04/2004,"Eloy, AZ (32.751976, -111.55485)"
8131.0,Palm Beach Shores Public Safety Department,Palm Beach,Palm Beach Shores,FL,No Changes have been made.,03/04/2004,"Palm Beach Shores, FL (26.778446, -80.035202)"
1468.0,Calhoun County Sheriffs Department,Calhoun,Blountstown,FL,No Changes have been made.,03/04/0204,"Blountstown, FL (30.445812, -85.04496)"
7620.0,Prince Georges County Emerg Communications Center,Prince George's,Landover,MD,"PSAP Name, State, County or City text has been modified since the original posting.",11/09/2004,"AZ (34.869712, -111.760902)"
2619.0,Union County 911,Union,Liberty,ImN,"PSAP Name, State, County or City text has been modified since the original posting.",12/15/2015,"Bernardsville, NJ (40.719225, -74.569359)"
7344.0,Chp-los Angeles Communications Center-baldwin Park,Los Angeles,Los Angeles,CA,"PSAP Name, State, County or City text has been modified since the original posting.",06/24/2010,"Los Angeles, CA (34.052238, -118.243344)"
445.0,Ballwin Police Department,St. Louis,Ballwin,OM,"PSAP Name, State, County or City text has been modified since the original posting.",05/14/2008,"Mendon, MA (42.10536, -71.55148)"
3819.0,Hickory County Sheriffs Department,Hickory,Hermitage,MO,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,04/30/2004,"Hermitage, MO (37.944885, -93.325027)"
2321.0,Coshocton County Sheriffs Office,Coshocton,Coshocton,OH,No Changes have been made.,03/04/2004,"Rosemont, IL (41.991886, -87.863316)"
7620.0,Polk County Psap,Polk,Crookston,MN,"PSAP Name, State, County or City text has been modified since the oriignal posting.",12/19/2013,"Sandusky, OH (41.454934, -82.710963)"
6263.0,Cranston Fire And Rescue Department,Providence,Cranston,RI,No Changes have been made.,03/04/2004,"Cranston, RI (41.778963, -71.435808)"
445.0,Ablemarle Emergency Communications Center,Albemarle,Houston,VA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,01/03/2005,"Albion, IL (38.377003, -88.056281)"
7403.0,Kennebunkport Police Department,York,Kennebunkport,ME,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in fture filings.,07/02/2008,"Owego, NY (42.103237, -76.263163)"
6574.0,Burnett County Sheriffs Department,Burnett,Siren,IW,No Changes have been made.,03/04/0204,"Hometown, IL (41.73199, -87.73231)"
2984.0,Keweenaw County Sheriffs Office,Keweenaw,Eagle River,MI,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,12/06/2004,"Peru, IN (40.753762, -86.069115)"
7620.0,Weatherford Police Department,Custer,Weatherford,OK,No Changes have been made.,03/04/2004,"Owego, NY (42.103237, -76.263163)"
5093.0,Pharr Police Department,Hidalgo,Pharr,TX,"PSAP Name, State, County or City text has been modified since the original posting.",12/15/2016,"Seattle, WA (47.603229, -122.33028)"
445.0,Kidder County Sheriff,Kidder,Steele,ND,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/06/2013,"Spencer, IN (39.287029, -86.762548)"
6574.0,Irwindale Police Department,Los Angeles,Irwindale,CA,No Changes have been made.,03/04/20c04,"Medford, WI (45.14287, -90.342964)"
6574.0,Rice / Steele County Combined 911 Center,Steele,Owatonna,MN,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,10/12/2005,"Seattle, WA (47.603229, -122.33028)"
7620.0,Park Ridge Police Department,Cook,Park Ridge,IL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,06/02/2008,"Owego, NY (42.103237, -76.263163)"
6574.0,Mcduffie County Communications,Mcuffie,Thomson,GA,"PSAP Name, State, County or City text has been modified since the original posting.",03/31/2014,"AZ (34.869712, -111.760902)"
2321.0,Iowa Tribal Police Department,Payne,Perkins,OK,No Changes have been made.,03/04/2004,"Caledonia, WI (42.814847, -87.914135)"
2266.0,Hamburg,rEie,Hamburg,NY,No Changes have been made.,03/04/2004,"Hamburg, NY (42.723291, -78.839026)"
3138.0,Donna Police Department,Hidalgo,Donna,TX,No Changes have been made.,03/04/2004,"Donna, TX (26.1707, -98.054279)"
7346.0,Spokane Fire Department,Spokane,Spokane,WA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,09/19/2005,"Spokane, WA (47.658999, -117.425022)"
6421.0,Candler County Sheriffs Office,Candler,Metter,GA,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/24/2014,"Metter, GA (32.39722, -82.060135)"
