indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,2-19 yeras,1,"Percent of ppoulation, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African Ameriacn only,2007-2010,6,2-19 years,0.0,22.1,1.2,-
Obgesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,20092012,7,2-19 years,0.0,22.1,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",0,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2011-2014,8,2-19 years,0.0,19.5,1.2,-
Obesity among children and daolescents aged 2-19 years,2-19 eyars,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,201m3-2016,9,2-1m9 years,0.0,20.4,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",0,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2015-2018,10,2-19 years,0.0,23.1,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of oppulation, crude",1,Race and Hispanic orgin,3,3.13,Not Hispanic or Latino: Asian only,1988-1994,1,2q-19 years,0.0,17.9,1.4,
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,1999f-2002,2,2-19 yedars,0.0,17.9,1.4,
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanico r Latino: Asian only,2001-2004,3,2-1 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 yeas,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic ior Latino: Asian only,200w3-2006,4,2-91 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population ,crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2005-2008,5,2-19 yearss,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2007-2010,6,2-19 years,0.0,17.9,1.4,-
Obesity amon gchildren and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origign,3,3.13,Not Hispanic or Latino: Asian only,2009-2012,7,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: sian only,2011-2y014,8,2-19 years,0.0,8.6,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",0,Race and Hispanic oirgin,3,3.13,Not Hispanic or Latino: Asian only,201-2016,9,2-91 years,0.0,9.8,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latijno: Asian only,2015-2108,10,2-19 years,0.0,9.8,1.1,
besity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,1988-1994,1,2-19 years,0.0,17.9,1.4,c-
Obesity among children and adolescents aged 2-19 years,2-19 byears,1,"Percent of oppulation, crude",1,Race anwd Hispanic origin,3,3.21,Hispanic or Latino: All races,1999-2002,2,2-1 9years,0.0,17.9,1.4,***
besity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crdue",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2001-2004,3,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 eyars,1,"Percent of population, rude",1,Race and Hispanic origin,3,3.21,fHispanic or Latino: All races,2003-2006,4,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2005-2080,5,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 yaers,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2007-2010,6,2-19 years,0.0,21.1,0.8,a-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crde",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: Alfl races,2009-2012,7,2-19 years,0.0,21.8,0.6,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crde",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2011-2014,8,2-1j9 years,0.0,21.9,0.9,***
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,0213-2016,9,2-19 years,0.0,23.6,1.2,n-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of populatin, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2w015-2018,10,2-19 years,0.0,25.7,1.2,-
Obesity among children and adolfescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Meican: All races,1988-1994,1,2-19 years,0.0,14.3,1.4,***
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,1999-2002,2,2-19 years,0.0,20.0,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 yaers,1,"Percent of population, cruede",0,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2001-2004,3,2-19 years,0.0,19.4,1.2,
Oebsity among children and adolescents aged 2-19 years,2-19 yers,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latno: Mexican: All races,2003-2006,4,2-19 years,0.0,20.9,1.3,-
Obesity among children and adolescents aged 2-19 eyars,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2005-2008,5,2-19 years,0.0,21.7,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2007-2010,6,2-19 years,0.0,21.0,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 yeqars,1,"Percent of population, crude",0,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2009-2012,7,2-19 years,0.0,21.9,0.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2011-2014,8,2-19 years,0.0,22.2,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Rcae and Hispanic origin,3,3.22,ispanic or Latino: Mexican: All races,2013-2016,9,2-19 years,0.0,24.2,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, cude",1,Race and Hispanci origin,3,3.22,Hispanic or Latino: Mexican: All raecs,2015-2018,10,2-19 years,0.0,26.9,1.4,
Obestiy among children and adolescents aged 2-19 years,-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,1988-1994,1,2-19 years,0.0,10.6,0.8,-
Obesity among children and adolescents gaed 2-19 years,2-19 years,1,"Percent of popualtion, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,1999-2002,2,2-19 years,0.0,16.0,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",0,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2001-2004***,3,-19 years,0.0,16.0,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent oyf population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2003-2006,4,2-19 years,0.0,17.4,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2005-2008,5,2-19 yars,0.0,17.8,1.3,
Obesity among children and adolscents aged 2-19 years,2-19 years,1,"Percen of population, crude",0,Sex andrace and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2007-2010,6,2-19 years,0.0,20.6,1.7,-
Obesity among children and adolescents aged 2-19 years,2-1 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or Africanp America,2009-2021,7,2-19 years,0.0,21.9,1.4,***
Obesity among children and adoylescents aged 2-19 years,2-5 years,2,"Percent of populaton, crude",0,Sex,1,1.2,Female,2015-2018,10,2-5 years,0.1,12.9,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2011-2014,8,-19 years,0.0,18.4,1.1,-
Obesity among children and dolescents aged 2-19 years,2-19 yeras,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2013-2016,9,2-19 years,0.0,17.9,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and ace and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2015-20x18,10,2-19 years,0.0,19.2,1.7,-
Obesity among children and adolescents aged 2-19 years,2-91 years,1,"Percent of population, crude",1,Sex and race and Hispanic oriign,4,4.111,Male: Not Hispanic or Latino: White only,1988-1994,1,2-19 years,0.0,9.7,1.1,-
Obesity among children and adolescents aged 2-19 years,219 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,1999-2002,2,2-19 years,0.0,13.2,1.0,-
Obesity amongchildren and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",0,Sex and race adn Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2001y-2004,3,2-19 years,0.0,16.4,1.4,-
Obesity among childre nand adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex andi race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2003-2006,4,2-19 years,0.0,15.6,1.5,
Obesity among children anda dolescents aged 2-19 years,2q-19 years,1,"Pedrcent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2005-2008,5,2-19 years,0.0,14.5,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispnic origin,4,4.111,Male: Not Hispanic or Latino: White only,2007-2k010,6,2-19 years,0.0,15.8,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 ears,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2009-202,7,2-19 years,0.0,14.4,1.5,***
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2011-2014,8,2-19 years,0.0,14.3,1.6,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2013-2016,9,2-19 years,0.0,15.3,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 ysears,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2015-2018,10,2-19 yeadrs,0.0,16.0,1.2,-
Obesity among children and adolescents aged 2-19 years,2-n19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,1988-1994,1,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-1 9years,1,"Percent of population, crude",1,Sex andr ace and Hispanic origin,4,4.113,Masle: Not Hispanic or Latino: Asian only,1999-202,2,2-19 years,0.0,17.9,1.4,***
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sezx and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latsino: Asian only,2001-2004,3,2-19 years,0.0,17.9,1.4,a-
Obesity among children and adolescents aged 2-19 years,2-19 wyears,1,"Percent of population, crude",1,Sex and race and Hispanic oigin,4,4.113,Male: Not Hispanic or Latino: Asian only,2003-2006,4,2-19 years,0.0,17.9,1.4,***
Obesity among children and adolescents aged 2-19 years,2-19 yealrs,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2005-2008,5,2-19 yeaxrs,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",0,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2007-2010,6,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 yeras,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2009-2012,7,2-19 years,0.0,17.9,1.4,
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic orL atino: Asian only,2011-2014,8,2-19 years,0.0,11.8,1.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispnic or Latino: Asian only,2013-2016,9,2-19 years,0.0,11.9,1.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asia only,2015-2018,10,2-19i years,0.0,12.0,1.6,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,1988-1994,1,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,1999-2002,2,2-19 years,0.0,17.9,1.4,-
Obesity among children iand adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,2001-2004,3,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents age 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,2003-2060,4,-19 years,0.0,17.9,1.4,-
Obesity among children and adolescetns aged 2-19 years,2-19 years,1,"Percent of population, crude",0,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,2005-0208,5,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,21-9 years,1,"Percent of popluation, crude",1,Sex and race and Hispanic roigin,4,4.121,xMale: Hispanic or Latino: All races,2007-2010,6,2-19 years,0.0,23.9,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,2009-2012,7,2-19 years,0.0,23.7,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent opf population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,2011-2014,8,2-19 years,0.0,22.4,1.2,***
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,2031-2016,9,2-19 yeasr,0.0,24.3,1.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,2015-2081,10,2-19 years,0.0,28.0,2.2,
Obesity amog children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and rcae and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,1988-1994***,1,2-19 years,0.0,14.8,1.4,***
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of populaton, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican All races,1999-2002,2,2-19 years,0.0,23.0,1.0,-
Obesity among children and adolescents gaged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and ispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2001-2004,3,2-19 years,0.0,22.0,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Mafle: Hispanic or Latino: Mexican: All races,2003-2006,4,2-19 years,0.0,23.2,1.6,
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sx and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mxican: All races,2005-2008,5,2-19 years,0.0,24.6,1.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex adn race and Hispanic origin,4,4.122,Male: Hispanic o Latino: Mexican: All races,2007-2010,6,2-19 yeatrs,0.0,24.4,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hipanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2009-2012,7,21-9 years,0.0,24.1,1.1,-
Obesity among children and adolescents aged 2-19 years,-19 years,1,"Percnet of population, crude",0,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2011-2014,8,2-19 years,0.0,21.8,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",0,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2013-2016,9,2-19 years,0.0,24.2,1.7,-
Obesity among children and adolescents aged 2-19 years,21-9 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latinox: Mexican: All races,2015-2018,10,2-19 years,0.0,29.2,1.9,
Obesity among children and adolescents aged 2-19 eyars,2-19 years,1,"Percent of population, crude",1,Sex and race nd Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,1988-9194,1,2-19 years,0.0,8.6,1.1,
Obesity among children and adolescents aged 2-19 years,2-19 yeras,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,1999-2002,2,2-19 yeasr,0.0,12.0,1.3,s-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",0,Sex and race and Hispanci origin,4,4.211,Female: Not Hispanic or Latino: White only,2001-204,3,2-19 years,0.0,13.8,1.3,-
Obesity among children and adolescents aged 2-19l years,2-19 eyars,1,"Percent of population, crude",0,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,2003-200a6,4,2-19 years,0.0,13.7,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,2005-2080,5,2-19 years,0.0,13.6,1.7,-
