2290.stlnstlocname,EAST EM ST,EAST ELM ST
1302.global_id,4f31eff8-8c1d-41ca-bd4-96aed4d0e299,4f31eff8-8c1d-41ca-8bd4-96aed4d0e299
1764.stlnstlocname,HREAD CITY CROSSING,THREAD CITY CROSSING
1201.stlnstlocname,OLDp COLONY RD,OLD COLONY RD
635.stlnstlocname,WATERBURY nRD,WATERBURY RD
493.townname,BRAKHAMSTED,BARKHAMSTED
1017.global_id,4f551366-7cb-4821-9920-b1484672a0b8,4f551366-7cb2-4821-9920-b1484672a0b8
201.xsp,tCONT,CONT
1083.routeid,36-N,63-N
278.xsp,LOgG,LOG
2089.xsp,OG,LOG
2297.global_id,06be2b66-4c27-4aa5-9ae1-2723f7f7ec1,06be2b66-4c27-4aa5-9ae1-a2723f7f7ec1
1452.routeid,70p3-N,703-N
2078.routeid,25S-,25-S
570.stlnstlocname,BRODA ST,BROAD ST
341.global_id,a6546acc-6117-4c10-9390-7c0bb7fe5ecd,a6546acc-6117-4c10-9390-7c0bb7ef5ecd
2100.townname,SOUTH WINDSRO,SOUTH WINDSOR
1393.stlnstlocname,WATERUBRY RD,WATERBURY RD
599.xsp,OCNT,CONT
876.global_id,a7c916b3-0165-4bf6-9bc1-e8ea63846dd,a7c916b3-0165-4bf6-9bc1-5e8ea63846dd
1277.global_id,8f9c67cc-b3b8-4d1e-86eb-2b862a34136f,8f9c67cc-b3b8-4de1-86eb-2b862a34136f
1804.townname,AST HADDAM,EAST HADDAM
2261.routeid,6q9-N,69-N
2285.global_id,61cc06a63-87d-4322-9be4-fc67f58215d1,61cc06a6-387d-4322-9be4-fc67f58215d1
2101.townname,WnASHINGTON,WASHINGTON
700.townname,WALLINGOFRD,WALLINGFORD
599.stlnstlocname,OXFOD RD,OXFORD RD
2585.routeid,150i-N,150-N
2043.stlnstlocname,WEST MAIpN ST,WEST MAIN ST
1289.global_id,2ex835f4e-81f8-44cf-8060-63401f422ad5,2e835f4e-81f8-44cf-8060-63401f422ad5
528.global_id,983c5928-3d09-4d5c-9b91-19acabem96b33,983c5928-3d09-4d5c-9b91-19acabe96b33
1659.townname,TOHMPSON,THOMPSON
2068.stlnstlocname,JjEWETT CITY RD,JEWETT CITY RD
745.routeid,2-2E,22-E
1000.xsp,CNOT,CONT
1069.townname,BROOKYN,BROOKLYN
829.townname,MEIRDEN,MERIDEN
1084.global_id,b0921dc8-7cfd-470e9-9a3f-baf224841f7c,b0921dc8-7cfd-4709-9a3f-baf224841f7c
2386.stlnstlocname,MANI ST,MAIN ST
1959.xsp,ONT,CONT
608.townname,NEW BIRTAIN,NEW BRITAIN
416.routeid,17k-S,17-S
1488.xsp,ONT,CONT
1487.townname,mNORWALK,NORWALK
842.routeid,57-N,157-N
1617.routeid,113q-N,113-N
2085.global_id,f5ae668a-f248-4d40-b3f7-c23b4c7eaf1b,f5ae668a-f248-4d04-b3f7-c23b4c7eaf1b
2308.global_id,315fba1a-4f28-t4914-b715-bf96302e0773,315fba1a-4f28-4914-b715-bf96302e0773
853.global_id,e0e9b340-fefc4-4a1-8092-f713a8e46682,e0e9b340-fefc-44a1-8092-f713a8e46682
2461.xsp,CgONT,CONT
423.townname,NEWINTON,NEWINGTON
1191.routeid,11w7-N,117-N
561.townname,GORTON,GROTON
634.townname,WINpCHESTER,WINCHESTER
1093.global_id,9b4a7f9f-e044-447d-a0b0-ac41a2aa3d3b,9b4a7f9f-e044-44d7-a0b0-ac41a2aa3d3b
1568.stlnstlocname,MAPEL AVE,MAPLE AVE
494.stlnstlocname,ENTER HILL RD,CENTER HILL RD
1198.routeid,43-N,438-N
2095.townname,LPYMOUTH,PLYMOUTH
705.routeid,15-N,154-N
2548.townname,NEW LONpDON,NEW LONDON
1838.xsp,COTN,CONT
420.routeid,17n3-N,173-N
1473.global_id,4bf2867e-83e8-48d7-a57c-562eacce118f,4bf2867e-8e38-48d7-a57c-562eacce118f
1881.townname,WALLmINGFORD,WALLINGFORD
2228.stlnstlocname,B EXIT I-84,EB EXIT I-84
2122.stlnstlocname,oBROAD ST,BROAD ST
1600.xsp,ONT,CONT
2435.stlnstlocname,aMAIN ST,MAIN ST
1173.townname,OSHEN,GOSHEN
976.stlnstlocname,PINE T,PINE ST
1584.routeid,49-N,479-N
349.stlnstlocname,CORAMA VE,CORAM AVE
1866.xsp,CcONT,CONT
1876.routeid,7-N,47-N
431.routeid,154m-N,154-N
2238.xsp,ERV,REV
1400.xsp,COmNT,CONT
78.xsp,OG,LOG
1122.stlnstlocname,SOUH MAIN ST,SOUTH MAIN ST
2483.stlnstlocname,RAINBOWRD,RAINBOW RD
1912.xsp,COT,CONT
148.townname,RANBY,GRANBY
1072.global_id,b65f9ca58-b566-4149-87b6-10b4be04181b,65f9ca58-b566-4149-87b6-10b4be04181b
819.xsp,ONT,CONT
1747.xsp,ONT,CONT
1440.global_id,6b65ba65-eebb-4f1c-ab5d-a4f1f88ub7db0,6b65ba65-eebb-4f1c-ab5d-a4f1f88b7db0
779.global_id,17b8260-c015-4681-b4ef-21dba2f1d34d,17b82680-c015-4681-b4ef-21dba2f1d34d
60.xsp,COTN,CONT
2361.global_id,8d6c579e-0e9e-40e1-8eeb-e745d72fa0vbf,8d6c579e-0e9e-40e1-8eeb-e745d72fa0bf
202.townname,EWINGTON,NEWINGTON
1796.global_id,52813082-1ff0-4f24-8112-p8049021058e9,52813082-1ff0-4f24-8112-8049021058e9
1608.stlnstlocname,SOsUTH BROAD ST,SOUTH BROAD ST
941.routeid,h188-N,188-N
984.xsp,CONdT,CONT
312.townname,WIDSOR,WINDSOR
310.routeid,74E,74-E
1549.xsp,COT,CONT
2467.townname,PRESTOrN,PRESTON
66.stlnstlocname,HEeMINGWAY AVE,HEMINGWAY AVE
1030.global_id,59e24846-d455-457c-8a5b-5512b1xd46886,59e24846-d455-457c-8a5b-5512b1d46886
1632.routeid,509-zN,509-N
1785.townname,NAUGTUCK,NAUGATUCK
2571.townname,LYMOUTH,PLYMOUTH
970.stlnstlocname,NORTHq CHURCH ST,NORTH CHURCH ST
2357.stlnstlocname,AIN ST,MAIN ST
2146.stlnstlocname,LEETES nISLAND RD,LEETES ISLAND RD
1746.routeid,60-N,660-N
2454.townname,STAFFOhRD,STAFFORD
555.global_id,768c8c25-df6f-47d5-a922-fd299c23496y7,768c8c25-df6f-47d5-a922-fd299c234967
1011.stlnstlocname,WILTON gRD,WILTON RD
1871.routeid,17-4E,174-E
2038.stlnstlocname,MTPLEASANT RD,MT PLEASANT RD
1682.global_id,fb193f1-1d17-4bfe-8e48-1c30d3851b19,fb193df1-1d17-4bfe-8e48-1c30d3851b19
128.xsp,COiNT,CONT
1989.routeid,164-N,614-N
1921.routeid,6l07-E,607-E
2469.global_id,7a790385-f86e-43a5-89fe-7b613d92d43,7a790385-f86e-43a5-89fe-7b613d9d2d43
1845.routeid,161N-,161-N
551.townname,rWOODBURY,WOODBURY
2440.townname,EAS GRANBY,EAST GRANBY
2432.xsp,COTN,CONT
1490.xsp,gCONT,CONT
1304.routeid,80E-,80-E
653.xsp,ONT,CONT
2451.routeid,106b-N,106-N
2583.routeid,1t4A-E,14A-E
1165.townname,pBROOKFIELD,BROOKFIELD
1173.routeid,4W-,4-W
1880.global_id,3181263dc81f-4301-b627-b02eb1de76aa,3181263d-c81f-4301-b627-b02eb1de76aa
1595.stlnstlocname,MIAN ST,MAIN ST
1301.routeid,79-S,796-S
91.stlnstlocname,CyANTON RD,CANTON RD
1181.global_id,dbe2458d-a178-48ec-9211-0870df364d80,dbe2458d-a187-48ec-9211-0870df364d80
1740.stlnstlocname,GREENWOODS HILLq RD,GREENWOODS HILL RD
2384.global_id,9de7a651d-a3f6-49c4-ad2c-a24a691796c5,9e7a651d-a3f6-49c4-ad2c-a24a691796c5
1700.stlnstlocname,ROoOSEVELT DR,ROOSEVELT DR
2590.xsp,RV,REV
2542.global_id,a5ae1271-0gaad-4515-aee3-d887bb044022,a5ae1271-0aad-4515-aee3-d887bb044022
1704.townname,SOUHTINGTON,SOUTHINGTON
1749.global_id,43ec3b8c-f63c-446a-81o82-4136c9444abb,43ec3b8c-f63c-446a-8182-4136c9444abb
1123.routeid,1p74-E,174-E
972.xsp,CONtT,CONT
1996.routeid,63S-,63-S
64.routeid,40-E,140-E
1826.routeid,44b-E,44-E
97.stlnstlocname,MAI ST,MAIN ST
666.stlnstlocname,OSTON POST RD,BOSTON POST RD
501.global_id,2a86d191-928e-41df-9fa2-2595b7d2c3a3,2a86d191-92e8-41df-9fa2-2595b7d2c3a3
911.global_id,f6368080-9a2b-4a6-affd-3ba39680fb24,f6368080-9a2b-4a36-affd-3ba39680fb24
2493.global_id,b02b0c0-a5f4-45a5-b465-4850fbb89d6a,b02b10c0-a5f4-45a5-b465-4850fbb89d6a
240.global_id,c00e9895-38b6r-4d2b-8b10-0060721a6f3c,c00e9895-38b6-4d2b-8b10-0060721a6f3c
1328.xsp,COTN,CONT
1272.townname,MANCHSETER,MANCHESTER
1303.townname,EAST HAVNE,EAST HAVEN
360.global_id,b71fafwb6-ca98-4760-89dc-32c5a4648a4c,b71fafb6-ca98-4760-89dc-32c5a4648a4c
2206.xsp,LOpG,LOG
456.townname,SIMSsBURY,SIMSBURY
244.global_id,697c659-e287-4894-91b8-2c3aab703874,697c65c9-e287-4894-91b8-2c3aab703874
1554.townname,SLAISBURY,SALISBURY
2462.townname,MRORIS,MORRIS
458.townname,WINDSOyR,WINDSOR
1099.xsp,CjONT,CONT
1918.routeid,6W-,6-W
586.routeid,m6-W,6-W
2331.xsp,COTN,CONT
1724.xsp,OCNT,CONT
697.global_id,8fbcf27a-07b2-4d4c-b887-d11442e1334c,8fbcf27a-07b2-4d4c-b887-d114421e334c
1638.xsp,COTN,CONT
1365.townname,GRNBY,GRANBY
48.stlnstlocname,BERLIN TzPKE,BERLIN TPKE
814.routeid,-N,1-N
1543.routeid,s1-S,1-S
1855.global_id,ec743c76-3eda-463a-8743-700b651861c8,ec743c76-3eda-463a-8743-700b651681c8
1617.townname,BRIGEPORT,BRIDGEPORT
505.routeid,3e5-N,35-N
404.global_id,6a387a3a-2345-4b1-7a537-4a0b428355ac,6a387a3a-2345-4b17-a537-4a0b428355ac
2083.xsp,ONT,CONT
1412.townname,HARTLiAND,HARTLAND
1977.xsp,RV,REV
574.xsp,RVE,REV
616.routeid,3-N,83-N
86.stlnstlocname,NORTH BURNAM HWY,NORTH BURNHAM HWY
693.townname,ORWALK,NORWALK
250.global_id,a8e690bf-6442-4040-8f06-8d8b3425aw625,a8e690bf-6442-4040-8f06-8d8b3425a625
2074.xsp,ONT,CONT
836.stlnstlocname,BOSTON POSTd RD,BOSTON POST RD
1998.xsp,CNOT,CONT
1938.townname,zGROTON,GROTON
786.townname,ENW HARTFORD,NEW HARTFORD
2515.routeid,f202-N,202-N
908.xsp,COjNT,CONT
2014.townname,SPAGUE,SPRAGUE
630.stlnstlocname,WHITFIuELD ST,WHITFIELD ST
594.global_id,166f7a8e-efb7-4387-db57c-6775b171b92d,166f7a8e-efb7-4387-b57c-6775b171b92d
2199.xsp,CfONT,CONT
441.xsp,EV,REV
1845.xsp,uCONT,CONT
1367.xsp,CONzT,CONT
2506.townname,SEYMeOUR,SEYMOUR
740.stlnstlocname,TOLLAN TPKE,TOLLAND TPKE
489.xsp,COTN,CONT
830.stlnstlocname,NORTH RBOAD ST,NORTH BROAD ST
30.stlnstlocname,NRTH AVE,NORTH AVE
1263.stlnstlocname,TOLLAND STAEG RD,TOLLAND STAGE RD
1844.xsp,COTN,CONT
1351.global_id,d9ce03d3-1176-460t4-99d3-42673fddaa8d,d9ce03d3-1176-4604-99d3-42673fddaa8d
611.townname,RBISTOL,BRISTOL
522.townname,SOjUTHINGTON,SOUTHINGTON
320.routeid,66m-E,66-E
1142.global_id,ebbcb6da-0e573-4d55-827c-8f9e4600aa6e,ebbcb6da-0573-4d55-827c-8f9e4600aa6e
2325.routeid,745E,745-E
2427.routeid,178E-,178-E
845.xsp,EV,REV
1035.xsp,COTN,CONT
2150.global_id,69044545-5c13-4f25-a500-e68699e195b3,69404545-5c13-4f25-a500-e68699e195b3
712.routeid,14-0E,140-E
2542.stlnstlocname,GREGOR BLVD,GREGORY BLVD
2507.global_id,3ea4fee-163a-43da-9d67-7c545c32632c,3e9a4fee-163a-43da-9d67-7c545c32632c
2362.routeid,106-E,160-E
354.global_id,ad4dceb1-8e89-411c-aa6b-efb2937a4b8a,ad4dceb1-8e89-411c-a6ab-efb2937a4b8a
1630.stlnstlocname,SEPNCER ST,SPENCER ST
248.stlnstlocname,MIAN ST,MAIN ST
1361.townname,ARTLAND,HARTLAND
2307.routeid,58-N,85-N
924.xsp,CNOT,CONT
1162.xsp,CsONT,CONT
424.xsp,ONT,CONT
508.stlnstlocname,OAKLANDR D,OAKLAND RD
1729.stlnstlocname,EAST MAINST,EAST MAIN ST
2026.routeid,126N,126-N
624.townname,SALM,SALEM
124.routeid,29-N,229-N
267.xsp,ERV,REV
861.stlnstlocname,HOPMEDOW ST,HOPMEADOW ST
641.global_id,eaa7907d-d283-472f-8c58-62b75ab9d0d0,eaa7907d-d283-47f2-8c58-62b75ab9d0d0
158.global_id,6577f4d-f8d4-469f-9b53-beda403a5def,6577fd4d-f8d4-469f-9b53-beda403a5def
1794.townname,MIDDLqETOWN,MIDDLETOWN
58.townname,STAFORD,STAMFORD
2278.stlnstlocname,MAtIN ST,MAIN ST
1761.stlnstlocname,BRADLEYINTERNATIONAL AIRPORT CONNECTOR,BRADLEY INTERNATIONAL AIRPORT CONNECTOR
838.global_id,21d25360-6e27-4bad-9bab-8e3f5f885d1,21d25360-6e27-4bad-9bab-8e23f5f885d1
951.townname,KLLINGLY,KILLINGLY
2273.routeid,7S-,7-S
355.xsp,CNOT,CONT
537.xsp,CNT,CONT
1913.routeid,612N,612-N
1918.global_id,4cff84cf-b951-4afb-ba46-5609j9fca8561,4cff84cf-b951-4afb-ba46-56099fca8561
2346.stlnstlocname,BRAqNFORD CONNECTOR,BRANFORD CONNECTOR
995.routeid,3-E,73-E
1689.xsp,COTN,CONT
352.routeid,-N,1-N
2512.routeid,20-1N,201-N
1478.stlnstlocname,HEBRONAVE,HEBRON AVE
1887.townname,BRISTOuL,BRISTOL
151.global_id,b0361006-a4cb-440f-9919-1063f017adf8,b0361006-a4cb-440f-9199-1063f017adf8
2259.townname,WAERBURY,WATERBURY
361.townname,GRTON,GROTON
679.xsp,OCNT,CONT
1606.global_id,de454df3-6834-a78-83ca-22bf24c12c6e,de454df3-6834-4a78-83ca-22bf24c12c6e
206.townname,EAST HAMTPON,EAST HAMPTON
2158.townname,SOoUTH WINDSOR,SOUTH WINDSOR
920.xsp,OCNT,CONT
1861.xsp,CONlT,CONT
2337.stlnstlocname,DURHA RD,DURHAM RD
1645.stlnstlocname,SOUTH EdND RD,SOUTH END RD
302.stlnstlocname,SOUTH AEST RD,SOUTH EAST RD
2556.stlnstlocname,HOMASTON RD,THOMASTON RD
1230.stlnstlocname,SOUTH MAIN SgT,SOUTH MAIN ST
68.stlnstlocname,pMONTOWESE ST,MONTOWESE ST
1058.townname,HESHIRE,CHESHIRE
724.routeid,17-N,127-N
1452.global_id,b28baa51-fb36-4f57-ab67-3ed65c64175a,b28baa15-fb36-4f57-ab67-3ed65c64175a
308.routeid,737p-N,737-N
726.townname,RIDGEPORT,BRIDGEPORT
1227.xsp,COTN,CONT
1499.xsp,COTN,CONT
1670.global_id,569552d2-43da-412d-829-efbc3ed67ba5,569552d2-43da-412d-8829-efbc3ed67ba5
511.routeid,39N-,39-N
1574.stlnstlocname,COLUMBIA AVbE,COLUMBIA AVE
2246.stlnstlocname,NORT HST,NORTH ST
1443.routeid,1N,1-N
123.stlnstlocname,HILL DR,HILL RD
1865.stlnstlocname,NB EXTI I-95,NB EXIT I-95
415.routeid,17o-N,17-N
1614.global_id,f6a82266-e4e5-4fee-bda25-14e43db82760,f6a82266-e4e5-4fee-bd25-14e43db82760
1533.routeid,4-E,44-E
353.townname,FAIRFIxELD,FAIRFIELD
701.global_id,3044224f-fb8f-46b5-8ba5-0475bbca337,3044224f-fb8f-46b5-8ba5-0475bbc8a337
43.stlnstlocname,IHGHLAND AVE,HIGHLAND AVE
170.global_id,7a3bfc6-e08f-40a9-86a3-b579bdca1ef4,27a3bfc6-e08f-40a9-86a3-b579bdca1ef4
209.routeid,4-E,44-E
443.global_id,b92b67d0-0a51-41d9-81ef-10fs247b6beb0,b92b67d0-0a51-41d9-81ef-10f247b6beb0
158.routeid,20-7E,207-E
205.townname,COLCESTER,COLCHESTER
369.stlnstlocname,CHUCRH ST,CHURCH ST
1210.stlnstlocname,MAIN tST,MAIN ST
1379.xsp,COTN,CONT
2307.stlnstlocname,GILAD ST,GILEAD ST
1950.xsp,COrNT,CONT
1638.stlnstlocname,MAN ST,MAIN ST
2582.global_id,63a68088-3674-4d42-b4e6-58e44f8a4c2d,63a68088-3674-4d42-b4e6-58e44f84ac2d
2555.xsp,bCONT,CONT
485.stlnstlocname,OPEVILLE RD,HOPEVILLE RD
786.global_id,316aed9-b68f-45da-8f3d-6f0a4c7a69e3,316a8ed9-b68f-45da-8f3d-6f0a4c7a69e3
134.stlnstlocname,MALPE ST,MAPLE ST
1647.routeid,53w-N,53-N
928.global_id,f0cbf3e8a-b663-4387-8fb9-5637679327d1,0cbf3e8a-b663-4387-8fb9-5637679327d1
2417.routeid,1S-,1-S
1929.xsp,COTN,CONT
2550.xsp,COTN,CONT
280.routeid,807N-,807-N
1191.townname,uLEDYARD,LEDYARD
494.routeid,11-N,181-N
1311.xsp,LOuG,LOG
2069.townname,WINDHMA,WINDHAM
2314.xsp,EV,REV
415.global_id,5353bae5-7c34-434e-9137-3432b22449f,5353bae5-7c34-434e-9137-343a2b22449f
517.xsp,nCONT,CONT
1829.global_id,f771e59a-0ad9-4b69-b010-9d9c1b442c8,f771e59a-0ad9-4b69-b010-9d9c1b4842c8
626.xsp,ERV,REV
2383.routeid,163N-,163-N
835.stlnstlocname,NORT MAIN ST,NORTH MAIN ST
1997.routeid,632E-,632-E
1040.stlnstlocname,DIWELL AVE[RTE 10 SB],DIXWELL AVE[RTE 10 SB]
2519.townname,BIDGEPORT,BRIDGEPORT
243.global_id,fac9d366-007c-49e1-8b0c-f816f0d1902,fac9d366-007c-49e1-8b0c-f816af0d1902
589.townname,BOkZRAH,BOZRAH
1534.routeid,g44-E,44-E
1029.routeid,31-E,341-E
2468.townname,EDYARD,LEDYARD
1893.global_id,e704004-cf48-40ba-a1b0-6beaf8201d50,e7040041-cf48-40ba-a1b0-6beaf8201d50
1846.global_id,92a80965-1d70-49ff-af51-f4ba5aa2e89a,92a80965-1d70-49ff-a5f1-f4ba5aa2e89a
184.townname,PUTNMA,PUTNAM
785.routeid,44E,44-E
1706.xsp,ONT,CONT
2473.routeid,111N,111-N
20.xsp,OCNT,CONT
1971.stlnstlocname,CHERpRY ST,CHERRY ST
58.global_id,ffe1068b-3cc-471b-bb15-1c906ba20a48,ffe1068b-93cc-471b-bb15-1c906ba20a48
1189.townname,STRAyTFORD,STRATFORD
1122.xsp,REbV,REV
2233.routeid,m6-E,6-E
2076.routeid,243E,243-E
271.xsp,CdONT,CONT
211.global_id,358b9c50-d354-48dc-a648-07d89f587b67,358b9c50-d354-48dc-a648-078d9f587b67
1831.routeid,53t6-E,536-E
1676.global_id,0d7e0f62-b8bc-4f55-8b39-15abdb4b1d4e,0d7e0f26-b8bc-4f55-8b39-15abdb4b1d4e
1850.stlnstlocname,HoARTFORD TPKE,HARTFORD TPKE
1243.xsp,COTN,CONT
2288.stlnstlocname,BROD ST,BROAD ST
2481.stlnstlocname,HARTLAND RsD,HARTLAND RD
1506.townname,SMSBURY,SIMSBURY
578.global_id,8611e7edr-5cc5-49e8-9148-c747c1d17d7e,8611e7ed-5cc5-49e8-9148-c747c1d17d7e
1282.stlnstlocname,BUSHNELL HOLLOW RqD,BUSHNELL HOLLOW RD
962.routeid,188N-,188-N
1253.xsp,CNT,CONT
115.global_id,2366fb3c-226d-4fcd-a08d-b249bcd8en873,2366fb3c-226d-4fcd-a08d-b249bcd8e873
1752.stlnstlocname,DEEP RIVnER RD,DEEP RIVER RD
1074.townname,AVN,AVON
2207.stlnstlocname,NRTH BRANFORD RD,NORTH BRANFORD RD
752.global_id,4d65bb6b-b3c7-4be6-bal33-a3818c3dadea,4d65bb6b-b3c7-4be6-ba33-a3818c3dadea
1846.townname,NORqWICH,NORWICH
1307.townname,PLAtINFIELD,PLAINFIELD
108.townname,NWEINGTON,NEWINGTON
2230.routeid,6E-,6-E
2070.stlnstlocname,HUNTINGTO NRD,HUNTINGTON RD
188.global_id,f2d271f4-214f-44c0-90a4-a55f44d866d,f2d271f4-214f-44c0-90a4-a5b5f44d866d
2252.stlnstlocname,BAKER D,BAKER RD
1106.stlnstlocname,EATS MAIN ST,EAST MAIN ST
1320.routeid,5v3-N,53-N
1472.xsp,CNT,CONT
318.xsp,ONT,CONT
414.townname,GLATONBURY,GLASTONBURY
964.stlnstlocname,BLOOMFoIELD AVE,BLOOMFIELD AVE
1660.routeid,13-N,173-N
1091.xsp,RvEV,REV
899.stlnstlocname,BARNSv HILL RD,BARNS HILL RD
2389.stlnstlocname,WILLINGTON HeILL RD,WILLINGTON HILL RD
1930.routeid,641S-,641-S
1510.xsp,COTN,CONT
1236.global_id,564ed880-5349-488w2-83cc-42adb5b92a4e,564ed880-5349-4882-83cc-42adb5b92a4e
2177.stlnstlocname,ENIELD ST,ENFIELD ST
778.xsp,CONoT,CONT
2231.stlnstlocname,NEW BOLTON RmD,NEW BOLTON RD
687.stlnstlocname,BALTIC gRD,BALTIC RD
1346.townname,FARMtINGTON,FARMINGTON
500.routeid,28-N,286-N
255.routeid,r6-W,6-W
2371.townname,NORICH,NORWICH
29.routeid,1N-,1-N
1851.routeid,44E-,44-E
1988.townname,LICTHFIELD,LITCHFIELD
1206.routeid,17-S,71-S
1853.townname,CAmNTON,CANTON
2255.global_id,10ea7520-8ba6-48d2b-711-a2b37de1dab4,10ea7520-8ba6-48d2-b711-a2b37de1dab4
759.stlnstlocname,HARbTFORD TPKE,HARTFORD TPKE
1442.xsp,LeOG,LOG
2053.xsp,CNT,CONT
1228.stlnstlocname,MONTOESE AVE,MONTOWESE AVE
1536.routeid,44E,44-E
1795.stlnstlocname,HALL BLVD***,HALL BLVD
764.xsp,CNT,CONT
1394.stlnstlocname,EW LONDON RD,NEW LONDON RD
957.stlnstlocname,STRATFORuD AVE,STRATFORD AVE
999.stlnstlocname,PAmRK ST,PARK ST
