1081.fipstwo,f5409,f54059
795.statecounty,OK_Woosd,OK_Woods
167.fipstwo,f19193,f19139
675.county,Sbanta Fe ,Santa Fe 
266.statecounty,IN_Newtnon,IN_Newton
748.fipstwo,f31951,f39151
1044.county,Lja Crosse ,La Crosse 
209.statevalue,L,IL
761.statevalue,KO,OK
417.statevalue,fMI,MI
178.fipstwo,f19119,f19191
50.statecounty,CA_Santa Calra,CA_Santa Clara
741.fipstwo,f39191,f39119
445.fipstwo,f7045,f27045
906.statevalue,TrX,TX
99.fipstwo,f09051,f09015
940.fipstwo,f42821,f48221
636.statecounty,NE_Thurstno,NE_Thurston
942.statecounty,TX_Jeff aDvis,TX_Jeff Davis
581.statecounty,EN_Cass,NE_Cass
995.statecounty,VTm_Franklin,VT_Franklin
281.county,Verzmillion ,Vermillion 
865.fipstwo,uf42125,f42125
754.fipstwo,if39173,f39173
376.statevalue,DM,MD
458.fipstwo,f7095,f27095
971.statecounty,T_XWheeler,TX_Wheeler
172.statevalue,AI,IA
11.statecounty,wAZ_Cochise,AZ_Cochise
78.fipstwo,08073,f08073
183.county,Bijngham ,Bingham 
549.fipstwo,pf37145,f37145
605.statecounty,NE_Huitchcock,NE_Hitchcock
853.fipstwo,f42809,f42089
1074.statecounty,WI_aupaca,WI_Waupaca
633.statevalue,E,NE
211.county,eHnry ,Henry 
626.fipstwo,f31511,f31151
930.county,Goltiad ,Goliad 
662.county,Bernalillfo ,Bernalillo 
552.county,Roebson ,Robeson 
891.fipstwo,f460b53,f46053
804.statecounty,OR_Jeffesron,OR_Jefferson
1027.statevalue,IW,WI
264.fipstwo,f81103,f18103
505.statecounty,MT_Gracnite,MT_Granite
1024.fipstwo,vf55019,f55019
445.statecounty,MnN_Fillmore,MN_Fillmore
858.statecounty,PAPotter,PA_Potter
924.county,Fallsp ,Falls 
841.statecounty,PAHuntingdon,PA_Huntingdon
447.statevalue,NM,MN
289.statevalue,S,KS
115.statevalue,LF,FL
932.statevalue,XT,TX
935.statecounty,X_Hardeman,TX_Hardeman
754.statecounty,OH_ood,OH_Wood
791.statevalue,OjK,OK
524.statecounty,NC_Aery,NC_Avery
209.fipstwo,f170c61,f17061
706.fipstwo,f63079,f36079
32.fipstwo,0f6039,f06039
991.statevalue,AV,VA
700.statecounty,Y_Madison,NY_Madison
1007.statevalue,WtA,WA
61.county,Adamxs ,Adams 
764.county,Clveeland ,Cleveland 
653.fipstwo,3f4019,f34019
166.statevalue,AI,IA
1062.county,Rcok ,Rock 
753.statecounty,OH_Wyane,OH_Wayne
839.fipstwo,4f2049,f42049
575.fipstwo,3f1003,f31003
751.county,Warrwen ,Warren 
124.county,Mitchelol ,Mitchell 
164.fipstwo,f19192,f19129
706.county,uPtnam ,Putnam 
337.county,Shawne ,Shawnee 
760.statevalue,OuK,OK
707.county,Revnsselaer ,Rensselaer 
810.fipstwo,f410h47,f41047
672.county,Ri oArriba ,Rio Arriba 
683.statecounty,NsV_Lyon,NV_Lyon
689.statevalue,YN,NY
657.fipstwo,f43029,f34029
484.statevalue,MzN,MN
768.statevalue,K,OK
219.statevalue,rIL,IL
455.county,Linconl ,Lincoln 
814.fipstwo,f14059,f41059
141.statecounty,IA_Craford,IA_Crawford
966.statecounty,TvX_Tom Green,TX_Tom Green
293.statecounty,KS_Donphan,KS_Doniphan
476.statevalue,NM,MN
495.statevalue,MdT,MT
98.county,Tonlland ,Tolland 
957.statecounty,T_XNolan,TX_Nolan
504.fipstwo,f3003y7,f30037
887.fipstwo,pf46011,f46011
625.county,Ricardson ,Richardson 
1080.statecounty,WV_Masno,WV_Mason
410.fipstwo,f2r6095,f26095
721.statecounty,OH_Champaing,OH_Champaign
698.fipstwo,f63049,f36049
892.statevalue,DS,SD
651.statevalue,J,NJ
664.fipstwo,f5009,f35009
895.fipstwo,f6081,f46081
848.statevalue,lPA,PA
713.statecounty,NY_Steubne,NY_Steuben
536.fipstwo,f3709,f37069
960.statecounty,TX_Ranzdall,TX_Randall
805.statecounty,OR_Jsephine,OR_Josephine
962.statevalue,XT,TX
712.statevalue,Y,NY
650.county,CapeM ay ,Cape May 
664.statevalue,M,NM
19.statecounty,AeZ_Pinal,AZ_Pinal
532.fipstwo,f370l55,f37055
292.fipstwo,f2041,f20041
276.county,Stark e,Starke 
677.statecounty,NM_Torrance***,NM_Torrance
220.fipstwo,f7119,f17119
621.county,ierce ,Pierce 
739.statecounty,OH_iMami,OH_Miami
222.county,Maeson ,Mason 
892.fipstwo,f460c55,f46055
61.statevalue,lCO,CO
985.county,Grason ,Grayson 
506.county,Jefferon ,Jefferson 
1031.fipstwo,f55e035,f55035
688.fipstwo,f36011***,f36011
618.fipstwo,3f1129,f31129
399.county,Hillsale ,Hillsdale 
571.fipstwo,f38015,f38051
189.fipstwo,f16014,f16041
853.statecounty,PA_Monre,PA_Monroe
849.statecounty,PA_Luzrne,PA_Luzerne
106.fipstwo,f12032,f12023
630.fipstwo,f3p1159,f31159
431.county,Ainoka ,Anoka 
61.fipstwo,f80001,f08001
377.fipstwo,f23030,f23003
817.statevalue,zOR,OR
87.fipstwo,08115,f08115
302.statevalue,SK,KS
1078.fipstwo,54003,f54003
9.county,Randloph ,Randolph 
601.county,Grawnt ,Grant 
392.statevalue,IM,MI
53.statevalue,A,CA
136.statecounty,IAC_erro Gordo,IA_Cerro Gordo
182.fipstwo,16005,f16005
638.statevalue,EN,NE
993.county,St. Croix Isloand,St. Croix Island
1005.statecounty,WA_Gprant,WA_Grant
999.statecounty,WA_eBnton,WA_Benton
224.county,cMHenry ,McHenry 
91.fipstwo,f0825,f08125
547.statevalue,CN,NC
669.statevalue,M,NM
229.fipstwo,f17419,f17149
1060.statecounty,WI_Racien,WI_Racine
150.statecounty,gIA_Howard,IA_Howard
1068.fipstwo,ff55123,f55123
603.statecounty,NE_Hmilton,NE_Hamilton
120.statevalue,AG,GA
269.statevalue,IiN,IN
739.county,Miaim ,Miami 
971.statevalue,uTX,TX
903.fipstwo,f4817,f48017
235.statecounty,IL_Vermilino,IL_Vermilion
1007.county,Kickitat ,Klickitat 
922.statevalue,X,TX
1006.statecounty,WA_sIland,WA_Island
842.statevalue,uPA,PA
777.statevalue,OtK,OK
648.county,Burlinqgton ,Burlington 
634.county,Satnton ,Stanton 
192.statevalue,DI,ID
400.statecounty,MI_Inia,MI_Ionia
563.statevalue,CN,NC
848.county,Lehig h,Lehigh 
685.statecounty,NV_Washeo,NV_Washoe
1070.statecounty,WI_Waworth,WI_Walworth
407.fipstwo,f62089,f26089
622.statevalue,NeE,NE
248.statevalue,N,IN
131.county,Buchana n,Buchanan 
513.statevalue,T,MT
600.statecounty,NE_Gospre,NE_Gosper
537.statevalue,CN,NC
227.county,Ogl e,Ogle 
312.fipstwo,f20115***,f20115
382.fipstwo,f32021,f23021
140.fipstwo,pf19045,f19045
971.fipstwo,f44883,f48483
297.county,Fineny ,Finney 
319.county,orton ,Norton 
1022.statecounty,WI_Calxumet,WI_Calumet
828.statecounty,PA_Cmbria,PA_Cambria
121.fipstwo,f31157,f13157
397.fipstwo,f26034,f26043
638.statecounty,wNE_Webster,NE_Webster
