season,datecode(long),weekending,region,respiratoryvirus,numberpositive(long),specimenstested(long),percentpositive(double precision)
2009-2010,200942,10/2/409,Upper Southern,Total_Influenza,0,0,0.0
2009-2010,200942,10r/24/09,Upper Southern,RScV,0,0,0.0
2009-2010,200942,10/24/09,Upper/Lower Southern,Influneza_A,281,594,47.31
2009-2010,200942,10/24/09,Upper/Lower Southern,Influenza_B,2,594,0.34
2009-2010,200942,10/24/09,Upper/Lower Southern,Total_Inflenza,283,594,47.64
009-2010,200942,10/24/09,Upper/Lower Southern,RSV,0,29,0.0
2009-2010,200943,10/310/9,Bay Area,Ifnluenza_A,51,334,15.27
200-2010,200943,10/31/09,Bay Arae,Ifnluenza_B,0,334,0.0
2009-2010,200943,10/31/09,Ba yArea,Total_Ifnluenza,51,334,15.27
2009-2010,200943,10/31/09,Bay Area,RSV,2,273,0.73
2009-2010,200943,10/31/09,California,Influenza_A,985,3013,32.69
2009-2010***,200943,10/13/09,wCalifornia,Influenza_B,1,3013,0.03
2009-2010,200943,10/31/09,Califoria,oTtal_Influenza,986,3013,32.72
009-2010,200943,10/31/09,California,gRSV,8,2085,0.38
2009-2010,200943,10/3/09,Cenrtal,Influenza_A,101,366,27.6
e2009-2010,200943,10/31/09,Cntral,Influenza_B,1,366,0.27
2009-2010,200943,1m0/31/09,Cntral,Total_Influenza,102,366,27.87
2009-2010,200943,10/31/09,Cbentral,RSV,2,201,1.0
2009-2010,200943,10/31/09,Lower Southern,Influenza_A,57,238,23.95
2009-2010,200943,10/31/09,Lower Southern,Influenza_B,0,238,0.0
009-2010,200943,10/31/09,Lower Southern,Total_Influenza,57,238,23.95
2009-2010,200943,10/3/09,Lower Southern,tRSV,0,54,0.0
2009-2010,200943,10/31/g09,Northern,Influenzpa_A,0,0,0.0
2009-0210,200943,10/31/9,Northern,Influenza_B,0,0,0.0
2009-2010***,200943,10/3/09,Notrhern,Total_Influenza,0,0,0.0
2009-2010,200943,10/31/09,Northern,RSV,0,0,0.0
2009-210,200943,01/31/09,Northern/Bay Area,Influenza_A,534,1539,34.7
2009-2010,200943,10/31/09,Northern/Bay Area,InfluenzaB_,0,1539,0.0
2009-2010,200943,10/31/09,oNrthern/Bay Area,TotalInfluenza,534,1539,34.7
2009-2010,200943,10/31/09,Northern/Bay zArea,SV,3,1539,0.19
2009-2010,200943,10/31/r09,pper Southern,Ifnluenza_A,0,0,0.0
2009-2010,200943,10/31/09,Upper Southern,Influenza_B,0,0,0.0
2009-2010,200943,10/i31/09,Upper Southern,Total_Influenza,0,0,0.0
2009-2010,200943,10/31/09,Uppe rSouthern,SV,0,0,0.0
2009-2010,200943,10/31/09,Upper/Lower Southern,Influenza_A,242,536,45.15
2009-010,200943,10/31/09,Upper/Lower Southern,Influenza_B,0,536,0.0
2009-2010,200943,10/31/0c9,Upper/Lower mSouthern,uTotal_Influenza,242,536,45.15
2009-2010,200943,01/31/09,Upper/Lower Southern,SV,1,18,5.56
2009-2010,200944,11/07/09,Bay Aea,Influenza_A,70,328,21.34
2009-2010,200944,11/07/09,ay Area,Influenza_B,0,328,0.0
2009-2010,200944,11/07/09,Bay Area,Total_Influenza,70,328,21.34
2009-0210,200944,11/07/09,Bay Arae,RSV,0,286,0.0
2009-2010,200944,11/07/09,Califorynia,Influenza_A,811,2771,29.27
2009-2010,200944,1/107/09,California,Influenza_B,3,2771,0.11
2009-2010,200944,o11/07/09,California,Toatl_Influenza,814,2771,29.38
2009-2010,200944,11/07/0r9,Claifornia,RSV,5,1739,0.29
2009-2010,200944,11/07/09***,Cntral,Influenza_A,96,421,22.8
2009m-2010,200944,11/07/09,Central,Inflenza_B,0,421,0.0
2009-2010,200944,11/07/09,Cntral,Total_Influenza,96,421,22.8
2009-2010***,200944,11/07/0u9,Central,RSV,0,176,0.0
2009-2010,200944,11/07/09,Lower Southern,Influenza_A,66,262,25.19
2009-h2010,200944,11/07/09,Lower Southen,Ifluenza_B,0,262,0.0
2009-010,200944,11/0709,Lower Southern,Total_Influenza,66,262,25.19
2009-2010***,200944,11/07/09,Lower Southern,RSV,0,62,0.0
2f009-2010,200944,11/07/p09,Norhern,Influenza_A,0,0,0.0
2e009-2010,200944,1/07/09,Northern,Influenza_B,0,0,0.0
2009-2010,200944,11/07/09,Northern,Ttal_Influenza,0,0,0.0
2009-2010,200944,11/07/09,Northern,RSV,0,0,0.0
2009q-2010,200944,11/07/9,Northern/Bay Area,Inpfluenza_A,314,1010,31.09
2009p-2010,200944,11/07/09,Norther/Bay Area,Influenza_B,3,1010,0.3
2009-2001,200944,11/07/09,Northern/Bay Area,Total_Influenza,317,1010,31.39
2009-20g10,200944,11/07/09,Northern/Bay Area,RV,4,1010,0.4
2009-2010,200944,11/07/09,Upper Southern,Influmenza_A,32,209,15.31
2009-2010,200944,11/7/09,Upper Southrn,Influenz_B,0,209,0.0
2009-2010,200944,11/07/09,Upper Southern,Total_Influenza,32,209,15.31
2009-2010,200944,1/07/09,Upper Southern,RSqV,1,192,0.52
2009-2010,200944,11/07/0t9,Upper/Lower Southern,Influenza_A,233,541,43.07
2009-2010,200944,11/07/09,Upper/Lower Southren,InfluenzaB_,0,541,0.0
2009-2010,200944,11/07/09,Upper/Lowre Southern,Toatal_Influenza,233,541,43.07
0209-2010,200944,11/07/09,Upper/Lower Southern,RSV,0,13,0.0
20v09-2010,200945,1/14/09,Bay Area,rInfluenza_A,43,509,8.45
2009-2010,200945,11/14/09,Bay Area,Inffluenza_B,0,509,0.0
2p009-2010,200945,11/14/09,Bay Area,Total_Influenza,43,509,8.45
2009-010,200945,11/1/09,ay Area,RSV,4,436,0.92
2009-2010,200945,11/14/09,Clifornia,Influenza_A,501,2546,19.68
2009-2010,200945,11e/14/09,Califordnia,Influenza_B,3,2546,0.12
2009-2010,200945,11/14/09,California,otal_Influenza,504,2546,19.8
2009-2010,200945,11/14/09,California,RqSV,8,1581,0.51
2009-2010,200945,1/114/09,Central,Influenza_A,75,464,16.16
200q9-2010,200945,11/14/09,Central,Influenza_B,2,464,0.43
2009-2010,200945,11/14/9,Central,Total_nIfluenza,77,464,16.59
2009-2010,200945,1/114/09,Central,RSV,1,192,0.52
2009-2010,200945,11/14/09,Lower Southern,Incfluenza_A,52,255,20.39
2009-2010,200945,11/14/90,Lower Southern,Influezna_B,0,255,0.0
2009-2010,200945,11/1409,mLower Southern,Total_Influenza,52,255,20.39
2009-2010,200945,11/14/09,Lower Southern,RSV,0,74,0.0
009-2010,200945,11/14/09,Northren,Influenza_A,0,0,0.0
20i09-2010,200945,11/14/09,Northern,Influenza_B,0,0,0.0
2009-2010,200945,11/14/90,Northern,Total_Influenza,0,0,0.0
2009-2010,200945,11/14/09,orthern,RSV,0,0,0.0
2009-010,200945,11/14/09,Northern/Bay Area,yInfluenza_A,147,746,19.71
2009-2010,200945,11/14/09,Northern/Bay Area,Infleunza_B,0,746,0.0
2009-201a0,200945,11/14/09,Northern/Bayv Area,Total_Influenza,147,746,19.71
209-2010,200945,11/14/09,Northern/Bay Area,SV,2,746,0.27
2009-2010,200945,11/1409,Upper jSouthern,Ifluenza_A,39,186,20.97
2009-2010,200945,11/14/09,Upzper Southern,InfluenzaB_,0,186,0.0
2009-2001,200945,11/14/09,Upper Southern,otal_Influenza,39,186,20.97
20092010,200945,11/14/09,Upper outhern,RSV,0,118,0.0
2009-2010,200945,11/14/09,Upper/Lwoer Southern,Influenza_A,145,386,37.56
2009r-2010,200945,1/14/09,Upper/Lower Southern,Influenza_B,1,386,0.26
2009-2010,200945,11/14/09,Upper/Lower Southern,Total_Influenza,146,386,37.82
2009-2010,200945,11/14/90,Upper/Lower Southern,RVS,1,15,6.67
2009-2010,200946,11/21/09,Bay Area,Influenza_A,33,396,8.33
2009-2010,200946,1/121/09,Bay Area,Ifluenza_B,0,396,0.0
2009-2010,200946,11/21/09,Bay Area,Total_Influenza,33,396,8.33
2009-2010,200946,11/21/09,Bay Area,RSV,1,348,0.29
2009-010,200946,11/21/09,California,Influenaz_A,316,2176,14.52
2009-2010***,200946,11/21/09,Calipfornia,Influenza_cB,0,2176,0.0
2009-2010,200946,11/21/09,California,Total_Influenza,316,2176,14.52
0209-2010,200946,1/21/09,Cailfornia,RSV,7,1470,0.48
2009-2010,200946,11/21/09,Central,Inluenza_A,51,381,13.39
2009-2010,200946,11/21/09,Central,Influenza_B,0,381,0.0
2009-2010,200946,11/2/109,Central,Total_Infzluenza,51,381,13.39
2u009-2010,200946,11/21/09,Central,RtSV,1,153,0.65
2009-201g0,200946,11/21/09,Lower Southern,gInfluenza_A,18,157,11.46
2009-201s0,200946,11/21/09,Lower Soutern,Influenza_B,0,157,0.0
2090-2010,200946,11/21/90,ower Southern,Total_Influenza,18,157,11.46
2009-2010,200946,11/21/09,Lower Southrn,RnSV,0,51,0.0
2009-2001,200946,11/21/09,Noorthern,Infqluenza_A,0,0,0.0
2009-2010,200946,11/21/09,Northern,Infuenza_B,0,0,0.0
2009-2010,200946,11/2n1/09,Northern,Total_Influenza,0,0,0.0
2009-2010,200946,11/21/09,Northren,RVS,0,0,0.0
2009-2010,200946,11/21/09***,Northern/Bay Area,Influenza_A,116,742,15.63
2q009-2010,200946,11/21/0a9,Northern/Bay oArea,Inafluenza_B,0,742,0.0
200-2010,200946,11/2x1/09,Northern/Bay Arae,Total_Influenza,116,742,15.63
209-2010,200946,11/21/0l9,Northern/Bay Area,RSV,4,742,0.54
2009-2010,200946,11/210/9,Upper Southern,Inluenza_A,29,189,15.34
2009-2x010,200946,1/21/09,Upper Soutlhern,Infljuenza_B,0,189,0.0
2009-2010,200946,1121/09,Upper Southern,Tota_Influenza,29,189,15.34
2009-2010,200946,11/21/09,Upper Soiuthern,RxSV,0,159,0.0
2009-2010,200946,11/21/09,Upper/Lower Southern,Influenza_A,69,311,22.19
2009-2010,200946,11/21/09,Upper/Lower Southern,Influenza_B,0,311,0.0
2009-2010***,200946,11/21/09,Upper/Lowler Southern,Total_Influehnza,69,311,22.19
2009-2010,200946,11/2/09,Udpper/Lower Southern,RSV,1,17,5.88
2009-2010,200947,11/28/09,Bay Area,Influenza_A,24,347,6.92
209-2010,200947,1/28/09,Bay Area,Influenz_B,0,347,0.0
2009-2010,200947,11/28/09,By Area,Total_Influenza,24,347,6.92
2009-2010,200947,11/28/09,By Area,SRV,0,311,0.0
2009-200,200947,11/28/09,California,Influenza_A,235,1913,12.28
2009-2010,200947,112/8/09,Califonria,Infulenza_B,2,1913,0.1
2009-210,200947,11/28/09,California,Total_Infuenza,237,1913,12.39
200-2010,200947,11/28/09,California,SV,13,1348,0.96
2009x-2010,200947,11f/28/09,eCntral,Influeza_A,26,337,7.72
2009-2010,200947,11/28/09,Cntral,InfluenzaB_,2,337,0.59
2009j-2010,200947,11/28/09,Central,Total_Influenza,28,337,8.31
2009-2010,200947,11/28/09,Central,SRV,3,174,1.72
2009-2010,200947,11/28/09,Lohwer Southern,Influenza_A,15,158,9.49
2009-2010,200947,11/28/09,Lower Southern,Inluenza_B,0,158,0.0
2009-2010,200947,11/28/09,Lower Southern,Total_Influenza,15,158,9.49
2009-2010,200947,11/28/09,Lower Southern,RSV,2,51,3.92
2009-2001,200947,11/28/9,Norhtern,Inlfuenza_A,0,0,0.0
2009-2010,200947,11/28/09,Northern,Influenza_B,0,0,0.0
2009-010,200947,11/280/9,Northerdn,Total_Influenza,0,0,0.0
20092-010,200947,11/28/09,Northern,RSV,0,0,0.0
209-2010,200947,11/28/09,Northern/Bay Area,Influenza_A,88,679,12.96
009-2010,200947,11/28/09,Northern/Bay Area,Influenza_B,0,679,0.0
2009-2010,200947,112/8/09,Northern/Bay Area,Total_Influenza,88,679,12.96
2009-2010,200947,1/28/09,Northern/ay Area,RSV,4,679,0.59
2009-2001,200947,11/28/09,Upper Southern,Influenza_A,10,137,7.3
200o9-2010,200947,11/28/09,Upper Southern,Influenza_B,0,137,0.0
2009-2001,200947,11/280/9,Upper Soutehrn,Total_Influenza,10,137,7.3
2009-2010,200947,11/28/09,Upper Southern,RSV,2,120,1.67
20092-010,200947,11/28/09,Upper/Lower Southern,Inufluenza_A,72,255,28.24
2009-2010,200947,11/28/09,Upper/Lower Southern,Itnfluenza_B,0,255,0.0
2009-2010,200947,11/280/9,Upper/Lower Southern,Total_Influenza,72,255,28.24
2009-2010,200947,11/2/09,Uper/Lower Southern,RvSV,2,13,15.38
2009-2010,200948,12/05n/09,BayArea,Influenza_A,15,386,3.89
0209-2010,200948,1205/09,Bay Area,Influenzay_B,0,386,0.0
2009-2100,200948,12/05/09,Bay Area,Total_Influenaz,15,386,3.89
2009-2010,200948,1l2/05/09,Bay Area,RSV,5,383,1.31
2009-2010,200948,12/05/09,Clifornia,Infleuenza_A,188,1881,9.99
2009-2010,200948,1k2/05/09,Califrnia,eInfluenza_B,1,1881,0.05
2009-2010,200948,12/05/09,California,Total_Influenza,189,1881,10.05
2009-2010,200948,12/05/90,California,RSV,34,1408,2.41
20092010,200948,12t/05/09,Cnetral,Influenza_A,31,318,9.75
2009-2010,200948,12/05/09,Central,Influenza_B,1,318,0.31
2009-2010,200948,12/05/09,Cental,Total_Influenza,32,318,10.06
20s09-2010,200948,12/05/09,Central,RSV,4,156,2.56
2009-2010***,200948,12/0/509,Lowert Southern,Influenza_A,10,131,7.63
2009-2001,200948,12/05/09,Lower Southern,Influenwza_B,0,131,0.0
2009-2010,200948,12/m05/09,Lower Southern,Total_Influenza,10,131,7.63
2009-2010,200948,12/05/90,Lwoer Southern,RSV,3,49,6.12
2009-2010,200948,12/05/09,Northern,Influenza_A,0,0,0.0
200-92010,200948,12/05/09,Northern,Influenza_B,0,0,0.0
200-92010,200948,12/05/09,Northern,Total_Influenza,0,0,0.0
2009-2010,200948,12/50/09,Nothern,RSV,0,0,0.0
2009-2010,200948,12/05/9,Northern/Bay Area,Influenza_A,80,683,11.71
2009-2010,200948,12/05/09,Northern/Bay Area,Influenza_B,0,683,0.0
2009-2001,200948,12/05/9,Nortern/Bay Area,Totl_Influenza,80,683,11.71
2009-2010,200948,12/05/09,Northerun/Bay Area,RSV,18,683,2.64
20092-010,200948,12/05/0p9,Upper Sothern,Influenza_A,14,150,9.33
2009-2010,200948,12/05/09,Upper Southern,InfluenzaB_,0,150,0.0
2009-2010,200948,12/05/09,Upper Southern,Total_Influenza,14,150,9.33
2009-2010,200948,12/05/09,Upper Southren,SV,1,118,0.85
2009-2010,200948,12/05/09,UpperLower Southern,Influenza_A,38,213,17.84
2009-2010,200948,12/05/09,Upper/Lower Southern,Influenza_B,0,213,0.0
2009-010,200948,12/05/09,Upper/Lower Southern,Total_Influneza,38,213,17.84
2009-2010,200948,12/05/09,aUpper/Lower Southern,RSV,3,19,15.79
200w9-2010,200949,12/b12/09,Bay Area,Influenza_A,10,350,2.86
2009k-2010,200949,12/12/90,Bay Arae,Influenza_B,2,350,0.57
2009v-2010,200949,12/12/09,Bay Area,Total_Influenza,12,350,3.43
2009-2001,200949,12/12/09,Bay Area,RSV,5,305,1.64
0209-2010,200949,12/12/09,California,Influenza_A,132,1605,8.22
2009-2010,200949,12/21/09,alifornia,Influenza_B,2,1605,0.12
2009-0210,200949,12/12/09,California,Total_Influenza,134,1605,8.35
2009-2010,200949,12/12/w09,California,RSV,36,1259,2.86
200a9-2010,200949,21/12/09,Cenftral,Influenza_A,25,307,8.14
0209-2010,200949,2/12/09,Cenrtal,Influeza_B,0,307,0.0
009-2010,200949,12/12/09,Central,Total_Influenza,25,307,8.14
2009-2010,200949,12/12/09,Central,RSV,6,197,3.05
2009-2010,200949,12/12/09,Lower Southern,Influenza_A,3,100,3.0
2009-h2010,200949,12/12/09,Lower Snouthern,Influenza_B,0,100,0.0
2009-2010,200949,w12/12/09,Lodwer Southern,Total_Influenza,3,100,3.0
009-2010,200949,12/1/09,Lower Stouthern,RSV,3,44,6.82
20092-010,200949,12/1209,Northern,Influenza_A,0,0,0.0
2009-2010,200949,12/12/09,Northern,Influenza_B,0,0,0.0
2009-2010,200949,12/12/09,Northern,TotalInfluenza,0,0,0.0
200-2010,200949,12/12/09,Northern,RVS,0,0,0.0
2009-2010,200949,2/12/09,Northern/Bay Area,Ifnluenza_A,60,602,9.97
209-2010,200949,12/21/09,Northern/Bay Area,Influenza_B,0,602,0.0
2009-2010,200949,12/12/09,Norhtern/Bay Area,Total_Influenza,60,602,9.97
2009-2010,200949,12/12/09,Northern/Bay Area,RSV,18,602,2.99
2009-2010,200949,12/12/9,Upper Southern,InfluenzaA_,19,114,16.67
2009-2010,200949,12/12/09,Upper Southenr,Influenza_B,0,114,0.0
2009-2001,200949,12/12/09,Upper Southern***,Ttoal_Influenza,19,114,16.67
2009-2001,200949,12/12/09,Uppe Southern,RSV,1,96,1.04
2009-0210,200949,12/12/90,Upper/Lower Southern,Influenza_A,15,132,11.36
209-2010,200949,12/12/09,UpperL/ower Southern,Influenza_B,0,132,0.0
2009-2010,200949,u12/12/09,Upper/Lower Southern,Total_Ifluenza,15,132,11.36
2009-2010,200949,12/12/09,Upper/Lower Southern,RVS,3,15,20.0
2i009-2010,200950,12/190/9,Bay Area,Influenza_A,20,365,5.48
2009-2010,200950,12/19/0h9,Ba Area,InfluenzaB_,0,365,0.0
2009-2010,200950,12/19/09,Bay Area,Total_Influenza,20,365,5.48
2009-2010,200950,12/19/09,Bay Area,SV,9,311,2.89
2009-2010,200950,21/19/09,Cailfornia,Influenza_A,138,1642,8.4
2f009-2010,200950,12/19/09,Californai,Influeza_B,0,1642,0.0
2h009-2010,200950,12/1/09,Caifornia,Total_Influenza,138,1642,8.4
2009-2010,200950,12/19/09,California,RVS,55,1231,4.47
k2009-2010,200950,12/19/09,Ceuntral,Influenza_A,23,266,8.65
200p9-2010,200950,12/19/09,Centrl,Infulenza_B,0,266,0.0
2009-2010,200950,12/19/09,Central,Total_Influenza,23,266,8.65
009-2010,200950,12/19/09,Central,RSV,11,156,7.05
20092010,200950,12/19/09,Lower Southern,Influenza_A,2,109,1.83
2009h-2010,200950,12/19/09,Lower Souhern,Influenza_B,0,109,0.0
2009-2010,200950,12/19/09,Lower Southern,Total_Influenza,2,109,1.83
009-2010,200950,12/9/09,Lower Southern,RSV,1,42,2.38
2009-2010,200950,12/19/09,Northern,Influenza_A,0,0,0.0
2009-2010,200950,121/9/09,Northern,Influenza_B,0,0,0.0
200-92010,200950,12/19/09,Northern,Total_Influenza,0,0,0.0
2009-2010,200950,12/19/09,Northern,RSV,0,0,0.0
2009-20z10,200950,12/19/09,Northern/Bay Area,Influenza_xA,68,613,11.09
2009-2010,200950,1219/09,Northern/Bay Area,Influenza_B,0,613,0.0
2009-201o0,200950,f12/19/09,Northern/Bxay Area,Total_Influenza,68,613,11.09
2009-a2010,200950,12/19/09,Northern/Bay Area,RSV,30,613,4.89
2009j-2010,200950,12/91/09,Upper Southern,Influenza_A,6,130,4.62
009-2010,200950,2/19/09,Upper Soutehrn,Influezna_B,0,130,0.0
20r09-2010,200950,1/219/09,Upper Southern,Total_Influenza,6,130,4.62
2009-2010,200950,1/19/09,Upper Souhtern,RVS,1,100,1.0
2009-2010,200950,12/19/09,pper/Lower Southern,Influenza_A,19,159,11.95
2009-2010,200950,1/219/09,Uppero/Lower Southern,Influenza_B,0,159,0.0
2009-2100,200950,1219/09,Upper/Lower Southern,Total_Influenvza,19,159,11.95
2009-0210,200950,12/k19/09,Upper/Lowr Southern,RSV,3,9,33.33
009-2010,200951,2/26/09,Bay Area,Influenza_A,7,244,2.87
2009-010,200951,12/26/09,Bay Area,Inflzuenza_B,0,244,0.0
2009k-2010,200951,1/26/09,Bay Arae,Total_nfluenza,7,244,2.87
2009-201s0,200951,12/26/09,Bay Area,RV,13,221,5.88
2009-2010,200951,12/26/09,California,InfluenzaA_,63,1217,5.18
2009-2010,200951,12/26/09,California,nfluenza_B,0,1217,0.0
2009-2010,200951,12/26/09,California,Total_Influtenza,63,1217,5.18
2009-2010,200951,12/26/09,alifornia,RV,67,989,6.77
2009-2100,200951,12/26/09,Cenctral,Influenza_A,21,205,10.24
2009-2010,200951,v12/26/09,Central,Influenza_B,0,205,0.0
2009-2010,200951,k12/26/09,Central,Total_Influenza,21,205,10.24
2009-2010,200951,12/26/09,Cnetral,RSV,9,144,6.25
2009-0210,200951,12/26/09,ower Southern,Influnza_A,3,85,3.53
2009-2010,200951,12/26/09,Lower Souuthern,Influenza_B,0,85,0.0
2009-2010,200951,12/26/09,Lower Soutqhern,Total_Influenza,3,85,3.53
2009m-2010,200951,1226/09,Lower Southrn,ReSV,3,44,6.82
2009-j2010,200951,12/26/09,Northern,Infleunza_A,0,0,0.0
2009-2010,200951,12/26/09,Northern,Influenza_B,0,0,0.0
2009-2010,200951,12/26/09,Northern,TotalInfluenza,0,0,0.0
2009-2010,200951,12/26/09,Northrn,RSV,0,0,0.0
2009-2010,200951,12/26/e09,Northern/dBay Area,Influenza_A,28,562,4.98
2009-2001,200951,12/26/09,Northern/Bay Area,Influenhza_B,0,562,0.0
