RespondentID,StartDate,EndDate,FamiliarityNews,FamiliarityTech,SharedCyclist,SharedPedestrian,SafeAv,SafeHuman,AvImpact,ProvingGround,Speed25Mph,TwoEmployeesAv,SchoolZoneManual,ShareTripData,SharePerformanceData,ReportSafetyIncident,ArizonaCrash,ZipCode,BikePghMember,AutoOwner,SmartphoneOwner,Age
10499373267,1/30/2019,1/30/2019,To a large extent,Mostly familiar,Yes,No,5,2,Significantly Better,Approve,No,No,Not sure,Yes,Yes,Yes,No change,15224,Yes,Yes,Yes,45-54
10499345074,1/30/2019,1/30/2019,To a moderate extent,Somewhat familiar,No,No,null,3,No effect,Somewhat Disapprove,Yes,Yes,Yes,Yes,Yes,Yes,Significantly more negative opinion,null,No,Yes,Yes,55-64
10499338551,1/30/2019,1/30/2019,To a moderate extent,Extremely familiar,Not sure,Yes,5,3,Significantly Better,Approve,No,Not sure,No,Not sure,Yes,Yes,No change,15221,Yes,Yes,Yes,35-44
10499280976,1/30/2019,1/30/2019,To a moderate extent,Mostly familiar,Not sure,Yes,3,2,Slightly Better,Neutral,Yes,Not sure,Not sure,Yes,Yes,Yes,Somewhat more negative opinion,38107,No,Yes,Yes,45-54
10499279665,1/30/2019,1/30/2019,To a large extent,Extremely familiar,Yes,Yes,4,3,Slightly Better,Neutral,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat more negative opinion,15068,Not sure,Yes,Yes,55-64
10499249479,1/30/2019,1/30/2019,To a moderate extent,Mostly familiar,Yes,No,5,3,No effect,Approve,No,No,Not sure,No,No,Yes,No change,15237,Yes,Yes,Yes,65+
10499226733,1/30/2019,1/30/2019,To some extent,Somewhat familiar,No,No,2,1,Slightly Better,Somewhat Disapprove,Yes,No,Yes,Yes,Yes,Yes,Somewhat more negative opinion,null,No,Yes,Yes,25-34
10499224313,1/30/2019,1/30/2019,To a moderate extent,Mostly familiar,No,Yes,2,2,Slightly Worse,Somewhat Approve,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat more negative opinion,15208,No,Yes,Yes,65+
10499216045,1/30/2019,1/30/2019,To little extent,Mostly familiar,No,Yes,5,3,Significantly Better,Approve,No,No,Not sure,Not sure,Yes,Yes,Somewhat more positive opinion,15235,No,Yes,Yes,35-44
10499164226,1/30/2019,1/30/2019,To a moderate extent,Extremely familiar,Yes,Yes,5,3,Slightly Better,Approve,No,No,No,Yes,Yes,Yes,Significantly more positive opinion,15215,Yes,Yes,Yes,55-64
10499143475,1/30/2019,1/30/2019,To some extent,Mostly familiar,Not sure,Yes,4,3,Significantly Better,Somewhat Approve,No,Yes,Not sure,No,Yes,Yes,No change,15224,No,Yes,Yes,25-34
10499048479,1/30/2019,1/30/2019,To a moderate extent,Somewhat familiar,Yes,Yes,3,1,Slightly Better,Somewhat Approve,Yes,Yes,Not sure,Yes,Yes,Yes,Somewhat more negative opinion,15201,Yes,Yes,Yes,25-34
10498973305,1/30/2019,1/30/2019,To little extent,Somewhat familiar,Yes,Yes,2,2,Slightly Worse,Disapprove,Yes,Yes,Yes,Yes,Yes,Yes,Significantly more negative opinion,15206,Yes,Yes,Yes,25-34
10498913189,1/30/2019,1/30/2019,To a large extent,Mostly familiar,No,Yes,4,2,Significantly Better,Approve,No,No,No,Yes,Yes,Yes,Somewhat more negative opinion,15206,Yes,Yes,Yes,35-44
10498871662,1/30/2019,1/30/2019,To some extent,Not familiar at all,Not sure,Yes,2,2,Significantly Worse,Somewhat Disapprove,Not sure,Yes,Yes,Yes,Yes,Yes,Significantly more negative opinion,15229,Not sure,Yes,Yes,25-34
10498860618,1/30/2019,1/30/2019,To little extent,Not familiar at all,Yes,Yes,5,4,Significantly Better,Approve,Not sure,Not sure,Not sure,Yes,Yes,Yes,No change,15201,Yes,Yes,Yes,25-34
10498725037,1/30/2019,1/30/2019,To a large extent,Somewhat familiar,Yes,Yes,4,3,Slightly Better,Somewhat Approve,Not sure,Not sure,Yes,Not sure,Not sure,Yes,No change,15217,Yes,Yes,Yes,35-44
10498714520,1/30/2019,1/30/2019,To a large extent,Extremely familiar,Yes,Yes,5,3,Significantly Better,Approve,Yes,No,Not sure,Not sure,Yes,Yes,No change,15223,Yes,Yes,Yes,35-44
10498697866,1/30/2019,1/30/2019,To some extent,Somewhat familiar,No,No,3,3,Slightly Better,Somewhat Approve,Yes,No,Not sure,Yes,Yes,Yes,Somewhat more negative opinion,16262,No,Yes,Yes,35-44
10498629080,1/30/2019,1/30/2019,To a moderate extent,Somewhat familiar,No,Yes,4,3,Significantly Better,Approve,No,Yes,No,Not sure,Yes,Yes,No change,15208,No,Yes,Yes,18-24
10498593524,1/30/2019,1/30/2019,To some extent,Somewhat familiar,Yes,No,4,3,Slightly Better,Approve,No,No,Yes,Not sure,Yes,Yes,No change,15211,No,Yes,Yes,18-24
10496666321,1/29/2019,1/29/2019,To some extent,Mostly familiar,Not sure,Yes,4,3,Significantly Better,Approve,No,No,Not sure,Yes,Yes,Yes,No change,15213,Yes,Yes,Yes,25-34
10495230218,1/29/2019,1/29/2019,To a large extent,Extremely familiar,Yes,No,null,null,null,Disapprove,Yes,Yes,Yes,Yes,Yes,Yes,Significantly more negative opinion,15213,Yes,Yes,Yes,18-24
10494593942,1/28/2019,1/28/2019,To a large extent,Mostly familiar,Yes,Yes,5,1,Significantly Better,Approve,No,No,No,Yes,Yes,No,No change,15690,No,Yes,Yes,25-34
10494502647,1/28/2019,1/28/2019,To a large extent,Somewhat familiar,Yes,Yes,3,2,Slightly Better,Approve,Not sure,Not sure,Yes,Yes,Yes,Yes,Somewhat more negative opinion,15212,Yes,Yes,Yes,55-64
10494480628,1/28/2019,1/28/2019,To a moderate extent,Mostly familiar,No,Yes,4,2,Slightly Better,Somewhat Approve,Yes,Not sure,Not sure,Yes,Yes,Yes,No change,15241,No,Yes,Yes,55-64
10494076639,1/28/2019,1/28/2019,To a moderate extent,Mostly familiar,Not sure,Not sure,5,4,Significantly Better,Approve,Not sure,No,Not sure,Not sure,Not sure,Not sure,No change,15601,No,Yes,Yes,45-54
10493669679,1/28/2019,1/28/2019,To a large extent,Extremely familiar,Yes,Yes,5,1,Significantly Better,Approve,No,Yes,Not sure,Yes,Yes,Yes,No change,15224,Yes,Yes,Yes,35-44
10493645911,1/28/2019,1/28/2019,To some extent,Somewhat familiar,No,Yes,5,1,Significantly Better,Approve,Yes,Yes,Not sure,Yes,Yes,Not sure,No change,24060,Yes,Yes,Yes,25-34
10492779516,1/27/2019,1/27/2019,To some extent,Mostly familiar,No,No,4,3,Slightly Better,Somewhat Approve,Yes,Yes,Not sure,Yes,Yes,Yes,Somewhat more negative opinion,15207,Not sure,Yes,Yes,25-34
10492630481,1/27/2019,1/27/2019,To a moderate extent,Mostly familiar,Yes,Yes,4,4,Slightly Better,Approve,Not sure,No,Not sure,Yes,Yes,Yes,Somewhat more negative opinion,15201,No,Yes,Yes,25-34
10492576250,1/27/2019,1/27/2019,To a moderate extent,Mostly familiar,null,Yes,5,1,Slightly Worse,Disapprove,Not sure,Yes,Yes,Yes,Yes,Yes,Significantly more negative opinion,null,No,Yes,Yes,45-54
10492235189,1/27/2019,1/27/2019,To some extent,Somewhat familiar,No,No,2,2,Slightly Better,Neutral,Not sure,Yes,Yes,Yes,Yes,Yes,Significantly more negative opinion,15232,Yes,Yes,Yes,25-34
10491601994,1/26/2019,1/26/2019,To some extent,Mostly familiar,Yes,Yes,3,3,No effect,Neutral,Yes,No,Yes,Yes,Yes,Yes,Somewhat more negative opinion,15206,Yes,Yes,Yes,45-54
10491499662,1/26/2019,1/26/2019,To a large extent,Mostly familiar,Yes,Yes,5,4,Slightly Better,Approve,No,Not sure,Yes,Yes,Yes,Yes,No change,15217,No,Yes,Yes,25-34
10491369820,1/26/2019,1/26/2019,To a large extent,Somewhat familiar,Yes,Yes,5,1,Slightly Better,Approve,Yes,Yes,No,Yes,Not sure,Yes,No change,15222,Yes,Yes,Yes,55-64
10491350174,1/26/2019,1/26/2019,To some extent,Somewhat familiar,Yes,No,5,1,No effect,Approve,No,No,No,No,Yes,Yes,No change,15212,No,Yes,Yes,45-54
10491288987,1/26/2019,1/26/2019,To some extent,Somewhat familiar,Yes,Yes,4,3,Slightly Better,Approve,Not sure,Not sure,Yes,Not sure,Yes,Yes,No change,15147,No,Yes,Yes,55-64
10489842121,1/25/2019,1/25/2019,To a large extent,Extremely familiar,Yes,Yes,5,2,Significantly Better,Approve,No,Yes,Yes,No,No,No,Significantly more positive opinion,15227,No,Yes,Yes,35-44
10489263047,1/25/2019,1/25/2019,To a moderate extent,Somewhat familiar,No,Yes,3,3,Slightly Better,Somewhat Disapprove,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat more negative opinion,15201,No,Yes,Yes,25-34
10488600806,1/24/2019,1/24/2019,To a large extent,Extremely familiar,Yes,No,4,2,Significantly Better,Somewhat Approve,Not sure,Not sure,No,Yes,Yes,Yes,No change,15217,No,Yes,Yes,25-34
10488554583,1/24/2019,1/24/2019,To a large extent,Mostly familiar,Yes,Yes,4,2,Slightly Better,Somewhat Approve,Not sure,Yes,Not sure,Yes,Yes,Yes,Somewhat more negative opinion,15203,Yes,Yes,Yes,35-44
10488321930,1/24/2019,1/24/2019,To a large extent,Extremely familiar,Yes,Yes,5,2,Significantly Better,Approve,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,No change,15214,No,Yes,Yes,35-44
10488138716,1/24/2019,1/24/2019,To some extent,Somewhat familiar,Yes,Yes,3,1,Slightly Better,Somewhat Approve,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat more negative opinion,15219,No,Yes,Yes,25-34
10487901764,1/24/2019,1/24/2019,To some extent,Mostly familiar,Yes,No,5,3,Significantly Better,Approve,No,No,No,Yes,Yes,Yes,No change,15147,No,Yes,Yes,25-34
10487829040,1/24/2019,1/24/2019,To some extent,Somewhat familiar,Yes,Yes,4,4,Slightly Better,Approve,Not sure,Not sure,Yes,Not sure,Not sure,Yes,No change,15232,null,Yes,Yes,25-34
10487504042,1/24/2019,1/24/2019,To a moderate extent,Somewhat familiar,Yes,Yes,5,2,Significantly Better,Somewhat Approve,No,No,No,Yes,Yes,Yes,No change,15212,No,Yes,Yes,25-34
10487475507,1/24/2019,1/24/2019,To a large extent,Mostly familiar,Yes,Yes,4,2,Significantly Better,Approve,Not sure,Yes,Not sure,Yes,Yes,Yes,Somewhat more negative opinion,15222,No,Yes,Yes,25-34
10487136431,1/24/2019,1/24/2019,To some extent,Somewhat familiar,Yes,Yes,5,3,Slightly Better,Approve,Yes,Not sure,Not sure,Yes,Yes,Yes,No change,15217,No,Yes,Yes,35-44
10487069347,1/24/2019,1/24/2019,To a large extent,Somewhat familiar,Yes,Yes,4,2,Slightly Better,Somewhat Approve,Not sure,Not sure,Not sure,Yes,Yes,Yes,Somewhat more negative opinion,15203,Yes,Yes,Yes,55-64
10487067638,1/24/2019,1/24/2019,To a moderate extent,Mostly familiar,No,Yes,5,3,Slightly Better,Approve,Not sure,Not sure,Yes,Yes,Yes,Yes,No change,15206,No,Yes,Yes,18-24
10487039766,1/24/2019,1/24/2019,To a moderate extent,Mostly familiar,Yes,Yes,4,2,Slightly Better,Approve,No,No,Not sure,Yes,Yes,Yes,No change,15668,No,Yes,Yes,35-44
10486082170,1/23/2019,1/23/2019,To a moderate extent,Mostly familiar,Yes,No,3,4,No effect,Approve,No,Not sure,Yes,Yes,Yes,Yes,No change,15216,No,Yes,Yes,55-64
10485681155,1/23/2019,1/23/2019,To a large extent,Mostly familiar,Yes,No,5,3,Significantly Better,Approve,No,Not sure,No,Yes,Yes,Yes,No change,15217,Yes,Yes,Yes,45-54
10485519664,1/23/2019,1/23/2019,To a moderate extent,Somewhat familiar,Yes,No,4,3,Significantly Better,Approve,Not sure,Not sure,Yes,Yes,Yes,Yes,No change,15201,Yes,Yes,Yes,25-34
10485393249,1/23/2019,1/23/2019,To a moderate extent,Mostly familiar,Not sure,Not sure,1,3,Slightly Worse,Somewhat Disapprove,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat more negative opinion,15234,No,Yes,Yes,45-54
10484881206,1/22/2019,1/23/2019,To some extent,Somewhat familiar,Yes,Yes,2,3,No effect,Disapprove,Yes,Yes,Not sure,Yes,Yes,Yes,No change,15232,Yes,Yes,Yes,25-34
10484646467,1/23/2019,1/23/2019,To some extent,Not familiar at all,Yes,Yes,3,3,No effect,Neutral,Yes,Yes,Yes,Yes,Yes,Yes,Significantly more negative opinion,15237,Yes,Yes,Yes,45-54
10484294123,1/23/2019,1/23/2019,To a large extent,Extremely familiar,Yes,No,1,4,Significantly Worse,Disapprove,No,No,Yes,Yes,Yes,Yes,No change,15003,Yes,Yes,Yes,45-54
10484280845,1/23/2019,1/23/2019,To a moderate extent,Mostly familiar,Yes,Yes,4,3,Significantly Better,Approve,Not sure,No,No,Yes,Yes,Yes,No change,15224,Yes,No,Yes,35-44
10484250052,1/23/2019,1/23/2019,To a large extent,Mostly familiar,Yes,No,4,3,Significantly Better,Approve,Not sure,No,No,Yes,Yes,Yes,Somewhat more positive opinion,15217,Yes,Yes,Yes,25-34
10484184360,1/23/2019,1/23/2019,To some extent,Somewhat familiar,Yes,No,4,3,Significantly Better,Approve,No,Yes,Yes,Not sure,Yes,Yes,No change,15217,No,Yes,Yes,25-34
10484054172,1/23/2019,1/23/2019,To a large extent,Extremely familiar,No,Yes,5,3,Significantly Better,Approve,No,No,No,Yes,Yes,Yes,No change,15241,No,Yes,Yes,35-44
10483765912,1/23/2019,1/23/2019,To a large extent,Mostly familiar,Yes,Yes,4,2,Significantly Better,Neutral,Not sure,Yes,Yes,Yes,Yes,Not sure,No change,15216,Not sure,Yes,Yes,35-44
10483725190,1/23/2019,1/23/2019,To some extent,Somewhat familiar,Not sure,Not sure,4,4,Significantly Better,Approve,No,No,No,Yes,Yes,Yes,No change,15217,Yes,Yes,Yes,25-34
10483629518,1/22/2019,1/22/2019,To some extent,Not familiar at all,No,No,3,2,Slightly Better,Somewhat Approve,No,Yes,Yes,Yes,Yes,Yes,Somewhat more negative opinion,15003,Not sure,Yes,No,35-44
10483616676,1/22/2019,1/22/2019,To a large extent,Mostly familiar,Not sure,Not sure,2,1,Significantly Better,Neutral,Yes,Yes,Yes,Yes,Yes,Yes,No change,null,No,No,Yes,18-24
10483410356,1/22/2019,1/22/2019,To little extent,Not familiar at all,Yes,Yes,1,1,Slightly Worse,Disapprove,Yes,Yes,Yes,Not sure,Yes,Yes,Significantly more negative opinion,15206,No,Yes,Yes,25-34
