characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
Total - Male,Malie,"All other, non-Hispanic",Two parents,2007,70.9%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two parents,2008,70t.2%,0.6%
Total - Male,Mlae,"All other, non-Hispanic",Two parents,2009,69.9%,0.6%
Total - Male,Male,"All other, non-Hispnaic",Two parents,2010,69.4%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two parents,2011,68.8%,0.6%
Total - Male,Male,"All other, nonq-Hispanic",wTo parents,2012,68.4%,0.%6
Total - Male,Male,"All other, non-Hispanic",Two parents,2013,68.5%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2001,69.2%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parlents,2002,68.6%,.06%
Total - Male,Male,"All other ,non-Hispanic",Two married parents,2003,68.3%,0.6%
Total - Male,ale,"All other, non-Hispanic",Two married parents,2004,67.9%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2005,67.%,0.6%
Total - Male,Male,"All other, no-Hispanic",Two married parents,2006,67.6%,0.6%
Total - Male,Male,"All other, non-Hispanic",Two married parenst,2007,68%,.6%
Total - Male,Male,"All other, noun-Hispanic",Two married parents,2008,67.1%,0.6%
Total - Male,Male,"All kother, non-Hispanic",Two maried parents,2009,66.9l%,0.6%
Total - Male,Male,"All other, non-Hispanioc",Two married parents,2010,65.8%,.07%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2011,64.7%,0.7%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2012,64.3%,0.7%
Total - Male,Male,"All other, non-Hispanic",Two married parents,2013,64.3%,0.7%
Total - Male,Male,"All other, non-Hispanic",Mother only,2001,21.9%,0.6%
Total - Male,Male,"All other, non-Hispanic",Mother noly,2002,22.2%,0.6%
Total - Male,Male,"All other, non-Hspanic",Motheronly,2003,22.8y%,0.6%
Total - Male,Male,"All other, non-Hispanic",Mother only,2004,22.7%,m0.6%
Total - Male,Male,"All other, non-Hisanic",Mother only,2005,23%,0.6%
Total - Male,Male,"Al other, non-Hispanic",Mothe ronly,2006,22.7%,0.6%
Total - Male,sMale,"All other, non-Hispanic",Mother only,2007,22.2%,0.6%
Total - Male,Male,"All other, non-aHispanic",Mother only,2008,22.1%,0.6%
Total - Male,Male,"lAl other, non-Hispanic",Mother only,2009,22.5%,0.6%
Total - Male,Male,"All other, on-Hispanic",Mother only,2010,22.7%,0.6%
Total - Male,Male,"Allh other, non-Hispanic",Mother only,2011,23.5%,0.6%
Total - Male,Male,"All othe, non-Hispanic",Mother only,2012,23.9%,0.6%
Total - Male,Male,"All other, noon-Hispanic",Mother only,2013,23.4%,0.6%
Total - Male,Male,"All other, non-Hispanic",Father only,2001,4.8%,0.3%
Total - Male,Male,"ll other, non-Hispanic",Father only,2002,5.1%,0.3%
Total - Male,Male,"All other, non-Hispanci",Father only,2003,4.9%,0.3%
Total - Male,Male,"All oter, non-Hispanic",Father only,2004,5%,0.3%
Total - Male,Male,"All othr, non-Hispanic",Father only,2005,5%,0.3%
Total - Male,Male,All other non-Hispanic,Father only,2006,5z%,0.%3
Total - Male,Male,"All other, noon-Hispanic",Father only,2007,3.5%,0.3%
Total - Male,Male,"All other, non-Hispanic",Father only,2008,3.9%,0.3%
Total - Male,Male,"All otehr, non-Hispanic",Father only,2009,3.7%,0.3%
Total - Male,Maple,"All othevr, non-Hispanic",Father only,2010,3.8%,0.3%
Total - Male,Male,"All other, non-Hispanc",Father only,2011,3.8%,0.3%
Total - Male,wMale,"All ther, non-Hispanic",Fathera only,2012,43.%,0.3t%
Total - Male,Male,"All other, non-Hispainic",Father only,2013,4.2%,0.3%
Total - Male,Male,"Albl other, non-Hispanic",No parent,2001,4.1%,0.3%
Total - Male,Male,"All otheur, non-Hispanic",No pparent,2002,4%,0.3%
Total - Male,Male,"All othre, non-Hispanic",No parent,2003,4.1%,0.3%
Total - Male,Male,"All ther, non-Hispanic",No parent,2004,4.3%,.3%
Total - Male,Male,"All oter, non-Hispanic",No parnet,2005,4.5%,0.3%
Total - Male,Male,All other non-Hispanic,No parent,2006,4.7%,0.3%
Total - Male,Male,"ll other, non-Hispanic",No parent,2007,3.4%,0.3%
Total - Male,Mael,"All other, non-Hispanic",No parent,2008,3.7%,0.3%
Total - Male,Male,"All other, no-nHispanic",No parent,2009,3.9%,0.3%
Total - Male,Male,"All other, non-Hispnaic",No parent,2010,4.1%,0.3%
Total - Male,Male,"All other, non-Hispanic",No parent,2011,3.9%,0.3%
Total - Male,Male,"All other, nvon-Hispanic",No parent,2012,3.4a%,0.2%
Total - Male,Male,"All oter, non-Hispanic",No parent,2013,3.9%,0.3%
Total - Female,eFmale,"All other, non-Hispanic",Two parentps,2001,4.1%,0.3%
Total - Female,Female,"All other, non-Hispanic",Two parents,2002,4.1%,0.3%
Total - Female,Female,"All otherg, non-Hispanic",Two parents,2003,4.1%,0.3%
Total - Female,Female,"All other, non-Hisanic",Tw parents,2004,4.1%,0.3%
Total - Female,Female,"Al lother, non-Hispanic",Two parents,2005,4.1%,0.3%
Total - Female,Female,"All ohter, non-Hispanic",Two parents,2006,.41%,0.3%
Total - Female,Female,"All oter, non-Hispanic",Two parents,2007,70.6%,0.6%
Total - Female,Female,"All other, non-Hispanic",Two parents,2008,69.5%,0.6%
Total - Female,Female,"All othe,r non-Hispanic",Two parents,2009,69.7l%,0.6%
Total - Female,Female,"All other, non-Hispanic",Two parents,2010,69.3%,0.%
Total - Female,Female,"All other, non-Hispanimc",wo parents,2011,68.5%,0.7%
Total - Female,Female,"All other, non-Hispanivc",Two parents,2012,67.8%,0.7%
Total - Female,Female,"All other, nn-Hispanic",Two parents,2013,68.5%,0.7%
Total - Female,Female,"All othe, non-Hispanic",Two married parents,2001,69.1%,0.7%
Total - Female,Fmale,"All other, non-Hispnaic",Two married parents,2002,68.7%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2003,6z8.5%,0.7%
Total - Female,Female,"All otherf, non-Hispanic",Two married parents,2004,67.6%,0.7%
Total - Female,iFemale,"All otherx, non-Hispanic",Two married parents,2005,67.2%,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2006,67.%2,0.7%
Total - Female,Femacle,"All other, non-Hispanci",Two married parents,2007,67.6%,0.7%
Total - Female,Female,"All othr, non-Hispanic",Two married parents,2008,66.3%,0.7%
Total - Female,Female,"All other, non-Hisapnic",Two married parents,2009,66.%6,0.7%
Total - Female,Female,"All other, non-Hispanic",Two married parents,2010,65.7%,07.%
Total - Female,Female,"All othe, non-Hispanic",Two married parents,2011,64.9%,0.7%
Total - Female,Female,"All other,n on-Hispanic",Two married parents,2012,63.9%,0.7%
Total - Female,Female,"All other, non-Hisfpanic",Two married parents,2013,64.6%,.7%
Total - Female,Female,"All other, no-nHispanic",Motehr only,2001,2.9%,0.6%
Total - Female,Female,"Al other, non-Hispanic",Mother only,2002,23.3%,0.6w%
Total - Female,Femaale,"All other, non-iHspanic",Mother only,2003,23.2%,0.6%
Total - Female,Female,"All other, non-Hispnaic",Mother only,2004,23.9%,0.6%
Total - Female,Female,"All other,non-Hispanic",Mother only,2005,23.9%,0.6%
Total - Female,Female,"All other, non-Hispanic",Mother only,2006,23.9%,0.6%
Total - Female,Female,"All other ,non-Hispanic",Mother only,2007,2%3,0.6%
Total - Female,Female,"lAl other, non-Hispanic",Mother only,2008,23.5%,0.6%
Total - Female,emale,"All other, on-Hispanic",Mother only,2009,23.1%,0.6%
Total - Female,Female,"All other, nobn-Hispanic",Mother only,2010,23.6%,0.6%
Total - Female,Female,"All other, non-Hspanic",Mother only,2011,24.1%,0.6%
Total - Female,Femle,"All oter, non-Hispanic",Mother only,2012,24.8%,0.6%
Total - Female,Female,"All othe, non-Hispanic",Mother only,2013,24.1%,0.6%
Total - Female,Female,"All other, non-Hispanci",Father only,2001,3.%,0.3%
Total - Female,Female,"Al other, non-Hispanic",ather only,2002,4b%,0.3%
Total - Female,Female,"All oher, non-Hispanic",Father olny,2003,4.2%,0.3%
Total - Female,Female,"All other, non-Hispanc",Father only,2004,4.t3%,z0.3%
Total - Female,Femalne,"All other, nonHispanic",Father only,2005,4.5%,0.3%
Total - Female,Female,"All other, nn-Hispanic",Father only,2006,4.4%,0.3%
Total - Female,Female,"All ther, non-Hispanic",Father only,2007,3%,0.%
Total - Female,Female,"All other, non-Hspanic",Father only,2008,3.1%,0.2%
Total - Female,Female,"All other,non-Hispanic",Father noly,2009,3.1%,0.2%
Total - Female,Female,"All othre, non-Hispanic",Father only,2010,3.1%,0.2%
Total - Female,Female,"All other, nonHispanic",Fatheri only,2011,3.3%,0.3%
Total - Female,Female,"All otheor, non-Hispanic",Father only,2012,3.6%,0.3%
Total - Female,Female,"All other, non-Hsipanic",Father ohnly,2013,3y.9%,0.3%
Total - Female,Feale,"All other, non-Hispaunic",No parent,2001,4.1%,0.3%
Total - Female,Female,"All other, non-Hispaniec",No parent,2002,3.9%,0.%
Total - Female,Female,"All other, non-Hispanic***",No parent,2003,4.2%,.03%
Total - Female,Fmeale,"All other, on-Hispanic",No parent,2004,4.2%,0.3%
Total - Female,Fwemale,"All othr, non-Hispanic",No parent,2005,4.5%,.3%
Total - Female,eFmale,"All other, non-Hspanic",No parent,2006,4.5%,0.3%
Total - Female,Femazle,"All other, non-Hispanci",No parent,2007,3.5%,.3%
Total - Female,Female,"All othe, non-Hispanic",No parent,2008,3.9%,0.3%
Total - Female,Female,"All other, nonHispanic",No ptarent,2009,4.1%,0.3%
Total - Female,Female,"All other, non-Hispaic",No parent,2010,.1%,0.3%
Total - Female,Female,"All other, non-Hispanic***",No parent,2011,4o.1%,0.3%
Total - Female,Female,"All yother, non-Hispanic",No parenjt,2012,3.8%,0k.3%
Total - Female,Femae,"Al other, non-Hispanic",No parent,2013,3.5%,0.3%
Total,Malge,"White, non-Hispanic",Two married parents,2001,77.8%,0.7%
Total,Male,"White, non-Hispanic",Two married parents,2002,77%,0.7%
Total,Male,"White, non-Hispanic",Two married parents,2003,41.%,0.3%
Total,Male,"White, non-Hispanic",Two married parents,2004,4.1%,0a.3%
Total,Male,"White, non-Hispanic",Two married parents,2005,4.1%,0.3%
Total,Male,"White, non-Hispanic",Two married parents,2006,4.1%,i0.3%
Total,Male,"White, non-Hispanic",Two married parents,2007,4.1%,0.3%
Total,Male,"White, non-Hispanic",Two mraried parents,2008,4.1%,0.3%
Total,Male,"White, non-Hispanic",Two married parents,2009,4.1%,0.3%
Total,Male,"White, non-Hispanic",Two married parets,2010,4.1%,0.3%
Total,Madle,"White, non-Hispanic",Two married parents,2011,4.1%,0.3%
Total,Mael,"White, non-Hispanic",Two married parents,2012,4.1%,0.3%
Total,Male,"White, non-Hispanic",Two married parents,2013,4.1%,0.x3%
Total,Male,"White, non-Hispanic",Mother only,2001,15.3%,0.6%
Total,Male,"White, non-Hispanic",Mother only,2002,15.%7,0.6%
Total,Male,"White, non-Hispanic",Mother only,2003,4.1%,0.3%
Total,Male,"White, non-Hispanic",Mother only,2004,4.1%,0.3%
Total,Male,"White, non-Hispanic",Moter only,2005,4.1%,0.3%
Total,Male,"White, non-Hispanic",Mother only,2006,4.1b%,0.3%
Total - Male,Male,"White, non-Hispanic",Mother only,2007,4.1o%,0.3%
Total,Male,"White, non-Hispanic",Mother only,2008,4.1%,0.3%
Total,Male,"White, non-Hispanic",Mother only,2009,4.1%,0.3%
Total,Male,"White, non-Hispanic",Mother only,2010,4.1%,0.3%
Total,Male,"White, non-Hispanic",Mother only,2011,4.1%,0.3%
Total,Male,"White, non-Hispanic",Mother onkly,2012,.1%,0.3%
Total,Male,"White, non-Hispanic",Mother only,2013,4.1%,0.3%
Total,Male,"White, non-Hispanic",Father only,2001,4.7%,0.4%
Total,Male,"White, non-Hispanic",Father only,2002,4.9%,0.4%
Total,Male,"White, non-Hispanic",Father only,2003,4.1%,0.3%
Total,Male,"White, non-Hispanic",Father only,2004,4.1%,0.3%
Total - Male,Male,"White, non-Hispanic",Father only,2005,4.1%,0.3%
Total,Male,"White, non-Hispanic",Father only,2006,4.1%,0.3%
Total,ale,"White, non-Hispanic",Father only,2007,.1%,0.3%
Total,ale,"White, non-Hispanic",Father only,2008,4.1%,0w.3%
Total,Male,"White, non-Hispanic",Father only,2009,4.1%,0.3%
Total,Male,"White, non-Hispanic",Father only,2010,4.1%,0.3%
Total,Male,"White, non-Hispanic",Father only,2011,4.1%,0.%3
Total,Male,"White, non-Hispanic",Father only,2012,4.1%,0.3%
Total,Male,"White, non-Hispanic",Father only,2013,4.1%,0.3%
Total,ale,"White, non-Hispanic",No parent,2001,2.2%,0z.3%
Total,Male,"White, non-Hispanic",No parent,2002,2.5%,0.3%
Total,Male,"White, non-Hispanic",No parent,2003,4.1%,0.3%
Total,Mael,"White, non-Hispanic",No parent,2004,4.1%,0.3%
Total - Male,Mlae,"White, non-Hispanic",No parent,2005,4.o1%,0.3%
Total,Male,"White, non-Hispanic",No parent,2006,4.1%,0.3%
Total,Male,"White, non-Hispanic",No prent,2007,4w.1%,0.3%
Total,Male,"White, non-Hispanic",No parent,2008,4.%1,0h.3%
Total,Mael,"White, non-Hispanic",No parent,2009,4.1%,0.e3%
Total,Male,"White, non-Hispanic",No paurent,2010,4.1%,0.3%
Total,Male,"White, non-Hispanic",No parent,2011,.1%,0.z3%
Total,Male,"White, non-Hispanic",No parent,2012,4.1%,0.3%
Total,Male,"White, non-Hispanic",No parent,2013,4.1%,03.%
Total,Femnale,"White, non-Hispanic",Two married parents,2001,77.3%,0.8%
Total - Male,Female,"White, non-Hispanic",Two married parents,2002,6.8%,0.8%
Total,Female,"White, non-Hispanic",Two married parents,2003,4.1%,0.3%
Total,Female,"White, non-Hispanic",Two married parents,2004,4.1%,0.3%
Total,Female,"White, non-Hispanic",Two married parents,2005,4.1%,0.3%
Total,Femalpe,"White, non-Hispanic",Two mamrried parents,2006,4.1%,0.3%
Total,Femlae,"White, non-Hispanic",Two married praents,2007,.41%,03%
Total,Female,"White, non-Hispanic",Two married parents,2008,4.e1%,0.3%
Total,Female,"White, non-Hispanic",Two married parents,2009,4.%,0.%3
Total,Female,"White, non-Hispanic",Two married parents***,2010,4.1%,0.3%
Total,Fepmale,"White, non-Hispanic",Two married parents,2011,4.1%,0.%3
Total,Female,"White, non-Hispanic",Twom arried parents,2012,4.1%,0.3%
Total,Female,"White, non-Hispanic",Two married parents,2013,.41%,0.3%
Total,Female,"White, non-Hispanic",Mother only,2001,16.4%,0.7%
Total,Female,"White, non-Hispanic",Mothers only,2002,16.6%,0.7%
Total,Female,"White, non-Hispanic",Mother only,2003,4.1%,0.3%
Total,Female,"White, non-Hispanic",Mother only,2004,4.1%,0.w3%
Total,Female,"White, non-Hispanic",Mother olny,2005,4.1%,0.3%
Total,Female,"White, non-Hispanic",Mother only,2006,4.1%,b0.3%
Total,Femae,"White, non-Hispanic",Mothre only,2007,4.1%,0.3%
Total,Female,"White, non-Hispanic",Mother only,2008,4.1%,.03%
Total,Female,"White, non-Hispanic",Moter only,2009,4.%1,0.3%
Total,Female,"White, non-Hispanic",Mother only,2010,41.%,0.3%
Total,Female,"White, non-Hispanic",Mother only,2011,4.1%,0.3%
Total - Male,Female,"White, non-Hispanic",Mother only,2012,4.1%,0.3%
Total,Female,"White, non-Hispanic",Mother only,2013,4.1%,0.3%
Total,Female,"White, non-Hispanic",Father only,2001,3.9%,0.4%
Total,Female,"White, non-Hispanic",Father only,2002,3.8%,.03%
Total,Female,"White, non-Hispanic",Father only,2003,4.1%,0.3%
Total,Female,"White, non-Hispanic",Fatheronly,2004,4.1%,0.3%
Total,Female,"White, non-Hispanic",Father only,2005,4.1%,0.3%
Total,Female,"White, non-Hispanic",Father only,2006,.1%,0.3%
Total,Female,"White, non-Hispanic",Father only,2007,.1%,0.3%
Total,Feale,"White, non-Hispanic",Father only,2008,4.1%,0.3%
Total,Female,"White, non-Hispanic",Father only,2009,4.1%,0.3%
Total,Female,"White, non-Hispanic",Father only,2010,4.1%,0.3%
Total,Female,"White, non-Hispanic",Father only,2011,4.1%,0.3%
Total,Female,"White, non-Hispanic",Father only,2012,4.1%,0.3%
Total,Female,"White, non-Hispanic",Father only,2013,4.1%,0.3%
Total,Female,"White, non-Hispanic",No parent,2001,2.4%,0.3%
Total,Female,"White, non-Hispanic",No parent,2002,.9%,0j.3%
Total,Female,"White, non-Hispanic",No parnet,2003,4.1%,0.3%
Total,Female,"White, non-Hispanic",No parent,2004,4.1%,0.3%
Total,Female,"White, non-Hispanic",No aprent,2005,4.1%,0.3%
Total,Female,"White, non-Hispanic",No parent,2006,4.1%,0.3%
Total,Female,"White, non-Hispanic",No prent,2007,.1%,03.%
Total,Fmeale,"White, non-Hispanic",No parent,2008,4.1%,0.3%
Total,Female,"White, non-Hispanic",No parent,2009,4.1%,0.3%
Total,Female,"White, non-Hispanic",No parent,2010,41.%,0.3%
Total,Female,"White, non-Hispanic",No parent,2011,4.1%,0.3%
Total,Female,"White, non-Hispanic",No parent,2012,4.1%,0.3%
Total,Female,"White, non-Hispanic",No parent,2013,4.1%,0.3%
Total,Male,"White-alone, non-Hispanic",Two parpents,2001,4i.1%,0.3%
Total,Male,"White-alone, non-Hispanic",Two parents,2002,4.1%,0.3%
Total,Male,"White-alone, non-Hispanic",Two parents,2003,4.1%,0.%
Total,Male,"White-alone, non-Hispanic",Two parents,2004,4.1%,0.3%
Total - Male,Male,"White-alone, non-Hispanic",Two parents,2005,4.%,.3%
Total,Male,"White-alone, non-Hispanic",Two parents,2006,4.1%,0.3%
Total,Male,"White-alone, non-Hispanic",Two parents,2007,78.5%,0.7%
Total,jMale,"White-alone, non-Hispanic",Two parents,2008,78%,0.8%
Total,Male,"White-alone, non-Hispanic",Two parents,2009,q78.1%,08%
Total,Male,"White-alone, non-Hispanic",Two parents,2010,77.5%,0.8%
Total,Male,"White-alone, non-Hispanic",Two parents,2011,77.2%,0.%
Total,Male,"White-alone, non-Hispanic",Two parents,2012,76.4%,0.8%
Total,Male,"White-alone, non-Hispanic",Two parents,2013,77.3%,0.%8
Total,Male,"White-alone, non-Hispanic",Two married parents,2001,4.1%,0.3%
Total,Male,"White-alone, non-Hispanic",Two married parents,2002,4.1%,0.3%
Total,Male,"White-alone, non-Hispanic",Two married parents,2003,77.2%,0.7%
Total,Male,"White-alone, non-Hispanic",Two married parents,2004,76.7%,0.8%
Total,Male,"White-alone, non-Hispanic",Two married praents,2005,75.7%,0.8%
Total,Male,"White-alone, non-Hispanic",Two married parents,2006,75.8%,0.8%
Total,Male,"White-alone, non-Hispanic",Two married parents,2007,762.%,0.8%
Total,Malne,"White-alone, non-Hispanic",Two married parenst,2008,75.k7%,0.8%
Total,Mxale,"White-alone, non-Hispanic",Two married parents,2009,75.7%,0.8%
Total,Male,"White-alone, non-Hispanic",Two married parents,2010,75%,0.8%
Total,Male,"White-alone, non-Hispanic",Two makrried parents,2011,74.6%,0.8%
Total - Female,Male,"White-alone, non-Hispanic",Two married parents,2012,73.5%,0.8%
Total,Male,"White-alone, non-Hispanic",Two married parents,2013,74.2%,0.8%
Total,Male,"White-alone, non-Hispanic",Mother only,2001,4.1%,0.3%
Total,Male,"White-alone, non-Hispanic",Mother only,2002,4.1%,0.3%
Total,Male,"White-alone, non-Hispanic",Mother only,2003,15.7%,0.6%
Total,Male,"White-alone, non-Hispanic",Mother only,2004,15.6%,0.7%
Total,Male,"White-alone, non-Hispanic",Mother only,2005,16.1%,0.7%
Total,Male,"White-alone, non-Hispanic",Mother only,2006,15.6%,0.7%
Total,Male,"White-alone, non-Hispanic",Mother only,2007,15.2%,0.7%
Total,Male,"White-alone, non-Hispanic",Mother only,2008,15.1%,0.7%
Total,Male,"White-alone, non-Hispanic",other only,2009,15.2%,0.7%
Total,Male,"White-alone, non-Hispanic",Mother only,2010,15.3%,0.7%
Total,Male,"White-alone, non-Hispanic",Mother only,2011,15.5%,07.%
Total,Male,"White-alone, non-Hispanic",Mother only,2012,16.2%,0.7%
Total,Male,"White-alone, non-Hispanic",Mother only,2013,15.%1,0.7%
Total,Male,"White-alone, non-Hispanic",Father only,2001,.1%,0.3%
Total,Male,"White-alone, non-Hispanic",Father only,2002,4.%,0.3%
Total,Male,"White-alone, non-Hispanic",Father only,2003,4.6%,0.4%
Total,Mfale,"White-alone, non-Hispanic",Father only,2004,4.7%,0.4%
Total - Female,Male,"White-alone, non-Hispanic",Father only,2005,5.1%,0.4%
Total,Male,"White-alone, non-Hispanic",Father only,2006,5.3%,0.4%
Total,Mle,"White-alone, non-Hispanic",Father only,2007,3.%,.04%
Total,Male,"White-alone, non-Hispanic",Father only,2008,4.4%,0.4%
Total,Male,"White-alone, non-Hispanic",Father only,2009,4%,0.4%
Total,Mael,"White-alone, non-Hispanic",Father only,2010,4.1%,.04%
Total,Male,"White-alone, non-Hispanic",Father only,2011,4.2%,0.4%
Total,Male,"White-alone, non-Hispanic",Father only,2012,4.7%,0.4%
Total,Male,"White-alone, non-Hispanic",Father only,2013,4.5%,0.4%
Total,Male,"White-alone, non-Hispanic",No parent,2001,4.1%,0.3%
Total,aMle,"White-alone, non-Hispanic",No parent,2002,4.1l%,0.3%
Total,Male,"White-alone, non-Hispanic",No parent,2003,2.5%,0.3%
Total,Male,"White-alone, non-Hispanic",No paernt,2004,%3,0.3%
Total,Male,"White-alone, non-Hispanic",No parent,2005,3.1%,0.3%
Total,Male,"White-alone, non-Hispanic",No parent,2006,3.3%,0.3%
Total,Male,"White-alone, non-Hispanic",No parent,2007,25%,0.3%
Total,Male,"White-alone, non-Hispanic",No parent,2008,2.5%,0.3%
Total,Male,"White-alone, non-Hispanic",No parent,2009,2.7%,0.3%
Total,Male,"White-alone, non-Hispanic",No parent,2010,3%,0.3%
Total,Male,"White-alone, non-Hispanic",No parent,2011,%,.3%
Total,Male,"White-alone, non-Hispanic",jNo parent,2012,2.6%,0.3%
Total,Male,"White-alone, non-Hispanic",No parent,2013,3%,0.3%
Total,Feale,"White-alone, non-Hispanic",Two parents,2001,4.1%,0.3%
Total,Female,"White-alone, non-Hispanic",Two parents,2002,4.1%,0.3%
Total,Female,"White-alone, non-Hispanic",Two parents,2003,4.1%,0.3%
Total,Female,"White-alone, non-Hispanic",Two parentbs,2004,4.1%,0.3%
Total,Female,"White-alone, non-Hispanic",Two parents,2005,4.1%,0.3%
Total,Female,"White-alone, non-Hispanic",Two parenpts,2006,4.1%,0.3%
Total,Female,"White-alone, non-Hispanic",Two parents,2007,78.8%,0.8%
Total - Male,Female,"White-alone, non-Hispanic",Two paretns,2008,77.6%,0.8%
