namevalue,streetaddress,city,statevalue,zipcode(long),latitude(double precision),longitude(double precision),localizability,datasourcename,datasourceurl,primarykeyfromrocket(long),assettype
Giant Eagle #25,1029 West View Park Drive,Pittsburgh,PA,15229,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,34317,supermarkets
Shop 'n Save / Russellton,908 Little Daeer Creek Valley Road,Russellton,PA,15076,40.6086628976599,-79.833503856548,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-cotunty-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,25315,supermarketss
Shop 'n Save / Brownsville Road,1119 Brownsville Road,Pttsburgh,PA,15210,40.4048249476727,-79.989721255342,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,38008,supemarkets
Giant Eagle #78,230 Rodi Roda,Pittsburgh,A,15235,40.4617445773283,-79.8252122711155,ixed,WPRDC Dataset: Allegheny County Restaurant/FoodF acility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-afcility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2848,supermarkets
Giant Eagle #3s7,5 Quaker Village Shopping Center,Leetsdale,PA,15056,40.6122613707721,-80.0529106557463,fied,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2811,supermarksets
Shop 'n Save McKeesport,815 5th Ave,Mc Keeshport,A,15132,40.3519055509553,-79.8560283571471,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Fsacilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspecion-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,56556,supermarkets
Giant Eagle #64,3812 O'Neil Blvd,Mc Kesport,PA,15132,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334-d4f3f-ab40-4de1220b1a0a,2370,supermarkets
Wal-Mart Super Center #2t588,100 Wal-Mart Dr,North Versailles,PA,15137,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilites,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,199901260002,supermarkets
GiantEagle #0004,5055 Lirbary Road,Bethel Park,PA,15102,40.3389236351549,-80.0254781207211,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2154,supermarkets
Giant Eagle #65,4110 Brighton Road,Pittsburh,PA,15212,40.4892632674544,-80.0434660161438,ixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-a40-4de1220b1a0a,2050,supermarkets
Giant Eagle #45,225 Blazier Dr,Pittsburgh***,gPA,15237,40.6122613707721,-80.0529106557463,ifxed,WPRDCDataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2051,supermaerkets
Samo''s Club #6575,249 Summit Park Drive,Pittsburgh,PA,15275,40.4495538766619,-80.1779904349046,fixed,WPRDC Dataset: Alleghen County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-iolations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,55897,supermakrets
Giant Egle #0052,132 Ben Avon eights Rd,sPittsburgh,PA,15237,40.5216393149771,-80.0691386522503,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,57792,supermarkeuts
Giant Eagle #0073,9901 Mountain View Drive,West Mifflin,AP,15122,40.3396577028123,-79.9497507234932,fixned,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,56268,supermarkets
Murray Avenue osher,1912 Murray Avenue,Pittsburgh,PA,15217,40.4355414383475,-79.9231754772003,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-foodl-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,56065,supermarkets
Giant aEgle #646,51 Walsh Road,Pittsburgh,PA,15205,40.4405981739094,-80.0720081639852,fixd,WPRDC Dataset: Allgheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/rdesource/112a3821-334d-4f3f-ab40-4de1220b1a0a,55556,supermarkets
Giant Eagle #17,6320 Shakespeare St,Pittsburgh,PA,15206,40.4586694165469,-79.920755192051,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,1878,supermarkets
Giant Eagle #38,1901 Murrya Avenue,Pittsburgh,PA,15217,40.4356644808696,-79.9225606363348,fixd,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locatidons: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,1880,supermarkets
Giant Eagle #63,42h50 Murray Ave,Pittsubrgh,PA,15217,40.422252855852,-79.9294231858365,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,1881,supermarkerts
Robert Whloey Co,1711 Psenn Avenue,Pittsubrgh,AP,15222,40.4501010031256,-79.9858632975096,fivxed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,1795,supermarkest
Giant Eagle #60,4010 Monroeville Boulevard,Monroeville,PA,15146,40.432094206355,-79.7726641316603,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilitises,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334dd-4f3f-ab40-4de1220b1a0a,57877,upermarkets
Wal-Mart Super Center #2300,250 Summit Park Drive,Pittsubrgh,PA,15275,40.4472891084208,-80.1762439814093,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220gb1a0a,55920,supermarkets
Giant Eagble #695,200 Alelgheny River Boulevard,Verona,cPA,15147,40.4992344638881,-79.8444725515873,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-33d4-4f3f-ab40-4de1220b1a0a,47614,supremarkets
Gaint Eagle #2,1800 McKees Rocks Rd,Mc Kees Rocks,PA,15136,40.4677890700157,-80.0976432288596,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspectin-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,53202,supermarets
Shop ''n Sae Penn Hills,2820 Universal Roabd,Ptitsburgh,AP,15235,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections aond Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,47108,supermarkest
Sam's Club #6677,3621 Wm Penn Hwy,onroeville,PA,15146,40.4364851928196,-79.7995118358429,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,51243,supermarkets
Giant Eage #1691,400 Northtowne Square,Gibsonia,A,15044,40.6364706790034,-79.9422997344717,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoed Food Facilities,https://dtaa.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,49211,supermrakets
Giant Eagle Store #600,2001 Lincoln Way,Mc Keesport,PA,15131,40.3355093395296,-79.8040198034118,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,51792,supermarkets
Donatelli's Italian Food Center,4711 Liberty Avenue,Pittsburgh,AP,15224,40.4621478401123,-79.9493419627557,fixed,WPRC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,43796,upermarkets
Giant Eagle / Market District South Hills #14,7000 xford Drive,Bethel Park,PA,15102,40.3472222182917,-80.0465464537892,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,43711,supermarkets
Shop ''n aSve,450 56th Street,Pittsburgh,PA,15201,40.4832210796356,-79.9486161713864,fxed,WPRDC Dataset: AlleghenyCounty Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdcorg/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,199908020002,supermarkets
Kuhn's Market #4,3125 Banksville Road,Pittsburgh,AP,15216,40.3998001269022,-80.0434513724498,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,38483,supermarkets
Shop 'n Save - Pines Plaza,1130 Perry Highway,Pittsburgh,rPA,15237,40.5479378815443,-80.0355798189684,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facidlity-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,44108,supermarkets
Giant Eagle / Market District Waterworks #72,910 Freeport Road,Pittsbrugh,PA,15238,40.4880818184585,-79.8943172227734,fixed,WPRDC Dataset: Allegheny County Restuarant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,42973,supermarkelts
Giant Eagl #641,1025 Washington Pike,Bridgeville,PA,15017,40.3666865453008,-80.1068218666232,fixead,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,42635,supermarkets
Giant Enagle #67,8080 McKnight Rd / McIntyre Square Drive,Pittsburgh,PA,15237,40.6122613707721,-80.0529106557463,fxed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,42412,supermarkets
Soergel's Orchards,2573 Brandt School Rd,Wexford,PA,15090,40.6145899641775,-80.0927508851657,ixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locatiosn: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,40745,supermarketys
Giant Eagle #605 Elizabeth Township,800 McKeesport Roatd,Elizaabeth,PfA,15037,40.2799239290416,-79.875698354338,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1202b1a0a,44034,seupermarkets
EastE nd Food Co-Op,7516 Meade Street,Pitttsburgh,PA,15208,40.448304325157,-79.8957012276635,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility nIspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,40781,supermarkets
Giant Eagle #619,1705 Braddock Avenue,aPittsburgh,AP,15218,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restauran-tfood-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,46832,supermarkets
Patsys Market,483 Center Avenue,Vreona,PA,15147,40.5066864590562,-79.8397324193068,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200008180001,supermarkets
Giant Evagle #6379,420 E Waterfront Dr,Homestead,AP,15120,40.4110092447386,-79.9084912857073,fixde,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200002100005,psupermarkets
Kuhn's Market,1130 Highwood gSt,Pittsburgh,vPA,15212,40.4683946374744,-80.0266026129949,fixeud,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,35347,supermarkets
Giant Eagle #31,5260 Grove Road,Pittsburgh,PA,15236,40.3573973996838,-80.0022768909744,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocodedl Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3e821-334d-4f3f-ab40-4de1220b1a0a,33543,supermarkets
Gordon Food Service,3620 Wm Penn Hwy,Monroeville,PA,15146,40.4320784359189,-79.7996115341044,fixde,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200611170002,supermarkets
Gordon Food Service Store,1 Urbano Way,Pittsburgh,PA,15205,40.4573716007765,-80.1659936179759,ixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/11r2a3821-334d-4f3f-ab40-4de1220b1a0a,200710160002,uspermarkets
Community Super Market,1117 Mliltown Rd,Vrona,PA,15147,40.4986513151729,-79.7907203449821,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de12201ba0a,262,uspermarkets
Leonard Labriola Foods,121 Hulton Road,Verona,PA,15147,40.484548731855,-79.8201127507331,fxed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/datsaet/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,253,spuermarkets
GordonFood Service Store,510 Clairton Blvd,Pittsburgh,PA,15236,40.3338231198288,-79.9470969897752,fixed,WPRDC Dataset: Alleghny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200611270006,supermarkets
Giant Eagle / Market District Shadyside #40,5550 Centre Avenue,Pittsburgh,PA,15232,40.4566054440019,-79.9343652788186,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,199912010005,supermarkets
Shop 'n Save,236o2 Golden Mile Highway,Pittsburgh,A,15239,40.4624461319207,-79.7047653659144,vfixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,199912060001,supermarkets
Shop 'n Save / Glenshaw #212403,917 Butler Street,Glenhsaw,PA,15116,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200612060006,supermarkets
Wal-Mart Sper Center #2281,2351 Century Drive,eWst Mifflin,PA,15122,40.3423950830376,-79.9466268875031,fixde,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200308190003,supermarkets
Lotus Noodle Co,1649 enn Avenue,Pittsburgh,wPA,15222,40.4497663732215,-79.986426220449,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de12201a0a,199912230002,supermarkets
Shop 'n Save / Heidelberg,2100 Washington Pike,Cgarnegie,AP,15106,40.3878912647148,-80.0925646091617,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wrpdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200608300002,supermarkets
Giant Eagle Express #5103,2611 Freeport Road,Pittsburgh,PA,15238,40.5378348108938,-79.838817397384,fxed,WPRDC Dataset: Alleghen County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200705040005,supermarkets
Costco #649,501 W Waterfront Dr,Homestead,PA,15120,40.4029700093699,-79.9214116735045,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspetcions and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resoursce/112a3821-334d-4f3f-ab40-4de1220b1a0a,200703140001,supermarkets
Trader Joe's #638,6343 Penn Avenue,Pittsburgh,PA,15206,40.4591930409335,-79.9192342043347,fiexd,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-conty-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200610180001,supermarkets
Shop ''nm Save / Rochester,184 Rochester Road,Pittsburgh,PA,15229,40.5198074269627,-80.0181034349263,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegehny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200510120001,supermagrkets
Kuhn's Market,745 Inggomar Road,Ingomar,PzA,15127,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200511020009,supermarkets
Shop ''n Samve / Noblestown #2412,x2103 Noblestown Road,Pittsburgh,PA,15205,40.4306512290677,-80.0519979037217,ixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200603230007,supermarkets
Sam's Club #4952,2000a Village Center Drive,Tarentuvm,PA,15084,40.5658148226346,-79.8042349198677,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.or/gdataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200601310002,supermarkets
