131.namevalue,Shop 'n Save #x0212100,Shop 'n Save #0212100
71.datasourceurl,https://data.wprdc.org/dataset/allegehny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
56.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocodedl Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
50.statevalue,PfA,PA
37.statevalue,AP,PA
51.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility nIspections and Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
26.statevalue,AP,PA
32.assettype,supermarkest,supermarkets
8.statevalue,A,PA
112.assettype,supermarkuets,supermarkets
117.streetaddress,1603 Arlington Avenue,1630 Arlington Avenue
124.statevalue,A,PA
4.namevalue,Giant Eagle #6n1,Giant Eagle #61
55.streetaddress,1130 Highwood gSt,1130 Highwood St
52.statevalue,AP,PA
68.datasourcename,WPRDC Dataset: Alleghen County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
99.localizability,ixed,fixed
91.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/rsource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
74.datasourceurl,https://data.wprdc.or/gdataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
124.assettype,supermarkest,supermarkets
133.localizability,fiqxed,fixed
41.statevalue,AP,PA
66.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de12201a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
102.localizability,fiexd,fixed
79.namevalue,Sa'ms Club #6679,Sam's Club #6679
30.streetaddress,1901 Murrya Avenue,1901 Murray Avenue
24.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-iolations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
7.streetaddress,125 Vireginia Avenue,125 Virginia Avenue
5.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locationsk: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
107.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspectoin-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
113.streetaddress,700 University  Boulevard,7500 University  Boulevard
124.namevalue,Gyurung Brothers ,Gurung Brothers 
63.localizability,vfixed,fixed
56.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3e821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
100.statevalue,AP,PA
58.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/11r2a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
38.city,onroeville,Monroeville
68.localizability,fxed,fixed
20.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilites,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
73.namevalue,Shop 'n Samve / Noblestown #2412,Shop 'n Save / Noblestown #2412
39.assettype,supermrakets,supermarkets
3.city,Pitxtsburgh,Pittsburgh
30.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locatidons: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
46.datasourcename,WPRDC Dataset: Allegheny County Restuarant/Food Facility Inspections and Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
84.datasourcename,WPRDC Dataset: Alleghen yCounty Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
110.streetaddress,9020 CovenantAvenue,9020 Covenant Avenue
43.datasourcename,WPRDC Dataset: AlleghenyCounty Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
70.localizability,fiexd,fixed
123.city,Pittsbugh,Pittsburgh
35.assettype,supremarkets,supermarkets
77.streetaddress,4015 Freepot Road,4015 Freeport Road
24.namevalue,Samo's Club #6575,Sam's Club #6575
66.statevalue,wPA,PA
47.localizability,fixead,fixed
63.statevalue,A,PA
95.streetaddress,155 Towne Center Drive,155 Towne Center  Drive
5.statevalue,A,PA
133.streetaddress,1576 Perry  Highway,10576 Perry  Highway
92.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspetcions and Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
41.assettype,upermarkets,supermarkets
59.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de12201ba0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
90.localizability,fixeqd,fixed
130.statevalue,A,PA
127.streetaddress,725 Ros sSt,725 Ross St
67.statevalue,AP,PA
128.city,Pittsburh,Pittsburgh
49.assettype,supermarketys,supermarkets
131.assettype,supermarrkets,supermarkets
35.namevalue,Giant Eagble #695,Giant Eagle #695
32.streetaddress,1711 Psenn Avenue,1711 Penn Avenue
8.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Loctions: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
75.namevalue,Shop 'n Save #0212404 Ipmerial,Shop 'n Save #0212404 Imperial
18.city,Mc Keeshport,Mc Keesport
81.city,Pitstburgh,Pittsburgh
34.city,Pittsubrgh,Pittsburgh
83.statevalue,A,PA
100.city,M cKeesport,Mc Keesport
74.city,Tarentuvm,Tarentum
43.datasourceurl,https://data.wprdcorg/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
107.namevalue,Shop NSave#3102,Shop N Save#3102
95.statevalue,A,PA
77.localizability,fiexd,fixed
34.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220gb1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
54.statevalue,AP,PA
60.datasourceurl,https://data.wprdc.org/datsaet/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
10.assettype,supermarmkets,supermarkets
41.datasourcename,WPRC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
18.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Fsacilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
122.streetaddress,665 Clairton  Boulevadr,665 Clairton  Boulevard
53.city,Vreona,Verona
108.namevalue,Giant Eagle q#69,Giant Eagle #69
3.statevalue,AP,PA
129.statevalue,A,PA
61.namevalue,GordonFood Service Store ,Gordon Food Service Store 
64.city,Glenhsaw,Glenshaw
92.city,uDquesne,Duquesne
59.assettype,uspermarkets,supermarkets
51.city,Pitttsburgh,Pittsburgh
59.city,Vrona,Verona
11.city,Coeraopolis,Coraopolis
129.assettype,supremarkets,supermarkets
91.namevalue,Giant Eagle 068,Giant Eagle #068
4.localizability,fxied,fixed
86.streetaddress,2381 Mountain View  Driev,2381 Mountain View  Drive
16.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-afcility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
91.assettype,spuermarkets,supermarkets
99.assettype,suermarkets,supermarkets
17.namevalue,Giant Eagle #3s7,Giant Eagle #37
126.namevalue,oLeonard Labriola's Italian Market,Leonard Labriola's Italian Market
54.localizability,fixde,fixed
16.statevalue,A,PA
72.statevalue,PzA,PA
48.localizability,fxed,fixed
80.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a38213-34d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
23.assettype,supermaerkets,supermarkets
66.streetaddress,1649 enn Avenue,1649 Penn Avenue
117.namevalue,Dollra Tree #5553,Dollar Tree #5553
71.namevalue,Shop 'nm Save / Rochester,Shop 'n Save / Rochester
116.statevalue,mPA,PA
28.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/rdesource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
46.assettype,supermarkelts,supermarkets
100.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1ad0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
73.streetaddress,x2103 Noblestown  Road,2103 Noblestown  Road
23.city,Pittsburgh***,Pittsburgh
10.statevalue,fPA,PA
99.city,Wexfodr,Wexford
1.statevalue,sPA,PA
50.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1202b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
21.streetaddress,5055 Lirbary  Road,5055 Library  Road
50.city,Elizaabeth,Elizabeth
93.city,Pttsburgh,Pittsburgh
24.assettype,supermakrets,supermarkets
18.statevalue,A,PA
124.localizability,fxied,fixed
110.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
110.city,Pijttsburgh,Pittsburgh
32.city,Pittsubrgh,Pittsburgh
22.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-a40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
111.streetaddress,4605 Centr eAvenue,4605 Centre Avenue
15.city,Pttsburgh,Pittsburgh
123.streetaddress,600 Towne Squarye Way,600 Towne Square Way
16.datasourcename,WPRDC Dataset: Allegheny County Restaurant/FoodF acility Inspections and Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
55.statevalue,vPA,PA
39.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoed Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
85.assettype,supermarekts,supermarkets
49.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locatiosn: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
104.city,Pittnsburgh,Pittsburgh
37.assettype,supermarkest,supermarkets
30.localizability,fixd,fixed
93.streetaddress,6231 Penn Aveneu,6231 Penn Avenue
46.city,Pittsbrugh,Pittsburgh
27.namevalue,Murray Avenue osher,Murray Avenue Kosher
106.localizability,fipxed,fixed
111.statevalue,A,PA
26.localizability,fixned,fixed
14.datasourceurl,https://data.wprdc.org/dataset/allegheny-cotunty-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
33.assettype,upermarkets,supermarkets
69.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resoursce/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
75.localizability,fixeud,fixed
118.namevalue,Shop 'n Save - Wilkins Tpw,Shop 'n Save - Wilkins Twp
101.city,North Versialles,North Versailles
79.datasourceurl,http://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
98.datasourceurl,https://data.wprdc.org/dataset/awllegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
49.localizability,ixed,fixed
71.assettype,supermagrkets,supermarkets
128.assettype,supremarkets,supermarkets
115.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locationsc: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
83.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Loactions: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
112.city,Allison Parak,Allison Park
105.city,Pittbsurgh,Pittsburgh
94.statevalue,A,PA
84.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/12a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
52.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restauran-tfood-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
96.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inpections and Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
31.assettype,supermarkerts,supermarkets
3.namevalue,hop 'n Save / Shaler,Shop 'n Save / Shaler
59.streetaddress,1117 Mliltown Rd,1117 Milltown Rd
89.statevalue,uPA,PA
25.city,sPittsburgh,Pittsburgh
125.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspecions and Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
14.assettype,supermarketss,supermarkets
126.city,Monroevilel,Monroeville
9.assettype,sueprmarkets,supermarkets
83.streetaddress,289 Mt dNebo Pointe Drive,289 Mt Nebo Pointe Drive
133.assettype,supemrarkets,supermarkets
60.assettype,spuermarkets,supermarkets
81.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4ff3-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
21.namevalue,GiantEagle #0004,Giant Eagle #0004
36.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspectin-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
57.localizability,fixde,fixed
104.localizability,ixed,fixed
14.streetaddress,908 Little Daeer Creek Valley Road,908 Little Deer Creek Valley Road
58.localizability,ixed,fixed
102.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inwspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
76.assettype,upermarkets,supermarkets
36.namevalue,Gaint Eagle #2,Giant Eagle #2
50.streetaddress,800 McKeesport  Roatd,800 McKeesport  Road
35.statevalue,cPA,PA
70.datasourceurl,https://data.wprdc.org/dataset/allegheny-conty-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
127.namevalue,Save A Lo / Wilkinsburg,Save A Lot / Wilkinsburg
33.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334dd-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
91.datasourcename,WPRDC Dataset: Allegheny County Restauriant/Food Facility Inspections and Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
94.city,Pittsbuirgh,Pittsburgh
103.city,est Mifflin,West Mifflin
116.city,Pitgtsburgh,Pittsburgh
16.localizability,ixed,fixed
96.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-faciilty-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
106.datasourceurl,https://data.wprdc.org/dataset/alegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
16.streetaddress,230 Rodi Roda,230 Rodi Road
123.namevalue,lGiant Eagle #0093,Giant Eagle #0093
94.assettype,asupermarkets,supermarkets
23.localizability,ifxed,fixed
86.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilitioes,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
72.streetaddress,745 Inggomar  Road,745 Ingomar  Road
60.localizability,fxed,fixed
93.statevalue,PhA,PA
119.streetaddress,5001m Library Road,5001 Library Road
76.localizability,fixewd,fixed
3.assettype,supermarkest,supermarkets
12.namevalue,Giant agle #77,Giant Eagle #77
32.namevalue,Robert Whloey Co,Robert Wholey Co
122.namevalue,Fresh Thym Farmer's Market #452,Fresh Thyme Farmer's Market #452
100.localizability,fxied,fixed
45.statevalue,rPA,PA
79.statevalue,AP,PA
10.namevalue,Giant qEagle #74,Giant Eagle #74
86.namevalue,Shop 'n Save / Centur ySquare,Shop 'n Save / Century Square
22.localizability,ixed,fixed
88.localizability,fjixed,fixed
54.assettype,psupermarkets,supermarkets
130.localizability,fpixed,fixed
37.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections aond Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
58.assettype,uspermarkets,supermarkets
82.datasourcename,WPDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
99.datasourcename,WPRDC Dataset: Allegheny Count Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
118.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-fxood-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
116.assettype,upermarkets,supermarkets
55.localizability,fixeud,fixed
109.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility nIspections and Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
1.streetaddress,661 oLincoln Ave,661 Lincoln Ave
89.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de12201a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
25.streetaddress,132 Ben Avon eights Rd,132 Ben Avon Heights Rd
81.namevalue,Knuhn's Market,Kuhn's Market
89.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections nd Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
133.datasourcename,WPRDC Dataset: Alleghey County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
123.assettype,supermarkuets,supermarkets
