20.global_id,1bde42a0-d434-4c81-9595-9ccg17892200c,1bde42a0-d434-4c81-9595-9cc17892200c
47.ovlpovlp,12N-,12-N
318.ovlpovlp,44W-,44-W
106.ovlpovlpstatus,PmRI,PRI
220.ovlpovlpstatus,RPI,PRI
56.ovlpovlp,184W-,184-W
301.global_id,37ea82ed-32ac-4b1ud-a6f2-bd8d489f6a11,37ea82ed-32ac-4b1d-a6f2-bd8d489f6a11
19.ovlpovlpstatus,RI,PRI
343.global_id,e3c24999-88a-4699-918e-bc1882742f13,e3c24999-88fa-4699-918e-bc1882742f13
94.global_id,ea4633d-3bca-4663-b09d-76fa961f0c76,ea46383d-3bca-4663-b09d-76fa961f0c76
116.global_id,168bc97d-5eed-4b0ba-323-4063eb461979,168bc97d-5eed-4b0b-a323-4063eb461979
18.global_id,38d1d17f-bf0-4807-9494-e8bb3f6fa25e,38d1d17f-b1f0-4807-9494-e8bb3f6fa25e
267.ovlpovlp,2E,2-E
74.ovlpovlp,15w20260,1520260
215.ovlpovlpstatus,PI,PRI
177.global_id,f2c475d4-a393-49bb-b5af-997f8f39a8a7,f2c475d4-a393-49bb-b5af-997f8f93a8a7
222.townname,AON,AVON
233.global_id,6a7bf7a5-m93a4-4d93-824b-3df4007c492a,6a7bf7a5-93a4-4d93-824b-3df4007c492a
67.routeid,6W-,6-W
321.ovlpovlp,u184-E,184-E
337.global_id,cd073b6f-5796-422c-a9b3-047ddf9efe55,cd073b6f-5796-422c-a9b3-047ddf9ef5e5
210.ovlpovlp,71N-,71-N
213.ovlpovlpstatus,PIR,PRI
270.ovlpovlpstatus,PIR,PRI
254.townname,jREDDING,REDDING
133.global_id,8af5123b-ca6b-43d7-b4f5-06fe7991618c***,8af5123b-ca6b-43d7-b4f5-06fe7991618c
7.ovlpovlp,4-E,44-E
159.ovlpovlpstatus,PI,PRI
368.ovlpovlp,84E,84-E
267.routeid,-E,2-E
263.ovlpovlp,1-S,15-S
45.townname,WESTPOTR,WESTPORT
123.ovlpovlpstatus,PI,PRI
89.ovlpovlpstatus,PIR,PRI
81.routeid,2p-E,2-E
240.global_id,011cf1cd-3ceb-4e2e-8652-0wed3c74c6600,011cf1cd-3ceb-4e2e-8652-0ed3c74c6600
192.routeid,4-E,44-E
9.townname,NE WHAVEN,NEW HAVEN
41.ovlpovlpstatus,PRrI,PRI
193.routeid,44-E***,44-E
310.ovlpovlpstatus,PRmI,PRI
219.ovlpovlp,-W,2-W
320.townname,NORH STONINGTON,NORTH STONINGTON
301.townname,STAFFROD,STAFFORD
247.global_id,eb5907c2-c73e-46c2-a842-cef945288d9,eb5907c2-c73e-46c2-a842-cef9e45288d9
335.townname,OLD SAYBROK,OLD SAYBROOK
99.global_id,a92f6959-7192-aa2-8020-9bc09a382304,a92f6959-7192-4aa2-8020-9bc09a382304
184.global_id,f2fw917c3-d722-4ed2-a567-714b8aa6215f,f2f917c3-d722-4ed2-a567-714b8aa6215f
29.townname,MIDDLETOWN***,MIDDLETOWN
305.ovlpovlpstatus,PRpI,PRI
32.global_id,836afff1-7c8b-4071x-b9f1-76e5c5b6b432,836afff1-7c8b-4071-b9f1-76e5c5b6b432
185.townname,DbANBURY,DANBURY
7.townname,NORFOsLK,NORFOLK
133.ovlpovlpstatus,PIR,PRI
308.ovlpovlp,2-N,12-N
321.routeid,-W,2-W
114.ovlpovlpstatus,PIR,PRI
151.ovlpovlpstatus,xPRI,PRI
296.ovlpovlpstatus,vPRI,PRI
311.routeid,15-bS,15-S
181.ovlpovlpstatus,RI,PRI
41.global_id,3998f79-91f1-452f-bf2e-a7bef7180c33,3998f079-91f1-452f-bf2e-a7bef7180c33
177.routeid,49N,49-N
168.global_id,771ce20d-465b-447ce-bbda-eda4d856e39c,771ce20d-465b-447c-bbda-eda4d856e39c
347.global_id,380fba2e-09f-841c1-9004-a6725e02dd39,380fba2e-09f8-41c1-9004-a6725e02dd39
346.routeid,5N-,5-N
91.routeid,7z14-N,714-N
266.townname,NORiTH STONINGTON,NORTH STONINGTON
372.ovlpovlpstatus,ePRI,PRI
175.ovlpovlp,4-W,44-W
194.global_id,94cab939-b289-u49d6-893e-d10553110c17,94cab939-b289-49d6-893e-d10553110c17
78.ovlpovlpstatus,PpRI,PRI
102.global_id,1901c114-94fc-418f-8823-83687a1967f,1901c114-94fc-418f-8823-83687a12967f
247.townname,EW MILFORD,NEW MILFORD
333.ovlpovlp,16t-E,16-E
300.ovlpovlp,y14-E,14-E
299.townname,CANTNO,CANTON
349.ovlpovlp,4-4E,44-E
34.routeid,36-N,136-N
100.ovlpovlp,y84-W,84-W
25.townname,KILILNGWORTH,KILLINGWORTH
360.ovlpovlp,520260,1520260
186.routeid,9-N,97-N
185.routeid,48-W,84-W
42.ovlpovlpstatus,PI,PRI
299.ovlpovlpstatus,PRpI,PRI
113.routeid,3-N,32-N
236.routeid,67E,67-E
273.ovlpovlp,l66-E,66-E
160.ovlpovlpstatus,PI,PRI
156.global_id,ca6686a8-d7c6-4422-a554-7b2ea966c8c3,ca6686a8-d7c6-4422-a554-7b2ea966cc83
130.ovlpovlpstatus,PkRI,PRI
199.global_id,27247286-d7d5-4d4e-bb88-2918pb0f73c02,27247286-d7d5-4d4e-bb88-2918b0f73c02
98.townname,MANCHSETER,MANCHESTER
144.ovlpovlp,44-W***,44-W
369.ovlpovlp,84E-,84-E
277.ovlpovlp,i4-E,4-E
176.routeid,49-vN,49-N
200.townname,ARTFORD,HARTFORD
51.global_id,0e36a4e3-7cda-4834-b093-c410d21d7979,0e36a4e3-7cda-4834-b093-c401d21d7979
206.ovlpovlp,140E,140-E
250.ovlpovlpstatus,PIR,PRI
129.global_id,d57h0bb4e-7de8-40e8-b84f-cb80f708c9ce,d570bb4e-7de8-40e8-b84f-cb80f708c9ce
186.ovlpovlpstatus,PI,PRI
146.global_id,2a77d477-106a-73f-bdff-f96ddb138bda,2a77d477-106a-473f-bdff-f96ddb138bda
347.ovlpovlp,39-5S,395-S
66.global_id,14fac7d9-7026-46cb-9c5d-471d9fd1743f,41fac7d9-7026-46cb-9c5d-471d9fd1743f
187.routeid,01p50895R,0150895R
99.routeid,8-N,83-N
298.global_id,7b1766c8-9594-4bb3-afae-8556838ee43,7b1766c8-9594-4bb3-afae-8556838ece43
157.ovlpovlp,83N,83-N
58.global_id,fdb96a9b-8460-42aa-8515-e975l6f93144b,fdb96a9b-8460-42aa-8515-e9756f93144b
290.routeid,86-E,68-E
309.ovlpovlpstatus,RI,PRI
111.routeid,4-E,14-E
178.ovlpovlp,-E,6-E
274.ovlpovlp,13-N,183-N
259.ovlpovlpstatus,RI,PRI
103.townname,xOLD SAYBROOK,OLD SAYBROOK
155.ovlpovlpstatus,RPI,PRI
343.ovlpovlp,5-jN,5-N
153.ovlpovlpstatus,PIR,PRI
48.routeid,17-N,147-N
366.ovlpovlpstatus,RPI,PRI
275.townname,GRANYB,GRANBY
32.ovlpovlpstatus,RPI,PRI
2.townname,WOODSTOoCK,WOODSTOCK
338.ovlpovlp,10-qN,10-N
72.routeid,15-0N,150-N
278.townname,BARKHAMSTD,BARKHAMSTED
165.routeid,4E,4-E
231.ovlpovlpstatus,PIR,PRI
324.ovlpovlp,6j-W,6-W
137.townname,ORTH STONINGTON,NORTH STONINGTON
30.townname,EW LONDON,NEW LONDON
161.global_id,e67fe817-f8cf-4ff-49a8b-36d23468df1f,e67fe817-f8cf-4ff4-9a8b-36d23468df1f
235.ovlpovlpstatus,RPI,PRI
55.global_id,f711d229-450-4b5a-acdf-61383b16e39a,f711d229-4560-4b5a-acdf-61383b16e39a
138.ovlpovlp,18x9-N,189-N
141.ovlpovlpstatus,PgRI,PRI
201.ovlpovlpstatus,PIR,PRI
297.routeid,220-N,202-N
232.townname,MACNHESTER,MANCHESTER
182.routeid,m7-S,7-S
95.ovlpovlp,08-E,80-E
276.townname,NOWRICH,NORWICH
325.ovlpovlpstatus,RI,PRI
72.ovlpovlpstatus,PcRI,PRI
348.global_id,af4b32c-9fba-42b8-8425-70b0935967ae,baf4b32c-9fba-42b8-8425-70b0935967ae
212.global_id,a702a4bfc-37d5-46f3-abb3-db925c22cd83,a702a4bf-37d5-46f3-abb3-db925c22cd83
216.global_id,86578619-615-4040-adc6-db2277669293,86578619-615a-4040-adc6-db2277669293
250.townname,DANhBURY,DANBURY
339.global_id,853a2c5f6-9b0-4189-94df-9feff8b6e9ff,853a2c5f-69b0-4189-94df-9feff8b6e9ff
351.routeid,32-jN,32-N
165.global_id,8485a702-0a6-4520-810a-d90749ff527b,8485a702-0a76-4520-810a-d90749ff527b
293.townname,HCESHIRE,CHESHIRE
38.routeid,15S-,15-S
278.ovlpovlpstatus,PI,PRI
228.ovlpovlpstatus,RPI,PRI
329.ovlpovlpstatus,PIR,PRI
353.townname,NE WHAVEN,NEW HAVEN
163.ovlpovlpstatus,aPRI,PRI
245.townname,MIDDLBEURY,MIDDLEBURY
67.global_id,ed17c96-fb74-4537-a7b0-96471b301658,ed17c963-fb74-4537-a7b0-96471b301658
311.ovlpovlpstatus,PIR,PRI
78.townname,OSMERS,SOMERS
46.ovlpovlpstatus,PI,PRI
342.routeid,4-E,44-E
62.global_id,fb38a497-f9gca-42ab-afa2-985fe5c86e5a,fb38a497-f9ca-42ab-afa2-985fe5c86e5a
337.ovlpovlpstatus,PkRI,PRI
241.ovlpovlpstatus,PfRI,PRI
173.ovlpovlp,4-E,44-E
211.ovlpovlp,15-4N,154-N
54.ovlpovlpstatus,PuRI,PRI
250.global_id,f974b7894-b58-4245-bb6e-ab195f54ec86,f974b789-4b58-4245-bb6e-ab195f54ec86
205.townname,LIBSON,LISBON
272.townname,MIDDLETONW,MIDDLETOWN
44.global_id,d209d152-0472-41c5-844f-9703545cbf641,d209d152-0472-41c5-844f-9703545bf641
101.routeid,59-N,95-N
104.global_id,7c7c8103-d8cd-4007-80bc-3d8cb41ee11,7c7c8103-d8cd-4007-80bc-3d8cb412ee11
353.routeid,4-E,34-E
82.townname,NE MILFORD,NEW MILFORD
344.ovlpovlp,6W,6-W
220.townname,LITCHFILED,LITCHFIELD
46.ovlpovlp,4-E,14-E
341.ovlpovlpstatus,PI,PRI
152.townname,cVERNON,VERNON
335.ovlpovlpstatus,oPRI,PRI
170.townname,STAFFODR,STAFFORD
307.ovlpovlp,122N-,122-N
20.townname,WALgLINGFORD,WALLINGFORD
336.routeid,1N,1-N
6.global_id,11885ff-11d9-4dcc-845f-1201fc835ed9,11d885ff-11d9-4dcc-845f-1201fc835ed9
252.ovlpovlpstatus,PRmI,PRI
141.routeid,2g0-E,20-E
333.routeid,8-5N,85-N
132.ovlpovlp,6-E,16-E
3.routeid,2e-E,2-E
200.ovlpovlpstatus,PIR,PRI
213.townname,WgINCHESTER,WINCHESTER
240.ovlpovlp,01-N,10-N
328.ovlpovlp,80E-,80-E
259.ovlpovlp,159v-N,159-N
319.routeid,18-8N,188-N
222.routeid,220-N,202-N
195.routeid,5N-,5-N
23.townname,tTHOMASTON,THOMASTON
144.ovlpovlpstatus,RPI,PRI
153.townname,INCHESTER,WINCHESTER
347.routeid,2AE-,2A-E
157.routeid,83r-N,83-N
142.ovlpovlpstatus,PIR,PRI
144.routeid,2c02-S,202-S
184.ovlpovlpstatus,RPI,PRI
153.routeid,-N,8-N
128.ovlpovlp,124r-N,124-N
26.townname,ERNON,VERNON
164.global_id,47590483-f566-4e0e-b0c-1af58a85d690,47590483-f566-4e0e-b0c4-1af58a85d690
195.global_id,62b3dca3-3e82-4295-a0e1-8270353006e5,62b3dca3-3e82-4295-a0e1-8270335006e5
306.townname,PREcSTON,PRESTON
76.ovlpovlpstatus,PI,PRI
224.ovlpovlpstatus,PI,PRI
135.townname,EWINGTON,NEWINGTON
7.ovlpovlpstatus,PjRI,PRI
69.ovlpovlp,66-W***,66-W
246.global_id,397b31ab-0ef5-45fd-a7a7-5bba7a63f95b,379b31ab-0ef5-45fd-a7a7-5bba7a63f95b
303.ovlpovlpstatus,PIR,PRI
321.ovlpovlpstatus,PI,PRI
138.townname,BLOOFMIELD,BLOOMFIELD
24.ovlpovlp,022-N,202-N
261.townname,MRIDEN,MERIDEN
88.ovlpovlpstatus,RPI,PRI
99.ovlpovlpstatus,PI,PRI
238.townname,AMNCHESTER,MANCHESTER
251.townname,MANCxHESTER,MANCHESTER
196.routeid,53N-,53-N
206.townname,EAST WINDSRO,EAST WINDSOR
275.ovlpovlpstatus,PsRI,PRI
16.global_id,eac18a4d-ce72-4c31-f12-c4df9f65d39d,eac18a4d-ce72-4c31-8f12-c4df9f65d39d
363.routeid,47-E,74-E
67.ovlpovlp,-W,6-W
237.global_id,d777dc1e-239b-43288e34-1e65fe98e48b,d777dc1e-239b-4328-8e34-1e65fe98e48b
247.routeid,a7-N,7-N
125.townname,NORWAdLK,NORWALK
40.ovlpovlp,0-N,10-N
292.ovlpovlp,7-hN,7-N
251.routeid,84-qE,84-E
135.routeid,1i74-E,174-E
182.townname,NEW ILFORD,NEW MILFORD
118.global_id,545c5e7a-43bf-483f-97e4-99c2f4e37776***,545c5e7a-43bf-483f-97e4-99c2f4e37776
16.ovlpovlp,66k-E,66-E
96.ovlpovlp,g80-W,80-W
348.routeid,30-rN,30-N
140.ovlpovlpstatus,PIR,PRI
114.routeid,39-N,395-N
150.routeid,-7N,7-N
292.townname,SHAjRON,SHARON
23.global_id,42fea995-f578-49e4-924e-a7dcbde8a8ac,42fea995-f578-49e4-924e-a7cdbde8a8ac
15.ovlpovlpstatus,PIR,PRI
69.ovlpovlpstatus,RPI,PRI
253.ovlpovlp,95S-,95-S
69.routeid,66-W***,66-W
305.routeid,6E-,6-E
83.townname,DNABURY,DANBURY
189.townname,SYMOUR,SEYMOUR
349.ovlpovlpstatus,PRgI,PRI
325.global_id,a467c34d-5035-4d31y-9ef7-b4cfe7dc2137,a467c34d-5035-4d31-9ef7-b4cfe7dc2137
223.ovlpovlp,1-N,10-N
145.ovlpovlp,w84-E,84-E
259.townname,WINDSOR LkOCKS,WINDSOR LOCKS
354.ovlpovlp,-6E,6-E
338.ovlpovlpstatus,PjRI,PRI
32.ovlpovlp,015089n5,0150895
44.ovlpovlp,12c60554,1260554
116.ovlpovlp,-N,7-N
56.routeid,148-W,184-W
176.ovlpovlp,16-E,165-E
291.ovlpovlp,6-vE,6-E
358.global_id,237e05e5-eab9-4b3c2-9e4f-ae7386749f05,237e05e5-eab9-43c2-9e4f-ae7386749f05
44.ovlpovlpstatus,zPRI,PRI
227.routeid,2gA-E,2A-E
108.routeid,12-rN,12-N
276.ovlpovlpstatus,PRyI,PRI
66.ovlpovlp,57-wN,57-N
370.townname,NEWTONW,NEWTOWN
70.ovlpovlpstatus,PIR,PRI
96.townname,KLLINGWORTH,KILLINGWORTH
13.routeid,-E,6-E
240.routeid,10N-,10-N
14.routeid,6-kW,6-W
304.ovlpovlp,170-N,107-N
226.townname,NEWINTGON,NEWINGTON
86.routeid,5-N,25-N
189.ovlpovlp,15-N,115-N
61.townname,RESTON,PRESTON
208.global_id,5b1d7341-ab04-4b6f-9383-a93e2d4e64d3,5b1d7341-ab04-4b6f-9383-a93e2d46e4d3
54.townname,WOODnSTOCK,WOODSTOCK
162.townname,WbARREN,WARREN
202.global_id,5c698d64-cce7-4e46-a416-ee5c3df2dc29,5c968d64-cce7-4e46-a416-ee5c3df2dc29
39.routeid,160-sE,160-E
177.ovlpovlpstatus,RI,PRI
230.townname,BOTLON,BOLTON
296.routeid,n84-E,84-E
4.ovlpovlp,-5N,5-N
127.ovlpovlpstatus,PjRI,PRI
288.ovlpovlp,3-N,63-N
173.global_id,79a25856-ed44-426a-bef0-f269be0ef3f4,79a25856-de44-426a-bef0-f269be0ef3f4
17.townname,NEW MLIFORD,NEW MILFORD
121.ovlpovlp,5-N,15-N
94.routeid,-S,8-S
10.townname,nNEW HAVEN,NEW HAVEN
262.ovlpovlpstatus,PI,PRI
190.global_id,e9d0d7c7-62cb-0dc-940d-6669893079ef,e9d0d7c7-62cb-40dc-940d-6669893079ef
21.routeid,n71A-N,71A-N
98.ovlpovlpstatus,PoRI,PRI
264.ovlpovlpstatus,PIR,PRI
130.global_id,f94d4327-18cb-ab7-972b-bb2a193135c1,f94d4327-18cb-4ab7-972b-bb2a193135c1
242.townname,NE CANAAN,NEW CANAAN
179.routeid,6j7-E,67-E
154.ovlpovlp,0-W,80-W
136.ovlpovlp,1w81-N,181-N
146.ovlpovlpstatus,RI,PRI
355.routeid,4-W,44-W
168.ovlpovlpstatus,PeRI,PRI
268.global_id,d0760d8d-5441-4db4-a0e3-b07b1c89difcb,d0760d8d-5441-4db4-a0e3-b07b1c89dfcb
23.ovlpovlp,-8S,8-S
74.routeid,1520g260,1520260
181.townname,WILTNO,WILTON
355.ovlpovlpstatus,RI,PRI
157.global_id,05012e10-f5f8-4da5-893c-cbb33785586c,05012e10-5ff8-4da5-893c-cbb33785586c
30.ovlpovlp,9-5S,95-S
324.global_id,a05b96ecf-ff0f-4e39-9176-713c603e2c0e,a05b96cf-ff0f-4e39-9176-713c603e2c0e
106.ovlpovlp,15-E,156-E
359.ovlpovlp,107N,107-N
322.global_id,26895b8a-cc63-4610-8xd4d-18fc3c0989df,26895b8a-cc63-4610-8d4d-18fc3c0989df
239.global_id,9c772c50-d5f5-4e6-5985d-8924428805aa,9c772c50-d5f5-4e65-985d-8924428805aa
61.global_id,92ce61c4-d826-44e8-b0a6-f7018b846a86,9c2e61c4-d826-44e8-b0a6-f7018b846a86
264.global_id,a608423e-e9b2-4be6-b2a8-ab6472600bbc,a608423e-9eb2-4be6-b2a8-ab6472600bbc
93.ovlpovlpstatus,RPI,PRI
279.ovlpovlp,3e-N,3-N
60.ovlpovlpstatus,PeRI,PRI
170.global_id,91555dnc2-5b4e-42c1-b3c5-f21aad91a716,91555dc2-5b4e-42c1-b3c5-f21aad91a716
194.townname,WINHCESTER,WINCHESTER
79.ovlpovlpstatus,sPRI,PRI
236.ovlpovlp,-E,6-E
235.townname,LITsCHFIELD,LITCHFIELD
78.ovlpovlp,190w-E,190-E
282.townname,NOFOLK,NORFOLK
86.ovlpovlp,6E-,6-E
215.global_id,bd3d341b-6067-488b-baa7j-57e70a7d347d,bd3d341b-6067-488b-baa7-57e70a7d347d
357.global_id,427ca32ah-e441-482c-8a33-84a8134ffc65,427ca32a-e441-482c-8a33-84a8134ffc65
33.global_id,bfe466ae-5848-4b0f-990c2-1128c428c7f5,bfe466ae-5848-4b0f-9902-1128c428c7f5
159.routeid,84W-,84-W
209.townname,BERLN,BERLIN
281.townname,SAISBURY,SALISBURY
287.routeid,i6-E,6-E
89.ovlpovlp,202N,202-N
10.global_id,f2ac5fa1-99ab-47a6-ae9ha-dec6fa795fe4,f2ac5fa1-99ab-47a6-ae9a-dec6fa795fe4
367.global_id,a6d3359f-adce-4688-9fc7-ed62f5baccf2,a6d3359f-adce-4688-9fc7-ed26f5baccf2
26.global_id,a9c13fbd-9664-4dd1-8dac-ed2f6b4d671,a9c13fbd-9664-4dd1-8dac-ed23f6b4d671
192.townname,BOLTNO,BOLTON
43.routeid,21-N,12-N
80.townname,EAST WINDSR,EAST WINDSOR
286.ovlpovlpstatus,RI,PRI
146.routeid,6E-,6-E
181.global_id,4a7c145-6690-48ea-b963-7d65e52d5ba9,4a7c145b-6690-48ea-b963-7d65e52d5ba9
50.townname,OLD SAYRBOOK,OLD SAYBROOK
350.ovlpovlp,8-E,82-E
60.townname,BROOKFIED,BROOKFIELD
120.ovlpovlpstatus,PIR,PRI
246.ovlpovlpstatus,iPRI,PRI
236.ovlpovlpstatus,pPRI,PRI
126.ovlpovlpstatus,yPRI,PRI
337.ovlpovlp,0q610144,0610144
36.global_id,86910e84-d9fa-41a8-afbd-7105c4f42e71,869108e4-d9fa-41a8-afbd-7105c4f42e71
6.ovlpovlpstatus,PRsI,PRI
360.townname,WAETRFORD,WATERFORD
251.global_id,64bd293b-7b8f-4332-b6e4-39eee590c087,64bd239b-7b8f-4332-b6e4-39eee590c087
124.ovlpovlp,4-E,44-E
57.ovlpovlpstatus,RI,PRI
281.global_id,92d7c76e-fa0b-4fbd-9887-7c01a6d71887,927dc76e-fa0b-4fbd-9887-7c01a6d71887
251.ovlpovlp,8q4-E,84-E
71.routeid,15S-,15-S
22.townname,PLAINVLLE,PLAINVILLE
334.ovlpovlpstatus,RI,PRI
299.routeid,20v2-N,202-N
33.ovlpovlp,0150r895R,0150895R
216.townname,GRnANBY,GRANBY
235.global_id,e41d52bf-1451-4168-929b-51dbc3ab197a,e41d52bf-1451-4168-929b-51dbc3ab179a
171.ovlpovlp,q37-N,37-N
310.routeid,15-wN,15-N
64.ovlpovlp,44-W***,44-W
166.global_id,792b8544-d4a3-4496-b311-f1a2c74fb8f9***,792b8544-d4a3-4496-b311-f1a2c74fb8f9
291.global_id,b45a8cff-649-43e4-8726-ccd958e0559b,b45a8cff-649e-43e4-8726-ccd958e0559b
41.townname,NORWAK,NORWALK
332.global_id,3e257581-a739-4e50-a0b2-629c2827e9ac,3e257581-a739-4e50-a0b2-269c2827e9ac
240.ovlpovlpstatus,RI,PRI
215.routeid,188N-,188-N
307.townname,NW HAVEN,NEW HAVEN
261.routeid,15N-,15-N
4.global_id,621bfcdc-2r8c8-4bab-ab32-0e546ac46ff2,621bfcdc-28c8-4bab-ab32-0e546ac46ff2
174.global_id,24a2d948-bda8-4bbe-8f38-fe7a62a502c2,42a2d948-bda8-4bbe-8f38-fe7a62a502c2
242.ovlpovlpstatus,PRhI,PRI
369.global_id,0bf50cb4-10e-411c-aa2c-f8ee80705e80,0bf50cb4-610e-411c-aa2c-f8ee80705e80
333.townname,COLCHSETER,COLCHESTER
24.global_id,472b6cd0-3403-405e-da8b-fbff395df9d8,472b6cd0-3403-405e-ad8b-fbff395df9d8
125.global_id,1907779b-5e73-4148-bb39-1b0d3bc3d38,1907779b-5e73-4148-bb39-16b0d3bc3d38
82.ovlpovlpstatus,PIR,PRI
110.global_id,27cfb67f-903d-42db-b4b1-e236757ed2d0,27cfb6f7-903d-42db-b4b1-e236757ed2d0
115.routeid,z4-E,4-E
122.global_id,abd25598-c7a1-45e8-83b7-89cda41e4068,abd25598-c7a1-45e8-83b7-89cda4e14068
264.ovlpovlp,157N-,157-N
