characteristic,sex,raceethnicity,year,earnings,standard_erroron_earnings,noteon_earnings,countinthousands,standard_erroron_countinthousands,noteon_count
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2008,16930.0,2086.0,NULL,496.0,33.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2009,12850.0,853.0,NULL,589.0,33.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2010,14890.0,1219.0,NULL,458.0,31.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2011,12190.0,774.0,NULL,471.0,34.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2012,12130.0,774.0,NULL,545.0,35.0,NULL
Total - Hispanic,NULL,Hispanic,2000,20000.0,506.0,NULL,782.0,50.0,NULL
Total - Hispanic,NULL,Hispanic,2001,19450.0,459.0,NULL,757.0,49.0,NULL
Total - Hispanic,NULL,Hispanic,2002,19150.0,480.0,NULL,795.0,50.0,NULL
Total - Hispanic,NULL,Hispanic,2003,18720.0,520.0,NULL,742.0,48.0,NULL
Total - Hispanic,NULL,Hispanic,2004,18190.0,77.0,NULL,780.0,37.0,NULL
Total - Hispanic,NULL,Hispanic,2005,18470.0,547.0,NULL,792.0,34.0,NULL
Total - Hispanic,NULL,Hispanic,2006,19320.0,958.0,NULL,817.0,35.0,NULL
Total - Hispanic,NULL,Hispanic,2007,18570.0,717.0,NULL,787.0,34.0,NULL
Total - Hispanic,NULL,Hispanic,2008,17140.0,1484.0,NULL,773.0,37.0,NULL
Total - Hispanic,NULL,Hispanic,2009,16930.0,811.0,NULL,736.0,30.0,NULL
Total - Hispanic,NULL,Hispanic,2010,16700.0,989.0,NULL,799.0,35.0,NULL
Total - Hispanic,NULL,Hispanic,2011,16160.0,443.0,NULL,835.0,42.0,NULL
Total - Hispanic,NULL,Hispanic,2012,15580.0,598.0,NULL,869.0,38.0,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2000,21330.0,3487.0,NULL,84.0,15.0,Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2001,19450.0,2620.0,NULL,87.0,15.0,Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2002,22340.0,1464.0,NULL,79.0,15.0,Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2003,23060.0,1847.0,NULL,81.0,15.0,Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2004,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2005,18510.0,1954.0,NULL,85.0,15.0,Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2006,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2007,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2008,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2009,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2010,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2011,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2012,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2001,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2002,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2003,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2004,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2005,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2006,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2007,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2008,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2009,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2010,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2011,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2012,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2000,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2001,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Idian/Alaska Native, non-Hispanic",2002,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"Americanp Indian/Alaska Native, non-Hispanic",2003,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2004,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2005,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2006,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2007,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2008,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Natipve, non-Hispanic",2009,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2010,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2011,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2012,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2001,NULL,NULL,Dat not available.,NULL,NULL,Data not available.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2002,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2003,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2004,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2005,16130.0,3053.0,NULL,78.0,10.0,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2006,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2007,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2008,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2009,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2010,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2011,14920.0,3691.0,NULL,99.0,13.0,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2012,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2000,25330.0,547.0,NULL,1515.0,60.0,NULL
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2001,23340.0,778.0,NULL,1547.0,49.0,NULL
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2002,22980.0,893.0,NULL,1479.0,48.0,NULL
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2003,22710.0,582.0,NULL,1535.0,49.0,NULL
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2004,24190.0,1230.0,NULL,1554.0,58.0,NULL
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2005,23340.0,403.0,NULL,1437.0,50.0,NULL
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2006,22580.0,773.0,NULL,1453.0,46.0,NULL
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2007,22000.0,161.0,NULL,1497.0,59.0,NULL
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2008,20820.0,1113.0,NULL,1511.0,62.0,NULL
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2009,21180.0,458.0,NULL,1361.0,50.0,NULL
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2010,17800.0,803.0,NULL,1306.0,62.0,NULL
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2011,19510.0,540.0,NULL,1186.0,57.0,NULL
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2012,19350.0,1289.0,NULL,1210.0,53.0,NULL
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2000,20000.0,1795.0,NULL,275.0,30.0,NULL
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2001,19450.0,1078.0,NULL,293.0,31.0,NULL
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2002,16590.0,1409.0,NULL,288.0,31.0,NULL
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2003,18820.0,817.0,NULL,294.0,31.0,NULL
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2004,17940.0,1466.0,NULL,279.0,25.0,NULL
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2005,16640.0,1657.0,NULL,305.0,26.0,NULL
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2006,20100.0,640.0,NULL,320.0,26.0,NULL
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2007,18490.0,2353.0,NULL,347.0,24.0,NULL
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2008,19920.0,2026.0,NULL,280.0,25.0,NULL
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2009,12860.0,2002.0,NULL,306.0,22.0,NULL
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2010,15740.0,930.0,NULL,278.0,26.0,NULL
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2011,12050.0,708.0,NULL,260.0,22.0,NULL
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2012,12230.0,958.0,NULL,312.0,26.0,NULL
"Total - Male, Hispanic",Male,Hispanic,2000,21330.0,595.0,NULL,495.0,40.0,NULL
"Total - Male, Hispanic",Male,Hispanic,2001,20230.0,520.0,NULL,474.0,39.0,NULL
"Total - Male, Hispanic",Male,Hispanic,2002,21240.0,542.0,NULL,514.0,41.0,NULL
"Total - Male, Hispanic",Male,Hispanic,2003,19470.0,651.0,NULL,476.0,39.0,NULL
"Total - Male, Hispanic",Male,Hispanic,2004,18700.0,863.0,NULL,513.0,30.0,NULL
"Total - Male, Hispanic",Male,Hispanic,2005,19960.0,1216.0,NULL,501.0,26.0,NULL
"Total - Male, Hispanic",Male,Hispanic,2006,20670.0,783.0,NULL,537.0,31.0,NULL
"Total - Male, Hispanic",Male,Hispanic,2007,19560.0,987.0,NULL,520.0,26.0,NULL
"Total - Male, Hispanic",Male,Hispanic,2008,19140.0,1371.0,NULL,481.0,27.0,NULL
"Total - Male, Hispanic",Male,Hispanic,2009,17860.0,1533.0,NULL,476.0,23.0,NULL
"Total - Male, Hispanic",Male,Hispanic,2010,17880.0,664.0,NULL,529.0,28.0,NULL
"Total - Male, Hispanic",Male,Hispanic,2011,17840.0,879.0,NULL,498.0,30.0,NULL
"Total - Male, Hispanic",Male,Hispanic,2012,17940.0,2254.0,NULL,556.0,31.0,NULL
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2000,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2001,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2001,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).,NULL,NULL,Reporting standards not met (too few cases for a reliable estimate).
