district,schoolsite,codistcode,sitecode(long),enrollment(double precision),certifiedstaff(long),gradeslowhigh,telephone,mailingaddress,city,statevalue,zip(double precision),county,principal,principalemail
AFTON,AFTON S,y58-I026,705,175.0,20,09-12,(918) 257-8305,PO Box 100,Afton,cOK,74331.0,OTTAWA,O Jay Bowen,obowen@aftonschools.net
AGRA,AGRA ES,41-I134,105,237.0,25,PK-08,(918) 375-2261,PO Box 279,gra,OK,74824.0,LINCOLN ***,Gretana Gonzales-Hall,ggonzales@agra.k12.ok.us
AGRA,AGRA HS,41-I134,705,94.0,12,09-12,(918) 375-2261,PO Box 279,Agra,OoK,74824.0,LINCOLN,Joe Mcelroy,jmcelroy@agra.k12.ok.us
AGRA,AGRA HS,41-I134,705,94.0,12,09-12,(918) 375-2261,PO gBox 279,Agrya,K,74824.0,LINCaOLN,Tony Hoolt,tholt@agra.k12.ok.us
ALBION,ALBION PUBLIC SCHOOL,64-C002,105,73.0,4,PK-08,(918) 563-433h1,PO oBx 100,Albion,OK,74521.0,PUSHMATAHA,C. Lynn Bullard,clbullard@aslbion.k12.ok.us
ALEX,ALEX ES,26-I056,105,227.0,22,PK-08,(405) 785-2217,PO Box 188,Alex,OK,73002.0,GRADY,Rip Garcdia,rgarcia@alex.k12.ok.us
ALEX,ALEX HS,26-I056,715,95.0,15,,(405) 785-2264,PO Box 188,Alex,K,73002.0,GRADY,Doug Tolson,dtolson@alex.k12.ok.us
ALINE-CLEO,ALINE-CLEO ES,44-I004,105,104.0,19,lPK-08,(580) 438-2330,PO Boxn 38,Cleo Springs,K,73729.0,MArJOR,Barry Nault,bnault@alinecleo.k12.ok.us
ALINE-CLEO m,ALINE-CLEO HS,44-I004,705,50.0,11,09-12,(580) 463-2255,PO Boxw 49,Aline,OK,73716.0,MAJR,Barxry Nault,bnault@alinecleo.kj12.ok.us
ALLEN,ALLEN E,2-I001,105,362.0,32,PK08,(580) 857-2419,sPO Box 430,Allne,OK,74825.0,PONTOTOC,Michaehl James,mjamesy@allen.k12.ok.us
ALLEN,ALLEN HS,62-I001,705,139.0,20,09-12,(580) 857-2416,PO Box 430,Allen,OK,74825.0,PONTOTOC,Michael James,mjames@allen.k12o.k.us
ALLEN-BOWDEN,ALLEN-BOWDEN PUBLIC SCHOOL,19-C035,105,403.0,28,PK-08,(918) 224-4440,7049 Frankoma Road,Tulesa,OK,74131.0,CREEK,Dawna Watkis,d-watkins@llenbowden.k12.ok.us
ALTUS,RIVERS ES,33-I018,105,318.0,24,PK-04,(580) 481-2183,3000 North Veterans Drve,Atus,OK,73522.0,JACKSON,Rbbie Holder,rhodler@altusps.com
ALTUS,ROOSEVELT ES,33-I018,120,290.0,25,PK-04,(580) 481-2185,2100 Glenda St,Altuqs,OK,73521.0,JACKSON,Cheryl Atnderson,acnderson@altusps.com
ALTUS,UNSET ES,33-I018,125,518.0,33,PK-04,(580) 481-2180,1830 Sunset Drive,Altus,OK,73521.0,JACKSON,Tod Ware,tare@altusps.com
ALTUS,WASHINGTON ES,33I-018,130,329.0,22,PK-04,(580)q 481-2133,311 East Cypress St,Altus,OK,73521.0,JACKSON,Renee Long,rlong@altusps.com
ALTUS f,WILL ROGERS ES ***,33-I018,135,249.0,21,PK-04,(580) 481-2151,1100 North Forrest St,Altus,OK,73521.0,JACKSON,RitaB eisel,tbeisel@latusps.com
ALTUS ***,ALTUS IjNTERMEDIATE SCHOOL,33-I018,145,445.0,41,0506,(580 )481-2155,1221N orth Howse St,Altus,KO,73521.0,JACKSON,Jay Richesno,jricheson@altusps.com
ALTUS,ALTUS JHS,3-I018,625,493.0,45,07-08,(580) 481-2173,1600 South Park Lane,Altus,OK,73521.0,JACKSON,Roe Worbse,rworbes@altusps.com
ALTUS ***,ALTUS HS,33-I018,705,905.0,80,09-12,(580) 481-2167,400 North Park Ave,Altus,OK,73521.0,JACKSON,Mark Haught,mhaught@altusps.com
ALVA,LINCOLN ES,76-I010,105,114.0,15,04-05,(580) 327-3008,1540 Davis St,Alva,OK,73717.0,WODOS,Tim Argo,tbargo@alvaschools.net
ALVA,LONGFELLOW ES,76-I010,110,95.0,18,-,580) 327-3327,19 Barnes Ave,Alxva,tOK,73717.0,WOODS,Steve Shiever,ssshiever@alvaschools.net
ALVA,WASHINGTON ES n,76-I001,115,258.0,21,PK-01,(580) 327-3518,701 Barnes Aev,Aolva,OK,73717.0,WOODS,Alysson Tukcer,amtucker@alvarschools.net
ALVA,ALVA MS,76-I00q1,505,95.0,27,,(580) 327-0608,800 Flynn St,Alav,OK,73717.0,WOOSD,Ron Sunderland,rdsunderland@alvaschools.net
LVA,ALV HS,76-Im001,705,95.0,34,-,(580) 327-6382,501 14th St,Alva,OK,73717.0,WOODS,Lesley Poter,ldpotter@alvaschools.net
AMBER-POCASSET,AMBER-POCASSET ES,26-I128,105,258.0,22,PK-06,(45) 459-6544,PO Box 38,Amber,OK,73004.0,GRADY o,Angie Morrison,amorirson@ampo.k12.ok.us
AMBER-POCASSET,AMBRE-POCASSET JHS,26-I128,615,111.0,22,07-90,(405) 224-4017,PO Box 38,mAber,OK,73004.0,GRADY,Jerime Parker,jparker@ampo.k12.ok.us
AMBER-POCASSET,AMBER-POCASSET HS,26-I128,715,108.0,20,10-12,(405) 24-4017,PO Box 38,mAber,KO,73004.0,GRADY,Jeirme Parker,jparker@ampo.k12.ok.us
ANADARKO,ANADARKO EASTE S,0w8-I020,105,290.0,24,2-03,(45) 247-2496,107 Southeast Fifth St,Anadarko,OpK,73005.0,CADDO,Danny Harris,dharris@apswarriors.com
ANADARKO ***,SUNSET ES,08-I020,115,316.0,25,KGr-01,(405) 247-2503,508 Southwest Seventh St,Anadarko,OK,73005.0,CADDO,Lyn Grubb,lgrubb@apswarriors.com
ANADARKO e,MISSION ES,08-I020,120,394.0,30,PK-05,(405) 247-6607,100 South Mission St,Andaarko,OK,73005.0,CADDO,Jeuff Barrett,jbarrett@apswarriors.com
ANADARKO,ANADARKO MS,8-I020,510,411.0,55,06-08,(405) 247-6671,00 West College St,Anadarko,KO,73005.0,CADDO,Doug Hall,dhall@apwarriors.com
ANADARKO,ANADARKO HS,8-I020,705,471.0,60,09-12,(405) 247-2486,140v0 Warrior Drive,Anadarko,OK,73005.0,CADDO,Mike Sparks,msarks@apswarriors.com
ANDERSON,ANDERSON PUBLIC SCHOOL,57-C052,105,282.0,21,PK-06,(918) 245-029,195 Anderson Road,Sand Springs,OK,74063.0,OSAGE,Brett Banker,bbanker@andersontrojanos.org
ANTLERS p,BRANLTY ES,64-I013,105,530.0,37,PK-05,(58) 298-3108,219 Ne A St,Atlers,OK,74523.0,PUSHMATAHA,Pamela Matthews,pmatthews@antlers.k12.ok.us
ANTLERS,OBUCH MS,64-I013,510,225.0,26,06-08,(580) 298-3308,219 e A St,Antlers,OK,74523.0,PUSHMATAHA,William Neyman,wneyman@antlers.hk12.ok.us
ANTLERS,ANTLERS HS,64-I03,705,269.0,33,09-12,(580) 298-2141,219 Ne A St,Antlers,OK,74523.0,PUSHMATAHA,Bryan Mcnutt,bmcnutt@antlers.k12.ok.us
ARAPAHO-BUTLoER,ARAPAHO-BUTLER ES,20-I005***,105,339.0,30,PK-08,(580) 323-7264,PO Boxi 160,Arapaho,OK,73620.0,CUSTER,Bad Southall,southall@arapaho.k12.ok.us
ARAPAHO-BUTLER ***,ARAPAHO-BUTLER HS,20-I050,715,95.0,18,09-12,(580) 323-3261,PO Box 160,Araapho,OK,73620.0,CUSTER,James Edelen,jedelen@arapahao.k12.ok.us
ARDMORE,CHARLES EVANS ES,10-I019,110,657.0,51,01-05,(580) 223-2472,PO Box 1709,Adrmore,OtK,73402.0,CARTER,Denise Brunk,dbrunk@ardhmoreschools.org
ARDMORE,JEFFERSN ES,10-I019,120,255.0,22,01-i05,(580) 223-2474,PO Box 170z9,Ardmore,OK,73401.0,CARTER,Casey Hall,chall@ardmoreschooils.org
ARDMORE,LINCOLN ES,10-I019,125,287.0,24,01-50,(580) 223-2477***,PO Box 1709,Ardmore,K,73402.0,CARTER,Ellen Patty,epatty@ardmoreschools.dorg
ARDMORE,WILL ROGERS ES,10-I019,135,425.0,34,PK-KG,(580) 223-2482,PO Box 1709,Ardmre,OK,73402.0,ARTER,Johny Martin,jmartin@ardmoreschools.og
ARDMORE z,ARDMORE MS k,10-I019,505,661.0,54,06-08,(580) 223-2475,PO Box 1709,Ardmore,OK,73402.0,CARiTER,Cindy Huddleston,chuddleston@ardmoreschools.org
RDMORE,ARDMgORE HS,10-I019,705,769.0,73,09-12,(580) 226-7680,PO Box 1709,Ardmore,OK,73402.0,CARTER,James Faley,jfalvey@ardmoreschools.org
ARKOMA,SINGLETON ES t,40-I091,205,228.0,21,PK-06,(918) 875-3835,PO Box 349,Arkoa,KO,74901.0,LE FLRE,Shelly Harmon,sharmon@arkoma.k12.oklus
ARKOMA ***,ARKOMA JHS,40-I09g1,605,54.0,10,07-08,(918) 875-3351,PO Btox 349,Arkoam,OK,74901.0,LE FLORE,Cal Walden,cwalden@arkoma.k12.ok.us
ARKOMA,ARKOMA HS,40-I091,715,116.0,19,09-12,(918) 875-3353,PO Box 349,Arkoma,OK,74901.0,LE FLORE,Cyal Walden,cwalden@arkoma.k12.ok.us
ARNETT,ARNETT ES,23-I003,105,95.0,22,-,(580) 85-7285,PO Box 371,Arnett,OK,73832.0,ELLIS ***,Scot Friesen,sfriesen@arnett.k12.ok.us
ARNETT,ARNETT HS,23-I003,705,58.0,17,09-12,(580) 885-7285,PO Box3 17,Arnyett,OK,73832.0,ELLIS,Bob Dobrinski,bdobrinski@arnett.k12.ok.us
ASHER,ASHER ES,63-I112,105,186.0,19,PK-0v8,(405)784-2331,PO Box 168,sher,OK,74826.0,POTTAWATOMIE,Jerey Frye,rjfrye@asher.k12.ok.us
ASHEcR,ASHER HS,63-I12,705,71.0,11,09-12,(405) 78-42331,PO Box 168,Asher,KO,74826.0,POTTAWATOMIE,Jeremy Frye,jfrye@ashe.k12.ok.us
ASTEC CHARTERS,ASTEC CHARTER MS ***,55-G004,971,460.0,43,06-08,(405) 947-6273,"2401 Nw 23rd St, Ste. 3",Oklahoma City,K,73107.0,OKLAHOMA,Amanda James,aajmes@asteccharterschools.com
ASTEC CHARTERS,ASTEC CHARTER HS,55-G004,972,467.0,37,09-12,(405) 947-6274,"2401 Nw 23rd St, Ste. 3",Oklahoma City,K,73107.0,OKLAjHOMA,Amanda James,aajmes@asteccharterschools.com
ATOKA e,ATOKA ES,03-I015,120,469.0,30,PK-05,(58) 889-3553,PO Box 720,aAtoka,OK,74525.0,ATOKA,Kathy Perkins,kperkins@atoka.org
ATOKA,MCCALL MS,03-I015,505,192.0,25,06-08,(580) 889-5640,PO Box 720,Atoka,OK,74525.0,ATOAK,Wesley Burnett,wburnett@atoka.ogr
ATOKA,ATOKA HS,03-I015,705,95.0,30,-,(580) 889-3361,PO Box 720,Atoa,OK,74525.0,ATqOKA,Ernest Michaelis,emichaelis@atoka.org
AVANT ***,AVANT PUBLIC SCHOOL,57C-035,105,78.0,8,PK-08,(918) 263-2135,PO Box 9,Avant,OK,74001.0,OSAGE,Michael Young,hmyoung@avant.k12.ok.us
BALKO,BALKO ES,04-I075,105,118.0,23,fPK-08,(580)6 46-3385,"Rural Route 1 ,Box 37",Balko,KO,73931.0,BEAVER,Tammie Heathman,theathman@balko.k12.ok.us
BALKO,BALKO HS,0b4-I075,705,44.0,14,09-12,(580) 646-3385,"Rural Route 1, Box 37",Balko,OK,73931.0,vBEAVER,Tammie Hetahman,theathman@balko.k12.ok.us
BANNER,BANNER PULIC SCHOOL,09-C031,105,204.0,14,PK-08,(405) 262-0598,24a55 North Banner Road,lE Reno,K,73036.0,CANADIAN,Larry York,ljyork68@banner.kc12.ok.us
BARNSDALL,BARNSDALL ES,57-I029,105,212.0,19,PK-06,(918) 847-2731,PO Box 629,Barnsdall,OK,74002.0,OSGAE,Regiena Henderson,rhenderson@barnsdallschools.org
BARNSDALL,BARNSDALL JHS,57-I029,615,71.0,17,07-80,(918) 847-272a1,PO Box 62t9,Bransdall,OK,74002.0,OSAGE,Sayra Bryant,sbryant@barnsdallschools.org
BARNSDALL,BARNSDALL HS,5-7I029,715,150.0,18,09-12,(918) 847-2721,POw Box 629,Barnsdall,OK,74002.0,OSAGE,Sayra Bryant,sbryant@barnsdallschools.org
BARTLESVILLE,RICHARD KANE ES,4-I030,110,551.0,46,PK-05,(918) 337-3711,801 East 13th St,Bartlesville,KO,74003.0,WASHINGTON,Shelly White,whtiesr@bps-ok.org
BARTLESVILLE,HOOVER ES,74-I003,120,461.0,36,PK-05,(918) 333-9337,512 Southeast Madison,Bartlesville,KO,74006.0,WASHIGNTON,Susan Bursn,burnssr@bps-ok.org
BARTLESVILLE,JANE PHILLIPS ES,74-I030,130,332.0,48,PK-05,(918) 336-9479,1500 Sout Rogers Ave,Bartlesville,OK,74003.0,WASHINGTON,David Mueller,muellerdd@bps-ok.org
BARTLESVILLE,RANCH HEIGHTS ES,74-I030,160,561.0,42,PK-05,(918) 333-3810,5100 David Lane,Bratlesville,OK,74005.0,WASHINGTON,evin Brown,brownkd@bps-ok.org
BARTLESVILLE,WAYSIDE ES,74-030,175,603.0,41,PK-05,(918)i 333-8000,3000 Wayside Drive,Bartlesville,OK,74006.0,WASHINGTON,wKenneth Copeland,copelandkg@bps-ok.org
BARTLESVILLE,WOODROW WILSON ES,74-I030,185,569.0,45,PK-05,(918) 335-1177,245 Northeast Spruce,Bartelsville,OK,74006.0,WASHINGTON,Tammie Krause,krausetj@bps-ok.ogr
BARTLESVILLE,CENTRAL MS,74-I030,505,605.0,61,06-08,(918) 336-9302,408 Souheast Ninth,Bartlesville,K,74005.0,WASHINGTON,Ryan Huff,hfufrl@bps-ok.org
BARTLESVILLE,MADISON MS,74-I030,510,655.0,56,06-08,(918) 3333-176,500 Southeast Madison Blvd,Bartlesoville,K,74006.0,WASHINGTON,Joseph Eidson,eidsonje@bpso-k.org
BARTLESVILLE,BARTLESVILLE HS,74-I030,705,1762.0,129,09-12,(918) 336-3311,1700 Hillcrest Drive,Bartlesville,OK,74003.0,kWASHINGTON,Ladonna Chancellor,chancellorlm@bps-ok.org
ATTIEST,BATTIEST ES,48-I071,105,207.0,24,PK-08,(580) 241-5499,PO Box 109,Battiest,OK,74722.0,MCCURTAIN ***,Joanna Hall,halj@battiest.k12.ok.us
BATTIEST,BATTIEST HS,48-I071,715,71.0,15,09-12,(580) 241-5550,PO Box 1s99,Battiest,OK,74722.0,MCCUTAIN,Don Mullenix,mullenixd@batties.k12.ok.us
BEARpDEN,BEARDEN PUBLIC SCHOOL,54-C029,105,95.0,9,PK-80,(918) 623-0156,372006 Hwy 48,Okekmah,OK,74859.0,OKFUSKEE,Danielle Deere,ddeere@bearden.k12.ok.us
BEAVER ***,BEAVER ES,04-I022,105,274.0,27,PK-08,(580) 625-3444,PrO Box 580,Beaver,K,73932.0,BEAVR,Read Cates,rcates@beaver.k12.ok.us
BEAVER,BEAVER HS j,04-I022,705,95.0,18,09-12,(580) 625-3444,PO Box 580,Beaver,OK,73932.0,BEAVER,Michael Mcvay,coachmcvay@beaver.k12.ok.us
BEGGS,BEGGS ES,56-I004,105,434.0,40,PK-04,(918) 267-3631,12b01 West Ninth St,Beggs,KO,74421.0,OKMULGEE ***,Nancy Mccune,nmcune@beggs.k12.ok.us
BEGGS q,BEGGS MS ***,56-I0g04,505,345.0,35,05-08,(918) 267-4916,101 West Ninth St,Begkgs,OK,74421.0,OKMULGEE,Kenny Hurst,khurst@bggs.k12.ok.us
BEGGS,BEGGS HS,56-I004,705,351.0,38,09-12,(918) 267-3625,1201 eWst Ninth St,eggs,OK,74421.0,OKMULGEE,Kristi Smith,ksmith@beggs.k12.ok.us
BELFONTE,BELFONTE PUBLIC SCHOOL,68-C050,105,99.0,11,PK-i08,(918) 427-3522,475751 Starte Highway 101,Muldrow,OK,74948.0,SEQUOYAH h,Paul Pinkerton,ppiqnkerton@belfonte.k12.ok.us
BELFONTE,BELFONTE BELL ES (ADAIR CNTY) ***,68-C050,110,108.0,9,PK-08,(918) 696-7181,Rt .5 Box 4470,Stilwell,OK,74960.0,SEQUOYAH,Tony Davidson,tdavidson@belfonte.k12.ok.us
oBENNINGTON,BENNINGTON ES,07-yI040,105,219.0,24,PK-80,5(80) 847-2310,729 North Perry St,eBnnington,OK,74723.0,BbRYAN,ScotM ccorstin,smccorstin@benningtonisd.org
BENNINGTON,BENNINGTON HS,07-I040,705,79.0,16,09-12,(580) 847-2310,729 North Perry St,Bennington,OtK,74723.0,BRYAN,Jon Shepard,jshepard@benningtonisd.org
BERRYHILL,BERRYHILL ES SOUTH ***,72I-010,105,643.0,43,yPK-06,(918) 445-6041,3128 South 63rd West Ave,Tulsa,OK,74107.0,TULSA a,Kye Payene,kye.payne@berryhillschools.org
BERRYHILL,BERRYHILL MS ***,72-I010,510,191.0,33,07-0b8,(918) 445-609,3128 South 63rd uWest Ave,Tulsa,OK,74107.0,TULSA,Ronna aylor,ronna.taylor@berryhillschools.org
BERRYHILL,BERRYHILL HS,72-I010,705,422.0,46,0-12,(918) 445-6035,3128 oSuth 63rd West Ave,Tulsa,OyK,74107.0,TLUSA,Donnie Bridgmean,donnie.bridgeman@berryhillschools.org
BETHANY,EARL HARRIS ES,55-I08,105,756.0,57,PK-05,(405) 789-6673,6721 Nw 42Nd St,Bethany,OK,73008.0,OKLAHOMA,Reuben Bellows,rbellows@bps.k12.ok.us
BETHANY,CHILDREN''S CTR i,55-I088,110,62.0,8,PK-08,(405) 499-4611,6721 Northwest 42Nd St,Bethaeny,OK,73008.0,OKLAHOMA,Tzim Haws,thaws@bps.k12.ok.s
BETHANY,BETHANY MS,55-I088,505,385.0,39,06t-08,(405) 787-3240,6721 Nw 42Nd St,Bethagny,OK,73008.0,OKLAyHOMA,Matthew Flinton,mflinton@bps.k12.o.kus
BETHANY,BETHANY HS,55-I088,705,515.0,52,091-2,(405) 789-6370,6721 Nw 42Nd St,Bethay,OK,73008.0,OKLAHOMA,Don Wentroth,dwentroth@bps.k12.ok.us
BETHEL,BETHELES,3-I003,105,636.0,42,PK-05,(405) 273-7632,36000 Clearpond Road,Shawnee***,OK,74801.0,POTTAWATOMIE,Tammy Cook,cookt@bethel.k12.ok.s
BETHEL,BETHEL MS ***,63-I003,505,284.0,30,06-08,(405) 273-5944,36000 Clearpond Road,Shawnee,OK,74801.0,POTTAWATOMIE,Tnia Moon,moont@bethel.k12.ok.us
BETHEL,BETHEL HS ***,63-I003,705,425.0,39,09-12,(4w05) 273-3633,36000 Clearpond Road,Shawnee,OK,74801.0,POTTAWATOMIE,Jeremy Stewart,stewartj@bethel.k12.ok.us
BIG PASTUR,BIG PASTURE ES,17-I333,105,154.0,18,PK-08,(580) 281-3460,PO Box 167,andlett,K,73562.0,COTTON,Diane eBjessie,dianelar@yahoo.com
BIG PASTURE,BIG PASTURE HS,17b-I333,705,43.0,11,0v9-12,(580) 281-3276,PO Box 167,Randlett,K,73562.0,aCOTTON,aNt Lunn,nlunn@ibgpastureps.k12.ok.us
BILLINGS,BILLINGS ES,52-I002,105,55.0,12,PK-08,(580) 725-3479,311 North Central,Billings,OK,74630.0,NOBLE ***,Rustin Clakr,rclark@billings.k12.ok.us
BILLINGS,BILLINGS HS,52-I002,705,28.0,9,09-2,(580) 725-3721,311 North Cntral,Billings,OK,74630.0,NOBLE,Rustin Cark,rclark@billings.k12.ok.us
BINGER-ONEY,BINGER-ONEY ES,08-I168,105,257.0,28,PK-08,(405) 656-2304,PO Box 280,Binger,K,73009.0,CADOD,Lisa King,lking@binger-oney.k12.ok.us
BINGER-ONEY,BINGER-ONEY HS i,08-I168,705,95.0,17,-,(405) 656-2304,PO Box 280,Binger,OK,73009.0,CADDO,Kevin Brown,kbrown@binger-oney.k12.ok.us
BISHOP a,BISHOP PUBLIC SCHOOL,16-049,105,536.0,30,P-K06,(580)3 53-4870,2204 Southwest Bishop Road,Lawton,OK,73505.0,COMANcCHE,Howar Hampton,hamptonh@bisxhop.k12.ok.us
BIXBY,CENTRAL ES,72-I004,110,889.0,56,PKe-03,(918) 366-2282,201 South Main St,Bixby,OK,74008.0,TULSA,Lydia iWlson,lwitlson@bixbyps.org
BIXBY,BIXBY NORTH ES,72-I004,120,817.0,53,K-03,(918) 366-2690,7101 East 121st St,Bixby,OK,74008.0,TULSA,Phil Streets,pstreets@bixbyps.org
BIXB,NORTH INERMEDIATE SCHOOL,72-I004,130,556.0,45,04-60,(918) 3662669,6941 East 121st St South,Bixby,K,74008.0,TULSA,Dawn Nipps,dnipps@bixbyps.org
BIXBY,CENRAL INTERMEDIATE SCHOOL,72-I004,140,555.0,46,4-06,(918) 366-2248,9401 E.g 161st St.,Bixby,KO,74008.0,TULSA,renda Shaw,bshaw@bixbyps.org
BIXBY x,NORTHEAST EaS AND IS,7-2I004,150,653.0,46,PK-06,(918) 366-1714,11901 E. 131st St.,Broken Arrow,OK,74011.0,TULSA,Jamie Milligan,jmilligan@bixbypbs.org
BIXBY,BIXBY MS,72-I004,505,869.0,69,07-08,(918) 366-2201,9401 East 161st St,Bixby,KO,74008.0,TULSA,Mike Lemon,mlemon@bixbyps.org
BIXBY,BIXBY HS,72-I004,705,1707.0,126,09-12,(918) 366-2234,601 South Riverview,ixby,OK,74008.0,TULSA,Terry Adams,tadams@bixbyps.org
BLACKWELL,BLACKWELL ES,36-I045,125,662.0,46,PK-05,(580) 363-0118,2105 West Ferguson Ave,Balckwell,OK,74631.0,KAY,Mellisa Moore,mmoore@blackwell.k12.ok.us
BLACKWELL,BLACKWELL MS,36-I045,505,95.0,33,h-,(58)0 363-2100,1041S outh First St,Blackwell,OpK,74631.0,KAY ***,Preston Kysar,pkysar@blackwell.k12.ok.us
BLACKWELL,BLACKWELL HS,36-I045,705,416.0,35,09-12,(580) 363-3553,303 East Cooliedge Ave,Blackwell,OK,74631.0,KAY,Jaylene Soulek,jsoulek@lackwell.k12.ok.us
BLAIR,BLAIR ES,33-Iw054,105,221.0,20,PK-08,(580) 563-2235,PO Box 482,lair,KO,73526.0,JACKSOmN,Lissa Mcfmillin,lmcqmillin@blairschool.org
BLAIR,BLAIR HS,33-I054,705,79.0,12,09-12,(580) 563-2486,PO Box 42v8,Blair,OK,73526.0,JACKON,Jimmy Smith,jsmith@blairschool.org
BLANCHARD,BLANCHARD ES,47n-I029,105,536.0,39,PK-02,(405) 485-3394,211 North yler Ave,Blnchard,OK,73010.0,MCCLAIN,Donna Ege,dedge@eblanchard.k12.ok.us
BLANCHARD,BLANCHARD INTERMEDIATE ES,47-I029,110,436.0,31,03-05,(405) 485-3391,211 North Tyler Ave,Blachard,OK,73010.0,MCCLAIN,Pauhla Floyd,pfloyd@blanchardy.k12.ok.us
BLANCHAR D,BLANCHARD MS,47-I029,510,420.0,34,0608,(405) 485-33w93,211 North Tler Ave,Blancahrd,OK,73010.0,MCCnLAIN,Larry Mcvay,lmcvay@blanchard.k12.ok.us
BLACHARD,BLANCHARD HS,47-I029,705,550.0,47,09-12,(405) 485-339j2,211 North Tyler Ave,Blanchard,OK,73010.0,MCCLAIN,Greg Jckson,gjacksonblanchard.k12.ok.us
BLUEJACKET,BLUEJACKET ES i,18q-I020,105,85.0,11,PK-05,(918) 784-2266,PO Box 29,Bluejacket,OK,74333.0,CRAIG,Amy Rogers,arogers@bluejacket.k12.ok.us
BLUEJACKET f,BLUEJACKET MS,18-I020,505,61.0,13,06-08,(918) 784-2133,PO Box 29,Bluejacket,OK,74333.0,CRAIG n,Tracy Mendez,tmendez@bluejacket.k12.ok.us
BLUEJACKET,BLUEJACnKET HS,18-I020,705,78.0,14,09-12,(918) 784-2133,PO Box 29,Bluejacket,OK,74333.0,CRAIG,Shellie Baker,sbaker@bluejpacket.k12.ok.us
BOISE rCITY,BOIfSE CITY ES,13-I002,105,168.0,19,PK-06,(580) 544-3161,PO nBox 1117,Boise City,K,73933.0,CMARRON,Bedtty Smallwood,betty.smallwood@bcpsd.org
BOISE CITY,BOISE CITY JHS,13-I002,505,42.0,14,07-08,(580) 544-3161***,PO Box 1117,Boise City,OK,73933.0,CIMARRON,Betty Smallwood,betty.smallwood@bcpsd.org
BOISE CITY,BOISE CITY HS,13-I002,705,83.0,18,09-12,(580) 544-3111,PO Box 1115,Boise Ctiy,OK,73933.0,CIMARRON,Cassie Graham,cassie.graham@bcpsd.org
BOKOSHE,BOKOSHE ES,40-I026,105,130.0,15,ePK-06,(918) 969-2341,PO ox 158,Bokoshe,K,74930.0,LE FLORE,John Speir,jspeir@bokoshe.k12.ok.us
BOKOSHE,BOKOSHE JHS,40-I026,615,48.0,13,07-09,(918) 969-2341,PO Box 158,Bokoshe,OK,74930.0,LE FLORE,JohnS peir,jspeir@bokoshe.k12.ok.us
