324.telephone,580) 296-2198,(580) 296-2198
1097.telephone,(58l0) 822-3425,(580) 822-3425
340.city,Comache,Comanche
646.district,HASKELL                       ***,HASKELL                       
1735.city,Wauria,Waurika
1181.county,OKLAHOMA    ***,OKLAHOMA    
1392.mailingaddress,P OBox 970,PO Box 970
1319.city,Purxcell,Purcell
529.city,Fagro,Fargo
1510.mailingaddress,8837 FourthS t,8837 Fourth St
922.schoolsite,MNORONEY MS                   ,MONRONEY MS                   
1704.city,Vniita,Vinita
880.statevalue,OuK,OK
134.district,BLUEJACKET      f              ,BLUEJACKET                    
1174.district,OKLAHOMA CITY                 ***,OKLAHOMA CITY                 
1288.schoolsite,. M. TROUT ES                ,E. M. TROUT ES                
274.principal,Jeremy ickman,Jeremy Hickman
1356.county,qPUSHMATAHA  ,PUSHMATAHA  
1299.principalemail,cfletcherporum.k12.ok.us,cfletcher@porum.k12.ok.us
1497.schoolsite,STONEWALL HS                  ***,STONEWALL HS                  
445.city,Earlsboor,Earlsboro
1397.city,oSand Springs,Sand Springs
990.principalemail,steve.page@sntaff.muldrowps.org,steve.page@staff.muldrowps.org
324.codistcode,07I-004,07-I004
720.city,Jensk,Jenks
1075.telephone,x(918) 868-2499,(918) 868-2499
1562.county,TULSA      ,TULSA       
1828.statevalue,qOK,OK
1353.codistcode,61-It017,61-I017
749.gradeslowhigh,K-06,PK-06
954.principalemail,toniboykin@moorschools.com,toniboykin@mooreschools.com
1776.principal,Trsavis Gates,Travis Gates
154.gradeslowhigh,09-21,09-12
1761.codistcode,5-I041,55-I041
940.principalemail,vernonadecarloo@mooreschools.com,vernonadecarlo@mooreschools.com
327.district,COLBERT                       ***,COLBERT                       
106.city,Bethay,Bethany
512.telephone,(50) 366-7900,(580) 366-7900
388.principal,Tammie Wbb,Tammie Webb
1185.district,OKLAHpOMA CITY                 ,OKLAHOMA CITY                 
562.principalemail,amrawlfins@friend.k12.ok.us,amrawlins@friend.k12.ok.us
608.mailingaddress,PO Bqox 450789,PO Box 450789
320.principal,Kenny Strinegr,Kenny Stringer
114.statevalue,K,OK
646.county,MmUSKOGEE    ,MUSKOGEE    
1506.principal,Brkenda Gooch,Brenda Gooch
571.codistcode,24-I07,24-I047
459.county,OKLAHOM A   ,OKLAHOMA    
1726.gradeslowhigh,PKe-05,PK-05
1388.telephone,(918) 75-4741,(918) 775-4741
1116.district,OKLAHOMA CITY           p      ,OKLAHOMA CITY                 
370.codistcode,55v-C074,55-C074
1607.district,UTLSA                         ,TULSA                         
1367.principalemail,pittsl@ripley.k12.ok.uqs,pittsl@ripley.k12.ok.us
1806.district,WYANDOTTE                    ,WYANDOTTE                     
1677.statevalue,OkK,OK
875.district,MCALSETER                     ,MCALESTER                     
1718.statevalue,K,OK
55.schoolsite,JEFFERSN ES                  ,JEFFERSON ES                  
1309.telephone,9(18) 756-8636,(918) 756-8636
257.mailingaddress,274081 Broncho Rd,274801 Broncho Rd
717.principal,Ryn Glaze,Ryan Glaze
85.principalemail,hfufrl@bps-ok.org,huffrl@bps-ok.org
1543.mailingaddress,PO Box190,PO Box 190
1306.mailingaddress,504 Nbu,3504 Nbu
862.city,Marlfow,Marlow
132.telephone,(405) 485-339j2,(405) 485-3392
948.telephone,z(405) 735-4100,(405) 735-4100
1713.principal,Jim Ogxden,Jim Ogden
1410.principalemail,jbilby@sapulaps.org,jbilby@sapulpaps.org
1001.schoolsite,WHITTIEdR ES                   ,WHITTIER ES                   
1443.schoolsite,WILL ORGERS ES                ,WILL ROGERS ES                
1381.principal,Shlawn Haskins,Shawn Haskins
345.county,WASHIaNGTON  ,WASHINGTON  
1616.schoolsite,TRAICE MS      h               ,TRAICE MS                     
1700.schoolsite,VIAN MS                      ,VIAN MS                       
1541.city,Trhackerville,Thackerville
1107.gradeslowhigh,rPK-06,PK-06
829.principalemail,rmckee@loengrove.k12.ok.us,rmckee@lonegrove.k12.ok.us
541.principal,Jmes Biddy,James Biddy
1656.gradeslowhigh,PK-80,PK-08
1719.city,Wapajnucka,Wapanucka
1044.county,CLEVELANmD   ,CLEVELAND   
713.mailingaddress,PO oBx 630,PO Box 630
127.principalemail,lmcqmillin@blairschool.org,lmcmillin@blairschool.org
941.city,Mooe,Moore
1200.county,NOWATA     ,NOWATA      
1662.gradeslowhigh,PK-8,PK-08
1349.schoolsite,QUAPAW ES                    ,QUAPAW ES                     
621.principal,Loire Aubrjey,Loire Aubrey
77.mailingaddress,PO Box 62t9,PO Box 629
1676.schoolsite,THOMAS JEFEFRSON ES           ,THOMAS JEFFERSON ES           
1660.county,GRADY      ,GRADY       
1591.principal,Keanneth Joslin,Kenneth Joslin
1239.district,PANOLAz                        ,PANOLA                        
896.statevalue,iOK,OK
1237.principalemail,richardhaynes@panamab.k12.ok.us,richardhaynes@panama.k12.ok.us
416.telephone,(f580) 223-2700,(580) 223-2700
1264.telephone,(405) 373y-4848,(405) 373-4848
622.principalemail,loire.aubrey@guymontigers.om,loire.aubrey@guymontigers.com
560.telephone,u(580) 621-3271,(580) 621-3271
236.principalemail,lgraham@carnegie.k1.2ok.us,lgraham@carnegie.k12.ok.us
536.codistcode,16-0C48,16-C048
1176.codistcode,55-I809,55-I089
1539.gradeslowhigh,PK-y08,PK-08
1610.principalemail,rowlabr2@tulsascmhools.org,rowlabr2@tulsaschools.org
347.codistcode,75b-I078,75-I078
1625.schoolsite,yEAST CENTRAL HS               ,EAST CENTRAL HS               
680.telephone,(580) 6p88-2707,(580) 688-2707
1094.gradeslowhigh,***,-
170.principalemail,vbeckwith@tbaschools.org,vbeckwith@baschools.org
1809.telephone,(405) 665-2405,(405) 665-2045
216.city,Cpalera,Calera
1661.statevalue,KO,OK
1420.codistcode,65-I006,56-I006
719.telephone,(918)m 299-4411,(918) 299-4411
1348.principal,BusterM eeks,Buster Meeks
1785.mailingaddress,18t60 Hewitt Road,1860 Hewitt Road
837.gradeslowhigh,K-08,PK-08
561.county,WOODS     i  ,WOODS       
1103.gradeslowhigh,09-1t2,09-12
66.statevalue,KO,OK
1143.telephone,(40) 587-2700,(405) 587-2700
80.statevalue,KO,OK
186.mailingaddress,680t0 East Quincy Place,6800 East Quincy Place
528.principal,Wesely Mcgowen,Wesley Mcgowen
1681.mailingaddress,P.O.Bo x279,P.O.Box 279
1493.city,Silwell,Stilwell
1450.city,Durkant,Durant
378.telephone,(580) 464-222,(580) 464-2272
1176.principalemail,gtfrederic@kokcps.org,gtfrederick@okcps.org
1409.codistcode,19-I0l33,19-I033
1781.principalemail,melissa.cagle@wickloiffeschool.com,melissa.cagle@wickliffeschool.com
1589.gradeslowhigh,PK-6,PK-06
734.telephone,(918)j 247-6300,(918) 247-6300
1464.mailingaddress,PO Box 14i9,PO Box 149
1222.telephone,(918) 272-s2204,(918) 272-2204
1134.principalemail,slphillips@okcps.og,slphillips@okcps.org
822.county,MAiYES       ,MAYES       
598.codistcode,1-I249,71-I249
607.mailingaddress,PO ox 450789,PO Box 450789
1116.codistcode,55-0I89,55-I089
1174.statevalue,K,OK
765.statevalue,KO,OK
1542.district,THACKERVILLE                  ***,THACKERVILLE                  
5.city,zAda,Ada
1401.telephone,(918) 340-520,(918) 340-5120
1088.mailingaddress,15e08 Nw 106Th,1508 Nw 106Th
1798.statevalue,lOK,OK
1642.principal,Nikhil Kawla,Nikhil Kawlra
992.telephone,(580)455-2212,(580) 455-2212
721.telephone,(918) 299-4411***,(918) 299-4411
1795.telephone,(580) 256c-6521,(580) 256-6521
837.principal,Kutr Neal,Kurt Neal
1531.codistcode,63-zI092,63-I092
1717.principal,iSlvia Mcneely,Silvia Mcneely
101.schoolsite,BERRYHILL MS                  ***,BERRYHILL MS                  
1213.schoolsite,OLUSTEE HS                   ,OLUSTEE HS                    
279.telephone,(405) 222m-6524,(405) 222-6524
1493.district,STILWELL                      ***,STILWELL                      
1733.mailingaddress,600 dEucational Ave,600 Educational Ave
1185.schoolsite,HUPFELD ACA.D/WESTERN VILLAGE ,HUPFELD ACAD./WESTERN VILLAGE 
794.principalemail,mnungesser@awtonps.org,mnungesser@lawtonps.org
776.schoolsite,LAVERNE HS                   ,LAVERNE HS                    
139.county,LE FLORE   ,LE FLORE    
791.mailingaddress,802 Southeast Elmhurst Lane,3802 Southeast Elmhurst Lane
983.principal,Stephen Stugrgeon,Stephen Sturgeon
1069.principalemail,bwilliams@npsok.ogr,bwilliams@npsok.org
120.principal,renda Shaw,Brenda Shaw
359.city,Cowta,Coweta
1328.principalemail,swallace@putnamctyschools.org,swallace@putnamcityschools.org
490.principal,Tammy Russelxl,Tammy Russell
527.county,MAJOR       ***,MAJOR       
1467.principalemail,rrossfer@src.k12.ok.us,rrosser@src.k12.ok.us
1442.city,Shawnewe,Shawnee
520.county,MICNTOSH    ,MCINTOSH    
1289.telephone,(58) 767-8025,(580) 767-8025
126.mailingaddress,303 East Cooliedge Ave,303 East Coolidge Ave
645.principalemail,smccullah@haskellpsorg,smccullah@haskellps.org
688.schoolsite,HOW ES                       ,HOWE ES                       
1375.schoolsite,ROFF HS                       ***,ROFF HS                       
914.telephone,(405) 617-8680,(405) 671-8680
1690.district,VELMA-ALMA                   ,VELMA-ALMA                    
1509.gradeslowhigh,K-08,PK-08
424.district,DRUMRIGHT                    ,DRUMRIGHT                     
1646.codistcode,7-E004,72-E004
652.codistcode,6-C088,61-C088
1292.statevalue,kOK,OK
912.telephone,(405) 739-1866,(405) 739-1686
1180.mailingaddress,2801 Northwet 27th St,2801 Northwest 27th St
94.city,Begkgs,Beggs
634.telephone,(508) 888-4258,(580) 888-4258
824.schoolsite,LOCUST GzROVE HS               ,LOCUST GROVE HS               
799.telephone,(508) 353-1040,(580) 353-1040
420.statevalue,KO,OK
1138.principalemail,yldagughty@okcps.org,yldaughty@okcps.org
996.schoolsite,GRANT-OREMAN ES              ,GRANT-FOREMAN ES              
1627.telephone,(918) 925x-1200,(918) 925-1200
1037.district,NOBLE                        ,NOBLE                         
1819.mailingaddress,100 South Holly Ave,2100 South Holly Ave
1773.city,Wewkoa,Wewoka
632.statevalue,fOK,OK
470.telephone,(405)p 340-2890,(405) 340-2890
354.district,COWETA       a                 ,COWETA                        
1644.mailingaddress,1661 E.V irgin St,1661 E. Virgin St
972.principalemail,wilson@omoreland.k12.ok.us,wilson@mooreland.k12.ok.us
410.gradeslowhigh,e09-12,09-12
1362.schoolsite,RINGLING ES                   ***,RINGLING ES                   
1058.principal,Alice Graddry,Alice Graddy
926.county,JmOHNSTON    ,JOHNSTON    
864.telephone,(918) 263-2218,(918) 623-2218
165.mailingaddress,101  Twin Oaks St,101 W Twin Oaks St
1030.statevalue,KO,OK
1766.gradeslowhigh,PK-60,PK-06
702.principalemail,lbullock@idabepls.org,lbullock@idabelps.org
1778.principal,iScott Shepherd,Scott Shepherd
1130.schoolsite,KAISER S                     ,KAISER ES                     
1290.statevalue,KO,OK
1050.principal,tChris Crelia,Chris Crelia
131.county,MCCnLAIN     ,MCCLAIN     
36.statevalue,tOK,OK
71.city,Atoa,Atoka
882.principalemail,cope@mcloudschools.us,ccope@mcloudschools.us
1197.codistcode,55-Z003***,55-Z003
989.city,Muuldrow,Muldrow
1472.gradeslowhigh,PK-50,PK-05
52.principal,Bad Southall,Brad Southall
1671.gradeslowhigh,P-K05,PK-05
1626.statevalue,K,OK
77.city,Bransdall,Barnsdall
536.district,FLOWER MUOND                  ,FLOWER MOUND                  
1533.mailingaddress,315 Wet Park St,315 West Park St
808.gradeslowhigh,KP-04,PK-04
1001.principalemail,lisa.lrogers@mpsi20.org,lisa.rogers@mpsi20.org
930.statevalue,ObK,OK
458.principal,Dayn Hamilton,Dayna Hamilton
386.city,Davdidson,Davidson
687.statevalue,KO,OK
1545.principal,Ray Oafkes,Ray Oakes
1026.city,Neswcastle,Newcastle
480.city,Eldroado,Eldorado
564.schoolsite,FRONTIER ES                   ***,FRONTIER ES                   
1517.city,wSink,Swink
541.statevalue,KO,OK
1018.codistcode,64e-C015,64-C015
754.principal,Ktahy Kadavy,Kathy Kadavy
38.city,Alav,Alva
451.telephone,(045) 340-2965,(405) 340-2965
389.principal,Jeflf Jennings,Jeff Jennings
577.principalemail,hselcer@geronimo.k12.ok.rus,hselcer@geronimo.k12.ok.us
833.schoolsite,LONE WOjLF HS                  ,LONE WOLF HS                  
496.statevalue,K,OK
13.principal,Mark Lpipe,Mark Lippe
1049.mailingaddress,1415i Fairlawn Drive,1415 Fairlawn Drive
1679.principal,GartM orris,Gart Morris
291.district,CHOCTA-WNICOMA PARK           ,CHOCTAW-NICOMA PARK           
974.county,OMKULGEE    ,OKMULGEE    
1305.district,PRAGUE                       ,PRAGUE                        
728.codistcode,55-I009***,55-I009
1091.telephone,(405)6 00-7038,(405) 600-7038
1596.schoolsite,PARK ES       h                ,PARK ES                       
1331.telephone,(405) 8421-491,(405) 842-1491
182.principalemail,wkinzer@baschools.org,kwkinzer@baschools.org
220.county,CANADIAN    ***,CANADIAN    
1811.mailingaddress,PO Boxr 700,PO Box 700
591.statevalue,K,OK
920.telephone,(405)k 739-1771,(405) 739-1771
1121.mailingaddress,2525 Northwst 112th St,2525 Northwest 112th St
1813.codistcode,60I103,60-I103
793.telephone,(580) 3556197,(580) 355-6197
962.codistcode,14I-002,14-I002
132.district,BLACHARD                     ,BLANCHARD                     
388.district,DAVIS                        ,DAVIS                         
591.district,GRAHAM-DUSTIN                 ***,GRAHAM-DUSTIN                 
389.city,Daivs,Davis
265.telephone,(580) 59h7-3347,(580) 597-3347
334.principal,Alrin Stacy,Arlin Stacy
622.city,Gumyon,Guymon
1274.district,PITTSBURG           d          ,PITTSBURG                     
694.principalemail,tmorphis@hlulbertriders.com,tmorphis@hulbertriders.com
1241.gradeslowhigh,0-912,09-12
427.county,JACKSON    ,JACKSON     
1462.statevalue,KO,OK
1534.city,ecumseh,Tecumseh
1351.codistcode,5-8I014,58-I014
354.county,WAGONrER     ,WAGONER     
1367.schoolsite,RIPLEY ES          u           ,RIPLEY ES                     
1431.principalemail,barr.ybulman@sequoyaheagles.net,barry.bulman@sequoyaheagles.net
805.gradeslowhigh,K-08,PK-08
1786.principal,Gary S .Labeth,Gary S. Labeth
1094.city,Ock,Okc
1818.principalemail,ron.brummett@uykonps.com,ron.brummett@yukonps.com
502.codistcode,24-jI057,24-I057
1368.codistcode,60-I030,60-I003
1225.statevalue,OsK,OK
611.schoolsite,COTTERAL ES              n     ,COTTERAL ES                   
752.principalemail,bshelleykildare.k12.ok.us,bshelley@kildare.k12.ok.us
1584.district,TULS A                        ,TULSA                         
741.telephone,(918) 7829543,(918) 782-9543
871.schoolsite,EMERSONES                    ,EMERSON ES                    
290.principal,Misti Tey,Misti Tye
1587.principalemail,grffsc@tulsaschools.org,griffsc@tulsaschools.org
1395.telephone,918) 246-1462,(918) 246-1462
1443.statevalue,OxK,OK
600.schoolsite,GRANITE ES                   ,GRANITE ES                    
835.gradeslowhigh,,-
922.gradeslowhigh,i06-08,06-08
815.district,LINDSAY                       ***,LINDSAY                       
698.principal,Jeermy Bussey,Jeremy Bussey
657.district,HEAVENER                     ,HEAVENER                      
197.county,LATIMER p    ,LATIMER     
1694.principalemail,ddavidson@verdnschools.org,ddavidson@verdenschools.org
1729.mailingaddress,"Rural Rote 2, Box 1","Rural Route 2, Box 1"
1219.principalemail,mfink@osageelemenatary.com,mfink@osageelementary.com
340.principalemail,sdunham@comnche.k12.ok.us,sdunham@comanche.k12.ok.us
1411.county,CREEzK       ,CREEK       
454.city,Edpmond,Edmond
67.principalemail,aajmes@asteccharterschools.com,ajames@asteccharterschools.com
1240.district,APOLI                         ,PAOLI                         
1396.gradeslowhigh,PK-5,PK-05
242.principalemail,gbrgown@cavesprings.k12.ok.us,gbrown@cavesprings.k12.ok.us
111.gradeslowhigh,0v9-12,09-12
642.principalemail,bkins@hartshorne.k12.ok.us,bakins@hartshorne.k12.ok.us
951.principalemail,kahtymassey@mooreschools.com,kathymassey@mooreschools.com
1584.telephone,(918) 833z-9480,(918) 833-9480
402.statevalue,KO,OK
1570.city,Tumlsa,Tulsa
1110.mailingaddress,27r25 Northwest 23rd St,2725 Northwest 23rd St
297.city,Chouteu,Chouteau
696.city,Hlubert,Hulbert
1255.codistcode,11-tC031,11-C031
1286.schoolsite,UNION ES                     ,UNION ES                      
1585.district,TULSA                         ***,TULSA                         
798.principal,Eddie Willilams,Eddie Williams
723.gradeslowhigh,09-1y2,09-12
707.district,INDIANOLA                    ,INDIANOLA                     
1569.statevalue,KO,OK
1699.gradeslowhigh,P-K05,PK-05
687.district,HOOKER                       ,HOOKER                        
1571.mailingaddress,1442 East 36thn St,1442 East 36th St
484.codistcode,16-016,16-I016
1260.gradeslowhigh,PkK-06,PK-06
711.principalemail,kkellyk12.com,kkelly@k12.com
1402.schoolsite,SATA FE SOUTH ES (CHARTER)   ,SANTA FE SOUTH ES (CHARTER)   
800.city,awton,Lawton
1752.principalemail,rjohnson@weleetka.k12.o.kus,rjohnson@weleetka.k12.ok.us
1370.gradeslowhigh,PK0-8,PK-08
334.codistcode,72-Iu006,72-I006
633.mailingaddress,O Box 10,PO Box 10
463.principal,Jessele Miluler,Jessele Miller
224.principalemail,jobrego@cameronps.org,jobregon@cameronps.org
1151.mailingaddress,8900 Northeast 50th tS,8900 Northeast 50th St
287.principal,Cwhristiine Floyd,Christiine Floyd
1035.district,NOBLE                     n    ,NOBLE                         
1181.mailingaddress,5401 South Shields Bldv,5401 South Shields Blvd
877.codistcode,61-I800,61-I080
143.principalemail,tvail@apache.k1n2.ok.us,tvail@apache.k12.ok.us
1220.codistcode,75-C003,57-C003
219.principalemail,hoodc@chs.k12.k.us,hoodc@chs.k12.ok.us
166.codistcode,7w2-I003,72-I003
1803.mailingaddress,PO Biox 329,PO Box 329
1073.gradeslowhigh,PK-o08,PK-08
242.principal,Heath Selceir,Heath Selcer
313.telephone,(91a8) 358-2210,(918) 358-2210
1340.district,PUTNAM CITY    v               ,PUTNAM CITY                   
1786.schoolsite,WILSONe HS                     ,WILSON HS                     
490.city,Elkk City,Elk City
1062.district,NORMAN                 e       ,NORMAN                        
171.gradeslowhigh,KG-5,KG-05
1044.telephone,(w405) 366-5889,(405) 366-5889
1009.schoolsite,MUSTANGx CREEK ES              ,MUSTANG CREEK ES              
666.telephone,(918) 6a83-0763,(918) 683-0763
599.schoolsite,GRAyNDVIEW PUBLIC SCHOOL       ,GRANDVIEW PUBLIC SCHOOL       
1283.telephone,(918) 346-2042,(918) 436-2042
783.statevalue,KO,OK
1787.schoolsite,WILSON ES                    ,WILSON ES                     
242.codistcode,37-bI089,37-I089
389.county,MURRYA      ,MURRAY      
104.principalemail,thaws@bps.k12.ok.s,thaws@bps.k12.ok.us
78.mailingaddress,POw Box 629,PO Box 629
1176.county,OKLAHOMuA    ,OKLAHOMA    
1265.mailingaddress,10000 Werst Memorial Road,10000 West Memorial Road
878.telephone,(918) 43-4776,(918) 423-4776
1665.district,UNION              w           ,UNION                         
717.city,Jenxks,Jenks
180.gradeslowhigh,KG-0n5,KG-05
1465.schoolsite,SOUTH COFFEYVILLEj ES          ,SOUTH COFFEYVILLE ES          
560.city,Fredeom,Freedom
1393.codistcode,72s-I002,72-I002
1252.schoolsite,PAWNEE HS                    ,PAWNEE HS                     
956.principalemail,tsephaniegunter@mooreschools.com,stephaniegunter@mooreschools.com
1124.statevalue,OsK,OK
1269.schoolsite,PIEDMONT HS                  ,PIEDMONT HS                   
506.principal,Kay Knier,Kay Kiner
993.schoolsite,CHEROKEE E                   ,CHEROKEE ES                   
676.principalemail,markturzner@holdenville.k12.ok.us,markturner@holdenville.k12.ok.us
474.city,l Reno,El Reno
1272.gradeslowhigh,07-0b8,07-08
569.city,Gns,Gans
1462.codistcode,38n-I004,38-I004
443.county,MCCURATIN   ,MCCURTAIN   
1554.gradeslowhigh,0-08,06-08
563.statevalue,K,OK
730.city,laremore,Claremore
1052.principal,Kellxy Otis,Kelly Otis
832.district,LONE WOLF                     ***,LONE WOLF                     
1234.statevalue,ObK,OK
794.mailingaddress,1115 NorthwestL aird Ave,1115 Northwest Laird Ave
1067.gradeslowhigh,PsK-05,PK-05
627.county,CREEK      ,CREEK       
1496.statevalue,KO,OK
899.county,GRADY  y     ,GRADY       
1527.codistcode,22I-010,22-I010
470.city,Eddmond,Edmond
592.district,GRHAM-DUSTIN                 ,GRAHAM-DUSTIN                 
1492.principal,Mark ea,Mark Lea
1243.county,ARVIN      ,GARVIN      
283.principal,Steven Coch,Steven Couch
540.district,FORT COBB-BROXTON        o     ,FORT COBB-BROXTON             
83.telephone,(918)i 333-8000,(918) 333-8000
375.telephone,(918 )225-6622,(918) 225-6622
1723.gradeslowhigh,PK-e05,PK-05
1228.gradeslowhigh,hPK-05,PK-05
336.telephone,918) 371-2541,(918) 371-2541
22.gradeslowhigh,lPK-08,PK-08
481.statevalue,KO,OK
832.principalemail,chhall.lwps@gmail.com,chall.lwps@gmail.com
1782.district,WILBRTON                     ,WILBURTON                     
1637.mailingaddress,105 E 63rd S North,105 E 63rd St North
18.county,LINCaOLN     ,LINCOLN     
793.principalemail,rweber@awtonps.org,rweber@lawtonps.org
1200.mailingaddress,"Rural Route ,1 Box 377-7","Rural Route 1, Box 377-7"
206.principalemail,jhancock@bygnschools.com,jhancock@byngschools.com
1730.gradeslowhigh,g09-12,09-12
491.gradeslowhigh,10-1a2,10-12
362.telephone,(45) 969-2227,(405) 969-2227
1427.statevalue,OqK,OK
907.schoolsite,EPPERLY HEIGHTS ES           ,EPPERLY HEIGHTS ES            
1785.gradeslowhigh,PK-x08,PK-08
1535.schoolsite,TEMPLgE ES                     ,TEMPLE ES                     
1469.district,SPRERY                        ,SPERRY                        
847.schoolsite,MAsNGUM MS                     ,MANGUM MS                     
1414.statevalue,KO,OK
904.mailingaddress,3301 Sunvalley Driev,3301 Sunvalley Drive
791.principal,Brenad Breeze,Brenda Breeze
653.principalemail,dcantwlel@healdtonschools.org,dcantwell@healdtonschools.org
313.gradeslowhigh,03-50,03-05
1136.principal,Kim rIaggi,Kim Iraggi
896.principal,Ken Iverson,Keni Iverson
954.county,LEVELAND   ,CLEVELAND   
1086.statevalue,KO,OK
251.county,ADAIR     d  ,ADAIR       
1202.schoolsite,OKLA. VIRTUAL CHARTER ACADMS ,OKLA. VIRTUAL CHARTER ACAD MS 
971.principal,Mickey Greogry,Mickey Gregory
1785.codistcode,10-iI043,10-I043
1323.statevalue,KO,OK
339.gradeslowhigh,06-8,06-08
431.statevalue,K,OK
1328.statevalue,K,OK
578.gradeslowhigh,KP-08,PK-08
1359.city,uRed Oak,Red Oak
1239.city,Panmola,Panola
1750.city,Welhc,Welch
910.telephone,(405) 739-167m1,(405) 739-1671
1034.county,RADY       ,GRADY       
921.gradeslowhigh,0-608,06-08
1759.gradeslowhigh,PK-4,PK-04
1379.gradeslowhigh,PKa-05,PK-05
75.schoolsite,BANNER PULIC SCHOOL          ,BANNER PUBLIC SCHOOL          
907.codistcode,55-I05n2,55-I052
50.principalemail,wneyman@antlers.hk12.ok.us,wneyman@antlers.k12.ok.us
1028.codistcode,36-1I25,36-I125
24.schoolsite,ALLEN E                      ,ALLEN ES                      
233.codistcode,06-hI105,06-I105
1188.district,OKLAHMOA CITY                 ,OKLAHOMA CITY                 
1157.city,Oklahoma Ctiy,Oklahoma City
39.telephone,(580) 327-6382,(580) 327-3682
39.district,LVA                          ,ALVA                          
958.city,bMoore,Moore
1798.principalemail,burnett@woodwadps.net,burnett@woodwardps.net
119.telephone,(918) 3662669,(918) 366-2669
819.city,Noran,Norman
1374.county,PONTOTO C   ,PONTOTOC    
1749.gradeslowhigh,06-80,06-08
188.district,BROKEN ARROW v                 ,BROKEN ARROW                  
426.principalemail,jmatthesd@rumright.k12.ok.us,jmatthes@drumright.k12.ok.us
1667.schoolsite,CLARK ES                     ,CLARK ES                      
1429.statevalue,fOK,OK
1600.district,TULSA                         ***,TULSA                         
176.statevalue,OnK,OK
731.statevalue,OaK,OK
1681.telephone,(40)5 483-5327,(405) 483-5327
1621.mailingaddress,7502 Eas 57th St,7502 East 57th St
1396.principal,Karenv Biggs,Karen Biggs
22.county,MArJOR       ,MAJOR       
1554.county,KAY        ,KAY         
225.codistcode,61-0I02,61-I002
418.county,TULSA  s     ,TULSA       
767.gradeslowhigh,hPK-08,PK-08
966.principalemail,tammybakerm@ooreschools.com,tammybaker@mooreschools.com
1705.telephone,(918) 256-53p50,(918) 256-5350
1260.statevalue,bOK,OK
1210.schoolsite,OLIVE ES                     ,OLIVE ES                      
1805.principalemail,ssloan@wyandotte.k12.o.kus,ssloan@wyandotte.k12.ok.us
1300.principalemail,bpearce@pourm.k12.ok.us,bpearce@porum.k12.ok.us
1778.city,Whitefiled,Whitefield
1621.county,TULSA       ***,TULSA       
801.district,LAWTON                       ,LAWTON                        
156.principal,Kennteh Ward,Kenneth Ward
389.telephone,(g580) 369-5565,(580) 369-5565
325.gradeslowhigh,PK-30,PK-03
1144.district,OKLAHOMA CITY                 ***,OKLAHOMA CITY                 
1199.city,South Coffevyille,South Coffeyville
45.district,ANADARKO               e       ,ANADARKO                      
34.district,ALTUS                         ***,ALTUS                         
830.principal,Chris jSudderth,Chris Sudderth
681.codistcode,48C-072,48-C072
1670.mailingaddress,8506 E. l61 St,8506 E. 61 St
1715.principalemail,lkgraham@waltersp.sorg,lkgraham@waltersps.org
896.district,MIAMI                         ***,MIAMI                         
512.district,ENID                         ,ENID                          
313.district,CLEVELAND                    ,CLEVELAND                     
61.codistcode,40-I09g1,40-I091
738.county,DEAWARE    ,DELAWARE    
827.gradeslowhigh,30-05,03-05
