OBJECTID,GlobalID,VRM_ID,LUP_ID,LUP_NM,VRM_CLASS,DSGNTN_SRCE,DSGNTN_RSN,ADMIN_ST,ADM_UNIT_CD,COORD_SRC_TYPE,COORD_SRC2,GIS_ACRES,AZ_DSTRBTE_EXTRNL_CODE,Shape__Area,Shape__Length
15,{B4288C29-89D1-4872-BFC1-E5EC912072D5}, , , ,II , , ,AZ,AZA01000,UNK,,8234.74832069,,33324844.1284163,53928.646757891
16,{62AAA013-93F7-4A57-B220-8662616AB4B8}, , , ,III , , ,AZ,AZA01000,UNK,,180.79362834,,731645.855974665,8021.13261691037
17,{71EF1ABE-39FC-4F01-BC73-74D6E3367AA2}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,1267.94000333,,5131171.14567456,12876.0610083034
18,{525050B0-A358-416E-AB93-B0C4AA953795}, , , ,III , , ,AZ,AZA01000,UNK,,42049.30633571,,170167505.402129,168988.959308814
19,{D054E7CC-CBDE-4E83-B8F8-3EB17A30ED30}, , , ,II , , ,AZ,AZA01000,UNK,,28267.67629912,,114395227.377433,176533.254923724
20,{BCFA51F4-4739-4148-A0F7-98D08CF97E19}, , , ,III , , ,AZ,AZA01000,UNK,,15094.53859406,,61085430.4525505,43756.2387480396
21,{1B7AA720-9D6F-4FD1-9A76-1E5DE612161E}, , , ,III , , ,AZ,AZA01000,UNK,,75379.64850525,,305050614.671735,182015.836949832
22,{7A02E782-3E98-4283-8480-D6C7CA80A7A3}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,1172.58498267,,4745283.06793904,40178.3721167274
23,{C54298E1-B4D7-45B5-AA34-79D5585EC459}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,241.18479226,,976040.22554307,4034.7123098422
24,{E0EABCCA-E4D9-41AA-B34C-1E6F1C80D26D}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,I , , ,AZ,AZA01000,UNK,,6298.50204876,,25489133.467522,27094.9542257586
25,{191D9BEA-BEA0-4227-A6B2-798D7C297B68}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,I , , ,AZ,AZA01000,UNK,,3552.99194436,,14378448.2687629,24317.4439527559
26,{B70F8570-D589-4C0A-88EE-75BD7AC98863}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,I , , ,AZ,AZA01000,UNK,,3021.80004495,,12228790.9191121,24437.8676033252
27,{46B2E31F-E281-4296-ACD4-883C092E88DF}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,IV , , ,AZ,AZA01000,UNK,,791.03821625,,3201218.08577522,11915.9177074971
28,{970F1F7F-59AF-4801-A904-23EE77E690B4}, , , ,III , , ,AZ,AZA01000,UNK,,24715.94721705,,100021889.73103,150244.321857679
29,{469940B5-A6F9-447E-9554-279F75F7B109}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,3003.65355571,,12155354.6826048,29667.0089079976
30,{DEE23D35-845A-48C7-952F-CDCE4E3C50D6}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,593.3418481,,2401169.26867334,12874.5538024929
31,{DC07F124-A884-40ED-9D56-DCD6F21D3832}, , , ,III , , ,AZ,AZA01000,UNK,,37509.69891511,,151796365.956882,108338.142082179
32,{3C26B0F9-15EC-44C9-AF24-EB0A66EE6C5C}, , , ,II , , ,AZ,AZA01000,UNK,,3444.29234849,,13938556.6111061,21571.2124101484
33,{F6EB4AAC-B462-4DC5-B145-F9172C5897DC}, , , ,II , , ,AZ,AZA01000,UNK,,23581.71110507,,95431799.0367249,43701.5403230814
34,{D6D8A0E0-3C28-4200-AF5D-B99577CAFBBC}, ,LUP-AZ-007,Grand Canyon-Parashant National Monument Resource Management Plan,II , , ,AZ,AZA03000,UNK,,25591.0570173,,103563333.446447,111842.606043728
35,{CC4E0159-4C62-436D-BD2A-66BAC7814870}, , , ,IV , , ,AZ,AZA01000,UNK,,13443.71184967,,54404771.6397331,71572.4013182469
36,{2C9EC42E-7B58-4832-A1F6-DD81253CA170}, , , ,III , , ,AZ,AZA01000,UNK,,11427.09631596,,46243818.1156264,36784.6726138007
37,{B8158E32-4469-4290-8B9C-5A1BD0CEFFE4}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,IV , , ,AZ,AZA01000,UNK,,43.45502846,,175856.26100023,1511.43919325325
38,{7B6DC375-9CFB-4545-9466-549BADCEDE57}, , , ,II , , ,AZ,AZA01000,UNK,,14077.14610071,,56968189.1067261,138217.497498401
39,{635894B1-1DB3-47F5-ACE7-8F63F11D19F8}, ,LUP-AZ-008,Vermilion Cliffs National Monument Resource Management Plan,I , , ,AZ,AZA01000,UNK,,10269.23288647,,41558111.0597212,31930.5988371145
40,{430573AA-08E3-4443-9051-A14ACE00A0BB}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,0.08063203,,326.30623025,87.101153496631
41,{63E87393-31FC-49BF-8F2D-16FA4BB58594}, ,LUP-AZ-008,Vermilion Cliffs National Monument Resource Management Plan,II , , ,AZ,AZA01000,UNK,,186573.47256978,,755036055.718464,198089.466286535
42,{8273BF28-5DBA-45D7-A0DE-F1E63FC91042}, ,LUP-AZ-008,Vermilion Cliffs National Monument Resource Management Plan,I , , ,AZ,AZA01000,UNK,,79556.55539413,,321953957.140748,218567.716492056
43,{F26F081D-705F-4D78-8779-A0C9F6488930}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,10.46427106,,42347.402563245,1300.15174486977
44,{F9D7A9D7-1EC9-41F0-AC11-3EEBDD3C9D55}, ,LUP-AZ-008,Vermilion Cliffs National Monument Resource Management Plan,II , , ,AZ,AZA01000,UNK,,17009.24336395,,68833965.7475847,65883.1425579502
45,{700E0D23-8741-4A2D-BABF-89B1D77FDF70}, , , ,III , , ,AZ,AZA01000,UNK,,14.02779319,,56768.46494729,1445.43137333549
46,{2DA2AF92-AE15-412C-AD25-326C41C553CC}, , , ,IV , , ,AZ,AZA01000,UNK,,5720.41379742,,23149693.3148933,33903.4778125573
47,{4E002E5A-E45B-429D-A487-D98AD7736924}, , , ,III , , ,AZ,AZA01000,UNK,,2097.50824359,,8488314.70662505,23301.4601867215
48,{235C7463-275A-444F-8870-D022D6A36566}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,I , , ,AZ,AZA01000,UNK,,52487.12197679,,212407846.665085,94733.3092001172
49,{77C6D013-B404-4A42-B454-D7B216023523}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,21.33038262,,86320.99588387,2605.2582653304
50,{DA4490BC-74E8-4A34-9092-F21A13EDE2E5}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,2.37413551,,9607.785535855,576.327573236995
51,{2B21F721-2D3B-4E4A-9ABA-0B54DB3C7528}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,3.63995182,,14730.36240451,571.547470294184
52,{C87A24E3-26A6-4571-A389-D109F0A84221}, , , ,III , , ,AZ,AZA01000,UNK,,2837.4321078,,11482680.3485874,21197.6218142805
53,{D5D2A3AE-3342-4686-9D64-2C74B616366A}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,6783.97599849,,27453776.8388956,29386.701269726
54,{80D89F2E-AB92-4FFD-A096-E19B8FD50D28}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,1.34088027,,5426.349939335,526.669152764546
55,{27A53959-7AA1-4BFA-A251-424C16F19CFC}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,0.87128018,,3525.9457872,366.924481674403
56,{C5A44BEE-4B06-4EBE-98BD-C9D31C75CA22}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,12.86721388,,52071.767123315,1687.82865433953
57,{CAB41BF9-D921-4086-AA4A-7A9514C4275A}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,5778.51443659,,23384818.259665,59352.3575140298
58,{E7D9A977-A7C4-4B87-9E01-5EF538C17A75}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,3852.75684884,,15591553.7976694,19506.3874058769
59,{F5C24C39-CEBF-4968-B0FA-AD4E36BF54B9}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,4.9386237,,19985.901057725,964.72707915013
60,{6C9507DC-8759-4C3D-A204-1ADE1916B5F5}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,2.83120105,,11457.464151125,643.110744997864
61,{97D96C87-6EDA-468C-9BFA-054DA1C07863}, ,LUP-AZ-007,Grand Canyon-Parashant National Monument Resource Management Plan,III , , ,AZ,AZA03000,UNK,,460965.48131649,,1865461118.57037,537887.499655207
62,{3189D30B-B30D-45CA-B772-CE04E0E948E9}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,80.57044148,,326057.00856616,6009.60071255005
63,{EDF0B9F4-1B35-47D7-9BB1-D30A56442590}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,IV , , ,AZ,AZA01000,UNK,,3103.91371872,,12561093.1671735,17071.8542324785
64,{69891B34-F5BD-4671-82E3-275634F6E603}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,8.61222558,,34852.44038859,1622.01363204912
65,{DCD4FA5D-0B6C-4EF4-BFFA-40B76ADAB6CD}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,40.47259208,,163786.76920951,2961.09577448185
66,{D4640D6D-0F0F-4545-BC4A-C5ABA2F2B350}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,4954.30536225,,20049362.473764,54610.8669323338
67,{2C8277D9-18AB-4D7A-B72F-2FD228425E6F}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,319.70400072,,1293796.18856769,4826.45777262422
68,{FD235BAC-5B45-4F7E-A92D-A935B99D40E5}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,32.01877119,,129575.369845405,2500.11208587898
69,{4D0DC358-8205-464B-A101-E1BC909DB13A}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,2757.09938949,,11157585.3715562,15696.4036070152
70,{E63825D7-1F1C-4072-8CCC-45449BD3799C}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,66.01081437,,267136.28808073,7677.15354127137
71,{772A7877-2025-41FA-A911-77E218FB6422}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,6089.02152874,,24641395.8797029,37810.9393643462
72,{B1A7AC98-4A24-4FEA-91DB-168A24CD29ED}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,4.19622429,,16981.51720217,892.748715954695
73,{54953506-137E-48C6-A3ED-4C886DA0E46A}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,IV , , ,AZ,AZA01000,UNK,,9.56415689,,38704.76975046,720.937627450763
74,{96BD1B26-DB8B-4CFF-9FE8-F19FDD3EBAA7}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,331.7629258,,1342596.92696926,7830.07537438292
75,{FC97CB15-5ADF-4C15-9ABF-AF9DE5A5C51B}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,22.44350594,,90825.646159885,2490.21622892322
76,{DF105CCD-CD21-4D02-A5A5-2FFDD3464B8C}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,2333.57878528,,9443658.29438759,18887.3115319821
77,{074A6138-5061-4E99-B192-A1D11B57286D}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,13616.42203377,,55103704.9574744,73310.7909974272
78,{72B15565-1C22-461E-B98C-85250117F478}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,137714.20069042,,557309597.519687,231188.706080903
79,{94503E9C-58A6-42B0-BD35-B1F191D37977}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,IV , , ,AZ,AZA01000,UNK,,76.21816158,,308443.956707415,2058.91582068346
80,{E1D4E325-F3AD-41AE-A20C-F2BBF6906F4B}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,156.7903279,,634507.94542725,3498.9509628569
81,{7DA004D4-AF4D-49DC-BE8B-CED50B538F8C}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,225.82960896,,913900.00340361,4315.92166941999
82,{9EFADC51-4CA7-4F56-AC6A-D8ADC6DA001C}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,2361.01146677,,9554674.41765557,36208.6906299188
83,{2E39FDFF-9254-43A5-BC20-6C3FB7BF0457}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,89.24918656,,361178.643806975,8958.92080499683
84,{5C1B0637-6A9D-49EB-8DCF-53A6BB450306}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,8543.53072955,,34574442.2028563,96041.8636237965
85,{C5088C80-3333-4266-B547-E96FDA082837}, , , ,III , , ,AZ,AZA01000,UNK,,25.14593526,,101761.989593265,1471.23975469329
86,{E98E01B6-B491-4B69-BEF4-F34D889D7F07}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,73.31839159,,296709.003869095,4895.86222009676
87,{7B0E0198-79F3-4923-93E0-B856C025798D}, , , ,II , , ,AZ,AZA01000,UNK,,138.93090018,,562233.405655735,2914.21868795469
88,{0CC62B01-D197-4918-B27E-1142A740F934}, , , ,II , , ,AZ,AZA01000,UNK,,29139.67600804,,117924084.999787,295587.217032273
89,{9E342618-9B9A-42D4-A8E1-30C89314E2F8}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,30.86634639,,124911.672111005,1394.64815330971
90,{C1BC696C-561D-4BDF-B22B-C9379939A6FE}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,2332.7548801,,9440324.06840788,15178.7071587586
91,{CDC87E3C-F70E-4438-9906-350FFCEB5526}, , , ,III , , ,AZ,AZA01000,UNK,,2.95951629,,11976.737503225,529.220668981905
92,{3723C59F-FE36-4DFE-A420-241C34494942}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,455.18144391,,1842053.94966119,6357.21681827514
93,{3D6B8065-4CF0-4643-89F8-E9DE09AE3EA2}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,45.8173465,,185416.222949,1980.70312874459
94,{B3397A96-BF69-4FAE-9098-A6B423211B22}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,275986.27902469,,1116876845.76534,232168.912429911
95,{C454D310-7AD3-4D38-9FB4-ED88DF8926F5}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,22.00851088,,89065.28361983,1385.95909066219
96,{0B13CBD0-9F42-42B0-9229-327FD9467BE1}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,197.86781482,,800742.637182555,4494.61167467879
97,{CCFC19A2-8E4D-4470-8278-005E7D154777}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,48.95041814,,198095.314016,2924.80327107619
98,{050DFD5B-73E3-46ED-9C94-823FC7C81A54}, , , ,III , , ,AZ,AZA01000,UNK,,0.96716351,,3913.971872025,447.784079938898
99,{3A14FA16-ABF7-4C81-8F04-29D2668D0505}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,968.48326438,,3919312.71844681,8994.61660335381
100,{CF4161A5-0530-4A8A-BA3E-81551BB4C6EA}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,4.62420822,,18713.50671523,916.219069516344
101,{64C34882-87D5-45BC-83FE-C272F4C27268}, ,LUP-AZ-007,Grand Canyon-Parashant National Monument Resource Management Plan,II , , ,AZ,AZA03000,UNK,,51853.20260094,,209842465.967615,116555.762166582
102,{A7C0890B-FA14-461E-9BCB-B5FF70234D68}, ,LUP-AZ-007,Grand Canyon-Parashant National Monument Resource Management Plan,III , , ,AZ,AZA03000,UNK,,4019.57404218,,16266639.0279145,64583.9049655643
103,{B1A16469-929B-4F5B-A6EA-C692D1B22AD0}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,1761.8600357,,7129994.60085156,10914.2479243544
104,{202CECD2-1D90-4243-B285-537D06EFA073}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,10.09060611,,40835.234146825,907.819735193715
105,{E0D3428E-A7CF-4DFF-AF6C-68E574E2CB36}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,0.78080445,,3159.803504465,315.965617490667
106,{2BA5811A-326A-43F7-826F-EC5842DD7932}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,913.5546259,,3697024.40503291,13030.7924263304
107,{EF569CFD-5DB2-45F6-89E4-56272AF0997F}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,0.53689046,,2172.718618665,226.9221388337
108,{B06A330B-734C-43F6-982D-6A95B6BBF2FD}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,159.82841756,,646802.658077695,3217.11814949091
109,{8FC1FF28-DF05-4E95-A054-5403547711F7}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,IV , , ,AZ,AZA01000,UNK,,130.45358071,,527926.910910875,3119.37890443891
110,{6134ECDD-4B60-4C1D-BA5A-3B9CB572E935}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,55.92924226,,226337.61322193,2239.35136237288
111,{90FFA730-4F1C-4C4F-9495-6B5F64223D42}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,165.72238297,,670654.689857485,6333.53369264247
112,{A39B41B7-58B3-4FC7-8CD9-E6DD4CD57A4D}, ,LUP-AZ-008,Vermilion Cliffs RMP,IV , , ,AZ,AZA01000,UNK,,4.46374057,,18064.117192885,516.972755566239
113,{2F05EDC3-DD04-4C9A-A702-1ECC277F18A2}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,IV , , ,AZ,AZA01000,UNK,,3.88589013,,15725.639432895,484.945052716421
114,{F1B2A4D7-9813-47CC-82BC-A3585B764940}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,IV , , ,AZ,AZA01000,UNK,,9.79215754,,39627.45563124,763.012179190921
115,{C57BC889-F857-45A1-A831-A87E478BE7DC}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,2908.8470092,,11771686.200977,33245.9448062199
116,{CF8E96D8-37FF-4A21-9CCE-F6AA5C08D02E}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,IV , , ,AZ,AZA01000,UNK,,52.78436999,,213610.7667007,1799.08427358728
117,{FDF33AE3-0911-43BE-8884-CF5A0674F70D}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,90.6529616,,366859.519858075,3715.1295433336
118,{9415ABC9-7AE1-458D-9CC0-F79408F8B543}, , , ,II , , ,AZ,AZA01000,UNK,,373.03316181,,1509611.64664981,7032.40420293357
119,{68006FC9-5CA7-44F5-BC88-5F50141A07F2}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,658.00201892,,2662839.69620141,8923.46491732957
120,{A6ABF488-70F2-4C65-A994-EDA7F1B37F22}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,1451.20723555,,5872827.32141231,12386.6243494614
121,{9F44F4A0-2DBF-4A8B-996B-0CD139744D39}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,204.54638351,,827769.845803845,6172.36843033766
122,{80514109-481B-4804-AF58-8DF3A45478A1}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,26.46888726,,107115.786405605,1371.32946821346
123,{5A22CAD6-16E1-4014-A141-4CB3F4C5273F}, ,LUP-AZ-007,Grand Canyon-Parashant National Monument Resource Management Plan,I , , ,AZ,AZA03000,UNK,,35262.80479515,,142703508.057085,94100.8832622942
124,{F08EBFE6-D735-47A0-B9D8-DF8FF32C459D}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,IV , , ,AZ,AZA01000,UNK,,46.97822311,,190114.12388941,1757.27619720668
125,{168E33DA-E1C5-467C-B0C1-55982CBDCA4F}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,22.30533727,,90266.497379855,1593.80281516512
126,{387A9539-A7F3-4E77-B2C3-E952E9BC066D}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,11.11140172,,44966.24741345,1110.11661536749
127,{0E282723-EC1A-4C34-BC61-5F16F9FA22F6}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,0.243937,,987.17799629,168.72677270528
128,{55FD9A8D-218C-48CF-A3EC-C5C53FFA822D}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,13.27993413,,53741.986733205,1364.22435560416
129,{96817D78-C6AE-4DE8-B2A8-43221AF764D7}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,0.68604329,,2776.31869683,318.276984699777
130,{86765FAE-E1D2-4B31-87DF-1932E4201963}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,12170.63519991,,49252813.2234548,177349.117985817
131,{229FFCE1-B3B8-4EFC-9DD9-7F9E77A89F04}, , , ,III , , ,AZ,AZA01000,UNK,,10.26252923,,41530.982343405,1244.55407889162
132,{0951517B-006C-49E8-9D14-1A6C32714DD1}, , , ,II , , ,AZ,AZA01000,UNK,,61208.4753861,,247701911.721541,159448.392044615
133,{6A0655AF-6220-496C-97AE-2E2FCBBEA5DC}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,1.71455863,,6938.572606905,360.963106326004
134,{91CC5488-D61E-4F55-9286-CA28E91BF486}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,1073.29958515,,4343489.31933556,12828.229304488
135,{B2F04315-93FF-490D-B641-B538BDEF2D00}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,9310.01111342,,37676278.2669643,55639.3864315147
136,{AAC74C63-62CA-40BC-9647-721029D0312C}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,24.14339288,,97704.84452232,1753.67225254062
137,{14CF0745-8512-4A4E-AA36-936E55DC8AFD}, , , ,III , , ,AZ,AZA01000,UNK,,268058.57543842,,1084794567.59237,454989.427129876
