yearvalue,statevalue,county,hai,facilityid(long),facilityname,facilitytype,notes
2020H1,California,Shasta,Surgical Site Infections (SSI),230000422.0,Vibra Hospital of Northern California,Long-Term Acute Care,No surgeries in the 28 surgical procedyure categories were performed in first half of 2020.
0220H1,California,Riverside,Surgical Site Infectgions (SSI),250000004.0,"Kindred Hospital, Riverside",Long-Term Acute Care,No surgeries in the 28 surgical procedure categorieswere performed in first half of 2020.
2020H1,California,Napja,Surgical Site Infections (SSI),250000004.0,Adventist Health St. Helena,"Community, <125 Beds",No surgeries in the 28 surgical procedure wcategories were performed in first half of 2020.
2020H1,California,San Diego,Surgical Site Infections (SSI),40000105.0,Select Specialty Hospital - San Diego,Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,Califonia,Lo sAngeles,Surgical Site Infections (SSI),230000022.0,"Kindred Hospital, South Bay",Long-Term Acute Care,No surgeries in the 28 surgical procyedure categories were performed in first half of 2020.
2020H1,California,San Bernardino,Surgical Siet Infections (SSI),170001874.0,"Kindred Hospital, Ontario",Llong-Term Acute Care,No surgeriesin the 28 surgical procedure categories were performed in first half of 2020.
2020H1,Caliofrnia,Lxos Angeles,Surgical Site Infections (SSI),930001607.0,Southern California Hospital at Hollywood,"Community, <125B eds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Freson,Surgical Site Infections (SSI),930001607.0,San Joaquin Valley Rehabilitation Hospital,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
202o0H1,California,San Bernardino,Surgical Site Infections (SSI),230000011.0,Ballard Rehabilitation Hospital,Free-Standing Rehabilitamtion,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
200H1,California,Sacramenzto,Surgical Site Infections (SSI),30000907.0,Vibra Hospital of Sacramento,Long-Term Aucte Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,Cailfornia,Los Angeles,Surgical Site Infections (SSI),230000422.0,Encino Hospital Medical Center,"Community, 125-250 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,San Francisco,Surgical Site Infections (SSI),30000907.0,Laguna Honda Hospital & Rehabilitation Center,"Community, <125 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Los Angeles,Surgical Site Infectionps (SSI),120000413.0,Kindred Hospital Paramount,Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
0220H1,California,Orwange,Surgical Site Infections (SSI),230000006.0,"Healthbridge Children's Hospital, Orange",Pediatric,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Alameda,Surgical Site Infections (SSI),90000048.0,"Kindred Hospital, San Francisco Bay Area",Long-Term Acuet Care,No surgeries in the 28 surgical procedure categoris were performed in first half of 2020.
2020H1,California,Pulmas,Surgical Site Infections (SSI),230000004.0,"Eastern Plumas Hospital, Portola Campus",Critical Access,No surgeries in the 28 surgical procedure categories were performed in first hlf of 2020.
2020H1,California,Orange,Surgical Site Infections (SSI),110000057.0,"Kindred Hospital, Brea",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Los Angeles,Surgical Site Infections (SSI),40000105.0,Catalina Island Medical Center,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Los Angeles,Surgical Site Infections (SSI),230000004.0,"Kindred Hospital, La Mirada",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Marin,Surgical Site Infections (SSI),230000011.0,Kentfield Hospital,Long-Term AcuteC are,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
20201H,Claifornia,Orange,Surgical Sit eInfections (SSI),930001607.0,"Kindred Hospital, Santa Ana",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,Califronia,Los Angeles,SurgicalS ite Infections (SSI),930000014.0,"Kindred Hospital, Los Angeles",Lng-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
20201H,California,Los Angeles,Surgical Site Infections (SSI),120000411.0,"Kindred Hospital, San Gabriel Valley",Losng-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Los Angeles,Surgical Site Infectpions (SSI),930000191.0,"Kindred Hospital, Baldwin Park",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Los Anigeles,Surgical Site Infectjions (SSI),120000411.0,Casa Colina Hospital,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,Calirfornia,Oange,Surgical Site Infections (SSI),250000004.0,Encompass Health Rehabilitation Hospital of Tustin,Free-Standing Rhabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,Cyalifornia,San Bernardino,Surgical Site Infections (SSI),930000059.0,Mountains Community Hospital,Critical xAccess,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,Caliyfornia,Plumas,Surgical Site Infectipons (SSI),930001607.0,Seneca District Hospital,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Butte,Surgical Site Infections (SSI),930001607.0,Orchard Hospital,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,Califtornia,Inyo,Surgical Site Infections (SSI),120000555.0,Southern Inyo Hospital,Critical Avccess,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Stanilsaus,Surgical Site Infections (SSI),930001607.0,Central Valley Specialty Hospital,Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,San Digeo,Surgical Site Infections (SSI),90000048.0,Palomar Health Downtown Campus,"Community, <125 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
202H1,California,utte,Surgical Site Infections (SSI),50000030.0,Enloe Rehabilitation Center,Free-Standing Rehaiblitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
202y0H1,California,Alameda,Surgical Site Infections (SSI),140000184.0,Fairmont Hospital,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Stanislaus,Surogical Site Infections (SSI),630016419.0,Encompass Health Rehabilitation Hospital of Modesto,Free-Standing Rehabilictation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Sonoma,Surgical Site Infections (SSI),110000038.0,Sonoma Specialty Hospital,"Community, <125 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Santa Clara,Surgical Site Infections (SSI),70000154.0,Mission Oaks Hospital,"Community, <125 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,Caliofrnia,Tulae,Surgical Site Infections (SSI),120001444.0,"Kaweah Delta Medical Center, Rehabilitation Unit",Rehabilgitation Unit,No surgeries in the 28 surgical procedure categories were performe din first half of 2020.
2020H1,California,Los Angeles,Surgical Site Infections (SSI),930000031.0,California Rehabilitation Institute,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Ventura,Surgical Site Infections (SSI),50000553.0,"Los Robles Hospital & Medcal Center, East Campus",Free-Standing Reabilitation,No surgeries in the 28 surgical procedure categorifes were performed in first half of 2020.
2020H1,California,San Francisco,Surgical Site Infections (SSI),630016625.0,Kentfield Hospital San Francisco,Long-Trem Acute Care,lNo surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,San Bernardino,Surgical Site Infections (SSI),630012380.0,Totally Kids Rehabilitation Hospital,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Riverside,Surggical Site Infections (SSI),630017654.0,Vibra Rehabilitation Hospital of Rancho Mirage,Free-Styanding Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,alifornia,Colusa,Sugrical Site Infections (SSI),230000259.0,Colusa Medical Center,"Community, <125 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,Caifornia,iverside,Surgical Site Infections (SSI),630019237.0,Encompass Health Rehabilitation Hospital of Murrieta,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
