907.operativeprocedure,Hinp prosthesis,Hip prosthesis
441.county,Satna Clara,Santa Clara
266.statevalue,alifornia,California
347.facilitytype,"Communit,y >250 Beds","Community, >250 Beds"
554.county,Sooma,Sonoma
191.hospitalcategoryriskadjustment,Acute Care Hospxital,Acute Care Hospital
912.statevalue,Californai,California
141.operativeprocedure,Apendix surgery,Appendix surgery
423.statevalue,alifornia,California
454.hospitalcategoryriskadjustment,Acute Care Hospiatl,Acute Care Hospital
935.hospitalcategoryriskadjustment,Acute Care Hospial,Acute Care Hospital
1151.hospitalcategoryriskadjustment,Acutte Care Hospital,Acute Care Hospital
849.facilitytype,"Community, <1i25 Beds","Community, <125 Beds"
192.hospitalcategoryriskadjustment,Acute Care Hospial,Acute Care Hospital
820.operativeprocedure,Appnedix surgery,Appendix surgery
26.yearvalue,202H01,2020H1
748.statevalue,Caifornia,California
655.hospitalcategoryriskadjustment,Acute Caqre Hospital,Acute Care Hospital
230.facilitytype,ajor Teaching,Major Teaching
1007.county,Losk Angeles,Los Angeles
58.operativeprocedure,Exploratory abdominal surgery (laparotmy),Exploratory abdominal surgery (laparotomy)
981.hospitalcategoryriskadjustment,Acute Care Hospitl,Acute Care Hospital
936.operativeprocedure,pOen reduction of fracture,Open reduction of fracture
896.facilitytype,"Community, 125-250 Bewds","Community, 125-250 Beds"
751.statevalue,aClifornia,California
974.hai,Surgical ite Infections (SSI),Surgical Site Infections (SSI)
988.facilityname,Children's Hopsital Los Angeles,Children's Hospital Los Angeles
980.hai,Surgical Site Infctions (SSI),Surgical Site Infections (SSI)
1069.facilitytype,"Community, >25u0 Beds","Community, >250 Beds"
945.facilityname,"California Hospital Medical Center, Los Anqgeles","California Hospital Medical Center, Los Angeles"
588.hospitalcategoryriskadjustment,Critical Access fHospital,Critical Access Hospital
958.facilitytype,"Community,1 25-250 Beds","Community, 125-250 Beds"
502.hospitalcategoryriskadjustment,Acjute Care Hospital,Acute Care Hospital
675.statevalue,Calfornia,California
609.facilityname,UCSF Benioff Children'sq Hospital Oakland,UCSF Benioff Children's Hospital Oakland
561.hospitalcategoryriskadjustment,Acute Car Hospital,Acute Care Hospital
292.facilityname,Martin Luther Kilng Jr. Community Hospital,Martin Luther King Jr. Community Hospital
1062.facilitytype,Majo Teaching,Major Teaching
777.county,aSn Bernardino,San Bernardino
1124.hai,Suurgical Site Infections (SSI),Surgical Site Infections (SSI)
765.operativeprocedure,All prohcedures,All procedures
421.statevalue,Califrnia,California
298.statevalue,Caalifornia,California
1089.hospitalcategoryriskadjustment,Acut eCare Hospital,Acute Care Hospital
341.hai,Surgical Site Infectionjs (SSI),Surgical Site Infections (SSI)
94.statevalue,Caliofrnia,California
125.yearvalue,2200H1,2020H1
1049.facilityname,"Kaiserr Foundation Hospital, Los Angeles","Kaiser Foundation Hospital, Los Angeles"
779.hai,Surgical Site nfections (SSI),Surgical Site Infections (SSI)
1099.county,Los Anggeles,Los Angeles
485.county,SanD iego,San Diego
815.operativeprocedure,All procoedures,All procedures
106.facilitytype,Major eaching,Major Teaching
609.operativeprocedure,aLminectomy,Laminectomy
1001.yearvalue,20201H,2020H1
273.county,Ornge,Orange
212.facilitytype,"Community, <125 Bes","Community, <125 Beds"
327.hai,Surgical Site nIfections (SSI),Surgical Site Infections (SSI)
309.county,rOange,Orange
853.hospitalcategoryriskadjustment,Acute Carej Hospital,Acute Care Hospital
143.operativeprocedure,Cesaean section,Cesarean section
741.county,Tehma,Tehama
1126.yearvalue,2200H1,2020H1
824.statevalue,Claifornia,California
759.facilityname,Monticlair Hospital Medical Center,Montclair Hospital Medical Center
100.hospitalcategoryriskadjustment,jAcute Care Hospital,Acute Care Hospital
289.hai,Surgical Site Infections(SSI),Surgical Site Infections (SSI)
564.yearvalue,2j020H1,2020H1
27.hai,Surgical Siet Infections (SSI),Surgical Site Infections (SSI)
269.facilityname,Fountain Valley Regional Hospital and Medica Center,Fountain Valley Regional Hospital and Medical Center
796.county,Sn Bernardino,San Bernardino
283.hai,Surgical Site Infectiyons (SSI),Surgical Site Infections (SSI)
136.yearvalue,d2020H1,2020H1
1070.facilityname,"Kaiser Foundattion Hospital, West LA","Kaiser Foundation Hospital, West LA"
937.facilitytype,Major eTaching,Major Teaching
1040.statevalue,Califonia,California
518.facilityname,UC San Diego Healt La Jolla,UC San Diego Health La Jolla
695.facilitytype,Major dTeaching,Major Teaching
10.statevalue,Califfornia,California
649.county,lameda,Alameda
46.facilitytype,"ommunity, <125 Beds","Community, <125 Beds"
502.facilityname,Scripps MercyHospital,Scripps Mercy Hospital
1145.hospitalcategoryriskadjustment,Acute Care Hopital,Acute Care Hospital
432.statevalue,Calijfornia,California
774.operativeprocedure,Small bwoel surgery,Small bowel surgery
63.hai,kSurgical Site Infections (SSI),Surgical Site Infections (SSI)
507.hai,urgical Site Infections (SSI),Surgical Site Infections (SSI)
6.yearvalue,202r0H1,2020H1
1114.facilitytype,Mjor Teaching,Major Teaching
20.statevalue,Calgifornia,California
260.yearvalue,020H1,2020H1
706.county,San aMteo,San Mateo
156.statevalue,Califorina,California
662.facilitytype,"Communit, <125 Beds","Community, <125 Beds"
1064.yearvalue,020H1,2020H1
223.hai,Surgical Site Infections (SS)I,Surgical Site Infections (SSI)
763.operativeprocedure,Appendi surgery,Appendix surgery
953.operativeprocedure,Lamijnectomy,Laminectomy
57.hai,Surgica Site Infections (SSI),Surgical Site Infections (SSI)
228.yearvalue,20201H,2020H1
748.operativeprocedure,All rpocedures,All procedures
693.county,San Frnacisco,San Francisco
586.facilityname,Merncy Hospital,Mercy Hospital
787.operativeprocedure,Oepn reduction of fracture,Open reduction of fracture
511.statevalue,Califorinia,California
9.statevalue,Caliofrnia,California
1051.hai,Surgical Site Ignfections (SSI),Surgical Site Infections (SSI)
352.facilitytype,"Community, 12-5250 Beds","Community, 125-250 Beds"
195.hospitalcategoryriskadjustment,Acute Car eHospital,Acute Care Hospital
1107.statevalue,Californa,California
804.hai,Surgical Site nIfections (SSI),Surgical Site Infections (SSI)
249.county,Vdentura,Ventura
377.hospitalcategoryriskadjustment,Acute Cre Hospital,Acute Care Hospital
170.statevalue,Califorcnia,California
127.hospitalcategoryriskadjustment,Acute Care Hospitla,Acute Care Hospital
946.hai,Surgical Site Infections S(SI),Surgical Site Infections (SSI)
869.statevalue,Cailfornia,California
313.county,range,Orange
840.facilitytype,"Community, <12 Beds","Community, <125 Beds"
531.facilityname,"Kaiser Foundation Hospiatl and Rehab Center, Vallejo","Kaiser Foundation Hospital and Rehab Center, Vallejo"
981.operativeprocedure,Exploratory abdominal surgery (laparhotomy),Exploratory abdominal surgery (laparotomy)
924.county,San Franisco,San Francisco
852.operativeprocedure,Apendix surgery,Appendix surgery
906.hai,Surigcal Site Infections (SSI),Surgical Site Infections (SSI)
496.hospitalcategoryriskadjustment,Acute CareHospital,Acute Care Hospital
636.hai,Surgical Site Infetcions (SSI),Surgical Site Infections (SSI)
1019.operativeprocedure,Appendix srugery,Appendix surgery
485.hai,Surgiqcal Site Infections (SSI),Surgical Site Infections (SSI)
255.yearvalue,020H1,2020H1
457.hai,Srgical Site Infections (SSI),Surgical Site Infections (SSI)
907.statevalue,Califrnia,California
92.county,Sacramuento,Sacramento
854.hospitalcategoryriskadjustment,Acute Care Hospitla,Acute Care Hospital
59.yearvalue,202H01,2020H1
747.operativeprocedure,mRectal surgery,Rectal surgery
380.operativeprocedure,esarean section,Cesarean section
1077.hospitalcategoryriskadjustment,Acute Care Hospiqtal,Acute Care Hospital
619.facilityname,Washingtong Hospital,Washington Hospital
98.county,Plaer,Placer
1085.operativeprocedure,Gallblhadder surgery,Gallbladder surgery
206.yearvalue,2020lH1,2020H1
883.operativeprocedure,Spial fusion,Spinal fusion
886.operativeprocedure,Appendix surgry,Appendix surgery
133.operativeprocedure,Thoracic usrgery,Thoracic surgery
739.statevalue,aClifornia,California
194.hai,Surgical Site Infections (SS)I,Surgical Site Infections (SSI)
19.facilityname,Lucle Packard Children's Hospital Stanford,Lucile Packard Children's Hospital Stanford
467.operativeprocedure,idney transplant,Kidney transplant
1107.county,Los ngeles,Los Angeles
845.facilityname,"Kaiser Foundation Hospital, rRiverside","Kaiser Foundation Hospital, Riverside"
792.hospitalcategoryriskadjustment,Acute Caire Hospital,Acute Care Hospital
579.yearvalue,20201H,2020H1
369.yearvalue,20201H,2020H1
435.facilityname,El Camion Health,El Camino Health
243.statevalue,cCalifornia,California
942.statevalue,Califonria,California
766.yearvalue,0220H1,2020H1
28.statevalue,Calfiornia,California
539.facilityname,Adventist Health Mendocnio Coast,Adventist Health Mendocino Coast
97.hai,Surgical Site Infectiuons (SSI),Surgical Site Infections (SSI)
432.hai,Surgical Site Ifnections (SSI),Surgical Site Infections (SSI)
729.facilitytype,ritical Access,Critical Access
584.facilitytype,Major Teacihng,Major Teaching
340.statevalue,Callifornia,California
928.yearvalue,220H1,2020H1
814.hai,Surgical Site Infectiodns (SSI),Surgical Site Infections (SSI)
255.statevalue,Californai,California
531.statevalue,Califonia,California
1040.hai,Surgical Sitme Infections (SSI),Surgical Site Infections (SSI)
325.yearvalue,20201,2020H1
404.hospitalcategoryriskadjustment,Acute Care Hospitla,Acute Care Hospital
210.operativeprocedure,Open rdeuction of fracture,Open reduction of fracture
548.facilityname,Prkovidence Redwood Memorial Hospital,Providence Redwood Memorial Hospital
500.operativeprocedure,All rocedures,All procedures
739.facilitytype,Major Teching,Major Teaching
116.facilitytype,"ommunity, >250 Beds","Community, >250 Beds"
243.hai,Surgical Site Infectionqs (SSI),Surgical Site Infections (SSI)
121.hai,Surgical Site Infectons (SSI),Surgical Site Infections (SSI)
404.facilityname,"Good Saaritan Hospital, San Jose","Good Samaritan Hospital, San Jose"
499.statevalue,Californa,California
895.hai,Surgical Sit eInfections (SSI),Surgical Site Infections (SSI)
9.hai,uSrgical Site Infections (SSI),Surgical Site Infections (SSI)
825.facilitytype,"Communihty, 125-250 Beds","Community, 125-250 Beds"
882.yearvalue,220H1,2020H1
510.operativeprocedure,Cxesarean section,Cesarean section
742.hospitalcategoryriskadjustment,Acute Care Hzospital,Acute Care Hospital
997.facilityname,San Gabriel Valey Medical Center,San Gabriel Valley Medical Center
922.hai,Surgical Site uInfections (SSI),Surgical Site Infections (SSI)
14.facilityname,Lucile Packard Children's Hspital Stanford,Lucile Packard Children's Hospital Stanford
236.hai,Surgical Site Infections (SS)I,Surgical Site Infections (SSI)
960.county,Logs Angeles,Los Angeles
556.facilitytype,Major Teachnig,Major Teaching
281.operativeprocedure,All porcedures,All procedures
534.yearvalue,020H1,2020H1
291.hai,Surgical Site Infectionso (SSI),Surgical Site Infections (SSI)
797.yearvalue,202d0H1,2020H1
77.hospitalcategoryriskadjustment,Acute Care Hosptial,Acute Care Hospital
283.facilityname,LAC/Harbor ULA Medical Center,LAC/Harbor UCLA Medical Center
957.operativeprocedure,All proceduares,All procedures
1112.hai,Surgical Ssite Infections (SSI),Surgical Site Infections (SSI)
413.county,Santa Claar,Santa Clara
874.facilitytype,"Community, 125-2e50 Beds","Community, 125-250 Beds"
167.facilitytype,"Community, 125-250Beds","Community, 125-250 Beds"
224.yearvalue,2020jH1,2020H1
122.hospitalcategoryriskadjustment,Acute Carej Hospital,Acute Care Hospital
865.hospitalcategoryriskadjustment,Acute Care Hospitahl,Acute Care Hospital
890.statevalue,Califronia,California
224.hai,Surgical Site Infections i(SSI),Surgical Site Infections (SSI)
780.statevalue,Califoprnia,California
944.statevalue,Clifornia,California
1051.statevalue,Califonria,California
350.facilitytype,"Community, 125-205 Beds","Community, 125-250 Beds"
612.facilityname,UCSF Benioff hCildren's Hospital Oakland,UCSF Benioff Children's Hospital Oakland
383.hai,Surgical Site Infeections (SSI),Surgical Site Infections (SSI)
735.yearvalue,020H1,2020H1
170.facilityname,Valley Children's Hsopital,Valley Children's Hospital
354.operativeprocedure,Appendix sugrery,Appendix surgery
77.county,Sacragmento,Sacramento
1117.hospitalcategoryriskadjustment,Acute Care Hopital,Acute Care Hospital
597.statevalue,aClifornia,California
219.facilitytype,"Cmmunity, 125-250 Beds","Community, 125-250 Beds"
872.hospitalcategoryriskadjustment,Acut Care Hospital,Acute Care Hospital
66.county,Stanilaus,Stanislaus
894.facilityname,Temecula Vallehy Hospital,Temecula Valley Hospital
596.facilityname,Sirera View Medical Center,Sierra View Medical Center
1027.hospitalcategoryriskadjustment,Acute Care Hosiptal,Acute Care Hospital
140.hai,Sumrgical Site Infections (SSI),Surgical Site Infections (SSI)
1081.statevalue,Californria,California
852.hai,Surgiczal Site Infections (SSI),Surgical Site Infections (SSI)
366.facilityname,George L. Mee Memroial Hospital,George L. Mee Memorial Hospital
732.hospitalcategoryriskadjustment,Acute Ctare Hospital,Acute Care Hospital
260.hospitalcategoryriskadjustment,Aute Care Hospital,Acute Care Hospital
651.facilitytype,"Community, 125250 Beds","Community, 125-250 Beds"
1107.facilitytype,"Commcunity, >250 Beds","Community, >250 Beds"
1004.facilityname,Santa Monica - UCLA Medical Center and OrthopaedicH ospital,Santa Monica - UCLA Medical Center and Orthopaedic Hospital
64.hai,Surgical Site Infections (SS),Surgical Site Infections (SSI)
1083.facilitytype,"Community, 125-520 Beds","Community, 125-250 Beds"
654.yearvalue,2020yH1,2020H1
603.facilityname,UCSF Benioff Children's Hospital Oaklzand,UCSF Benioff Children's Hospital Oakland
535.yearvalue,20201H,2020H1
654.hospitalcategoryriskadjustment,Acute Care Hospial,Acute Care Hospital
1148.facilitytype,"Community ,>250 Beds","Community, >250 Beds"
609.facilitytype,Pediatrpic,Pediatric
439.county,Sdanta Clara,Santa Clara
1077.facilitytype,"Comunity, >250 Beds","Community, >250 Beds"
570.hai,Surgical Site Infections (SScI),Surgical Site Infections (SSI)
635.county,Contra lCosta,Contra Costa
943.county,os Angeles,Los Angeles
719.statevalue,Californai,California
305.statevalue,Caliofrnia,California
77.statevalue,Califtornia,California
1026.hospitalcategoryriskadjustment,Avcute Care Hospital,Acute Care Hospital
1156.yearvalue,220H1,2020H1
577.facilityname,Bakersfield Memorial Hospial,Bakersfield Memorial Hospital
509.hai,Surgical Site Infesctions (SSI),Surgical Site Infections (SSI)
289.facilityname,LAC/Harbor UCLA Meidcal Center,LAC/Harbor UCLA Medical Center
829.operativeprocedure,Cesarean seciton,Cesarean section
868.yearvalue,0220H1,2020H1
741.hai,Surgical Site Infections (SS)I,Surgical Site Infections (SSI)
360.yearvalue,200H1,2020H1
410.facilitytype,"Community, <152 Beds","Community, <125 Beds"
197.yearvalue,2200H1,2020H1
301.county,Loes Angeles,Los Angeles
494.county,aSn Diego,San Diego
580.hai,Sugical Site Infections (SSI),Surgical Site Infections (SSI)
239.hai,SurgicalS ite Infections (SSI),Surgical Site Infections (SSI)
587.facilityname,ercy Hospital,Mercy Hospital
93.yearvalue,020H1,2020H1
434.yearvalue,202H1,2020H1
352.statevalue,Californita,California
785.facilityname,San Antonvio Regional Hospital,San Antonio Regional Hospital
142.facilityname,"Kaiser Foundaetion Hospital, Roseville","Kaiser Foundation Hospital, Roseville"
463.facilitytype,Pedizatric,Pediatric
619.hospitalcategoryriskadjustment,Acute Care Hosepital,Acute Care Hospital
415.statevalue,Californtia,California
65.facilityname,Mlemorial Medical Center,Memorial Medical Center
237.statevalue,alifornia,California
454.operativeprocedure,Open reduction of frcture,Open reduction of fracture
648.yearvalue,202z0H1,2020H1
290.hospitalcategoryriskadjustment,Acute Careu Hospital,Acute Care Hospital
351.county,Santa Clkara,Santa Clara
1013.hai,Surgical Site Infcetions (SSI),Surgical Site Infections (SSI)
537.facilitytype,"Community, <215 Beds","Community, <125 Beds"
13.statevalue,Califronia,California
916.hospitalcategoryriskadjustment,Acute Care Hospcital,Acute Care Hospital
734.facilityname,Shasta Regionawl Medical Center,Shasta Regional Medical Center
380.county,Santaa Clara,Santa Clara
395.hospitalcategoryriskadjustment,AcuteC are Hospital,Acute Care Hospital
188.yearvalue,20201H,2020H1
922.facilityname,UCSF Medical Cnter at Mission Bay,UCSF Medical Center at Mission Bay
109.operativeprocedure,All proccedures,All procedures
663.facilitytype,"Community, 125 Beds","Community, <125 Beds"
1057.hospitalcategoryriskadjustment,Acut eCare Hospital,Acute Care Hospital
1068.facilityname,"Kaiser Foundtion Hospital, West LA","Kaiser Foundation Hospital, West LA"
831.hospitalcategoryriskadjustment,Acuote Care Hospital,Acute Care Hospital
759.county,San Bnernardino,San Bernardino
327.hospitalcategoryriskadjustment,Acute Care Hosital,Acute Care Hospital
653.statevalue,Californdia,California
441.facilityname,"Kaiser Foundation Hosital, Santa Clara","Kaiser Foundation Hospital, Santa Clara"
731.hospitalcategoryriskadjustment,Acute Care bHospital,Acute Care Hospital
948.hospitalcategoryriskadjustment,Acute Care Hospaital,Acute Care Hospital
789.yearvalue,2g020H1,2020H1
308.county,Lso Angeles,Los Angeles
745.county,Nevadza,Nevada
965.facilityname,Hvuntington Hospital,Huntington Hospital
641.statevalue,Clifornia,California
295.facilityname,LAC/Olive View UCLA Meical Center,LAC/Olive View UCLA Medical Center
302.facilitytype,Major Tesaching,Major Teaching
516.yearvalue,200H1,2020H1
39.statevalue,Californai,California
638.operativeprocedure,"Bile dcut, liver or pancreatic surgery","Bile duct, liver or pancreatic surgery"
631.facilitytype,Majo rTeaching,Major Teaching
1123.hospitalcategoryriskadjustment,Acute Care Hopsital,Acute Care Hospital
1178.hospitalcategoryriskadjustment,Acutze Care Hospital,Acute Care Hospital
514.yearvalue,2200H1,2020H1
847.operativeprocedure,Open reduction obf fracture,Open reduction of fracture
608.statevalue,Californiua,California
446.yearvalue,0220H1,2020H1
942.facilityname,"aClifornia Hospital Medical Center, Los Angeles","California Hospital Medical Center, Los Angeles"
253.statevalue,Calizfornia,California
119.yearvalue,2w020H1,2020H1
