File name,File version,File size,Date,Time,Platform
Microsoft.teamfoundation.workitemtracking.proxy.dll,10.0.40219.422,"390,832",21-Sep-2012,21:53,x86
Microsoft.visualstudio.coverage.analysis.4.0.dll,10.0.40219.422,"147,624",23-Sep-2012,6:57,x86
Microsoft.visualstudio.coverage.analysis.dll,10.0.40219.422,"143,024",23-Sep-2012,6:57,x86
Microsoft.visualstudio.coverage.interop,10.0.40219.422,"553,648",23-Sep-2012,6:57,x86
Microsoft.visualstudio.qualitytools.agentobject.dll,10.0.40219.422,"106,688",23-Sep-2012,6:57,x86
Microsoft.visualstudio.qualitytools.agentprocessmanager.dll,10.0.40219.422,"104,656",23-Sep-2012,6:57,x86
Microsoft.visualstudio.qualitytools.codecoverage.dll,10.0.40219.422,"146,112",23-Sep-2012,6:57,x86
Microsoft.visualstudio.qualitytools.common.dll,10.0.40219.422,"1,355,424",23-Sep-2012,6:57,x86
Microsoft.visualstudio.qualitytools.controllerobject.dll,10.0.40219.422,"277,688",23-Sep-2012,6:57,x86
Microsoft.visualstudio.qualitytools.datacollectionagentobject.dll,10.0.40219.422,"37,072",23-Sep-2012,6:57,x86
Microsoft.visualstudio.qualitytools.executioncommon.dll,10.0.40219.422,"482,488",23-Sep-2012,6:57,x86
Microsoft.visualstudio.qualitytools.testcasemanagement.dll,10.0.40219.422,"1,280,208",23-Sep-2012,6:57,x86
Microsoft.visualstudio.qualitytools.tmi.dll,10.0.40219.422,"398,488",23-Sep-2012,6:57,x86
Microsoft.visualstudio.teamfoundation.build.dll,10.0.40219.422,"142,496",23-Sep-2012,6:57,x86
Microsoft.visualstudio.teamfoundation.dll,10.0.40219.422,"93,848",23-Sep-2012,6:57,x86
Microsoft.visualstudio.teamfoundation.teamexplorer.dll,10.0.40219.422,"799,944",23-Sep-2012,6:57,x86
Microsoft.visualstudio.teamfoundation.versioncontrol.dll,10.0.40219.422,"59,072",23-Sep-2012,6:57,x86
Microsoft.visualstudio.teamfoundation.versioncontrol.dll,10.0.40219.422,"59,584",23-Sep-2012,6:57,x86
Microsoft.visualstudio.teamfoundation.versioncontrol.dll,10.0.40219.422,"61,120",23-Sep-2012,6:57,x86
Microsoft.visualstudio.teamfoundation.versioncontrol.dll,10.0.40219.422,"63,680",23-Sep-2012,6:57,x86
Microsoft.visualstudio.teamfoundation.versioncontrol.dll,10.0.40219.422,"940,216",23-Sep-2012,6:57,x86
Microsoft.visualstudio.teamfoundation.workitemtracking.dll,10.0.40219.422,"460,992",23-Sep-2012,6:57,x86
Microsoft.visualstudio.teamsystem.integration.dll,10.0.40219.422,"193,192",23-Sep-2012,6:57,x86
Microsoft.visualstudio.teamsystem.licensing.dll,10.0.40219.422,"32,928",23-Sep-2012,6:57,x86
Microsoft.visualstudio.testtools.manualtest.common.dll,10.0.40219.422,"813,232",23-Sep-2012,6:57,x86
Microsoft.visualstudio.testtools.uitest.codegeneration.dll,10.0.40219.422,"155,856",23-Sep-2012,6:57,x86
Microsoft.visualstudio.testtools.uitest.common.dll,10.0.40219.422,"178,368",23-Sep-2012,6:57,x86
Microsoft.visualstudio.testtools.uitest.extension.dll,10.0.40219.422,"195,776",23-Sep-2012,6:57,x86
Microsoft.visualstudio.testtools.uitest.extension.ie.communication.interop.dll,10.0.40219.422,"119,512",23-Sep-2012,6:57,x86
Microsoft.visualstudio.testtools.uitest.extension.ie.communication.interop.dll,10.0.40219.422,"143,064",23-Sep-2012,6:57,x64
Microsoft.visualstudio.testtools.uitest.extension.ie.dll,10.0.40219.422,"320,184",23-Sep-2012,6:57,x86
Microsoft.visualstudio.testtools.uitest.extension.ie.eventhelper.dll,10.0.40219.422,"82,152",23-Sep-2012,6:57,x86
Microsoft.visualstudio.testtools.uitest.extension.ie64.eventhelper.dll,10.0.40219.422,"82,152",23-Sep-2012,6:57,x86
Microsoft.visualstudio.testtools.uitest.extension.uia.dll,10.0.40219.422,"110,288",23-Sep-2012,6:57,x86
Microsoft.visualstudio.testtools.uitest.playback.dll,10.0.40219.422,"66,240",23-Sep-2012,6:57,x86
Microsoft.visualstudio.testtools.uitest.recorder.dll,10.0.40219.422,"233,664",23-Sep-2012,6:57,x86
Microsoft.visualstudio.testtools.uitesting.dll,10.0.40219.422,"391,328",23-Sep-2012,6:57,x86
Msdiff.dll,10.0.40219.422,"485,464",23-Sep-2012,6:57,x86
Mtm.exe,10.0.40219.422,"449,616",23-Sep-2012,6:57,x86
Qtagent.exe,10.0.40219.422,"21,592",23-Sep-2012,6:57,x86
Qtagent.exe,10.0.40219.422,"21,600",23-Sep-2012,6:57,x86
Qtagent32.exe,10.0.40219.422,"21,600",23-Sep-2012,6:57,x86
Qtagent32.exe,10.0.40219.422,"21,608",23-Sep-2012,6:57,x86
Qtagentservice.exe,10.0.40219.422,"100,456",23-Sep-2012,6:57,x86
Tf.exe,10.0.40219.422,"325,728",23-Sep-2012,6:57,x86
