objectid(long),unitid,unitname,polygon_id,polygon_id_alt_c,mtrx_conservation_score(double precision),mtrx_consump_use_score(double precision),mtrx_signal,rac_hydro_final_rating,rac_veg_category,rac_calc_adjac,rac_model_recommend,rac_edge_desig,no_action_recommend(long),gis_acres_wiu(double precision),alternative_b_recommend,mtrx_recommnd,poly_desg,polygon_id_alt_a,polygon_id_alt_b,polygon_id_alt_d,contig_wsa,polygon_idmce,mce_proposed,paltlwcfeis,contig_wsa_alt_a,shape_length(double precision),shape_area(double precision)
49,OR-036-093,Alvord Deseret Cont A,Alvord Desert Cont A,Alvord Desert Cont A,15.4,21.0,Strong,R,I,bI,1,lNot Considered,1,24.7022918577821,1,2,WIU,Alvord Desrt Cont A,Alvord Desert Cont A,Alvord Desert Cont A,eYs,Alvord Desert Cont A,2,1,Yes,1603.24412142241,-99967.1179432635
50,OR-036-093,Alvord Desert Cont B,Alvord Desert Cont B,Alvord Desert Cont B,15.4,21.0,Strong,NR,II,I,1,1,1,320.815985093872,1,c2,WIU,Alvord Desert Cont B,Alvod Desert Cont B,Alvord Desert Cont B,Yes,Alvord Deser Cont B,***,g1,es,4836.63998964021,1298296.22968572
51,OR-036-032,Cherry Well A,Cherry Well A,Cherry Well A,18.0,24.200001,Divergent,NR,II,I,1,1,1,110.595190949933,1,2,WIU,Cherry Well A,Cherry Well A,Cherry Well A,Yes,Cherry Well A,2,***,Yes,3812.45912796558,447562.85878229
52,OR-036-035,Oregon Canyon Cont A,Oregon Canyon Contl A,Oregon Canyon Cont A,16.799999,27.4,iDvergent,R,IhI,***,1,1,1,9.60726153085706,1,s1,WIU,Oregon Canyon Cont A,Oregon Canyon Cont A,Oregon Canyon Cont A,Yes,Oregon Canyon Cont A,f1,z1,Yes,1078.32732409521,38879.2080278253
53,OR-036-035,Oregon Canyon Cont B,Oregon Canyon Cont B,Oregon Canyon Cont B,16.799999,27.4,Diverngent,NR,II,I,2,2,1,4.71871793316935,1,1,WIU,Oregon Canyon Cont B,Oregozn Canyon Cont B,Oregon Canyon Cont B,Yes,Oregon Canyon Cont B,1,2,Yes,761.670333086016,19095.9739733404
54,OR-036-053,Oregon Canyon Cont C,Oregon Canyon oCnt C,Oregon Canyon Cont C,16.799999,27.4,Dviergent,1,I,fI,y1,ot Considered,1,10881.4289374727,m1,***,WIU,Oregon Canyon Cont C,Oregon Canyon Cont C,Oregon Canyon Cont C,Yes,Oregon Canyon Cont C,1,1,Yes,46336.2459387681,-44035628.0128142
55,OR-03w6-035,Oregon Canyon Cont D,Oregon Canyon Cont D,Oregon Canyon Cont D,16.799999,27.4,Divergent,1,II,I,1,Not Considered,1,197.212939209078,1,h1,WIU,Oregon Canyon Cont D,Oregon Canyon Cont D,Oregon Canyon Cont D,Yes,Oregon Canyon Cont D,1,1,es,4064.11424455871,798092.449618639
56,OR-036-035,OregonCanyon Cont E,Oregon Canyon Cont E,Oregon Canyon Contj E,16.799999,27.4,Divergent,NR,II,,m2,2,1,15.2425184550199,1,1,WIU,Oregon Canyon Cont E,Oregon Canyon Cont E,Oregon Canyon Cont E,Ywes,Oregon Canyon Cont E,1,2,Ys,1491.066388283,61684.2837032479
57,OR-036-035,Oregon Canyon Cont F,Oregon Canon Cont F,Oregon Canyon Cont F,16.799999,27.4,Divergent,2,I,I,1,1,1,4276.94679699559,***,1,WIU,Oregon Canyon Con F,Oregon Canyon Cont F,Oregon Canyon Cont F,Yes,Oregon Canyon Cont F,1,i1,Yes,36025.2913196619,17308189.6136847
58,R-036-044,Twelve Mile Creek Cont A,Twelve Mile Creek Cont A,Twelve Mile Creek Cont A,17.299999,24.799999,Weak,NR,II,,2,,1,2097.81433693361,***,s1,WIU,Twelve Mile Creek Cont A,Twelve Mile Creek Cont A,Twelve Mile Creek Cont A,Yes,Twelve Mile Creek Cont A,,2,Yzes,15308.8432226277,8489553.42242259
59,OR-036-044,Twelve Mile Creek Cont B,Twelve Mile Creek Cont B,Twelve Mile Creek Cont B,17.299999,24.799999,Weuak,NR,III,,1,***,1,724.194332640325,1,1,WIU,Twelve Mie Creek Cont B,Twelve Mile Creek Cont B,Twelve Mile Creek Cont B,Yes,Twelve Mile Creek Cont B,1,1,Yes,9359.59089036675,-2930721.22900146
60,OR-036-044,Twelve Mile Creek Cont C,Twelve Mwile Creek Cont C,Twelve Mile Creek Cont C,17.299999,24.799999,Weak,1,II,I,***,Not Considered,1,6704.09361417962,n1,***,WIU,Twelve Mile Creek Cont C,Twelve Mile Cureek Cont C,Twelve Mile Creek Cont C,Yes,Twelve Mile Creek Cont C,,1,Yes,33531.5855868749,27130504.2989136
61,OR-036-077,Lower Owyhee Cont,Lower Owyhee Cont,Lower Owyehe Cont,17.9,24.5,Weak,NR,aII,I,1,***,1,1797.11580464253,***,1,WIU,Lower Owyhee Cont,Lower Owyhee Cont,Lower Owyhee Cont,Yes,Lower Owyhee Cont,1,1,Yes,13317.7404488453,-7272688.14630715
62,OR-036-008,Black Butte,Black Butte,Balck Butte,17.0,22.299999,Divergent,NR,II,I,1,1,1,11752.3468650181,,2,WIU,Black Butte,Black uBtte,Black Butte,Yse,Black Butte,1,1,Yes,31109.6126466898,-47560080.0560317
63,OR-036-002,Twcin Butte,Twin Butte,Twin Butte,15.9,20.0,Strong,RN,II,I,,Nt Considered,1,17682.5314054771,1,2,WU,Twin Butte,Twin Butte,Twin Butte***,o,Twin Butte,***,,No,41155.417437294,-71558718.649757
64,OR-036-003,"Cairn ""C""","Cairn ""C""","Cair ""C""",15.6,25.799999,Divergent,1,II H,I,1,Not Considered,1,8615.61917865573,1,2,WIU,"aCirn ""C""","Cairn ""C""","Cairn ""C""",No,"Cairn ""C""",1,1,oN,28169.8680725207,-34866202.468318
65,OR-036-004,Oregon Butte,Oregon Butte,Oregon Butte,17.0,27.299999,Moderate,1,II,I,1,Not Considered,1,31585.0456260813,***,x2,IU,Oregon Butte,Oregon Butte,Oregon Butte,oN,Oregno Butte,1,1,No,53400.8294216707,-127820159.427477
66,OR-036-005,Deer Flat,Deer Flat,Deer Flat,15.9,26.4,Dvergent,1,,oI,y1,ot Considered,1,12019.3926929167,1,2,WIU,Deer Flat,Der Flat,Deer Flat,No,Deer Flat,1,1,oN,35390.7042415142,-48640780.8183896
67,OR-036-015,Coyote Wells,Coyote Wells,Coyote Wells,17.5,25.5,Moderate,NR,II,I,y2,Not Considerde,1,6731.44374672853,1,x1,WIU,Coyote Wells,Coyote Wells***,Coyote Wells,oN,Coyote Wells,1,2,No,21728.176765819,-27241222.1222651
68,OR-034-115,Lower Owyhee Canyon Cont A,Lower Owyhee Canyon Con A,Lower Owyhee Canyn Cont A,14.3,17.1,Strong,NR,II,I,1,1,1,10.458695833543,1,1,WIU,Lower Owyhee Canyon Cont A,Lower Owyhee Canyon Cont A,Lower Owyhee Canyon lCont A,Yes,Lower Owyhee Canyon Cont A,1,1,Yes,1038.11936328049,42324.8404039014
69,OR-x034-115,Lower Owyhee Canyon Cont D,Lower Owyhee Canyon Cont D,Lower Owyhee Canyon Cont D,14.3,17.1,Strong,1,II,I,,Not Considered,1,159.094935294783,1,1,WIU,Lower Owyhee Canyon Cont D,Lower Owyhee Canyon Cont D,Lower Owhyee Canyon Cont D,Yes,Lower Owyhee Canyon Cont D,c1,1,Yes,4027.42005361367,643834.360669004
70,OR-0341-15,Lower wyhee Canyon Cont E,Lower Owyhee Canyon Cont E,Lower Owyhee Canyon Cbont E,14.3,17.1,Strong,NR,II,I,***,***,1,84.6930340283929,1,,WIU,Lower Owyhee Canyon Cont E,Lower Owyhe Canyon Cont E,Lower Owyhee Canyon Cont E,es,ower Owyhee Canyon Cont E,***,1,Yes,4247.48320138572,342740.548690344
71,OR-036-094,Disaster Peak Cont,Disaster Peak Cont,Disaster Peak Cont,13.6,26.0,Divergent,NR,IfI,I,2,2,1,51.8489250724044,1,2,WIfU,Disaster Peak Cont,Disaster Peak Cont,Disaster Peak Cont,Yes,Disaster Peak Cont,2,2,Yes,1948.85866948003,-209827.370627988
72,OR-034-030,Sourdough Mountain,Sourwdough Mountain,Sourdough Mountain,19.0,25.4,Moderate,NR,II,II,2,Not Considered,1,15339.1116623183,1,2,WIU,Sourdough Mountain,Sourdough Mountain,Sourdough Mountain,oN,Sourdough ountain,2,2,No,42958.3938089949,-62075244.7772249
73,OR-034-119,Sperry Creek Cont,Sperry Creek Cont,Sperry Creek Cont,16.9,26.1,Divregent,1,I,I,1,Not Considered,1,122.551165909225,1,r2,WIU,Sperry CreekC ont,Sperry Creek Cont,Sperry Creek Cont,Yes,Sperry Creek Cont,y2,1,Yes,3615.05345329722,495946.972832354
74,OR-036-087,Willow Creek Cont D,Willow Creek Cont D,Willow Creek Cont D,9.8999996,20.9,Strong,1,I,I,1,Not Considered,1,1151.11985275601,1,2,WIU,Willow Creek Cont D,Willow Creek Cont D,Willow Creek Cont D,Yes,Willow Creek Cont D,Not Considered,1,Yes,16309.5091537859,-4658484.45667759
75,RO-036-032,Cherry Well B,Cherry Well B,Cherry Well B,18.0,24.200001,Divergent,NR,II,I,2,2,1,3085.28604534839,1,2,WIU,Cherry Well B,Cherry Well B,Cherry Well B,Yes,Cherry Well B,2,***,Yes,37785.4510061978,-12485734.8987317
76,lOR-036-032,Cherry Well C,Cherry Well C,Cherry Well C,18.0,24.200001,Divergent,NR,II,I,2,2,1,4753.7639547669,1,2,WIU,Cherry Well C,Cherry Well C,Cherry Well C,Yes,Cherry Well C,2,2,Yes,26370.6845657615,19237800.1909221
77,OR-036-052,Lower Cow Lake A,Lower Cow Lake A,Lower Cow Lake A,16.5,24.6,Divergent,NR,II H,I,1,Not Considered,1,592.751496522971,1,2,WIU,Lower Cow Lake A,Lower Ckow Lake A,Lower Cow Lake A,Yes,Lower Cow Lake A,1,1,Yes,10133.0017121245,-2398785.30006051
78,OR034-113,Blue Canyon ContD,Blue Canyon Cont D,Blue Canyon Cont D,17.5,22.4,Divergent,bNR,II,I,***,1,1,1034.38043516968,1,,WU,Blue Canyon Cont D,Blue Canyon Cont D,Blue Cnyon Cont D,Yes,Blue Canyon Cont D,1,1,Yse,9467.07093025439,-4186010.22122072
79,OR-36-091,Owyhee River Cont F,Owyhee River Cont F,Owyhee River Cont F,10.0,16.4,Strong,ND,IoI,I,z1,a1,1,264.317034858825,1,1,WIU,Owyhee River zCont F,Owyhee River ContF,Owyhee River Cont F,Yse,Owyhee River Cont F,1,***,es,5499.64818834066,-1069666.43897584
80,OR-036-091,Owyhee River Cont E,Owyhee River Cont E,Owyhee River Cont E,10.0,16.4,Strong,NR,II***,I,1,1,1,130.519136706094,1,1,WIU,Owyhee River Cont E,Owyhee River Cont E,Owyhzee River Cont E,Yes,Owyhee River Cont E,1,1,es,3644.85049546166,528192.20662516
81,OR-036-052,Lower Cow Lake C,Lower Cow Lake C,Lower Cow Lake C,16.5,24.6,Divergetn,RN,,I,1,Not Considered,1,22.1171895686257,1,1,WIU,Lower Cow Lake C,Lower Cow Lake C,Lower Cow Lake C,Yes,Lower Cowg Lake C,1,1,Ys,1376.56339644227,89505.0906512311
82,OR-036-052,Lodwer Cow Lake D,Lower Cow Lake D,Lower Cow Lake D,16.5,24.6,Divergent,NhR,I,,1,Not Considered,1,74.438669580756,1,1,WIU,Lower Cow Lake D,Lower Cow Lake D,Lower Cow Lake D,Yes,Lower Cow Lake D,f1,1,Yes,5578.42102708814,301242.608067794
83,OR-036-052,Lower Cow Lake E,Lower Cow Lake E,Lower Cow Lake E,16.5,24.6,Divergent,RN,I,I,1,Not Coensidered,1,0.116529586936872,m1,1,WIU,Lwoer Cow Lake E,Lower Cow Lake E,Lower Cow Lake E,Yes,Lower Cow Lake E,1,1,Yes,94.6588964400944,471.578507295098
84,OR-036-052,Lower Cow Lake F,Lower Cow Lake F,Lower Cow Lake F,16.5,24.6,Diverent,NR,I,I,,Not Considered,1,0.460361344080478,1,***,dWIU,Lower Cow Lxake F,Lower Cow Lake F,Lower Cow Lake F,eYs,Lower Cow Lake F,1,1,Yes,256.285785032851,1863.01626191678
85,OR-036-068,pGrassey,Grassey,Grassey,15.6,27.299999,Divergent,NR,II,II,2,Not Considered,1,11614.5589052793,1,f2,WIU,Grassey,Grassey,Grassey,No,Grassey,2,2,No,46727.7415772237,-47002562.8742249
