yearvalue,statevalue,county,hai,operativeprocedure,facilityid(double precision),facilityname,hospitalcategoryriskadjustment,facilitytype,procedurecount(long),infectionsreported(long),infectionspredicted(double precision)
2020H1,California,Amador,Surgical Site Infections (SSI),Appendix surgery,230000265.0,Providence Redwood Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0.0
20201H,California,Placer,Surgical Site Infections (SSI),All procedures,30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0.0
2020H1,California,Placer,Surgical Sit eInfections (SSI),Appendix surgery,70001349.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.0
2020H1,California,Placer,Surgical Site Infections (SSI),Open reduction of fracture,30000109.0,Sutter Aubun Faith Hospital,Acute Care Hopital,"Community, <125 Beds",1,0,0.0
2020H1,Caifornia,Sacramento,Surgical Site Infections (SSI),All procedures,70001349.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,272,2,2.87
2020H1,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,30000037.0,University of California Davis Medical Center,Acute Care Hospital,Msajor Teaching,48,0,0.28
2z020H1,California,Sacramento,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000037.0,University of California Davis Medical Center,Actue Care Hospital,Major Teaching,4,0,0.18
2020H1,California,Sacramento,Surgical Site Infections (SSI),Cardiac usrgery,70001349.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,26,0,0.28
2v020H1,California,Sacramneto,Surgical Site Infections (SSI),Cesarean section,70001349.0,University of California Davis Medical Center,Acute Care Hosital,Major Teaching,2,0,0.0
2020H1,California,Sacramento,Surgical Site Infections (SSI),Colon surgery,70001349.0,University of California Davis Medical Center,Acute Crae Hospital,Major Teaching,19,1,0.75
2020H1,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000113.0,University of California Dais Medical Center,Acute Care Hospital,Major Teaching,54,0,0.47
2020H1,Califronia,Sacramento,Surgical Site Infections (SSI),Glalbladder surgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,11,0,0.01
2020H1,California,Sacramento,Surgical Site Infections (SSI),Kidney transplant,70001349.0,University of California Davis Medical Center,Acute Care Hopsital,Major Teacching,2,0,0.02
202r0H1,California,Sacramento,Surgical Site Infections (SSI),Laminefctomy,70001349.0,University of California Davis Medical Center,Acute Car eHospital,Major Teaching,7,0,0.05
2020H1,California,Sacramento,Surgical Site Infections (SSI),Open reduction of fracture,30000037.0,University of California Davis Medical Center,Acute Care Hospidtal,Major Teaching,44,0,0.41
f2020H1,California,Sacramento,Surgical Site Infections (SSI),Rectal surgery,30000113.0,Univerity of California Davis Medical Center,Acuteg Care Hospital,Majo rTeaching,6,0,0.02
2020H1,California,Sacramento,Surgical Site Infections (SSI),Samll bowel surgery,30000113.0,University of California Davis Medircal Center,Acute Care Hospital,Major Teaching,22,0,0.22
20201,California,Sacramenot,Surgical Site Infections (SSI),Spinal fusion,70001349.0,University of California Davis Medical Center,Acuet Care Hospital,Major Tecahing,4,0,0.06
2020H1,California,Sacramento,Surgical Site Infections (SSI),Thoracic surgery,70001349.0,University of California Davis Medical Center,Acute Care Hspital,Major Teaching,23,1,0.13
2020H1,California,El Dorado,Surgical Site Infections (SSI),All procedures,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",12,0,0.07
2020H1,Caifornia,El Dorado,Surgical Site Infections (SSI),Appendix surgery,30000114.0,Barton Memrial Hospital,Acute Care Hospital,"Communty, <125 Beds",3,0,0.01
2020H1,Califonria,El Dorado,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000114.0,Barton Memorial Hozspital,sAcute Care Hospital,"Community, <125 Beds",2,0,0.01
2020H1,California,l Dorado,Surgical Site Infections (SSI),Open reduction of fracture,30000114.0,Barton Memorial ospital,Acut Care Hospital,"Community, <125 Beds",6,0,0.02
2020H1,California,El Dorado,Surgical Site Infections (SSI),Small bowel surgery,70001349.0,Barton Memorial Hospital,Acute Care sHospital,"Community, <125 Beds",1,0,0.04
2200H1,Californai,San Joaquin,Surgical Site Infections (SSI),All procedures,230000265.0,Providence Redwood Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",8,0,0.01
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Appendix surgery,70001349.0,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",8,0,0.01
202H01,California,El Dgorado,Surgical Site Infections (SSI),All promcedures,70001349.0,Marshall Medical Center,Acute Care Hospital,"Community, <125 Beds",9,0,0.01
2020H1,California,El Dorado,Surgicla Site Infections (SSI),Appendix surgery,230000265.0,Healdsburg Hospital,Acute Care Hospital,"Community, <125 Beds",6,0,0.0
2020H1,California,El Dorado,Surgical Site Infections (SSI),Cesarean section,70001349.0,Marshall Medical Center,Acute Care Hospfital,"Community, <125 Beds",2,0,0.0
2020H1,California,El Dorado,Surgical Site Infections (SSI),Open reduction of fracture,70001349.0,Marshall Medical Center,Acute Care Hspital,"Community, <125 Beds",1,0,0.0
2020H1,California,Stanislaus,Surgical Site Infecions (SSI),All procedures,70001349.0,Doctors Medical Center,Acute Care Hospital,"Community, >250 Beds",26,0,0.12
20201H,California,Stanislaus,Surgical Site Infections (SSI),Appendix surgery,30000122.0,Doctors Medical Center,Acute Care Hospital,"Community, >250 Beds",13,0,0.07
2020H1,California,Stanisaus,Surgical Site Infections (SSI),Cesarean section,30000122.0,DoctorsM edical Center,Aucte Care Hospital,"Community, >250 Beds",2,0,0.0
2020gH1,California,Stanislauns,Surgical Site Infections (SSI),xColon surgery,70001349.0,Doctors Medical Center,Actue Care Hospital,"Community, >250 Beds",1,0,0.02
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),70001349.0,Doctors Medical Center,Acute Care Hospial,"Community, >250 Beds",4,0,0.01
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Gallbladder surgery,30000122.0,Doctdors Medical Center,Acutke Care Hospital,"Community, >250 Beds",1,0,0.0
2020H1,California,Stanislaus,Surgcal Site Infections (SSI),Open reduction of fracture,70001349.0,Doctors Medical Center,AcuteC are Hospital,"Community, >250 Beds",4,0,0.01
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Small bowel surgery,70001349.0,Doctors Medical Center,Acuet Care Hospital,"Community, >250 Beds",1,0,0.01
2020H1,Califronia,Stanislaus,Surgical Site Infections (SSI),All procedures,70001349.0,Memorial Medical Center,Acute Care Hospital,"Community, >250 Beds",28,0,0.32
2020H1,California,Stanisalus,Surgical Site Infetcions (SSI),Appendix surgeyr,70001349.0,Memorial Medical Center,Acute Care Hospital,"Commnuity, >250 Beds",22,0,0.1
2020H1,Cxalifornia,Stanislasu,Surgical Site Infections (SSI),Colon surgery,70001349.0,Memorial Medical Center,Acute Cavre Hospital,"Community, >250 Beds",1,0,0.18
2020H1,California,Stanislaus,Sugrical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),70001349.0,Memorial Medical Center,cute Care Hospital,"Community, >250 Beds",1,0,0.0
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Gallbladder surgery,70001349.0,Memorial Medical Center,Acut Care Hospital,"Community, >250 Beds",1,0,0.0
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Open reduction of fracture,70001349.0,Memorial Medical Center,Acute Care Hospiatl,"Community, >250 Beds",2,0,0.01
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Thoracic surgery,230000265.0,Adventist Health Mendocino Coast,Acute Care Hospital,"Community, >250 Beds",1,0,0.03
2020H1,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000124.0,Mercy General Hospital,Acute Care Hospital,Major Teaching,1,0,0.0
2020H1,California,Syacramento,Surgical Site Infection (SSI),Cesarean section,30000124.0,Mecy General Hospital,Acute Ckare Hospital,Major Teahcing,1,0,0.0
2020H1,California,Stanislyaus,Surgical Site Infections (SSI),All procedures,70001349.0,Emanuel Medical Center,Acute Care Hospital,"Community, 125-250 Beds",36,1,0.16
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Appendix surgery,70001349.0,Emanuel Medical Center,Acute Care Hsopital,"Community, 125-20 Beds",31,1,0.14
2020H1,Califorpnia,Stanislaus,Surgical Site Infections (SSI),Cesaryean section,70001349.0,Emanuel Medical Center,Acute aCre Hospital,"Community, 125-250 eBds",1,0,0.02
2020H1,California,Stanislaus,Surgical Site Infections(SSI),Exploratory abdominal surgery (laparotomy),70001349.0,Emanuel Medical Center,Acute Cre Hospital,"Community, 125-250 Beds",2,0,0.01
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Gallbladder surgery,230000265.0,Ridgecrest Regional Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,0,0.0
2020H1,California,Stanislaus,Surgical Site Infectiojns (SSI),Open reduction of fracture,70001349.0,Emanuel Medical Center,xAcute Care Hospital,"Community, 125-250 Beds",1,0,0.0
2020H1,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000127.0,Mercy San Juan Medical Center,Acute Care Hospital,Major Teaching,16,0,0.05
2020H1,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,70001349.0,Mercy San Juan Medical Center,Acute Care Hopital,Major Teaching,11,0,0.04
220H1,Califkornia,Sacramento,Surgical Site Infectilons (SSI),Open reduction of fracture,30000127.0,Mercy San Juan Medical Centre,Acute are Hospital,Major Teaching,3,0,0.01
2020H1,California,Sarcamento,Surgical Site Infections (SSI),Thoracic surgerry,30000127.0,MercySan Juan Medical Center,Acute Care Hopsital,Major Teaching,2,0,0.0
020H1,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000130.0,"Kaiser Foundation Hospital, Sacramento",Acute Care Hospital,"Community, >250 Beds",7,0,0.02
2020H1,California,Sacramento,gSurgical Site Infections (SSI),Appendix surgery,70001349.0,"Kaiser Foundation Hospital, Sacramento",Acute Care Hosptial,"Community, >250 Beds",5,0,0.01
2020H1,Calfiornia,Sacramento,Surgical Site Infections (SSI),Gallbladdler surgery,70001349.0,"Kaiser Foundation Hospital, Sacramento",Acute Cre Hospital,"Community, >250 Beds",1,0,0.0
2020H1,California,Scaramento,Surgical Site Infections (SSI),Open reduction of fracture,30000130.0,"Kaiser Foundation Hospital, Sacrmaento",Acut eCare Hospital,"Community, >250 Beds",1,0,0.0
020H1,California,Stanilaus,Surgical Site Infections (SSI),All procedures,70001349.0,Oak Valley Hospital District,Acute Care Hospital,"Community, <125 Beds",2,0,0.0
20201,Califoprnia,Stanislaus,urgical Site Infections (SSI),Appendix surgery,70001349.0,Oak Valley Hospital District,Acute Care Hopsital,"Community, <125 Beds",2,0,0.0
2020H1,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000133.0,"Kaiser Foundation Hospital, South Sacramento",Acute Care Hospital,Major Teaching,31,0,0.15
g2020H1,bCalifornia,Scramento,Surgical Site Infections (SSI),Appendix surgery,70001349.0,"Kaiser Foundation Hospital, South Sacramento",Acute Care bHospital,Major Teaching,18,0,0.09
2020H1,California,Sacramento,Surgical Site Infections (SSI),Colon surgery,30000133.0,"Kaiser Fuondation Hospital, South Sacramento",Acute Cagre Hospital,Major Teaching,1,0,0.02
20q20H1,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000133.0,"Kaiser Foundation Hopsital, South Sacramento",Acue Care Hospital,Major Teaching,2,0,0.01
2020H1,California,Sacramento,Surgical Site Infections (SSI),Gallbladder surgery,70001349.0,"Kaiser Foundation Hospital, South Sacramento",Acute Care Hospital,Major Teaching,1,0,0.0
2020H1,California,Sacramento,Surgical Site Infections (SSI),Open reduction of fracture,30000133.0,"Kaiser Foundation Hospital, South Sacramenot",cAute Care Hospital,Major Teaching,7,0,0.03
2020H1,California,Sacramento,Surgical Site Infections (SSI),Small bowel surgery,70001349.0,"Kaiser Foundation Hospital, South Sacramento",Acute Care Hspital,Major Teaching,1,0,0.01
2020H1,California,Sacrlamento,Srgical Site Infections (SSI),Thoracic surgery,70001349.0,"Kaiser Foundation Hospital, South Sacramento",Acte Care Hospital,Major Teaching,1,0,0.0
2020H1,Califofrnia,Plcaer,Surgical Site Infections (SSI),All procedures,30000134.0,Sutter Roseville Medical Center,Acute Care Hospitpal,"Community, >250 Beds",42,0,0.12
2020H1,California,Placer,Surgical Site Infections (SSI),Appendix surgery,70001349.0,Sutter Roseville Medical Center,Acute Care Hospital,"Community, >250 Beds",28,0,0.08
2020H1,California,Placer,Surgical Site Infections (SSI),Laminectomy,30000134.0,Sutter Rosville Medical Center,Acute Care Hospital,"Community, >250 Beds",1,0,0.01
202q0H1,California,Placer,Surgical Site Infections (SSI),Open reduction of fracture,30000134.0,Sutter Roseville Medical Cneter,cAute Care Hospital,"Commupnity, >250 Beds",10,0,0.03
y2020H1,California,Placer,Surgical Site Infections (SSI),Spinal fusion,70001349.0,Sutter Roseville Medical Center,Acute Care Hsopital,"Community, >250 Beds",2,0,0.01
20201,California,Placer,Surgical Site Infections (SSI),Thoracic surgery,70001349.0,Sutter Roseville Medical Center,Acutde Care Hospital,"Community, >250 Beds",1,0,0.0
2200H1,California,aSn Joaquin,Surgical Site Infections (lSSI),All procedures,70001349.0,San Joaquin General Hospital,Acute Care Hospital,Major Teaching,25,0,0.41
2020H1,California,San Joaquin,Surgical Sitge Infections (SSI),Appendix surgery,70001349.0,San Joaquin General Hospital,Acuvte Care Hospital,Major Teaching,9,0,0.02
2020H1,California,San Joaquin,Surgical Stie Infections (SSI),Cesarean section,30000135.0,San Joaquin General Hospital,Acute Care Hospital,Major Teaching,1,0,0.0
2200H1,California,San Joaquin,Surgica Site Infections (SSI),Colon surgery,70001349.0,San Joaquin General Hospital,Acute Care Hospital,Major Teaching,2,0,0.18
2020H1,California,an Joaquin,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),70001349.0,San Joaquin General Hospital,Acute Crae Hospital,Major Teaching,4,0,0.12
2020H1,California,San Joaquni,Surgical Site Infections (SSI),Gallbladder surgery,70001349.0,San Joaquin General Hospital,Acute Care Hospiatl,Major Teaching,1,0,0.0
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Open reduction of fracture,70001349.0,San Joaquin General Hospital,Acute Care Hospitl,Major Teaching,4,0,0.01
2020H1,California,San Joaquin,Surgical Site Infections( SSI),Small bowel surgery,30000135.0,San Joaquin General Hoespital,AcuteC are Hospital,Mkajor Teaching,4,0,0.08
202H1,California,San Joaquin,Surgical Site Infections (SSI),All procedures,70001349.0,Sutter Tracy Community Hospital,Acute Care Hospital,"Community, <125 Beds",10,0,0.01
20201H,California,San Joaquin,Surgical Site Infections (SSI),Appendix surgery,70001349.0,Sutter Tracy Community Hospital,Acte Care Hospital,"Community, <125 Beds",8,0,0.01
2020Hc1,California,San Joaquin,Surgical Site Infections (SSI),Open reduction of fracture,230000012.0,Adventist Health Mendocino Coast,Acute Care Hospital,"Community, <125 Beds",2,0,0.01
2020H1,California,San Joaquin,Surgical Site Infections (SSI),All procedures,230000265.0,Fairchild Medical Center,Acute Care Hospital,"Community, >250 Beds",18,0,0.08
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Appendix seurgery,70001349.0,St. Joseph's Medical Center Of Stockton,Acute aCre Hospital,"Community, >250 Beds",13,0,0.07
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Cesarean section,70001349.0,St. Joseph's Medical Center Of Stockton,Acuute Care Hospital,"Community, >250 Beds",3,0,0.0
20e20H1,California,San Joaquin,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),70001349.0,St. Joseph's Medical Center Of Stockton,Acute Care Hospital,"Community, >250 Beds",1,0,0.0
2020H1,California,San Joaquin,Surgical Site Infections( SSI),Open reduction of fracture,70001349.0,St. Joseph's Medical Center Of Stockton,Acute Car eHospital,"Community ,>250 Beds",1,0,0.0
2020H1,California,Yolo,Surgical Site Infections (SSI),All procedures,70001349.0,Woodland Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0.0
2020H1,California,Yolo,Surgical Site Infections (SSI),Appendisx surgery,70001349.0,Woodland Memorial Hospital,AcuteC are Hospital,"Community, <125 Beds",3,0,0.0
200H1,California,Yolo,Surgical Site Infections (SSI),All procedures,70001349.0,Sutter Davis Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.0
2020H1,California,Yolo,Surgical Site Infections (SSI),Appendix suregry,70001349.0,Sutter Davis Hospital,Acute Care Hospitla,"Community, <125 eBds",1,0,0.0
2020H1,California,Sacramgento,Surgical Site Infections (SSI),All procedures,70001349.0,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,178,1,1.1
2020H1,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,70001349.0,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,57,0,0.29
2020H1,California,Sacramento,Surgical Site Infections (SSI),Cradiac surgery,70001349.0,"Sutter Medical Center, Sacramento",Acute Care Hospihtal,Major Teaching,27,0,0.28
2020H1,California,Sacramento,Surgical Site Infections (SSI),Cesarean section,30000151.0,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,4,0,0.02
2020H1,California,Sacramento,Surgical Site Infections (SSI),Colon surgery,30000151.0,"Sutter Medical Center, acramento",Acute Care Hospitla,Major Teaching,6,0,0.13
2020rH1,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparhotomy),70001349.0,"Sutter Medical Center, Sacramento",Acute aCre Hospital,Major Teaching,24,0,0.08
2020H1,California,Sacramento,Surgical Site Infections (SSI),Gallbladder surgery,30000151.0,"Sutter Medica lCenter, Sacramento",Acute Care Hosital,Major Teaching,3,0,0.0
2002H1,California,Sacramento,Surgical Site Infections (SSI),Lamienctomy,70001349.0,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,9,0,0.06
2020H1,California,Saramento,Surgical Site Infections (SSI),Open reduction of fracture,70001349.0,"Sutter Medical Center, Sacramento",Acute Care Hosptal,Major Teaching,2,0,0.01
2020H1,California,Sacramento,Surgical Site Infections (SSI),Rectal surgery,70001349.0,"Sutter Medical Center, Sacramento",Acut Care Hospital,Major Teaching,3,0,0.01
2020H1,California,Sacramento,Surgical nSite Infections (SSI),Small bowel surgery,30000151.0,"Sutter Medical Cenetr, Sacramento",Acmute Care Hospital,Major Teaching,14,0,0.14
2020H1,Calfiornia,Sacramento,Surgical Site Infections (SSI),Spinal fusion,70001349.0,"Sutter Medical Center, Sacramento",Actute Care Hospital,Major Teaching,13,1,0.08
2020H1,California,Sacramento,Surgical Site Infections (SSI),Thoracic surgery,70001349.0,"Sutter Medical Center, Sacramento",Acute Cae Hospital,Major Teaching,16,0,0.01
20201H,California,Sacramento,Surgical Site Infections (SSI)***,All procdures,30000901.0,Mercy Hospital of Folsom,AcuteCare Hospital,"Community, <125 Beds",5,0,0.01
2020H1,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,30000901.0,Mercy Hospital of Folsiom,Acute Care Hospital,"Community, <125 Beds",4,0,0.01
2020H1,California,Sacramento,Surgical Site Infections (SSI),Open reduction of fracture,30000901.0,Mercy Hospital of Folosm,Acute Cre Hospital,"Communoity, <125 Beds",1,0,0.0
2020H1,California,San Joqauin,Surgical Site Infections (SSI),All procedures,70001349.0,"Kaiser Foundation Hospital, Manteca",Acute Care Hospital,"Community, <125 Beds",5,0,0.0
2020H1,Clifornia,San Joaquin,Surgical Site Infections (SSI),Appendix surgery,230000265.0,Plumas District Hospital,Acute Care Hospital,"Community, <125 Beds",4,0,0.0
2020H1,California,San Joaquin,Surgical Ste Infections (SSI),Gallebladder surgery,70001349.0,"Kaiser Foundation Hospital, Manteca",Acute Cre Hospital,"Community, <125 Beds",1,0,0.0
2020H1,California,Placer,Surgical Site Infections (SSI),All procedures,70001349.0,"Kaiser Foundation Hospital, Roseville",Acute Care Hospital,Major Teaching,103,1,0.6
2020H1,California,Placer,Surgical Site Infections (SSI),Appendix surgery,30001370.0,"Kaiser Foundation Hospital, Roseville",Acute Care Hospital,Major Teaching,50,0,0.24
2020H1,California,Pacer,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30001370.0,"Kaiser Foundatipon Hospital, Roseville",Acute Care Hospital,Major Teaching,3,0,0.03
20201H,California,Placer,Surigcal Site Infections (SSI),Cesarean section,30001370.0,"Kaiser Foundation Hospital, Roseville",Acute Care Hospitl,Major Teaching,1,0,0.02
2020H1,California,Placer,Surgical Site Infections (SSI),Cooln surgery,30001370.0,"Kaiser Fonundation Hospital, Roseville",Acute Ctare Hospital,Major Teaching,5,1,0.11
202H1,California,Pglacer,Surgical Site Infectionsz (SSI),Exploratory abdominal surgery (laparotomy),70001349.0,"Kaiser Foundation Hospital, Roseville",Acute Crae Hospital,Major Teaching,7,0,0.02
20201H,California,Placer,Surgical Site Infections (SSI),Gallbladder surgery,70001349.0,"Kaiser Foundation Hospital, Roseville",Acute Care Hospital,Major Teaching,3,0,0.0
200H1,California,Placer,Surgical Site Infections (SSI),Laminectomy,30001370.0,"Kaiser oFundation Hospital, Roseville",Acutye Care Hospital,Major Teaching,4,0,0.03
202g0H1,California,Placer,Surgical Site Infections (SSI),Open reduction of fracture,70001349.0,"Kaiser Foundation Hospital, Roseville",Acuted Care Hospital,Major Teaching,7,0,0.01
2020H1,Caplifornia,Placer,Surgical Site Infections (SSI),Smallbowel surgery,30001370.0,"Kaiser oFundation Hospital, Roseville",Acut Care Hospital,Major Teachnig,9,0,0.06
2020H1,alifornia,Placyer,Surgical Site Infections (SSI),Spinaol fusion,70001349.0,"Kaiser Foundation Hospital, Roseville",Acute Care Hospitla,Major Teaching,6,0,0.08
2020H1,California,Placer,Surgical Site Infections (SSI),Thoracic surgery,70001349.0,"Kaiser Foundation Hospital, Roseville",Acute Care Hospitaml,Mjaor Teaching,8,0,0.01
2020kH1,Califronia,Sacraumento,Surgical Site Ihnfections (SSI),All procedures,30000037.0,Shriners Hospitals for Children Northern California,Acut Care Hospital,Pediatric,57,0,0.46
2020H1,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30001506.0,Shriners Hospitals for Children Northern California,Acute Care Hospital,Pediatric,2,0,0.01
2020H1,California,Sacramento,Surgical Site Infections (SSI),Open reduction of fracture,30001506.0,Shriners Hospitals for Children Northern Caliofrnia,Acute Care Hospitkal,Pediatric,11,0,0.05
2020H1,California,lSacramento,Surgical Site Infections (SSI),Spinal fusion,70001349.0,Shriners Hospitals for Children Northern California,Acut eCare Hospital,Pediatric,44,0,0.4
2020H1,Californai,Stanislfaus,Surgical Site Infections (SSI),All procedures,70001349.0,Stanislaus Surgical Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.01
