OBJECTID,LAND_CLASS,CT_LEGEND,MA_LEGEND,ME_LEGEND,NH_LEGEND,NJ_LEGEND,NY_LEGEND,RI_LEGEND,VT_LEGEND,STATE_COD,STATE_NAME,CNTY_FIELD,CNTY_COD,CNTY_NAME,TOWN_FIELD,TOWN_NAME,LABEL_FLAG,MAP_LABEL,CT_LABEL_Y,CT_LABEL_N,SHAPE_Length,SHAPE_Area
32,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T16 R8 WELS,True,T16 R8 WELS, ,T16 R8 WELS,129966.144639085,1057942271.7418
33,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T16 R9 WELS,True,T16 R9 WELS, ,T16 R9 WELS,131110.730296241,1074519033.28515
34,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T16 R12 WELS,True,T16 R12 WELS, ,T16 R12 WELS,128039.130009197,1023277763.97343
35,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T16 R13 WELS,True,T16 R13 WELS, ,T16 R13 WELS,128543.951723815,1032575317.04007
36,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Caswell,True,Caswell, ,Caswell,136807.891444209,1169591879.14195
37,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T16 R14 WELS,True,T16 R14 WELS, ,T16 R14 WELS,153941.658534809,1332288771.87114
38,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Connor Twp,True,Connor Twp, ,Connor Twp,132988.382782958,1109457737.37804
39,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,New Sweden,True,New Sweden, ,New Sweden,125352.61063731,973540415.184917
40,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Westmanland,True,Westmanland, ,Westmanland,128305.749491723,1025631933.86506
41,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T15 R5 WELS,True,T15 R5 WELS, ,T15 R5 WELS,137352.945272689,1181190452.97757
42,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T15 R6 WELS,True,T15 R6 WELS, ,T15 R6 WELS,126768.267981281,1002914235.09174
43,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Winterville Plt,True,Winterville Plt, ,Winterville Plt,132519.732525515,1097720323.74829
44,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T15 R8 WELS,True,T15 R8 WELS, ,T15 R8 WELS,126267.131954421,998203609.386601
45,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T15 R9 WELS,True,T15 R9 WELS, ,T15 R9 WELS,126863.584572214,1004307482.74679
46,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T15 R10 WELS,True,T15 R10 WELS, ,T15 R10 WELS,129781.72945298,1050084571.6127
47,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T15 R11 WELS,True,T15 R11 WELS, ,T15 R11 WELS,128771.377517207,1035615633.37081
48,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T15 R12 WELS,True,T15 R12 WELS, ,T15 R12 WELS,126859.199895767,1006960974.65548
49,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T15 R13 WELS,True,T15 R13 WELS, ,T15 R13 WELS,129104.496621923,1038216803.5244
50,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T15 R14 WELS,True,T15 R14 WELS, ,T15 R14 WELS,128344.66090366,1029418783.78495
51,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Limestone,True,Limestone, ,Limestone,135234.82589297,1147507742.16448
52,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T15 R15 WELS,True,T15 R15 WELS, ,T15 R15 WELS,135325.14570942,1029371775.5944
53,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Caribou,True,Caribou, ,Caribou,201581.949694587,2252764490.71277
54,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Woodland,True,Woodland, ,Woodland,126287.522069736,991495564.048601
55,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Perham,True,Perham, ,Perham,128739.402324842,1030623650.01676
56,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T14 R5 WELS,True,T14 R5 WELS, ,T14 R5 WELS,138622.121137779,1199217755.93091
57,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T14 R6 WELS,True,T14 R6 WELS, ,T14 R6 WELS,129385.062035373,1036595552.19404
58,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T14 R7 WELS,True,T14 R7 WELS, ,T14 R7 WELS,134789.034709242,1138695696.01191
59,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T14 R8 WELS,True,T14 R8 WELS, ,T14 R8 WELS,129475.675802871,1043744760.8693
60,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T14 R9 WELS,True,T14 R9 WELS, ,T14 R9 WELS,128400.899278153,1031794761.62065
61,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T14 R10 WELS,True,T14 R10 WELS, ,T14 R10 WELS,130936.208964744,1073241464.99787
62,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T14 R11 WELS,True,T14 R11 WELS, ,T14 R11 WELS,129675.533405258,1051046276.77544
63,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T14 R12 WELS,True,T14 R12 WELS, ,T14 R12 WELS,128044.095718091,1023323832.36477
64,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T14 R13 WELS,True,T14 R13 WELS, ,T14 R13 WELS,129432.883989365,1046155486.36834
65,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Fort Fairfield,True,Fort Fairfield, ,Fort Fairfield,200486.095938871,2203157808.12077
66,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T14 R14 WELS,True,T14 R14 WELS, ,T14 R14 WELS,127926.477812271,1022745151.43597
67,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T14 R15 WELS,True,T14 R15 WELS, ,T14 R15 WELS,127119.356662422,1009723513.29285
68,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T14 R16 WELS,True,T14 R16 WELS, ,T14 R16 WELS,114498.020426604,703668845.769614
69,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Washburn,True,Washburn, ,Washburn,125528.949774218,982600356.908604
70,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Wade,True,Wade, ,Wade,127945.764055516,1022687802.36441
71,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T13 R5 WELS,True,T13 R5 WELS, ,T13 R5 WELS,135264.044214438,1144283479.13979
72,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Portage Lake,True,Portage Lake, ,Portage Lake,124811.780980914,971739807.998541
73,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T13 R8 WELS,True,T13 R8 WELS, ,T13 R8 WELS,129423.26942712,1047558694.91134
74,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T13 R9 WELS,True,T13 R9 WELS, ,T13 R9 WELS,128287.625351762,1027853402.49235
75,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T13 R7 WELS,True,T13 R7 WELS, ,T13 R7 WELS,129146.949041459,1040604540.30527
76,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T13 R10 WELS,True,T13 R10 WELS, ,T13 R10 WELS,130881.404951739,1068068651.68213
77,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T13 R11 WELS,True,T13 R11 WELS, ,T13 R11 WELS,129771.350618424,1052645738.39883
78,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T13 R12 WELS,True,T13 R12 WELS, ,T13 R12 WELS,128857.317969484,1036260380.27037
79,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T13 R13 WELS,True,T13 R13 WELS, ,T13 R13 WELS,129179.826574063,1041949992.48001
80,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T13 R14 WELS,True,T13 R14 WELS, ,T13 R14 WELS,129232.568040741,1043079804.76288
81,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T13 R15 WELS,True,T13 R15 WELS, ,T13 R15 WELS,129357.527024001,1044971371.6982
82,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T13 R16 WELS,True,T13 R16 WELS, ,T13 R16 WELS,161251.864923829,1455808160.7589
83,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Presque Isle,True,Presque Isle, ,Presque Isle,198153.897537393,2181398557.78532
84,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Mapleton,True,Mapleton, ,Mapleton,124067.804893294,965433371.987586
85,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Castle Hill,True,Castle Hill, ,Castle Hill,127667.008446681,1016312911.46949
86,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Ashland,True,Ashland, ,Ashland,203192.368738074,2291981285.69681
87,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Nashville Plt,True,Nashville Plt, ,Nashville Plt,126405.988413098,1000657952.72062
88,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T12 R8 WELS,True,T12 R8 WELS, ,T12 R8 WELS,128971.696798827,1038569902.87746
89,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T12 R7 WELS,True,T12 R7 WELS, ,T12 R7 WELS,131879.307329715,1087347444.05592
90,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T12 R9 WELS,True,T12 R9 WELS, ,T12 R9 WELS,129123.215344721,1044997315.77803
91,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T12 R10 WELS,True,T12 R10 WELS, ,T12 R10 WELS,131855.024178596,1088037161.99475
92,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T12 R11 WELS,True,T12 R11 WELS, ,T12 R11 WELS,129686.27700564,1051637370.07598
93,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T12 R12 WELS,True,T12 R12 WELS, ,T12 R12 WELS,129299.872300937,1045454275.14925
94,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T12 R13 WELS,True,T12 R13 WELS, ,T12 R13 WELS,129049.825932028,1043677189.97714
95,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T12 R14 WELS,True,T12 R14 WELS, ,T12 R14 WELS,128675.490282383,1033621794.68913
96,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T12 R15 WELS,True,T12 R15 WELS, ,T12 R15 WELS,128972.107299933,1038892837.09383
97,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Easton,True,Easton, ,Easton,132496.488286093,1094242526.74454
98,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T12 R16 WELS,True,T12 R16 WELS, ,T12 R16 WELS,128337.094943129,1029496446.69363
99,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T12 R17 WELS,True,T12 R17 WELS, ,T12 R17 WELS,131683.775882218,1079020852.28709
100,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Chapman,True,Chapman, ,Chapman,132557.267706854,1091076004.5387
101,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T11 R4 WELS,True,T11 R4 WELS, ,T11 R4 WELS,135920.877052777,1153466577.56784
102,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Garfield Plt,True,Garfield Plt, ,Garfield Plt,132029.931018956,1083870784.58222
103,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T11 R8 WELS,True,T11 R8 WELS, ,T11 R8 WELS,129587.469313224,1049585028.06252
104,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T11 R7 WELS,True,T11 R7 WELS, ,T11 R7 WELS,137326.831987867,1178914907.20014
105,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T11 R9 WELS,True,T11 R9 WELS, ,T11 R9 WELS,130777.374151351,1065119112.54109
106,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T11 R10 WELS,True,T11 R10 WELS, ,T11 R10 WELS,133684.794638026,1119534103.18809
107,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T11 R11 WELS,True,T11 R11 WELS, ,T11 R11 WELS,129589.718232429,1047669858.95317
108,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T11 R12 WELS,True,T11 R12 WELS, ,T11 R12 WELS,129653.82933335,1047879445.13207
109,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T11 R13 WELS,True,T11 R13 WELS, ,T11 R13 WELS,129717.150370643,1050421461.61133
110,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T11 R14 WELS,True,T11 R14 WELS, ,T11 R14 WELS,128658.657748509,1035800354.11599
111,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T11 R15 WELS,True,T11 R15 WELS, ,T11 R15 WELS,128919.672883293,1038999083.85673
112,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T11 R16 WELS,True,T11 R16 WELS, ,T11 R16 WELS,129010.282696595,1040461555.23625
113,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Mars Hill,True,Mars Hill, ,Mars Hill,125706.38431899,989239664.430667
114,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T11 R17 WELS,True,T11 R17 WELS, ,T11 R17 WELS,148478.9744937,1346736416.26243
115,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Westfield,True,Westfield, ,Westfield,134800.610451895,1131834105.53572
116,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T10 R3 WELS,True,T10 R3 WELS, ,T10 R3 WELS,136331.093594855,1167425536.97513
117,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Squapan Twp,True,Squapan Twp, ,Squapan Twp,135618.592165054,1147107181.8285
118,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Masardis,True,Masardis, ,Masardis,134134.288259528,1121638559.07959
119,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T10 R8 WELS,True,T10 R8 WELS, ,T10 R8 WELS,129470.441099342,1046514494.87658
