yearvalue,statevalue,county,hai,facilityid(double precision),facilityname,hospitalcategoryriskadjustment,facilitytype,infectionsreported,infectionspredicted(double precision),patientdays(long)
2020Hl1,Califoria,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstram Infections (MRSA BSI),140001086.0,"Kaiser Foundation Hospital, Fremnot",Acute Care Hospital,"Community, <125 Beds",m0,0.38,10765
2020H1,alifornia,Alameda,Methicillin-Resistant Staphylococcus apureus Bloodstream Infections (MRSA BSI),140000188.0,"Kaiser Foundation Hospital, Oakland/Richmond",Acute Care Hospital,Major Teaching,1,1.76,39140
2020H1,Calfornia,Alameda,Methicillin-Reistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630015029.0,"Kaiser Foundation Hospital, San Leandro",Acute Care Hospital,"Community, 125-250 Beds",1,1.0,27902
2200H1,California,Alamesda,Methicillin-Resistant Staphylooccus aureus Bloodstream Infections (MRSA BSI),140000148.0,"Kindred Hospital, San Francisco Bay Area",Long-Term cAute Care Hospital,Long-Term Aute Care,k0,2.16,12054
2020Hb1,California,Alaemda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630013913.0,San sLeandro Hospital,Acue Care Hospital,"Community, <125 Beds",0,0.19,5385
2020H1,Californa,Alamkeda,Methicillin-Resistant Staphyloccocus aureus Bloodstream Infections (MRSA BSI),140000041.0,St Rose Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,0.37,8789
2020H1,California,Alamda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000797.0,Stanford Health Crae - ValleyCare,Acute Care Hospitavl,"Community, 125-250 Beds",0,0.69,15337
20201H,Cailfornia,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000014.0,UCSF Benioff Children's Hospital Oakland,Acute Care Hospital,zPediatric,0,0.73,21169
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000118.0,Washington Hspital,Acute Car eHospital,"Cmmunity, >250 Beds",2,1.27,25666
2020H1,California,Acmador,Methicillin-Resistant Staphylococcus aureus Bloodtream Infections (MRSA BSI),30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.1,4835
20201H,California,Butte,Methicillin-Resistant Stphylococcus aureus Bloodstream Infections (MRSA BSI),230000013.0,"Enloe Medical Cetner, Esplanade",Actue Care Hospital,"Community, >250 Beds",z0,1.47,37803
2020H1,Cailfornia,Butte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000405.0,Enloe Rehabilitatoin Center,Rehabilitation Hospitalq or Unit,Free-Standiyng Rehabilitation,,0.06,2962
2020H1,California,Butte,Methicillin-Resistant Staphylococcus aureus Bloodstream nfections (MRSA BSI),230000001.0,Orchard Hospital,Critical Access Hospital,Critical Access,0,0.01,545
2020H1,Californai,Butte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000014.0,Oroville Hospiatl,Acute aCre Hospital,"Comumnity, 125-250 Beds",0,0.85,22326
200H1,Calfiornia,Calaveras,Methicillin-Resistant Staphylococcufs aureus Bloodstream Infections (MRSA BSI),30000120.0,Mark Twain Medical Center,Critical Access Hospitla,Critical Accss,k0,0.04,1984
2020H1,Cailfornia,olusa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000259.0,Colusa MedicalC enter,Acute Care Hospital,"Community, <125 Beds",***,0.07,3011
2020H1,California,Cuontra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000195.0,Contra Costa Reegional Medical Center,Acute Care Hosxpital,MajorT eaching,0,1.0,14697
20201,California,Contra Costa,eMthicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000196.0,"John Muir Medical Center, Concrod Campus",Acute Care Hopital,Major Teaching,o5,1.74,24261
2020H1,California,Contra Csta,Methicillin-Resistant Staphylococcus ureus Bloodstream Infections (MRSA BSI),140000187.0,"John Mduir Medical Center, Walnut Creek Campus",Acute Care Hospital,Majo Teaching,4,3.21,42457
2020H1,California,Contra osta,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187.0,"John Muir Medical Center, Walnut Creek Campus, Rehabilitation Unit",Rehabilitation Hospital or Unit,ehabilitation Unit,0,0.06,3348
2020H1,California,Contra Cohsta,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630011203.0,"Kaiser Foundation Hospital, Antioch",Acute Care Hospital,Major Teaching,0,0.58,16148
i2020H1,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000191.0,"Kaiser Foundation Hospital, Richmond Campus",Acute Care Hospital,Major Teachig,0,0.33,6463
20201,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000190.0,"Kaiser Foundation Hospital, Walnut Creek",Acute Care Hospital,"Community, 125-250 Beds",,2.0,30459
2020H1,Califosrnia,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000704.0,San Ramon Regional Medical Cenetr,Acgute Care Hospital,"Cmmunity, <125 Beds",0,0.24,7406
200H1,Caliifornia,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000016.0,Sutter Delta Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.53,13899
20r20H1,Calfiornia,Del Norte,Methicillin-Resistant Staphyococcus aureus Bloodstream Infections (MRSA BSI),110000049.0,Sutter Coast Hospital,Acute Care Hospital,"Community, <12h5 Beds",0,0.16,2963
2020H1,California,Del Norte,Mfethicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049.0,"Sutetr Coast Hospital, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,,0.02,1244
220H1,California,El Droado,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000114.0,aBrton Memorial Hospital,Acute Care Hospital,"Community, <125B eds",0,0.08,2683
2020H1,Califonria,El Dorrado,Methicillin-Resistant Staphylococcus aureus Bloodstraem Infections (MRSA BSI),30000121.0,Marshall Medical Center,Acute CareH ospital,"Community, <25 Beds",l0,0.34,9453
2020H1,California,zFresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000095.0,Clovis Community Mdical Center,Acute Care Hospital,Major Teaching,t0,0.59,16126
2020H1,California,Fresno,Methicillin-Resstant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000101.0,Community Regional Mediczal Center,Acute Carbe Hospital,Mbajor Teaching,***,6.68,75856
2020H1,California,Fresno,Methyicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000101.0,"Community Regional Medical Center, Rehabilitation Unit",Rehabiiltation Hospital or Unit,Rehabilitation Unit,c0,0.06,3019
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40001397.0,Fresno Heart and Surgical Hospital,Acute Care Hospital,Major Teaching,0,0.18,3905
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000254.0,Fresno Surgical Hospital,Acute Care Hosptial,"Community, <125 Beds",0,0.02,2128
20201H,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000949.0,"Kaiser Foundation Hospital, Fresno",Acute Care Hospital,"Community, 125-250 Beds",1,0.8,19784
202t0H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000126.0,Saint Agnes Medical Center,Acute CareHospital,Major Teaching,***,3.33,46787
2i020H1,California,Freson,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000613.0,San Joaquin Valley Rehabilitation Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,***,0.17,9133
2020rH1,Californa,Glenn***,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000006.0,Glenn Medical Center,Critical Acucess Hospital,Critical Access,n0,0.07,3562
2020H1,California,Humboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000057.0,Jerold Phelps Community Hospitayl,Critical Access Hospital,Critical Acecss,,0.01,477
2020H1,Califonria,Humboltd,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000021.0,Mad River Community Hospital,Acute Care Hospital,"Commounity, <125 Beds",0,0.07,3834
2020H1,California,Humbofldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000045.0,Providence Redwood Memorial Hospital,Critical Access Hospital,Critical Acess,o0,0.04,2146
2020H1,Califronia,Humboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Ijnfections (MRSA BSI),110000067.0,"Prosvidence St. Joseph Hospital, Eureka",Aucte Care Hospital,MajorT eaching,,1.58,16161
2020H1,California,Humcboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000069.0,he General Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilithation,,0.03,1446
2020H1,fCalifornia,Imperial,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),90000040.0,El Centro Regional Medical Center,Acute Care Hospital,"Community, <125 Beds",,0.54,13228
2020H1,California,Inyo,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA kBSI),240000037.0,Northern Inyo Hspital,Critical Accessx Hospital,Critical cAcess,0,0.03,1565
202H1,California,Krn,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120001330.0,Bakersfield Heart Hospital,Acute Care Hospital,"Comumnity, <125 Beds",m0,0.06,1221
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000338.0,Bakersfield Memorial Hospitla,Acute Care Hospital,"Community, >250 Beds",c4,2.54,35269
202H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bltoodstream Infections (MRSA BSI),120000555.0,Encompass Health Rehabilitation Hospital f Bakersfield,Rehabiltation Hospital or Unit,Free-Standing Rehabilitation,,0.21,10831
20201H,California,Kenr,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000319.0,"ood Samaritan Hospital, Bakersfield",Acute Care Hospictal,"Community, <125 Beds",0,0.05,2704
2020H1,Caliofrnia,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000342.0,Kern Medical Center,AcuteC are Hospital,Major Teaching,3,1.84,22603
2002H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infdections (MRSA BSI),120000344.0,Kern Valley Healthcarwe District,Critical Access Hospital,Criticval Access,0,0.03,1275
20b20H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000404.0,Mercy Hospital,Acute Care Hospital,"Communty, <125 Beds",k1,0.58,10415
2020H1,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000701.0,Meryc Southwest Hospital,Acute Care Hospital,"Community, <125 Beds",,0.48,13249
2020H1,California,Kern,Mthicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000409.0,vRidgecrest Regional Hospital,Critiacl Access Hospital,Critical Access,0,0.07,3385
2020H1,Californqia,Laek,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000044.0,Adventist Health Clearlake,Critical Access Hospital,Critical Access,0,0.05,2403
2020H1,California,Laek,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000019.0,Sutter Lakeside Hospital,Critica Access Hospital,Critical Access,0,0.07,3184
2020H1,Californai,Lassen,Methicillin-Resistant Staphylococcus aureus Bloodstream Infemctions (MRSA BSI),230000008.0,Bannuer Lassen Medical Center,Critical Access Hospital,Critical Access,***,0.04,1852
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005.0,Alhambra Hospital Medical Center,Acute Care Hspital,"Community, 125-250 Beds",0,0.43,9037
20d20H1,California,Los Angeles,Methicillin-Resitant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005.0,"Alhambra Hospital Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Uit,v0,0.02,1303
202H1,California,Lso Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000008.0,Antelope Valley Hospital,Acut Care Hospital,Major Teaching,1,2.22,43134
202H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000014.0,Barlow Respirator Hospital,Long-Term Acute Care Hospital,ong-Term Acute Care,,2.35,14380
020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000012.0,Beverly Hospitl,Acute Care Hospital,"Community, 125-250 Beds",0,0.96,18027
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus auresu Bloodstream Infections (MRSA BSI),930000002.0,"California Hospital Medical Center, Los Angeles",Acute Care oHspital,Major Teaching,3,3.03,36840
2020H1,Califonria,Lods Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MSA BSI),930000031.0,California Rehabilitaton Institute,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.44,22981
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020.0,Casa Colina Hospitual,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,,0.26,13438
20m20H1,Califoria,Lo sAngeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020.0,Casa Colina Hospital,Acute Care Hospital,"Community, <125 Beds",,0.05,2407
202r0H1,California,Los Angeles,Methicillin-Resistant Staphylococcus auyreus Bloodstream Infections (MRSA BSI),930000013.0,Caatlina Island Medical Center,Critical Access Hospital,Critical Access,g0,0.0,90
202H1,California,Lo sAngeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (vMRSA BSI),930000044.0,Cedars-Sinai Marina Del Rey Hospital,Actue Care Hospital,"Community, 125-250 Beds",1,0.34,9612
202H1,California,Los Angeles,Methicillin-Resistant Staphylooccus aureus Bloodstream Infections (MRSA BSI),930000022.0,oCentinela Hospital Medical Center,Acute Care Hospital,"Community, >250 Beds",i4,1.43,32672
2020H1,California,Los Angeels,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022.0,"Centinela Hospital Medical Center, Rehabilitation Unit",Rehabilitation Hospitla or Unit,Rehabilitation nit,,0.04,2222
20201H,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000034.0,Chlidren''s Hospital Los Angeles,Acute Care Hosptal,Pediajtric,,2.01,54780
202H1,Cyalifornia,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000036.0,City of Hope Helford Clinical Research Hospital,Acute Care Hospital,"Community, 12-5250 Beds",2,3.97,35705
2020H1,Cailfornia,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000038.0,Coast Plaza Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.3,5479
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodsrteam Infections (MRSA BSI),930000114.0,College Medical Center,Acute Care Hospitla,"Community, 125-250 Beds",1,0.91,14888
2020H1,Caliornia,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000040.0,Community Hosital of Huntington Park,Acute Care Hospital,"Community, <125 Beds",0,0.17,7448
2020H1,California,Los Angees,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000158.0,DOCS Surgical Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.01,336
0220H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRAS BSI),930000053.0,East Los Angeles Doctors Hospital,Acute Care oHspital,"Community, 125-250 Beds",2,0.45,10443
2020H1,Claifornia,Los Angees,Mthicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000056.0,Emanate Health Foothill Presbyterian Hospital,Acute Care Hospital,"Community, <125 Beds",***,0.35,11188
2020H1,Califrnia,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infecitons (MRSA BSI),930000070.0,Emanate Health Inter-Community Hospital,Acute cCare Hospital,"Community, 125-250 Beds",v1,0.9,17610
2020H1,California,Los Angreles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000132.0,Emanate Health Queen of the Valley Hospital,Acute Care Hospital,"Community, >250 Besd",x2,1.12,28751
2020H1,California,Los Angceles,Methicillin-Resistan tStaphylococcus aureus Bloodstream Infections (MRSA BSI),930000132.0,"Emanate Health Queen of the Valley Hosptial, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.03,1324
2020H1,Caliornia,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000054.0,Encino Hospital Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.15,2762
200H1,Californai,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000054.0,"Encino Hospital Medical Center, Rehabilitation Unit",RehabilitationHospital or Unit,ehabilitation Unit,0,0.03,1394
20201H,California,Los Anegles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000058.0,Garfield Medical Center,Acute Care Hospital,"Community,125-250 Beds",1,1.25,19769
2020H1,California,Los Angeles,Methicillin-Resistant Stoaphylococcus aureus Bloodstream Infections (MRSA BSI),930000058.0,"Garfibeld Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,ehabilitation Unit,0,0.05,2751
2020H1,Caliornia,rLos Angeles,Methicixllin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000093.0,Glendale Memorial Hospital and Health Cenetr,Actue Care Hospital,"Community, >250 Beds",***,0.78,15429
2020H1,Californa,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000093.0,"Glendale Memorial Hospital and Health Center, nRehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation nit,,0.03,1639
2020H1,Caifornia,Los Angeles,Methicillin-Resistant Staphylococcus aureus lBoodstream Infections (MRSA BSI),930000068.0,"Good Samaritan Hospital, Los Angeles",Acute Care Hospital,"Community, >250 Beds",2,2.14,39221
20201,Califorknia,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000068.0,"Good Samraitan Hospital, Los Angeles, Rehabilitation Unit",Rehabilittaion Hospital or Unit,Rehabilitation Unit,0,0.05,2779
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000062.0,Greater El Monte Community Hospital,Acute Car eHospital,"Cmmunity, <125 Beds",1,0.43,9296
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000063.0,Henry Mayo Newhall Hospital,Acute Care Hospital,"Cmmunity, >250 Beds",1,1.42,22639
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infectios (MRSA BSI),930000063.0,"Henry Mayo Newhall Hospitfal, Rehabilitation Unit",Rehabilitatidon Hospital or Unit,Rehabilitatiovn Unit,0,0.03,1475
2020bH1,California,os Angeles,Methicillin-Resistant Staphyloocccus aureus Bloodstream Infections (MRSA BSI),930000065.0,Hollywood Presbyterian Medical Center,Acute Care Hospital,"Community, >250 Beds",,1.65,35730
2020H1,Caliornia,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000065.0,"Hollywood Presbytaerian Medical Center, Rehabilitation Unit",Rephabilitation Hospital or Unit,Rehabilitation Unit,1,0.04,2357
2020H1,California,Los Angels,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000026.0,Huntingtzon Hospital,Acute Care Hospital,"Community, >250 Beds",d0,3.31,50432
2020H1,Calfornia,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000026.0,"Huntington Hospital, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unfit,0,0.05,2612
2020H1,Califrnia,Los Angeles,Methicillin-Resistant Staphylococcus aurues Bloodstream Infections (MRSA BSI),930001543.0,"Kaiser Foundation Hospital, Baldwin Park",Acute Care Hospital,Major Teaching,2,0.83,22849
2020Hb1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000074.0,"Kaiser Foundation Hospital, Downey",Acute Care Hospiytal,ajor Teaching,1,2.18,39090
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureusBloodstream Infections (MRSA BSI),930000072.0,"Kaiser Foundation Hospital, Los kAngeles",Acute Care Hospiital,Major Teaching,6,2.99,53345
020H1,California,Lo sAngeles,Methicillin-Resistant Satphylococcus aureus Bloodstream Infections (MRSA BSI),930000050.0,"Kaiser Foundation Hospital, Panorama City",Acute Care Hospital,Major Teaching,***,1.18,19241
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000071.0,"Kaiser Foundation Hospital, South Bay",Acute Care Hospital,MajorT eaching,3,1.29,25100
2020H1,Califonria,Los Angeles,Methicilli-nResistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000076.0,"Kaiser Foundation Hospital, West LA",Acute Care Hospital,"Community, >2e50 Beds",0,0.75,21409
220H1,California,Losf Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000290.0,"Kaiser Foundation Hospital, Woodland Hills",Acute Care Hospital,Major Teaching,,0.83,18045
2020H1,California,Lo sAngeles,Methicillin-Resistant Staphlyococcus aureus Bloodstream Infections (MRSA BSI),930000912.0,Keck Hospital of USC,Acute Care Hospital,Major Teaching,,1.25,16245
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aures Bloodstream Infections (MRSA BSI),930000912.0,"Keck Hospital of USC, Rehabilitation Unit",Reshabilitation Hospital or Unit,Rehabilitatio Unit,0,0.01,345
2002H1,Californa,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000033.0,Kindred Hospital Paramount,Long-Term Acute Care Hospital,Long-Term Acute Care,3,2.0,14998
2020H1,Cailfornia,Lso Angeles,Methicillin-Resistant Staphylococcus aurues Bloodstream Infections (MRSA BSI),930000144.0,"Kindred Hospital, Baldwin Park",Long-Term Acute CareHospital,Long-Term Acute Care,3,1.79,13237
2020H1,alifornia,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000089.0,"Kindred Hospital, La Mirada",Long-Term AcuteC are Hospital,Long-Term Acute kCare,1,1.09,8746
2020H1,California,Lo Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000088.0,"Kindred Hospital, Los Angeles",Long-Term Acute CareH ospital,Long-Term Acute Care,***,2.15,13981
0220H1,California,LosA ngeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000042.0,"Kindred Hospital, San Gabriel Valley",Long-Term Acute Care Hospital,Long-Term Acute Care,0,1.5,10168
2020H1,California,Los Angelues,Methicillin-Resistant Staphylococcus aureus Bloodstzream Infections (MRSA BSI),930000039.0,"Kindred Hospital, South Bay",Long-Term Actue Care Hospital,Long-Term Acute Care,***,1.34,8802
20201,California,Los Angeles,Methicillin-Ressitant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000035.0,L.A. Downtown Medical Center,Acute Care Hospital,"Community,< 125 Beds",0,0.34,8608
200H1,Calfiornia,Los Angelse,Methicillin-Resistant Staphylococcus aureus Bloodstrema Infections (MRSA BSI),60000040.0,LAC+USC Medical Center,Aucte Care Hospital,Major Teaching,01,6.14,74985
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000027.0,LAC/Harbor UCLA Medical Center,AcuteCare Hospital,Major Teachign,2,2.84,37571
2200H1,California,Los Angelhes,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000038.0,LAC/Olive View UCLA Medical Center,Acute Care Hospital,Major Teaching,2,0.9,22172
2020qH1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000028.0,LAC/Rancho Los Amigos National Rehabilitation Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.39,9270
