characteristic,sex,raceethnicity,year,score,standard_erroron_score,noteon_score
Total - Hispanic,,Hispanic,2007,,,Data not available.
Total - Hispanic,,Hispanic,2008,,,Data not available.
Total - Hispanic,,Hispanic,2009,233.0,2.5,
Total - Hispanic,,Hispanic,2010,,,Data not available.
Total - Hispanic,,Hispanic,2011,,,Data not available.
Total - Hispanic,,Hispanic,2012,,,Data not available.
Total - Hispanic,,Hispanic,2013,239.0,2.0,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2002,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2003,,,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2004,,,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2005,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2006,,,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2007,,,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2008,,,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2009,241.0,6.0,Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2010,,,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2011,,,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2012,,,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2013,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2002,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2003,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2004,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2005,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2006,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2007,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2008,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2009,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2010,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2011,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2012,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2013,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2002,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2003,,,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2004,,,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2005,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2006,,,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2007,,,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2008,,,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2009,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2010,,,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2011,,,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2012,,,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2013,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2002,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2003,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2004,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2005,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2006,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2007,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2008,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2009,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2010,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2011,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2012,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2013,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2002,243.0,2.5,
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2003,,,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2004,,,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2005,245.0,3.4,
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2006,,,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2007,,,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2008,,,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2009,257.0,2.0,
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2010,,,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2011,,,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2012,,,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2013,258.0,2.2,
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2002,230.0,6.0,
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2003,,,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2004,,,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2005,226.0,5.0,
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2006,,,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2007,,,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2008,,,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2009,230.0,3.0,
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2010,,,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2011,,,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2012,,,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2013,234.0,2.2,
"Total - Male, Hispanic",Male,Hispanic,2002,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Hispanic",Male,Hispanic,2003,,,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2004,,,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2005,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Hispanic",Male,Hispanic,2006,,,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2007,,,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2008,,,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2009,231.0,3.2,
"Total - Male, Hispanic",Male,Hispanic,2010,,,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2011,,,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2012,,,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2013,240.0,2.8,
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,,,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,,,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,,,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,,,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,,,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,,,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,,,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,,,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2013,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2013,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,,,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,,,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,,,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,,,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,,,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,,,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,,,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2012,,,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2013,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2013,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2002,263.0,3.6,
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2003,,,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2004,,,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2005,255.0,4.8,
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2006,,,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2007,,,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2008,,,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2009,263.0,2.2,
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2010,,,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2011,,,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2012,,,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2013,263.0,2.5,
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2002,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2003,,,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2004,,,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2005,231.0,5.5,
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2006,,,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2007,,,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2008,,,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2009,240.0,3.3,
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2010,,,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2011,,,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2012,,,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2013,242.0,4.5,
"Total - Female, Hispanic",Female,Hispanic,2002,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Hispanic",Female,Hispanic,2003,,,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2004,,,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2005,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Hispanic",Female,Hispanic,2006,,,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2007,,,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2008,,,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2009,235.0,3.8,
"Total - Female, Hispanic",Female,Hispanic,2010,,,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2011,,,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2012,,,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2013,238.0,3.1,
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,,,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,,,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,,,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,,,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,,,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,,,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,,,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,,,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,,,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,,,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,,,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,,,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,,,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,,,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,,,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,,,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
