S.No.,Offence,Amount of Fine
15.0,"Picketing, parking animals or collecting carts or vehicles on any street, using any street as a halting place for vehicle or animals or as a place encampment without the permission of the local government.","Rs.1,000"
16.0,"Causing or permitting animals to stray or keeping, tethering, stalling, feeding or gazing any cattle on any road, street or thoroughfare or in any public place or damaging or causing or permitting to be damaged any road, street or thoroughfare by allowing cattle to move thereon.","Rs.1,000"
17.0,Disposal of carcasses of animals within prohibited distance.,"Rs.1,000"
18.0,"Failure to dispose of offal, fat or any organ or part of a dead animal in a place set apart for the purpose by the local government.","Rs.1,000"
19.0,"Throwing or placing any refuse, litter or garbage on any street, or in any place, not provided or appointed for the purpose by a local government.","Rs.1,000"
20.0,Failure to provide for disposal of litter or garbage inside or outside a shop by its owner or occupier.,"Rs.1,000"
21.0,"Failure to maintain clean premises of the area in front of a shop, office or factory up to the public street or road serving this facility.","Rs.2,000"
22.0,"Watering cattle or animals, or bathing or washing at or near a well or other source of drinking water for the public.","Rs.1,000"
23.0,"Steeping hemp, jute or any other plant in or near a pond or any other excavation within such distance of the residential area as may be specified by a local government.","Rs.2,000"
24.0,"Failure to provide, close, remove, alter, repair, clean, disinfect or put in proper order any latrine, urinal drain, cesspool or other receptacle for filth, sullage, water or refuse by an owner or occupier of a house, shop, office, industry or premises.","Rs.4,000 for commercial/industrial concerns and Rs.1,000 for a residential house"
25.0,"Failure to clean the premises, houses, shops and cultivated lands of the plastic bags and other non-perishable materials.","Rs.1,000"
26.0,"Damaging or polluting physical environment, inside or outside private or public premises, in a manner to endanger public health.","Rs.4,000 for public premises and Rs.1,000 for private premises"
27.0,"Failure by the owner or occupier of any land to cut or trim the hedges growing thereon which overhang any well, tank or other source from which water is derived for public use.","Rs.1,000"
28.0,"Failure by the owner or occupier of any land or building to clean, repair, cover, fill up or drain off any private well, tank or other source of water supply, which is declared under this Act to be injurious to health or offensive to the neighbourhood.","Rs.2,000"
29.0,"Failure to stop leakages of water pipes, faucets and sanitary fittings resulting in dirty water pools affecting physical environments and breeding of mosquitoes.","Rs.2,000"
30.0,Failure of an owner or occupier of any building or land to put up and keep in good condition troughs and pipes for receiving or carrying water or sullage water.,"Rs.2,000"
31.0,"Feeding or allowing to be fed an animal meant for dairy or meat purposes, on deleterious substance, filth or refuse of any kind which is dangerous to health of consumers.","Rs.2,000"
32.0,"Defacing or disturbing, without due authorization, any direction-post, lamp post or lamp extinguishing or any light arranged by a local government.","Rs.2,000"
33.0,"Fixing any bill, notice, play card, poster or other paper or means of advertisement against or upon any private or public building or place other than the places fixed for the purpose by a local government.","Rs.2,000"
34.0,Exhibiting any obscene advertisement.,"Rs.2,000"
35.0,"Loud playing of music or radio, beating of drum or tom-tom, blowing a horn or beating or sounding any brass or other instruments or utensils in contravention of any general or special prohibition issued by a local government or in and around a hospital or an educational institution.","Rs.2,000"
36.0,Loud shouting in abusive language causing distress to the inhabitants of a neighbourhood or village or any other public place.,"Rs.2,000"
37.0,Using or allowing the use for human habitation of a building declared by a local government to be unfit for human habitation.,"Rs.2,000"
38.0,"Failure to lime-wash or repair a building, if so required by local government.","Rs.2,000"
39.0,Begging importunately for alms by exposing any deformity or disease or any offensive sore or wound to solicit charity.,"Rs.1,000"
40.0,"Causing or permitting to be caused by any owner or keeper of an animal which, through neglect or otherwise, damages any land or crop or produce of land, or any public road.","Rs.2,000"
41.0,"Selling cattle and animals in contravention of any law, rule or by-laws of a local government.","Rs.2,000"
42.0,Kite flying in contravention of any general or specific prohibition issued by local governments.,Rs.600
43.0,Keeping pigeon or other birds in a manner causing danger to air traffic.,"Rs.1,000"
44.0,Digging of public land without the permission in writing of local government.,"Rs.2,000"
45.0,Contravention of any prohibition or direction of the local government issued under this Act or the rules.,"Rs.1,000"
46.0,Attempt or abetment of any of the offence in this Schedule.,Same as for the offence specified in the Schedule
