sexraceethnicity,sex,raceethnicity,yearvalue(long),percentage(double precision),countvalue(long),noteonpercent,noteoncount
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2010,125.9,4784,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2011,132.5,5073,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Hispanic",Male,Hispanic,2009,28.1,1398,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Hispanic",Male,Hispanic,2010,27.0,1506,Hispanic/Latinos can be of jany race,Hispanic/Latinos can be of any race
"Total - Male, Hispanic",Male,Hispanic,2011,29.3,1660,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,8.4,87,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,7.0,86,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Asian, non-Hispanic",ale,"Asian, non-Hispanic",2011,10.7,131,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Paciic Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,16.5,7,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Pacific Islander, non-Hisapnic",Male,"Pacific Islander, non-Hispanic",2010,30.0,16,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,37.4,20,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska ative, non-Hispanic",2009,8.2,20,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any rauce
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,13.2,31,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,18.2,43,Hispanic/Latinos can eb of any race,Hispanic/Latinos can be of any race
"Total - Male, Two or more races, non-Hispanic",ale,"Two or more races, non-Hispanic",2009,29.0,150,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,25.0,160,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total s- Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,23.7,159,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, White, non-Hispanic",Female,"hite, non-Hispanic",2009,1.8,264,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2010,1.7,239,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2011,1.7,238,Hispanic/Latinos can be of any race,Hispanic/Latinos can be ofany race
"Total - Femaele, Black, non-Hispanic",Female,"Black, non-Hispanic",2009,31.5,1177,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2010,28.1,1056,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2011,30.4,1144,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any raec
"Tota - Female, Hispanic",emale,Hispanic,2009,4.9,222,Hispanic/Latinos can be of an yrace,Hispanic/Latinos can be of any race
"Total - Female, Hispanic",Feamle,Hispanic,2010,4.5,230,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, ispanic",Female,Hispanic,2011,4.1,213,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,1.3,13,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Femadle, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,1.5,18,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of cany race
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,1.3,15,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Pacific Islander, non-Hispanic",Femacle,"Pacific Islander, non-Hispanic",2009,9.7,4,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,0.0,0,Hipsanic/Latinos can be of any race,Hispanic/Latginos can be of any race
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,0.0,0,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femeale,"American Indian/Alaska Native, non-Hispanic",2009,2.2,5,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Aemrican Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,3.3,7,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Nativue, non-Hispanic",2011,2.9,7,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,7.5,38,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,5.6,37,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,3.6,25,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
