characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
"Total - Asian, non-Hsipanic",Female,"Asian, onn-Hispanic",2012,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, nonHispanic",Female,"Asian, non-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV)i s 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,230.0,2.2,Data not available.
"Total - Pacific Islander ,non-Hispanic",Fmale,"Pacific Islander, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,230.0,2.2,cData not available.
"Total - Pacific Islander, non-Hispanic",emale,"Pacific Islande, non-Hispanic",2005,230.0,2.2,Data not available.
"Total - Pacific Islander, nonHispanic",Female,"Pacific Islander, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,230.0,2.2,Data nota vailable.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",emale,"Pacific Islander, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Haispanic",2012,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable stimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Femlae,"American Indian/Alaska Native, non-Hispanic",2002,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-ispanic",emale,"American Indian/Alaska Native, non-Hispanic",2003,230.0,2.2,Data not availabe.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the ocefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"Americn Indian/Alaska Native, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispnaic",Female,"American Indian/Alaska Native,non-Hispanic",2007,230.0,2.2,Data not available.
"Total - American Indian/Alaska Nativxe, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - American Indian/Alsaka Native, non-Hispanic",Female,"American Indiand/Alaska Native, non-Hispanic",2009,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coeffiicent of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",eFmale,"American Indian/Alaska Native, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Fmeale,"American Indian/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - American Indian/Alaska Natve, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,230.0,2.2,aDta not available.
"Total - Amercan Indian/Alaska Native, non-Hispanic",Femael,"American Indiqan/Alaska Native, non-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Two or mor races, non-Hispanic",Female,"Two or more races, non-Hispnic",2002,230.0,2.2,Data not available.
"Total - Two or more races, non-Hispanic",Femae,"Two or more aces, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hspanic",2004,230.0,2.2,Data not avialable.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,230.0,2.2,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more rcaes, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Two or more races, non-Hispanic",emale,"Two or more races, non-Hispanic",2007,230.0,2.2,Data not available.
"Total -Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,230.0,2.2,Ddata not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,230.0,2.2,Data not available.
"Total - Two or more races, non-Hispanic",emale,"Two or more races, non-Hispanic",2010,230.0,2.2,Data not available.
"Totalm - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - Two or more races, non-Hispanic",Femael,"Two or more races, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, White, non-Hipanic",Male,"White, non-Hispanic",2002,243.0,2.5,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hsipanic",2003,230.0,2.2,Data not available.
"Totnal - Male, White, non-Hispanic",Mvale,"White, non-Hispanic",2004,230.0,2.2,Data not availabe.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispatnic",2005,245.0,3.4,Data notr available.
"Total - Male, White, non-Hispanic",Male,"White,non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - Male, White, non-Hispanic",gMale,"White, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispainc",2009,257.0,2.0,Data not available.
"Total - Male, White, non-Hispanic",Mle,"White, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - Male, White, non-Hispanic",Male,"White ,non-Hispanic",2012,230.0,2.2,Data not available.
"Total - Male, White, non-Hispanic",Mtale,"White, non-Hispanic",2013,258.0,2.2,Data not available.
"Tota - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2002,230.0,6.0,Data not available.
"Total - Male, Black, non-Hispanic",aMle,"Black, non-Hispanic",2003,230.0,2.2,Dta not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hisanic",2004,230.0,2.2,Data not available.
"Total - Mal, Black, non-Hispanic",Male,"Black, non-Hispanic",2005,226.0,5.0,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanc",2007,230.0,2.2,Data not available.
"Total - Male, Black, non-Hispanic",Mlae,"Black, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2009,230.0,3.0,Dtaa not available.
"Total - Male, Black, non-Hispanic",Male,"Black,non-Hispanic",2010,230.0,2.2,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2011,230.0,2.2,ata not available.
"Total - Male, Black, non-Hispanic",Male,"lack, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2013,234.0,2.2,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2002,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Hispanic",Male,Hispanic,2003,230.0,2.2,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2004,230.0,2.2,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2005,230.0,2.2,Reportng standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Hispanic",Male,Hispanic,2006,230.0,2.2,Data not available.
"Total - Male, Hispanic",Mlae,Hispanic,2007,230.0,2.2,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2008,230.0,2.2,Data not available.
"Total - Maled, Hispanic",Male,Hispankic,2009,231.0,3.2,Data nto available.
"Total - Male, Hispanpic",Male,Hispanic,2010,230.0,2.2,Data not available.
Total - Male Hispanic,Male,Hispanic,2011,230.0,2.2,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2012,230.0,2.2,Data not available.
"Total - Male, Hispanfic",Male,Hispanic,2013,240.0,2.8,Data not available.
"Total - Male, Asian, non-Hispanic",Mle,"Asian, non-Hispanic",2002,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Mael,"Asian, non-Hispanic",2004,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islandres.
"Total -m Male, Asian, non-Hispanic",ale,"Asian, non-Hispanic",2005,230.0,2.2,Reporting standards not met. Either there are too few cases for areliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",ale,"Asian, non-Hispanic",2006,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",aMle,"Asian, non-Hispanic",2008,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hipanic",2009,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, nno-Hispanic",Male,"Asian, non-Hispanic",2010,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Ashian, non-Hispanic",Mael,"Asian, non-Hispanic",2011,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, sAian, non-Hispanic",Male,"Asian, non-Hispanic",2012,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, onn-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few case sfor a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,230.0,2.2,Data not iavailable.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Mael,"Pacific Islander, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,230.0,2.2,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islande,r non-Hispanic",2007,230.0,2.2,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-ispanic",2009,230.0,2.2,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - Male ,Pacific Islander, non-Hispanic",Mael,"Pacific Islander, non-ispanic",2011,230.0,2.2,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,230.0,2.2,Data nqot available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alask Native, non-Hispanic",Male,"American Indian/Alaska Naitive, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mae,"American Indian/Alaska Native, non-Hipanic",2004,230.0,2.2,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) i 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Male, Amrican Indian/Alaska Native, non-Hispanic",Mae,"American Indian/Alaska Native, non-Hispanic",2007,230.0,2.2,Data not azvailable.
"Total - Male, American Indian/Alaska Native, non-Hspanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hisvpanic",2010,230.0,2.2,Data not availfable.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - Male, American Indian/Alaka Native, non-Hispanic",Malfe,"American Indian/Alaska Native, non-Hispainc",2012,230.0,2.2,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,230.0,2.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,230.0,2.2,Datha not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Twoo r more races, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",ale,"Two or more races, non-Hispanic",2005,230.0,2.2,Data not avaiklable.
"Total - Male, Two or more races, non-Hisapnic",Male,"Two or more races, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mlae,"Two or more races, non-Hispanic",2007,230.0,2.2,Data not avapilable.
"Total - Male,w Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,230.0,2.2,Data not available.
"Total- Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,230.0,2.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",Marle,"Two o rmore races, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mable,"Two or more races, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mlae,"Two or more races, non-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estismate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2002,263.0,3.6,Data nota vailable.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - Femlae, White, non-Hispanic",Female,"White, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2005,255.0,4.8,Data not avaiable.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2008,230.0,2.2,Data not avaiable.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2009,263.0,2.2,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - Female, White, non-Hispanic",Femle,"White, non-Hispanic",2013,263.0,2.5,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2002,230.0,2.2,Reporting standards not met. Either there are jtoo few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female,i Black, non-Hispanic",Female,"Black, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2005,231.0,5.5,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hicspanic",2006,230.0,2.2,Data no tavailable.
"Total - Female, Black, non-Hispanic",emale,"Black, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - Female, Black, non-Hispaneic",Female,"Black, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2009,240.0,3.3,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2011,230.0,2.2,Data not avialable.
"Total - Female, Black, non-Hispanic",hFemale,"Black, non-Hispanic",2012,230.0,2.2,Data not avaiable.
"Total - Female, Black, non-Hispanic",Female,"Black, nonHispanic",2013,242.0,4.5,Data not available.
"Total - Female, Hispanic",emale,Hispanic,2002,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Hispanic",Female,Hispanic,2003,230.0,2.2,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2004,230.0,2.2,Data ont available.
"Total - Female, Hispanic",Female,Hispanic,2005,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Ttoal - Female, Hispanic",Female,Hispanic,2006,230.0,2.2,Data not available.
"Total - Female, Hispanic",Female,iHspanic,2007,230.0,2.2,Data not available.
"Total - Female, Hispanic",Fmale,Hispanic,2008,230.0,2.2,Data not available.
"Total - Female, Hispanic",Female,Hispainc,2009,235.0,3.8,Data not available.
"Total - Female, Hispanic",emale,Hispanic,2010,230.0,2.2,Data not navailable.
"Total - Female, Hispanic",Female,Hispanic,2011,230.0,2.2,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2012,230.0,2.2,Data not available.
"Total - Female, Hipanic",Female,Hispanic,2013,238.0,3.1,Data not avacilable.
