308.newgeoreferencedcolumn,POINT (-72.648056 41.61647),POINT (-72.648056 41.561647)
353.newgeoreferencedcolumn,POINT (-72.65266880000001 14.7632299),POINT (-72.65266880000001 41.7632299)
92.newgeoreferencedcolumn,POINT (-73.516045 41.054l321),POINT (-73.516045 41.054321)
182.streetaddress,1665 WhitneyA ve,1665 Whitney Ave
283.streetaddress,425 Gold Stra Hwy,425 Gold Star Hwy
288.newgeoreferencedcolumn,POINT -72.903596 41.384051),POINT (-72.903596 41.384051)
261.accessdaystime,24 hours aily,24 hours daily
102.stationname,eBIG Y FOODS,BIG Y FOODS
45.newgeoreferencedcolumn,POINT (-72.657682 4.287164),POINT (-72.657682 41.287164)
15.evleveltwoevsenum,,2
319.evdcfastcount,NOE,NONE
167.evotherinfo,NOE,NONE
234.streetaddress,51 Dehpot Rd,51 Depot Rd
350.accessdaystime,4 hours daily,24 hours daily
5.evleveloneevsenum,NOlNE,NONE
162.city,New Havn,New Haven
112.evleveltwoevsenum,y2,2
178.accessdaystime,24 hour daily,24 hours daily
11.evotherinfo,NNOE,NONE
177.stationname,Morgan Street aGrage,Morgan Street Garage
226.streetaddress,I-95 Sotuh Bound,I-95 South Bound
115.streetaddress,4 Brus Hill Rd,4 Brush Hill Rd
331.evleveloneevsenum,NNE,NONE
178.evdcfastcount,ONE,NONE
344.evotherinfo,NOEN,NONE
298.city,Merdien,Meriden
293.city,Ornage,Orange
248.evleveloneevsenum,NNE,NONE
308.city,Midldetown,Middletown
294.evotherinfo,NOEN,NONE
303.stationname,HAJJRA,HAJJAR
250.accessdaystime,4 hours daily,24 hours daily
2.evleveloneevsenum,NOhNE,NONE
131.evleveltwoevsenum,ONE,NONE
91.stationname,The Shopspes at Fox Run 1,The Shoppes at Fox Run 1
1.city,aDrien,Darien
379.accessdaystime,24 hous daily,24 hours daily
140.evleveloneevsenum,NaONE,NONE
368.evdcfastcount,NNOE,NONE
90.evotherinfo,NOE,NONE
127.streetaddress,2785 Man St,2785 Main St
252.streetaddress,155 TowerA ve,155 Tower Ave
297.newgeoreferencedcolumn,POINT (-72.672748 41.913847),POINT (-72.672748 41.918347)
158.stationname,NYALA AR 3,NYALA GAR 3
36.newgeoreferencedcolumn,POINT (-73.121223000u00001 41.803497),POINT (-73.12122300000001 41.803497)
153.stationname,Nislsan - Norwich,Nissan - Norwich
262.city,Middleton,Middletown
62.evleveloneevsenum,NOcNE,NONE
171.newgeoreferencedcolumn,POINT (-71.9986079999999 4.859648),POINT (-71.9986079999999 41.859648)
305.city,tBranford,Branford
142.streetaddress,222 New Park r,222 New Park Dr
6.streetaddress,50 FranklinSt,50 Franklin St
116.evotherinfo,ONE,NONE
326.accessdaystime,24 hors daily,24 hours daily
169.accessdaystime,24 hours daiyl,24 hours daily
314.city,lSuffield,Suffield
35.stationname,UNION STATIsON,UNION STATION
204.evotherinfo,ONE,NONE
17.evdcfastcount,NOE,NONE
53.evleveloneevsenum,NOE,NONE
236.evleveloneevsenum,NOmNE,NONE
279.evleveltwoevsenum,***,2
134.evleveltwoevsenum,***,1
149.evdcfastcount,iNONE,NONE
95.accessdaystime,24 hours daily; for Tesla use olny,24 hours daily; for Tesla use only
47.newgeoreferencedcolumn,POINT -(72.489406 41.983904),POINT (-72.489406 41.983904)
376.accessdaystime,24 hours wdaily; for Tesla use only,24 hours daily; for Tesla use only
20.evotherinfo,NOEN,NONE
18.evdcfastcount,NOEN,NONE
236.evotherinfo,NNOE,NONE
16.evdcfastcount,p1,1
13.accessdaystime,Dealership business hopurs,Dealership business hours
307.accessdaystime,am-12am daily,6am-12am daily
274.stationname,Ferguson Library - Harry Bennett Banch,Ferguson Library - Harry Bennett Branch
338.stationname,City of Milford - Train Sgtation Parking,City of Milford - Train Station Parking
235.evleveloneevsenum,eNONE,NONE
21.city,Mystci,Mystic
286.evdcfastcount,NNOE,NONE
292.city,Bridgepot,Bridgeport
27.stationname,WESTLOGE,WESTLODGE
342.newgeoreferencedcolumn,POINT (-73.624399 41.142923),POINT (-73.264399 41.142923)
174.evleveloneevsenum,ONE,NONE
3.evdcfastcount,NOEN,NONE
366.streetaddress,21 tDelay St,21 Delay St
96.city,Mancdhester,Manchester
249.stationname,Western Conneicticut State University,Western Connecticut State University
354.evleveloneevsenum,NcONE,NONE
50.evleveloneevsenum,wNONE,NONE
26.stationname,Manfield Public Library,Mansfield Public Library
230.evdcfastcount,bNONE,NONE
308.evotherinfo,ONNE,NONE
277.evdcfastcount,NOEN,NONE
61.evotherinfo,NNE,NONE
49.city,Middltetown,Middletown
245.streetaddress,47 New Park Ave,471 New Park Ave
155.accessdaystime,24 housr daily,24 hours daily
211.stationname,Parthenon Diner of Old Saybrook - Tesloa Destination,Parthenon Diner of Old Saybrook - Tesla Destination
8.evleveltwoevsenum,,2
50.evleveltwoevsenum,x1,1
131.newgeoreferencedcolumn,POINT (-72.948327 41.268q415),POINT (-72.948327 41.268415)
296.accessdaystime,"7am-10pm M-F, 8am-5p Sat","7am-10pm M-F, 8am-5pm Sat"
126.evleveloneevsenum,NrONE,NONE
359.evleveltwoevsenum,,3
77.evotherinfo,NNE,NONE
223.evotherinfo,dNONE,NONE
235.newgeoreferencedcolumn,POINT (-72.10451 41.51059)6,POINT (-72.10451 41.510596)
146.evleveloneevsenum,NrONE,NONE
156.stationname,Aitor Appliance,Aitoro Appliance
188.accessdaystime,24 hours dainly,24 hours daily
373.evotherinfo,ONE,NONE
27.evleveloneevsenum,NvONE,NONE
327.accessdaystime,24 hours daly,24 hours daily
126.newgeoreferencedcolumn,POINT (-72.312334 41.78005j8),POINT (-72.312334 41.780058)
284.streetaddress,I-95 Milfodr,I-95 Milford
196.evdcfastcount,,8
95.evotherinfo,ONNE,NONE
245.newgeoreferencedcolumn,POINT (-27.718112 41.741696),POINT (-72.718112 41.741696)
259.evleveloneevsenum,NOE,NONE
272.stationname,Panera Brlead,Panera Bread
18.evotherinfo,NOEN,NONE
197.city,Barkkhamsted,Barkhamsted
337.stationname,State House rSquare,State House Square
46.evleveltwoevsenum,,2
77.city,Southbqury,Southbury
97.streetaddress,369 N Frontag Rd,369 N Frontage Rd
138.streetaddress,55j Main St,55 Main St
3.city,Beacon Falsl,Beacon Falls
83.newgeoreferencedcolumn,tPOINT (-71.9600034 41.4733358),POINT (-71.9600034 41.4733358)
24.evdcfastcount,NNE,NONE
173.accessdaystime,24 hours daliy,24 hours daily
106.stationname,UNION STtATION,UNION STATION
116.city,range,Orange
229.stationname,Connecticut Dpeartment of Motor Vehicles,Connecticut Department of Motor Vehicles
181.evleveltwoevsenum,NNOE,NONE
323.accessdaystime,24 horus daily; see front desk for access,24 hours daily; see front desk for access
11.streetaddress,495 Uinon St,495 Union St
281.evleveltwoevsenum,NcONE,NONE
257.evleveloneevsenum,NOE,NONE
91.accessdaystime,24 hours daijly,24 hours daily
171.evleveltwoevsenum,***,2
346.stationname,Windhajm Town Hall,Windham Town Hall
158.newgeoreferencedcolumn,POINT (-73.3269428 41.1223426),POINT (-73.3269248 41.1223426)
344.evleveltwoevsenum,,2
122.evleveloneevsenum,NNOE,NONE
324.city,Elqlington,Ellington
293.evleveloneevsenum,NONlE,NONE
54.evdcfastcount,NNOE,NONE
183.evotherinfo,ONE,NONE
356.evdcfastcount,ONE,NONE
264.evleveloneevsenum,ONE,NONE
312.evdcfastcount,NOE,NONE
293.evdcfastcount,e1,1
258.city,Enwfield,Enfield
298.evleveloneevsenum,NOEN,NONE
356.newgeoreferencedcolumn,POINT (-73.417804 41.3762377),POINT (-73.4178034 41.3762377)
120.evleveltwoevsenum,***,2
324.newgeoreferencedcolumn,POINT (-72.46388 4o1.888958),POINT (-72.46388 41.888958)
19.stationname,The Plaza at Buckland Hills - TeslaS upercharger,The Plaza at Buckland Hills - Tesla Supercharger
60.evotherinfo,ONE,NONE
279.accessdaystime,24hours daily,24 hours daily
46.stationname,Braass Mill Center - Entrance 5,Brass Mill Center - Entrance 5
193.evleveltwoevsenum,,1
355.accessdaystime,6am-12p daily,6am-12pm daily
228.evdcfastcount,NuONE,NONE
198.accessdaystime,24 houhrs daily,24 hours daily
270.city,Greeinwich,Greenwich
361.accessdaystime,24 hors daily,24 hours daily
92.evdcfastcount,NOEN,NONE
32.evleveloneevsenum,ONE,NONE
2.accessdaystime,24 hfours daily; for Tesla use only,24 hours daily; for Tesla use only
261.evotherinfo,bNONE,NONE
360.streetaddress,969 Hatford Road,969 Hartford Road
191.accessdaystime,24h ours daily,24 hours daily
275.city,artford,Hartford
228.stationname,Campus at Greebnhill,Campus at Greenhill
166.evleveltwoevsenum,z2,2
118.stationname,STOP HOP,STOP SHOP
109.streetaddress,755 Mevlille Ave,755 Melville Ave
7.streetaddress,1445 New Britin Ave.,1445 New Britain Ave.
297.city,Windso Locks,Windsor Locks
228.evleveltwoevsenum,,4
145.city,Torringtoon,Torrington
158.evdcfastcount,ONNE,NONE
353.evotherinfo,ONE,NONE
339.evdcfastcount,NOEN,NONE
229.newgeoreferencedcolumn,POINT (-728.935933 41.5374181),POINT (-72.8935933 41.5374181)
220.evotherinfo,NaONE,NONE
4.city,Old Saybroohk,Old Saybrook
35.streetaddress,UnionAve and Union Station,Union Ave and Union Station
127.evdcfastcount,NNOE,NONE
354.accessdaystime,24 huors daily; for customer use only; see front desk for access,24 hours daily; for customer use only; see front desk for access
99.stationname,The Study at Ygale - Tesla Destination,The Study at Yale - Tesla Destination
226.evleveloneevsenum,NONvE,NONE
79.stationname,Merien Station Garage,Meriden Station Garage
139.stationname,Fairfield Tennis Cenetr,Fairfield Tennis Center
370.newgeoreferencedcolumn,OPINT (-72.813257 41.287914),POINT (-72.813257 41.287914)
67.stationname,GUNNnERY,GUNNERY
322.evdcfastcount,n1,1
163.evotherinfo,NONyE,NONE
268.stationname,Fairfeild Parks and Recreation Center,Fairfield Parks and Recreation Center
259.evotherinfo,NOgNE,NONE
108.city,Fairfiedl,Fairfield
73.evleveloneevsenum,yNONE,NONE
25.accessdaystime,Defalership business hours,Dealership business hours
216.evleveloneevsenum,NhONE,NONE
105.stationname,CantonT own Hall,Canton Town Hall
215.evdcfastcount,ONE,NONE
244.evdcfastcount,v8,8
236.accessdaystime,24 hours daiy,24 hours daily
61.accessdaystime,24 hours daily; for custome ruse only,24 hours daily; for customer use only
103.evdcfastcount,NNE,NONE
163.evleveltwoevsenum,n2,2
24.stationname,Hammonasset Beasch State Park - South,Hammonasset Beach State Park - South
114.evleveloneevsenum,NNOE,NONE
40.evleveloneevsenum,ONE,NONE
13.evdcfastcount,***,1
284.evdcfastcount,***,2
101.newgeoreferencedcolumn,PONIT (-72.214432 41.723169),POINT (-72.214432 41.723169)
361.newgeoreferencedcolumn,POINT (-71.9523342 41.469981700000005)***,POINT (-71.9523342 41.469981700000005)
183.newgeoreferencedcolumn,POINT -(73.062364 41.226575),POINT (-73.062364 41.226575)
375.stationname,Bloomfield Human Services Centre,Bloomfield Human Services Center
212.evotherinfo,NNOE,NONE
194.evleveltwoevsenum,NOE,NONE
39.accessdaystime,24 hour daily,24 hours daily
310.streetaddress,239 John Smt,239 John St
1.streetaddress,138-x142 Ledge Rd,138-142 Ledge Rd
293.streetaddress,55 0Boston Post Rd,550 Boston Post Rd
58.evleveloneevsenum,NOEN,NONE
352.streetaddress,122 0 Storrs Rd,1220  Storrs Rd
217.evdcfastcount,NOE,NONE
129.evleveloneevsenum,NOnNE,NONE
87.city,Greenwzich,Greenwich
153.newgeoreferencedcolumn,POINT (-72.097938 4.498591),POINT (-72.097938 41.498591)
280.accessdaystime,24 hours daiyl,24 hours daily
41.evotherinfo,ONE,NONE
106.streetaddress,50 Unnion Ave,50 Union Ave
96.evotherinfo,NOEN,NONE
318.evdcfastcount,NNE,NONE
298.newgeoreferencedcolumn,POINT (-72.80078144 1.5394301),POINT (-72.8007814 41.5394301)
328.streetaddress,1 Memoria lRd,1 Memorial Rd
259.city,Fairfiled,Fairfield
135.newgeoreferencedcolumn,POINT (-72.6470764 1.541535),POINT (-72.647076 41.541535)
148.accessdaystime,24 ohurs daily,24 hours daily
230.accessdaystime,24 hoursc daily,24 hours daily
5.city,Farfield,Fairfield
252.evdcfastcount,NOEN,NONE
240.evotherinfo,NOE,NONE
339.streetaddress,288 Boston Post Rd,1288 Boston Post Rd
317.streetaddress,37 Wakeley tS,37 Wakeley St
306.evleveloneevsenum,NOE,NONE
7.evotherinfo,ONNE,NONE
12.stationname,University of Connecticut Health- Center Garage,University of Connecticut Health - Center Garage
358.newgeoreferencedcolumn,POINT( -72.442533 41.463278),POINT (-72.442533 41.463278)
81.evleveloneevsenum,NfONE,NONE
179.streetaddress,688 Brifdgeport Ave,688 Bridgeport Ave
340.city,ld Saybrook,Old Saybrook
147.streetaddress,244 W Mian St,244 W Main St
108.stationname,Delama rSouthport - Tesla Destination,Delamar Southport - Tesla Destination
185.evleveloneevsenum,NNOE,NONE
183.evleveloneevsenum,NOwNE,NONE
193.streetaddress,250 Mian St,250 Main St
243.newgeoreferencedcolumn,POIT (-72.241315 41.801976),POINT (-72.241315 41.801976)
260.streetaddress,333 erry Rd,333 Ferry Rd
76.stationname,City of New Haven - Whalley Blake arking Lot,City of New Haven - Whalley Blake Parking Lot
16.city,qDarien,Darien
205.city,zHebron,Hebron
65.evleveltwoevsenum,h2,2
222.evleveltwoevsenum,***,2
245.city,est Hartford,West Hartford
372.evdcfastcount,NOeNE,NONE
184.stationname,Hoffmna Nissan,Hoffman Nissan
135.stationname,Middletown School District - Board of Education***,Middletown School District - Board of Education
247.stationname,Lime Rock Park - Tesla Destinawtion,Lime Rock Park - Tesla Destination
247.city,Lakevlile,Lakeville
289.evdcfastcount,NOE,NONE
126.city,Covetry,Coventry
116.stationname,Chip's Famiyl Restaurant - Tesla Destination,Chip's Family Restaurant - Tesla Destination
51.evotherinfo,ONE,NONE
118.streetaddress,148 Hegihts Rd,148 Heights Rd
169.evotherinfo,NOcNE,NONE
64.evleveltwoevsenum,,4
231.evotherinfo,NNOE,NONE
20.evleveltwoevsenum,,2
288.stationname,Tonw of Hamden - Police Department,Town of Hamden - Police Department
214.evotherinfo,iNONE,NONE
322.evleveltwoevsenum,NOEN,NONE
177.newgeoreferencedcolumn,POINT (-72.672545 41.769794),POINT (-72.672545 41.769974)
168.evdcfastcount,mNONE,NONE
52.newgeoreferencedcolumn,POITN (-73.132624 41.198568),POINT (-73.132624 41.198568)
94.streetaddress,611 Water St,161 Water St
217.city,Wetport,Westport
323.evdcfastcount,NNE,NONE
26.evdcfastcount,ONNE,NONE
379.evdcfastcount,NNOE,NONE
153.evleveloneevsenum,NOE,NONE
3.newgeoreferencedcolumn,POINT (-73.065583 4n1.44548100000001),POINT (-73.065583 41.44548100000001)
191.evleveloneevsenum,tNONE,NONE
35.evdcfastcount,cNONE,NONE
213.evleveltwoevsenum,f2,2
98.newgeoreferencedcolumn,POINT (-728.670212999999 41.6717114),POINT (-72.8670212999999 41.6717114)
186.evleveltwoevsenum,***,2
169.streetaddress,23 Liveyr St,23 Livery St
