stationname,streetaddress,city,accessdaystime,evleveloneevsenum,evleveltwoevsenum,evdcfastcount,evotherinfo,newgeoreferencedcolumn
CT RAIL,198 N Cherry St,Wallingford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.8231924 41.4618954)
Hampton Inn & Suites Rocky Hill - Hartford South - Tesla Destination,685 Cromwell Ave,Rocky Hill,24 hours daily; for customer use only; see front desk for access,NONE,,NONE,NONE,POINT (-72.679679 41.650999)
Goodwives Shopping Center,25 Old Kings Hwy,qDarien,24 hours daily,NONE,NONE,p1,NONE,POINT (-73.466318 41.078282)
City of New Haven - Union Station Garage,50 Union Ave,New Haven,24 hours daily; pay lot,NONE,3,NOE,NONE,POINT (-72.926722 41.297487000000004)
Easton Public Library,691 Morehouse Rd,Easton,24 hours daily,NONE,2,NOEN,NOEN,POINT (-73.297822 41.251966)
The Plaza at Buckland Hills - TeslaS upercharger,1470 Pleasant Valley Road,Manchester,24 hours daily; for Tesla use only,NONE,NONE,16,NOEN,POINT (-72.562282 41.80452)
Greenlots - 92367,204 Stillman Hill Rd,Colebrook,24 hours daily,NONE,,NONE,NOEN,POINT (-73.138786 41.98528)
Mystic Diner Restaurant - Tesla Destination,253 Greenmanville Ave,Mystci,24 hours daily; for customer use only,NONE,1,NONE,NONE,POINT (-71.961361 41.37356200000001)
Connecticut Airport Authority - Bradley Airport,Cell Phone Lot,Windsor Locks,24 hours daily,NNE,***,NOEN,NONE,POINT (-72.670609 41.929342)
University of Connecticut - Motor Pool,9 Discovery Dr,Storrs,8am-3pm M-F,NONE,1,NONE,NONE,POINT (-72.261825 41.811817)
Hammonasset Beasch State Park - South,1288 Boston Post Rd,Madison,2w4 hours daily,NONE,4,NNE,NONE,POINT (-72.560456 41.263416)
Schaller Mitsubishi,25 Veterans Dr,New Britain,Defalership business hours,NONE,1,NONE,NONE,POINT (-72.770648 41.649365)
Manfield Public Library,54 Warrenville Rd,Mansfield,24 hours daily,NONE,1,ONNE,NONE,POINT (-72.195701 41.768396)
WESTLOGE,811 Burr Mountain Rd,Torrington,2 hours daily,NvONE,2,NONE,NONE,POINT (-73.1049768 41.8750604)
TOWNHALL,100 Bentley Dr,Harwinton,24 hours daily,NONE,2,NONE,NONE,POINT (-73.070231 41.7640244)
University of Connecticut - Avery Point,1084 Shennecossett Rd,Groton,24 hours daily,NONE,2,NONE,NONE,POINT (-72.065994 41.317722)
Middletown School District - Lawrence Elementary School,Kaplan Dr,Middletown,24 huors daily,NONE,2,NONE,NONE,POINT (-72.6824246 41.5871612)
Fairfield Mitsubishi,421 Tunxis Hill Rd,Fairfield,Dealership business hours,NONE,1,NNE,NONE,POINT (-73.230597 41.176442)
Gates Nissan,143 Boston Post Rd,North Windham,Dealership business hours,ONE,1,NONE,NONE,POINT (-72.188445 41.728247)
Water''s Edge Resort and Spa - Tesla Destinaiton,1525 Boston Post Rd,Westbrook,24 hours daily,NONE,3,NONE,NONE,POINT (-72.43786 41.28006)
North Haven PaviIion,100 Universal Dr,North Haven,24 hours dailmy,NONE,NONE,6,NONE,POINT (-72.870574 41.353572)
UNION STATIsON,UnionAve and Union Station,New Haven,24 hours daily,NONE,10,cNONE,NONE,POINT (-72.9270748 41.2975353)
Torrington Town Hall,140 Main St,Torrington,24 hours daily,NONE,1,NONE,NONE,POINT (-73.121223000u00001 41.803497)
Crowley Nissan,1451 Farmington Ave,Bristol,Dealership business hours,gNONE,2,1,ONNE,POINT (-72.894672 41.699374)
Parthenon Diner Restaurant - Tesla Destination,374 E Main St,Branford,24 hours daily; for customer use only,NONE,1,NONE,NONE,POINT (-72.781436 41.296212)
Town of Mansfield - Community Center,10 S Eagleville Rd,Mansfield,24 hour daily,NONE,1,NONE,NONE,POINT (-72.242231 41.800421)
Manchester City Nissan,30 Tolland Turnpike,Manchester,Dealership business hours,ONE,2,NONE,NONE,POINT (-72.507845 41.814316)
City of Meriden - City Hall,142 E Main St,Merfiden,24 hours daily,NONE,4,NONE,ONE,POINT (-72.797226 41.536236)
City of New Havn - Sherman Tyler Lot,60 N Frontage Rd,Nwe Haven,24 hours daily; permit lot,NONE,2,ONE,NONE,POINT (-72.948514 41.306474)
City of Meriden - Meriden Pblic Library,105 Miller St,Meriden,24 hours daily,NONE,2,NONE,NONE,POINT (-72.796702 41.537218)
Blogoslawski Parking Garage,10 Franklin Square,New Britain,24 hours daily,NONE,2,NONE,NONE,POINT (-72.7788286 41.664356600000005)
Comfort Inn Guilford - Tesla Destination,300 Boston Post Rd,Guilford,24 hours daily; for customer use only; see front desk for access,NONE,2,NONE,NONE,POINT (-72.657682 4.287164)
Braass Mill Center - Entrance 5,495 Union St,Waterbury,6am-12pm daily,NONE,,NONE,NONE,POINT (-73.02614 41.549361)
Town of Simsbury - Town Hall,933 Hopmeadow St,Simsbury,24 hours daily,NONE,2,NONE,NONE,POINT -(72.489406 41.983904)
Connecticut Legislative Parking Garage,240 Capitol Ave,Hartford,7am-7pm M-F,NONE,5,NONE,NONE,POINT (-72.684758 41.765434)
Middletown School District - Moody School,300 Country Club Rd,Middltetown,24 hours daily,NONE,2,NONE,NONE,POINT (-72.711926 41.563917)
Barberino Niqssan,505 N Colony St,Wallingford,Dealership business hours,wNONE,x1,NONE,NONE,POINT (-72.817586 41.467376)
CityPlace Garage,185 Asylum St,Hartford,Garage business hours,NONE,2,NONE,ONE,POINT (-72.676489 41.766656)
CURRAN VOLKSWAG,2774-2788 CT-113,Stratford,24 hours daily,NONE,2,NONE,NONE,POITN (-73.132624 41.198568)
"Inn at Stonington, a Select Registry Property - Tesla Destination",60 Water St,Stonington,24 hours daily; for customer use only,NOE,3,NONE,NONE,POINT (-71.906918 41.331744)
"Westport Town Hall 110 Myrtle Ave Westport, CT 06880",110 Myrtle Avenue,Westport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,2,NNOE,NONE,POINT (-73.35947443366 41.145215689458)
STARWOOD,1 Star Point,Stamford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.5318605 41.0409048)
Popeyes Kitchen - Fairfield Pizza,200 E Main St,Stratford,24 hours daily,NONE,NONE,1,NONE,POINT (-73.117486 41.202742)
Dunkin' Donuts - Tesla Supercharger,160 Kukas Lane,Waterbury,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,POINT (-73.005613 41.53713)
Crest Ford,218 Flanders Rd,Niantic,24 hours daily,NOEN,1,NONE,NONE,PONT (-72.211435 41.354043)
Central Connecticut State University - Sheridan Dorm Lot,65 Wdells St,New Britain,24 hours daily,NONE,1,NONE,NONE,POINT (-72.762739 41.692973)
LIBRARY KIOSK,24 Main St,New Milford,24 hours daily,NONE,1,NONE,ONE,POINT (-73.41116 41.5785572)
Hotel HiHo - Tesla Destination,4180 Black Rock Tpke,Fairfield,24 hours daily; for custome ruse only,NONE,3,NONE,NNE,POINT (-73.271401 41.203858)
Summer Street Garage,100 Summer St,Stamford,Restricted to garage hours; pay lot,NOcNE,3,NONE,NONE,POINT (-73.541625 41.054155)
MUNICIP STATION,3 Primrose St,Newtown,24 hours daily,NONE,2,NONE,NONE,POINT (-73.2847962 41.4007757)
PURDUE PHARMA,201 Tresser Blvd,Stamford,24 hours daily,NONE,,NONE,NONE,POITN (-73.53779 41.050574)
Hartford High School,55 Forest St,Hartford,24 hours daily,NONE,h2,NONE,NONE,POINT (-72.701271 41.765034)
Bloomfield Town Hall,800 Bloomfield Avenue,Bloomfield,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,NONE,2,NONE,NONE,POINT (-72.7373929 41.8298475)
GUNNnERY,16 Kirby Rd,Washington,24 hours daily,NONE,2,NONE,NONE,POINT (-73.3124 41.628033)
University of Connecticut - Storrs Center Gaarge,33 Royce Cir,Storrs,24 hours daily,NONE,4,NONE,NOEN,POINT (-72.2442218 41.8041965)
JAGLRNH,521 Washington Ave,North Haven,24 hours daily,NONE,2,NONE,NONE,POINT (-72.8415278 41.4168397)
Town of Stafford - Town Hall,1 Main St,Stafford Springs,24 hours daily,NONE,4,NONE,NONE,POINT (-72.303231 41.953668)
Charter Oak International Academy,425 Oakwood Ave,West Hartford,24 hours daily,NONE,2,oNONE,NONE,POINT (-72.722829 41.742975)
Town of Newington - Market Square,90 Market Square,Newington,24 hours daily,NONE,4,NONE,NONE,POINT (-72.7214 41.6972)
Riverfield School,1625 Mill Plain Rd,Fairfield,School hours,yNONE,2,NONE,NONE,POINT (-73.267585 41.162306)
Capital Regional Development Authority (CRDA),105 Columbus Blvd,Hartford,6am-12am daily,NONE,2,NONE,NONE,POINT (-72.670165 41.763287)
The SoNo Collection,100 N Water St,Norwalk,6am-12am,NONE,10,NONE,NONE,POINT (-73.418883 41.104791)
City of New Haven - Whalley Blake arking Lot,919 Whalley Ave,New Haven,24 hours daily; pay lot,ONNE,2,NONE,NONE,POINT (-72.960178 41.327848)
Riverview Cinemas 8 and Playhouse - Tesla Destination,690 Main St S,Southbqury,24 hours daily; for customer use only,NONE,4,NONE,NNE,POINT (-73.230644 41.465044)
The Ridgefield Playhouse,80 E Ridge d,Ridgefield,24 hours daily,NONE,y2,NONE,NONE,POINT (-73.492605 41.282264)
Merien Station Garage,24 Colony St,Meriden,24 hours daily,NONE,3,sNONE,NONE,POINT (-72.802667 41.539218)
HONDA WESTPORT,1372 Post Rd E,Westport,24 hours daily,NONE,3,NONE,NONE,POINT (-73.317072 41.138623y)
FOXWOODS,350 Trolley Line Blvd,Mashantucket,24 hours daily,NfONE,2,NONE,NONE,POINT (-71.9600027 41.4733521)
TOWN HALL LOT,740 Main St,East Hartford,24 hours daily,bNONE,2,NONE,NONE,POINT (-72.6446905 41.7660404)
FOXWOODS,350 Trolley Line Blvd,edyard,24 hours daily,NONE,2,NOEN,NNOE,tPOINT (-71.9600034 41.4733358)
Plainville High School,47 Robert Holcomb Way,Plainville,24 hours daily,NONE,1,NONE,NONE,POINT (-72.8580302 41.6659341)
Connecticut Welcome Center - Tesla Supercharger,1 West Ave.,Darien,24 hours daily; for Tesla use only,NONE,NONE,4,NONE,POINT (-73.504917 41.067306)
Whole Foods Market,350 Grasmere Ave,Fairfield,8am-10pm daily; for customer use only; see inside for access,NONE,1,NONE,NONE,POINT (-73.240315 41.157925)
Tamarack Country Club - Tesla Destination,55 Locust Rd,Greenwzich,24 hours daily; for member use only; see valet for access,NONE,3,NONE,NONE,POINT (-73.709755 41.094294)
Madison Beach Hotel - Tesla Destination,94 W Wharf Rd,Madison,24 hours daily; overnight valet fee,NONE,2,NONE,NONE,POINT (-72.608573 41.27077)
Newington Electric,72 Pane Rd,Newington,24 hours daily,NONE,3,NONE,NONE,POINT (-72.729203 41.65514)
Premier Kia,205 N Main St,Branfod,24 hours daily; priority for customer use,NONE,1,NONE,NOE,POINT (-72.809324 41.289894)
The Shopspes at Fox Run 1,25 Welles St # 55,Glastonbuyr,24 hours daijly,NONE,NONE,2,NONE,POINT (-72.608292 41.714088)
NBCSG,98 Maher Rd,Stamford,24 hours daily,NONE,14,NOEN,NONE,POINT (-73.516045 41.054l321)
EDENS BISHOPS,345 N Main St,West Hartford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.7479436 41.784487)
Propark - Water Street Garage,611 Water St,Ne wLondon,Restircted to garage hours; pay lot,8,4,NONE,1 Conductivhe 120V,POINT (-72.093784 41.355486)
Connecticut Post Mall - Tesla Supercharger,1201 Boston Post Road,Milford,24 hours daily; for Tesla use olny,NONE,NONE,14,ONNE,POINT (-73.036133 41.238119)
Manchester Honda,24 Adams St,Mancdhester,Dealership business hours,NONE,1,NONE,NOEN,POINT (-72.552974 41.795898)
New London Mall - Tesla Supercharger,369 N Frontag Rd,New London,24 hours daily; for Tesla use only,NONE,NrONE,8,NONE,POINT (-72.119376 41.370726)
Plainville Municipal Center,1 Central Square,Plainville,24 hours daily,NONE,1,NONE,NONE,POINT (-728.670212999999 41.6717114)
The Study at Ygale - Tesla Destination,1157 Chapel St,New Haven,24 hours daily; see valet for access,NONE,2,NONE,NONE,POINT (-72.932698 41.308741)
Connecticut Science Center,250 Columbus Blvd,Hartford,6am-6pm daily,NONE,2,NONE,NONE,POINT (-72.668833 41.764376)
Windham High School,355 High St,Windham,24 hours daily,NONE,2,NONE,NONE,PONIT (-72.214432 41.723169)
eBIG Y FOODS,401 Bridgeport Ave,Shelton,24 hours daily,NONE,2,NONE,NONE,POINT (-73.11066 41.29434)
WHOLE FOODS MKT,5 Sugar Hollow Rd,Danbury,24 hours daily,NONE,1,NNE,NONE,POINsT (-73.475576 41.3777667)
I-95 Madison NB Service Plaza - Tesla Supercharger,I-95 North Ave,Madison,24 hours daily; Tesla users only,NONE,NOE,10,NONE,POINT (-72.5804966772461 41.2904885216395)
CantonT own Hall,4 Market St,Catnton,24 hours daily,NONE,2,rNONE,NONE,POINT (-72.923177 41.811022)
UNION STtATION,50 Unnion Ave,New Haven,24 hours daily,NONE,2,NOhNE,NONE,POINT (-72.9263108 41.2974027)
TOD,120 Main St,Durham,24 hours daily,NONE,2,NONE,NONE,POINT (-72.6809263 41.472228)
Delama rSouthport - Tesla Destination,275 Old Post Rd,Fairfiedl,24 hours daily; for customer use only; see valet for access,NONE,3,NONE,NONE,POINT (-73.245943 41.146162)
Andrew Ward School,755 Mevlille Ave,Fairfield,School hours,NONE,2,NONE,NONE,POINT (-73.234423 41.185685)
Connecticut Department of Energy and Environmental Protection,79 Elm St,Hartfokrd,8:30am-4:30pm M-F,NONE,2,NONE,NONE,POINT (-72.678633 41.763294)
Arapahoe Parking Lot,105 LaSalle Rd,West Hartford,Garage business hours; pay lot,NONE,1,NONE,NONE,POINT (-72.744596 41.759108000000005)
Southington Public Library,255 Main St,Southington,24 hours daily,NONE,y2,NONE,NONE,POINT (-72.877465 41.596225)
NBCSG,84 Maher Rd,Stamford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.5160406 41.053776)
Paul Miller Nissan,930 Kings Hwy E,Fairfield,Dealership business hours,NNOE,1,1,NONE,POINT (-73.233711 41.167407)
Town of New Fairfield - TownH all,4 Brus Hill Rd,New Fairfield,24 hours daily,NONE,1,NONE,NONE,POINT (-73.487032 41.465514)
Chip''s Famiyl Restaurant - Tesla Destination,321 Boston Post Rd,range,24 hours daily; for customer use only,NONE,2,NONE,ONE,POINT (-73.004741 41.2645)
George Harte Nissan,426 Derby Ave,West Haven,Dealership business hours,NNOE,2,1,NONE,POINT (-72.9j68506 41.307602)
STOP HOP,148 Hegihts Rd,Darien,24 hours daily,NONE,NONE,1,NONE,POINT (-73.4948097 41.070243f)
East Shore District Health Department,6w88 E Main St,Branford,24 hours daily; 2 hour limit,NONE,6,NONE,NONE,POINT (-72.756902 41.305071)
Ridgefield BMW,746 Danbury Rd,Ridgefield,Dealership business hours; for customer use only,NONE,***,NONE,NONE,POINT (-73.472615 41.331117)
Big Y,22 Spencer Plain Rd,Old Saybrook,24 hours daily,NONE,1,NONE,NONE,POINT (-72.416634 41.28648200000001)
Green Farms Plaza,1460 Post Rd E,Westport,24 hours daily,NNOE,NONE,1,NONE,POINT (-73.314364 41.138478)
Bridgeport Hospital,267 Grant St,Bridgeport,24 hours daily,NONE,2,NONE,NONE,POINT (-73.166282 41.190701)
Town of Stafford - Community Center,3 Buckley Hwy,Stafford Springs,24 hours daily,NONE,1,NONE,NONE,POINT (-72.289249 41.956727)
Constitution Plaza - Souht,109 Constitution Plaza,Hartford,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,NONE,1,NONE,NONaE,POINT (-72.670032 41.767185)
Coventry Town Hall,1712 Main St,Covetry,24 hours davily,NrONE,2,NONE,NONE,POINT (-72.312334 41.78005j8)
Curran Volkswagen,2785 Man St,Stratford,Dealership business hours,NONE,1,NNOE,NONE,POINT (-73.131808 41.98467)
644 West Putnam,644 West Putnam Avenue,Greenwich,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,3,NONE,NNOE,POINT (-73.6476069 41.016928)
Grove Street Parking Garage,65 Grove Street,New aven,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NOnNE,2,NONE,NONE,POINT (-72.9217309 41.3103893)
Mohegan Sun - Tesla Destination,1 Mohegan Sun Blvd,Uncasville,24 hours daily; for customer use only; see valet for access,NONE,5,NONE,NONE,POINT (-72.08668800000001 41.488423)
CVS West Haven,355 Campbell Ave,West Haven,24 hours daily,NONE,ONE,1,NONE,POINT (-72.948327 41.268q415)
Central Connecticut State University - Vance Garage,150 Paul Manafort Sr. Dr,New Britain,After 5dpm daily,NONE,2,NOiNE,NONE,PIONT (-72.766414 41.690789)
City of New Haven - Crown Street Parking Garage,213 Crown St,New Haven,24 hours daily; pay lot,NONE,2,NONE,NONE,POINT (-72.928864 41.305993)
Figar Restaurant,90 Elm St,Enfield,Restaurant business hours; for guest use only,NONE,***,NONE,NONE,POINT (-72.583384 41.997588)
Middletown School District - Board of Education***,311 Hunting Hill Ave,Middletown,24 hours daily,NONaE,2,NONE,NONE,POINT (-72.6470764 1.541535)
Mansfield Parking Garage,9 Dog Ln,Storrs,Garage business hours; pay lot,NONE,4,NONE,NONE,POINT (-72.243355 41.804877)
Brass Mill Center - Entrance 6,495 Union St,Waterbury,6am-12gpm daily,NONE,2,NONE,NONE,POINT (-73.026799 41.55022)
Ellington Town aHll,55j Main St,Elington,24 hours daily,NONE,***,NONE,NONE,POINT (-72.467484 41.903582)
Fairfield Tennis Cenetr,210 Old Dam Rd,Fairfield,24 hours daily,NONE,2,NONE,NONE,POINT (-73.2665157 41.1247386999999)
Trinity College,18-60 Crescent St,Hartford,24 hours daily,NaONE,4,NONE,NONE,POINT (-72.689438 41.745582)
Saugatuck Fire Station,Railroad Place,Westport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,eNONE,,NNE,NONE,POINT (-73.370496 41.119206)
COMCAST,222 New Park r,Berlin,24 hours daily,NONE,4,NOEN,NONE,POINqT (-72.749512 41.597163)
Kent Town Hall,41 Kent Green Blvd,Kent,24 hours daily,NONE,2,NONE,NONE,POINT (-73.47251 41.727419)
Dunkin' Donuts,1205 Tolland Tpke,Manhester,4 hours daily,NONE,NONE,1,NONE,POINT (-72.555059 41.797073)
County Line Nissan - North,522 Winsted Rd,Torringtoon,Dealership business hours,pNONE,1,NONE,NONE,POINT (-73.1107105 41.8269547)
TOW OF MADISON,761 Boston Post Rd,Madison,24 hours daily,NrONE,2,NONE,NONE,POINT (-72.595184 41.28028400000001)
Rocky Neck State Park,244 W Mian St,Niantic,Dawn to dusk,NONE,2,NONE,NNOE,POINT (-72.24323 41.300883)
ELEMENT STATOIN,111 Morgan St,Stamfeord,24 ohurs daily,NONE,2,NONE,NONE,POINT (-73.5370682 41.0631099)
Saybrook Point Marina,2 Bridge St,Old Saybrook,24 hours daily,NONE,1,iNONE,NONE,POINT (-72.351019 41.283487)
Town of Groton - Town Hall,45 Fort Hill Rd,Groton,24 hours daily,NONE,2,NONE,NONE,POINT (-72.033489 41.345816)
Harte Nissan,165 W Service Rd,Hartford,Dealership busxiness hours,NONE,***,1,NONE,POINT (-72.656681 41.791382000000006)
Highland Park Market,317 Highland St,Manchester,24 hours daily,ONE,2,ONNE,NONE,POINT (-72.490259 41.766005)
Nislsan - Norwich,691 W Thames St,Norwich,Dealership business hours; contact 860-892-6000 for more information,NOE,1,NONE,NNOE,POINT (-72.097938 4.498591)
Wesleyan University,56 Hamlin Ct,MIddletown,24 hours daily,2,NONE,NONE,NONE,POINT (-72.65242 41.557262)
HAMPTON INN,129 Plains Rd,Milford,24 housr daily,NONE,NONE,4,NONE,POINT (-73.076682 41.22269)
Aitor Appliance,401 Westport Ave,Norwalk,Store business hours; see inside for access,NONE,1,NONE,NONE,POINT (-73.390319 41.126373)
Putnam Downtown Municipal Parking Lot,165 Kennedy Dr,Putnam,24 hours daily,NONE,1,NONE,NONE,POINT (-71.9105761999999 41.914329)
NYALA AR 3,400 Nyala Farms Rd,Westport,24 hours daily,NONE,2,ONNE,NONE,POINT (-73.3269428 41.1223426)
WHOLE FOODS MKT,5c Sugar Hollow Rd,Danbury,24 hours daily,NONE,2,NONE,NONE,POINT (-73.4755929 41.3781241)
East Norwalk Library,51 Van Zant St,Norwalk,24 hours daily,NONE,4,NONE,NONE,POINT (-73.40565000000001 41.102079)
Greenwich Southbound Travel Plaza - Tesla Supercharger,2000 Merritt Parkway,Greenwich,24 hours daily; for Tesla use only,NONE,NONE,4,ONE,POINT (-73.673445 41.040555)
Propark America - Omni Hotel Chapel Square Garage,155 Temple St,New Havn,24 hours daily; pay lot,2,2,NONE,1 Tesla Conductive,POINT (-72.927405 41.305794)
Mysytic Marriott Hotel and Spa - Tesla Destination,625 North Rd,Groton,24 hours daily; for customer use only; see front desk for access,NONE,n2,NONE,NONyE,POINT (-72.025954 41.365919)
Connecticut Post Mall - Target,1201 Boston Post Rd,Milford,6am-12pm daily,NONE,2,NONE,NONE,POINT (-73.038159 41.235232)
SPIREP,1 N Water St,Norwalk,24 hours daily,NONE,2,NONE,NONE,POINT (-73.4165867 41.0999699)
Town of Norfolk - Town Clerk,19 Maple Ave,Norfolk,24 hours daily,NONE,z2,NONE,NONE,POINT (-73.197598 41.990635)
Waterford Commons,915 Hartford Turnpike,Waterford,24 hours daily,NONE,NONE,6,NOE,POINT (-72.150349 41.380138)
Clinton Town Hall,54 E Main St,Clinton,24 hours daily,NNOE,2,mNONE,NONE,POINT (-72.524041 41.276743)
Cargill Chevrolet,23 Liveyr St,Putnam,24 hours daiyl,NONE,3,NONE,NOcNE,POINT (-71.90810200000001 41.916161)
Bedford Street Garage,17 Forest St,Stamford,Restricted to garage hours; pay lot,NONE,4,NONE,NONE,POINT (-73.537286 41.056092)
Pomfret Town Hall,5 Haven Rd,Pomfrekt,24 hours daily,NONE,***,NONE,NONE,POINT (-71.9986079999999 4.859648)
Delamar Greenwich Harbor - Tesla Destination,500 Steamboat Rd,Greenwich,24 hours daibly; for customer use only; see valet for access,NONE,3,NONE,NONE,POINT (-73.623525 41.017757)
East Hartford Public Schools - Department of Facilities,734 Tolland St,East Hartford,24 hours daliy,NONE,2,NONE,NONE,POINT (-72.602704 41.784813)
Windham Municipal Parking Lot,48 Church St,Willimantic,24 hours daily,ONE,2,NONE,NeONE,POINT (-72.211716 41.712492)
Heritage Hotel - Tesla Destination,522 Heritage Rd,Southbury,24 hours daily; for customer use only; see front desk for access,NONE,2,NONE,NONE,POINT (-73.225707 41.491538)
Tri-Town Teachers Federal Credit Union,61 Jessup Rd,Westport,24 hours daily,NONE,2,NONE,NONE,POINT (-73.358893 41.140188)
Morgan Street aGrage,l155 Morgan St,Hartford,24 hours daily,NOEN,4,NONE,NONE,POINT (-72.672545 41.769794)
NBCSG,Unnamed Road,Stamford,24 hour daily,NONE,8,ONE,NONE,POINT (-73.5160366 41.0532451)
Napoli Nissan,688 Brifdgeport Ave,Milford,Dealership business hours,NONE,1,NONE,NONE,POINT (-73.083686 41.209761)
Congregational Church of Somersville,22 Maple St,Somersvilhle,24 hours daily,NONE,2,NOE,NONE,POINT (-72.489406 41.983904)
I-95 Darien NB Service Plaza - Tesla Supercharger,1 E Trail,Darien,24 hours daily; Tesla users only,NONE,NNOE,10,ONE,POINT (-73.462202 41.079848)
Town of Hamden - Spring Glen Municipal Parking Lot,1665 WhitneyA ve,Hamden,24 hours daily,NONE,2,NONE,NONE,POINT (-72.909054 41.359826)
City of Milford - Parsons Government Center,70 W River fSt,Milford,24 hours daily,NOwNE,1,NONE,ONE,POINT -(73.062364 41.226575)
Hoffmna Nissan,46 Albany Turnpike,West Simsbury,Dealership business hours,NONE,1,NONE,NONE,POINT (-72.869319 41.820371)
Premier Chevrolet,512 Providence Rd,Brooklyn,Dealership business hours,NNOE,1,NONE,NOEN,POINT (-71.906607 41.798222)
The Wallingford Victorian Inn - Tesla Destination,245 N Main St,Wallingford,24 hours daily; for customer use only,NONE,***,NONE,NONE,POINT (-72.815676 41.45749)
HONDADANBURY,102 Federal Rd,Danbury,24 hojurs daily,NONE,2,NONE,NONE,POINT (-73.4232598 41.4158651)
Village Center,87 Main St,East Hampton,24 hours dainly,NONE,1,NONE,NONE,POINT (-72.501947 41.575311)
onnecticut Department of Corrections,38 Wolcott Hill Rd***,Wethersfield,24 hours daily,NONE,2,NONE,NONE,POINT (-72.6724543999999 41.725002)
Stamford Marriott Hotel - Tesla Destination,243 Tresser Blvd,Stamford,24 hours daily; for customer use only,NONE,3,NONE,NONE,POINT (-73.53513900000002 41.051614)
Woodbridge Town Library,10 Newton Rd,Woodbridge,24h ours daily,tNONE,2,NONE,NONE,OINT (-73.011407 41.353582)
Waterworks - Tesla Destination,60 Backus Ave,Danbury,24 hours daily; for customer use only,NONE,2,NONE,NONE,POINT (-73.491965 41.370291)
Town of East Haven,250 Mian St,East Haven,24 hours daily,NONE,,NONE,NONE,POINT (-72.871663 41.277368)
DECORMIER NISS,30 Tolland Turnpike,Manchester,24 hours daily,NONE,NOE,1,NONE,POINT (-72.5090873 41.813843)
Lia Nissan - Enfield,10 Palomba Dr,Enfield,Dealership busincess hours,ONE,1,NONE,NONE,POINT (-72.574713 41.997574)
North Canaan Shopping Center - Tesla Supercharger,11 E Main St,North Canaan,24 hours daily; for Tesla ue only,NONE,ONE,,NONE,POINT (-73.p322808 42.024351)
