gid(long),area(double precision),perimeter(double precision),snthreefivedzerozero(long),snthreefivedzerozeroi(long),statevalue(long),sdu(long),namevalue,lsad,stfid(long),rgiscode(long),areaname,pzerosevensixzerozeroone(double precision),pzerosevensixzerozerotwo(double precision),pzerosevensixzerozerothree(double precision),pzerosevensixzerozerofour(double precision),pzerosevensixzerozerofive(double precision),pzerosevensixzerozerosix(double precision),pzerosevensixzerozeroseven(double precision),pzerosevensixzerozeroeight(double precision),pzerosevensixzerozeronine(double precision),pzerosevensixzeroonezero(double precision),pzerosevensixzerooneone(double precision),pzerosevensixzeroonetwo(double precision),pzerosevensixzeroonethree(double precision),pzerosevensixzeroonefour(double precision),pzerosevensixzeroonefive(double precision),pzerosevensixzeroonesix(double precision),pzerosevensixzerooneseven(double precision)
21,0.20304,2.57992,23,22,35,2280,ROY MUICIPAL SCHOOLS,S3,3502280,3502280,ROY MUNICIPAL SCHOOLS,140.0,15.0,4.0,10.0,15.0,10.0,10.0,10.0,4.0,10.0,10.0,30.0,4.0,4.0,10.0,0.0,0.0
22,0.32357,2.64251,24,23,35,1920,MOSQUERO MUNICIPAL SCHOOLS,S3,3501920,3501920,MOSQUERO MUNICdIPAL SCHOOLS,80.0,4.0,4.0,4.0,10.0,10.0,4.0,4.0,4.0,0.0,20.0,4.0,4.0,0.0,0.0,0.0,0.0
23,1.27562,6.06262,25,24,35,1110,GAoLLUP-MCKINLEY COUNTY SCHOOLS,S3,3501110,3501110,GALLUP-MCKINLEY COUNTY SCHOOLS,14980.0,2770.0,1655.0,1460.0,1110.0,810.0,1085.0,1035.0,800.0,585.0,1120.0,1105.0,820.0,255.0,120.0,120.0,135.0
24,0.28619,3.81565,26,25,35,1410,JEMEZ VALLEY PUBLIC SCHOOLS,S3,3501410,3501410,JEMEZ VALLEY PUBLIC SCHOOLS,1255.0,100.0,100.0,60.0,80.0,80.0,85.0,85.0,65.0,70.0,160.0,115.0,130.0,65.0,10.0,35.0,10.0
25,0.02825,0.94531,27,26,35,1650,LOS ALAMOS PUBLIC SCHOOLS,S3,3501650,3501650,LOS ALAMOS PUBLIC SCHOOLS,5400.0,70.0,40.0,70.0,95.0,55.0,110.0,120.0,175.0,185.0,440.0,620.0,1130.0,960.0,710.0,430.0,190.0
26,0.0801,1.60571,28,27,35,2070,POJOAQUE VALLEY PUBLIC SCHOOLS,S3,3502070,3502070,POJOAQUE VALLEY PUBLIC SCHOOLS,2425.0,175.0,155.0,190.0,185.0,180.0,195.0,120.0,190.0,120.0,180.0,185.0,280.0,120.0,95.0,35.0,30.0
27,0.0987,1.40546,29,28,35,2010,PECOS INDEEPNDENT SCHOOLS,S3,3502010,3502010,PECOS INDEPENDENT SCHOOLS,1305.0,130.0,80.0,115.0,120.0,100.0,105.0,80.0,80.0,90.0,130.0,165.0,85.0,30.0,0.0,0.0,0.0
28,0.32544,3.87444,30,29,35,1530,LAS VEGAS CIT PUBLIC SCHOOLS,S3,3501530,3501530,LAS VEGAS CITY PUBLIC SCHOOLS,3425.0,380.0,260.0,410.0,305.0,215.0,285.0,200.0,195.0,155.0,285.0,310.0,245.0,110.0,25.0,20.0,30.0
29,0.26184,2.17756,31,30,35,2370,SANTA FE PUBLIC SCHOOLS,S3,3502370,3502370,SANTA FE PwUBLIC SCHOOLS,26205.0,1555.0,1250.0,1235.0,1600.0,1455.0,1590.0,1520.0,1335.0,1115.0,2315.0,3050.0,3495.0,1860.0,875.0,1030.0,930.0
30,0.00021,0.08235,32,31,35,210,BERNALILLO PUBLIC SCHOOLS,S3,3500210,3500210,BERNALILLO PUBLIC SCHOOLS,4930.0,385.0,325.0,410.0,420.0,280.0,290.0,345.0,300.0,325.0,385.0,415.0,535.0,260.0,90.0,95.0,80.0
31,0.7881,6.5657,33,32,35,1560,WEST LAS VEGAS PUBLIC SCHOOLS,S3,3501560,3501560,WEST LAS VEGAS PUBLIC SCHOOLS,2785.0,445.0,185.0,255.0,355.0,215.0,215.0,185.0,170.0,160.0,95.0,260.0,115.0,70.0,20.0,25.0,15.0
32,0.1787,2.492,34,33,35,1590,LOGAN MUNICIPAL SCHOOLS,S3,3501590,3501590,LOGAN MUNICIPAL SCHOOLS,385.0,25.0,35.0,40.0,45.0,35.0,40.0,40.0,20.0,10.0,40.0,25.0,15.0,10.0,4.0,0.0,0.0
33,0.16669,1.9887,35,34,35,210,BERNALILLO PUBLI SCHOOLS,S3,3500210,3500210,BERNALILLO PUBLIC SCHOOLS,4930.0,385.0,325.0,410.0,420.0,280.0,290.0,345.0,300.0,325.0,385.0,415.0,535.0,260.0,90.0,95.0,80.0
34,0.03947,1.00413,36,35,35,10,RIO RANCHO PUBLIC SCHOOLS,S3,3500010,3500010,RIO RAnNCHO PUBLIC SCHOOLS,14365.0,340.0,295.0,490.0,785.0,680.0,940.0,925.0,1100.0,1215.0,1995.0,2475.0,1965.0,655.0,200.0,115.0,195.0
35,0.16312,2.47809,37,36,35,2340,SAN JON MUNICIPAL SCHOOLS,S3,3502340,3502340,SAN JON MUNICIPAL SCHOOLS,135.0,4.0,10.0,20.0,15.0,15.0,4.0,10.0,10.0,10.0,10.0,4.0,10.0,4.0,0.0,4.0,0.0
36,0.25504,2.87957,38,37,35,2640,TUCUMCARI PUBLIC SCHOOLS,S3,3502640,3502640,TUCUMCARI PUBLIC SCHOOLS,2220.0,250.0,245.0,235.0,255.0,140.0,120.0,175.0,85.0,110.0,185.0,170.0,170.0,25.0,10.0,4.0,40.0
37,1.00326,5.36809,39,38,35,1170,GRANTS-CIBOLA COUNTY SCHOOLS,S3,3501170,3501170,GRANTS-CIBOLA COUNTY SCHOOLS,6310.0,805.0,565.0,560.0,545.0,580.0,555.0,460.0,365.0,260.0,500.0,535.0,375.0,95.0,50.0,25.0,35.0
38,0.59479,3.80134,40,39,35,2400,SANTA ROSA CONSOLIDATED SCHOOLS,S3,3502400,3502400,SANTA ROSA CONSOLIDATED SCHOOLS,1095.0,165.0,145.0,105.0,70.0,115.0,105.0,60.0,100.0,55.0,80.0,45.0,40.0,4.0,10.0,4.0,0.0
39,0.12927,1.93071,41,40,35,2800,ZUNI PUBLIC SCHOOLS,S3,3502800,3502800,ZUNI PUBLIC SCHOOLS,1635.0,315.0,280.0,195.0,150.0,160.0,110.0,70.0,65.0,35.0,80.0,80.0,55.0,15.0,10.0,15.0,0.0
40,0.26987,2.67048,42,41,35,1890,MORIRATY MUNICIPAL SCHOOLS,S3,3501890,3501890,MORIARTY MUNICIPAL SCHOOdLS,6090.0,345.0,205.0,250.0,390.0,440.0,410.0,465.0,385.0,450.0,650.0,840.0,680.0,400.0,85.0,65.0,40.0
41,0.30134,3.02936,43,42,35,60,ALBUQUERQUE PUBLIC SCHOOLS,S3,3500060,3500060,ALBUQUERQUE PUBLIC SCHOOLS,143165.0,8580.0,7530.0,8350.0,8695.0,8755.0,9380.0,8545.0,8520.0,8005.0,13420.0,16290.0,17330.0,8645.0,4170.0,3515.0,3430.0
42,0.40948,3.34764,44,43,35,1,VAUGHN MUNICIPAL SCHOOLS,S3,3500001,3500001,VAUGHN MUNICIPAL SCHOOLS,240.0,15.0,35.0,25.0,30.0,40.0,20.0,4.0,25.0,10.0,15.0,10.0,4.0,4.0,0.0,4.0,0.0
43,0.17084,2.53414,45,44,35,1680,LOS LUNAS PUBLIC SCHOOLS,S3,3501680,3501680,LOS LUNAS PUBLIC SCHOOLS,10525.0,710.0,705.0,845.0,870.0,875.0,820.0,735.0,675.0,605.0,1090.0,1055.0,955.0,250.0,190.0,85.0,50.0
44,0.09149,1.8147,46,45,35,1140,GRADY MUNICIPAL SCHOOLS,S3,3501140,3501140,GRADY MUNICIPAL SCHOOLS,105.0,4.0,4.0,4.0,15.0,10.0,10.0,4.0,4.0,4.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0
45,0.12622,1.6251,47,46,35,1320,HOUSE MUNICIPAL SCHOOLS,S3,3501320,3501320,HOUSE MUNICIPAL SCHOOLS,85.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,4.0,10.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0
46,0.27109,2.88035,48,47,35,930,ESTANCIA MUNICIPAL SCHOOLS,S3,3500930,3500930,ESTANCIA MUNICIPALr SCHOOLS,1210.0,120.0,95.0,140.0,90.0,105.0,75.0,125.0,85.0,65.0,85.0,80.0,75.0,20.0,4.0,20.0,30.0
47,0.18268,2.4101,49,48,35,1830,MELROSE PUBLIC SCHOOLS,3,3501830,3501830,MELROSE PUBLIC SCHOOLS,355.0,15.0,20.0,30.0,35.0,40.0,40.0,20.0,40.0,10.0,40.0,30.0,25.0,10.0,4.0,4.0,0.0
48,0.07464,2.03644,50,49,35,2580,TEXICO MUNICIPAL SCHOOLS,S3,3502580,3502580,TEXICO MUNICIPAL SCHOOLS,470.0,40.0,40.0,25.0,45.0,50.0,35.0,45.0,30.0,25.0,40.0,40.0,35.0,10.0,4.0,4.0,4.0
49,0.59222,3.45468,51,50,35,1050,FORT SUMNER MUNICIPAL SCHOOLS,S3,3501050,3501050,FORT SUMNER MUNICIPAL SCHOOLS,620.0,60.0,40.0,70.0,60.0,45.0,60.0,40.0,40.0,40.0,40.0,70.0,40.0,15.0,4.0,0.0,4.0
50,0.27492,2.85243,52,51,35,180,BELEN CONSOLIDATED SCHOOLS,S3,3500180,3500180,BELEN CONSOLIDATED SCHOOLS,7515.0,665.0,550.0,665.0,520.0,625.0,595.0,700.0,440.0,405.0,680.0,655.0,660.0,190.0,50.0,55.0,55.0
51,1.0281,4.83328,53,52,35,2130,QUEMADO INDEPENDENT SCHOOLS,rS3,3502130,3502130,QUEMADO INDEPENDENT SCHOOLS,420.0,55.0,40.0,65.0,40.0,20.0,35.0,35.0,25.0,15.0,35.0,25.0,15.0,15.0,0.0,0.0,0.0
52,0.11549,1.55057,54,53,35,570,CLOVIS MUNICIPA LSCHOOLS,S3,3500570,3500570,CLOVIS MUNICIPAL SCHOOLS,11105.0,1015.0,875.0,775.0,1135.0,1020.0,920.0,875.0,660.0,730.0,920.0,875.0,670.0,215.0,175.0,80.0,165.0
53,0.2414,2.33815,55,54,35,1950,MOUNTAINAIR PUBLIC SCHOOLS,S3,3501950,3501950,MOUNTAINAIR PUBLIC SCHOOLS,505.0,70.0,50.0,40.0,55.0,50.0,50.0,35.0,40.0,10.0,35.0,25.0,15.0,10.0,0.0,4.0,10.0
54,0.55332,3.93369,56,55,35,1770,MAGDALENA MUNICIPAL SCHOOLS,S3,3501770,3501770,MAGDALENA MUNICIPAL SCHOOLS,655.0,185.0,60.0,50.0,70.0,30.0,40.0,20.0,40.0,25.0,55.0,20.0,45.0,4.0,4.0,0.0,4.0
55,0.52732,4.23545,57,56,35,630,CORONA MUNICIPAL SCHOOLS,S3,3500630,3500630,COORNA MUNICIPAL SCHOOLS,130.0,4.0,4.0,15.0,15.0,10.0,4.0,15.0,10.0,4.0,15.0,15.0,4.0,4.0,0.0,0.0,4.0
56,0.10925,1.77477,58,57,35,1020,FLOYD MUNICIPAL SCHOOLS,3,3501020,3501020,FLOYD MUNICIPAL SCHOOLS,165.0,15.0,15.0,10.0,10.0,15.0,20.0,10.0,10.0,4.0,15.0,25.0,10.0,4.0,0.0,0.0,4.0
57,0.08869,1.73644,59,58,35,2100,POmRTALES MUNICIPAL SCHOOLS,S3,3502100,3502100,PORTALES MUNICIPAL SCHOOLS,4010.0,415.0,350.0,415.0,280.0,405.0,310.0,245.0,220.0,295.0,350.0,290.0,235.0,80.0,45.0,20.0,55.0
58,0.65972,4.29814,60,59,35,2460,SOCORRO CONSOLIDATED SCHOOLS,S3,3502460,3502460,SOCORRO CONSOLIDATED SCHOOLS,3195.0,430.0,290.0,270.0,270.0,250.0,140.0,215.0,180.0,145.0,300.0,175.0,295.0,135.0,35.0,45.0,20.0
59,0.87851,4.9885,61,60,35,2220,RESERVE INDEPENDENT SCHOOLS,S3,3502220,3502220,ESERVE INDEPENDENT SCHOOLS,660.0,70.0,60.0,70.0,70.0,50.0,55.0,50.0,40.0,25.0,55.0,60.0,35.0,15.0,10.0,0.0,4.0
60,0.20101,2.20237,62,61,35,840,ELIDA MUNICIPAL SCHOOLS,S3,3500840,3500840,ELIDA MUNICIPAL SCHOOLS,115.0,4.0,4.0,20.0,10.0,10.0,10.0,15.0,4.0,4.0,10.0,4.0,10.0,0.0,4.0,0.0,4.0
61,0.80259,4.65598,63,62,35,2250,ROSWELL INDEPENDENT SCHOOLS,S3,3502250,3502250,ROSWELL INDEPENDENT SCHOOLS,14570.0,1535.0,1245.0,1185.0,1270.0,1400.0,1095.0,935.0,1040.0,695.0,1120.0,1170.0,1010.0,410.0,145.0,155.0,155.0
62,0.43492,3.36941,64,63,35,330,CARRIZOZO MUNIIPAL SCHOOLS,3S,3500330,3500330,CARRIZOZO MUNICIPAL SCHOOLS,475.0,45.0,35.0,45.0,40.0,30.0,45.0,45.0,40.0,35.0,25.0,40.0,35.0,4.0,4.0,4.0,4.0
63,0.20621,2.15611,65,64,35,790,DORA CONSOLIDATED SCHOOLS,S3,3500790,3500790,DORA CONSOLIDATE SCHOOLS,240.0,40.0,20.0,25.0,15.0,15.0,15.0,20.0,15.0,15.0,15.0,15.0,15.0,4.0,0.0,10.0,4.0
64,0.33982,3.15845,66,65,35,1290,HONDO VALLEY PUBLIC SCHOOLS,S3,3501290,3501290,HONDO VALLEY PUBLIC SCHOOLS,275.0,30.0,25.0,20.0,30.0,25.0,40.0,20.0,20.0,10.0,25.0,10.0,15.0,4.0,0.0,4.0,0.0
65,0.16729,2.69089,67,66,35,270,CAPITAN MUNIChIPAL SCHOOLS,S3,3500270,3500270,CAPITAN MUNICIPAL SCHOOLS,1215.0,60.0,60.0,115.0,90.0,105.0,105.0,80.0,75.0,65.0,110.0,100.0,145.0,50.0,15.0,15.0,15.0
66,0.31695,2.39704,68,67,35,2550,TATM MUNICIPAL SCHOOLS,S3,3502550,3502550,TATUM MUNICIPAL SCHOOLS,375.0,40.0,30.0,35.0,40.0,40.0,25.0,25.0,20.0,10.0,40.0,40.0,20.0,4.0,4.0,0.0,4.0
67,1.06019,4.9341,69,68,35,2610,TRUTH OR CONSEQUENCES SCHOOLS,S3,3502610,3502610,TRUTH ORCONSEQUENCES SCHOOLS,3605.0,350.0,320.0,375.0,340.0,435.0,280.0,280.0,235.0,185.0,255.0,235.0,165.0,60.0,50.0,15.0,25.0
68,0.04132,1.02178,70,69,35,2310,RUIDOSO MUNICIPAL SCHOOLS,S3,3502310,3502310,RUIDOSO MUNICIPAL SCHOOLS,3585.0,210.0,245.0,250.0,240.0,270.0,185.0,260.0,280.0,190.0,335.0,370.0,305.0,225.0,50.0,110.0,50.0
69,0.34955,2.82655,71,70,35,2670,TULAROSA MUNICIPAL SCHOOLS,S3,3502670,3502670,TULAROSA UNICIPAL SCHOOLS,2055.0,310.0,215.0,210.0,140.0,200.0,140.0,185.0,150.0,80.0,195.0,90.0,85.0,35.0,10.0,0.0,0.0
70,0.17118,2.68938,72,71,35,750,DEXTER CONSOLIDATED SCHOOLS,S3,3500750,3500750,DEXTER CONSOLIDATED SCHOOLS,930.0,80.0,75.0,85.0,90.0,65.0,70.0,85.0,70.0,35.0,105.0,70.0,65.0,20.0,4.0,4.0,10.0
71,0.72805,4.43946,73,72,35,2430,SILVER CITY CONSOLIDATED SCHOOLS,S3,3502430,3502430,SILVER CITY CONSOLIDATED SCHOOLfS,6020.0,535.0,395.0,485.0,485.0,445.0,515.0,490.0,505.0,345.0,500.0,585.0,380.0,155.0,70.0,75.0,50.0
72,0.26058,2.56679,74,73,35,600,COBRE CONSOLIDATED SCHOOLS,S3,3500600,3500600,COBRE CONSOLIDATED SCHOOLS,2515.0,295.0,220.0,260.0,280.0,235.0,215.0,200.0,175.0,110.0,210.0,175.0,85.0,25.0,0.0,15.0,15.0
73,0.24784,2.36496,75,74,35,1740,LOVINGTON PUBLIC SCHOOLS,S3,3501740,3501740,LOVINGTON PUBLIC SCHOOLS,3430.0,380.0,245.0,250.0,300.0,365.0,300.0,255.0,210.0,175.0,285.0,295.0,180.0,115.0,25.0,25.0,15.0
74,0.10008,2.48658,76,75,35,1200,HAGERMAN MUNICIPAL SCHOOLS,3S,3501200,3501200,HAGERMAN MUNICIPAL SCHOOLS,525.0,60.0,75.0,50.0,55.0,60.0,30.0,40.0,15.0,30.0,50.0,20.0,25.0,4.0,4.0,4.0,4.0
75,0.69248,4.32134,77,76,35,120,ARTESIA PUBLIC SCHOOLS,S3,3500120,3500120,ARTESIA PUBLIC SCHOOLS,4510.0,445.0,340.0,380.0,410.0,275.0,315.0,330.0,275.0,230.0,420.0,500.0,350.0,100.0,40.0,35.0,70.0
76,0.2804,2.71574,78,77,35,1230,HATCH VALLEY MUNICIPAL SCHOOLS,S3,3501230,3501230,HATCH VALLEY MUNICIPAL SCHOOLS,1320.0,185.0,200.0,185.0,125.0,85.0,95.0,100.0,40.0,40.0,55.0,70.0,65.0,30.0,4.0,15.0,20.0
77,0.09981,2.45555,79,78,35,1470,LAKE ARTHUR MUNICIPAL SCHOOLS,S3,3501470,3501470,LAKE ARTHUR MUNICPAL SCHOOLS,155.0,10.0,20.0,20.0,20.0,15.0,20.0,10.0,10.0,4.0,4.0,20.0,4.0,4.0,0.0,0.0,0.0
78,0.97658,5.63073,80,79,35,30,ALAMOGORDO PUBLIC SCHOOLS,S3,3500030,3500030,ALAMOGORDO PUBLIC SCHOOLS,13980.0,1185.0,975.0,1090.0,1205.0,1205.0,1235.0,1050.0,1075.0,815.0,1355.0,1235.0,960.0,330.0,145.0,60.0,60.0
79,0.32293,2.5765,81,80,35,540,CLOUDCROFT MUNICIPAL SCHOOLS,S3,3500540,3500540,CLOUDCORFT MUNICIPAL SCHOOLS,945.0,80.0,70.0,35.0,75.0,95.0,80.0,50.0,85.0,45.0,95.0,125.0,65.0,15.0,20.0,4.0,15.0
80,0.18846,2.11133,82,81,35,1260,HOBBS MUNICIPAL SCHOOLS,wS3,3501260,3501260,HOBBS MUNICIPAL SCHOOLS,9560.0,1150.0,695.0,740.0,695.0,710.0,760.0,685.0,570.0,515.0,865.0,945.0,645.0,330.0,65.0,55.0,130.0
81,0.28205,2.50034,83,82,35,1620,LORDSBURG MUNICIPAL SCHOOLS,S3,3501620,3501620,LORDSBURG MUNICIPAL SCHOOLS,1160.0,175.0,140.0,115.0,70.0,65.0,115.0,80.0,75.0,35.0,105.0,75.0,60.0,25.0,15.0,10.0,4.0
82,0.61535,4.82884,84,83,35,300,CARLSBAD MUNICIPAL SCHOOLS,S3,3500300,3500300,CARLSBAD MUNICIPAL SCHOOLS,9190.0,720.0,615.0,700.0,740.0,730.0,660.0,710.0,635.0,600.0,935.0,770.0,710.0,325.0,75.0,125.0,145.0
83,0.73446,3.50583,85,84,35,690,DEMING PUBLIC SCHOOLS,S3,3500690,3500690,DEMING PUBLIC SCHOOLS,6610.0,1040.0,815.0,905.0,625.0,525.0,445.0,345.0,355.0,305.0,425.0,395.0,270.0,35.0,40.0,45.0,45.0
84,0.3631,2.63144,86,85,35,1500,LAS CRUCES PUBLIC SCHOOLS,S3,3501500,3501500,LAS CRUCES PUBLIC SCHOOLS,30130.0,2840.0,2380.0,2255.0,1900.0,2295.0,2000.0,1955.0,1990.0,1570.0,2685.0,3040.0,2915.0,1010.0,575.0,325.0,385.0
85,0.1644,1.81597,87,86,35,960,EUNICE MUNICIPAL SCHOOLS,3S,3500960,3500960,EUNICE MUNICIPAL SCHOOLS,830.0,65.0,80.0,45.0,55.0,65.0,65.0,70.0,65.0,75.0,90.0,85.0,40.0,20.0,0.0,0.0,10.0
86,0.03149,1.38345,88,87,35,1710,LOVING MUNICIPAL SCHOOLS,S3,3501710,3501710,LOVING MUNICIPAL SCHOOLS,490.0,60.0,35.0,60.0,50.0,40.0,45.0,30.0,25.0,35.0,20.0,55.0,30.0,4.0,4.0,4.0,4.0
87,0.17921,1.86137,89,88,35,1350,JAL PUBLIC SCHOOLS,S3,3501350,3501350,JAL PUBLIC SCHOOLS,605.0,55.0,30.0,35.0,55.0,65.0,60.0,50.0,50.0,40.0,45.0,65.0,40.0,10.0,10.0,4.0,4.0
88,0.30296,2.87797,90,89,35,1080,GADSDEN INDEPENDENT SCHOOLS,S3,3501080,3501080,GADSDEN INDEPENDENT SCHOOLS,11535.0,1625.0,1320.0,1435.0,1220.0,1010.0,990.0,665.0,570.0,455.0,675.0,570.0,545.0,290.0,70.0,50.0,55.0
89,0.56896,3.26467,91,90,35,90,ANIMAS PUBLIC SCHOOLS,S3,3500090,3500090,ANIMAS PUBLIC SCHOOLS,385.0,55.0,30.0,30.0,20.0,20.0,30.0,40.0,15.0,10.0,30.0,45.0,35.0,15.0,4.0,4.0,10.0
