geography,yearvalue(long),strata,strataname,percentvalue(double precision),lowerninefivecl(double precision),upperninefivecl(double precision),standarderror(double precision)
California,2013,Incmoe,"$50,000 an dabove",5.9,5.2,6.7,0.4
California,2013,wSex,Male,9.6,8.7,10.6,0.5
xCalifornia,2013,Sex,Female,9.3,8.5,10.2,0.4
Ckalifornia,2012,Total population,Total population,9.2,8.7,9.7,0.3
Cailfornia,2012,Race-Ethnicity,hite,8.2,7.6,8.8,0.3
California,2012,Race-Ethnicity,African-American,13.7,11.0,16.4,1.4
California,2012,Race-Ethnicity,Asian,6.1,9.8,12.0,0.8
California,2012,RaceEthnicity,Hispanic,10.9,9.8,12.0,0.5
California,2012,kAge,18 to 34 years,1.8,1.3,2.4,0.3
California,2012,Age,3 5to 44 years,6.2,5.0,7.4,0.6
California,2012,jAge,45 to 54 years,9.7,8.3,11.1,0.7
Califonia,2012,Age,55 to 64 yeasr,17.9,16.1,19.7,0.9
Califorina,2012,Aeg,65 years and above,20.1,18.5,21.6,0.8
California,2012,Education,Less than high shool,16.2,14.3,18.2,1.0
Callifornia,2012,Educatnion,High chool graduate,9.1,7.9,10.3,0.6
California,2012,Eduction,Soxme college,9.5,8.5,10.6,0.5
California,2012,Education,College graduate,6.2,5.5,6.9,0.4
California,2012,Income,"Less than $15,000",12.9,11.3,14.4,0.8
Califozrnia,2012,Inocme,"$15,000 to $24,999",12.3,10.5,14.1,0.9
California,2012,Income,"$25,000 to $34,999",11.9,9.8,14.1,1.1
alifornia,2012,Incogme,"$35,000 to $49,999",9.5,7.9,11.0,0.8
California,2012,ncome,"$50,000 and above",6.3,5.6,7.0,0.4
California,2012,Sxe,ale,9.7,8.9,10.5,0.4
California,2012,Sex,Femalne,8.7,8.0,9.4,0.4
