Maker,Scale,Description,Price,Notes
CM,1/350,DD931 USS Forrest Sherman,$150.00,
CM,1/350,FF1037 USS Bronstein (1981),$150.00,
CM,1/350,CGN25 USS Bainbridge (1985),$285.00,
CM,1/350,CGN35 USS Truxtun (1985),$285.00,
CM,1/350,CG30 USS Horne (1985),$285.00,
CM,1/350,LST1179 USS Newport,$300.00,
CM,1/350,DDG41 USS King (1985),$280.00,
CM,1/350,CG23 USS Halsey (1989),$285.00,
CM,1/350,AFS-1 USS Mars,$355.00,
CM,1/350,PG-84 USS Asheville,$48.00,
CM,1/350,USS Courtney DE-1021,$125.00,
CM,1/350,CG10 USS Albany (1975),$355.00,
CM,1/350,CAG2 USS Canberra,$355.00,
CM,1/350,WHEC-715 USCGC Hamilton,$170.00,
CM,1/350,PGH-2 USS Tucumcari,$35.00,
CM,1/350,PGH-1 USS Flagstaff,$35.00,
CM,1/350,FFG16 USS Clifton Sprague,$130.00,
CM,1/350,CGN36 USS California (1985),$300.00,
,,,,
CM,1/350,DE51 USS Buckley Destroyer Escort,$115.00,
CM,1/350,HMCS Sackville (Short forecastle Flower Class),$75.00,
CM,1/350,Flower Class Corvette 1940/41 (Long forecastle),$75.00,
CM,1/350,DD HMS Zulu (RN Tribal Class),$120.00,Discontinued-Limited Stock
CM,1/350,DD Type 36A (German WW2-waterline hull only),$115.00,
CM,1/350,DD Type 34A (German WW2),$120.00,
CM,1/350,DD350 USS Hull (Farragut class 1944),$120.00,Discontinued-Limited Stock
CM,1/350,DE HMS Middleton (RN Hunt Class 1942),$70.00,
CM,1/350,Flower Class Corvette (Late Improved Version 1943),$75.00,
CM,1/350,DE339 USS Rudderow (Rudderow class 1944),$115.00,
CM,1/350,DD341 USS Decatur (Wickes class 1943),$95.00,
CM,1/350,DD362 USS Moffett,$120.00,Discontinued-Limited Stock
CM,1/350,PF51 USS Burlington (Tacoma class patrol frigate 1944),$110.00,
CM,1/350,DD66 USS Allen DD66 (Sampson class 1943),$95.00,
CM,1/350,WPG32USCGC Campbell (Treasury class 1943),$120.00,Discontinued-Limited Stock
CM,1/350,DD398 USS Ellet (Benham class 1943),$120.00,Discontinued-Limited Stock
CM,1/350,DE Evarts Class,$115.00,
CM,1/350,DD396 USS Jouett (Somers class 1943),$120.00,Discontinued-Limited Stock
CM,1/350,DD401 USS Maury (Gridley class 1943),$120.00,
CM,1/350,DD442 USS Nicholson (Livermore class 1944),$120.00,Discontinued-Limited Stock
CM,1/350,PG52 USS Charleston (Erie class Gunboat 1943),$120.00,
CM,1/350,DD710 USS Gearing (Gearing Class 1945),$115.00,
,,,,
CM,1/350,"APD63 USS Lloyd ""Buckley"" Class conversion",$85.00,
CM,1/350,"PC-461 Class Patrol Craft (""Subchaser"")",$35.00,
CM,1/350,LT45 US Army Harbor Tug,$45.00,
CM,1/350,SS Brooklyn (single screw tug) 2 kits for,$40.00,
CM,1/350,ATF67 USS Apache (Oceangoing tug),$70.00,
CM,1/350,PT 565 Elco 80' (Late WW2 PT Boat),$25.00,
CM,1/350,USN YO/YOG/YW Yard Barge,$60.00,
CM,1/350,LCS(L) Support Landing Craft,$50.00,
CM,1/350,LCI(L) 1-350 class,$50.00,
CM,1/350,LCI(L) 351-1098 class,$50.00,
CM,1/350,LST with Vehicles,$175.00,
CM,1/350,S.S. Edmund Fitzgerald,$255.00,
CM,1/350,HMS Campbelltown (St. Nazaire Raid),$95.00,
CM,1/350,US Landing Ship Medium,$65.00,
CM,1/350,U.S. Admirable class (Minesweeper),$70.00,
CM,1/350,CV1 USS Langley (1930),$425.00,
CM,1/350,AR4 USS Vestal (Prometheus class repair ship 1941),$190.00,
CM,1/350,YT146 USS Hoga (Woban class yard tug 1941),$35.00,
CM,1/350,U.S. T-2 Type (Tanker/Oiler),$225.00,
CM,1/350,"AVP4 USS Avocet (Dec 7, 1941 Pearl Harbor fit)",$75.00,
CM,1/350,USS PCE 827 (PCE 827-960 class),$75.00,
CM,1/350,AM56 USS Osprey (Raven class minesweeper),$75.00,
CM,1/350,AVP-13 USS Mackinac (Barnegat class Seaplane Tender),$125.00,
CM,1/350,"US Yard Set Lightship, Buoy Tender, 2 Tugs",$75.00,
CM,1/350,WPG76 USCGC Comanche (Algonquin class CG cutter),$75.00,
CM,1/350,US YMS 260 YMS-1 Class Auxiliary Motor Mine Sweeper,$50.00,
CM,1/350,WPG46 USCGC Modoc (Tampa Class CG cutter),$90.00,
CM,1/350,SS168 USS Nautilus (Makin Island Raider),$75.00,
CM,1/350,US Eagle Boat (1918),$75.00,
CM,1/350,WAGL207USCG Cedar (Buoy tender),$75.00,
,,,,
CM,1/350,Dock Section w/vehicles and ramps,$65.00,
CM,1/350,Dock Section w/ramps,$55.00,
CM,1/350,Diesel Rail Engine w/rolling stock,$40.00,
CM,1/350,PBY Catalina,$20.00,
CM,1/350,PBM Mariner,$20.00,
CM,1/350,Dock section 2 ft. long w/barge,$70.00,
CM,1/350,Pearl Harbor Mooring quay (pkg. of 3),$15.00,
CM,1/350,Boeing 314 Clipper,$27.00,
CM,1/350,"Modern USN Carrier Deck Tractors (3 types, fire truck, tilley)",$35.00,
CM,1/350,SB2U Vindicator (6 ea.),$17.00,
CM,1/350,F2A Buffalo (6 ea.),$17.00,
CM,1/350,SBC Helldiver (6 ea.),$17.00,
CM,1/350,CH-53E Super Stallion (3 each),$30.00,
CM,1/350,CH-46E Sea Knight (4 each),$30.00,
CM,1/350,AH-1W Sea Cobra/UH-1N Huey (3 Cobras/1 Huey),$25.00,
CM,1/350,AV-8B Sea Harrier (4 each),$25.00,
,,,,
CM,1/350,USN WW2 Numbers/Stars/Flags,$15.00,
CM,1/350,USN Signal Flags (w/ Complete Color Placement Guide),$16.00,
CM,1/350,Kreigsmarine Flags and Banners,$10.00,
CM,1/350,USMC Helicopter Decals,$17.00,
CM,1/350,USN Helicopter Decals,$10.00,
,,,,
CM,1/700,SS Edmund Fitzgerald (Great Lakes ore carrier),$85.00,
CM,1/700,CA139 USS Salem (Des Moines class),$70.00,
CM,1/700,Dock Sections w/Ramps,$35.00,
CM,1/700,ACR3 USS Brooklyn (1899),$75.00,Discontinued-Limited Stock
CM,1/700,BB USS Kersarge (1905),$75.00,Discontinued-Limited Stock
CM,1/700,BB USS Maine (1898),$55.00,Discontinued-Limited Stock
CM,1/700,USS Chicago (Cruiser 1898),$55.00,
CM,1/700,John Ericcson (Great Lakes ore carrier),$55.00,
CM,1/700,1910-1920 Standard 600 footer (Great Lakes bulk carrier),$65.00,
