yearvalue(long),statevalue,hai,facilityid(double precision),facilityname,county,hospitalcategoryriskadjustment,hospitaltype,infectionsreported(double precision),infectionspredicted(double precision),patientdays(double precision),sir(double precision),sircininefivelowerlimit(double precision),sircininefiveupperlimit(double precision),comparison,mettwozerotwozerogoal,months(double precision),sirtwozeroonefive(double precision),notes
2443,California,Methicillin-Resistant Staphylococcus aureus Bloodstream bInfections (MRSA BSI),140000187.0,"John Muir Medical Center, Walnut Creek Campus",Contra Costa,Acute Care Hospital,Major Teaching,6.0,8.33,95470.0,0.72,0.29,1.5,Same,No,12.0,0.0,¥ See Data Dictionary
2021,Caliornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187.0,"John Muir Medical Center, Walnut Creek Campus",Contra Costa,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.13,6776.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630011203.0,"Kaiser Foundation Hospital, Antioch",Contra Costa,Acute Care Hospital,Major Teaching,0.0,1.64,37984.0,0.0,0.0,1.83,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000191.0,"Kaiser Foundation Hosspital, Richmond Campus",Contar Costa,Acute Care Hospital,Major Teaching,1.0,0.62,15418.0,1.63,0.04,9.06,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000190.0,"Kaiser Foundation Hospital, Walnut Creek",Contra Coista,Acute Care Hospital,"Community, >250 Beds",2.0,3.5,67562.0,0.57,0.1,1.89,Sme,No,12.0,0.0,¥ See Dajta Dictionary
1278,California,Methicillin-Resistant Staphylococcu aureus Bloodstream Infections (MRSA BSI),140000704.0,San Ramn Regional Medical Center,Contra Costa,Acute Care Hospital,"Community, <125 Beds",0.0,0.57,16293.0,0.0,0.0,6.5,qSame,Yets,12.0,0.0,¥ See Data Dictionary
2021,Caifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000016.0,Sutter Delta Medical Center,Contra Costa,Acuite Care Hospital,"Community, 125-250 Beds",3.0,1.07,28146.0,2.8,0.71,7.63,Same,Nmo,12.0,0.65,¥ See Data Dictionary
2021,Calfiornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049.0,Sutter Coast Hospital,Dl Norte,Acute Care Hospital,"Community, <125 Beds",0.0,0.35,7426.0,0.0,0.0,10.57,ame,Yse,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049.0,Sutter Coast Hospital,DelNorte,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.04,1992.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000114.0,Barton Memorial Hospital,El oDrado,Acute Care Hospital,"Community, <125 Beds",1.0,0.21,6937.0,4.81,0.12,26.8,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000121.0,Marshall Medical Center,ElDorado,Acute Care Hospital,"Community, <125 Beds",0.0,0.81,19562.0,0.0,0.0,4.57,Samne,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000124.0,Adventist Health Reedley,Fresno,Acute Care Hospital,"Community, <125 Beds",0.0,0.2,9323.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillien-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000122.0,Adventist Health Selma,Fresno,Acute Care Hospital,"Community, <125 Beds",0.0,0.23,8084.0,0.0,0.0,16.32,Same,Yes,12.0,0.0,¥ See Data Dictionaruy
1193,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000095.0,Clovis Community Medical Center,Fresno,Acute Care Hospital,Major Teaching,0.0,2.73,74978.0,0.0,0.0,1.1,Same,Yse,12.0,0.0,¥ See Data Dictionary
2021,Califxornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000096.0,Coalinga Regional Medical Center,Frsno,Acute Care Hospital,"Community, <125 Beds",0.0,0.03,1519.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Blkoodstream Infections (MRSA BSI),40000101.0,Community Regional Medical Center,Fresno,Acute Care Hospital,Major Teaching,12.0,15.83,209527.0,0.76,0.41,1.29,Same,No,12.0,0.0,¥ Siee Data Dictionary
2021,California,Methicillin-Resistatn Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000101.0,Community Regional Medical Center,Fresno,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.19,10096.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Mehticillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40001397.0,Fresno Heart and Surgical Hospital,Fresno,Aute Care Hospital,Major Teaching,0.0,0.62,15012.0,0.0,0.0,6.0,Same,Yes,12.0,0.0,¥ Seec Data Dictionary
2021,Californai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000254.0,resno Surgical Hospital,Freso,Acute Care Hospital,"Community, <125 Beds",0.0,0.04,3486.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000949.0,"Kaiser Foundation Hospital, Fresno",Fresno,Acute Care Hopsital,"Community, 125-250 Beds",2.0,2.08,43847.0,0.96,0.16,3.18,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphlococcus aureus Bloodstream Infections (MRSA BSI),40000126.0,Saint Agnes Medical Center,Fresno,Acut Care Hospital,Major Teaching,11.0,8.04,105043.0,1.37,0.72,2.38,Same,No,12.0,0.0,¥ See Data Dictionary
2459,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000613.0,San Joaquin Valley Rehabilitation Hospital,Fresno,Rehabilitation Hospital or Unit,Free-Standing Rehajbilitation,0.0,0.33,17500.0,0.0,0.0,11.09,Same,eYes,12.0,0.0,¥b See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (RSA BSI),230000006.0,Glenn Medical Center,Glenn,Critical Access Hospital,Critical Access,0.0,0.18,8813.0,0.0,0.0,1.38,Smae,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000057.0,Jerold Phelps Community Hospital,Humboldt,Critical Access Hospital,Critical Access,0.0,0.02,989.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Boodstream Infections (MRSA BSI),110000021.0,Mad River Community Hospital,Humboldt,Acute Care Hospital,"Cmmunity, <125 Beds",0.0,0.12,6626.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000045.0,Providence Redwood Memorial Hospital,Hukmboldt,Critical Access Hospital,Criticl Access,2.0,0.1,4952.0,0.0,0.0,1.38,Sapme,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000067.0,"Providence St. Joseph Hospital, Eureka",Humboldt,AcuteC are Hospital,MajorT eaching,1.0,3.07,37059.0,0.33,0.02,1.61,Smae,Yes,12.0,0.0,¥ See Data Dictionary
2108,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000069.0,The General Hospital,Humboldt,Rehabiltation Hospital or Unit,Free-Standin Rehabilitation,0.0,0.06,3018.0,0.0,0.0,1.38,Sme,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),90000040.0,El Centro Regional Medical Center,Impeiral,Acute Care Hospital,"Community, 125-250 Beds",1.0,1.74,29663.0,0.58,0.03,2.83,Same,o,12.0,0.0,¥ See Datae Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)***,90000146.0,Pioneers Memorial Healthcare District,Imperial,Acute Cae Hospital,"Community,<125 Beds",0.0,0.63,21034.0,0.0,0.0,5.82,Smae,pYes,12.0,0.0,¥ See Data Dictionary
2872,California,Methicillin-Resistant Staphylococcus aureus Blooidstream Infections (MRSA BSI),240000037.0,Northern Inyo Hospital,Inyo,Critical Access Hospital,Critical Access,0.0,0.07,3374.0,0.0,0.0,1.38,Saem,No,12.0,0.0,¥ See Data Dictionary
2021,alifornia,Methicillin-Resitant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000102.0,Southern Inyo Hospital,Inyo,Critical Access Hospital,Critical Access,0.0,0.06,0.0,0.0,0.0,1.38,Same,No,12.0,0.0,"Incomplete Reporter, interpret with caution"
2021,Californai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000411.0,Adventist Health Bakersfield,Ken,Acute Care Hospital,Major Teaching,4.0,5.55,74787.0,0.72,0.23,1.74,Same,No,12.0,0.0,¥ ee Data Dictionary
2021,Cailfornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000336.0,Adventist Health Delano,Kern,Acute fCare Hospital,"Community, <125 Beds",0.0,0.49,9762.0,0.0,0.0,7.51,Samoe,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000413.0,Advenqtist Health Tehachapi Valley,Kern,Critical Access Hospital,ritical Access,0.0,0.13,6257.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,Califoria,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120001330.0,Bakersfield Heart Hosptial,kKern,Acute Care Hosptial,"Community, <25 Beds",0.0,0.62,13769.0,0.0,0.0,5.99,Same,eYs,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000338.0,Bakersfield Memorial Hospital,Kern,Acute Care Hospital,"Community, >250 Beds",7.0,4.03,80087.0,1.74,0.76,3.43,Same,No,12.0,0.63,¥ See Data Dictionary
2727,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000555.0,Encompass Health Rehabilitation Hospital of Bakersfield,Kern,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0.0,0.42,21963.0,0.0,0.0,8.83,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,nCalifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000319.0,"Good Samaritan Hospital, Bakersfield",nKern,Acute Care Hospital,"Community, <125 Beds",0.0,0.18,6349.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000342.0,Kern Meidcal Center,jKern,Acute Care Hospital,Major Teaching,1.0,3.66,59014.0,0.27,0.01,1.35,Same,dYes,12.0,0.99,¥ Seep Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000344.0,Kern Valley Healthcaer District,ern,Critical Access Hospital,Critical Access***,0.0,0.05,2225.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,Claifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000404.0,Mercy Hosiptal,Kern,Acute Care Hospital,"Community, <125 Beds",4.0,1.15,25282.0,3.48,1.11,8.4,Worse,No,12.0,0.0,¥ See Data Dictionary
1152,California,Methicillin-Rsesistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000701.0,Mercy Southwest Hospital,Kern,Acute Care Hospital,"Commnity, <125 Beds",0.0,1.07,27688.0,0.0,0.0,2.8,Same,Yes,12.0,0.0,¥ See Data Dictionary
1468,Clifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections( MRSA BSI),120000409.0,Ridgecrest Regional Hospital,Kenr,Critical Access Hospital,Critical Access,0.0,0.18,8586.0,0.0,0.0,1.38,Sae,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infectinos (MRSA BSI),630012960.0,Adventist Health Hanford,Kings,Acute Care Hospital,"Community, 15-250 Beds",3.0,2.2,45859.0,1.36,0.35,3.71,Same,No,12.0,1.01,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000044.0,Adventist Health Clearlake,Lake,Critical Access Hospital,Critilcal Access,0.0,0.1,4923.0,0.0,0.0,1.38,Same,oN,12.0,0.0,¥ See Data Dictionary
2021,Californai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000019.0,Sutter Lakeside Hospital***,Lakje,Critical Access Hospital,Critical Access,1.0,0.14,6823.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000008.0,Banner Lassen Medical Center,aLssen,Critical Access Hospital,Critical Access,0.0,0.08,4052.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Reisstant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000059.0,Adventist Health Glendale,Los Angeles,Acute Cxare Hospital,Major Teaching,4.0,7.01,92141.0,0.57,0.18,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000059.0,Adventist Health Glendale,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.12,6257.0,0.0,0.0,1.38,Satme,Nmo,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000191.0,Adventist Health hite Memorial,Los Angeles,Acute Care Hospital,Major Teaching,0.0,4.22,75717.0,0.0,0.0,0.71,Better,es,12.0,0.4,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000191.0,"Adventist Health White Memorial, Rehabilitation Unit",Los Angelse,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.06,0.0,0.0,0.0,1.38,Saem,No,12.0,0.0,¥ See Data Dictionary
1632,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005.0,Alhambra Hospital Medical Center,Los Angelse,Acute Care Hospital,"Communirty, 125-250 Beds",1.0,0.74,17882.0,1.35,0.03,7.52,Same,No,12.0,1.21,¥ See Data Dictionary
2021,California,Methicillin-Resistant Stahpylococcus aureus Bloodstream Infections (MRSA BSI),930000005.0,Alhambra Hospital Medical Center,Los Angeles,Rehabilitation Hospital or Unit,RehabilitationU nit,0.0,0.05,2811.0,0.0,0.0,1.38,Same,oN,12.0,0.0,¥ See Data Dictonary
2021,California,Methicillin-Resistant Stanphylococcus aureus Bloodstream Infections (MRSA BSI),930000008.0,Antelope Valely Hospital,Ls Angeles,Acute Care Hospital,Major Teaching,5.0,4.46,92991.0,1.12,0.41,2.48,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000014.0,Barlow Respiratory Hospital,Los Angeels,Long-Term Acute Care Hospital,Long-Term Acute Care,1.0,5.31,25601.0,0.19,0.01,0.93,Better,Yes,12.0,0.24,¥ See Data Dicptionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000012.0,Beverly Hospital,Los Angeles,Acute Care Hospaital,"Community, 12-5250 Beds",3.0,1.73,32456.0,1.73,0.44,4.71,Same,No,12.0,2.54,¥ See Data Dictionary
2021,Californa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000002.0,"California Hospital Medicl Center, Los Angeles",Los Angeles,Acute Care Hospital,Major Teaching,4.0,5.05,73563.0,0.79,0.25,1.91,Same,No,12.0,1.58,¥See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000031.0,California Rehabilitation Institute,Los Angeles,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0.0,0.93,48779.0,0.0,0.0,3.98,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,Caifornia,Methicillin-Resistant Staphylococcus aureus kBloodstream Infections (MRSA BSI),930000020.0,Casa Colina Hospital,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.48,25255.0,0.0,0.0,7.68,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020.0,Casa Colina Hospital,Los Angeles,Acute Care Hospital,"Community, <125 Beds",0.0,0.11,5026.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionayr
2274,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000013.0,Catalina Island Medical Cnter,Los Angeles,Critical Access Hospital,Critical Access,0.0,0.01,325.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aurues Bloodstream Infections (MRSA BSI),930000044.0,Cedars-Sinai Marina Del Rey Hospital,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",4.0,0.89,21508.0,4.47,1.22,11.45,Worse,No,12.0,1.9,¥ See Data Dirctionary
2021,Califrornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000004.0,Cedars-SinaiM edical Center,Los Angeles,Acute Care Hospital,Major Teaching,15.0,24.21,287226.0,0.62,0.36,1.0,Better,No,12.0,0.93,¥ See Data Dictionary
2021,Californa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022.0,Centinela Hospital Medical Center,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",6.0,3.05,65635.0,1.97,0.8,4.09,Same,No,12.0,0.0,See Data Dictionary
2605,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022.0,Centinela Hospital Medical Center,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.07,3695.0,0.0,0.0,1.38,Smae,No,12.0,0.0,¥ See Data Dictionary
