OBJECTID,name,reportdt,confirmed,recovered,deaths,active,GlobalID,tested,Negative,Pending,MaleCases,FemaleCases,Cases0to19,Cases20to29,Cases30to39,Cases40to49,Cases50to59,Cases60to69,Cases70to79,Cases80plus,NewCases,MaleDeaths,FemaleDeaths,Deaths0to19,Deaths20to29,Deaths30to39,Deaths40to49,Deaths50to59,Deaths60to69,Deaths70to79,Deaths80plus,AsianCases,BlackCases,HispanicCases,NativeAmCases,OtherCases,WhiteCases,CurrentlyHospitalizedCases,PercAsianCases,PercBlackCases,PercHispanicCases,PercNativeAmCases,PercOtherCases,PercWhiteCases,PercPopAsianCases,PercPopBlackCases,PercPopHispanicCases,PercPopNativeAmCases,PercPopOtherCases,PercPopWhiteCases,NewDailyDeaths,NewDailyTested,DailyPercentPositive,TotalPercentPositive,NewDailyNegative,ThreeDayAvg,SevenDayAvg,Cases0to9,Cases10to19,Deaths0to9,Deaths10to19,TotalDoses,TotalRecipients,MalesVaccinated,FemalesVaccinated,Vaccinated0to9,Vaccinated10to19,Vaccinated20to29,Vaccinated30to39,Vaccinated40to49,Vaccinated50to59,Vaccinated60to69,Vaccinated70to79,Vaccinated80plus,NewDailyDoses,NewDailyRecipients,Total1DoseRecipients,Total2DoseRecipients,TotalJJDoses,TotalJJRecipients,TotalVaccinated,Pfizer3DoseRecipients,Moderna3DoseRecipients,Total3DoseRecipients,PartialVaccinated
20,South Dakota,2020/04/05 17:01:00+00,240,84,2,154,f7f4b192-e64d-4487-9848-ff6397c9bb09,5593,5353,0,118,122,9,47,46,43,45,33,9,8,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,368,7.60869565217391,4.29107813338101,340,25,21.43,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
21,South Dakota,2020/04/06 16:35:00+00,288,91,4,193,483ed06f-4d09-4f62-96ca-08d61b90de18,6020,5732,0,147,141,10,54,57,52,58,40,9,8,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,427,11.2412177985948,4.78405315614618,379,33.667,26.71,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
22,South Dakota,2020/04/07 16:38:00+00,320,98,6,216,f65b2c48-74a9-497c-93b0-31c3d3752ee6,6270,5948,2,167,153,12,58,67,55,66,44,10,8,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,250,12.8,5.103668261563,218,36,30.29,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
23,South Dakota,2020/04/08 16:31:00+00,393,146,6,241,0f967142-6cb9-475f-8f12-85cf9e2725c5,6748,6355,0,209,184,14,72,92,64,80,53,10,8,73,4,2,0,0,0,0,2,1,1,2,,,,,,,,,,,,,,,,,,,,0,478,15.2719665271967,5.82394783639597,405,51,37.71,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
24,South Dakota,2020/04/09 16:33:00+00,447,161,6,280,e84fbd25-a098-4aa6-b1be-837b78c20b1d,7147,6700,0,240,207,14,87,103,70,96,58,11,8,54,4,2,0,0,0,0,2,1,1,2,,,,,,,,,,,,,,,,,,,,0,399,13.5338345864662,6.2543724639709,345,53,40.29,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
25,South Dakota,2020/04/10 16:27:00+00,536,177,6,353,4aa6da8d-571f-4cd2-96a0-1d8fb7c510d1,7647,7111,0,292,244,16,103,133,88,109,66,12,9,89,4,2,0,0,0,0,2,1,1,2,,,,,,,,,,,,,,,,,,,,0,500,17.8,7.00928468680528,411,72,49.86,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
26,South Dakota,2020/04/11 17:07:00+00,626,189,6,431,c9a12ad2-408d-48ed-be8f-e61de5ea2bda,8006,7378,2,343,283,21,121,155,107,126,73,14,9,90,4,2,0,0,0,0,2,1,1,2,,,,,,,,,,,,,,,,,,,,0,359,25.0696378830084,7.8191356482638,269,77.667,59.14,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
27,South Dakota,2020/04/12 16:47:00+00,730,197,6,527,b87b84cb-d5b7-41d3-80ca-01f7929ef132,8553,7823,0,388,342,26,146,175,128,143,84,16,12,104,4,2,0,0,0,0,2,1,1,2,,,,,,,,,,,,,,,,,,,,0,547,19.0127970749543,8.53501695311587,443,94.333,70,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
28,South Dakota,2020/04/13 16:27:00+00,868,207,6,655,4ade3b41-fece-44c1-8489-82e2ec437069,9002,8134,0,459,409,37,166,212,158,163,101,17,14,138,4,2,0,0,0,0,2,1,1,2,,,,,,,,,,,,,,,,,,,,0,449,30.7349665924276,9.64230171073095,311,110.667,82.86,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
29,South Dakota,2020/04/14 16:34:00+00,988,261,6,721,1cd95750-91ca-4ec7-88a9-c9fa51505739,9296,8308,0,534,454,44,187,246,187,182,110,18,14,120,4,2,0,0,0,0,2,1,1,2,,,,,,,,,,,,,,,,,,,,0,294,40.8163265306122,10.6282271944923,174,120.667,95.43,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
30,South Dakota,2020/04/15 17:12:00+00,1168,329,6,833,c0648e8c-20dc-4ea0-bd35-c56f1be0ec3a,9859,8691,0,637,531,55,220,286,236,215,123,19,14,180,4,2,0,0,0,0,2,1,1,2,,,,,,,,,,,,,,,,,,,,0,563,31.9715808170515,11.8470433106806,383,146,110.71,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
31,South Dakota,2020/04/16 16:39:00+00,1311,373,7,931,d93509b8-df7c-4480-9e29-2ad42652ffd2,10552,9239,2,711,600,69,249,321,266,242,130,20,14,143,5,2,0,0,0,0,2,2,1,2,,,,,,,,,,,,,,,,,,,,1,693,20.6349206349206,12.4241849886277,550,147.667,123.43,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
32,South Dakota,2020/04/17 16:42:00+00,1411,457,7,947,80c4308f-eeb0-4888-9523-f79d15e9450e,11062,9651,0,765,646,74,271,344,286,259,134,22,21,92,5,2,0,0,0,0,2,2,1,2,,,,,,,,,,,,,,,,,,,,0,510,18.0392156862745,12.7553787741819,418,138.333,123.86,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
33,South Dakota,2020/04/18 17:19:00+00,1542,552,7,983,6dd20c6e-4751-4777-bed7-44c26a853363,11661,10118,1,839,703,88,294,368,318,279,146,25,24,131,5,2,0,0,0,0,2,2,1,2,,,,,,,,,,,,,,,,,,,,0,599,21.8697829716194,13.2235657319269,468,122,129.71,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
34,South Dakota,2020/04/19 16:35:00+00,1635,646,7,982,356f9f87-31f0-4d3f-b77e-ea41b7e244c7,12062,10427,0,892,743,94,312,382,336,300,155,26,30,93,5,2,0,0,0,0,2,2,1,2,,,,,,,,,,,,,,,,,,,,0,401,23.1920199501247,13.5549660089537,308,105.333,128.14,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
35,South Dakota,2020/04/20 16:32:00+00,1685,709,7,969,4d08cf35-1f2f-4d01-bc6e-1e80516916ae,12326,10641,0,915,770,97,317,390,346,307,159,32,37,50,5,2,0,0,0,0,2,2,1,2,,,,,,,,,,,,,,,,,,,,0,264,18.9393939393939,13.6702904429661,214,91.333,115.57,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
36,South Dakota,2020/04/21 16:21:00+00,1755,824,8,923,475aeac9-ccc9-4bca-83ac-98f3d4e9fd5c,12815,11060,0,936,819,98,330,408,361,316,168,35,39,70,6,2,0,0,0,0,2,3,1,2,,,,,,,,,,,,,,,,,,,,1,489,14.3149284253579,13.6948888021849,419,71,108.43,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
37,South Dakota,2020/04/22 16:24:00+00,1858,937,9,912,b03e0bf3-dae4-41a6-8524-017211757de6,13446,11588,0,999,859,105,345,431,386,333,179,40,39,103,7,2,0,0,0,0,2,3,1,3,,,,,,,,,,,,,,,,,,,,1,631,16.3232963549921,13.8182359065893,528,74.333,97.43,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
38,South Dakota,2020/04/23 16:16:00+00,1956,1064,9,883,eafd941b-5b7d-4e77-a159-ff43bbe44235,14065,12109,0,1048,908,111,362,457,401,355,185,41,44,98,7,2,0,0,0,0,2,3,1,3,,,,,,,,,,,,,,,,,,,,0,619,15.8319870759289,13.9068610024884,521,90.333,91,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
39,South Dakota,2020/04/24 17:19:00+00,2040,1190,10,840,6c28b22a-a2a8-4cf1-aa7f-c5f03f992a1e,14824,12784,0,1090,950,116,382,474,416,370,190,45,47,86,8,2,0,0,0,0,3,3,1,3,,,,,,,,,,,,,,,,,,,,1,759,11.33069828722,13.7614678899083,673,95.667,90.14,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
40,South Dakota,2020/04/25 16:30:00+00,2147,1223,10,914,a10e1002-c5c8-4aea-ac33-4beb83a5c586,15596,13449,0,1136,1011,128,407,498,428,386,199,48,53,107,8,2,0,0,0,0,3,3,1,3,,,,,,,,,,,,,,,,,,,,0,772,13.860103626943,13.7663503462426,665,97,86.71,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
41,South Dakota,2020/04/26 05:24:00+00,2212,1257,11,944,71f75f43-a434-42ea-ae39-4f2df063bbc6,16274,14062,0,1167,1045,138,416,511,444,396,203,50,54,65,9,2,0,0,0,0,4,3,1,3,,,,,,,,,,,,,,,,,,,,1,678,9.58702064896755,13.5922330097087,613,86,82.71,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
42,South Dakota,2020/04/27 16:54:00+00,2245,1316,11,918,1e4bc3f7-d122-4204-b4ec-9208a1c2bcbe,16375,14130,0,1183,1062,143,422,514,449,402,208,53,54,33,9,2,0,0,0,0,4,3,1,3,,,,,,,61,,,,,,,,,,,,,0,101,32.6732673267327,13.7099236641221,68,68.333,80.29,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
43,South Dakota,2020/04/28 16:28:00+00,2313,1392,11,909,677b7e3f-a290-4ea1-97ee-f8befecbf122,16612,14299,0,1224,1089,149,435,533,461,415,213,53,54,68,9,2,1,0,0,0,4,3,1,3,275,461,423,95,329,730,69,,,,,,,,,,,,,0,237,28.6919831223629,13.9236696364074,169,55.333,80,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
44,South Dakota,2020/04/29 16:47:00+00,2373,1492,13,868,d0d55a08-d19a-4bce-98ef-c16f89b28023,16833,14460,0,1250,1123,149,444,550,472,427,220,53,58,60,11,2,0,0,0,0,4,3,1,5,282,470,430,104,333,754,69,11.8836915297092,19.8061525495154,18.1205225453013,4.38263801095659,14.0328697850822,31.7741255794353,2.22748815165877,2.89391047349301,1.34395999374902,0.13805737345847,1.11018503083847,0.103278899600308,2,221,27.1493212669683,14.0973088576011,161,53.667,73.86,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
45,South Dakota,2020/04/30 16:35:00+00,2449,1573,17,859,0d2bce07-2dba-4c8a-a08b-80a21da0dd02,17028,14579,0,1293,1156,154,460,570,483,438,226,55,63,76,13,4,0,0,0,1,4,3,2,7,291,480,446,110,336,786,76,11.8824009799918,19.5998366680278,18.2115149040425,4.49162923642303,13.7198856676194,32.0947325438955,2.29857819905213,2.95548303675882,1.39396780746992,0.146022221927228,1.12018669778296,0.107662088973265,4,195,38.974358974359,14.3821940333568,119,68,70.71,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
46,South Dakota,2020/05/01 16:14:00+00,2525,1686,21,818,fb85890c-fd6c-4431-80a4-629bf4c099ab,17363,14838,0,1325,1200,161,476,585,494,444,233,59,73,76,15,6,0,0,0,1,4,4,3,9,297,489,453,123,347,816,69,11.7623762376238,19.3663366336634,17.9405940594059,4.87128712871287,13.7425742574257,32.3168316831683,2.34597156398104,3.01089834369805,1.41584622597281,0.163279393609537,1.15685947657943,0.111771329010413,4,335,22.6865671641791,14.542417784945,259,70.667,69.29,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
47,South Dakota,2020/05/02 17:29:00+00,2588,1759,21,808,858eb8b4-bac6-40d2-ad47-de6045920778,18091,15503,0,1356,1232,171,486,595,506,452,240,63,75,63,15,6,0,0,0,1,4,4,3,9,300,496,466,133,351,842,71,11.5919629057187,19.1653786707883,18.0061823802164,5.13910355486862,13.5625965996909,32.5347758887172,2.3696682464455,3.05399913798411,1.45647757462103,0.176554141057466,1.17019503250542,0.115332670375941,0,728,8.65384615384615,14.3054557514786,665,71.667,63,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
48,South Dakota,2020/05/03 17:09:00+00,2631,1799,21,811,80938a12-a229-4d39-86cb-1dc63ffb5ca8,18417,15786,0,1381,1250,177,494,601,509,461,247,64,78,43,15,6,0,0,0,1,4,4,3,9,303,499,472,139,355,863,71,11.5165336374002,18.9661725579628,17.9399467882934,5.28316229570506,13.4929684530597,32.8012162675789,2.39336492890995,3.07247090696386,1.47523050476637,0.184518989526224,1.18353058843141,0.118209138401944,0,326,13.1901840490798,14.2857142857143,283,60.667,59.86,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
49,South Dakota,2020/05/04 16:53:00+00,2668,1830,21,817,ee79329c-1629-4eb7-8b39-ffe757577168,18713,16045,0,1405,1263,180,501,610,516,466,251,65,79,34,15,6,0,0,0,1,4,4,3,9,306,504,483,140,358,877,69,11.4692653673163,18.8905547226387,18.1034482758621,5.24737631184408,13.4182908545727,32.8710644677661,2.41706161137441,3.10325718859676,1.50961087669948,0.185846464271017,1.1935322553759,0.120126783752613,0,296,11.4864864864865,14.2574680703254,262,46.667,60,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
50,South Dakota,2020/05/05 16:30:00+00,2721,1895,24,802,94eee6a6-84c6-4f90-b408-eb1fd6882ba8,19022,16301,0,1434,1287,182,509,625,520,477,259,68,81,53,15,9,0,0,0,1,4,4,3,12,308,507,493,148,361,901,75,11.3193678794561,18.632855567806,18.1183388460125,5.43917677324513,13.2671811833885,33.1128261668504,2.43285939968404,3.1217289575765,1.54086576027504,0.196466262229361,1.20353392232039,0.123414175782331,3,309,17.1521035598706,14.3044895384292,256,43.333,57.86,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
51,South Dakota,2020/05/06 16:37:00+00,2779,1977,29,773,4b558df3-a789-4a60-aae6-2368e0579038,19416,16637,0,1472,1307,189,516,635,530,485,269,69,86,58,16,13,0,0,0,1,4,5,4,15,309,511,504,157,366,932,72,11.1191075926592,18.3879093198992,18.1360201511335,5.64951421374595,13.1702051097517,33.5372436128104,2.44075829383886,3.14635798288283,1.57524613220816,0.208413534932498,1.22020336722787,0.127660390487383,5,394,14.7208121827411,14.3129377832715,336,48.333,57.57,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
52,South Dakota,2020/05/07 16:39:00+00,2905,2028,31,846,83754a0d-7e80-4653-b07d-10d8a9d87480,20114,17209,0,1472,1307,189,516,635,530,485,269,69,86,126,16,13,0,0,0,1,4,5,4,15,306,544,523,159,429,944,70,10.5335628227194,18.7263339070568,18.0034423407917,5.47332185886403,14.7676419965577,32.4956970740103,2.41706161137441,3.34954744166,1.63463041100172,0.211068484422084,1.43023837306218,0.129304086502242,2,698,18.0515759312321,14.4426767425674,572,79,64.71,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
53,South Dakota,2020/05/08 16:57:00+00,3144,2069,31,1044,bec2ef42-d41b-42f7-9a87-4422b87e30bb,21293,18149,0,1678,1466,251,562,724,597,543,301,77,89,239,16,15,0,0,0,1,4,5,4,17,340,623,559,169,466,987,76,10.8142493638677,19.8155216284987,17.7798982188295,5.37531806615776,14.8218829516539,31.3931297709924,2.68562401263823,3.83597069145989,1.74714799187373,0.224343231870014,1.55359226537756,0.135193997222154,0,1179,20.2714164546226,14.7654158643686,940,141,88,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
54,South Dakota,2020/05/09 16:58:00+00,3393,2125,34,1234,d3f39b75-85b5-48ce-b0d4-2b929801cb10,22952,19559,0,1840,1553,289,602,789,637,586,313,84,93,249,17,17,0,0,0,1,4,5,5,19,405,717,583,184,463,1041,79,11.9363395225464,21.131741821397,17.1824344238137,5.4229295608606,13.6457412319481,30.6808134394341,3.19905213270142,4.41475278615849,1.82215971245507,0.244255353041908,1.54359059843307,0.142590629289019,3,1659,15.0090415913201,14.7830254444057,1410,204.667,114.57,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
55,South Dakota,2020/05/10 23:56:00+00,3517,2147,34,1336,43060a62-d17b-452f-b57b-166726b0e1cd,23894,20377,0,1918,1599,311,619,819,661,604,325,85,93,124,17,17,0,0,0,1,4,5,5,19,427,761,611,198,462,1058,77,12.1410292863236,21.6377594540802,17.3727608757464,5.62979812340063,13.1361956212681,30.0824566391811,3.37282780410742,4.68567206452805,1.90967338646664,0.26283999946901,1.54025670945158,0.144919198643403,0,942,13.1634819532909,14.7191763622667,818,204,126.14,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
56,South Dakota,2020/05/11 16:45:00+00,3614,2187,34,1393,1bf498d1-00a3-4808-a71b-970f8bffa8a3,24578,20964,0,1982,1632,335,636,843,680,612,329,85,94,97,17,17,0,0,0,1,4,5,5,19,442,807,624,202,470,1069,78,12.2302158273381,22.3298284449364,17.2661870503597,5.58937465412286,13.0049806308799,29.579413392363,3.4913112164297,4.96890585555077,1.95030473511486,0.268149898448182,1.56692782130355,0.146425919990357,0,684,14.1812865497076,14.7042070144031,587,156.667,135.14,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
57,South Dakota,2020/05/12 16:34:00+00,3663,2309,39,1315,69cccfb6-78a9-4575-b265-85d69ba560ee,25197,21534,0,2005,1658,338,642,861,686,619,335,86,96,49,18,21,0,0,1,1,5,6,5,21,444,817,630,213,476,1083,74,12.1212121212121,22.3041223041223,17.1990171990172,5.81490581490582,12.994812994813,29.5659295659296,3.50710900473934,5.03047841881657,1.9690576652602,0.282752120640905,1.58693115519253,0.148343565341026,5,619,7.91599353796446,14.5374449339207,570,90,134.57,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
58,South Dakota,2020/05/13 16:48:00+00,3732,2367,39,1326,f3999df6-c789-4d20-8c59-d44bc1dd9d6d,25844,22112,0,2035,1697,343,660,874,695,638,339,87,96,69,18,21,0,0,1,1,5,6,5,21,449,827,644,229,484,1099,79,12.0310825294748,22.1596998928189,17.2561629153269,6.13612004287245,12.9689174705252,29.4480171489818,3.54660347551343,5.09205098208238,2.01281450226598,0.303991716557593,1.61360226704451,0.150535160027505,0,647,10.6646058732612,14.4404890883764,578,71.667,136.14,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
59,South Dakota,2020/05/14 16:54:00+00,3792,2437,43,1312,f1c34e92-7349-4c8b-9db0-42b54db3c5ca,26473,22681,0,2063,1729,347,671,888,704,649,347,87,99,60,21,22,0,0,1,1,6,7,5,23,454,840,654,240,485,1119,85,11.9725738396624,22.1518987341772,17.246835443038,6.32911392405063,12.7900843881857,29.5094936708861,3.58609794628752,5.17209531432794,2.04406938584154,0.318593938750315,1.616936156026,0.153274653385603,4,629,9.5389507154213,14.3240282552034,569,59.333,126.71,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
