2588.statecounty,TN_Rha,TN_Rhea
1566.fipstwo,28079,f28079
2667.statecounty,TX_Dallma,TX_Dallam
259.countytwo,Cheyennew ,Cheyenne 
842.county,Jennsings ,Jennings 
2530.county,Cplay ,Clay 
425.statecounty,GA_Cob,GA_Cobb
3027.statecounty,VA_Woise,VA_Wise
1829.statevalue,E,NE
3184.statevalue,VW,WV
578.countytwo,Cla y,Clay 
2400.fipstwo,f4001,f44001
1887.fipstwo,31139,f31139
628.fipstwo,fe19141,f19141
2598.county,Sullivna ,Sullivan 
698.statevalue,IyD,ID
253.statevalue,OC,CO
2574.county,Mauy ,Maury 
710.countytwo,Champain ,Champaign 
2601.fipstwo,f47196,f47169
913.county,Crawfrd ,Crawford 
888.statecounty,N_Warren,IN_Warren
450.fipstwo,f1317,f13117
3106.fipstwo,f55w041,f55041
1934.fipstwo,f30427,f34027
1346.countytwo,rant ,Grant 
2226.statecounty,OR_Curyr,OR_Curry
1315.statecounty,MI_St. Jospeh,MI_St. Joseph
1717.countytwo,Le e,Lee 
660.county,Bea rLake ,Bear Lake 
2119.fipstwo,39131,f39131
1867.statevalue,vNE,NE
2373.statevalue,RP,PR
46.fipstwo,fz01033,f01033
1853.fipstwo,f3071,f31071
265.countytwo,Dwelta ,Delta 
2225.countytwo,Cook ,Crook 
3100.statecounty,WI_Douor,WI_Door
2486.county,Jelrauld ,Jerauld 
312.countytwo,kWeld ,Weld 
301.statecounty,COPueblo,CO_Pueblo
339.county,Dixe ,Dixie 
2723.countytwo,Hopkwins ,Hopkins 
1603.countytwo,Wwayne ,Wayne 
96.county,fWinston ,Winston 
2872.statecounty,TU_Davis,UT_Davis
1085.countytwo,Monrove ,Monroe 
2158.countytwo,Cottoqn ,Cotton 
533.statecounty,GA_Torup,GA_Troup
3183.fipstwo,f5053,f54053
1288.statecounty,MI_Mlanistee,MI_Manistee
627.statevalue,A,IA
1633.county,Lewis and Clar k,Lewis and Clark 
13.statecounty,AK_Ketchikan Gateway oBrough,AK_Ketchikan Gateway Borough
975.county,Rile y,Riley 
1065.statecounty,KY_Lezslie,KY_Leslie
1692.statecounty,NC_Dre,NC_Dare
659.statevalue,DI,ID
656.fipstwo,19197,f19197
142.statevalue,RA,AR
1704.statevalue,CN,NC
355.statecounty,FL_Indain River,FL_Indian River
1919.fipstwo,f330h17,f33017
2559.statevalue,NT,TN
2640.county,Calhonu ,Calhoun 
2044.statecounty,NY_Sullivhan,NY_Sullivan
1123.countytwo,Assumpton ,Assumption 
2346.county,Culebra Municipiro,Culebra Municipio
2359.statecounty,PR_Jayuya Munjicipio,PR_Jayuya Municipio
63.statecounty,AL_Hjenry,AL_Henry
412.fipstwo,f1339,f13039
974.fipstwo,f2015x9,f20159
844.fipstwo,f18038,f18083
536.county,Unio ,Union 
915.fipstwo,f2001,f20041
2360.fipstwo,f7275,f72075
1333.statevalue,eMN,MN
654.countytwo,Wodbury ,Woodbury 
129.county,Itzard ,Izard 
2667.countytwo,Dllam ,Dallam 
1849.fipstwo,f31603,f31063
842.countytwo,Jennigngs ,Jennings 
482.fipstwo,f11381,f13181
2998.countytwo,Pulsaki ,Pulaski 
121.statecounty,AR_uFlton,AR_Fulton
1350.fipstwo,f270y59,f27059
1023.countytwo,Christiian ,Christian 
1458.statecounty,MO_Johnsoen,MO_Johnson
1210.countytwo,aHrford ,Harford 
2382.countytwo,Rio Grande Municpio,Rio Grande Municipio
2578.statevalue,N,TN
2684.fipstwo,f48154,f48145
1944.county,Chave ,Chaves 
2653.statevalue,XT,TX
995.statevalue,zKS,KS
330.statecounty,FL_sBrevard,FL_Brevard
2043.countytwo,Suffolk ***,Suffolk 
1762.fipstwo,f73195,f37195
1274.statecounty,MI_sabella,MI_Isabella
2563.county,pKnox ,Knox 
2489.county,Laket ,Lake 
1680.statevalue,xNC,NC
1130.county,Cldwell Parish,Caldwell Parish
1256.statecounty,MI_Clintlon,MI_Clinton
518.county,Spalfding ,Spalding 
1124.statevalue,LeA,LA
1773.statecounty,ND_ass,ND_Cass
1585.fipstwo,28117,f28117
987.fipstwo,f02185,f20185
1663.statecounty,TM_Wibaux,MT_Wibaux
17.county,Nome eCnsus Area,Nome Census Area
1155.county,Orleans Pyarish,Orleans Parish
1773.fipstwo,f380e17,f38017
1963.fipstwo,35039,f35039
1199.county,Anneu Arundel ,Anne Arundel 
1133.county,Claiborne Palrish,Claiborne Parish
1180.countytwo,Wes tBaton Rouge ,West Baton Rouge 
1511.statevalue,xMO,MO
1489.statevalue,O,MO
358.fipstwo,f21067,f12067
1735.countytwo,Pende ,Pender 
2839.statecounty,T_XTrinity,TX_Trinity
817.countytwo,Daerborn ,Dearborn 
887.statecounty,IN_abash,IN_Wabash
1927.countytwo,Essexm ,Essex 
939.countytwo,Jewvell ,Jewell 
151.statevalue,AgR,AR
718.fipstwo,17035,f17035
592.statecounty,IA_Franklibn,IA_Franklin
1168.statecounty,LA_St. aLndry,LA_St. Landry
1029.statecounty,KoY_Daviess,KY_Daviess
1646.fipstwo,f3075,f30075
597.county,Hamliton ,Hamilton 
80.county,Montgomry ,Montgomery 
1446.statevalue,OM,MO
2913.statecounty,VA_wBuckingham,VA_Buckingham
1964.statevalue,MN,NM
666.statevalue,IqD,ID
1733.fipstwo,f3737,f37137
1831.county,Cear ,Cedar 
1940.statevalue,JN,NJ
1989.countytwo,Stroey ,Storey 
2324.county,Aguaidlla Municipio,Aguadilla Municipio
410.statevalue,GnA,GA
3095.fipstwo,f5g5019,f55019
2518.countytwo,Bedfobrd ,Bedford 
1543.fipstwo,f28033***,f28033
110.countytwo,oClumbia ,Columbia 
330.statevalue,uFL,FL
1806.statevalue,DN,ND
219.county,Nap ,Napa 
1387.fipstwo,f21733,f27133
2855.countytwo,Wilbagrer ,Wilbarger 
1067.statevalue,KlY,KY
2541.fipstwo,f4749,f47049
1298.countytwo,Muskgeon ,Muskegon 
3093.fipstwo,f5501p5,f55015
1148.fipstwo,f22p055,f22055
1188.statecounty,MA_Essfex,MA_Essex
1566.statevalue,MwS,MS
1048.statevalue,bKY,KY
2049.statevalue,lNY,NY
2656.countytwo,Coorado ,Colorado 
2624.countytwo,Beee ,Bee 
674.countytwo,Cleawater ,Clearwater 
1086.county,Mnotgomery ,Montgomery 
1920.statecounty,H_Sullivan,NH_Sullivan
1575.statecounty,MS_Mongomery,MS_Montgomery
2259.countytwo,Bezdford ,Bedford 
897.county,Atchisonu ,Atchison 
2852.statecounty,TX_Whaton,TX_Wharton
170.countytwo,Wogodruff ,Woodruff 
2263.statevalue,AP,PA
2378.countytwo,Penuelas Muqnicipio,Penuelas Municipio
1156.countytwo,uOachita ,Ouachita 
1463.fipstwo,f29x111,f29111
153.county,Pok ,Polk 
426.statecounty,A_Coffee,GA_Coffee
1013.fipstwo,f21d027,f21027
205.statevalue,A,CA
1558.countytwo,Jefferso ,Jefferson 
242.statecounty,C_ASutter,CA_Sutter
1843.statecounty,EN_Dixon,NE_Dixon
2118.statecounty,OH_Pickawaby,OH_Pickaway
252.statevalue,O,CO
2046.statevalue,NqY,NY
2799.countytwo,Ptter ,Potter 
3153.county,Waueksha ,Waukesha 
243.statevalue,AC,CA
1186.fipstwo,f2x5005,f25005
3134.fipstwo,f550k95,f55095
185.statevalue,uAZ,AZ
2507.fipstwo,f6115,f46115
1092.fipstwo,fb21185,f21185
2331.countytwo,Barranquitas Muicipio,Barranquitas Municipio
1689.statevalue,C,NC
1725.countytwo,Mitchell ***,Mitchell 
1638.county,Melagher ,Meagher 
1926.county,Cumberlabnd ,Cumberland 
3176.countytwo,Jefferso n,Jefferson 
2726.countytwo,Hudsepth ,Hudspeth 
1892.county,Roc k,Rock 
69.county,Lwrence ,Lawrence 
2502.statevalue,eSD,SD
2469.statecounty,SD_Deel,SD_Deuel
2462.countytwo,Calrk ,Clark 
1278.statecounty,MIK_ent,MI_Kent
3199.fipstwo,f54038,f54083
1548.county,Grendaa ,Grenada 
2132.statecounty,OH_Tucarawas,OH_Tuscarawas
3126.statecounty,WI_Milwauke,WI_Milwaukee
641.countytwo,Siox ,Sioux 
1843.county,Dixo ,Dixon 
2978.fipstwo,fy51121,f51121
861.countytwo,Orangej ,Orange 
555.statecounty,HI_Kaalawao,HI_Kalawao
1977.statecounty,NV_Clakr,NV_Clark
2432.fipstwo,f4555,f45055
2296.statecounty,PA_MkcKean,PA_McKean
2482.countytwo,Hughe s,Hughes 
505.countytwo,Pirece ,Pierce 
1490.county,latte ,Platte 
1050.fipstwo,f12101,f21101
1655.statecounty,MT_lSilver Bow,MT_Silver Bow
3139.countytwo,Rockb ,Rock 
2715.county,Hasvkell ,Haskell 
1119.county,Woodfordo ,Woodford 
3035.countytwo,Caledoni a,Caledonia 
64.fipstwo,01069,f01069
1244.statevalue,jMI,MI
480.countytwo,Leee ,Lee 
2777.statevalue,X,TX
1944.countytwo,Chavs ,Chaves 
2056.statecounty,OHAshland,OH_Ashland
857.statecounty,IN_Mvorgan,IN_Morgan
1103.countytwo,ussell ,Russell 
1527.county,Adms ,Adams 
2407.county,llendale ,Allendale 
1634.statecounty,T_Liberty,MT_Liberty
2397.fipstwo,72149,f72149
2189.countytwo,McCrutain ,McCurtain 
2702.fipstwo,48181,f48181
3175.countytwo,Jacksno ,Jackson 
1002.county,Anderon ,Anderson 
1057.fipstwo,f2i1115,f21115
989.statecounty,KSi_Stevens,KS_Stevens
1262.countytwo,Geneee ,Genesee 
3209.statevalue,V,WV
3116.statecounty,WIK_ewaunee,WI_Kewaunee
1997.countytwo,ayuga ,Cayuga 
2207.countytwo,oRgers ,Rogers 
2800.statecounty,X_Presidio,TX_Presidio
871.fipstwo,fr18137,f18137
3231.county,Sweetater ,Sweetwater 
2379.countytwo,Ponec Municipio,Ponce Municipio
2183.statevalue,K,OK
3036.county,Chittende ,Chittenden 
3092.countytwo,uBrnett ,Burnett 
2867.county,Beatver ,Beaver 
1795.county,Muntrail ,Mountrail 
2425.statecounty,SC_Flornece,SC_Florence
1092.statevalue,YK,KY
3209.county,etzel ,Wetzel 
93.countytwo,Walkr ,Walker 
1817.statecounty,ND_Wiilliams,ND_Williams
840.countytwo,ay ,Jay 
961.fipstwo,f20313,f20133
2072.statevalue,H,OH
2341.county,iales Municipio,Ciales Municipio
3057.fipstwo,f5302v1,f53021
668.fipstwo,f6023,f16023
111.fipstwo,f50029,f05029
77.countytwo,Marsahll ,Marshall 
3166.statecounty,WVDoddridge,WV_Doddridge
684.statevalue,D,ID
2338.countytwo,Catano Muniycipio,Catano Municipio
811.statecounty,IN_Casls,IN_Cass
1189.statevalue,MhA,MA
2090.countytwo,Hocing ,Hocking 
2849.county,Warbd ,Ward 
2706.statecounty,T_Hale,TX_Hale
1288.statevalue,MgI,MI
2545.county,Grainge ,Grainger 
2806.statevalue,ToX,TX
2231.statecounty,OR_Haney,OR_Harney
3005.fipstwo,f5163,f51163
2011.statevalue,qNY,NY
1409.county,Andrw ,Andrew 
1193.countytwo,Nanucket ,Nantucket 
1545.countytwo,Frankli n,Franklin 
516.county,Sccreven ,Screven 
946.fipstwo,20103,f20103
75.statecounty,AL_Mraengo,AL_Marengo
2078.statevalue,HO,OH
477.fipstwo,rf13171,f13171
592.county,Frranklin ,Franklin 
2016.statevalue,NeY,NY
3041.statevalue,TV,VT
274.fipstwo,08047,f08047
1268.fipstwo,f6061,f26061
802.county,Woiodford ,Woodford 
1347.statecounty,MN_ennepin,MN_Hennepin
1257.statevalue,rMI,MI
339.countytwo,Ddixie ,Dixie 
1900.countytwo,Siuox ,Sioux 
1656.statecounty,T_Stillwater,MT_Stillwater
2800.fipstwo,f4837b7,f48377
1381.fipstwo,f7121,f27121
557.fipstwo,f51009,f15009
2400.statecounty,RI_Brisotl,RI_Bristol
3096.statecounty,WI_Columbfia,WI_Columbia
789.county,Stephesnon ,Stephenson 
1384.county,Rdewood ,Redwood 
2334.statevalue,RP,PR
1540.countytwo,Coahoa ,Coahoma 
2411.countytwo,Beuafort ,Beaufort 
3174.countytwo,Harriso n,Harrison 
2612.countytwo,nAderson ,Anderson 
1077.statecounty,KY_Masion,KY_Mason
3201.fipstwo,5f4087,f54087
3109.statevalue,I,WI
2552.fipstwo,f7071,f47071
2936.county,Falls Chunrch city,Falls Church city
139.statecounty,ARLonoke,AR_Lonoke
2289.countytwo,Lackyawanna ,Lackawanna 
226.county,SanBenito ,San Benito 
1041.statecounty,KY_Gravqes,KY_Graves
539.countytwo,kWalton ,Walton 
753.county,Livingsto n,Livingston 
3089.statevalue,oWI,WI
986.county,Smit h,Smith 
1511.fipstwo,f2207,f29207
409.statecounty,GA_uBrke,GA_Burke
144.countytwo,Modnroe ,Monroe 
2007.fipstwo,36031,f36031
1881.statevalue,zNE,NE
848.statevalue,IbN,IN
965.county,Osbonre ,Osborne 
1477.statevalue,MrO,MO
916.county,Donipha n,Doniphan 
1340.statecounty,MN_Diodge,MN_Dodge
1128.statevalue,AL,LA
3226.county,Niobrar ,Niobrara 
1890.county,RedW illow ,Red Willow 
1331.statecounty,MN_Casjs,MN_Cass
2239.countytwo,iLncoln ,Lincoln 
563.statevalue,A,IA
585.countytwo,Delware ,Delaware 
2790.county,Ociltree ,Ochiltree 
74.county,Madisn ,Madison 
3209.countytwo,Wtezel ,Wetzel 
1700.statecounty,NC_Gagston,NC_Gaston
385.county,umter ,Sumter 
1162.statevalue,A,LA
3222.countytwo,Johson ,Johnson 
411.countytwo,Calhound ,Calhoun 
2856.county,illacy ,Willacy 
1808.county,Solpe ,Slope 
714.statecounty,IL_Clinteon,IL_Clinton
522.fipstwo,f1323,f13263
295.statevalue,O,CO
2648.countytwo,Cheroke ,Cherokee 
934.fipstwo,2f0079,f20079
1145.statevalue,LyA,LA
1013.county,Brecinridge ,Breckinridge 
1901.statevalue,EN,NE
760.county,Masn ,Mason 
705.fipstwo,f17090,f17009
1289.statecounty,MI_Mrquette,MI_Marquette
1129.county,Calcasiue Parish,Calcasieu Parish
31.fipstwo,f1003,f01003
2888.countytwo,Sumimt ,Summit 
932.statevalue,S,KS
607.statecounty,IA_kJasper,IA_Jasper
2556.statevalue,N,TN
2619.countytwo,Austn ,Austin 
416.county,Charlotn ,Charlton 
2830.countytwo,Swwisher ,Swisher 
2790.statecounty,TXn_Ochiltree,TX_Ochiltree
2966.fipstwo,f5168,f51678
1178.countytwo,Washingotn ,Washington 
544.county,Wbster ,Webster 
90.statevalue,L,AL
2098.fipstwo,f3908c9,f39089
763.fipstwo,f7111,f17111
1756.county,Wak ,Wake 
1564.county,Lauerdale ,Lauderdale 
2373.countytwo,Mrovis Municipio,Morovis Municipio
1518.fipstwo,f292a21,f29221
498.countytwo,uscogee ,Muscogee 
942.statevalue,SK,KS
32.county,Babrour ,Barbour 
3120.statevalue,I,WI
171.statecounty,AR_Yell***,AR_Yell
1087.county,organ ,Morgan 
2248.statevalue,R,OR
741.countytwo,Jefefrson ,Jefferson 
1589.countytwo,Shkarkey ,Sharkey 
229.county,Sn Francisco ,San Francisco 
904.statevalue,xKS,KS
1233.fipstwo,cf23023,f23023
3091.county,Bfufalo ,Buffalo 
955.county,Miam i,Miami 
2613.countytwo,Anrdews ,Andrews 
224.statecounty,CA_Riveruside,CA_Riverside
273.statecounty,CO_Garifield,CO_Garfield
367.county,Maritn ,Martin 
53.fipstwo,fx01047,f01047
3208.fipstwo,f5101,f54101
2987.statevalue,A,VA
305.fipstwo,f08e109,f08109
569.countytwo,Btler ,Butler 
2287.county,eJfferson ,Jefferson 
2837.countytwo,oTm Green ,Tom Green 
2807.statecounty,TXc_Refugio,TX_Refugio
3208.statevalue,V,WV
275.countytwo,eGrand ,Grand 
815.county,Crawfodr ,Crawford 
1463.county,Leiws ,Lewis 
1087.fipstwo,f2117v5,f21175
613.countytwo,ee ,Lee 
1553.fipstwo,2f8053,f28053
1857.countytwo,all ,Hall 
2515.county,Yankdton ,Yankton 
1442.statecounty,MsO_Dunklin,MO_Dunklin
305.countytwo,Sagucahe ,Saguache 
245.countytwo,Tularen ,Tulare 
1946.county,oClfax ,Colfax 
1470.fipstwo,f92127,f29127
1140.county,Frankli nParish,Franklin Parish
1327.countytwo,Blue Earh ,Blue Earth 
2862.countytwo,eYoakum ,Yoakum 
1507.fipstwo,f21987,f29187
2903.countytwo,Arlintgon ,Arlington 
109.statevalue,AtR,AR
1193.statecounty,MA_Nantuckyet,MA_Nantucket
1171.fipstwo,pf22103,f22103
2205.statecounty,OK_Paushmataha,OK_Pushmataha
1072.fipstwo,ff21151,f21151
3182.countytwo,Marshal l,Marshall 
1458.county,Jhonson ,Johnson 
1610.fipstwo,f3d0003,f30003
2077.fipstwo,f3904l7,f39047
244.fipstwo,f0610f5,f06105
1618.countytwo,Danels ,Daniels 
2947.fipstwo,5f1075,f51075
2499.fipstwo,f4609,f46099
1700.countytwo,aGston ,Gaston 
2241.fipstwo,4f1045,f41045
2516.county,Ziebahc ,Ziebach 
400.countytwo,artow ,Bartow 
171.statevalue,RA,AR
2002.fipstwo,36021,f36021
1874.county,rLogan ,Logan 
1596.fipstwo,28139,f28139
796.fipstwo,f17119,f17191
1991.fipstwo,32033,f32033
2095.county,Kno x,Knox 
2471.countytwo,Dougla s,Douglas 
1166.fipstwo,f2b2093,f22093
1702.fipstwo,f37705,f37075
1402.fipstwo,f2716m3,f27163
2643.statevalue,X,TX
2715.fipstwo,hf48207,f48207
2875.statevalue,UxT,UT
1896.statevalue,EN,NE
2906.fipstwo,5f1019,f51019
2902.statecounty,VAAppomattox,VA_Appomattox
2753.fipstwo,f4281,f48281
1125.fipstwo,22011,f22011
2336.statevalue,gPR,PR
1426.county,aCss ,Cass 
3117.statevalue,I,WI
1996.fipstwo,gf36009,f36009
179.county,Coconin ,Coconino 
911.statecounty,KS_Comnche,KS_Comanche
2489.statecounty,SiD_Lake,SD_Lake
1919.countytwo,Strakfford ,Strafford 
1319.countytwo,ayne ,Wayne 
3000.statevalue,iVA,VA
3170.statevalue,V,WV
1777.countytwo,Dun n,Dunn 
2330.statevalue,R,PR
2615.statevalue,TvX,TX
2951.statecounty,VA_Halfax,VA_Halifax
207.county,Kins ,Kings 
2814.county,San Augutine ,San Augustine 
235.county,Santa Cuz ,Santa Cruz 
1602.fipstwo,f2l8151,f28151
687.county,Lwis ,Lewis 
906.countytwo,Cheyenn ,Cheyenne 
1079.countytwo,McCreray ,McCreary 
506.statevalue,AG,GA
1446.statecounty,MO_Grene,MO_Greene
545.countytwo,Wheleer ,Wheeler 
1147.county,La Salkle Parish,La Salle Parish
2993.fipstwo,f1740,f51740
2035.countytwo,wRockland ,Rockland 
285.county,aLrimer ,Larimer 
1652.county,oRsebud ,Rosebud 
1463.statevalue,rMO,MO
2164.county,Evllis ,Ellis 
957.countytwo,Montgomeryu ,Montgomery 
1855.fipstwo,f3105,f31075
2785.county,Nacogdoces ,Nacogdoches 
2970.fipstwo,5f1680,f51680
1400.statecounty,M_Wadena,MN_Wadena
1972.statecounty,N_Torrance,NM_Torrance
198.county,Contra Cost a,Contra Costa 
1787.statecounty,ND_LaMore,ND_LaMoure
973.statecounty,KS_Repuublic,KS_Republic
2815.county,San Jainto ,San Jacinto 
2246.countytwo,Sherma n,Sherman 
252.statecounty,CO_Arapanhoe,CO_Arapahoe
3160.fipstwo,f50405,f54005
780.fipstwo,f1719,f17159
2365.fipstwo,f7205,f72085
2681.statevalue,TvX,TX
632.statecounty,IA_Plymoouth,IA_Plymouth
2.countytwo,Aleutians vWest Census Area,Aleutians West Census Area
2200.county,aPwnee ,Pawnee 
265.fipstwo,kf08029,f08029
1998.fipstwo,f360n13,f36013
794.statecounty,I_LWarren,IL_Warren
1594.countytwo,allahatchie ,Tallahatchie 
262.statevalue,OC,CO
2474.statecounty,SD_aFulk,SD_Faulk
3137.statevalue,WjI,WI
510.statecounty,GA_Quitmna,GA_Quitman
1097.county,Pik e,Pike 
2752.county,Lmab ,Lamb 
1400.statevalue,MdN,MN
1669.countytwo,Ash e,Ashe 
817.statevalue,NI,IN
1161.statecounty,A_Richland,LA_Richland
2885.county,San Juabn ,San Juan 
1723.county,McnDowell ,McDowell 
505.county,ierce ,Pierce 
2638.county,urnet ,Burnet 
482.countytwo,Lincolyn ,Lincoln 
1680.county,aCrteret ,Carteret 
1309.countytwo,Rostcommon ,Roscommon 
1708.county,Hywood ,Haywood 
1114.statevalue,YK,KY
999.statevalue,rKS,KS
140.county,Madiso n,Madison 
3230.fipstwo,fi56035,f56035
1704.county,Greenez ,Greene 
1856.statevalue,rNE,NE
1780.fipstwo,f3031,f38031
2660.county,Cwooke ,Cooke 
2993.statevalue,AV,VA
2098.countytwo,Licing ,Licking 
458.countytwo,rGeene ,Greene 
2033.statecounty,NoY_Rensselaer,NY_Rensselaer
1871.county,Knosx ,Knox 
2180.county,Latmier ,Latimer 
1668.statecounty,NCAnson,NC_Anson
2730.county,Jck ,Jack 
2979.statecounty,VAN_elson,VA_Nelson
494.county,onroe ,Monroe 
2411.statevalue,CS,SC
1256.statevalue,MvI,MI
2977.statevalue,AV,VA
2703.statecounty,T_Gregg,TX_Gregg
2812.county,Rsk ,Rusk 
2851.countytwo,Wbeb ,Webb 
937.statecounty,KS_aJckson,KS_Jackson
762.statecounty,IL_McDonugh,IL_McDonough
337.statevalue,L,FL
124.fipstwo,f0505s5,f05055
1542.statevalue,S,MS
1053.statecounty,YK_Hopkins,KY_Hopkins
1054.statecounty,KY_Jakcson,KY_Jackson
2607.statecounty,TN_Wane,TN_Wayne
2352.fipstwo,f7059,f72059
402.statecounty,GA_Berqrien,GA_Berrien
2857.statecounty,TX_Williamson***,TX_Williamson
1437.countytwo,Dalla ,Dallas 
2752.statecounty,T_Lamb,TX_Lamb
1407.fipstwo,f27137,f27173
107.fipstwo,f05012,f05021
916.countytwo,Doinphan ,Doniphan 
833.statecounty,IN_Hdarrison,IN_Harrison
1422.countytwo,Camdenk ,Camden 
2782.fipstwo,f4831,f48341
3218.statevalue,YW,WY
2987.statecounty,VA_Orcange,VA_Orange
2448.countytwo,lUnion ,Union 
813.statevalue,NI,IN
1317.statecounty,MI_an Buren,MI_Van Buren
2616.county,rcher ,Archer 
1434.fipstwo,fp29053,f29053
608.countytwo,Jeffrson ,Jefferson 
2218.statecounty,OK_Woodqward,OK_Woodward
2267.county,Cabon ,Carbon 
656.countytwo,Wlright ,Wright 
541.county,Waarren ,Warren 
2342.statecounty,PR_Cidra Municiipo,PR_Cidra Municipio
345.statevalue,L,FL
884.fipstwo,f1816j3,f18163
1557.statecounty,MS_Jaspre,MS_Jasper
1763.county,aYdkin ,Yadkin 
1238.statevalue,IM,MI
2601.statecounty,TN_rousdale,TN_Trousdale
1904.statevalue,EN,NE
564.county,Black Haw k,Black Hawk 
883.statecounty,IN_aUnion,IN_Union
968.countytwo,Phillps ,Phillips 
1272.statecounty,M_Iosco,MI_Iosco
297.county,ark ,Park 
1052.statevalue,KvY,KY
2948.county,Grayso ,Grayson 
1953.countytwo,Hardintg ,Harding 
2831.statevalue,rTX,TX
610.county,Jone ,Jones 
1085.county,Monro e,Monroe 
3197.fipstwo,54079,f54079
2058.county,Athen s,Athens 
424.statevalue,AG,GA
382.statevalue,L,FL
1210.county,Hoarford ,Harford 
2538.statecounty,TN_Dicksn,TN_Dickson
473.countytwo,Jeffierson ,Jefferson 
2389.countytwo,Santa Isabel Munincipio,Santa Isabel Municipio
121.statevalue,RA,AR
194.statecounty,CA_Amdor,CA_Amador
2330.countytwo,vBarceloneta Municipio,Barceloneta Municipio
9.county,Haines Byorough,Haines Borough
1724.statecounty,NC_Mecklneburg,NC_Mecklenburg
257.statecounty,CO_Broomifeld,CO_Broomfield
688.countytwo,Linclon ,Lincoln 
1011.fipstwo,f1023,f21023
2553.statecounty,TNf_Hawkins,TN_Hawkins
1513.statevalue,O,MO
1060.statevalue,oKY,KY
283.fipstwo,f08076,f08067
2135.countytwo,kVinton ,Vinton 
1070.county,Logaln ,Logan 
2946.statevalue,A,VA
2716.statecounty,TX_Hasy,TX_Hays
1645.fipstwo,f3073,f30073
116.countytwo,Dalalas ,Dallas 
54.countytwo,DeKalwb ,DeKalb 
788.statevalue,LI,IL
346.fipstwo,f12403,f12043
504.countytwo,Picukens ,Pickens 
432.fipstwo,f13801,f13081
2968.fipstwo,f5119,f51109
2188.county,McClai n,McClain 
3087.county,Ashlandm ,Ashland 
2098.statecounty,OoH_Licking,OH_Licking
2341.statevalue,PtR,PR
102.fipstwo,f00511,f05011
699.county,alley ,Valley 
1548.statevalue,S,MS
643.countytwo,aTma ,Tama 
2012.fipstwo,f36e041,f36041
88.statevalue,LA,AL
3128.fipstwo,f5508g3,f55083
1315.county,St. Josteph ,St. Joseph 
1733.county,Pamlio ,Pamlico 
1222.countytwo,ndroscoggin ,Androscoggin 
218.county,Montrey ,Monterey 
2024.county,Onieda ,Oneida 
2329.statevalue,RP,PR
3030.statevalue,I,VI
2611.countytwo,Wilon ,Wilson 
598.fipstwo,f1901,f19081
2578.countytwo,Monrsoe ,Monroe 
2.county,Aleutians West Censu sArea,Aleutians West Census Area
1012.countytwo,Breahtitt ,Breathitt 
1911.county,Belkntap ,Belknap 
776.county,Ppoe ,Pope 
8.county,Fairbanks North Str Borough,Fairbanks North Star Borough
1002.countytwo,xAnderson ,Anderson 
2092.statecounty,H_Huron,OH_Huron
1711.fipstwo,vf37093,f37093
2711.fipstwo,f48199***,f48199
2888.fipstwo,f4943,f49043
728.fipstwo,f17z055,f17055
