191.characteristic,Total,"Pacific Islander, non-Hispanic"
285.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variaion (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
157.characteristic,Total - Male,Hispanic
92.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Data not available.
154.sex,Mael,Male
219.characteristic,Total - Female,"Two or more races, non-Hispanic"
96.noteoncount,Reporting standards nlot met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
160.characteristic,Total,Hispanic
125.characteristic,Total,"Total - Two or more races, non-Hispanic"
222.noteoncount,Reprting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
87.characteristic,Total - Male,"Total - Asian, non-Hispanic"
278.noteoncount,Reporting standards not met. wEither there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
74.characteristic,Total - Female,Total - Hispanic
68.noteoncount,Reporting standards not met. Eithre there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
95.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient o variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
280.noteoncount,Reporting standards not met. Either there are too few acses for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
276.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Data not available.
251.sex,Fmale,Female
52.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the gcoefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
178.sex,Malee,Male
234.noteoncount,Reporting standards not met. Either there are too few case for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
90.characteristic,"Total - Black, non-Hispanic","Total - Asian, non-Hispanic"
252.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV)i s 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
40.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 prcent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
246.characteristic,Total,"Black, non-Hispanic"
274.characteristic,Total,"Pacific Islander, non-Hispanic"
216.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimat eor the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
302.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Data not available.
206.percentage,45a.5%,45.5%
184.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Data not available.
177.noteoncount,Reporting standards nt met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
154.characteristic,Total - Female,"Black, non-Hispanic"
73.characteristic,Total - Male,Total - Hispanic
132.noteoncount,Reporting standards not met. Either there aret oo few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
179.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 precent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
82.noteoncount,eporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
15.noteoncount,Reporting standards not emt. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
218.noteoncount,Reposrting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
311.characteristic,Total,"Two or more races, non-Hispanic"
231.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
224.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient ozf variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
123.characteristic,Total - Male,"Total - Two or more races, non-Hispanic"
137.characteristic,Total - Male,"White, non-Hispanic"
199.noteoncount,Reporting standarsd not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
96.characteristic,"Total - White, non-Hispanic","Total - Pacific Islander, non-Hispanic"
128.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for tis estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
153.characteristic,Total,"Black, non-Hispanic"
141.raceethnicity,"White, non-Hlispanic","White, non-Hispanic"
53.characteristic,Total - Male,"Total - Black, non-Hispanic"
289.raceethnicity,"American Indian/Alaska Native,o non-Hispanic","American Indian/Alaska Native, non-Hispanic"
228.characteristic,Total - Female,"White, non-Hispanic"
303.characteristic,Total - Male,"Two or more races, non-Hispanic"
198.raceethnicity,"American Indian/Alsaka Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
304.sex,Femael,Female
70.noteoncount,Reportinsg standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
307.characteristic,Total,"Two or more races, non-Hispanic"
143.noteoncount,Reporting standards not met. Either there qare too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
134.characteristic,Total,"White, non-Hispanic"
261.noteoncount,Reporting standards not met. Eitherr there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
222.characteristic,Total - Female,"White, non-Hispanic"
113.raceethnicity,"American Indian/Alask Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
76.noteoncount,Reporting standards not met. Either there are too cfew cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
65.noteoncount,Reporting standard snot met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
172.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coeyfficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
46.characteristic,Total,"Total - White, non-Hispanic"
77.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variatiodn (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
300.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Data not available.
93.characteristic,Total - Male,"Total - Pacific Islander, non-Hispanic"
251.noteoncount,Reporting sandards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
265.characteristic,Total,"Asian, non-Hispanic"
181.noteoncount,Reporting standards not met. Either there are too few ases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
2.sex,emale,Female
34.sex,Femael,Female
134.sex,ale,Male
60.noteoncount,Reporting standards not met.E ither there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
143.characteristic,Total - Male,"White, non-Hispanic"
174.percentage,6k3.5%,63.5%
295.noteoncount,Reporting standards not met. Either there re too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
103.characteristic,Total,"Total - Pacific Islander, non-Hispanic"
107.characteristic,"Total - Asian, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
277.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate orr the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
287.percentage,0.5%,20.5%
85.characteristic,Total - Female,"Total - Asian, non-Hispanic"
267.characteristic,Total,"Asian, non-Hispanic"
253.characteristic,Total,Hispanic
193.noteoncount,Reportign standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
67.characteristic,Total - Female,Total - Hispanic
122.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficien of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
100.characteristic,Total,"Total - Pacific Islander, non-Hispanic"
200.raceethnicity,"American Indian/Aalaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
300.characteristic,"Total - White, non-Hispanic","Two or more races, non-Hispanic"
292.raceethnicity,"Aemrican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
281.noteoncount,Reporting standards not met. Either there aire too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
231.percentage,47.7o%,47.7%
122.characteristic,Total - Male,"Total - Two or more races, non-Hispanic"
156.characteristic,Total - Male,"Black, non-Hispanic"
213.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greatr.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
64.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greatcer.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
136.noteoncount,Reporting tsandards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
203.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variaiton (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
46.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or thep coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
59.characteristic,Total,"Total - Black, non-Hispanic"
146.characteristic,Total,"Black, non-Hispanic"
224.characteristic,Total - Female,"White, non-Hispanic"
27.noteoncount,Reporting standards not met. Either there are too few cases for a reliableestimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
58.characteristic,Total,"Total - Black, non-Hispanic"
236.characteristic,Total - Female,"Black, non-Hispanic"
125.percentage,q39.2%,39.2%
153.noteoncount,Reporting standards no tmet. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
102.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of ariation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
117.noteoncount,Reporting standards not met. Either there are too few casesf or a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
235.noteoncount,Reporting standards not met. Either there are too few cases for a reliable gestimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
230.raceethnicity,"White, non-Hmispanic","White, non-Hispanic"
37.noteoncount,Reporting standrads not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
90.noteoncount,Reporting standards not met. Either there are too few caoses for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
227.characteristic,Total - Male,"White, non-Hispanic"
296.raceethnicity,"American Indian/Alaska Native, nonH-ispanic","American Indian/Alaska Native, non-Hispanic"
144.percentage,25.c1%,25.1%
230.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or gretaer.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
30.noteoncount,Reporting standards not met. Either there are too few cases fo a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
208.sex,Mae,Male
166.sex,aMle,Male
309.characteristic,Total - Female,"Two or more races, non-Hispanic"
54.characteristic,Total - Male,"Total - Black, non-Hispanic"
195.raceethnicity,"Pacific Ilander, non-Hispanic","Pacific Islander, non-Hispanic"
263.characteristic,Total - Male,"Asian, non-Hispanic"
305.noteoncount,Reporting standards not met. Either there are too few cases for a reliable erstimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
73.percentage,26.x6%,26.6%
258.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent orgreater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
237.characteristic,Total - Female,"Black, non-Hispanic"
37.sex,emale,Female
193.characteristic,Total - Male,"Pacific Islander, non-Hispanic"
127.characteristic,Total,"Total - Two or more races, non-Hispanic"
136.characteristic,Total - Male,"White, non-Hispanic"
105.noteoncount,Reportig standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
36.noteoncount,Reporting standards not met. Eiher there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
82.characteristic,Total,"Total - Asian, non-Hispanic"
47.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variatsion (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
66.noteoncount,Reporting standards not me. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
219.noteoncount,Reporting stadards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
63.noteoncount,Reporting standards not met. Eiher there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
33.raceethnicity,"American Indian/Alapska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
106.characteristic,"Total - Asian, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
229.characteristic,Total,"White, non-Hispanic"
159.raceethnicity,ispanic,Hispanic
47.characteristic,Total,"Total - White, non-Hispanic"
17.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) si 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
42.noteoncount,Reporting standards not met. Either there rae too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
57.characteristic,Total - Female,"Total - Black, non-Hispanic"
225.noteoncount,Reporting standards not met. Either there are too ew cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
42.characteristic,Total - Male,"Total - White, non-Hispanic"
272.characteristic,Total,"Asian, non-Hispanic"
140.characteristic,Total - Female,"White, non-Hispanic"
256.characteristic,Total - Male,Hispanic
109.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coeffciient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
177.characteristic,Total,"Asian, non-Hispanic"
308.noteoncount,Reporting standards not met. Eithezr there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
89.raceethnicity,"Asian, nonHispanic","Asian, non-Hispanic"
245.characteristic,Total,"Black, non-Hispanic"
298.raceethnicity,"Amreican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
275.characteristic,Total,"Pacific Islander, non-Hispanic"
125.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or te coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
63.characteristic,Total,"Total - Black, non-Hispanic"
217.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent org reater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
7.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimaet or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
115.noteoncount,Reporting standards not met. Either there are too fe cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
268.characteristic,Total,"Asian, non-Hispanic"
66.sex,emale,Female
271.characteristic,Total - Male,"Asian, non-Hispanic"
117.raceethnicity,"Americn Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
111.raceethnicity,"American Indian/Alaska Native, non-Hispoanic","American Indian/Alaska Native, non-Hispanic"
255.noteoncount,Reporting standards not met.Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
161.noteoncount,Reporting standards not met. Either there are too fwe cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
201.noteoncount,Reporting standards not met. Either there are too few casevs for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
212.characteristic,Total - Female,"Two or more races, non-Hispanic"
108.sex,Faemale,Female
28.noteoncount,Reporting sbtandards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
274.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Data not available.
264.characteristic,Total - Female,"Asian, non-Hispanic"
221.characteristic,Total - Female,"Two or more races, non-Hispanic"
154.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
19.noteoncount,Reporting standards not met. Either there are too few caes for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
147.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimaate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
210.percentage,38.%4,38.4%
233.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of vuariation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
40.characteristic,Total,"Total - White, non-Hispanic"
80.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of vaiation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
62.characteristic,Total,"Total - Black, non-Hispanic"
104.characteristic,Total,"Total - Pacific Islander, non-Hispanic"
192.characteristic,Total,"Pacific Islander, non-Hispanic"
170.characteristic,Total,"Asian, non-Hispanic"
178.characteristic,Total - Male,"Asian, non-Hispanic"
165.characteristic,Total - Female,Hispanic
144.characteristic,Total - Female,"Black, non-Hispanic"
94.characteristic,Total - Male,"Total - Pacific Islander, non-Hispanic"
71.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variatio (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
145.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coeffiient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
42.percentage,40.9p%,40.9%
49.characteristic,Total - Female,"Total - White, non-Hispanic"
81.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
164.characteristic,Total - Male,Hispanic
51.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50s percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
237.noteoncount,Reporting standards not met. Either there are too few cases for a relibale estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
246.sex,Fqemale,Female
175.characteristic,Total - Male,"Asian, non-Hispanic"
120.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Data not available.
186.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coeffciient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
268.sex,Femael,Female
128.characteristic,Total,"Total - Two or more races, non-Hispanic"
198.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or wgreater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
294.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or gerater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
266.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or thecoefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
280.characteristic,Total - Female,"Pacific Islander, non-Hispanic"
