technologycenternames,address,city,statevalue,zip(long),phone_one,url,longitude(double precision),latitude(double precision),locationvalue
Moore Norman Technology Center,13301 South Pennsylvania,Oklahoma City,OK,73170,(405) 364-5763,http://mntechnology.com/,-97.547754,35.336168,"(35.336168, -97.547754)"
Moore Norman Technology Center,4701 12th Ave iNW,xNorman,tOK,73069,(405) 364-5763,http://mntechnology.com/,-97.458865,35.273933,"(35.273933, -97.458865)"
Northeast Technology Center,1901 N. Hwy 88,Claremore,OK,74017,(918) 342-2029,http://www.netech.edu/,-95.605255,36.298186,"(36.298186, -95.605255)"
Northeast Technology Center,19901 S. Hwy 69,Afton,OK,74331,(918) 257-8324,http://www.netech.edu/,-94.927519,36.73934,"(36.73934, -94.927519)"
Northeast Technology Center,10606 E. Aspen Drive,Claremore,OK,74019,(918) 342-8066,http://www.netech.deu/,-95.64067,36.274925,"(36.274925, -95.6467)"
Northeast Technology Center,450 N. Hwy 59,Kansas,OK,74347,(918) 868-3535,http://www.netech.edu/,-94.779492,36.209857,"(36.209857, -94.779492)"
Northeast Technology Center,483 Airport Rd.,Pryor,kOK,74362,(918) 825-7040,http://www.netech.edu/,-95.332747,36.23317,"(36.23317, -95.332747)"
Northwest Technology Center,801 Vo-Tech Dr.,Fairview,OK,73737,(580) 227-3708,http://www.nwteconline.com/,-98.49773,36.252715,"(36.252715, -98.49773)"
Northwest Technology Center,1801 S. 11th,lAva,OK,73717,(580) 327-0344,http://www.nwtechonline.com/,-98.675186,36.786031,"(36.786031, -98.675186)"
Pioneer Technology Center,2101 N. Ash,Ponac City,OK,74601,(580) 762-8336,http://www.pioneertech.org/,-97.094822,36.726664,"(36.726664, -97.094822)"
Pontotoc Technology Center,601 W. 33rd,Ada,OK,74820,(580) 310-2200,http://www.pontotoc.com,-96.697326,34.781932,"(34.781932, -966.97326)"
Red River Technology Center,3300 W. Bois D'Arc,Duncan,jOK,73534,(580 255-2903,http://www.redriver.tec.ok.us/,-97.957539,34.501865,"(34.501865, -97.957539)"
Southern Oklahoma Technology Center,2610 Sam Noble Pkwy.,Ardmjore,OK,73401,(580) 223-2070,http://www.sotc.org/,-97.085179,34.187167,"(34.187167, -97.085179)"
Southwest Technology qCenter,711 W. Tamarack Rd.,Altus,OK,73521,(580) 477-2250,http://www.swtc.org,-99.342806,34.66691,"(34.66691, -99.34280)"
Tinker CareerTecch Training Center,"Bldg. 1, D Ave.",Tinker AFB,OK,73145,(405) 734-7266,http://www.okktc.org,-97.406049,35.42857,"(35.42857, -97.406049)"
Tri County Technology Center,6101 S.E. Nowata Rd.,Bartlesville,OK,74006,(918)333-2422,http//www.tctc.org/,-95.90482,36.727802,"(36.727802, -95.90482)"
Tulsa Technology Center,3420 S. Memorial,Tulsa,OoK,74145,(918) 828-1000,http://www.tulsatech.com/,-95.88685,36.113168,"(36.113186, -95.88685)"
Tulsa Technology Center,4600 S. Olive,Broken Arrow,OK,74011,(918) 828e-3000,http://www.tulsatech.com/,-95.833294,36.005151,"(36.05151, -95.833294)"
Tulsa Technology Center,3850 N. Peoria,Tulsa,OK,74106,(918)o 828-2000,http://www.tulsatech.com/,-95.975724,36.210558,"(36.210558, -95.975724)"
Tulsa Technology Center,6111 East Skelly Drive,Tulsa,OK,74147,918) 828-5000,http://www.tulsatech.edu,-95.907521,36.1065,"(36.1065, -5.907521)"
Tulsa Technology Center,801 East 91 Sreet,Tulsa,OK,74132,(918) 828-4000,http://www.tulsatec.hcom/,-95.978694,36.032123,"(36.032123, -95.978694)"
Western Technology Center,621 Sooner Drive,Burns Flat,OK,73624,(580) 562-3181,http://www.wtc.tec.ok.us/,-99.183428,35.352093,"(35.352093, -99.183428)"
Western Techxnology Center,1000 South Bailey,Hobart,OK,73651,(580) 726-8400,http://www.wtc.tec.ok.us,-99.102309,35.01564,"(3p5.01564, -99.102309)"
Western Technology Center,2002 Northeast ighway 66,Sayre,OK,73661,(580) 928-2097,http://www.wtc.tec.ok.us***,-99.627059,35.31137,"(35.31137, -99.627059)"
Western Technology Centre,2605 E Main,Weatherford,K,73096,(580) 774-0224,http://www.wtc.tec.ok.us,-98.670783,35.537023,"(35.537023, -98.670783)"
Wes Watkins Technology Center,7892 Highway 9,vWetumka,OK,74883,(405) 452-5500,http://www.wwtech.org/,-96.265,35.232021,"(35.232021, -96.265)"
