characteristic,sex,raceethnicity,year,score,standard_erroron_score,noteon_score
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2005,266.0,1.0,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2006,,,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2007,265.0,0.9,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2008,,,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2009,267.0,1.1,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2010,,,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2011,266.0,1.0,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2012,,,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2013,270.0,1.3,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2000,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2001,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2002,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2003,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2004,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2005,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2006,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2007,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2008,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2009,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2010,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2011,286.0,1.3,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2012,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2013,286.0,1.0,
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2000,284.0,1.2,
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2001,,,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2002,,,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2003,287.0,0.3,
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2004,,,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2005,288.0,0.2,
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2006,,,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2007,292.0,0.3,
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2008,,,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2009,293.0,0.3,
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2010,,,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2011,293.0,0.3,
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2012,,,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2013,294.0,0.3,
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2000,242.0,1.6,
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2001,,,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2002,,,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2003,251.0,0.7,
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2004,,,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2005,254.0,0.5,
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2006,,,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2007,258.0,0.5,
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2008,,,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2009,259.0,0.6,
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2010,,,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2011,260.0,0.6,
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2012,,,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2013,261.0,0.5,
"Total - Male, Hispanic",Male,Hispanic,2000,252.0,1.4,
"Total - Male, Hispanic",Male,Hispanic,2001,,,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2002,,,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2003,260.0,0.9,
"Total - Male, Hispanic",Male,Hispanic,2004,,,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2005,262.0,0.6,
"Total - Male, Hispanic",Male,Hispanic,2006,,,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2007,265.0,0.5,
"Total - Male, Hispanic",Male,Hispanic,2008,,,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2009,267.0,0.6,
"Total - Male, Hispanic",Male,Hispanic,2010,,,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2011,270.0,0.6,
"Total - Male, Hispanic",Male,Hispanic,2012,,,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2013,271.0,0.5,
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2000,286.0,3.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2001,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,289.0,1.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,295.0,1.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,297.0,1.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,301.0,1.6,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,305.0,1.5,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2013,309.0,1.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2000,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2001,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,261.0,3.4,
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2013,274.0,2.8,
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2000,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,,,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,,,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,266.0,1.9,
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,,,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,267.0,1.3,
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,,,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,266.0,1.8,
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,,,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,268.0,1.7,
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,,,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,265.0,2.0,
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2012,,,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2013,272.0,1.7,
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2000,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,287.0,1.8,
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2013,286.0,1.5,
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2000,282.0,1.0,
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2001,,,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2002,,,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2003,286.0,0.3,
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2004,,,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2005,287.0,0.2,
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2006,,,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2007,289.0,0.3,
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2008,,,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2009,291.0,0.3,
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2010,,,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2011,292.0,0.3,
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2012,,,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2013,293.0,0.3,
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2000,244.0,1.6,
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2001,,,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2002,,,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2003,252.0,0.6,
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2004,,,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2005,255.0,0.5,
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2006,,,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2007,260.0,0.6,
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2008,,,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2009,261.0,0.5,
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2010,,,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2011,264.0,0.6,
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2012,,,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2013,264.0,0.5,
"Total - Female, Hispanic",Female,Hispanic,2000,251.0,1.9,
"Total - Female, Hispanic",Female,Hispanic,2001,,,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2002,,,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2003,257.0,0.8,
"Total - Female, Hispanic",Female,Hispanic,2004,,,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2005,260.0,0.5,
"Total - Female, Hispanic",Female,Hispanic,2006,,,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2007,264.0,0.6,
"Total - Female, Hispanic",Female,Hispanic,2008,,,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2009,264.0,0.9,
"Total - Female, Hispanic",Female,Hispanic,2010,,,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2011,269.0,0.6,
"Total - Female, Hispanic",Female,Hispanic,2012,,,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2013,271.0,0.6,
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,289.0,5.2,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,290.0,1.1,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,294.0,1.1,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,296.0,1.0,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,299.0,1.4,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,305.0,1.2,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,308.0,1.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,272.0,4.2,
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,274.0,3.5,
