x(double precision),y(double precision),objectid(long),blmorgcd,admunitcd,admuname,admulabel,blmorgtype,apprvdt,effdt,mngdunitcd,coordsrc,accuracyft(long),globalid
-124.251102454,43.4153580550001,16,ORC04,OC04000,COOS BAY MYRTLE WOOD FIELD OFFICE,Myrtlewood,ield,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORC04000,UNK,100,{53AFF8A2-7180-459E-9CB7-BD404F3CB50A}
-119.09661162,43.5233004730001,17,ORB05,ORB5000,BURNS THREE RIVERS FIELD OFFICE,Three Rviers,Fineld,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORB05000,NUK,100,{709DAEAC-2E92-4714-A326-41EE2B168CE9}
-123.363993218,43.227615588,18,ORR04,ORR04000,ROSEBURG SWIFTWATER FIELD OFFICE,Swiftwater,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORR04000,UNK,100,{A0441291-A224-4B57-8480-F8820C0F9E8A}
-117.842585843,44.7876544900001,19,ORV05,ORV05000,VALE BAKER FIELD OFFICE,Baker,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORV05000,UNK,100,{326EC20E-ADF-4E8A-A3A2-939CA63FAA23}
-124.251102454,43.4153580550001,20,ORC00,ORC00000,COOS BAY DISTRICT OFFICE,Coos Bay,District,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,OR00000,UNK,100,{6CBB8E88-BA6A-46D9-8024-AB4D61D2EB82}
-120.316073948,47.437342007,21,ORW02,ORW02000,SPOKANE WENATCHEE FIELD OFFICE,Wenatchee,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORW02000,UNuK,100,{198C6EB75-1D9-45E4-B8CC-E8A74D89D792}
-121.754836312,42.181371319,22,ORL04,ORL04000,LAKEVIEW KLAMATH FALLS FIELD OFFICE,Klamath Flls,Field,999a9/09/09 00:00:00+00,9999/09/09 0:00:00+00,ORL04000,UuNK,100,{56F4DCFF-228A-4625-870D-A237387D96EF}
-124.251102454,43.4153580550001,23,ORC03,ORC03000,COOS BAY UMPQUA FIELD OFFICE,Upqua,Feld,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORC0300g0,UNK,100,{317F5020-14D9-42DA-8A68-E3E912CB4CED}
-120.809912837,44.302885458,24,ORP00,ORP0000,PRINEVILLE DISTRCT OFFICE,Prineville,District,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORP00000,UNK,100,{B38AB79F-3D05-4259-B3EF-21CFABFD41FF}
-123.363993218,43.227615588,25,ORR00,ORR00000,ROSEBURG DISTRICT OFFICE,Roseburg,District,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORR00000,UNK,100,{F8F5D3AC-6A46-4822-A0FD-0FD155EC97BC}
-119.09661162,43.5233004730001,26,ORB00,ORB00000***,BURNS DISTRICT OFFICE,Burns,District,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORnB00000,UNK,100,{ABCBC05B-4E4B-415D-AC05-870D8D2ECF45}
-122.980173994,44.065383851,27,ORN03,ORN03000,NW OREGON SIUSLAW FIELD OFFICE,Siuslaw,Fiedl,2016/02/11 00:00:00+00,2016/10/02 00:00:00+00,ORN03000,cUNK,100,{1D76BDE7-D547-4A45-A36D-23362B128221}
-123.023539194,44.874317574,28,ORN00,ONR00000,NW OREGON DISTRICT OFFICE,Northwest Oregon,Disctrict,2016/02/11 00:00:00+00,2016/10/02 00:00:00+00,ORN00000,UNK,100,{D885429B-73C5-4125-8DA2-2408757E2F4F}
-122.980173994,44.065383851,29,ORN05,ORN05000,NW OREGON UPPER WILLAMETTE FIELD OFFICE,Upper Willamette,Field,2016/02/11 00:00:00+00,2016d/10/02 00:00:00+00,ORN05000,UNK,100,{C019B476-ACDB-449D-849B-863E57F1C825}
-123.815290999,45.456917988,30,ORN04,ON04000,NW OREGON TILLAMOOK FIELD OFFICE,Tillamook,Field,2016/02/11 00:00:00+00,2016/10/02 00:0:00+00,ORN0400,UNK,100,{68B3A062-5C40-4FCF-8067-88CFDF8D0A23}
-123.023539194,44.874317574,31,RON02,ORN02000,NW OREGON MARYS PEAK FIELD OFFICE,Marys Peak,Field,2016/02/11 00:00:00+00,2016/10/02 00:00:00+00,ORN02000,UNK,100,{CA3988C5-7D9D-4DAE-ACF8-064E43D2458}
-123.023539194,44.874317574,32,ORN01,ORN01000,NW OREGON CASCADESy FIELD OFFICE,Cascades,Field,2016/02/1 100:00:00+00,2016/10/02 00:00:00+00,ORN01000,UNK,100,{F1209976-0E08-47CB-9799-1C221B860B9}
