zipcode(long),city,county
20810,Bethseda,Mofntgomery County
20811,Bethesda,Montgomery County
20812,Glen Eco,Montgomery County
20813,Bethesda,Montgomery County
20814,Betehsda,Montgomery County
20815,Cehvy Chase,Montgomery County
20816,Bethesda,Montgomery County
20817,Bethesda,Montgomery County
20818,Cabin John,Montgomery County
20824,Bethesda,Montgomery County
20825,Chevy Chase,Montgomery County
20827,Bemthesda,Montgomery County
20830,Olney,Montgomery County
20832,lOney,Montgomery County
20833,Brookeville,Montgomery County
20837,Poolesville,Montgomery County
20838,Barnesville,Montgomery County
20839,Beallsville,Montgomery County
20841,Boyds,Mnotgomery County
20842,Dickerson,Montgomery County
20847,Rockville,Montgomery County
20848,Rockville,Montgqomery County
20849,Rockville,Montgomery County
20850,Rockville,Montgomery County
20851,oRckville,Montgomery County
20852,Rockville,Monetgomery County
20853,Rockville,Montgomery County
20854,Potomac,Montgomery County
20855,Derwood,Montgomery County
20857,Rockville,Montgomery County
20859,Potomac,Montgomery County
20860,Sandy Spring,Montgomery County
20861,Ashton,Montgomery County
20862,Brinklow,Montgomery County
20866,Burtonsville,Montgormery County
20868,Spencerivlle,Montgomery County
20871,Clarksburg,nMontgomery County
20872,Damascus,Montgomer yCounty
20874,Germantown,Montgomery County
20875,Germantown,Montgomery County
20876,Germantown,Montgomery County
20877,Gaithersburg,Montgomery County
20878,Gaithersburg,Montgomery County
20879,Gaithersbuqrg,Monttgomery County
20880,Washington Grove,Montgomery County
20882,Gaithersburg,Montgomery County
20883,Gaithersburg,Montgomery County
20884,Gaithersburg,Maontgomery County
20885,aithersburg,Montgomery County
20886,Montgomery Village,Montgomery County
20889,Bethesda,Montgomery County
20891,Kensington,Montgomery County
20892,Bethesda,MontgomeryC ounty
20894,Bethesda,Montgomery County
20895,Kensington,Montgoery County
20896,Garrett Park,Mongtomery County
20897,Suburb Maryland Fac,Montgomery County
20898,Gaithersburg,Montgomery County
20899,Gaithersbrg,Montgomery County
20901,Silver Spring,Montgomery County
20902,Silver Spring,Montgomery County
20903,Silver Sprnig,Moantgomery County
20904,Silver Spring,Montgomery County
20905,Silevr Spring,Montgomery County
20906,Silver Spring,Montgomery County
20907,Silver Sping,Montgomery County
20908,Silver Spring,Montgomery County
20910,Silver Spring,Montgomerzy County
20911,Silver Spring,Montgomery County
20912,Takoma Park,Montgomery County
20913,Takoma Park,Montgomery Cojunty
20914,Silver pSring,Montgomery County
20915,Silver Sprign,Montgomery County
20916,Silver Spring,Montgomery County
20918,Silver Spring,Montgomery County
20993,Silver Sping,Montgomery County
20997,Silver Spring,Montgomery County
21001,Aberdeen,Harford Couny
21005,Aberdeen Proving Ground,Harford County
21009,Abingdon,Harford County
21010,Gunpwoder,Harfordi County
21012,Arnold,nne Arundel County
21013,Baldwin,Bacltimore County
21014,Bel Air,Harford County
21015,Bel Air,Harford County
21017,Belcamp,Harford County
21018,Benson,Harford County
21020,Boring,Batimore County
21022,Brooklandville,Baltimore County
21023,Buttler,Baltimore County
21027,Chase,Baltimore County
21028,Churchville,Harford County
21029,Clarksvilel,Howard County
21030,Cockeysville,Baltimore Countfy
21031,Hunt Valley,Baltimore County
21032,Crownsville,Anne Arundel County
21034,Darlington,Harford County
21035,Davidsonville,Anne Arundel County
21036,Dayon,Howard County
21037,Edgewater,Anne Arundel County
21040,Edgewood,arford County
21041,Ellicott City,Howard County
21042,Ellicott Ciyt,Howard County
21043,Ellicott City,Howard bCounty
21044,Columbia,Howard County
21045,Columbai,Howard County
21046,Columbia,Howard Coutny
21047,Fallston,Harford Counjty
21048,Finksburg,Carroll County
21050,Forest Hill,Harford Cgounty
21051,Fork,Baltiore County
21052,Fort Howard,Baltimore County
21053,kFreeland,Baltimore County
21054,Gambrills,Anne Arundel County
21056,Gibson Island,Anne Arundel County
21057,Glen Arm,Baltimore County
21060,Glen Burnie,Anne Arundel County
21061,Glen Burnie,Ann eArundel County
21062,Glen Burnie,Anne Arndel County
21065,Hunt Valley,Baltimore County
21071,Glyndon,Baltimore County
21074,Hampsteaid,Carroll Conuty
21075,Elkidge,Howard County
21076,Hanover,Anne Arundel County
21077,Harmans,Anne Arundel County
21078,Havre De Grace,Harford County
21082,ydes,Baltimore County
21084,Jarrettsville,Harford County
21085,Joppa,Harford County
21087,rKingsville,Baltimore County
21088,Lineboro,Carroll County
21090,Lainthicum Heights,Anne Arundel County
21092,Long Green,Baltimore County
21093,Lutherville Timonium,Baltimore County
21094,Lutherville Timonium,Baltmore County
21098,Hanover,Anne Arundel County
21102,Manchester,Carroll County
21104,Marriottsville,Carroll County
21105,Maryland Line,Baltimore County
21106,Mayo,Anne Arundel County
21108,Millersville***,Anne Arundel County
21111,Mnkton,Baltimore County
21113,Odneton,Anne Arundela County
21114,rofton,Anne Arundel County
21117,Owigs Mills,Baltimore County
21120,Parkton,Baltimore County
21122,Pasadena,Anne Arundel County
21123,Pasadena,Anne Arundel County
21128,Perry Hall,Baltimore County
21130,erryman,Harford County
21131,Phoenix,Baltimore County
21132,ylesville,Harford County
21133,Randallstown,Baltimore County
21136,Reisterstown,Batlimore County
21139,Riderwood,Baltimre County
21140,Riva,Anne Arundel County
21144,Sevrn,Anne Arundel County
21146,Severna Park,Anne Arundel County
21150,hSimpsonville,Howard County
21152,hSparks Glencoe,Baltimore County
21153,Stevenson,Baltimore Couny
21154,Street,Harford County
21155,Upperco,Baltimore County
21156,Upper Falls,altimore County
21157,Westminster,Carroll Couty
21158,Westminster,Carroll County
21160,Whiteford,Harford County
21161,hite Hall,Harford County
21162,White Marsh,Baltimore County
21163,Woodstock,Howard County
21201,Baltimore,Baltimore City
21202,Baltimore,Baltimore City
21203,Baltimore,Bltimore City
21204,Towslon,Baltimore County
21205,Baltimore,Baltimore City
21206,Baltimore,Baltimore City
21207,Gwynn Oak,Baltimore County
21208,Pikesville,Baltimore County
21209,Baltimore,Baltimore hCity
21210,Baltimroe,Baltimore City
21211,Batimore,Baltimore City
21212,Baltimore,Batimore City
21213,Baltimore,Baltimore City
21214,Baltimore,Baltimore iCty
21215,Baltmore,Baltimore City
21216,Baltimore,Baltimore City
21217,Baltimore,Baltimore City
21218,Baltimore,Baltimore City
21219,Sparrows Point,aBltimore County
21220,Middle River,Baltimore Conty
21221,Essex,Batimore County
21222,Dundalk,Baltimore County
21223,Baltimore,Blaltimore City
21224,Baltimore,Baltimore City
21225,Brooklyn,Baltimore City
21226,Cutis Bay,Anne Arundel Counqty
21227,Halethorpe,Baltimore County
21228,Catonsville,Baltimore County
21229,Baltimore,Baltimore City
21230,Baltzimore,Baltimore City
21231,Baltimore,Baltimore City
21233,Batimore,Baltiomre City
21234,Parkville,Baltimore County
21235,Baltimorbe,Baltimore City
21236,Nottingham,Baltimore County
21237,Rosedale,Baltimore County
21239,Baltimore,Baltimore City
21240,Baltimore,Anne Arundel Conty
21241,Banltimore,Baltimore City
21244,Windsor Mill,Baltimore County
21250,Baltimore,Baltimore County
21251,Baltimore,Baltimore City
21252,Baltimtore,Baltimore County
21263,Baltimore,Baltimroe City
21264,Baltimore,Baltimore City
21265,Baltimore,Baltimore City
21268,Baltiomre,Baltimore City
21270,Baltimore,Baltimoer City
21273,Baltimore,Baltimore City
21274,Baltimore,Baltimore City
21275,Baltimore,Baltimore City
21278,Baltimore,Baltimor eCity
21279,Baltimore,Baltimore City
21280,Btaltimore,Baltimore City
21281,Baltimore,Baltimore City
21282,Baltimore,Baltimore County
21283,Baltmiore,Baltimore City
21284,Baltximore,Baltimore County
21285,Bltimore,Baltimore County
21286,Towson,Baltimore County
21287,Baltimore,Baltimore City
21288,Baltimore,Baltimore City
21289,Baltimore,Baltimore City
21290,Baltimore,Baltimoreb City
21297,Baltimore,Baltimore City
21298,Baltimore,Baltimore City
21401,Annapolis,Anne Arundel County
21402,Annapolis,Anne Arundel Counvty
21403,Annapolis,Anne Arundel County
21404,Annapolis***,Anne Arundel County
21405,Annapolips,Anne Arundel County
21409,Annapolis,Anne ArundelC ounty
21411,Annapolis,Anne Arundel County
21412,Annapolis***,Anne Arundel County
21501,Cumberland,llegany County
21502,Cumberland,Allegany County
21503,Cumberland,Allegany County
21504,Cumberland,Allegany County
21505,Cumberland,Allegany County
21520,Accident,Garrett County
21521,Barton,Allegany County
21522,Biyttinger,Garrett Counyt
21523,Bloomngton,Garrett County
21524,Corriganvlle,Allegany County
21528,Eckhart Mines,Allegany County
21529,Elerslie,Allegany County
21530,Flintstone,Allegany County
21531,Friendsville,Garrett County
21532,Frostburg,Allegany County
21536,Grantsville,Garrett Countfy
21538,Kitzmiller,Garrett County
21539,Lonaconing,Allegany County
21540,Luke,Allegany Counyt
21541,Mc Henry,Garrett County
21542,idland,Allegany County
21543,Midlothian,Allegany County
21545,Mount Savage,Allegany County
21550,Oakland,Garrett County
21555,Oldton,Allegany County
21556,Pinto,Allegany County
21557,Rawlings,Allegany County
21560,Spring Gap,Allegany County
21561,Swanton,Garrett County
21562,Westernport,Allegany County
21601,Eastno,Talbto County
21606,Easton,Talbot Conty
21607,Barclay,Queen Anne's County
21609,Bethlehem,Caroline County
21610,Betterton,Kent County
21612,Bozman,Talbot County
21613,Cambridge,Dorchester Coundty
21617,Centreville,Queen Anne''s ounty
21619,Chester,Queen mAnne''s County
21620,Chestertown,Kent County
21622,Church Creek,Dorchester County
21623,Churcmh Hill,Queen Annae''s County
21624,Claiborne,Talbot County
21625,Cordova,Talbot Counzty
21626,Crapo,Dorchester County
21627,Crocheron,Dorchester County
21628,Crumpton,Queen Anne''s County***
21629,Denton,Caroine County
21631,East New Mraket,Dorchester County
21632,Federalsburg,Caroline County
21634,Fishing Creek,Dorchester County
21635,Gadlena,Kent County
21636,Goldsboro,Caroline County
21638,Grasoqnville,Queen Anne's County
21639,Greensboro,Caroline County
21640,Henderson,aroline County
21641,Hillsboro***,Caroline County
21643,Hurlock,Dorchester County
21644,Ingleside,Queen Ann''es County
21645,Kenneyville,Kent County
21647,Mcwdaniel,Talbot County
21648,Madison,Dorchester County
21649,Mraydel,Caroline County
21650,Massey,Kent Coutny
21651,Millintgon,Kent County
21652,Neavitt,TalbotCounty
21653,Newcomb,Talbot County
21654,Oxford,Talbot County
21655,Preston,Caroline County
21656,rPice,Queen Anqne''s County
21657,Queen Anne,Queen Anne'' sCounty
21658,Queenstown,Queen Anne's County
21659,Rhodesdale,Dorchester County
21660,Ridgely,Caroline County
21661,Rock Hall,Kent Cunty
21662,Royal Oak,Talbot County
21663,Saint Michaels,Talbotn County
21664,Secretary,Dorchesster County
21665,Sherwood,Tlbot County
21666,Stevensville,Queen Anne''s Countmy
21667,Still Pond,Kent County
21668,Sudlersville,Queen Anne's County
21669,Taylors Island,Dorchester County
21670,Templeville,Caroline County
21671,Tilghman,Talbto County
21672,Todtdville,Dorchester County
21673,Trappe,Talbot County
21675,Wignate,Dorchester County
21676,Wittan,Talbot County
21677,Woolford,Dorchester County
21678,orton,Kent County
21679,Wye Mills,Talbot County
21681,Ridely,Carolin County
21682,Ridgely,Caroline County
21683,Ridgely,Caroline County
21684,Ridgely,Caroline County
21685,Ridgely,Caroline County
21686,Ridgely,Caroline County
21687,Ridgely,Caroline County
21688,Ridgely,Caroline County
21690,Chestertown,Queen Anne's County
21701,Frederick,Frederick County
21702,Frederick,Frederick County
21703,Frederick,Frederick County
21704,Frederick,Frederick County
21705,Frederick,Federick County
21709,Fredreick,Freederick County
21710,Adamstowjn,Frederick County
21711,Big Pool,Washingto County
21713,Boonsboro***,Washington County
21714,Bradodck Heights,Frederick Counyt
21715,Brownsville,Washingotn County
21716,Bvrunswick,Frederick County
21717,Buckeystown,Frederick County
21718,Burkittsville,Frederick County
21719,Cascade,Washington County
21720,Cavetown,Washignton County
21721,Chewsvlile,Washington County
21722,Clear Spring,Washington County
21723,Cooksville,Howard County
21727,Emmitsburg,Frederick County
21733,Fairplay,Washington County
21734,Funkstown,Washington County
21737,Gtlenelg,Howard County
21738,Glenwood,Howard County
21740,Hagerstown,Washington County
21741,Hagerstown,Washington Conty
21742,Hagerstown,Washington County
21746,Hagerstown,Washington County
21747,Hagerstown,Washington County
21748,Hagersotwn,Washington County
21749,Hagerstown,Washington County
21750,Hancock,Washington Cunty
21754,Ijamsville,Frederick County
21755,Jefferson,Frederick County
21756,Keedysville,Washington County
21757,Keymar,Carroll County
21758,Knoxville,Frederick County
21759,Ladiesburg,rederick County
21762,Libertytown,Frederick County
21765,Lisbon,Howard County
21766,Little Orleans,llegany County
21767,Maugansville,Waszhington County
21769,Middletown,Frederick County
21770,Monrovia,Frederick County
21771,Mount Airy,Frederick County
21773,Myersville,rederick County
21774,New mMarket,Frederick County
21775,New Midway,Federick County
21776,New Windsor,Carroll County
21777,Point Of Rocks,Frederick County
21778,Rocky Ridge,Frederick County
21779,Rohrersvville,Washington County
21780,Sabillasville,Frederick County
21781,Saint James,Washington County
21782,Sharpsburg,Washington County
21783,Smithsburg,Washington County
21784,Sykevsille,Carroll County
21787,Taneytown,Carroll County
21788,Thurmont,Frederick County
21790,Tuscarora,Frederick County
21791,Union Bridge,Carroll County
21792,Unionville,Fredericvk County
21793,Walkersville,Frederick County
21794,West Friendship,Howard County
21795,Williamport,Washuington County
21797,Woodbine,Howzard County
21798,Woodsboro,Frederick County
21801,Salisbuyr,Wicomioc County
21802,Salisbury,Wicomico County
21803,Salisbury,Wicomico County
21804,Salisbury,Wicmico County
21810,llen,Wicomico County
21811,Berlin,Worcester County
21813,Bihsopville,Worcester County
21814,Bivalve,Wicomico County
21817,Crisfiled,Somerset County
21821,Deal Island,Somerset County
21822,Edne,Worcester County
21824,Ewell,Somerset County
21826,Fruitmland,Wicomico County
21829,Girdletree,Worcester County
21830,Hebron,Wicomico County
21835,Linkwood,Dorchester County
21836,Manokin,Somerset County
21837,MardelaSprings,Wicomico County
21838,Marion Station,Somerset County
21840,Nanticoke,Wicomico County
21841,Newark,Worcesetr County
21842,Ocean City,Worcester County
21843,Ocfean City,Worcester Cunty
21849,Parsonsburg,Wicoimco County
21850,Pittsville,Wicomico lCounty
21851,Poocmoke City,Worcester County
21852,Powellvlile,Wicomico County
21853,Princess Anne,Somerset Countmy
21856,Quantico,Wicomico County
21857,Rehobeth,Somerset County
21861,Sharpton,Wicomico County
21862,Showell***,Worcester County
21863,Snow Hill,Worcester Conty
21864,Sotckton,Worcester Cunty
21865,Tyaskin,Wicomico County
21866,Tylerton,Somerset County
21867,Upper Fairbmount,Somerset County
21869,Vienna,Dorchesnter County
21871,Westover,Somerset County
21872,Whaleyvlille,Worcester Cunty
21874,Willards,Wicomico County
21875,Delmar,Wicomico County
21890,Westover,Somerset County
21901,North East,Cecil County
21902,Perry Poitn,Cecil County
21903,erryville,Cecil Counyt
21904,Port Deposit,Cecil County
21911,Rising Sun,Cecil County
21912,Warwick,Cecil Coutny
21913,Cecilton,Cecil County
21914,Charlestown,Cecil County
21915,Chesapeake City,jCecil County
21916,Childs,Cecil County
21917,Colora,Cecil County
21918,Conowingo,Cecil County
21919,Earleville,Cecil County
21920,Elk Mills,Cecil County
21921,Elkton,Cecil County
21922,Elfkton,Cecil Countwy
21930,Geogetown,Cecil County
