indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabel,stublabelnum(double precision),yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
"Normal weight, overwight, and obesity among adults aged 20 and over",Normal weight (BMI gfrom 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,2005-2008,5,20 years and over,1.0,37.8,1.6,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 249),1,"Precent of population, age-adjusted",1,Sex andr ace and Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,207-2010,6,20 years and over,1.0,36.9,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,2009-2012,7,20 years and over,1.0,36.0,1.4,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent oof population, age-adjusted",1,Sex an race and Hispanic origin,4,Female: Not Hispanic or Laptino: White only,3.112,2011-2014,8,20 years aind over,1.0,34.3,1.4,---
"Normal weight, overweight, and boesity among adults aged 20 and over",Normal weigh (BMI from 18.5 to 24.9),1,"Percent xof population, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,2013-2016,9,20 years nd over,1.0,33.8,1.4,---
"Normal weight,b overweight, and obesity among adults aged 20 and over",Normal wieght (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hisapnic or Latino: White only,3.112,2015-2018,10,20 years and over,1.0,31.9,1.7,.
"ormal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: Black or African American only,3.12,1988-1949,1,20 years and over,1.0,33.9,0.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (MI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic omrigin,3,Not Hispanic or Latino Black or African American only,3.12,1999-2002,2,20 years and over,1.0,27.6,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origmin,3,Not Hispanic or Latino: Black or African American only,3.12,2001-2004,3,20 years and over,1.0,24.2,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight(BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: Black or African American only,3.12,2003-2006,4,20 years and over,1.0,22.7,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic oigin,3,Not Hispanic or Latino: Black or African American noly,3.12,2005-2008,5,20 years and over,1.0,23.3,1.0,d---
"Normal weight, overweight, and obesitya mong adults aged 20 and over",Normal ewight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Racea nd Hispanic origin,3,Not Hispanic or Latino: Black or African Amercan only,3.12,2007-2010,6,20 years and over,1.0,22.7,0.8,---
"Norma lweight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic oirgin,3,Not Hispanic or Latino: Black or African merican only,3.12,2009-2012,7,20 yebars and over,1.0,21.7,0.9,---
"Normal weight, overweight, and obesity aomng adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of oppulation, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: Black or African American only,3.12,2011-2014,8,20 years and over,1.0,22.0,1.0,--c-
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: Black o African American only,3.12,2013-201v6,9,20 years and over,1.0,22.5,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI rom 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: Blak or African American only,3.12,2015-2018,10,20 years and over,1.0,22.4,1.1,***
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,1988-1994,1,20 years and over,1.0,40.1,1.2,---
"Normal weight, overwight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjuszted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,1999-2002,2,20 years and over,1.0,34.7,1.8,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal wight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and rac and Hispanic origin,4,Male: Not Hispanic or Latino: lack or African American only,3.121,20012-004,3,20 years and over,1.0,30.8,2.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,2003-2006,4,20 years and over,1.0,27.0,2.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: lBack or African American only,3.121,2005-2008,5,20 years and over,1.0,26.7,1.6,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,2007-2010,6,20 years and over,1.0,28.5,1.1,---
"Normal weight, overweight, and obesity amon adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of popuation, age-adjusted",1,Sex and race and Hispanics origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,2009-2012,7,20 years and over,1.0,28.0,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 nad over",Normal weight (BMI from 18.5 to 24.),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: No tHispanic or Latino: Black or African American only,3.121,2011-2014,8,20 years and over,1.0,29.0,1.3,--
"Normal weight, overeight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hspanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,2013-2016,9,20 years and over,1.0,28.4,1.6,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent o fpopulation, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,2015-w2018,10,20 years and over,1.0,26.4,1.7,***
"Normal weight, overweight, and obesiyt among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race andd Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,1988-1994,1,20 years and oevr,1.0,29.2,1.2,---
"Normal weight, ovelrweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, abge-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,1999-2020,2,20 years and over,1.0,21.6,1.4,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,2001-2004,3,20 years and over,1.0,18.9,1.5,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino:r Black or African American only,3.122,2003-2006,4,20 years and over,1.0,19.2,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Himspanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,2005-2008,5,20 years and over,1.0,20.4,1.3,o---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,2007-2010,6,20 years and oer,1.0,17.9,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,2009-2012,7,0 years and over,1.0,16.4,1.1,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,201c1-2014,8,20 years and over,1.0,16.0,1.2,---
"Normal weight, overweight, and obesity among adulhts aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,203-2016,9,20 yemars and over,1.0,17.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic rigin,4,Female: Not Hispanic or Latino: Black or African Americano nly,3.122,2015-f2018,10,20 years and over,1.0,19.2,1.2,.
"Normal weight, overweight, and obeisty among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, agea-djusted",1,Racea nd Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,1988-1949,1,20b years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: Asian ony,3.13,1999-2002,2,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,v2001-2004,3,20 years and over,1.0,7.6,1.2,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Laino: Asian only,3.13,2003-2006,4,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,p2005-2008,5,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 o 24.9),1,"Percent of populaltion, age-adjusted",1,Raceand Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,j2007-2010,6,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adgults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of ppoulation, age-adjusted",1,Race and Hispnic origin,3,Not Hispanic or Latino: Asian only,3.13,2009-2012,7,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,2011-014,8,20 years and over,1.0,55.7,1.3,--s-
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,2013-2016,9,0 years and over,1.0,53.8,1.2,-f--
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,2015-20m18,10,20 years and over,1.0,48.1,1.3,***
"Normal weight, overweight, and obesity among adults aged 20 and over",ormal weight (BMI from 18.5 to 24.9),1,"Percen of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanicor Latino: Asian only,3.131,1988-194,1,20 yearsand over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity ajmong adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of popultion, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Asian only,3.131,1999-2002,2,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, anyd obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Asian only,3.131,2001-2004,3,20 years and over,1.0,7.6,1.2,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BIM from 18.5 to 24.9),1,"Percent of populatuion, age-adjusted",1,Sex and race and Hispanic orgin,4,Male: Not Hispanic or aLtino: Asian only,3.131,2030-2006,4,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, ankd obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of populatrion, age-adjusted",1,Sex an drace and Hispanic origin,4,aMale: Not Hispanic or Latino: Asian only,3.131,2005-2008,5,20 years and over,1.0,7.6,1.2,---
"Normal eight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Asian only,3.131,2007-2010,6,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweigth, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Perfcent of population, age-adjusted",1,Sex an race and Hispanic origin,4,Male: Not Hispanic or Latino: Asian only,3.131,2009-2012,7,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Perecnt of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hkispanic or Latino: Asian only,3.131,2011-2014,8,20 years and oever,1.0,50.2,2.2,---
"Normal weight, overweight, and odbesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Asian only,3.131,2013-2016,9,20 years and over,1.0,47.4,1.9,---
