OBJECTID,County,FDID,MACSID,Name,Address,City,Zip,FireChief,Phone,Notes,LastUpdated,Website,CALFIREUnit,SHAPE_Length,SHAPE_Area
70,HUMBOLDT,12067,KFD,KNEELAND FPD,6201 GREENWOOD HGHTS. DR,KNEELAND,95549,WESLEY ROW,(707) 442‐3252,,2018/06/21 00:00:00+00,http://www.kneelandfire.org/,HUU,56972.2945395233,101066497.007475
71,HUMBOLDT,12095,RDW,REDWAY FPD,PO BOX 695,REDWAY,95560,BRIAN ANDERSON,(707) 923‐2448,,2018/06/21 00:00:00+00,,HUU,33324.7133912139,28385008.3858714
72,HUMBOLDT,12110,SAM,SAMOA PENINSULA VFD5,PO BOX 234,SAMOA,95564,DALE UNEA,(707) 443‐9042,,2018/06/21 00:00:00+00,https://www.samoafire.org/,HUU,18030.8031679554,7129377.09817251
73,HUMBOLDT,12155,FLV,FRUITLAND VFC,PO BOX 87,MYERS FLAT,95554,MICHAEL LAKE,(707) 943‐3402,,2018/06/21 00:00:00+00,,HUU,39907.6706238505,51313605.3632266
74,HUMBOLDT,12184,TEL,TELEGRAPH RIDGE FPD,PO BOX 1803,REDWAY,,PETER LASKY,(707) 986‐0066,,2018/06/21 00:00:00+00,https://www.telegraphridgefire.com/,HUU,84304.2076349805,101685084.551994
75,HUMBOLDT,12195,BRD,BRIDGEVILLE VFD,PO BOX 4,BRIDGEVILLE,95526,RANDALL KATZDORN,(707) 777‐3244,,2018/06/21 00:00:00+00,,HUU,130619.73239937,508858788.352652
76,HUMBOLDT,12991,,PALO VERDE VFD,P.O. BOX 1381,REDWAY,95560,CHRISTOPH FISHER,(707) 845‐3282,,2018/06/21 00:00:00+00,,HUU,44186.3056469648,113936492.97643
77,IMPERIAL,13005,BRW,BRAWLEY FD,1505 JONES ST,BRAWLEY,92227,MICHAEL YORK,(760) 351‐9110,,2018/06/21 00:00:00+00,http://www.brawley-ca.gov/section/Fire-Department,SDU,175172.184510977,976049400.362141
78,IMPERIAL,13010,CLX,CALEXICO FD,415 FOURTH STREET,CALEXICO,92231,DIEGO FAVILA,(760) 768‐2150,,2018/06/21 00:00:00+00,https://www.calexico.ca.gov/index.asp?SEC=AD50BA87-05CF-4B57-9A0E-9688E3616E13&Type=B_BASIC,SDU,25093.0224429638,17774240.7981099
79,IMPERIAL,13015,CPT,CALIPATRIA FD,125 N PARK,CALIPATRIA,92233,JESSE R. LLANAS,(760) 348‐4144,,2018/06/21 00:00:00+00,,SDU,103584.106168788,451315940.967888
80,IMPERIAL,13020,ECN,EL CENTRO FD,1910 N WATERMAN AVE,EL CENTRO,92243,JOSEPH BERNAL,(760) 337‐4530,,2018/06/21 00:00:00+00,http://www.cityofelcentro.org/fire/,SDU,29027.9266264097,26423917.7721505
81,IMPERIAL,13025,IMP,IMPERIAL COUNTY FD,1078 DOGWOOD ROAD,IMPERIAL,92249,ALFREDO ESTRADA JR,(442) 265‐6000,,2018/06/21 00:00:00+00,https://firedept.imperialcounty.org/,SDU,272937.103483833,807182806.552993
82,IMPERIAL,13030,HLT,HOLTVILLE FD,549 FERN AVE,HOLTVILLE,92250,ALEX SILVA,(760) 356‐2673,,2018/06/21 00:00:00+00,http://www.holtville.ca.gov/section.php?id=48,SDU,118357.257045026,742007670.83028
83,IMPERIAL,13060,WML,WESTMORLAND FD,PO BOX 697,WESTMORLAND,92281,SERGIO CRUZ,(760) 344‐3411,,2018/06/21 00:00:00+00,http://www.westmorelandfire.com/,SDU,95459.8363280352,379696281.810069
88,KERN,15005,BKF,BAKERSFIELD FD,"900 TRUXTUN AVENUE, STE 210",BAKERSFIELD,93301,JOHN FRANDO,(661) 326‐3698,,2018/06/21 00:00:00+00,https://www.bakersfieldcity.us/233/Fire,KRN,149021.855356075,246133697.214588
89,KERN,15010,KRN,KERN CO FD,5642 VICTOR ST,BAKERSFIELD,93308,AARON DUNCAN,(661) 391‐7000,,2018/06/21 00:00:00+00,https://kerncountyfire.org/,KRN,998841.649563003,19210829852.4511
90,KERN,15065,CAC,CALIFORNIA CITY FD,20890 HACIENDA BLVD,CALIFORNIA CITY,93505,JEREMY KOSICK,(760) 373‐4841,,2018/06/21 00:00:00+00,https://www.calcityfire.us/,KRN,178379.118979987,525896593.494284
91,KINGS,16015,KCF,KINGS COUNTY FD,280 CAMPUS DR,HANFORD,93230,WILLIAM LYNCH,(559) 852‐2881,,2018/06/21 00:00:00+00,https://www.countyofkings.com/departments/fire-department,FKU,505894.121830413,3400845997.57225
92,LAKE,17020,KLS,KELSEYVILLE FPD,PO BOX 306,KELSEYVILLE,95451,JOEY HUGGINS,(707) 279‐4268,,2018/06/21 00:00:00+00,https://kelseyvillefire.com/,LNU,90200.7522764295,253817467.692942
93,LAKE,17055,NSD,NORTHSHORE FPD,PO BOX 1199,LUCERNE,95458,MIKE CIANCIO,(707) 274‐3100,,2018/06/21 00:00:00+00,https://www.northshorefpd.com/,LNU,254997.63768823,923922846.50926
94,LAKE,17555,LNU,CDF‐LAKE COUNTY,1199 BIG TREE RD,ST HELENA,94574,MIKE MARCUCCI,(707) 963‐3601,,2018/06/21 00:00:00+00,https://www.lakecountyfire.com/,LNU,134628.30479746,352417793.992586
95,LASSEN,18010,BGV,BIG VALLEY FPD,PO BOX 81,BIEBER,96009,ROBERT GERIG,(530) 294‐5720,,2021/11/21 00:00:00+00,,LMU,72051.975239462,256475146.734433
96,LASSEN,18015,DOY,DOYLE FPD,PO BOX 189,DOYLE,96109,JAMES DAY,(530) 827‐2681,,2021/11/21 00:00:00+00,,LMU,82729.4441644165,145246429.169329
97,LASSEN,18017,HRL,HERLONG VFD,PO BOX 115,HERLONG,96113,GROVER WHITE,(530) 827‐3150,,2021/11/21 00:00:00+00,,LMU,21643.312511821,14642798.6033855
98,LASSEN,18020,JNV,JANESVILLE FPD,PO BOX 40,JANESVILLE,96114,JOEL EHRLICH,(530) 253‐3737,,2021/11/21 00:00:00+00,https://www.janesvillefireca.org/,LMU,71466.0050014449,137397528.537035
99,LASSEN,18021,LVV,LITTLE VALLEY CSD,653‐305 SEYMOUR LN,LITTLE VALLEY,96056,BOB GORDON,(530) 336‐6266,,2021/11/21 00:00:00+00,,LMU,4104.44529525025,1006320.35500071
100,LASSEN,18025,MAD,MADELINE FPD,PO BOX 99,MADELINE,96119,PHIL RIDGWAY,(530) 234‐1011,,2021/11/21 00:00:00+00,,LMU,129210.606197132,924544959.154641
101,LASSEN,18030,STL,STANDISH LITCHFIELD FPD,PO BOX 120,STANDISH,96128,SHAUN J. WHITE,(530) 254‐6601,,2021/11/21 00:00:00+00,,LMU,82310.1524311815,197341041.843465
102,LASSEN,18035,SUS,SUSANVILLE FD,1505 MAIN ST,SUSANVILLE,96130,JAMES M. MOORE,(530) 257‐5152,,2021/11/21 00:00:00+00,,LMU,31406.2530397327,16982282.4318046
103,LASSEN,18040,SSN,SUSAN RIVER FPD,472 355 RICHMOND RD NORTH,SUSANVILLE,96130,GLENN HODGSON,(530) 257‐7477,,2021/11/21 00:00:00+00,,LMU,119206.536326871,139632502.527514
104,LASSEN,18045,CLC,CLEAR CREEK VFD,P.O. BOX 833,WESTWOOD,96137,JOHN GARRITY,(530) 256‐2240,,2021/11/21 00:00:00+00,https://clearcreekcsd.specialdistrict.org/fire-protection,LMU,5283.33782351899,1350133.50018898
105,LASSEN,18050,WWO,WESTWOOD FD,PO BOX 936,WESTWOOD,96137,ROBERT SATTERFIELD,(530) 256‐3589,,2021/11/21 00:00:00+00,,LMU,6312.84260088605,1430452.68701484
106,LASSEN,18065,EGL,SPALDING VFD,502‐907 MAHOGANY WY,SUSANVILLE,96130,CLIFF SPEDIACCI,(530) 825‐3258,,2018/06/21 00:00:00+00,,LMU,11394.4709934127,3857388.82867873
107,LASSEN,18068,SBG,STONES BENGARD CSD,509 695 STONE RD,SUSANVILLE,96130,CLIFF SPEDIACCI,(530) 825‐3350,,2018/06/21 00:00:00+00,https://www.stonesbengardcsd.org/,LMU,15628.7640891278,4049870.48333001
108,LASSEN,18070,LFV,LAKE FOREST FPD,P.O. BOX 2148,SUSANVILLE,96130,JOHN LOILER,(530) 251‐2523,,2021/11/21 00:00:00+00,,LMU,3904.65532435265,609137.163294485
109,LASSEN,18075,,MILFORD FIRE DISTRICT,P. O. BOX 265,MILFORD,96121,RYAN ERWIN,(530) 575‐4388,,2021/11/21 00:00:00+00,,LMU,60505.5491970899,96162817.8416678
110,LASSEN,18410,CCO,CALIFORNIA CORRECTIONAL CENTER,PO BOX 790,SUSANVILLE,96127,CHRIS HALLMARK,(530) 257‐2181,,2021/11/21 00:00:00+00,,LMU,9679.96892920049,4380356.67123779
111,LOS ANGELES,19005,ALH,ALHAMBRA FD,301 N FIRST ST,ALHAMBRA,91801,THOMAS M. PHELPS,(626) 570‐5194,,2018/06/21 00:00:00+00,https://www.cityofalhambra.org/182/Fire-Department,LAC,21042.0219383671,19764228.8546303
112,LOS ANGELES,19010,ARC,ARCADIA FD,710 S SANTA ANITA AVE,ARCADIA,91006,BARRY R. SPRIGGS,(626) 574‐5100,,2018/06/21 00:00:00+00,https://www.arcadiaca.gov/protect/fire_department/index.php,LAC,40407.8275705986,28773505.3358147
113,LOS ANGELES,19025,BHL,BEVERLY HILLS FD,445 NORTH REXFORD DR,BEVERLY HILLS,92677,GREGORY BARTON,(310) 281‐2700,,2018/06/21 00:00:00+00,http://www.beverlyhills.org/departments/firedepartment/web.jsp,LAC,26481.8353552795,14794658.0178183
114,LOS ANGELES,19030,BRK,BURBANK FD,311 E ORANGE GROVE AVE,BURBANK,91502,ERIC GARCIA,(818) 238‐3473,,2018/06/21 00:00:00+00,https://www.burbankfire.us/,LAC,31166.749324808,44851014.7548754
115,LOS ANGELES,19040,CMP,COMPTON FD,201 S ACACIA,COMPTON,90220,RONERICK D. SIMPSON,(310) 605‐5670,,2018/06/21 00:00:00+00,https://www.google.com/search?q=COMPTON+FD&rlz=1C1GCEA_enUS986US986&sxsrf=APq-WBugfnXs9LMBtdIAL513DTRn7BRsUg%3A1644270442769&ei=apMBYpGeLpm-kPIP3r0x&ved=0ahUKEwiR-57dyO71AhUZH0QIHd5eDAAQ4dUDCA4&oq=COMPTON+FD&gs_lcp=Cgdnd3Mtd2l6EAwyBAgAEAoyCgguEMcBEK8BEAoy,LAC,54271.0820876321,26155236.5931357
116,LOS ANGELES,19050,CUL,CULVER CITY FD,9770 CULVER BLVD,CULVER CITY,90232,KENNETH POWELL,(310) 253‐5900,,2018/06/21 00:00:00+00,https://www.culvercityfd.org/Home,LAC,35614.8170725043,13298743.6012671
117,LOS ANGELES,19055,DNY,DOWNEY FD,PO BOX 7016,DOWNEY,90241,DAN HURLOCK,(562) 904‐7344,,2018/06/21 00:00:00+00,https://www.downeyca.org/our-city/departments/fire,LAC,27453.6101351485,32557305.2417306
118,LOS ANGELES,19065,ELS,EL SEGUNDO FD,314 MAIN ST,EL SEGUNDO,90245,DEENA LEE,(310) 524‐2219,,2018/06/21 00:00:00+00,https://www.elsegundofd.org/,LAC,17547.7485703634,14151830.7299243
119,LOS ANGELES,19075,GLN,GLENDALE FD,421 OAK ST,GLENDALE,91204,SILVIO LANZAS,(818) 548‐4814,,2018/06/21 00:00:00+00,https://www.glendaleca.gov/government/departments/fire-department,LAC,58032.4782455201,79354247.6638027
121,LOS ANGELES,19095,LVN,LA VERNE FD,2061 THIRD ST,LA VERNE,91750,CHRIS NIGG,(909) 596‐5991,,2018/06/21 00:00:00+00,https://www.lavernefire.org/,LAC,35135.7476329672,22063608.0637496
122,LOS ANGELES,19100,LOB,CITY OF LONG BEACH FD,3205 LAKEWOOD BLVD,LONG BEACH,90808,XAVIER ESPINO,(562) 570‐2500,,2018/06/21 00:00:00+00,https://www.longbeach.gov/fire/,LAC,176691.402181129,133914256.779699
123,LOS ANGELES,19105,LFD,LOS ANGELES CITY FD,"200 N MAIN ST, RM 1800",LOS ANGELES,90012,KRISTIN M CROWLEY,(213) 978‐3800,,2018/06/21 00:00:00+00,https://www.lafd.org/,LAC,539368.000934856,1226521099.35351
124,LOS ANGELES,19110,LAC,LOS ANGELES CO FD,1320 N EASTERN AVE,LOS ANGELES,90063,ANTHONY C. MARRONE,(323) 267‐7205,,2018/06/21 00:00:00+00,https://fire.lacounty.gov/,LAC,1500021.34845341,8547865155.27545
125,LOS ANGELES,19120,MHB,MANHATTAN BEACH FD,400 15TH ST,MANHATTAN BEACH,90266,MIKE LANG,(310) 802‐5203,,2018/06/21 00:00:00+00,https://www.manhattanbeach.gov/departments/fire-department,LAC,14618.085845473,10219384.3974173
126,LOS ANGELES,19125,MRV,MONROVIA FRE & RESCUE,141 E LEMON,MONROVIA,91016,JEREMY SANCHEZ,(626) 256‐8181,,2018/06/21 00:00:00+00,https://www.cityofmonrovia.org/your-government/fire-department,LAC,43985.418359518,35617092.8604924
127,LOS ANGELES,19130,MTB,MONTEBELLO FD,1600 W BEVERLY BLVD,MONTEBELLO,90640,FERNANDO PELAEZ,(323) 680‐1042,,2018/06/21 00:00:00+00,https://www.cityofmontebello.com/fire-administration.html,LAC,30259.1496109197,21673235.346919
128,LOS ANGELES,19135,MPK,MONTEREY PARK FD,320 W NEWMARK AVE,MONTEREY PARK,91754,MATTHEW HALLOCK,(626) 307‐1262,,2018/06/21 00:00:00+00,http://www.montereypark.ca.gov/130/Fire-Department,LAC,24296.1008523946,20039939.080977
129,LOS ANGELES,19145,PAS,PASADENA FD,"215 NORTH MORENGO AVE, STE 195",PASADENA,91101,CHAD AUGUSTIN,(626) 744‐4675,,2018/06/21 00:00:00+00,https://www.cityofpasadena.net/fire/,LAC,85994.2904942319,59860858.2438885
130,LOS ANGELES,19155,RDB,REDONDO BEACH FD,401 S BROADWAY,REDONDO BEACH,90277,ROBERT METZGER,(310) 318‐0663,,2018/06/21 00:00:00+00,https://www.redondo.org/depts/fire/default.asp,LAC,33304.6387086657,16212292.0519011
131,LOS ANGELES,19165,SGB,SAN GABRIEL FD,1303 S. DEL MAR,SAN GABRIEL,91776,STEVE WALLACE,(626) 308‐2880,,2018/06/21 00:00:00+00,https://sangabrielcity.com/94/Fire,LAC,29428.0007626038,10704870.9473109
132,LOS ANGELES,19175,SFS,SANTA FE SPRINGS FD,11300 GREENSTONE AVE,SANTA FE SPRINGS,90670,BRENT HAYWARD,(562) 944‐9713,,2018/06/21 00:00:00+00,https://www.santafesprings.org/cityhall/fire_rescue/default.asp,LAC,47909.8324982566,22982313.6473814
133,LOS ANGELES,19180,SMA,SANTA MONICA FD,333 OLYMPIC DRIVE,SANTA MONICA,90401,DANNY ALVAREZ,(310) 458‐8501,,2018/06/21 00:00:00+00,https://www.santamonica.gov/departments/fire,LAC,19985.8448888328,21607041.4375372
134,LOS ANGELES,19185,SMD,SIERRA MADRE FD,242 W SIERRA MADRE BLVD,SIERRA MADRE,91024,BRENT BARTLETT,(626) 355‐3611,,2018/06/21 00:00:00+00,https://www.cityofsierramadre.com/cityhall/departments/fire_department,LAC,12233.0816386837,7662958.40984879
135,LOS ANGELES,19195,SPS,SOUTH PASADENA FD,817 MOUND AVE,SOUTH PASADENA,91030,PAUL RIDDLE,(626) 403‐7300,,2018/06/21 00:00:00+00,https://www.southpasadenaca.gov/government/departments/fire,LAC,13156.6608497259,8845761.73531291
136,LOS ANGELES,19200,TOR,TORRANCE FD,1701 CRENSHAW BLVD,TORRANCE,90501,MARTIN SERNA,(310) 781‐7000,,2018/06/21 00:00:00+00,https://www.torranceca.gov/our-city/fire,LAC,40679.2009609552,53242935.1558075
137,LOS ANGELES,19205,VER,VERNON FD,4305 SANTA FE AVE,VERNON,90058,JIM ENRIQUEZ,(323) 583‐8811,,2018/06/21 00:00:00+00,,LAC,25881.9620065485,13353296.0148332
138,MADERA,20005,CHW,CHOWCHILLA VFD,240 N FIRST STREET,CHOWCHILLA,93610,FRED GAUMNITZ,(559) 665‐8626,,2018/06/21 00:00:00+00,https://www.cityofchowchilla.org/168/Fire-Department,MMU,35711.2270470961,21087280.7349705
139,MADERA,20010,MDA,MADERA FD,5366 HWY 49 NORTH,MARIPOSA,95338,MIKE VAN LOBEN SELS,(209) 966‐3622,,2018/06/21 00:00:00+00,https://www.madera.gov/home/departments/fire/,MMU,51550.8410708563,40898015.4944784
140,MADERA,20015,MDC,MADERA CO FD,5366 HWY 49 NORTH,MARIPOSA,95338,MIKE VAN LOBEN SELS,(209) 966‐3622,,2018/06/21 00:00:00+00,https://www.maderacounty.com/government/fire-department,MMU,567707.053519596,5512863047.73234
141,MARIN,21010,BOL,BOLINAS FPD,PO BOX 163,BOLINAS,94924,GEORGE KRAKAUER,(415) 868‐1566,,2018/06/21 00:00:00+00,https://www.bolinasfire.org/,MRN,26123.4811863079,24293536.822166
142,MARIN,21025,INV,INVERNESS VFD,PO BOX 469,INVERNESS,94937,JIM FOX,(415) 669‐7151,,2018/06/21 00:00:00+00,,MRN,11765.0674274726,5708092.91899203
143,MARIN,21030,KNT,KENTFIELD FPD,1004 SIR FRANCIS DRAKE BLVD,KENTFIELD,94904,MARK POMI,(415) 453‐7464,,2018/06/21 00:00:00+00,https://www.kentfieldfire.org/,MRN,20860.6692098622,7045244.4751946
144,MARIN,21040,MLV,MILL VALLEY FD,1 HAMILTON DRIVE,MILL VALLEY,94941,CHRISTIAN D. TUBBS,(415) 389‐4130,,2018/06/21 00:00:00+00,,MRN,25689.3343045009,12606927.2334724
