HOME TEAM: TCU,Time,Score,Margin,VISITORS: Texas Tech
,13:58,,,"REBOUND (OFF) by Schneider, Haley"
,13:52,44-43,H 1,"GOOD! LAYUP by Schneider, Haley [PNT]"
,13:40,,,"FOUL by Battle, Amber (P2T3)"
"SUB IN : Medley, Zahna",13:40,,,
"SUB OUT: Bradshaw, Klara",13:40,,,
"SUB OUT: Ventress, Natalie",13:40,,,
"SUB OUT: Breaux, Donielle",13:40,,,
"SUB OUT: Prince, Chelsea",13:40,,,
"GOOD! LAYUP by Prince, Chelsea [PNT]",13:38,46-43,H 3,
"ASSIST by Breaux, Donielle",13:38,,,
,13:04,46-46,T 11,"GOOD! 3 PTR by CookTaylor, Ivonne"
"MISSED LAYUP by Bradshaw, Klara",12:48,,,
"REBOUND (OFF) by Medley, Zahna",12:48,,,
"GOOD! 3 PTR by Breaux, Donielle",12:43,49-46,H 3,
"ASSIST by Hamilton, Veja",12:43,,,
,12:12,49-48,H 1,"GOOD! JUMPER by CookTaylor, Ivonne"
"MISSED LAYUP by Hamilton, Veja",11:40,,,
"REBOUND (OFF) by Bradshaw, Klara",11:40,,,
"GOOD! LAYUP by Bradshaw, Klara [PNT]",11:36,51-48,H 3,
,11:30,,,TIMEOUT MEDIA
"SUB IN : Lovings, Latricia",11:30,,,"SUB IN : Nobles, Shauntal"
"SUB IN : Ventress, Natalie",11:30,,,"SUB OUT: Schneider, Haley"
"SUB OUT: Hamilton, Veja",11:30,,,
"REBOUND (DEF) by Ventress, Natalie",11:13,,,"MISSED LAYUP by Lizarazu, Marina"
"GOOD! LAYUP by Lovings, Latricia [PNT]",10:45,53-48,H 5,
"ASSIST by Medley, Zahna",10:45,,,
,10:36,,,TIMEOUT MEDIA
,10:36,,,"SUB IN : Caston, Jasmine"
,10:36,,,"SUB OUT: Lizarazu, Marina"
"REBOUND (DEF) by Breaux, Donielle",10:25,,,"MISSED 3 PTR by Caston, Jasmine"
"MISSED JUMPER by Ventress, Natalie",10:15,,,
"REBOUND (OFF) by Prince, Chelsea",10:15,,,
"GOOD! LAYUP by Lovings, Latricia [PNT]",10:11,55-48,H 7,
"ASSIST by Prince, Chelsea",10:11,,,
"REBOUND (DEF) by Prince, Chelsea",09:47,,,"MISSED 3 PTR by Spears, Minta"
"MISSED 3 PTR by Medley, Zahna",09:38,,,
"REBOUND (OFF) by Medley, Zahna",09:38,,,
"GOOD! JUMPER by Ventress, Natalie",09:33,57-48,H 9,
"ASSIST by Medley, Zahna",09:33,,,
,09:29,,,TIMEOUT 30sec
"SUB IN : Hamilton, Veja",09:29,,,
,09:00,,,"TURNOVR by CookTaylor, Ivonne"
"GOOD! 3 PTR by Medley, Zahna",08:50,60-48,H 12,
"REBOUND (DEF) by Hamilton, Veja",08:31,,,"MISSED LAYUP by Nobles, Shauntal"
"MISSED FT SHOT by Hamilton, Veja",08:04,,,"FOUL by Spears, Minta (P3T4)"
REBOUND (OFF) by (DEADBALL),08:04,,,
"GOOD! FT SHOT by Hamilton, Veja",08:04,61-48,H 13,
,08:04,,,"SUB IN : Lizarazu, Marina"
,08:04,,,"SUB IN : Schneider, Haley"
,08:04,,,"SUB OUT: Spears, Minta"
,08:04,,,"SUB OUT: CookTaylor, Ivonne"
,07:47,,,"TURNOVR by Battle, Amber"
TIMEOUT MEDIA,07:47,,,
"SUB IN : Prince, Chelsea",07:47,,,
"MISSED 3 PTR by Prince, Chelsea",07:27,,,
"REBOUND (OFF) by Prince, Chelsea",07:27,,,
"GOOD! FT SHOT by Prince, Chelsea",07:22,62-48,H 14,"FOUL by Caston, Jasmine (P2T5)"
"GOOD! FT SHOT by Prince, Chelsea",07:22,63-48,H 15,
,07:22,,,"SUB IN : Spears, Minta"
,07:22,,,"SUB IN : CookTaylor, Ivonne"
,07:22,,,"SUB OUT: Lizarazu, Marina"
,07:22,,,"SUB OUT: Schneider, Haley"
,07:01,,,"MISSED 3 PTR by Caston, Jasmine"
"REBOUND (DEF) by Lovings, Latricia",06:52,,,
"TURNOVR by Medley, Zahna",06:38,,,
"FOUL by Medley, Zahna (P1T4)",06:16,,,
,05:57,63-50,H 13,"GOOD! LAYUP by Battle, Amber [PNT]"
,05:57,,,"ASSIST by Nobles, Shauntal"
"GOOD! LAYUP by Medley, Zahna [PNT]",05:39,65-50,H 15,
"FOUL by Lovings, Latricia (P4T5)",05:23,,,"MISSED FT SHOT by Battle, Amber"
,05:23,,,REBOUND (OFF) by (DEADBALL)
"REBOUND (DEF) by Hamilton, Veja",05:23,,,"MISSED FT SHOT by Battle, Amber"
"SUB IN : Bradshaw, Klara",05:23,,,
"SUB OUT: Lovings, Latricia",05:23,,,
TURNOVR by (TEAM),05:21,,,
"REBOUND (DEF) by Medley, Zahna",04:54,,,"MISSED LAYUP by Caston, Jasmine"
,04:48,,,"FOUL by CookTaylor, Ivonne (P2T6)"
"GOOD! FT SHOT by Ventress, Natalie",04:39,66-50,H 16,"FOUL by Caston, Jasmine (P3T7)"
"GOOD! FT SHOT by Ventress, Natalie",04:39,67-50,H 17,
"SUB IN : Breaux, Donielle",04:39,,,
"SUB OUT: Ventress, Natalie",04:39,,,
,04:31,,,"MISSED LAYUP by Battle, Amber"
,04:31,,,REBOUND (OFF) by (TEAM)
,04:26,,,"SUB IN : Schneider, Haley"
,04:26,,,"SUB OUT: Nobles, Shauntal"
"FOUL by Bradshaw, Klara (P1T6)",04:16,,,"MISSED FT SHOT by Schneider, Haley"
,04:16,,,REBOUND (OFF) by (DEADBALL)
,04:16,67-51,H 16,"GOOD! FT SHOT by Schneider, Haley"
,04:16,,,"SUB IN : Nobles, Shauntal"
,04:16,,,"SUB OUT: Schneider, Haley"
TIMEOUT 30sec,04:04,,,
"MISSED 3 PTR by Medley, Zahna",03:47,,,"BLOCK by Battle, Amber"
,03:46,,,REBOUND (DEF) by (TEAM)
,03:36,67-53,H 14,"GOOD! JUMPER by CookTaylor, Ivonne"
,03:36,,,"ASSIST by Spears, Minta"
TIMEOUT 30sec,03:10,,,
"TURNOVR by Prince, Chelsea",03:02,,,
,03:01,,,"STEAL by CookTaylor, Ivonne"
"SUB IN : Ventress, Natalie",02:48,,,
"SUB IN : Lovings, Latricia",02:48,,,
"SUB OUT: Bradshaw, Klara",02:48,,,
"SUB OUT: Breaux, Donielle",02:48,,,
,02:43,67-55,H 12,"GOOD! JUMPER by Battle, Amber"
,02:43,,,"ASSIST by Caston, Jasmine"
"GOOD! LAYUP by Prince, Chelsea [PNT]",02:31,69-55,H 14,
"FOUL by Prince, Chelsea (P3T7)",02:22,,,"MISSED FT SHOT by Spears, Minta"
"REBOUND (DEF) by Lovings, Latricia",02:22,,,
"GOOD! LAYUP by Ventress, Natalie [PNT]",02:06,71-55,H 16,
,01:49,,,"MISSED LAYUP by Battle, Amber"
,01:49,,,"REBOUND (OFF) by Nobles, Shauntal"
"FOUL by Ventress, Natalie (P3T8)",01:48,71-56,H 15,"GOOD! FT SHOT by Nobles, Shauntal"
,01:48,71-57,H 14,"GOOD! FT SHOT by Nobles, Shauntal"
"SUB IN : Breaux, Donielle",01:48,,,"SUB IN : Schneider, Haley"
"SUB OUT: Prince, Chelsea",01:48,,,"SUB OUT: Nobles, Shauntal"
"TURNOVR by Hamilton, Veja",01:14,,,
,01:13,,,"STEAL by Spears, Minta"
"REBOUND (DEF) by Hamilton, Veja",01:03,,,"MISSED LAYUP by Battle, Amber"
"GOOD! FT SHOT by Medley, Zahna",00:57,72-57,H 15,"FOUL by Caston, Jasmine (P4T8)"
"GOOD! FT SHOT by Medley, Zahna",00:57,73-57,H 16,
"SUB IN : Henson, Meagan",00:57,,,
"SUB OUT: Medley, Zahna",00:57,,,
,00:47,,,"TURNOVR by Battle, Amber"
"STEAL by Hamilton, Veja",00:46,,,
"TURNOVR by Henson, Meagan",00:42,,,
,00:41,,,"STEAL by Battle, Amber"
,00:40,73-59,H 14,"GOOD! LAYUP by Battle, Amber [FB/PNT]"
"GOOD! LAYUP by Lovings, Latricia [PNT]",00:30,75-59,H 16,
"ASSIST by Breaux, Donielle",00:30,,,
"FOUL by Breaux, Donielle (P3T9)",00:15,,,"MISSED FT SHOT by Schneider, Haley"
"REBOUND (DEF) by Bradshaw, Klara",00:15,,,
"SUB IN : Bradshaw, Klara",00:15,,,
"SUB OUT: Lovings, Latricia",00:15,,,
"MISSED LAYUP by Breaux, Donielle",00:01,,,"REBOUND (DEF) by Battle, Amber"
