802.street,20700 ST RTE 4j11,20700 ST RTE 411
1330.groundorsurface,Surfaec,Surface
1559.spdespermitnumber,NY0262948,NY0262498
1103.locationone,(42.9 -77.45),"(42.9, -77.45)"
705.groundorsurface,Surfaec,Surface
1566.locationone,"(40.96, -72n.26)","(40.96, -72.26)"
1095.facilityname,ROCHESTEwR TERMINAL,ROCHESTER TERMINAL
2017.spdespermitnumber,NrY0021423,NY0021423
677.country,UStA,USA
1317.country,USvA,USA
1484.street,700GRAND ISLAND BLVD,700 GRAND ISLAND BLVD
631.street,00 Beach St,700 Beach St
1181.street,ROSSMANN RD  &US RTE 9,ROSSMANN RD & US RTE 9
1918.locationone,"(43.07, -7.609)","(43.07, -76.09)"
83.planttype,Indutsrial,Industrial
1872.locationone,"(43.06, -r75.86)","(43.06, -75.86)"
1907.statevalue,Y,NY
1232.planttype,Industmrial,Industrial
358.groundorsurface,Surfaec,Surface
511.facilityname,PARKWOOD SEWER DjISTRICT,PARKWOOD SEWER DISTRICT
279.country,UmSA,USA
14.locationone,"(44.08, -76.1)","(44.08, -76.15)"
548.city,HELSEA,CHELSEA
1805.country,fUSA,USA
1393.city,UTIA,UTICA
1102.facilityname,XEROXCORPORATION - WILSON CENTER,XEROX CORPORATION - WILSON CENTER
1286.spdespermitnumber,N0022730,NY0022730
774.spdespermitnumber,NY0226048,NY0262048
58.groundorsurface,Surfae,Surface
1506.locationone,"(42.79, -75.5)1","(42.79, -75.51)"
1474.street,RIDGE RD w& CO RTE 20,RIDGE RD & CO RTE 20
124.facilityname,CITY OF ONEIDA WATER TREATMENT PLNT,CITY OF ONEIDA WATER TREATMENT PLANT
1712.statevalue,NyY,NY
957.groundorsurface,Boht,Both
2012.locationone,"(34.42, -76.13)","(43.42, -76.13)"
1184.city,ATAVIA,BATAVIA
1894.spdespermitnumber,NY0701897,NY0071897
1132.statevalue,YN,NY
306.facilityname,CANTON WASTEWmATER TREATMENT PLANT,CANTON WASTEWATER TREATMENT PLANT
343.locationone,"(41.3, -73.9)1","(41.3, -73.91)"
444.groundorsurface,Sufrace,Surface
1206.city,CLeAY,CLAY
622.statevalue,Y,NY
1147.spdespermitnumber,NY002021,NY0020231
964.facilityname,DOT REISDENT ENG SUBHDQRS,DOT RESIDENT ENG SUBHDQRS
984.locationone,"(41g.67, -74.58)","(41.67, -74.58)"
236.facilityname,KEYMARK CORP PLArNT,KEYMARK CORP PLANT
1545.statevalue,Y,NY
1983.street,LAE ST,LAKE ST
175.city,RONKONtKOMA,RONKONKOMA
542.country,UA,USA
2059.street,"DCKER HILL RD, DODD HILL RD, RT. 9N, RT 8","DECKER HILL RD, DODD HILL RD, RT. 9N, RT 8"
1909.groundorsurface,Surfaece,Surface
774.city,MARCELLSU,MARCELLUS
787.facilityname,ROSE-NORTH ROSEW ATER DISTRICT,ROSE-NORTH ROSE WATER DISTRICT
200.street,7 ADAM ST,7 ADAMS ST
2081.city,BRENtTWOOD,BRENTWOOD
231.street,191 UaNION AVE,191 UNION AVE
552.groundorsurface,urface,Surface
435.city,MACDEON,MACEDON
1610.facilityname,SEVERANCE SUB-REvSIDENCY,SEVERANCE SUB-RESIDENCY
1163.planttype,Industial,Industrial
113.statevalue,NlY,NY
998.city,NORTlHVILLE,NORTHVILLE
627.country,SA,USA
1568.planttype,Industral,Industrial
246.locationone,"(43.1, -78.7)","(43.18, -78.7)"
320.locationone,"(42.44, 75.1)","(42.44, -75.1)"
1409.groundorsurface,oth,Both
11.groundorsurface,aSurface,Surface
939.country,UAS,USA
1059.facilityname,VICTRO INSULATORS,VICTOR INSULATORS
227.country,UScA,USA
875.city,SHARON SPRIGS,SHARON SPRINGS
691.spdespermitnumber,NY027x9871,NY0279871
1434.statevalue,Y,NY
59.groundorsurface,Sufrace,Surface
383.country,SA,USA
146.spdespermitnumber,NY0000148,NY0000418
538.country,USgA,USA
1294.locationone,"(43.8, -75.34)","(43.08, -75.34)"
717.city,IaNWOOD,INWOOD
1958.facilityname,MnATTITUCK MAIN ROAD LAUNDRY,MATTITUCK MAIN ROAD LAUNDRY
688.locationone,"(43.03, -7.76)","(43.03, -77.76)"
1660.locationone,"(42.97, m-78.47)","(42.97, -78.47)"
1546.planttype,Municipla,Municipal
1932.planttype,Industiral,Industrial
774.planttype,Indusrtial,Industrial
1372.city,ALBAY,ALBANY
736.street,17 ORTLAND ST,17 CORTLAND ST
1477.city,SFUFOLK,SUFFOLK
129.street,3121 NYS RTE209,3121 NYS RTE 209
1964.city,CtOXSACKIE,COXSACKIE
1421.facilityname,AVNET INC (xFORMER IMPERIAL SCHRADE SITE),AVNET INC (FORMER IMPERIAL SCHRADE SITE)
2016.statevalue,YN,NY
2001.country,UhSA,USA
1309.facilityname,GRAHAMSVILLE HYDROELECTRIC FACILIY,GRAHAMSVILLE HYDROELECTRIC FACILITY
1968.groundorsurface,Suface,Surface
93.facilityname,KEtRRY,KERRY
1257.locationone,"(43.44, -75.21)***","(43.44, -75.21)"
1425.spdespermitnumber,NYt0021482,NY0021482
1531.city,Copenhaagen,Copenhagen
1418.facilityname,W & W TRUCK TRANSMISSION REPAIR NIC,W & W TRUCK TRANSMISSION REPAIR INC
1346.city,CSHUYLER FALLS,SCHUYLER FALLS
1289.locationone,"v(41.69, -73.88)","(41.69, -73.88)"
210.locationone,"(41.08y, -72.35)","(41.08, -72.35)"
1684.country,SA,USA
1647.groundorsurface,Sruface,Surface
1860.city,ALLEjGANY,ALLEGANY
684.city,AMAGAxNSETT,AMAGANSETT
2025.facilityname,MOOR COMPONENTS LLC,MOTOR COMPONENTS LLC
499.facilityname,GREErNVILLE PACKING CO INC,GREENVILLE PACKING CO INC
515.city,SATORIA,ASTORIA
1687.country,SUA,USA
714.spdespermitnumber,pNY0157252,NY0157252
84.street,ENTIRE WATE DISTRICT WIDE,ENTIRE WATER DISTRICT WIDE
673.street,ALDRICH ScT,ALDRICH ST
1337.planttype,Munciipal,Municipal
236.city,ONDA,FONDA
1255.country,UAS,USA
690.statevalue,Y,NY
1757.street,130 GIBLERT ST,130 GILBERT ST
473.street,600 DOCTORS APTH,600 DOCTORS PATH
980.planttype,Indutrial,Industrial
620.spdespermitnumber,NY0232891,NY0223891
933.planttype,Indsutrial,Industrial
414.locationone,"(42.65m, -74.54)","(42.65, -74.54)"
586.street,25 MwYERS RD,25 MYERS RD
1383.statevalue,YN,NY
1830.groundorsurface,Grund,Ground
71.facilityname,OMENCH TANNING CO,MOENCH TANNING CO
1200.groundorsurface,Surfahce,Surface
18.planttype,Municpial,Municipal
1610.street,US RTE h9 @ ST RTE 74,US RTE 9 @ ST RTE 74
2017.locationone,"(42.51,-75.52)","(42.51, -75.52)"
236.statevalue,YN,NY
266.country,SA,USA
387.street,TUCKER TcER,TUCKER TER
773.city,ORNING,CORNING
1020.spdespermitnumber,NY00a22454,NY0022454
1935.facilityname,WILSON QUARmRY,WILSON QUARRY
1259.locationone,"(s42.76, -78.63)","(42.76, -78.63)"
1558.facilityname,HANSON-  WATERTOWN,HANSON - WATERTOWN
1901.spdespermitnumber,NYf0086908,NY0086908
325.street,656 CbO RTE 33,656 CO RTE 33
1148.country,UlSA,USA
588.planttype,Idnustrial,Industrial
1248.facilityname,NION SCRAP PROCESSING INC,UNION SCRAP PROCESSING INC
1056.groundorsurface,Surafce,Surface
618.planttype,ndustrial,Industrial
1336.city,Syracue,Syracuse
889.city,NEfW PALTZ,NEW PALTZ
664.groundorsurface,Surfadce,Surface
436.spdespermitnumber,NY0904480,NY0094480
130.country,UA,USA
857.locationone,"(40.73, -7394)","(40.73, -73.94)"
354.facilityname,LAARGEVILLE WWTF,LAFARGEVILLE WWTF
102.locationone,"(42.48, -7379)","(42.48, -73.79)"
1798.planttype,nIdustrial,Industrial
375.locationone,"(43.85, -73.2)","(43.85, -73.42)"
444.country,USnA,USA
1395.spdespermitnumber,NY0271064,NY0270164
780.country,gUSA,USA
1680.street,FLEETWOOD DR  -W END,FLEETWOOD DR - W END
43.street,ENTIRE WATER DISTRIC TWIDE,ENTIRE WATER DISTRICT WIDE
115.planttype,Industiral,Industrial
765.spdespermitnumber,NY095389,NY0095389
1210.planttype,Inedustrial,Industrial
2091.street,ONE tESSEX DR|BTWN ELAN LN & WARREN AVE,ONE ESSEX DR|BTWN ELAN LN & WARREN AVE
1732.locationone,"(42.93, -74.57g)","(42.93, -74.57)"
800.facilityname,LINCOLNWELL FIELD,LINCOLN WELL FIELD
1556.locationone,"(42.19,t -74.15)","(42.19, -74.15)"
1369.country,USyA,USA
573.locationone,"(4159, -73.92)","(41.59, -73.92)"
196.facilityname,GOUVERNEUR (V WWTF,GOUVERNEUR (V) WWTF
1197.facilityname,WATELOO - V STP,WATERLOO - V STP
1205.statevalue,YN,NY
1805.groundorsurface,Grorund,Ground
1660.planttype,iIndustrial,Industrial
1024.street,1 COMANDER SQ,1 COMMANDER SQ
1041.street,REEES LN,REEVES LN
323.statevalue,YN,NY
80.statevalue,NeY,NY
2057.planttype,uMnicipal,Municipal
1492.spdespermitnumber,N0Y149411,NY0149411
1838.statevalue,Y,NY
144.statevalue,Y,NY
2026.groundorsurface,Suwrface,Surface
1983.groundorsurface,uSurface,Surface
174.country,bUSA,USA
2075.facilityname,ALTAONT - V STP,ALTAMONT - V STP
742.spdespermitnumber,NYv0262153,NY0262153
1674.facilityname,PCORE ELECTRIC COMPAN INC,PCORE ELECTRIC COMPANY INC
1760.city,PAIVLION,PAVILION
979.country,UAS,USA
189.spdespermitnumber,tNY0262102,NY0262102
156.city,BRNX,BRONX
1252.locationone,"40.76, -73.08)","(40.76, -73.08)"
1115.statevalue,Y,NY
876.statevalue,YN,NY
449.city,NEW WIzNDSOR,NEW WINDSOR
323.facilityname,PEKESKILL WASTE WATER TREATMENT FACILITY,PEEKSKILL WASTE WATER TREATMENT FACILITY
1436.city,ONENTA,ONEONTA
1089.spdespermitnumber,NuY0021750,NY0021750
426.statevalue,YN,NY
1663.locationone,"(41.06 ,-73.95)","(41.06, -73.95)"
2024.locationone,"(42.94, o-77.63)","(42.94, -77.63)"
326.groundorsurface,Surfatce,Surface
1581.planttype,Idustrial,Industrial
812.city,MANORVILE,MANORVILLE
1122.city,WARWIKC,WARWICK
1934.groundorsurface,Surfacpe,Surface
529.spdespermitnumber,NY0515519,NY0155519
1131.spdespermitnumber,NY0240041,NY0240401
204.city,DREDSEN,DRESDEN
27.country,bUSA,USA
1428.facilityname,VLILAGE OF ANTWERP WWTP,VILLAGE OF ANTWERP WWTP
1461.planttype,Indstrial,Industrial
533.groundorsurface,Surafce,Surface
314.street,1000 MAIN STc (ST RTE 5S),1000 MAIN ST (ST RTE 5S)
1870.statevalue,NiY,NY
1296.statevalue,YN,NY
2036.street,751 sMILL RD,751 MILL RD
1567.country,SA,USA
1630.city,SCRIcBA,SCRIBA
812.groundorsurface,xGround,Ground
521.groundorsurface,Surfacqe,Surface
10.street,40 POWELL LAE,40 POWELL LANE
1896.street,FIREMEN'S MEMORIA DR,FIREMEN'S MEMORIAL DR
644.statevalue,NlY,NY
557.groundorsurface,vSurface,Surface
1292.statevalue,Y,NY
456.spdespermitnumber,NY0267863,NY0276863
148.planttype,Industriaml,Industrial
1973.locationone,"(42.1r1, -79.27)","(42.11, -79.27)"
2000.street,4545 RVER RD,4545 RIVER RD
368.facilityname,cTOWN OF HUME STP,TOWN OF HUME STP
1717.street,COLLEGE AEV,COLLEGE AVE
932.statevalue,YN,NY
1973.planttype,Indusrtial,Industrial
1045.spdespermitnumber,NY0171r859,NY0171859
1944.facilityname,HOPEWELL HAMELT SEWER DISTRICT,HOPEWELL HAMLET SEWER DISTRICT
744.spdespermitnumber,zNY0261785,NY0261785
1846.street,RT 81 AND VANDENBURG ROkAD,RT 81 AND VANDENBURG ROAD
1962.statevalue,YN,NY
2013.statevalue,Y,NY
777.groundorsurface,Surfaice,Surface
1960.city,FARMINGVILLE***,FARMINGVILLE
8.planttype,Municaipal,Municipal
2081.planttype,Indusrtial,Industrial
805.spdespermitnumber,NY0265232,NY0265322
626.facilityname,YS NIAGARA POWER PROJECT,NYS NIAGARA POWER PROJECT
685.city,BROOKYN,BROOKLYN
770.facilityname,NYS DOT RESIDENT jENGR SUBHQTRS,NYS DOT RESIDENT ENGR SUBHQTRS
1952.statevalue,Y,NY
458.planttype,Idnustrial,Industrial
233.city,EAST CONCwORD,EAST CONCORD
1680.spdespermitnumber,YN0021601,NY0021601
1615.locationone,"(44.66, -73.4)9","(44.66, -73.49)"
526.statevalue,oNY,NY
630.planttype,Muncicipal,Municipal
1339.groundorsurface,urface,Surface
811.country,iUSA,USA
439.statevalue,YN,NY
1534.statevalue,wNY,NY
1560.country,tUSA,USA
1484.locationone,"(4.299, -78.93)","(42.99, -78.93)"
100.spdespermitnumber,YN0259772,NY0259772
972.country,USzA,USA
1298.city,ROBXURY,ROXBURY
1703.locationone,"(42.5,1 -74.13)","(42.51, -74.13)"
1752.groundorsurface,Surace,Surface
1322.country,UAS,USA
2022.groundorsurface,Sufrace,Surface
1437.country,UlSA,USA
905.facilityname,GRAND ILSAND SD 2,GRAND ISLAND SD 2
5.country,UA,USA
1726.locationone,"z(42.07, -78.4)","(42.07, -78.4)"
1619.groundorsurface,Sruface,Surface
1174.planttype,Indutsrial,Industrial
1690.country,SUA,USA
2067.spdespermitnumber,cNY0030252,NY0030252
259.city,GRAND ISLND,GRAND ISLAND
1025.spdespermitnumber,NY0227111***,NY0227111
1924.city,DEFERIEcT,DEFERIET
693.city,ICHOLS,NICHOLS
393.spdespermitnumber,NY0301518,NY0031518
147.groundorsurface,Saurface,Surface
1176.statevalue,Y,NY
1045.groundorsurface,Surfcae,Surface
833.country,SA,USA
1749.city,BROKLYN,BROOKLYN
1116.groundorsurface,round,Ground
16.facilityname,CAMDEN WASTEWATER TREATMENT PLANmT,CAMDEN WASTEWATER TREATMENT PLANT
1212.street,875 HORSEBLCOK RD,875 HORSEBLOCK RD
728.statevalue,YN,NY
131.country,UAS,USA
451.street,APPROX 2000 FT SE OF INTESRECTION OF RT 311 & RT 216,APPROX 2000 FT SE OF INTERSECTION OF RT 311 & RT 216
552.facilityname,EW PALTZ OHIOVILLE SEWER DIST 6 STP,NEW PALTZ OHIOVILLE SEWER DIST 6 STP
493.facilityname,BAYVILE LAUNDROMAT,BAYVILLE LAUNDROMAT
434.planttype,Inustrial,Industrial
116.facilityname,MARATHON - V SPT,MARATHON - V STP
1370.spdespermitnumber,NY0002673,NY0002763
1068.locationone,"(42.25, -74e.96)","(42.25, -74.96)"
1197.statevalue,Y,NY
1722.country,UA,USA
1175.country,UA,USA
321.street,387 E MAINS T,387 E MAIN ST
1323.statevalue,Y,NY
1466.groundorsurface,round,Ground
1686.city,INDSOR,WINDSOR
894.statevalue,NzY,NY
777.spdespermitnumber,NY2043876,NY0243876
1234.groundorsurface,rGound,Ground
1876.city,OWEO,OWEGO
1211.country,UAS,USA
1959.spdespermitnumber,NY02270c21,NY0227021
1799.facilityname,POUGHKEEPSIEx STP,POUGHKEEPSIE STP
1661.country,UA,USA
1353.facilityname,ARROWOOD BREWtERY,ARROWOOD BREWERY
1702.city,WAMSPVILLE,WAMPSVILLE
113.city,LITTEL FALLS,LITTLE FALLS
1080.street,RIVER RD A TRAIL YARD,RIVER RD AT RAIL YARD
153.locationone,"(4.35, -73.75)","(41.35, -73.75)"
412.groundorsurface,Surfae,Surface
1754.city,CORTfLANDT MANOR,CORTLANDT MANOR
608.locationone,"(43.06, -75.a38)","(43.06, -75.38)"
798.country,USeA,USA
1772.spdespermitnumber,NY024304,NY0248304
1786.city,HUDdSON,HUDSON
1376.facilityname,OCCIDENTLA DUREZ DIVISION WALCK RD PLANT,OCCIDENTAL DUREZ DIVISION WALCK RD PLANT
541.city,PHLPS,PHELPS
271.statevalue,NwY,NY
1228.statevalue,Y,NY
372.country,kUSA,USA
1512.groundorsurface,Surafce,Surface
1377.groundorsurface,Surfce,Surface
305.street,17 VISCHER FERRY RD,217 VISCHER FERRY RD
707.locationone,"(42.83,- 77.84)","(42.83, -77.84)"
787.planttype,gIndustrial,Industrial
804.planttype,Incdustrial,Industrial
981.spdespermitnumber,NY2046077,NY0246077
1903.facilityname,POcRTVILLE WASTEWATER TREATMENT PLANT,PORTVILLE WASTEWATER TREATMENT PLANT
1620.groundorsurface,Surpface,Surface
886.planttype,Industryial,Industrial
1205.locationone,"(40.95 ,-73.73)","(40.95, -73.73)"
1271.groundorsurface,Surfae,Surface
1656.locationone,"(42.63, -74.32s)","(42.63, -74.32)"
395.spdespermitnumber,NY2091218,NY0291218
47.facilityname,oHAIG GRAPHIC COMMUNICATIONS,HAIG GRAPHIC COMMUNICATIONS
2057.statevalue,NkY,NY
277.country,UAS,USA
1853.spdespermitnumber,NY002220,NY0022420
25.locationone,"(40.9, -72.)4","(40.9, -72.4)"
2069.planttype,Inducstrial,Industrial
114.locationone,"(43.64, -37.5)","(43.64, -73.5)"
268.groundorsurface,Suface,Surface
1501.facilityname,SCXT NIAGARA YARD,CSXT NIAGARA YARD
1571.statevalue,Y,NY
255.spdespermitnumber,NY026m7422,NY0267422
1207.statevalue,zNY,NY
211.spdespermitnumber,NY0262347,NY0262374
1059.city,VICTRO,VICTOR
112.groundorsurface,urface,Surface
969.locationone,"(43.07, -l76.47)","(43.07, -76.47)"
1030.statevalue,Y,NY
1183.street,3546 RETSOF yRD,3546 RETSOF RD
1033.country,UAS,USA
356.city,INDIAN LKAE,INDIAN LAKE
918.locationone,"(42.82, 76.92)","(42.82, -76.92)"
1523.city,Broklyn,Brooklyn
1789.street,EAST LAKE mROAD,EAST LAKE ROAD
2024.city,LMIA,LIMA
14.statevalue,NpY,NY
1924.country,UA,USA
645.spdespermitnumber,NY0242915,NY0242951
2085.spdespermitnumber,NY002362,NY0023612
1766.spdespermitnumber,NY0062778,NY0026778
1049.country,UAS,USA
2079.planttype,Muincipal,Municipal
1073.statevalue,vNY,NY
211.street,US RTE 11 - S OF XIT 10 OF I-81,US RTE 11 - S OF EXIT 10 OF I-81
2036.planttype,unicipal,Municipal
22.locationone,"(40.67, -v73.52)","(40.67, -73.52)"
832.street,3 7MEADOW ST,37 MEADOW ST
1585.street,495 RIVER xRD,495 RIVER RD
368.street,20 N GENEEE ST,20 N GENESEE ST
1482.locationone,"(s40.9, -72.38)","(40.9, -72.38)"
1378.facilityname,BERNE WASTEWATER TREATMNT PLANT,BERNE WASTEWATER TREATMENT PLANT
1867.city,WARWvICK,WARWICK
860.planttype,Indusrial,Industrial
1797.country,SA,USA
1608.city,NEBWURGH,NEWBURGH
1570.city,HhIGHLAND,HIGHLAND
1958.city,MTTITUCK,MATTITUCK
1385.planttype,unicipal,Municipal
1932.groundorsurface,Sufrace,Surface
462.spdespermitnumber,NY045046,NY0245046
1024.statevalue,YN,NY
1366.country,pUSA,USA
1781.street,23 PbHELPS ST,23 PHELPS ST
1616.facilityname,MOHAWK VIEW WATER POLLUTION COTNROL PLANT,MOHAWK VIEW WATER POLLUTION CONTROL PLANT
146.facilityname,MORTON SAT INC,MORTON SALT INC
905.street,3500 BASELINE DR,3500 BASELINE RD
1990.spdespermitnumber,NoY0021369,NY0021369
760.street,RAILORAD AVE & QUIMBY ST,RAILROAD AVE & QUIMBY ST
1717.facilityname,CORNELL UNVERSITY CENTRAL ENERGY PLANT,CORNELL UNIVERSITY CENTRAL ENERGY PLANT
348.city,CLARKo MILLS,CLARK MILLS
1770.country,UA,USA
1528.city,CAROGA ALKE,CAROGA LAKE
1155.planttype,Indusxtrial,Industrial
187.street,SCOTT LBVD,SCOTT BLVD
1934.city,PORT BYRNO,PORT BYRON
1576.planttype,Municial,Municipal
1824.facilityname,MCK BROTHERS,MACK BROTHERS
1843.planttype,ndustrial,Industrial
409.city,FLUSHNG,FLUSHING
491.spdespermitnumber,NYz0004278,NY0004278
350.statevalue,YN,NY
1588.planttype,Muncipal,Municipal
1850.locationone,"(40.94, -7262)","(40.94, -72.62)"
281.country,UwSA,USA
288.street,435 MAIN ST,3435 MAIN ST
1506.country,UAS,USA
927.facilityname,GMMM JENINSON LLC,GMMM JENNISON LLC
1866.street,CO RbTE 31,CO RTE 31
508.spdespermitnumber,NY000255y1,NY0002551
953.facilityname,MEXIOC - V STP,MEXICO - V STP
1022.spdespermitnumber,Y0001601,NY0001601
986.planttype,Munizcipal,Municipal
1814.planttype,Industiral,Industrial
1142.city,Poguhkeepsie,Poughkeepsie
695.locationone,"(42.65, -737.5)","(42.65, -73.75)"
1171.country,USiA,USA
1792.city,SOUTqH FALLSBURG,SOUTH FALLSBURG
1670.street,T RT 212 - S SIDE - W OF ZENA RD,ST RT 212 - S SIDE - W OF ZENA RD
961.country,UAS,USA
263.spdespermitnumber,NY022666i1,NY0226661
71.street,465 kPALMER ST,465 PALMER ST
1597.facilityname,V-BLOOMcINGBURG STP,V-BLOOMINGBURG STP
923.statevalue,YN,NY
181.spdespermitnumber,N0029939,NY0029939
856.statevalue,NsY,NY
374.locationone,"(40.96,x -72.26)","(40.96, -72.26)"
1946.locationone,"(43.08, -79.01o)","(43.08, -79.01)"
986.city,COnRFU,CORFU
1583.facilityname,LAKE PLACID WPCcP,LAKE PLACID WPCP
707.facilityname,ARKEAM INC,ARKEMA INC
1685.planttype,Industriaal,Industrial
852.planttype,Industril,Industrial
1765.country,SA,USA
1432.street,70 ELM T,70 ELM ST
1965.statevalue,NxY,NY
562.locationone,"(41.0, -h72.29)","(41.0, -72.29)"
157.street,40196 ST HWY1 0,40196 ST HWY 10
1085.groundorsurface,Surfaec,Surface
731.street,1021-19 POTRION RD,1021-19 PORTION RD
685.facilityname,NEWTOWN CREEK WASTEWATER RESOURC ERECOVERY FACILITY,NEWTOWN CREEK WASTEWATER RESOURCE RECOVERY FACILITY
831.city,NEW BRELIN,NEW BERLIN
180.planttype,Muniocipal,Municipal
1882.country,UA,USA
2074.city,FRDONIA,FREDONIA
1733.city,NIWOOD,INWOOD
1827.country,UA,USA
1180.statevalue,YN,NY
1195.country,SUA,USA
1400.locationone,"(40.85, -73.)0","(40.85, -73.0)"
1646.street,AwRLO LN,ARLO LN
938.country,SA,USA
724.city,WATON,WALTON
806.groundorsurface,Surafce,Surface
405.statevalue,YN,NY
303.spdespermitnumber,N0Y249785,NY0249785
1873.facilityname,FOGERA PHARMACEUTICALS INC,FOUGERA PHARMACEUTICALS INC
186.spdespermitnumber,NY02512a91,NY0251291
1386.street,1016 St tRe 990V,1016 St Rte 990V
