planttype,spdespermitnumber,facilityname,groundorsurface,averagedesignhydraulicflow(double precision),street,city,statevalue,country,zipcode(double precision),latitude(double precision),longitude(double precision),locationone
Indvustrial,NY025757,DOT SALT STORAGE BUILDING,Surface,0.0,BRADLE YSTREET RD,WATERTOWN,NY,USA,13601.0,44.0,-75.92,"(44.0, -75.92)"
Municipal,NY0020281,NYS GLENFIELD SEWER DIST,Surface,0.06,BLmUE ST,GLENFIELD,NY,SA,13343.0,43.72,-75.4,"(43.72, -75.4)"
Inpdustrial,NY0098736,SNOW WHITE LAUNDRY,Ground,0.02,50 CO RD 39A|SCTM#904-4-2-020,SOUTHAMPTNO,Y,USA,11968.0,40.9,-72.4,"(40.9, -72.)4"
Industrial,NY0276499,FRESH KILLS PARK,Surface,0.0,FRESH KILLS LANDFILL SITE,STATEN ISLAND,tNY,mUSA,10314.0,40.57,-74.2,"(40.57, -74.2)"
Industrial,NY0005134,CON ED-59TH ST STATINO,Surface,5.21,850 12TuH AVE,NEW YORK,Y,bUSA,10019.0,40.77,-73.99,"(40.77, -7399)"
Municipal,NY0032972,CHELSEA COVE WASTE WATER TREATMENT PLANT,Sruface,0.12,9 4MILLER RD,HPOEWELL JUNCTION,YN,USA,12533.0,41.61,-73.75,"(41.61, -73.75)"
Industrial,NY0265594,RzOYAL ANCHORAGE SEWER DISTRICT NO 1,Ground,0.01,LAPOINTE LN & ANCHORAGE WAY,PUTNAM,NY,USA,12861.0,43.75,-73.46,"(4d3.75, -73.46)"
Industrial,NY0264652,CATSKILL AQUEDUCT OUTLET IN KENSICO RESERVOIR,Surface,0.0,600 NANNYHAGEN RD,THRNWOOD,NY,USA,10594.0,41.12,-73.75,"(41.12, -73.75)"
Indutsrial,NY0228v478,"HEMLOCK LAKE - SHORELINE, OUTLET, DAM & COMPLEX",Surface,1.95,ROCHESTER-C ROW FROM HEMLOCK LAKE TO CITY,LIVINGSTON & MONROE CO,NY,USA,11717.0,42.78,-77.61,"(42.78, -77.61)"
Industrial,NY000369,CHAUTAUQUA HARDWARE CORP,Srface,0.0,1-33 WATER ST,JAMESTOWN,NjY,USA,14701.0,42.09,-79.23,"(42.09, -79.23)"
Industrial,NY029m6465,Ticonderoga- Republic 2 & Ticonderoga - Whitehall 3,Surftace,0.0,Multiple loctaions,"Crown Point, Dresden, Moriah, Putnam, Ticonderoga, Whitehall",NY,UA,11717.0,44.08,-73.5,"(44.0s8, -73.5)"
Municipal,NY0257851,CHAUMONT WWTP,Surface,0.1,ABANDONaED STONE QUARRY NORTH OF VILLAGE ON CO RTE 179,CHAUMOTN,Y,USA,13622.0,44.07,-76.13,"(4.407, -76.13)"
Municipal,NY0025739,TOWN OF BETHLEHEM - CEDAR HILL WPCP,Surface,6.0,98 DINMORE RD & STR TE 144,SELKIRK,YN,USA,12158.0,42.54,-73.76,"(42.54, -73.7)6"
Municipal,NY0030139,VOORHEESVILLE - V SD 1 STP,Surface,0.11,STOINGTON HILL RD,VOORHEESVILEL,NY,USA,12186.0,42.65,-73.93,"42.65, -73.93)"
Municipal,N0239682,WILLSBORO SEWER DISTRICT NO. 1 WASTEWATER TREATMENT FACILITY,Surfface,0.08,76 GILLILAND LN,WILLSBORO,NY,USA,12996.0,44.37,-73.39,"(44.37, -73.39)"
Industrial,NY0110744,EASTERN ALLOYS INC,Surfce,0.0,11 HENRY HENNING DR,MAYBROOK,pNY,USA,12543.0,41.51,-74.2,"(1.51, -74.2)"
Municipal,NY0022772,COEYMANS-RAVENA WATER POLLUTION CONTROL FACILITY,Surface,0.82,67 SEWER PLANT ACCESS RD - S MAIN ST & ST RTE 144,COEYMANS,NY,USA,12045.0,42.47,-73.79,"(42.47, -73.9)"
Industrial,NY061475,STEVE'S CAR WASH,Ground,0.0,2331 ST RTE 66,GHENT,NY,USA,11717.0,42.33,-73.61,"(42.33, -73.6g1)"
Industrial,NY0090123,KELLEY MEATS LLC,Ground,0.0,8937 BECKWITH RD,TAEBRG,YN,USA,13471.0,43.31,-75.62,"(43.31, -75.62)"
Municipal,NY0028401,ALBION JOINT MUNICIPAL INDUSTRIAL STP,Surface,2.3,14740 DENSMORE ST,GAINES,NY,USA,11717.0,43.25,-78.17,"(43.25, -78.17)"
Inudstrial,NY0267091,Suffolk County Watyer Authority,Ground,0.09,ENTIRE WATER DISTRIC TWIDE,dSUFFOLK,NY,USA,11717.0,40.96,-72.26,"(40.96, -72.26)"
Industrial,NY0242896,ALLEGANY GENERATING STATION,Surface,0.0,11537 ST RTE 19A,Hume,Y,USA,14536.0,42.5,-78.07,"(42.5, -78.07)"
Industrial,NY0248029,ORANGE COUNTY TERMINALS,Surface,0.0,6 SLEEPY HOLLOW RD|RIVER & HOOK RDS,PORT JERVIS,NY,USA,12771.0,41.41,-74.73,"(41.41, -74.73)"
Industial,NY0084689,MARKIN TUBING,Ground,0.02,1 MARKIN LN,WYOMING,YN,USA,14591.0,42.84,-78.05,"(42.84, -78.05)"
Industrial,NY0206148,oHAIG GRAPHIC COMMUNICATIONS,Ground,0.0,690 OLD WILLETS PATH,HAUPPAUGE,NY,USA,11788.0,40.81,-73.23,"(40.81, -73.23)"
Industrial,NY0257753,HAROLD F WOOLSHLAGER WATER PLANT,Both,0.01,NUMBER FOUR RD,WATSON,NY,USA,13367.0,43.82,-75.33,"(4m3.82, -75.33)"
Indaustrial,NY0028495,SPRAGUE OPERATING vRESOURCES LLC,Surface,0.0,1 BAY BLVD,LAWRENCE,NY,UA,11559.0,40.63,-73.74,"(40.63, -73.74)"
Municipal,NY0107051,PLEASANT STREET SEWER DISTRICT #2,Grvound,0.0,PLEAhSANT ST,VOORHEESVILLE,eNY,USA,12186.0,42.65,-73.92,"(42.65, -73.92)"
Industrial,NY0246506,CORELLE BRANDS LLC,Slurface,0.0,1 STEUBENST,CORNING,NY,SUA,14830.0,42.14,-77.04,"(42.14, -77.04)"
Municipal,NY0035131,CENTRA SQUARE - V STP,Surface,0.45,ST RTE 49 E - S SIDE,CENTRAL SQUARE,YN,USA,13036.0,43.28,-76.14,"(43.28, -76.14)"
Industial,NY0271217,TOWN SWIM POND,Surface,0.0,29 RECREATION CTR RD,BEEKMAN,NY,USA,11717.0,41.62,-73.7,"(41.62, -73.7)"
Industrial,YN0157121,NYS DOT RES ENG SUBHDQTRS GRANBY,Surace,0.0,RATHBURN RD,GRANBY,NY,USA,11717.0,43.33,-76.5,"(43.33, -76.5)"
Municipal,NY0036790,EAST ONEIDA LAKE SD WWT FAC,Surfce,2.0,3100 VIENNA RD,SYLVAN BEACH,YN,USA,13157.0,43.21,-75.72,"(43.21, -75.72)"
Indpustrial,NY0260347,SOS FUEL COMPANY,Surface,0.0,10E VILLAGE RD,TUXEDO,NY,USA,10987.0,41.19,-74.18,"(41s.19, -74.18)"
Industrial,NY0252344,OSPREY DOMINION VINEYARD & WINERY,Ground,0.0,44075 MAIN RD (ST RTE 25),MATTITUCK,NwY,USA,11952.0,41.04,-72.45,"(41.04, -72.45)"
Municipal,NY0215911,REfDWOOD SEWER DISTRICT,Surfae,0.04,OLD ST RTE 37,THERESA,NY,USA,13691.0,44.29,-75.8,"(44.29, -75.8)"
Industrial,NY0109932,WORLD FINACIAL CENTER,Sufrace,19.2,20 VESEY ST,NEW YORK,NY,UAS,10167.0,40.71,-74.02,"(40.x71, -74.02)"
Industrial,NY00x25453,CALVERTON STP,Surfce,0.01,4062 GRUMMAN BLVD|135.20-1-12,CALVERTON,NY,SA,11933.0,40.92,-72.75,"(40.92, -72.75w)"
Industrial,NY0250929,DUNWOODIE CENTRAL SUBSTATIN,Surface,0.0,ARCO & SMART AVE,YONKERoS,NY,USA,10704.0,40.94,-73.86,"(40.94, -73.86)"
Industrial,NY0000078,GARLOCK SEALING TECHwNOLOGIES,Surface,0.04,1666 DIVISION ST,PLAMYRA,NY,USA,14522.0,43.07,-77.22,"(43.07, -77.2)"
Industrial,NY0265276,AGRI-CYCLE COMPOSTING FACILIeTY,Surface,0.0,BELLE RD,BUSKIRK,YN,USA,12028.0,42.98,-73.43,"(42.98, -73.43)"
Industrial,NY0231878,CORNELL UNIVERSITY CENTRAL ENERGY PLANT,uSrface,0.0,COLLEGE AVE,ITHAA,NY,USA,14853.0,42.44,-76.48,"(42.44, -76.48)"
Industrial,NY017132,ERIE CO E AURORA HWY MAINTENANCE CTR,Surface,0.0,119 ELLIOTT RD|RT 240,EAST AURORA,YN,USA,14052.0,42.73,-78.69,"(42.73, -78.69)"
Industrial,NY0215601,BARRETT PAMELIA MATERILAS - WATERTOWN FACILITY,Surface,0.0,26572 ST RTE 37 - N OF ST RTE 342,WATERTOuWN,NY,USA,13601.0,44.05,-75.9,"(44.05, -75.9)"
Mqunicipal,NY003205a1,ELMA SD#4 BRIGGSWOOD,Surface,0.02,JACKMAN LN,ELMA,NY,SUA,14059.0,42.85,-78.65,"(42.85, -78.65)"
Industrial,NY0269379,ASHE OIL CaO,Surface,0.0,5540 WOLFSPRING RD,SCIO,NY,UAS,14880.0,42.1,-78.04,"(42.1, -78.04)"
Municipal,NY019924,FISHERS ISLAND SEWAGE TREATMENT PLANT,round,0.02,FOX LN,FISHERS ISLAND,NY,USA,6390.0,41.25,-72.03,"(41.25, -72.03)"
Mnuicipal,NY0165891,PAWLING OJINT SEWER COMMISSION WWTP,Surface,0.28,39 CORBIN RD,PAWLING,NY,USA,12564.0,41.57,-73.59,"(41.57, -73.59)"
Industrial,NY0002950,OMENCH TANNING CO,Surfce,0.38,465 kPALMER ST,GOWADA,NY,USA,14070.0,42.45,-78.92,"(2.45, -78.92)"
fMunicipal,NY0022501,ALEXANDRIA BAY WWPT,Surfae,0.75,35 ANTHONY ST,ALEXANDRIA BAY,Y,USA,13607.0,44.34,-75.91,"(44.34, -75.91)"
Municipal,NY0022713,VICTOR - V STP,Surface,0.5,1250 BRACE RD,VICTOR,NY,USA,14564.0,42.98,-77.4,"(42.98, -77.4)"
Industrial,NY0261777,TESSY PLASTICS - SKANEATELES FACILITY,Surface,0.0,700 VISIONS DR,SKANEATELES FALLS,NY,USA,13153.0,42.99,-76.46,"(42.99, -76.46)"
Municipal,NY0q026701,MAMARONECK WWTP,Surface,20.6,W BOSTON POST RD,WHITE PLAINS,NY,USA,10601.0,40.95,-73.73,"(40.95,-73.73)"
Industrial,NY01210s53,SEAVEY RD QUARRY,Surafce,0.08,164 SEAVEY RD,GOUVERNEUR,NY,UAS,13642.0,44.38,-75.47,"(44.38, -75.74)"
Industrial,NY0094251,ALLIED WASTE NIAGARA FLLS LANDFILL,Surfcae,0.4,56TH ST & NIAGARA FALLS BLVD,NIAGARA FALLS,NY,USA,14304.0,43.1,-78.99,"(43.1, -7.99)"
Muicipal,NY0060992,VILLAGE OF FISHKILL STP,Surface,0.45,4 JACKSON T,FqISHKILL,NY,USqA,12524.0,41.53,-73.9,"(41.53, -73.9)"
Industrial,NY026x6396,ALLIANT TECHSYSTEMS OPERATIONS LLC,Gruond,0.0,77 RAYNOR AVE,RONKONKOMA,NY,USA,11779.0,40.8,-73.11,"(40.8, -73.11g)"
Municipal,NY0029262,OWEGO - V STP,Sufrace,1.0,75 SOUTHSIDE cDR - N OF I-86 (ST RTE 17) @ EXIT 64,OWEGO,NeY,USA,13827.0,42.09,-76.27,"(42.09, -76.27)"
ndustrial,NY01o05180,PONTAC HOLDING PROPERTY,urface,0.0,169 WESTENR AVE,WEST NYACK,NY,USA,10994.0,41.09,-73.96,"(41.09, -73.96d)"
Industrial,NY0525882,WAWBEEK MAINTENANCE SUBHEADQUARTERS,Ground,0.0,ST RTES 3 & 30 W OF WAWBEEK,kWAWBEEK,NY,USA,12986.0,44.24,-74.38,"(44.24, -74.38)"
Indutsrial,NY0006092,IMERYS WOLLASTONITE PLANT,Surface,0.0,803 MOzUNTAIN VIEW DR,WILLSBROO,NY,SA,12996.0,44.36,-73.4,"(44.36, -73.4)"
Indutsrial,NY0266736,Suffolk County Water Athority,Ground,0.09,ENTIRE WATE DISTRICT WIDE,SUFFOLK,NY,USA,11717.0,40.96,-72.26,"(40i.96, -72.26)"
Industrial,NY0159930,KANONA TRUCK STOP,Ground,0.01,7748 ST RTE 53|EXIT 37 OF I-86,KANONA,NY,USA,14810.0,42.38,-77.36,"(4.238, -77.36)"
Industrila,NY0264300,MCENROE ORGANICn COMPOSTING,Ground,0.0,CO RTE 58 - OPPOSITE CO RTE 61,NORTHEAST,Y,USA,11717.0,41.9,-73.52,"(41.9, -73.52)"
Industrial,NY0200506,PATH TUNNELS A & B,Surface,0.0,WORLD TRADE CENTER,NE YORK,YN,USA,10048.0,40.71,-74.01,"(40.71, -74.01)"
Industrial,NY0229172,EAGLE ISLAND WATER SUPPLY,Snurface,0.0,EAGLEI SLAND,HURON,NY,USnA,11717.0,43.26,-76.95,"(43.j26, -76.95)"
Municipl,NY0110493,FREEVILEL - V STP,Surface,0.12,DPW DR,FREEVILLE,NY,USA,13068.0,42.51,-76.34,"(42.51, -76.34)"
Industrial,NY0256y536,VILLAGE OF SARANAC LAKE - 3 MAIN ST BUILDING,Surface,0.0,3 MlAIN ST,SARANAC LAKE,NY,SUA,12983.0,44.32,-74.13,"(44.32, -74.13)"
Municipal,NY0024201,COBLESKILL-V-WATER POLL CONTROL PLANT,Surface,1.8,EAST MACARTHUR AVE,COBLESKILL,rNY,UA,12043.0,42.68,-74.48,"(42.68, -74.48)"
Industrial,NY0279862,UNION TERMINALS,Ground,0.57,201 Union Blvd,West Islip,NY,UjSA,11795.0,40.71,-73.31,"(40.71, -73.31)"
Industrial,NY0004243,KEtRRY,Surface,2.3,158 ST RTE 320,NORWICH,Y,USA,13815.0,42.55,-75.52,"(42.55, -75.52)"
Indusrtial,NY0220621,BAYPORT SHOPPES LAUDROMAT,dGround,0.02,885 MONTAU KHWY,BAYPORT,NY,USA,11705.0,40.75,-73.05,"(40.75, -73.05)"
Industrial,NY0226831,LAUNDERMAGIC OF PATCHOGUE,Groucnd,0.0,770 MONTAUK HWY,AST PATCHOGUE,bNY,USA,11772.0,40.77,-72.99,"(40.77, -72.99)"
Industrial,NY0268925,GORMAN TERMINALS,Surface,0.0,290 RIVERISDE AVE,RENSSrELAER,NY,SUA,12144.0,42.62,-73.75,"(42.62, -73.75)"
Municipal,NY009480,SKANEATELES V) WWTP,Sruface,0.85,26 FENNLL ST,SKANEATELES,NY,USA,13152.0,42.96,-76.44,"(42.96, -76.44)"
Industrila,NY0008575,ONTARIO WTP,Surface,0.7,1633 RATHBURN RD,OSWEGO,YN,USA,13126.0,43.43,-76.52,"(43.43 ,-76.52)"
Industrial,NY0035530,WILLIAMSON - T WATER TREAT PLT,Surface,0.0,7901 HAMILTON ST EXT,WILLIAMSON,NY,USA,14589.0,43.28,-77.19,"(43.28, -77.19)"
Industyrial,YN0259772,EXIT 7 PALISADES PKY MAINTENANCE FAC,Surface,0.0,TOWN LINE RD,WEST NYACK,NY,USA,10994.0,41.09,-73.99,"(41.09, -73.99)"
Municpal,NY0021822,OYSTER BAY SEWAGE TREATMENT PLANT,Surface,1.8,15 BAY AV|E27-A-6,OYSTER BAY,lNY,USA,11771.0,40.88,-73.53,"(40.88, -73.53)"
Industrial,NY0282677,PORT OF COEYMANS,Surface,0.02,2170 ST RTE 144,COEYMANS,NoY,aUSA,12045.0,42.48,-73.79,"(42.48, -7379)"
Municipal,NY003q1411,RICHFIELD SPRINGS WASTEWATER TREATMENT PLANT,Surfaec,0.6,140 BLOOMFIELD DR,RICHFIELD SPRNGS,NY,USA,13439.0,42.85,-74.99,"(42.85, -74.99)"
Municipal,NY0u024929,WHITEHALL STP,Surfsace,1.7,RIVERIDE DR,WHITEHALL,NY,USA,12887.0,43.55,-73.4,"(43.55, -73.4)"
Industrial,NY0256340,HOGANSBURG RES ENG SUBHEADQUARTERS,Ground,0.0,ST RTE 95 - S OF ST RTE 37,HOGANSBURG,NY,USA,13655.0,44.96,-74.64,"(44.96, -74.64)"
Indnustrial,NY027903,215 DEPOT ROAD REALTY CORP,Ground,0.02,2e15 DEPOT RD,HUNTINGTO STATION,NY,SA,11746.0,40.84,-73.4,"(40.84, -73.4)"
Industrial,NY0280160,BELLOWSj POND RD WELL FIELD - PLANT NO. 4,Ground,0.09,60 BELLOWS POND RD,HAMPTONB AYS,NY,USA,11946.0,40.88,-72.55,"(40.88, -72.55)"
Industrial,NY0075078,METRO NORTH RR RBEWSTER YARD,Surface,0.07,PROSPECT HILL RD - PUTNAM JCT,BREWSTER,Y,USA,10509.0,41.41,-73.62,"(41.41, -7.62)"
Municipal,NY0023337,POTSDAM SEWER DISTRICT NO 1 STP,Surfae,0.04,SISSONVILLE RD,UNIONVILLE,NY,USA,13676.0,44.72,-74.99,"(44.72, -74.99)"
Municipal,NY0149209,TRIMUNICIPAL WWTP,Surface,2.78,171 SHEAFE RD,WAPPINGER SFALLS,NY,USA,12590.0,41.61,-73.94,"(41.61, -73.94)"
Industrial,NY0227030,LI RAILc ROAD - OYSTER BAY YARD,Gronud,0.0,1 RAIL RD PLZ,OYSTER BAY,YN,USA,11771.0,40.87,-73.53,"(40.87, -73.53)"
Industrial,gNY0260053,HWY MAINTENANCE SUBHQTRS,urface,0.0,CO RTE 175 AT ST RTE 17,LIBERTY,NY,USA,12754.0,41.78,-74.73,"(41.78, -747.3)"
Municipal,NY0022403,LITTLE FALLS WASTEWATER TREjATMENT PLANT,Surface,7.0,223 RIVER RD E,LITTEL FALLS,NlY,USA,13365.0,43.04,-74.84,"(43.04, 7-4.84)"
Municipal,NY0248983,HULETTS LANDING SEWER DISTRICT NO 1,Ground,0.03,BROOK WAY OFF CO RTE 6gB,HULETTS LANDING,NY,USA,12841.0,43.64,-73.5,"(43.64, -37.5)"
Industiral,NY0000311,PACTIV LLC,Surface,0.11,5250 NORTH TS,CANANDAIGUA,tNY,USA,14424.0,42.91,-77.3,"(42.91, -77.3)"
Muniicpal,NY0028363,MARATHON - V SPT,Surface,0.2,FRONT ST EXT,MARATHON,YN,USA,13803.0,42.43,-76.03,"(42.43, -7n6.03)"
Industrial,NY0244872,TESSY PLASTICS - ELBRIDjGE CAMPUS,Surface,0.0,488 ST RTE 5 W|1300'' W OF AMILTON RD,ELBRIDGE,NY,UA,13021.0,43.03,-76.47,"(43.0, -76.47)"
Industrial,NY0266612,RCF FUEL OIL CORP,Ground,0.0,274-D W MONTAUK HWY,AMPTON BAYS,NgY,USA,11717.0,40.87,-72.55,"(40.87, -72.55)"
Industrial,NY0108472,YRC FREIGHT-MAYBROOK TERMINAL 123,urface,0.0,1000 HOMESTEAD AVE,MAYBROOK,NY,USA,12543.0,41.5,-74.21,"(41.5, -74.21)"
ndustrial,NY000421,AMERICAN FELT & FILTER CO,Surface,0.04,WALSH AVE,NEW WINDSOR,NY,USA,12553.0,41.49,-74.02,"(41.49, -47.02)"
Industial,NY0027120,ERIE CO STURGEON POINT WATER TRTMNT PLT,Surface,0.92,722 STURGEON PT RxD,DERuBY,NY,USA,14047.0,42.69,-79.04,"(42.69, -79.04)"
Municipal,NY0023965,CLYDE - V STP,urface,0.4,45 FORD ST,CLYDE,NY,UAS,14433.0,43.08,-76.87,"(43.t08, -76.87)"
Industrila,NY0263141,DOT SPRINGFIELD MAINTENANCE SUBHEADQTRS,Surface,0.0,4675 US RTE 20,SPRINGFIELD,NY,UAS,11717.0,42.84,-74.89,"(42.84, -7489)"
Industrial,NY0100846,CITY OF ONEIDA WATER TREATMENT PLNT,Surface,0.1,10176 GLENMORE RD,ANNSVILLE,NY,SA,11717.0,43.35,-75.62,"(43.35, -75.62)"
Industrial,NY0268151,SHANDAKEN TUNNEL OUTLTE,Surfaec,0.0,7148 ST RTE 28,SHANADKEN,NY,USA,12480.0,42.11,-74.36,"(42.11, -74.36)"
Industrial,N0Y245089,INDECK OLEAN ENERGY CENTER,Surface,0.0,140 MOORE AVE,OEAN,NY,USA,14760.0,42.09,-78.45,"(42.09, -78.45)"
Industrial,NY0107760,TIFFEN MFG CORP,Ground,0.0,90 OSER AVE,AUPPAUGE,NY,USA,11787.0,40.82,-73.24,"(40.82, -73.24)"
Industrial,NY0211923,Greenlawn Village Laundromat,Ground,0.02,80 A BROADWAY,GREENLAWN,NY,UAS,11740.0,40.87,-73.36,"(40.87, -73.36)"
Industrial,NY0150100,CHARLES RIVER LABORATORY,Surface,0.02,3121 NYS RTE209,STONE RIDGE,NY,USA,12484.0,41.87,-74.12,"(41.87, -74.12)"
Municipla,NY0207004,VILLAGE OF THERESA WWTF,Surfaec,0.07,124 COMMERCIAL ST,THERESA,NY,UA,13691.0,44.22,-75.8,"(44.22, -75.8)"
Municipal,NY0030899,WATERVLIET - V COMBINEDS EWER OVERFLOWS,Surface,0.01,HUDSON RIVER,WATERVLIET,NY,UAS,12189.0,42.71,-73.7,"(42.71, -73.7)"
Municipal,NY0022136,ECSD NO 6 LACKAWANNA WATER RESOURCE RECOVERY FACILITY,Surfacce,4.5,260 LEHIGH AVE|NE CORNER OF WILLMUTH & WELL STS,LACKAWANNA,NY,USA,14218.0,42.82,-78.84,"(42.82, -78.84)"
Indutsrial,NY0203483,HUNTLEY FLY ASH LANDFILL,Surface,0.0,RIVER RD,ONAWANDA,NY,USA,14150.0,42.99,-78.93,"(2.99, -78.93)"
Mnuicipal,NY0026841,BELGRAVE WPCD,urface,2.0,34-w01 255TH ST|2/374/8-11,GREAT NECK,YN,USA,11022.0,40.78,-73.74,"(40.78, -73.74)"
Industrial,Y0033065,BARTON ROAD QUARRY,Surface,0.01,91 BARTON RD,LANCASTER,Y,USA,14086.0,42.95,-78.65,"(2.95, -78.65)"
Industrial,NY028723,POUGHKEEPSIE CORP CENTER,Surface,0.14,350 DUTCcHESS TPKE,POUGHKEEPSIE,YN,USA,12603.0,41.71,-73.87,"(41.71,r -73.87)"
Industrial,NY0270237,POULIN GRAIN INC,Ground,0.0,605 US RTE 11,CANTN,Y,USA,13617.0,44.6,-75.14,"(44.6, -75.14)"
Industrial,NY0007242,LEHIGH NORTHEAST CEMENT pCO - CEMENTON TERMINAL,Ground,0.0,120 ALPHA LVD US RTE 9W,CEMENOTN,YN,SA,12415.0,42.14,-73.91,"(42.14, -73.91)"
Industrial,NY0201243,ASTORIA CENTRAL WTF,Surface,0.0,20TH AVE & 23RD ST,ASTOIA,pNY,USA,11717.0,40.78,-73.91,"(40.78, -73.91)"
Industrial,NY0282260,KEARNEY PIT,Sruface,0.03,121 COLUMBIA CO RTE 31 (BLUE HILL RD),HUDSON,NY,USA,12534.0,42.2,-73.8,"(42.2, -73.8)"
Industrila,NY258407,NYS DOT MAINTENANCE SUBHEADQUARTERS,Suface,0.0,4222 STR TE 417,OLEAN,NfY,SA,14760.0,42.11,-78.53,"(42.11, -78.53)"
Industrial,NY0244139,SUPERIOR PLUS ENERGY SERVICES - CORTLAND,Suurface,0.0,US RTE 11 E OF CORTLAND @ POLKVILLE,COTRLANDVILLE,NY,USA,11717.0,42.59,-76.14,"(42.59, -76.14)"
Industriagl,NY0264911,PELLEH POULTRY,Ground,0.0,522 HAPPY AVE,EBTHEL,NY,UAS,12783.0,41.71,-74.86,"(41.71, -74.86)"
Muincipal,NY0020672,HAMILTON - V WATER POLLUTION CONTROL PLANT,Surface,0.85,81 COLLEGE ST,AMILTON,Y,USkA,13346.0,42.82,-75.55,"(42.82, -75.55)"
Municipal,NY0021334,WESTFIELD WATER PLLUTION CONTROL FACILITY,Surface,2.6,OLD HAWLEY ST,WESTFIELD,NY,SA,14787.0,42.33,-79.59,"(42.33, -79.59)"
