252.addressone,210 11th hAve,210 11th Ave
591.namevalue, C Editions,I C Editions
49.thegeom,POINT (-74.005373576875 40.7501763280434),POINT (-74.0053735768785 40.7501763280434)
456.city,New Yrk,New York
443.thegeom,POINT (-73.9648v004088197 40.76175802302484),POINT (-73.9648004088197 40.76175802302484)
250.namevalue,Verona Arts Ld,Verona Arts Ltd
286.namevalue,WORL DAFRICA,WORLD AFRICA
32.tel,(212) 628-97c60,(212) 628-9760
839.city,Newv York,New York
220.tel,(21)2 645-8701,(212) 645-8701
651.tel,(212) 92-90500,(212) 929-0500
237.tel,(212) 47-34047,(212) 473-4047
301.url,http:/w/ww.123watts.com/,http://www.123watts.com/
280.tel,(212) 67-76547,(212) 677-6547
501.addresstwo,bby,Lbby
851.addresstwo,bby,Lbby
457.city,New Yrk,New York
748.city,Londg Island City,Long Island City
827.url,http://loqal.com/manhatatn+art.9.55597755p.home.html,http://loqal.com/manhattan+art.9.55597755p.home.html
269.namevalue,Welilesley the,Wellesley the
242.city,New ork,New York
48.city,NewY ork,New York
6.city,ew York,New York
216.tel,(212 674-0508,(212) 674-0508
112.namevalue,S & A Art Gallercy Inc,S & A Art Gallery Inc
247.city,Ne York,New York
506.addressone,513 West l26th Street,513 West 26th Street
113.namevalue,S 2 Editins Ltd,S 2 Editions Ltd
72.addresstwo,B,1B
14.thegeom,POINT (-73.92794008275476 40.75515771293065),POINT (-73.92794008275476 40.755157871293065)
129.thegeom,POINT (-73.96141027379505 40.77036698057002),POINT (-73.96141027379505 40.77036690857002)
476.tel,(212) 772-760,(212) 772-7160
490.city,NewY ork,New York
156.url,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489C5CFF-3048-28EB-9213D9BD1A052B8E,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489CC5FF-3048-28EB-9213D9BD1A052B8E
538.url,http://www.dagctyl.org/,http://www.dactyl.org/
785.namevalue,Gasser&  Grunert,Gasser & Grunert
222.url,http://ny.citysquares.com/manhattan/east-villae/arts-entertainment/artists-art-dealers/three-east-third-st-corp,http://ny.citysquares.com/manhattan/east-village/arts-entertainment/artists-art-dealers/three-east-third-st-corp
512.addressone,8200 Victory Blvd.,2800 Victory Blvd.
195.tel,(212) 367m-0881,(212) 367-0881
892.tel,(212) 9666676,(212) 966-6676
767.city,mNew York,New York
159.addressone,15 0Midwood St,150 Midwood St
769.addresstwo,Lbdby,Lbby
434.addressone,72 45th Ave,724 5th Ave
129.tel,(212) 28s8-1493,(212) 288-1493
802.addressone,EMPIRE TSATE BUILDING,EMPIRE STATE BUILDING
835.city,New Yrk,New York
21.city,eNw York,New York
533.addressone,415 W Boadway,415 W Broadway
434.addresstwo,Lby,Lbby
320.thegeom,POINT (-73.97156738540961 04.76234164563961),POINT (-73.97156738540961 40.76234164563961)
880.addressone,3655 Mai St,3655 Main St
281.addresstwo,Lbbyy,Lbby
717.url,http://www.ibegin.com/directory/us/new-york/new-york/environment-homef-urnshngs-inc-205-e-60th-st/,http://www.ibegin.com/directory/us/new-york/new-york/environment-home-furnshngs-inc-205-e-60th-st/
62.tel,h(212) 534-7534,(212) 534-7534
860.url,http://www.speendexq.com/New-York/New-York-City/Shopping/Arts/Merrin-Gallery-l496371.html,http://www.speendex.com/New-York/New-York-City/Shopping/Arts/Merrin-Gallery-l496371.html
166.thegeom,POINT (-73.96352461082171 40.773a83485220909),POINT (-73.96352461082171 40.77383485220909)
452.namevalue,Bleier Mlton A Corp,Bleier Milton A Corp
457.thegeom,POINT (-73.99768478344558 40.72404y630376343),POINT (-73.99768478344558 40.72404630376343)
62.thegeom,POINT -73.94672759344712 40.7926998453047),POINT (-73.94672759344712 40.7926998453047)
371.namevalue,rAt & Interiors Inc,Art & Interiors Inc
198.addresstwo,Lgbby,Lbby
477.addresstwo,Ste 172,Ste 1702
853.url,http//www.cherylmcginnisgallery.com/,http://www.cherylmcginnisgallery.com/
294.thegeom,POINT (-73.97608678436214 40.764177063493484),POINT (-73.97608678432614 40.764177063493484)
767.tel,(917) 43-21471,(917) 432-1471
866.namevalue,Miakeyl Art Gallery,Miakey Art Gallery
797.city,New ork,New York
123.addressone,30 tE 76th St,30 E 76th St
428.city,New Yuork,New York
280.city,NewY ork,New York
555.city,Nw York,New York
238.addressone,19 East 66tzh Street,19 East 66th Street
268.addressone,36 E 57t hSt,36 E 57th St
149.namevalue,Shainmn Jack Gallery,Shainman Jack Gallery
542.city,New Yohrk,New York
281.thegeom,POINT (-73.982975639830i2 40.721588112300466),POINT (-73.9829756398302 40.721588112300466)
195.namevalue,Taglialatlla Dominic J,Taglialatella Dominic J
436.addresstwo,Lbby***,Lbby
792.tel,(21b2) 255-7363,(212) 255-7363
226.city,New tYork,New York
839.url,htpt://www.marlboroughgallery.com/,http://www.marlboroughgallery.com/
461.city,Nw York,New York
883.url,http://momentaart.gorg/,http://momentaart.org/
780.addresstwo,Lbyb,Lbby
366.namevalue,Arhibald Arts,Archibald Arts
759.addresstwo,Lblby,Lbby
384.namevalue,Art Placemen tInternational,Art Placement International
629.url,http://local.yahoo.com/info-11111359-kahan-fine-art-galleries-limited-new-york?csz=Bloofield%2C+NJ+07003,http://local.yahoo.com/info-11111359-kahan-fine-art-galleries-limited-new-york?csz=Bloomfield%2C+NJ+07003
59.url,http://www.nyc.com/arts__attractions/professional_fie_arts_svces_inc.724/editorial_review.aspx,http://www.nyc.com/arts__attractions/professional_fine_arts_svces_inc.724/editorial_review.aspx
10.url,http://www.pacewildensteni.com/,http://www.pacewildenstein.com/
571.url,http://www.galleryhenoch.scom/,http://www.galleryhenoch.com/
638.addressone,545 W r34th St,545 W 34th St
184.thegeom,POINT -73.98429765855359 40.73821552093811),POINT (-73.98429765855359 40.73821552093811)
788.city,Nzew York,New York
494.thegeom,POIT (-74.00446166325382 40.75015743023644),POINT (-74.00446166325382 40.75015743023644)
20.tel,(71e8) 388-2882,(718) 388-2882
372.city,Nsew York,New York
687.city,tBrooklyn,Brooklyn
475.addressone,446 Brloadway,446 Broadway
640.url,http://www.junekellywgallery.com/,http://www.junekellygallery.com/
9.url,http/:/www.paceprints.com/,http://www.paceprints.com/
462.thegeom,POINT (-73.9841258621658 40.72292592490373),POINT (-73.98412586213658 40.72292592490373)
529.tel,(212t) 757-8255,(212) 757-8255
552.addressone,1035 Park Ae,1035 Park Ave
645.tel,(718) 87p5-2098,(718) 875-2098
356.url,http://ww.patrickgrant.net/genome_angallery.htm,http://www.patrickgrant.net/genome_angallery.htm
76.tel,(12) 288-3555,(212) 288-3555
235.url,http://artcritical.com/fyfe/JFNoland.hmt,http://artcritical.com/fyfe/JFNoland.htm
832.city,New Yorkk,New York
407.addresstwo,Lbyb,Lbby
28.addresstwo,Lvbby,Lbby
889.thegeom,POINT (-73.85783325956976 40.729925290435816),POINT (-73.85783325965976 40.729925290435816)
12.url,http:y//www.nyc.com/arts__attractions/paiges_art_gallery.1731/editorial_review.aspx,http://www.nyc.com/arts__attractions/paiges_art_gallery.1731/editorial_review.aspx
729.addressone,90 5Madison Ave,905 Madison Ave
316.addresstwo,bLby,Lbby
603.city,Neow York,New York
83.tel,(212) 234-n0974,(212) 234-0974
872.namevalue,Miller Geisler Gallpery Llc,Miller Geisler Gallery Llc
270.city,Neow York,New York
778.namevalue,Gallery at the New York School of Interior Desiwgn,Gallery at the New York School of Interior Design
214.city,New Yokr,New York
339.city,Forest Hpills,Forest Hills
777.addresstwo,Lbyb,Lbby
126.tel,(12) 966-6156,(212) 966-6156
809.addresstwo,Lbyb,Lbby
608.namevalue,Jain Marunouchi Galelry,Jain Marunouchi Gallery
580.thegeom,POINT (-73.9351076201721 40.764803819817715),POINT (-73.96351076201721 40.764803819817715)
394.namevalue,Arterrexs,Arterres
92.thegeom,POINT k(-74.00236650608144 40.724407088132416),POINT (-74.00236650608144 40.724407088132416)
716.addressone,537 rBoadway,537 Broadway
594.city,Nkew York,New York
454.url,http://www.merchantcircle.com/business/Bodanna.Inc.New.York.NY.212-388-078,http://www.merchantcircle.com/business/Bodanna.Inc.New.York.NY.212-388-0078
754.addresstwo,bby,Lbby
365.addresstwo,Lbgby,Lbby
230.addresstwo,Lbbhy,Lbby
76.url,ttp://www.rateitall.com/i-410005-raydon-gallery.aspx,http://www.rateitall.com/i-410005-raydon-gallery.aspx
458.thegeom,POINT (-7.00359348605816 40.74976022129376),POINT (-74.00359348605816 40.74976022129376)
396.addresstwo,Lbby***,Lbby
72.url,http://www.antiquesandfineart.com/dealers/abou.cfm?id=427&ap=1,http://www.antiquesandfineart.com/dealers/about.cfm?id=427&ap=1
883.city,Brookln,Brooklyn
164.addresstwo,zLbby,Lbby
106.tel,(212) 45d2-4297,(212) 452-4297
614.namevalue,Jbpad Llc,Jbpa Llc
387.thegeom,POINT (-73.99720725z800789 40.72310856403507),POINT (-73.99720725800789 40.72310856403507)
883.thegeom,POINT (-73.9m6295355070409 40.71150041862991),POINT (-73.96295355070409 40.71150041862991)
199.addresstwo,Lbyb,Lbby
175.url,http://www.livevisllage.com/newyork/art/start.html,http://www.livevillage.com/newyork/art/start.html
653.city,hNew York,New York
229.url,http://tonalmotion.org/maqin.html,http://tonalmotion.org/main.html
821.url,http://brooklnny.zemantics.com/business/lunarbase-inc,http://brooklynny.zemantics.com/business/lunarbase-inc
461.addresstwo,#4m01,#401
744.addressone,355 W 20th St,535 W 20th St
916.addresstwo,bby,Lbby
600.addresstwo,Lbmby,Lbby
311.url,http://www.chambersfineart.com/en/calendrar/2009-2-bj.html,http://www.chambersfineart.com/en/calendar/2009-2-bj.html
638.namevalue,Keit Copley Gallery,Keith Copley Gallery
418.city,Nw York,New York
500.tel,(212) 29-2828,(212) 219-2828
717.namevalue,Environment Home Furnshngs nIc,Environment Home Furnshngs Inc
147.tel,(212) 681-901,(212) 681-9091
737.addresstwo,Lbyb,Lbby
297.tel,(646) 62-2338,(646) 602-2338
557.city,New Yrk,New York
422.addresstwo,bLby,Lbby
539.tel,(212) 23-1680,(212) 230-1680
341.tel,(212) 750-1298,(212) 750-1928
782.addresstwo,Lbyb,Lbby
317.url,http://www.artseensosho.com/Art/AIR/air.html,http://www.artseensoho.com/Art/AIR/air.html
703.city,NewY ork,New York
807.city,New Yortk,New York
804.addresstwo,Lhbby,Lbby
600.addressone,2e25 10th Ave,225 10th Ave
224.url,http://www.artseensonho.com/Art/TILTON/tilton.html,http://www.artseensoho.com/Art/TILTON/tilton.html
853.addresstwo,7#10,#710
383.addressone,32o3 W 39th St,323 W 39th St
107.url,http://www.royalathean.com/,http://www.royalathena.com/
706.thegeom,POINT (-73.9734238756805 40.763410831787006),POINT (-73.97334238756805 40.763410831787006)
24.thegeom,POINT (-74.00272285706y035 40.75019275007833),POINT (-74.00272285706035 40.75019275007833)
390.addressone,3 E6 5th St,3 E 65th St
94.namevalue,Robert Miller GalleryInc,Robert Miller Gallery Inc
772.url,htpt://gallery151.com/,http://gallery151.com/
894.city,NewYork,New York
910.thegeom,POINT (-74.00207055583819 40.7236886e21646204),POINT (-74.00207055583819 40.723688621646204)
77.namevalue,Red hDot,Red Dot
799.thegeom,POINgT (-74.00450469978173 40.750089379127566),POINT (-74.00450469978173 40.750089379127566)
71.tel,(212) 937-2818,(212) 397-2818
806.url,http://www.city-data.com/businesses/113064489-gremene-space-gallery-new-york-ny.html,http://www.city-data.com/businesses/113064489-greene-space-gallery-new-york-ny.html
410.city,New Yok,New York
726.url,http://www.speendex.com/New-York/New-York-ity/Shopping/Arts/Exotiqa-II-l497278.html,http://www.speendex.com/New-York/New-York-City/Shopping/Arts/Exotiqa-II-l497278.html
846.namevalue,Mathes nBarbara Gallery,Mathes Barbara Gallery
597.tel,(212) 645-6808,(212) 645-6880
4.addresstwo,bby,Lbby
374.addresstwo,Lbby***,Lbby
205.namevalue,Tenri Cultujral Institute,Tenri Cultural Institute
906.city,Ncew York,New York
515.tel,(212) 498-6694,(212) 489-6694
828.url,http://www.afrtnet.com/graciemansion.html,http://www.artnet.com/graciemansion.html
358.namevalue,Anvtik,Antik
764.thegeom,POINT (-74.0508906552173 40.70746874115894),POINT (-74.0058906552173 40.70746874115894)
814.tel,(221) 219-9401,(212) 219-9401
258.url,http://ny.serviceslisted.com/1654518-VisagekStudios.htm,http://ny.serviceslisted.com/1654518-VisageStudios.htm
709.addressone,545 West 0th Street,545 West 20th Street
665.url,http://www.manta.com/coms2/dnbcompanpy_gksp3l,http://www.manta.com/coms2/dnbcompany_gksp3l
486.city,New Yorbk,New York
424.namevalue,zAtec Marketing Co,Aztec Marketing Co
772.addresstwo,Lby,Lbby
726.city,Bjronx,Bronx
512.namevalue,College of Staten Island - Center for theArts,College of Staten Island - Center for the Arts
85.city,New Yokr,New York
894.addresstwo,Lbxby,Lbby
402.url,http://www.universitysettlement.org/***,http://www.universitysettlement.org/
309.tel,(212) 2739-673,(212) 273-9673
38.city,Nwe York,New York
506.thegeom,POIT (-74.00338485238753 40.750088833951594),POINT (-74.00338485238753 40.750088833951594)
310.url,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=498C0F17-3048-28EB-92D57971418D832F,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489C0F17-3048-28EB-92D57971418D832F
458.addresstwo,Lbyb,Lbby
303.url,http://wwww.14sculptors.com/,http://www.14sculptors.com/
161.addresstwo,Lbnby,Lbby
530.thegeom,POINT (-m73.9884446804236 40.74413705033391),POINT (-73.9884446804236 40.74413705033391)
181.addresstwo,Lby,Lbby
845.url,http://ww.apfgroup.com/,http://www.apfgroup.com/
835.addresstwo,Fl e4,Fl 4
173.namevalue,St Etienne Galerike,St Etienne Galerie
758.namevalue,rei-Nathan Susan Fine Works On Paper Llc,Frei-Nathan Susan Fine Works On Paper Llc
649.city,ew York,New York
498.addresstwo,Lbbyy,Lbby
213.addresstwo,Lbbfy,Lbby
394.url,http://www.ibegin.com/directory/us/new-york/new-york/arterres-24-lafayette-st/,http://www.ibegin.com/directory/us/new-york/new-york/arterres-242-lafayette-st/
200.tel,(y646) 638-9471,(646) 638-9471
594.addresstwo,Lbbny,Lbby
113.thegeom,POINT (-74.004792a26201507 40.72529481116742),POINT (-74.00479226201507 40.72529481116742)
381.addressone,199 Lafyaette St,199 Lafayette St
596.tel,(212) 769-9734,(212) 769-9374
197.thegeom,POINT (-73.98882748825802 40.7354584157437),POINT (-73.98882748825802 40.7354581457437)
367.addresstwo,Lbbqy,Lbby
36.tel,7(18) 471-7840,(718) 471-7840
254.url,httkp://www.galleryvietnam.com/,http://www.galleryvietnam.com/
176.tel,(718) 349h-7250,(718) 349-7250
356.tel,212) 741-8695,(212) 741-8695
633.tel,(212) 366-577,(212) 366-5757
738.namevalue,Fine rArt Alacarte,Fine Art Alacarte
236.url,http://www.tritonjewelry.com/hoem.php,http://www.tritonjewelry.com/home.php
694.addressone,592 W 20th St,529 W 20th St
469.addresstwo,Lby,Lbby
276.city,New Yok,New York
705.addresstwo,Lby,Lbby
569.tel,(212) 789-2075,(212) 879-2075
608.url,http://www.arstin2000.com/,http://www.artin2000.com/
711.url,http://local.btow.org/New_York/New_York/Elizabeth_Mayer_Fine_Art/56447096.html,http://local.botw.org/New_York/New_York/Elizabeth_Mayer_Fine_Art/56447096.html
744.addresstwo,bLby,Lbby
788.addresstwo,Firset Floor,First Floor
753.namevalue,ranklin Bowles Galleries,Franklin Bowles Galleries
226.url,http://newyork.maplist.orrg/viewthread.php?tid=412663,http://newyork.maplist.org/viewthread.php?tid=412663
113.url,http:/www.nyc.com/arts__attractions/s_2_editions_ltd.958/editorial_review.aspx,http://www.nyc.com/arts__attractions/s_2_editions_ltd.958/editorial_review.aspx
11.addresstwo,Fnl 4,Fl 4
518.addressone,19 E 4th St,19 E 74th St
200.url,http://www.livevillage.com/neywork/art/tanya-bonakdar-galery.html,http://www.livevillage.com/newyork/art/tanya-bonakdar-galery.html
467.thegeom,POINT (-7a4.00262453001721 40.723386285969056),POINT (-74.00262453001721 40.723386285969056)
169.namevalue,Spencer Brownstone Gallehry,Spencer Brownstone Gallery
412.url,http://www.ateleirart.com/,http://www.atelierart.com/
730.city,fBrooklyn,Brooklyn
882.addressone,36p E 64th St,36 E 64th St
584.tel,(22) 628-2922,(212) 628-2922
518.url,ihttp://www.crsculpture.com/,http://www.crsculpture.com/
551.addresstwo,Lbbny,Lbby
663.url,ttp://www.lioramanne.com/index.php?cid=home,http://www.lioramanne.com/index.php?cid=home
854.thegeom,POINT (-73.97329y466643644 40.76323751959007),POINT (-73.97329466643644 40.76323751959007)
226.tel,(212c) 980-6416,(212) 980-6416
211.tel,(718e) 486-0330,(718) 486-0330
198.namevalue,Tambaran Gallery***,Tambaran Gallery
747.thegeom,POINT (-73.99647308638792 40.73297525886468),POINT (-73.99647308638792 40.72397525886468)
252.tel,(212) 414-976,(212) 414-1976
10.namevalue,Pace Wildensetin,Pace Wildenstein
254.addresstwo,Lbyb,Lbby
120.thegeom,POINT (-7396550966274957 40.76954041095984),POINT (-73.96550966274957 40.76954041095984)
599.city,New Yok,New York
747.url,http://www.forrestscottgallery.com/coprorate.html,http://www.forrestscottgallery.com/corporate.html
903.city,ew York,New York
677.url,http://www.mantra.com/coms2/dnbcompany_6mflzr,http://www.manta.com/coms2/dnbcompany_6mflzr
673.city,New ork,New York
422.tel,(718) 46-1800,(718) 246-1800
466.thegeom,POINT (-7.92918028109621 40.70788792853058),POINT (-73.92918028109621 40.70788792853058)
258.city,Newh York,New York
42.city,Neiw York,New York
554.url,http://www.merchantcirclwe.com/business/Greer.Gallery.Inc.212-431-6025,http://www.merchantcircle.com/business/Greer.Gallery.Inc.212-431-6025
549.thegeom,POINT (-73.97447250322294 40.76266950704102),POINT (-73.97447205322294 40.76266950704102)
412.namevalue,Atelier InternationalA rt Group Inc,Atelier International Art Group Inc
606.thegeom,POINT (-73.98154615389973 40.76582510593395),POINT (-73.98154615389973 40.765825510593395)
404.tel,(21c2) 725-6092,(212) 725-6092
96.namevalue,Robertson African Ars,Robertson African Arts
301.addresstwo,Lebby,Lbby
132.city,Nw York,New York
279.thegeom,POINT -(74.00583422026774 40.74970893312495),POINT (-74.00583422026774 40.74970893312495)
171.namevalue,Sping,Spring
311.tel,(212v) 414-1169,(212) 414-1169
863.tel,(718) 32-64102,(718) 326-4102
193.addressone,620 Pak Ave,620 Park Ave
171.thegeom,POINT (-73.98739580880391 40.70224872687764),POINT (-73.98739580880391 40.70224827687764)
529.thegeom,mPOINT (-73.98510259493322 40.7606295440217),POINT (-73.98510259493322 40.7606295440217)
398.city,Newq York,New York
351.addresstwo,Lbbay,Lbby
858.tel,(212) 767-1340,(212) 677-1340
696.url,http://fineartamerica.com/profiles/dougmeyer-fine-art.html,http://fineartamerica.com/profiles/doug-meyer-fine-art.html
647.addresstwo,bby,Lbby
467.city,New ork,New York
397.addressone,38 rGeene St,38 Greene St
557.thegeom,POINT (-73.999109984v90243 40.73718457573518),POINT (-73.99910998490243 40.73718457573518)
834.url,ttp://www.alhirschfeld.com/index2.html,http://www.alhirschfeld.com/index2.html
809.tel,(212) 83-89352,(212) 838-9352
32.addressone,24 E 78tha St,24 E 78th St
806.addressone,105 Green St,105 Greene St
556.addressone,183 W 13th St,138 W 13th St
737.thegeom,POINT (-74.00029974157532 40.p7235933155635),POINT (-74.00029974157532 40.7235933155635)
354.addressone,601 W 26th Skt,601 W 26th St
745.addresstwo,Lbby***,Lbby
535.namevalue,Curatorial Art Advisory Serviec,Curatorial Art Advisory Service
35.thegeom,POINT -(73.9950260483218 40.71651671861807),POINT (-73.9950260483218 40.71651671861807)
256.city,Ne York,New York
712.city,Nw York,New York
668.thegeom,POIN (-74.00419547934735 40.750043737854995),POINT (-74.00419547934735 40.750043737854995)
599.tel,(212) 637-8844,(212) 367-8844
267.namevalue,Webste David,Webster David
895.city,Ne wYork,New York
242.url,http://www.verystylegude.com/upandco/,http://www.verystyleguide.com/upandco/
706.addresstwo,Lpbby,Lbby
618.tel,(212)427-4900,(212) 427-4900
421.namevalue,Avshalom Eitan Finep Arts,Avshalom Eitan Fine Arts
789.namevalue,George Billis Glalery,George Billis Gallery
776.city,New Yokr,New York
331.thegeom,POINT (-73.9473959a108493 40.81484873741814),POINT (-73.9473959108493 40.81484873741814)
256.tel,(212) 414-181,(212) 414-1881
47.city,New Yoark,New York
824.addressone,214 E23rd St,214 E 23rd St
120.addressone,700 ark Ave,700 Park Ave
590.city,fNew York,New York
20.url,http://www.prakersbox.com/exhibitions/current/08/EDITH_PressRelease.pdf,http://www.parkersbox.com/exhibitions/current/08/EDITH_PressRelease.pdf
916.url,http://www.gallerynetwentyeight.org/,http://www.galleryonetwentyeight.org/
849.tel,(212)633-6999,(212) 633-6999
650.addresstwo,bLby,Lbby
547.namevalue,Davizd Nolan New York,David Nolan New York
466.url,http://www.byrooklynfireproof.com/,http://www.brooklynfireproof.com/
294.namevalue,Zabriskie Gallry,Zabriskie Gallery
912.city,ew York,New York
822.addressone,7k21 5th Ave,721 5th Ave
759.namevalue,Friedmna Vallois Llc,Friedman Vallois Llc
388.tel,(212) w995-2008,(212) 995-2008
632.tel,(212) 794-2300***,(212) 794-2300
86.city,Ne wYork,New York
759.thegeom,POINT (-73.967443858732354 0.76858930269392),POINT (-73.96744385873235 40.76858930269392)
504.addresstwo,Lbbty,Lbby
534.tel,(212) 47-2220,(212) 427-2220
162.url,http://www.nyc.com/arts__attrajctions/society_for_renewal_of_christian_art.340/editorial_review.aspx,http://www.nyc.com/arts__attractions/society_for_renewal_of_christian_art.340/editorial_review.aspx
203.city,NewY ork,New York
704.city,New ork,New York
453.url,http://www.bluemountaingallery.ogr,http://www.bluemountaingallery.org
395.tel,212) 665-0549,(212) 665-0549
690.namevalue,Derek Ellre Gallery,Derek Eller Gallery
317.addressone,40 Woostekr St,40 Wooster St
265.thegeom,POINT (-73.97548939715747 40.76329173421364w),POINT (-73.97548939715747 40.76329173421364)
305.addresstwo,Lbpby,Lbby
133.addressone,210 E 65th St,120 E 65th St
812.addressone,53 W 26th St,531 W 26th St
236.tel,2(12) 594-9590,(212) 594-9590
75.namevalue,Rare art Galery,Rare art Gallery
651.city,eNw York,New York
207.url,http://www.nyc.com/arts__attractions/the_affordable_art_fair_llc.1679/editohrial_review.aspx,http://www.nyc.com/arts__attractions/the_affordable_art_fair_llc.1679/editorial_review.aspx
418.thegeom,POINT (-73.99938013572218 40.74615751459236),POINT (-73.99938013572218 40.744615751459236)
793.namevalue,Griaud Pissarro Segalot,Giraud Pissarro Segalot
872.city,New Yok,New York
540.tel,(212)h 717-6600,(212) 717-6600
731.url,http://featuerinc.com/,http://featureinc.com/
334.url,http://www.nyc.acom/arts__attractions/alan_brasington_inc.187/editorial_review.aspx,http://www.nyc.com/arts__attractions/alan_brasington_inc.187/editorial_review.aspx
572.tel,212) 535-8810,(212) 535-8810
91.namevalue,Rivington Bar &Art Gallery,Rivington Bar & Art Gallery
10.addresstwo,Lbbuy,Lbby
622.url,http://www.johnstevenson-galery.com/,http://www.johnstevenson-gallery.com/
352.url,http://www.orensazn.org/home.php,http://www.orensanz.org/home.php
346.thegeom,POINT (-73.98099223945212 40.702839860367),POINT (-73.98909223945212 40.702839860367)
86.tel,(212) b472-8787,(212) 472-8787
518.tel,(212) s517-3710,(212) 517-3710
348.tel,(212) 7373766,(212) 737-3766
541.addressone,525 W 2nd St,525 W 22nd St
390.addresstwo,Lbrby,Lbby
911.city,Boroklyn,Brooklyn
30.tel,(212) 371-116,(212) 371-1196
364.url,http://wwwl.eftlinks.org/photography/main.php,http://www.leftlinks.org/photography/main.php
169.addresstwo,jLbby,Lbby
665.namevalue,Lanotsky Gamba,Langotsky Gamba
361.thegeom,POINT (-74.00442891117446 40.7190294239962u75),POINT (-74.00442891117446 40.719029423996275)
261.url,dhttp://www.city-data.com/businesses/884092230-takashi-wada-gallery-new-york-ny.html,http://www.city-data.com/businesses/884092230-takashi-wada-gallery-new-york-ny.html
