1337.global_id,a0108i499-2e77-4079-ac2d-0bc4709465ab,a0108499-2e77-4079-ac2d-0bc4709465ab
4662.hpmsaccdesc,No Access Conrtobl,No Access Conrtol
1819.global_id,b5f1c3d6-e71e-4ec5-e87a2-857dd1732d9a,b5f1c3d6-e71e-4ec5-87a2-857dd1732d9a
1859.accctldesc,No Acess Control,No Access Control
3780.hpmsaccdesc,No Access Contol,No Access Conrtol
1063.routeid,1020494,1020944
4320.routeid,1020v816,1020816
215.towndesc,NW BRITAIN,NEW BRITAIN
2276.hpmsaccdesc,No Access Conrtlo,No Access Conrtol
369.hpmsaccdesc,No Accessc Conrtol,No Access Conrtol
4520.towndesc,WIeLTON,WILTON
624.towndesc,DANBUmRY,DANBURY
2416.accctldesc,No ccess Control,No Access Control
4628.hpmsaccdesc,No Access Conrtaol,No Access Conrtol
2719.towndesc,PERSTON,PRESTON
3344.global_id,8ba061d6-5aba-49c2-9c6b-d21c1053de9a,8ba061d6-a5ba-49c2-9c6b-d21c1053de9a
752.global_id,31df0912-3342-454b-a1c5-7bx61cb03f926,31df0912-3342-454b-a1c5-7b61cb03f926
2739.global_id,2e690151-711c-43ec-8c67-se87478da5c91,2e690151-711c-43ec-8c67-e87478da5c91
3332.global_id,9ceeb11-2fc1-4e88-a349-b1def498c183,9c1eeb11-2fc1-4e88-a349-b1def498c183
3210.routeid,4-W,84-W
3999.accctldesc,No ccess Control,No Access Control
3861.accctldesc,No Access oCntrol,No Access Control
4264.hpmsaccdesc,No Access Conrtfol,No Access Conrtol
230.towndesc,MIDDLETON,MIDDLETOWN
470.towndesc,ENFILED,ENFIELD
945.towndesc,BRIGDEPORT,BRIDGEPORT
3984.towndesc,TORRvINGTON,TORRINGTON
347.routeid,150227,1350227
4814.global_id,9edf974f-ec99-4674-adcd-38bc625b41n57,9edf974f-ec99-4674-adcd-38bc625b4157
906.routeid,f0460017,0460017
4156.global_id,e696ce5d-7861-4a87-8eb0-8b4c087a6b95,e696ce5d-7861-4a87-8eb0-8b4c08a76b95
2204.global_id,92b1a5aa-a186-44a7-8c6d-deff0c9dfd0,92b1a5aa-a186-44a7-8c6d-deff0c9d0fd0
2180.routeid,06v30424,0630424
4250.routeid,15S-,15-S
1615.accctldesc,No Accses Control,No Access Control
454.hpmsaccdesc,No AccessC onrtol,No Access Conrtol
2501.hpmsaccdesc,No Access Conrtol***,No Access Conrtol
4115.hpmsaccdesc,No Access Conrtl,No Access Conrtol
2174.towndesc,BISTOL,BRISTOL
3549.hpmsaccdesc,No Access Conrtlo,No Access Conrtol
3859.accctldesc,No Access Contorl,No Access Control
4824.accctldesc,No Acecss Control,No Access Control
2801.global_id,i8ad4a43d-1b5f-4bdc-9959-0126731ece09,8ad4a43d-1b5f-4bdc-9959-0126731ece09
1684.hpmsaccdesc,No Acess Conrtol,No Access Conrtol
3789.towndesc,EW LONDON,NEW LONDON
59.accctldesc,No Access Contrwol,No Access Control
3943.hpmsaccdesc,No Access oCnrtol,No Access Conrtol
948.towndesc,DANhBURY,DANBURY
4848.towndesc,MANrSFIELD,MANSFIELD
2326.routeid,0820039,0820093
2985.accctldesc,No Accses Control,No Access Control
2276.routeid,0r340537,0340537
4533.global_id,d9446b18-ed81-45df-a83b-8c63f8ecq5452,d9446b18-ed81-45df-a83b-8c63f8ec5452
3170.global_id,710885977-5a0-46ec-b304-38fda190dcac,71088597-75a0-46ec-b304-38fda190dcac
999.hpmsaccdesc,No Access Coknrtol,No Access Conrtol
2605.hpmsaccdesc,Partia lAccess Control,Partial Access Control
2732.towndesc,NAgUGATUCK,NAUGATUCK
3403.global_id,1fea66db-d956-4e12-95d8-18f85109f60,1fea66db-d956-4e12-95d8-18f85109f630
1226.hpmsaccdesc,oN Access Conrtol,No Access Conrtol
259.accctldesc,No Accesds Control,No Access Control
3329.accctldesc,No Acecss Control,No Access Control
2801.hpmsaccdesc,No Access Conrol,No Access Conrtol
3260.towndesc,NORWIH,NORWICH
365.global_id,14bc67cc-5b5f-4q095-8be9-ac0c44564014,14bc67cc-5b5f-4095-8be9-ac0c44564014
2227.routeid,07a50084,0750084
1033.routeid,06j30074,0630074
3998.hpmsaccdesc,No Accaess Conrtol,No Access Conrtol
2310.global_id,b6eb437b-5e0-24f50-99a7-3acc7cd351ce,b6eb437b-5e02-4f50-99a7-3acc7cd351ce
2994.towndesc,SOUTHINGTN,SOUTHINGTON
1739.accctldesc,No Acces Control,No Access Control
2470.routeid,0906188,0960188
720.global_id,776d0e3d-559c-455c-84f0-8714b86df91,776d0e3d-559c-455c-84f0-87149b86df91
4684.routeid,y0150030,0150030
3232.hpmsaccdesc,No Access Conrtl,No Access Conrtol
652.towndesc,BLOOMFIELD***,BLOOMFIELD
367.accctldesc,No Accerss Control,No Access Control
3307.routeid,40-E,490-E
41.accctldesc,No Ahccess Control,No Access Control
3380.routeid,050892,0150892
2070.global_id,ab5d814b-dc5e-45ed-8513-20820feb1da,ab5d814b-dc5e-45ed-8513-20820fe4b1da
2365.hpmsaccdesc,No Access Conrtl,No Access Conrtol
1852.towndesc,LTCHFIELD,LITCHFIELD
1201.towndesc,MIFLORD,MILFORD
2761.routeid,151244,1511244
1468.towndesc,rDANBURY,DANBURY
1601.global_id,9c393b6f-e209-46f1-804f-b952cw6692bea,9c393b6f-e209-46f1-804f-b952c6692bea
4259.accctldesc,No Accvess Control,No Access Control
3967.routeid,0170907,0170097
4487.accctldesc,No AccessControl,No Access Control
100.hpmsaccdesc,No Acces Conrtol,No Access Conrtol
1506.global_id,4f1d84e-ddee-482a-97e2-a01c8b0968b8,4f1d8e4e-ddee-482a-97e2-a01c8b0968b8
4817.towndesc,ASFORD,ASHFORD
3857.towndesc,ERLIN,BERLIN
191.accctldesc,No Access Conrtol,No Access Control
1716.routeid,0q880024R,0880024R
2073.routeid,0l590162,0590162
2511.accctldesc,oN Access Control,No Access Control
761.towndesc,WtINDSOR,WINDSOR
1395.routeid,8v35-N,835-N
3505.global_id,59680e073647-4f89-9f3e-140003461ee1,59680e07-3647-4f89-9f3e-140003461ee1
1519.accctldesc,"Full Control - Other Divided Highways, 4 ormore lanes","Full Control - Other Divided Highways, 4 or more lanes"
2089.hpmsaccdesc,No Access onrtol,No Access Conrtol
306.hpmsaccdesc,No Access Conrotl,No Access Conrtol
3410.global_id,1f4061c3-3a29-4620-aa55-x167e92de29e7,1f4061c3-3a29-4620-aa55-167e92de29e7
1914.global_id,4bb1e153-4186-4c4-8ca4-2f7a12c93551,4bb1e153-4186-4c42-8ca4-2f7a12c93551
819.towndesc,VAON,AVON
4793.routeid,0630451,0630415
995.accctldesc,No Access Cogntrol,No Access Control
2843.accctldesc,No Acces Control,No Access Control
2165.hpmsaccdesc,No Access Corntol,No Access Conrtol
1214.routeid,05005u97,0500597
3084.towndesc,ARTFORD,HARTFORD
112.global_id,82b0ed76-4d0b-437-afe4-b47ea6b9e32d,82b0ed76-4d0b-4376-afe4-b47ea6b9e32d
2950.routeid,1260217,1260271
325.accctldesc,No Access Cnotrol,No Access Control
2321.accctldesc,NoAccess Control,No Access Control
2118.routeid,090180,0590180
720.hpmsaccdesc,Fuull Access Control,Full Access Control
91.hpmsaccdesc,No ccess Conrtol,No Access Conrtol
2954.global_id,c36305cc-6c0-d4228-9688-aa74fe13820b,c36305cc-6c0d-4228-9688-aa74fe13820b
2523.accctldesc,No Access Control***,No Access Control
2020.routeid,1100046,1100064
2542.accctldesc,No Accwess Control,No Access Control
1521.global_id,410df30b-fb69-45be-aa33-e7c3a7a5e37f,410d3f0b-fb69-45be-aa33-e7c3a7a5e37f
2258.global_id,ee755c45-9da14-59a-9d45-b490364a8f8a,ee755c45-9da1-459a-9d45-b490364a8f8a
596.routeid,t71-N,71-N
1534.hpmsaccdesc,No Access Conrtol***,No Access Conrtol
4534.hpmsaccdesc,No Access oCnrtol,No Access Conrtol
2345.global_id,34ad666b-f553-41e0-b593-ve9305c424fa1,34ad666b-f553-41e0-b593-e9305c424fa1
4682.hpmsaccdesc,No Access Corntol,No Access Conrtol
4700.towndesc,SHELjTON,SHELTON
4642.hpmsaccdesc,No Acess Conrtol,No Access Conrtol
2971.accctldesc,No Access Contnrol,No Access Control
811.hpmsaccdesc,N Access Conrtol,No Access Conrtol
4846.towndesc,OCKY HILL,ROCKY HILL
3870.accctldesc,No Access Corntrol,No Access Control
3199.routeid,319x-E,319-E
1129.hpmsaccdesc,No cAcess Conrtol,No Access Conrtol
76.accctldesc,No Access Cnotrol,No Access Control
1731.routeid,1300187,1300178
362.global_id,b7b4eddd-b9c5-4931-99e5-00f1u16d1c5cf,b7b4eddd-b9c5-4931-99e5-00f116d1c5cf
644.towndesc,BERILN,BERLIN
3410.hpmsaccdesc,N oAccess Conrtol,No Access Conrtol
3492.routeid,131010,1310160
1539.accctldesc,Nso Access Control,No Access Control
2722.hpmsaccdesc,No Access Conrtol***,No Access Conrtol
1523.hpmsaccdesc,No Acecss Conrtol,No Access Conrtol
1063.global_id,3ac6d501-e466-4a5b-be61-87c5c3bd5f4ad,3ac6d501-e466-4a5b-be61-87c5c3d5f4ad
3081.towndesc,AWLLINGFORD,WALLINGFORD
949.global_id,60d95d55-596f-483b-bc61-049df3fc21614,60d95d55-596f-483b-bc61-049d3fc21614
4326.towndesc,STAMFRD,STAMFORD
1861.accctldesc,No Access Controjl,No Access Control
376.routeid,4180234,1480234
4120.routeid,85S,85-S
4538.towndesc,WEST HARTFOD,WEST HARTFORD
1854.routeid,0s760030,0760030
1462.towndesc,HDADAM,HADDAM
2203.hpmsaccdesc,No Access Conrol,No Access Conrtol
744.routeid,850-N,805-N
4134.routeid,0603292,0630292
1978.global_id,3bb07013-21c1-43eb-8371-aef156d3b3a7,b3b07013-21c1-43eb-8371-aef156d3b3a7
3018.global_id,969fcfab-8307-4ae6-8360-4b9f79dece7c,969fcfab-8307-4ae6-8360-4b9f7d9ece7c
2502.routeid,1N,1-N
96.routeid,040217,0440217
4856.routeid,61t4-N,614-N
1855.routeid,070070R,0760070R
278.routeid,0891042,0890142
3072.hpmsaccdesc,No ccess Conrtol,No Access Conrtol
1414.global_id,f7f5847a-37af-643d-ba35-f9b570484037,f7f5847a-37af-463d-ba35-f9b570484037
4424.hpmsaccdesc,No Accesis Conrtol,No Access Conrtol
4821.routeid,040602,0340602
3066.global_id,4b295eeb-1a9a-4944-8152-58f96d666ga7e,4b295eeb-1a9a-4944-8152-58f96d666a7e
729.routeid,5190262,1590262
170.routeid,073005x9,0730059
2998.accctldesc,zNo Access Control,No Access Control
2939.hpmsaccdesc,No Access Corntol,No Access Conrtol
3837.towndesc,ESAT LYME,EAST LYME
4839.towndesc,VERNN,VERNON
1863.accctldesc,No Access Contrl,No Access Control
175.routeid,q0760279,0760279
1570.routeid,7-sN,7-N
4766.accctldesc,No Access Control***,No Access Control
1288.accctldesc,No Access Contropl,No Access Control
1769.routeid,0920235,0920325
4338.routeid,44h-E,44-E
3198.global_id,cd33y1286-ce05-40c4-b8b7-7eff5611fda6,cd331286-ce05-40c4-b8b7-7eff5611fda6
4251.global_id,74017126-71d6-49f-92a8-1a038e2d0fc0,74017126-71d6-49fb-92a8-1a038e2d0fc0
4236.global_id,6c39969d-a5fd-4ea0-8867-750b1b6712e6,6c39996d-a5fd-4ea0-8867-750b1b6712e6
404.accctldesc,No Accesgs Control,No Access Control
128.global_id,05a7f0b6-ff2d-4f83-9cd4-d26853da6j832,05a7f0b6-ff2d-4f83-9cd4-d26853da6832
1562.routeid,u0490083,0490083
1940.hpmsaccdesc,No Acces sConrtol,No Access Conrtol
2093.routeid,1x280065,1280065
1349.routeid,1S,1-S
957.towndesc,BRlOOKFIELD,BROOKFIELD
677.hpmsaccdesc,Full Access Cocntrol,Full Access Control
715.accctldesc,No Access Conrol,No Access Control
1162.towndesc,PUTAM,PUTNAM
1306.towndesc,WATRBURY,WATERBURY
3734.towndesc,MIDDLETWON,MIDDLETOWN
4197.global_id,41f50cf2-eee44615-9863-39be8bb8863c,41f50cf2-eee4-4615-9863-39be8bb8863c
348.towndesc,STAMFODR,STAMFORD
3107.towndesc,KILLINGYL,KILLINGLY
2562.towndesc,STRATFRD,STRATFORD
1195.hpmsaccdesc,No Acess Conrtol,No Access Conrtol
897.routeid,6x6-E,66-E
4418.hpmsaccdesc,No Acess Conrtol,No Access Conrtol
1866.towndesc,STRmATFORD,STRATFORD
4245.towndesc,EAST HRATFORD,EAST HARTFORD
1367.routeid,060226,0610226
1863.routeid,-N,1-N
1895.towndesc,FARFIELD,FAIRFIELD
1514.hpmsaccdesc,N oAccess Conrtol,No Access Conrtol
2857.hpmsaccdesc,No Access aConrtol,No Access Conrtol
285.hpmsaccdesc,Nao Access Conrtol,No Access Conrtol
4383.towndesc,WETEHRSFIELD,WETHERSFIELD
4511.routeid,0n390072,0390072
1368.towndesc,HAMDvEN,HAMDEN
1183.towndesc,RIDGEFIELnD,RIDGEFIELD
261.accctldesc,No Accss Control,No Access Control
692.towndesc,WiEST HAVEN,WEST HAVEN
728.global_id,e7ae2f38-2412-4205-bbfdh-3e5eb3c698d3,e7ae2f38-2412-4205-bbfd-3e5eb3c698d3
2137.global_id,c4f05717d-77d7-4008-b92f-9f3ec00fb201,c405717d-77d7-4008-b92f-9f3ec00fb201
2704.routeid,5-S,15-S
556.hpmsaccdesc,No cAcess Conrtol,No Access Conrtol
1557.routeid,6n93-S,693-S
464.hpmsaccdesc,ull Access Control,Full Access Control
3204.global_id,52a46fce-9f2-4a5c-821b-53bffd93c9d6,52a46fce-99f2-4a5c-821b-53bffd93c9d6
3079.accctldesc,No Access Cwontrol,No Access Control
903.hpmsaccdesc,No Access Contol,No Access Conrtol
2860.accctldesc,No Acceshs Control,No Access Control
3490.global_id,79fc8148-7332-47f9-9e85-52181c258f34,79fc8148-7332-47f9-9e85-52118c258f34
4621.towndesc,FAIRFIEDL,FAIRFIELD
3861.towndesc,POMFRTE,POMFRET
2015.routeid,18-N,187-N
2142.global_id,00ee675-d097-4266-a533-2a0f9d0f042b,00ee6e75-d097-4266-a533-2a0f9d0f042b
1777.global_id,3868928e-53fa-4980-8529-3d2b5b905958,3868928e-35fa-4980-8529-3d2b5b905958
1646.routeid,7-N,77-N
1925.towndesc,BLOOMaFIELD,BLOOMFIELD
1909.towndesc,MEIRDEN,MERIDEN
3183.hpmsaccdesc,No Access Conrtlo,No Access Conrtol
4554.towndesc,EATS HARTFORD,EAST HARTFORD
1980.towndesc,OL LYME,OLD LYME
176.hpmsaccdesc,No Access Cortol,No Access Conrtol
1721.routeid,80E,80-E
3094.global_id,194be351-7404-432e-9be3-1520c2093cd1,194be351-7044-432e-9be3-1520c2093cd1
4280.accctldesc,No Accessz Control,No Access Control
427.routeid,155004n2,1550042
2106.accctldesc,No ccess Control,No Access Control
360.towndesc,STAMFOlRD,STAMFORD
4296.routeid,128-W,218-W
3437.accctldesc,"Full Control - Other Divided Highways, 4 or morel anes","Full Control - Other Divided Highways, 4 or more lanes"
3858.towndesc,FArIRFIELD,FAIRFIELD
2502.hpmsaccdesc,No Acces Conrtol,No Access Conrtol
3889.global_id,c7f54d8c-de76-46f-9406-91d1bba4f28d,c7f54d8c-de76-496f-9406-91d1bba4f28d
295.global_id,681c16cd-dbd6-47a2-b26b-2ca3507bt6b59,681c16cd-dbd6-47a2-b26b-2ca3507b6b59
548.hpmsaccdesc,No Access Conrtl,No Access Conrtol
4350.towndesc,STAFMORD,STAMFORD
1606.routeid,053102,0530102
357.routeid,150409,1350409
4451.hpmsaccdesc,No Access vConrtol,No Access Conrtol
528.towndesc,THOMaPSON,THOMPSON
1888.accctldesc,No Access Conterol,No Access Control
4549.global_id,ce00dcd-1da4-4ddc-946a-76c1f8775a0a,6ce00dcd-1da4-4ddc-946a-76c1f8775a0a
4101.towndesc,DANBRUY,DANBURY
4446.global_id,7d6c76c-5dc6-4d99-bf67-d09b4817f977,79d6c76c-5dc6-4d99-bf67-d09b4817f977
1662.towndesc,HAMDvEN,HAMDEN
2298.accctldesc,No Access Contrlo,No Access Control
3403.hpmsaccdesc,No Access Cnrtol,No Access Conrtol
4717.routeid,0830938,0830983
837.accctldesc,o Access Control,No Access Control
110.accctldesc,iNo Access Control,No Access Control
2401.hpmsaccdesc,No Access Conrtonl,No Access Conrtol
1251.towndesc,cSEYMOUR,SEYMOUR
4625.hpmsaccdesc,oN Access Conrtol,No Access Conrtol
396.routeid,5110528,1510528
474.hpmsaccdesc,No Access Contol,No Access Conrtol
3605.routeid,138E-,138-E
3829.accctldesc,No Acces Control,No Access Control
202.hpmsaccdesc,No Acces Conrtol,No Access Conrtol
1352.accctldesc,No Acces Control,No Access Control
3754.accctldesc,Ffull Control Parkways,Full Control Parkways
2074.accctldesc,No Access Contol,No Access Control
1426.towndesc,CLINTNO,CLINTON
1872.routeid,0i760314,0760314
4901.hpmsaccdesc,Full Access Contorl,Full Access Control
4528.towndesc,WATRBURY,WATERBURY
4663.routeid,0090057***,0090057
4172.hpmsaccdesc,Fqull Access Control,Full Access Control
3494.hpmsaccdesc,No Accss Conrtol,No Access Conrtol
194.routeid,630335,0630335
645.routeid,080005,0080005
121.towndesc,GREEWNICH,GREENWICH
978.hpmsaccdesc,No Access Coqnrtol,No Access Conrtol
522.routeid,534-E,354-E
3582.towndesc,ORWALK,NORWALK
4772.accctldesc,No Accses Control,No Access Control
4435.hpmsaccdesc,No Access hConrtol,No Access Conrtol
4639.global_id,ee17388-fbc5-42ff-b943-ea9869378ab1,ee175388-fbc5-42ff-b943-ea9869378ab1
2624.global_id,a6271910-f9fe-4efb-811b-e805e1ce9cfda,a6271910-f9fe-4efb-811b-805e1ce9cfda
1341.accctldesc,No Access Contrl,No Access Control
583.towndesc,MIDDEFIELD,MIDDLEFIELD
2200.global_id,cedb0ea3-b30e-4e6fb540-4e4c9ca856e8,cedb0ea3-b30e-4e6f-b540-4e4c9ca856e8
4285.towndesc,ATERFORD,WATERFORD
1660.routeid,0601142,0610142
2372.towndesc,MOROE,MONROE
3372.routeid,13-S,183-S
4020.hpmsaccdesc,Full Access ontrol,Full Access Control
1658.routeid,0610402,0610042
2164.routeid,063008,0630408
154.hpmsaccdesc,NoA ccess Conrtol,No Access Conrtol
2683.global_id,6297553f-3244-4d5b-a656-624123pff3acf,6297553f-3244-4d5b-a656-624123ff3acf
1692.routeid,v8-S,8-S
1676.hpmsaccdesc,No Acciess Conrtol,No Access Conrtol
1068.routeid,j1340089,1340089
421.hpmsaccdesc,No Accss Conrtol,No Access Conrtol
241.hpmsaccdesc,No aAccess Conrtol,No Access Conrtol
818.global_id,f6b9d621-1ea8-m4a67-89a3-82aa4e270f79,f6b9d621-1ea8-4a67-89a3-82aa4e270f79
3216.hpmsaccdesc,No Access Conrtlo,No Access Conrtol
1120.accctldesc,No Access Contrlo,No Access Control
4030.global_id,5348ccf0-0846-47f8-8fcb-44d1fa1a7573f,5348ccf0-0846-47f8-8fcb-44d1fa17573f
4283.hpmsaccdesc,No Acceass Conrtol,No Access Conrtol
1942.routeid,1010201,1010021
700.global_id,8551e2bf-cx3b7-492e-a7e7-1ef1aa0cebf0,8551e2bf-c3b7-492e-a7e7-1ef1aa0cebf0
271.hpmsaccdesc,No Acecss Conrtol,No Access Conrtol
440.accctldesc,No Achcess Control,No Access Control
1786.accctldesc,Noo Access Control,No Access Control
819.routeid,o177-N,177-N
4316.accctldesc,No Acess Control,No Access Control
138.routeid,060102,0610102
4013.global_id,c05ie5084-66b4-4dac-ae56-95b51156a0a7,c05e5084-66b4-4dac-ae56-95b51156a0a7
3425.routeid,002017f7,0020177
2781.routeid,128099,1280099
4491.global_id,b3c4bfa3-6347-4b55-a738-4a2df7c8dba,b3c4bfa3-6347-4b55-a738-4a2fdf7c8dba
2057.global_id,1fdef27e-96ec-45e7-8761-0786cce0258e,1fdef27e-96ec-45e7-8761-0876cce0258e
4789.global_id,95548f9a-c574-47b3-a610-eb5b32a96e08,59548f9a-c574-47b3-a610-eb5b32a96e08
3975.towndesc,NORTH STONINGOTN,NORTH STONINGTON
699.hpmsaccdesc,No Accesxs Conrtol,No Access Conrtol
4838.hpmsaccdesc,Partial Acceess Control,Partial Access Control
2472.hpmsaccdesc,No Access Conrtlo,No Access Conrtol
1894.towndesc,FAIjRFIELD,FAIRFIELD
605.towndesc,OLTON,BOLTON
2049.routeid,1z150125,1150125
3668.towndesc,NAUGAtTUCK,NAUGATUCK
2407.towndesc,BETHLE,BETHEL
3436.global_id,8eaaa59-4d54-4333-b932-640ba3cfcc13,8eaaa589-4d54-4333-b932-640ba3cfcc13
1730.global_id,4573610fo-0571-4dd9-8627-a86fbd635ce1,4573610f-0571-4dd9-8627-a86fbd635ce1
1209.hpmsaccdesc,No Accses Conrtol,No Access Conrtol
3328.global_id,4b01bd74-089a-48a6-9a7e-a9f0eaefc77e,4b01bd74-089a-48a6-9ae7-a9f0eaefc77e
4404.towndesc,WINCHEnSTER,WINCHESTER
4091.towndesc,WbINDSOR LOCKS,WINDSOR LOCKS
3467.hpmsaccdesc,No Access Conrvtol,No Access Conrtol
542.global_id,794e5e52-14e4-465-ae95-94da2e49d542,794e5e52-14e4-4865-ae95-94da2e49d542
2343.global_id,6581892f-cbcd-4a5e-b44a-o1dbe398de001,6581892f-cbcd-4a5e-b44a-1dbe398de001
3455.routeid,5110513,1510513
4546.towndesc,EeSSEX,ESSEX
419.global_id,0rd2e55c1-bab3-41f0-a24a-0c1a8c4716e1,0d2e55c1-bab3-41f0-a24a-0c1a8c4716e1
3867.towndesc,ENFIEoLD,ENFIELD
3883.global_id,eb3251f6-f8d4-456a-92dc-92d4723af720,eb3251f6-f8d4-456a-92dc-924d723af720
3835.routeid,k372-E,372-E
905.hpmsaccdesc,No Acceshs Conrtol,No Access Conrtol
2747.towndesc,WINCHESTRE,WINCHESTER
3836.routeid,9-N,39-N
349.towndesc,STAMFODR,STAMFORD
4616.global_id,4780adf5-0eae-4cf6-ae95-cf568aa95d3j4,4780adf5-0eae-4cf6-ae95-cf568aa95d34
3294.towndesc,TOLwLAND,TOLLAND
1094.hpmsaccdesc,No Acccess Conrtol,No Access Conrtol
1772.global_id,81e85df1-bcd6-400-9ff7-546af4b0334d,81e85df1-bcd6-4000-9ff7-546af4b0334d
1594.routeid,t700-W,700-W
62.accctldesc,No Access ontrol,No Access Control
1620.towndesc,SOUT WINDSOR,SOUTH WINDSOR
1326.global_id,dcc35337-294-4bd3-9451-4b6afa5cef4c,dcc35337-294d-4bd3-9451-4b6afa5cef4c
4166.hpmsaccdesc,o Access Conrtol,No Access Conrtol
4073.global_id,5a1d2a2-aae5-4fea-a7c7-f0384fc4efc8,5a1d2a62-aae5-4fea-a7c7-f0384fc4efc8
3.hpmsaccdesc,No Access Conrtol***,No Access Conrtol
3938.accctldesc,No Access gControl,No Access Control
4151.hpmsaccdesc,Full AccessC ontrol,Full Access Control
3644.global_id,471eae5f-ad1e-4546-8302-60999e60b9d,471eae5f-ad1e-4546-8302-60999ec60b9d
3891.hpmsaccdesc,No Acess Conrtol,No Access Conrtol
2347.towndesc,MILFRD,MILFORD
4857.hpmsaccdesc,No AccessConrtol,No Access Conrtol
2218.accctldesc,"Full Cozntrol - Other Divided Highways, 4 or more lanes","Full Control - Other Divided Highways, 4 or more lanes"
633.routeid,63-iN,63-N
2399.global_id,6f55ecd6-95e2-402b-9a6c-203187faf1c2,6f55ecd6-95e2-402b-9a6c-203187faf12c
1842.global_id,861ae6e8-9ab7-4d1c-8440-9134d8528957,861ae6e8-9ab7-4d1c-8440-9134d8528975
1597.routeid,72-aN,72-N
3666.accctldesc,No AccessControl,No Access Control
1799.accctldesc,No Afccess Control,No Access Control
1444.towndesc,COLCHETSER,COLCHESTER
4451.towndesc,SMOERS,SOMERS
153.accctldesc,No Acces Control,No Access Control
3506.towndesc,WATERFORxD,WATERFORD
2521.towndesc,NE WHAVEN,NEW HAVEN
2244.towndesc,CHEqSTER,CHESTER
1221.global_id,c0e0dab0-18a0-4042-94ac-aa3a52a1fc65,c0e0dab0-18a0-4042-94ac-aa35a2a1fc65
4895.accctldesc,oN Access Control,No Access Control
484.routeid,140101R,1640101R
2562.accctldesc,No Acecss Control,No Access Control
2570.towndesc,NORWLAK,NORWALK
4579.global_id,edf0d86-b701-4ec2-b4e3-04542da6b867,1edf0d86-b701-4ec2-b4e3-04542da6b867
1014.hpmsaccdesc,No Access onrtol,No Access Conrtol
1766.towndesc,HARTFOD,HARTFORD
4180.routeid,4060045,0460045
4438.towndesc,TORRINGTN,TORRINGTON
3980.hpmsaccdesc,Full Access Contxrol,Full Access Control
3706.hpmsaccdesc,No Accss Conrtol,No Access Conrtol
1479.routeid,53-pN,53-N
1367.accctldesc,No Access Cjontrol,No Access Control
1796.global_id,74f32110-b7dw3-4b88-96cb-b9729716292e,74f32110-b7d3-4b88-96cb-b9729716292e
4254.towndesc,NORWIH,NORWICH
3802.routeid,87-N,187-N
1691.accctldesc,Noq Access Control,No Access Control
1250.towndesc,SEYdMOUR,SEYMOUR
