uniqueid,indicatorid,name,measure,measure_info,geo_type_name,geo_joinid,geo_place_name,time_period,start_date,data_value,message
164879,386,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,102,Northeast Bronx,Winter 2008-09,01/01/2013,2.2,NULL
219970,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,103,Fordham - Bronx Pk,2005-2007,01/01/2013,24.5,NULL
164880,386,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,104,Pelham - Throgs Neck,Summer 2014,01/01/2013,4.4,NULL
130364,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,105,Crotona -Tremont,2013,01/01/2013,16.9,NULL
219970,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,106,High Bridge - Morrisania,Winter 2008-09,01/01/2013,19.7,NULL
164930,386,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,107,Hunts Point - Mott Haven,Winter 2009-10,01/01/2013,3.3,NULL
164930,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,201,Bronx,2013,01/01/2013,0.4,NULL
130358,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,202,Downtown - Heights - Slope,2005-2007,01/01/2013,0.8,NULL
216499,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,203,Coney Island (CD13),2005-2007,01/01/2013,0.9,NULL
216499,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,204,East New York,2013,01/01/2013,0.1,NULL
130384,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,205,Sunset Park,2013,01/01/2013,0.1,NULL
219970,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,206,Borough Park,Winter 2008-09,01/01/2013,1.5,NULL
164877,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,207,East Flatbush - Flatbush,Winter 2008-09,01/01/2013,2.3,NULL
216499,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,208,Canarsie - Flatlands,Winter 2008-09,01/01/2013,0.0,NULL
216499,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,209,Bensonhurst - Bay Ridge,2013,01/01/2013,1.7,NULL
130369,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,210,Bronx,2013,01/01/2013,0.9,NULL
216499,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,211,Williamsburg - Bushwick,Winter 2008-09,01/01/2013,0.3,NULL
219969,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,301,Washington Heights,2013,01/01/2013,51.0,NULL
216499,386,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,302,Central Harlem - Morningside Heights,2005-2007,01/01/2013,15.7,NULL
216499,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,303,East Harlem,Summer 2014,01/01/2013,11.6,NULL
164876,386,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,304,Upper West Side,2013,01/01/2013,99.7,NULL
219971,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,305,Upper East Side,2005-2007,01/01/2013,95.0,NULL
219969,386,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,306,Chelsea - Clinton,2013,01/01/2013,67.4,NULL
164879,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,307,Gramercy Park - Murray Hill,2013,01/01/2013,78.8,NULL
216499,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,308,Greenwich Village - SoHo,2013,01/01/2013,32.9,NULL
219970,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,309,Bronx,2013,01/01/2013,24.9,NULL
164880,386,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,310,Lower Manhattan,2013,01/01/2013,13.7,NULL
164930,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,401,Bronx,2013,01/01/2013,6.7,NULL
216499,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,402,Coney Island (CD13),2013,01/01/2013,2.3,NULL
216499,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,403,Flushing - Clearview,2013,01/01/2013,5.1,NULL
216498,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,404,Bayside - Little Neck,2013,01/01/2013,1.6,NULL
164881,386,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,405,Ridgewood - Forest Hills,2013,01/01/2013,2.7,NULL
216499,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,406,Coney Island (CD13),2013,01/01/2013,4.3,NULL
130384,386,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,407,Southwest Queens,2013,01/01/2013,0.8,NULL
164883,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,408,Jamaica,2013,01/01/2013,0.5,NULL
164879,386,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,409,Southeast Queens,2013,01/01/2013,0.3,NULL
216498,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,410,Rockaways,2013,01/01/2013,0.0,NULL
164876,386,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,501,Port Richmond,2013,01/01/2013,0.0,NULL
219970,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,502,Stapleton - St. George,2013,01/01/2013,0.4,NULL
219972,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,503,Willowbrook,2013,01/01/2013,0.0,NULL
216499,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,504,South Beach - Tottenville,2013,01/01/2013,0.0,NULL
216498,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Citywide,1,New York City,2013,01/01/2013,6.1,NULL
130384,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,1,Bronx,2013,01/01/2013,10.3,NULL
219970,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,2,Brooklyn,2013,01/01/2013,0.8,NULL
130364,386,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,3,Bronx,2013,01/01/2013,50.6,NULL
164879,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,4,Queens,2013,01/01/2013,2.2,NULL
216499,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,5,Staten Island,2013,01/01/2013,0.1,NULL
130364,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,101,Kingsbridge - Riverdale,2013,01/01/2013,2.0,NULL
164879,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,102,Northeast Bronx,2013,01/01/2013,0.3,NULL
164876,386,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,103,Fordham - Bronx Pk,2013,01/01/2013,3.0,NULL
130364,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,104,Pelham - Throgs Neck,2013,01/01/2013,0.5,NULL
216498,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,105,Crotona -Tremont,2013,01/01/2013,2.0,NULL
164877,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,106,High Bridge - Morrisania,2013,01/01/2013,2.4,NULL
216499,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,107,Hunts Point - Mott Haven,2013,01/01/2013,0.4,NULL
216499,386,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,201,Greenpoint,2013,01/01/2013,0.1,NULL
219970,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,202,Downtown - Heights - Slope,2013,01/01/2013,0.1,NULL
130454,386,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,203,Bedford Stuyvesant - Crown Heights,2013,01/01/2013,0.1,NULL
219972,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,204,East New York,2013,01/01/2013,0.0,NULL
164877,386,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,205,Sunset Park,2013,01/01/2013,0.0,NULL
164877,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,206,Borough Park,2013,01/01/2013,0.2,NULL
219972,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,207,East Flatbush - Flatbush,2013,01/01/2013,0.3,NULL
130459,386,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,208,Canarsie - Flatlands,2013,01/01/2013,0.0,NULL
219969,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,209,Bensonhurst - Bay Ridge,2013,01/01/2013,0.2,NULL
164876,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,210,Coney Island - Sheepshead Bay,2013,01/01/2013,0.1,NULL
130462,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,211,Williamsburg - Bushwick,2013,01/01/2013,0.1,NULL
219972,386,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,301,Washington Heights,2013,01/01/2013,5.8,NULL
216499,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,302,Central Harlem - Morningside Heights,2013,01/01/2013,2.0,NULL
130465,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,303,East Harlem,2013,01/01/2013,1.3,NULL
219970,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,304,Upper West Side,2013,01/01/2013,11.4,NULL
130467,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,305,Upper East Side,2013,01/01/2013,10.8,NULL
164877,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,306,Chelsea - Clinton,2013,01/01/2013,7.7,NULL
164877,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,307,Bronx,2013,01/01/2013,9.0,NULL
219972,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,308,Greenwich Village - SoHo,2013,01/01/2013,4.1,NULL
164877,386,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,309,Union Square - Lower East Side,2013,01/01/2013,3.0,NULL
219970,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,310,Lower Manhattan,2013,01/01/2013,1.7,NULL
130473,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,401,Long Island City - Astoria,2013,01/01/2013,0.8,NULL
130474,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,402,Bronx,2013,01/01/2013,0.3,NULL
219971,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,403,Flushing - Clearview,2013,01/01/2013,0.6,NULL
219970,386,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,404,Bronx,2013,01/01/2013,0.2,NULL
216499,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,405,Ridgewood - Forest Hills,2013,01/01/2013,0.3,NULL
130478,386,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,406,Fresh Meadows,2013,01/01/2013,0.5,NULL
216499,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,407,Southwest Queens,2013,01/01/2013,0.1,NULL
164876,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,408,Jamaica,2013,01/01/2013,0.1,NULL
219969,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,409,Southeast Queens,2013,01/01/2013,0.0,NULL
130358,386,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,410,Rockaways,2013,01/01/2013,0.0,NULL
219969,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,501,Port Richmond,2013,01/01/2013,0.0,NULL
216499,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,502,Stapleton - St. George,2013,01/01/2013,0.0,NULL
219971,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,503,Willowbrook,2013,01/01/2013,0.0,NULL
219970,386,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,504,South Beach - Tottenville,2013,01/01/2013,0.0,NULL
130487,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Citywide,1,New York City,2013,01/01/2013,0.7,NULL
130488,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,1,Bronx,2013,01/01/2013,1.2,NULL
130489,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,2,Brooklyn,2013,01/01/2013,0.1,NULL
219969,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,3,Manhattan,2013,01/01/2013,5.9,NULL
130491,386,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,4,Queens,2013,01/01/2013,0.3,NULL
130492,386,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,5,Staten Island,2013,01/01/2013,0.0,NULL
164880,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,101,Kingsbridge - Riverdale,2013,01/01/2013,42.5,NULL
130364,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,102,Bronx,2013,01/01/2013,33.8,NULL
130369,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,103,Fordham - Bronx Pk,2013,01/01/2013,71.0,NULL
219969,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,104,Pelham - Throgs Neck,2013,01/01/2013,24.9,NULL
164881,386,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,105,Crotona -Tremont,2013,01/01/2013,62.5,NULL
219969,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,106,Bronx,2013,01/01/2013,78.0,NULL
216498,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,107,Bronx,2013,01/01/2013,36.8,NULL
130358,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,201,Greenpoint,2013,01/01/2013,18.9,NULL
130369,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,202,Downtown - Heights - Slope,2013,01/01/2013,32.0,NULL
219969,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,203,Bedford Stuyvesant - Crown Heights,2013,01/01/2013,31.7,NULL
130503,386,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,204,Bronx,2013,01/01/2013,14.7,NULL
130504,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,205,Sunset Park,2013,01/01/2013,13.4,NULL
130505,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,206,Coney Island (CD13),2013,01/01/2013,34.8,NULL
219969,386,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,207,East Flatbush - Flatbush,2013,01/01/2013,33.5,NULL
219969,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,208,Canarsie - Flatlands,2013,01/01/2013,6.7,NULL
164876,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,209,Bensonhurst - Bay Ridge,2013,01/01/2013,26.5,NULL
219969,386,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,210,Coney Island - Sheepshead Bay,2013,01/01/2013,23.7,NULL
216499,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,211,Williamsburg - Bushwick,2013,01/01/2013,27.8,NULL
219969,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,301,Washington Heights,2013,01/01/2013,115.3,NULL
164883,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,302,Bronx,2013,01/01/2013,82.1,NULL
164881,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,303,East Harlem,2013,01/01/2013,55.8,NULL
130369,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,304,Upper West Side,2013,01/01/2013,247.9,NULL
216499,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,305,Upper East Side,2013,01/01/2013,269.8,NULL
219970,386,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,306,Coney Island (CD13),2013,01/01/2013,204.8,NULL
130384,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,307,Gramercy Park - Murray Hill,2013,01/01/2013,284.7,NULL
130518,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,308,Greenwich Village - SoHo,2013,01/01/2013,132.5,NULL
