gross,net,conventional_accounting,economic_sector,sector,category,sub_category_one,sub_category_two,sub_category_three,year,gas,mtco_twoear_five_two_zeroyr,mtco_twoear_four_one_zero_zeroyr
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2017,CO2,-24450000,-24450000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2018,CO2,-24190000,-24190000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2019,CO2,-23930000,-23930000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2015,CO2,-4110000,-4110000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2014,CO2,-4100000,-4100000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2016,CO2,-4090000,-4090000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2017,CO2,-4090000,-4090000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2018,CO2,-4090000,-4090000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2019,CO2,-4090000,-4090000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2013,CO2,-4070000,-4070000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2011,CO2,-4030000,-4030000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2012,CO2,-4030000,-4030000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2010,CO2,-4010000,-4010000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2009,CO2,-3980000,-3980000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2008,CO2,-3970000,-3970000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2007,CO2,-3950000,-3950000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2006,CO2,-3930000,-3930000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2005,CO2,-3910000,-3910000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2004,CO2,-3880000,-3880000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2003,CO2,-3850000,-3850000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2002,CO2,-3830000,-3830000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2001,CO2,-3810000,-3810000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2000,CO2,-3780000,-3780000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,1999,CO2,-3760000,-3760000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,1998,CO2,-3750000,-3750000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,1997,CO2,-3730000,-3730000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,1996,CO2,-3690000,-3690000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,1995,CO2,-3660000,-3660000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,1994,CO2,-3610000,-3610000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,1993,CO2,-3580000,-3580000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,1992,CO2,-3550000,-3550000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,1991,CO2,-3540000,-3540000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,1990,CO2,-3520000,-3520000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,1990,CO2,-2160000,-2160000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,1991,CO2,-2160000,-2160000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,1992,CO2,-2160000,-2160000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,1993,CO2,-2160000,-2160000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,1994,CO2,-2160000,-2160000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,1995,CO2,-2150000,-2150000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,1996,CO2,-2150000,-2150000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,1997,CO2,-2140000,-2140000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,1998,CO2,-2140000,-2140000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,1999,CO2,-2130000,-2130000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2000,CO2,-2130000,-2130000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2001,CO2,-2130000,-2130000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2002,CO2,-2130000,-2130000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2003,CO2,-2130000,-2130000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2004,CO2,-2130000,-2130000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2005,CO2,-2130000,-2130000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2006,CO2,-2130000,-2130000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2007,CO2,-2120000,-2120000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2008,CO2,-2120000,-2120000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2009,CO2,-2110000,-2110000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2010,CO2,-2110000,-2110000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2011,CO2,-2100000,-2100000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2012,CO2,-2090000,-2090000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2013,CO2,-2080000,-2080000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2014,CO2,-2080000,-2080000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2015,CO2,-2080000,-2080000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2016,CO2,-2080000,-2080000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2017,CO2,-2080000,-2080000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2018,CO2,-2080000,-2080000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2019,CO2,-2080000,-2080000
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,1990,CH4,11666172,3472075
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,1991,CH4,11715228,3486675
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,1992,CH4,11835264,3522400
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,1993,CH4,11749668,3496925
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,1994,CH4,11517828,3427925
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,1995,CH4,11394096,3391100
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,1996,CH4,11500608,3422800
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,1997,CH4,11579652,3446325
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,1998,CH4,11678436,3475725
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,1999,CH4,11726568,3490050
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2000,CH4,11746308,3495925
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2001,CH4,11317740,3368375
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2002,CH4,11582844,3447275
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2003,CH4,11835012,3522325
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2004,CH4,11624928,3459800
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2005,CH4,11340252,3375075
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2006,CH4,11352012,3378575
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2007,CH4,11425092,3400325
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2008,CH4,11622156,3458975
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2009,CH4,11387460,3389125
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2010,CH4,11567724,3442775
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2011,CH4,11596872,3451450
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2012,CH4,11747568,3496300
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2013,CH4,11810148,3514925
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2014,CH4,12149592,3615950
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2019,CO2,-1313861,-1313861
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2015,CH4,13058808,3886550
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2018,CO2,-1301156,-1301156
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2016,CH4,13377756,3981475
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2017,CO2,-1288452,-1288452
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2017,CH4,13625808,4055300
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2016,CO2,-1275747,-1275747
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2015,CO2,-1263043,-1263043
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2014,CO2,-1250338,-1250338
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2013,CO2,-1237634,-1237634
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2012,CO2,-1224929,-1224929
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2011,CO2,-1212225,-1212225
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2018,CH4,13522656,4024600
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2001,CO2,-1183398,-1183398
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2000,CO2,-1183047,-1183047
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),1999,CO2,-1182695,-1182695
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),1998,CO2,-1182343,-1182343
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),1997,CO2,-1181992,-1181992
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),1990,CO2,-1180084,-1180084
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),1991,CO2,-1180084,-1180084
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),1992,CO2,-1180084,-1180084
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),1993,CO2,-1180084,-1180084
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),1994,CO2,-1180084,-1180084
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),1995,CO2,-1180084,-1180084
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),1996,CO2,-1180084,-1180084
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2002,CO2,-1174126,-1174126
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2003,CO2,-1172704,-1172704
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2004,CO2,-1171282,-1171282
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2005,CO2,-1169860,-1169860
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2006,CO2,-1168437,-1168437
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2019,CH4,13415808,3992800
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2007,CO2,-1132090,-1132090
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2008,CO2,-1124231,-1124231
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2009,CO2,-1116372,-1116372
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2010,CO2,-1108513,-1108513
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2001,CO2,-85772,-85772
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2000,CO2,-85772,-85772
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),1999,CO2,-85772,-85772
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),1998,CO2,-85771,-85771
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),1997,CO2,-85771,-85771
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),1990,CO2,-85770,-85770
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),1991,CO2,-85770,-85770
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),1992,CO2,-85770,-85770
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),1993,CO2,-85770,-85770
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),1994,CO2,-85770,-85770
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),1995,CO2,-85770,-85770
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),1996,CO2,-85770,-85770
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2007,CO2,-85119,-85119
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2008,CO2,-85105,-85105
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2009,CO2,-85091,-85091
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2010,CO2,-85077,-85077
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2002,CO2,-84500,-84500
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2011,CO2,-84409,-84409
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2003,CO2,-84371,-84371
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2012,CO2,-84357,-84357
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2013,CO2,-84306,-84306
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2014,CO2,-84254,-84254
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2004,CO2,-84241,-84241
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2015,CO2,-84202,-84202
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2016,CO2,-84151,-84151
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2005,CO2,-84112,-84112
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2017,CO2,-84099,-84099
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2018,CO2,-84047,-84047
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2019,CO2,-83996,-83996
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2006,CO2,-83983,-83983
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2002,CO2,-7346,-7346
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2003,CO2,-7346,-7346
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2004,CO2,-7346,-7346
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2005,CO2,-7346,-7346
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2006,CO2,-7346,-7346
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2007,CO2,-1827,-1827
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2008,CO2,-1827,-1827
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2009,CO2,-1827,-1827
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2010,CO2,-1827,-1827
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2011,CO2,-43,-43
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2012,CO2,-43,-43
