objectid,statefp,countyfp,tractce,geoid,namevalue,namelsad,mtfcc,funcstat,aland,awater,li_cor_dac,shape_area,shape_length
17,6,37,183820,6037183820,1838.2,Census Tract 1838.20,G5020,S,308656,0,LIC,451313.2734375,3864.88146512584
18,6,37,185202,6037185202,1852.02,Census Tract 1852.02,G5020,S,1205737,0,Both,1762650.9140625,6417.9400170448
19,6,37,185310,6037185310,1853.1,Census Tract 1853.10,G5020,S,421083,0,Both,615533.94140625,4482.88992040411
20,6,111,3011,6111003011,30.11,Census Tract 30.11,G5020,S,859112,0,LIC,1259737.12109375,4566.25240334406
21,6,111,1206,6111001206,12.06,Census Tract 12.06,G5020,S,100900703,8236035,LIC,160486121.933594,68216.5454355142
22,6,111,3012,6111003012,30.12,Census Tract 30.12,G5020,S,801273,12032,LIC,1192884.72265625,6101.62882049654
23,6,111,303,6111000303,3.03,Census Tract 3.03,G5020,S,36465188,967598,LIC,55072349.7617188,46534.6439349412
24,6,29,200,6029000200,2.0,Census Tract 2,G5020,S,2842591,0,Both,4289438.50390625,12510.1304466361
25,6,29,300,6029000300,3.0,Census Tract 3,G5020,S,1518290,0,Both,2290793.09765625,9633.92893828053
26,6,37,552700,6037552700,5527.0,Census Tract 5527,G5020,S,1375435,0,Both,2001540.3046875,6061.68329172566
27,6,37,552800,6037552800,5528.0,Census Tract 5528,G5020,S,1293752,0,LIC,1882664.4375,5828.88785850912
28,6,37,553000,6037553000,5530.0,Census Tract 5530,G5020,S,1264078,0,Both,1839324.02734375,5984.91604793565
29,6,107,3501,6107003501,35.01,Census Tract 35.01,G5020,S,14357178,154009,LIC,22267342.1289063,20345.7786234624
30,6,59,62649,6059062649,626.49,Census Tract 626.49,G5020,S,3369926,8846,LIC,4883088.1171875,10853.5506861365
31,6,41,109002,6041109002,1090.02,Census Tract 1090.02,G5020,S,2547795,2234,LIC,4111521.1875,12358.833857371
32,6,41,130202,6041130202,1302.02,Census Tract 1302.02,G5020,S,2327921,3826504,LIC,9890641.5625,25009.4053868531
33,6,41,112201,6041112201,1122.01,Census Tract 1122.01,G5020,S,323251,50963,LIC,603073.29296875,4720.0809947014
34,6,41,112202,6041112202,1122.02,Census Tract 1122.02,G5020,S,3960101,2664693,LIC,10673717.9140625,23157.4868940245
35,6,37,601402,6037601402,6014.02,Census Tract 6014.02,G5020,S,983306,0,Both,1432651.4453125,4882.74807317722
36,6,37,601502,6037601502,6015.02,Census Tract 6015.02,G5020,S,490798,0,Both,714900.203125,4232.04579954424
37,6,37,601600,6037601600,6016.0,Census Tract 6016,G5020,S,912444,0,Both,1328909.95703125,4730.13109828776
38,6,37,601700,6037601700,6017.0,Census Tract 6017,G5020,S,780881,0,Both,1137301.79296875,4670.29243054758
39,6,37,601801,6037601801,6018.01,Census Tract 6018.01,G5020,S,486723,0,Both,709019.09765625,3876.01926666735
40,6,37,601802,6037601802,6018.02,Census Tract 6018.02,G5020,S,484101,0,Both,705142.265625,3881.1447201543
41,6,25,11500,6025011500,115.0,Census Tract 115,G5020,S,2052294,0,Both,2912658.84375,7713.52271441569
42,6,37,602002,6037602002,6020.02,Census Tract 6020.02,G5020,S,530846,4612,Both,779720.953125,3962.92250147894
43,6,37,602003,6037602003,6020.03,Census Tract 6020.03,G5020,S,625130,0,Both,910448.23828125,3802.01654083384
44,6,37,602004,6037602004,6020.04,Census Tract 6020.04,G5020,S,592375,0,Both,862740.98046875,3751.35828523692
45,6,37,602103,6037602103,6021.03,Census Tract 6021.03,G5020,S,835901,0,Both,1217243.3984375,4392.58294600933
46,6,37,602104,6037602104,6021.04,Census Tract 6021.04,G5020,S,720926,0,Both,1049811.62109375,4227.08291475661
47,6,37,530700,6037530700,5307.0,Census Tract 5307,G5020,S,1057568,0,Both,1544749.47265625,6579.99166350478
48,6,107,2002,6107002002,20.02,Census Tract 20.02,G5020,S,2534586,0,LIC,3912121.93359375,7877.4605034406
49,6,37,530801,6037530801,5308.01,Census Tract 5308.01,G5020,S,769112,0,Both,1123191.57421875,5343.63894757775
50,6,37,530802,6037530802,5308.02,Census Tract 5308.02,G5020,S,566330,0,Both,827078.3984375,5355.55527250079
51,6,37,530901,6037530901,5309.01,Census Tract 5309.01,G5020,S,444140,0,Both,648497.79296875,3226.18144287536
52,6,37,531000,6037531000,5310.0,Census Tract 5310,G5020,S,999474,0,Both,1459260.42578125,5832.28941325594
53,6,37,531102,6037531102,5311.02,Census Tract 5311.02,G5020,S,498376,0,Both,727579.18359375,3628.37854715413
54,6,37,531201,6037531201,5312.01,Census Tract 5312.01,G5020,S,555365,0,Both,810637.84375,4100.72890378819
55,6,37,531301,6037531301,5313.01,Census Tract 5313.01,G5020,S,792709,0,Both,1156865.6171875,5615.68999871988
56,6,37,531302,6037531302,5313.02,Census Tract 5313.02,G5020,S,883751,0,Both,1289587.6171875,5824.08190986439
57,6,37,541001,6037541001,5410.01,Census Tract 5410.01,G5020,S,2609459,0,Both,3796834.5,7916.89652075906
58,6,107,2008,6107002008,20.08,Census Tract 20.08,G5020,S,1294570,0,LIC,1998349.921875,5880.35297150086
59,6,107,2009,6107002009,20.09,Census Tract 20.09,G5020,S,1852067,0,LIC,2858454.11328125,8638.71078094456
60,6,107,2302,6107002302,23.02,Census Tract 23.02,G5020,S,2592916,0,LIC,3991890.85546875,8172.41960288205
61,6,65,45217,6065045217,452.17,Census Tract 452.17,G5020,S,2900617,0,LIC,4204443.0390625,12178.3967473915
62,6,65,46700,6065046700,467.0,Census Tract 467,G5020,S,33305608,36823,Both,48510825.0820313,43066.2005863693
63,6,65,47000,6065047000,470.0,Census Tract 470,G5020,S,134979433,4213361,LIC,201255091.28125,94190.3353492453
64,6,71,2502,6071002502,25.02,Census Tract 25.02,G5020,S,2593783,0,DAC,3790257.11328125,7791.87172909724
65,6,65,940100,6065940100,9401.0,Census Tract 9401,G5020,S,71024199,5060948,LIC,110892411.226563,110086.70912201
66,6,65,44522,6065044522,445.22,Census Tract 445.22,G5020,S,154022502,871170,LIC,225712413.730469,126138.847606742
67,6,65,45120,6065045120,451.2,Census Tract 451.20,G5020,S,3849529,1137,LIC,5575567.51953125,12977.9153969686
68,6,65,51300,6065051300,513.0,Census Tract 513,G5020,S,33781272,400554,LIC,49645841.2070313,49145.0244642688
69,6,65,940400,6065940400,9404.0,Census Tract 9404,G5020,S,11515177,0,Both,16680748.484375,17403.198482889
70,6,71,2602,6071002602,26.02,Census Tract 26.02,G5020,S,2012382,0,Both,2938274.4609375,7559.59202807264
71,6,71,201,6071000201,2.01,Census Tract 2.01,G5020,S,2941050,0,DAC,4298894.80078125,9146.17497658903
72,6,77,4902,6077004902,49.02,Census Tract 49.02,G5020,S,239480449,1708049,DAC,387243477.300781,126003.39815604
73,6,77,3110,6077003110,31.1,Census Tract 31.10,G5020,S,1341993,0,Both,2165061.7890625,6217.1008835227
74,6,77,5122,6077005122,51.22,Census Tract 51.22,G5020,S,9995651,771280,DAC,17267712.5234375,22549.2275336247
75,6,77,3500,6077003500,35.0,Census Tract 35,G5020,S,26417371,54005,DAC,42735191.6992188,30362.5558769049
76,6,77,3700,6077003700,37.0,Census Tract 37,G5020,S,41895923,63655,Both,67561673.28125,35072.6261313439
77,6,77,3803,6077003803,38.03,Census Tract 38.03,G5020,S,44063925,198561,Both,71174635.6992188,47876.3520452485
78,6,77,3801,6077003801,38.01,Census Tract 38.01,G5020,S,4245846,252326,DAC,7237804.0234375,13613.5138886535
79,6,77,4001,6077004001,40.01,Census Tract 40.01,G5020,S,280738745,18928874,Both,485178728.257813,113296.394471338
80,6,77,3308,6077003308,33.08,Census Tract 33.08,G5020,S,517517,0,Both,834564.18359375,4353.05122416977
81,6,77,3900,6077003900,39.0,Census Tract 39,G5020,S,493559853,36387815,Both,853031487.753906,184323.661759956
82,6,37,901101,6037901101,9011.01,Census Tract 9011.01,G5020,S,5221202,2777,LIC,7739678.53515625,11842.9225481281
83,6,73,11601,6073011601,116.01,Census Tract 116.01,G5020,S,733715,0,Both,1038251.31640625,4323.69951326916
84,6,73,11602,6073011602,116.02,Census Tract 116.02,G5020,S,1006599,14299,Both,1444390.5,5965.15501734842
85,6,73,11700,6073011700,117.0,Census Tract 117,G5020,S,1630750,0,Both,2307992.30078125,6244.30952771887
86,6,73,11801,6073011801,118.01,Census Tract 118.01,G5020,S,651866,0,Both,922712.9296875,3846.72542860179
87,6,73,13307,6073013307,133.07,Census Tract 133.07,G5020,S,1308215,0,Both,1848434.90234375,5869.34945207312
88,6,107,2304,6107002304,23.04,Census Tract 23.04,G5020,S,987726,0,Both,1520365.1875,5686.5485105245
89,6,71,2901,6071002901,29.01,Census Tract 29.01,G5020,S,1296477,0,Both,1895740.9609375,7802.94126104597
90,6,73,13308,6073013308,133.08,Census Tract 133.08,G5020,S,1609626,0,LIC,2273960.34375,7632.58889119395
91,6,73,13309,6073013309,133.09,Census Tract 133.09,G5020,S,2506844,0,LIC,3543566.93359375,8713.74303226728
92,6,73,13312,6073013312,133.12,Census Tract 133.12,G5020,S,854831,0,LIC,1207888.21875,5029.32069654955
93,6,107,2601,6107002601,26.01,Census Tract 26.01,G5020,S,5688639,0,Both,8756716.16015625,12209.3165141593
94,6,107,2602,6107002602,26.02,Census Tract 26.02,G5020,S,2870053,0,Both,4417838.828125,9316.12295748887
95,6,107,2901,6107002901,29.01,Census Tract 29.01,G5020,S,4550195,0,Both,7001195.3359375,11316.6969369111
96,6,107,2700,6107002700,27.0,Census Tract 27,G5020,S,5694168626,8236634,LIC,8760041093.41016,577121.76465967
97,6,107,4101,6107004101,41.01,Census Tract 41.01,G5020,S,4426513,0,Both,6787221.0703125,10865.0290425874
98,6,107,1302,6107001302,13.02,Census Tract 13.02,G5020,S,11177780,0,Both,17259622.9960938,20473.0090042134
99,6,107,1502,6107001502,15.02,Census Tract 15.02,G5020,S,12859011,0,Both,19830152.3320313,20791.080867289
100,6,107,3200,6107003200,32.0,Census Tract 32,G5020,S,307722355,13713,Both,471784948.550781,113155.981249082
101,6,107,2500,6107002500,25.0,Census Tract 25,G5020,S,126564008,0,Both,194781953.054688,102866.813844455
102,6,107,4300,6107004300,43.0,Census Tract 43,G5020,S,610964651,295053,Both,932492685.84375,174743.757476655
103,6,107,301,6107000301,3.01,Census Tract 3.01,G5020,S,138420551,857291,Both,216093866.386719,97038.3773340741
104,6,107,900,6107000900,9.0,Census Tract 9,G5020,S,182262605,329326,Both,282355402.972656,93242.1178133124
105,6,107,800,6107000800,8.0,Census Tract 8,G5020,S,152607110,31759,Both,236179112.769531,77862.563026827
106,6,107,2800,6107002800,28.0,Census Tract 28,G5020,S,7391843,0,Both,11373094.3203125,16384.497671384
107,6,107,4200,6107004200,42.0,Census Tract 42,G5020,S,384722819,60668,Both,588600235.617188,140679.829165648
108,6,81,610700,6081610700,6107.0,Census Tract 6107,G5020,S,1140186,0,LIC,1813233.9375,6596.00454545123
109,6,81,610800,6081610800,6108.0,Census Tract 6108,G5020,S,501698,0,LIC,797858.4453125,4782.72997842373
110,6,81,610900,6081610900,6109.0,Census Tract 6109,G5020,S,1099448,0,LIC,1748768.46875,6557.02296806355
111,6,71,301,6071000301,3.01,Census Tract 3.01,G5020,S,2695408,0,Both,3937442.19921875,10270.9111936354
112,6,95,250701,6095250701,2507.01,Census Tract 2507.01,G5020,S,2176045,604746,Both,4496485.4609375,12400.2254999732
113,6,95,251000,6095251000,2510.0,Census Tract 2510,G5020,S,727397,0,Both,1176536.31640625,4255.93057916119
114,6,77,5106,6077005106,51.06,Census Tract 51.06,G5020,S,99907699,1347109,DAC,162147396.546875,80306.184285558
115,6,77,5119,6077005119,51.19,Census Tract 51.19,G5020,S,37232768,458126,DAC,60516484.53125,54581.0719955168
116,6,77,2800,6077002800,28.0,Census Tract 28,G5020,S,7311955,0,Both,11767676.2695313,18509.5186342133
117,6,77,3602,6077003602,36.02,Census Tract 36.02,G5020,S,44774226,40657,LIC,72311853.8359375,40223.0765154521
118,6,77,3109,6077003109,31.09,Census Tract 31.09,G5020,S,3119481,44323,DAC,5104293.91015625,9620.53696541119
119,6,77,1800,6077001800,18.0,Census Tract 18,G5020,S,1916227,0,Both,3088227.77734375,7490.84231048336
120,6,77,5124,6077005124,51.24,Census Tract 51.24,G5020,S,1084165,0,LIC,1739656.23828125,6123.98920419908
121,6,77,3406,6077003406,34.06,Census Tract 34.06,G5020,S,839429,14789,Both,1378813.25,4841.41307032223
122,6,77,3305,6077003305,33.05,Census Tract 33.05,G5020,S,2046351,0,Both,3301029.05078125,8098.67400856122
123,6,1,435104,6001435104,4351.04,Census Tract 4351.04,G5020,S,7240707,0,LIC,11566687.7773438,19142.2594958949
124,6,1,405301,6001405301,4053.01,Census Tract 4053.01,G5020,S,227753,0,LIC,365422.15625,2545.17635814857
125,6,17,31302,6017031302,313.02,Census Tract 313.02,G5020,S,33297787,83617,LIC,54993385.7148438,72014.2778994439
126,6,17,30602,6017030602,306.02,Census Tract 306.02,G5020,S,357428908,326934,LIC,591613434.035156,223628.672790993
127,6,17,30200,6017030200,302.0,Census Tract 302,G5020,S,9429895,1486394,LIC,18066105.8710938,37760.2969816085
128,6,71,303,6071000303,3.03,Census Tract 3.03,G5020,S,2095523,0,Both,3060360.76953125,7214.55918544051
129,6,71,3401,6071003401,34.01,Census Tract 34.01,G5020,S,2591609,0,Both,3789033.2265625,9751.39825868276
130,6,107,2903,6107002903,29.03,Census Tract 29.03,G5020,S,2268072,0,LIC,3490463.1484375,7431.01210665314
131,6,107,2904,6107002904,29.04,Census Tract 29.04,G5020,S,2034880,0,LIC,3130474.90625,7013.75656304216
132,6,71,3403,6071003403,34.03,Census Tract 34.03,G5020,S,1947308,0,LIC,2845987.64453125,7788.22541773782
133,6,71,3700,6071003700,37.0,Census Tract 37,G5020,S,1293752,0,Both,1891511.78125,5841.28071250548
134,6,37,700200,6037700200,7002.0,Census Tract 7002,G5020,S,698992,0,LIC,1021782.171875,5190.01990414557
135,6,107,3001,6107003001,30.01,Census Tract 30.01,G5020,S,1516444,0,Both,2333513.6796875,6644.44895684338
136,6,107,3002,6107003002,30.02,Census Tract 30.02,G5020,S,6974551,0,Both,10729977.6953125,14613.8245981648
137,6,107,502,6107000502,5.02,Census Tract 5.02,G5020,S,16203409,0,Both,25143940.3476563,28400.5435557887
138,6,107,302,6107000302,3.02,Census Tract 3.02,G5020,S,131133295,0,Both,203084972.679688,67772.938908177
139,6,107,1301,6107001301,13.01,Census Tract 13.01,G5020,S,21976832,0,LIC,33955430.8554688,27071.8305750891
140,6,107,4500,6107004500,45.0,Census Tract 45,G5020,S,343542060,82605,Both,524538593.773438,112076.63245185
141,6,107,600,6107000600,6.0,Census Tract 6,G5020,S,57979079,0,Both,89892727.7304688,58303.2582079805
142,6,107,1602,6107001602,16.02,Census Tract 16.02,G5020,S,48886581,0,Both,75378626.3984375,47622.6506568388
143,6,107,2400,6107002400,24.0,Census Tract 24,G5020,S,172526206,978163,DAC,266916470.628906,81479.3294301893
144,6,107,3300,6107003300,33.0,Census Tract 33,G5020,S,148700041,62874,Both,228537451.914063,75789.3471861159
145,6,107,401,6107000401,4.01,Census Tract 4.01,G5020,S,13015965,0,Both,20214540.515625,24343.9654274082
146,6,107,3902,6107003902,39.02,Census Tract 39.02,G5020,S,73257597,9366663,Both,126797765.246094,62488.95998747
147,6,107,701,6107000701,7.01,Census Tract 7.01,G5020,S,40431017,1219358,LIC,64415423.4609375,46352.8751307697
148,6,107,3400,6107003400,34.0,Census Tract 34,G5020,S,174123148,1020425,Both,268362608.933594,118699.511448853
149,6,107,201,6107000201,2.01,Census Tract 2.01,G5020,S,9567207,0,Both,14851539.875,16098.8478203796
150,6,107,202,6107000202,2.02,Census Tract 2.02,G5020,S,122717441,0,Both,190786023.558594,81024.162872986
151,6,107,2100,6107002100,21.0,Census Tract 21,G5020,S,138668903,75948,Both,213749614.039063,66399.1354492352
152,6,73,8341,6073008341,83.41,Census Tract 83.41,G5020,S,820586,0,LIC,1166476.578125,6287.12800755678
153,6,73,8343,6073008343,83.43,Census Tract 83.43,G5020,S,766103,0,LIC,1088832.9140625,4175.79953029417
154,6,107,1003,6107001003,10.03,Census Tract 10.03,G5020,S,34601272,39512,DAC,53511363.1679688,39622.9520945631
155,6,107,3100,6107003100,31.0,Census Tract 31,G5020,S,240575292,403795,Both,370213653.433594,90172.0335428796
156,6,71,2402,6071002402,24.02,Census Tract 24.02,G5020,S,3903464,0,Both,5706500.50390625,9756.48906369701
157,6,71,2401,6071002401,24.01,Census Tract 24.01,G5020,S,3938446,0,Both,5757635.4765625,9791.60491526379
158,6,73,13401,6073013401,134.01,Census Tract 134.01,G5020,S,2306986,0,LIC,3262279.00390625,8439.95934029467
159,6,73,15601,6073015601,156.01,Census Tract 156.01,G5020,S,1623059,0,LIC,2303156.96875,6733.20034726399
160,6,73,15701,6073015701,157.01,Census Tract 157.01,G5020,S,961341,0,LIC,1364334.96484375,5536.85708577674
161,6,73,17050,6073017050,170.5,Census Tract 170.50,G5020,S,4973504,0,LIC,7084995.55859375,19025.4869026076
162,6,37,275500,6037275500,2755.0,Census Tract 2755,G5020,S,762038,25712,LIC,1148834.5859375,4331.07203853773
163,6,37,462001,6037462001,4620.01,Census Tract 4620.01,G5020,S,511706,0,LIC,749250.63671875,3989.13995295985
164,6,13,360101,6013360101,3601.01,Census Tract 3601.01,G5020,S,3926826,0,LIC,6331153.83203125,12830.3617850645
165,6,13,355109,6013355109,3551.09,Census Tract 3551.09,G5020,S,3036785,0,LIC,4895323.12890625,10796.7376984266
166,6,13,392200,6013392200,3922.0,Census Tract 3922,G5020,S,11629316,6081475,Both,28563421.0585938,29193.0946991402
167,6,37,221601,6037221601,2216.01,Census Tract 2216.01,G5020,S,369898,0,Both,539984.98828125,3054.14691222047
168,6,37,222001,6037222001,2220.01,Census Tract 2220.01,G5020,S,474298,0,Both,692286.4296875,3369.11885774476
169,6,37,237201,6037237201,2372.01,Census Tract 2372.01,G5020,S,453406,0,Both,661134.03515625,3272.2447573913
170,6,37,239201,6037239201,2392.01,Census Tract 2392.01,G5020,S,449869,0,Both,655978.8203125,3272.55082086827
171,6,37,239601,6037239601,2396.01,Census Tract 2396.01,G5020,S,422289,0,Both,615575.15625,3527.48033800162
172,6,37,980031,6037980031,9800.31,Census Tract 9800.31,G5020,S,12492184,13434637,Both,37586564.375,30306.4762668219
173,6,13,302007,6013302007,3020.07,Census Tract 3020.07,G5020,S,4327203,0,LIC,6976903.02734375,11431.1954857841
174,6,85,504700,6085504700,5047.0,Census Tract 5047,G5020,S,6406665,0,LIC,10174108.8398438,15615.0475380211
175,6,81,601902,6081601902,6019.02,Census Tract 6019.02,G5020,S,1308262,0,LIC,2091115.359375,9470.17264414929
176,6,83,301,6083000301,3.01,Census Tract 3.01,G5020,S,509989,0,LIC,751387.07421875,3555.27167068162
177,6,83,1304,6083001304,13.04,Census Tract 13.04,G5020,S,5090829,144119,LIC,7710107.671875,15426.2459082904
178,6,71,25100,6071025100,251.0,Census Tract 251,G5020,S,7231730478,44126354,LIC,10739973109.4102,580702.551039123
179,6,37,403303,6037403303,4033.03,Census Tract 4033.03,G5020,S,4365064,89184,LIC,6497610.94921875,12812.3431953214
180,6,37,407302,6037407302,4073.02,Census Tract 4073.02,G5020,S,803838,0,Both,1173592.90234375,4525.92290028984
181,6,37,530902,6037530902,5309.02,Census Tract 5309.02,G5020,S,523080,0,Both,763781.23828125,4344.737160138
182,6,37,221110,6037221110,2211.1,Census Tract 2211.10,G5020,S,234230,0,Both,342022.96484375,2549.32031653474
183,6,37,212303,6037212303,2123.03,Census Tract 2123.03,G5020,S,155646,0,LIC,227347.32421875,1923.23308653192
184,6,37,201200,6037201200,2012.0,Census Tract 2012,G5020,S,440870,0,LIC,644404.30078125,3842.7959097782
185,6,37,191203,6037191203,1912.03,Census Tract 1912.03,G5020,S,205208,0,Both,299977.5078125,2206.30484317259
186,6,37,119400,6037119400,1194.0,Census Tract 1194,G5020,S,1117289,4269,Both,1645182.80859375,5229.32415106554
187,6,37,296600,6037296600,2966.0,Census Tract 2966,G5020,S,841947,0,Both,1220702.4609375,4504.14743784027
188,6,37,575300,6037575300,5753.0,Census Tract 5753,G5020,S,648066,0,Both,940611.78515625,3880.65399737842
189,6,37,406102,6037406102,4061.02,Census Tract 4061.02,G5020,S,1646574,0,LIC,2406332.12109375,6905.46877337127
190,6,37,554001,6037554001,5540.01,Census Tract 5540.01,G5020,S,1082739,0,Both,1575624.1484375,5924.94502212191
191,6,37,920312,6037920312,9203.12,Census Tract 9203.12,G5020,S,12756213,4780,LIC,18771265.8125,21452.2176237911
192,6,37,535501,6037535501,5355.01,Census Tract 5355.01,G5020,S,491742,0,Both,716624.15234375,4443.61294727065
193,6,37,237300,6037237300,2373.0,Census Tract 2373,G5020,S,997691,0,Both,1454537.83984375,4951.38365301058
194,6,37,408402,6037408402,4084.02,Census Tract 4084.02,G5020,S,11572335,2068,LIC,16889012.109375,23006.2627980984
195,6,37,227010,6037227010,2270.1,Census Tract 2270.10,G5020,S,579198,0,Both,845206.375,4363.19485586298
196,6,37,219300,6037219300,2193.0,Census Tract 2193,G5020,S,651811,0,Both,951352.77734375,4139.72869508835
197,6,37,530301,6037530301,5303.01,Census Tract 5303.01,G5020,S,584252,0,Both,852800.359375,4096.16925924104
198,6,37,204420,6037204420,2044.2,Census Tract 2044.20,G5020,S,302058,0,Both,441049.57421875,2820.81788646677
199,6,37,404701,6037404701,4047.01,Census Tract 4047.01,G5020,S,1535870,163064,Both,2482315.19921875,6731.69474226978
200,6,37,211320,6037211320,2113.2,Census Tract 2113.20,G5020,S,186272,0,Both,272154.6171875,2090.39228486532
201,6,37,206300,6037206300,2063.0,Census Tract 2063,G5020,S,616656,0,Both,900344.65625,4850.9908351148
202,6,37,218120,6037218120,2181.2,Census Tract 2181.20,G5020,S,445211,0,Both,650063.1796875,3273.97977762481
203,6,37,209403,6037209403,2094.03,Census Tract 2094.03,G5020,S,138199,0,Both,201834.76171875,1798.54010053537
204,6,37,208902,6037208902,2089.02,Census Tract 2089.02,G5020,S,184049,0,Both,268817.6484375,2084.19118559028
205,6,37,212203,6037212203,2122.03,Census Tract 2122.03,G5020,S,106316,0,Both,155292.9453125,1659.21587216841
206,6,37,433901,6037433901,4339.01,Census Tract 4339.01,G5020,S,720929,0,Both,1053020.23046875,4143.34634546831
207,6,71,1906,6071001906,19.06,Census Tract 19.06,G5020,S,7802828,0,DAC,11383691.765625,13622.2150138865
208,6,71,9202,6071009202,92.02,Census Tract 92.02,G5020,S,423724135,255003,LIC,622246508.125,139597.48617256
209,6,71,1501,6071001501,15.01,Census Tract 15.01,G5020,S,751632,0,Both,1098084.734375,4474.47804280049
210,6,71,3505,6071003505,35.05,Census Tract 35.05,G5020,S,1306694,0,Both,1911337.125,6845.19016498952
211,6,71,3801,6071003801,38.01,Census Tract 38.01,G5020,S,1882947,0,DAC,2754805.19140625,6974.66371566971
212,6,71,4510,6071004510,45.1,Census Tract 45.10,G5020,S,5219160,0,Both,7645993.94921875,16902.4157832
213,6,37,404901,6037404901,4049.01,Census Tract 4049.01,G5020,S,1141673,169,Both,1669271.15625,5368.68665452466
214,6,37,183620,6037183620,1836.2,Census Tract 1836.20,G5020,S,517470,0,LIC,756837.7109375,3481.86168486109
215,6,37,139303,6037139303,1393.03,Census Tract 1393.03,G5020,S,415565,0,Both,608666.984375,3337.13990009687
216,6,37,123410,6037123410,1234.1,Census Tract 1234.10,G5020,S,488725,8391,Both,728482.79296875,3506.37891523948
217,6,37,120010,6037120010,1200.1,Census Tract 1200.10,G5020,S,553982,11621,Both,829231.59375,3778.02585813384
218,6,37,117510,6037117510,1175.1,Census Tract 1175.10,G5020,S,330594,4518,Both,491492.9921875,3017.47829012622
219,6,37,576501,6037576501,5765.01,Census Tract 5765.01,G5020,S,291367,0,LIC,422760.1171875,2677.98039987698
220,6,37,294810,6037294810,2948.1,Census Tract 2948.10,G5020,S,320464,0,Both,465056.828125,2779.33169352602
221,6,71,11001,6071011001,110.01,Census Tract 110.01,G5020,S,8842817,0,LIC,12970618.5273438,26498.9927263924
222,6,71,11206,6071011206,112.06,Census Tract 112.06,G5020,S,3568904,3552,LIC,5240589.4921875,24848.7783368355
223,6,71,10424,6071010424,104.24,Census Tract 104.24,G5020,S,1678537691,0,LIC,2470512502.74219,301896.309341221
224,6,71,9117,6071009117,91.17,Census Tract 91.17,G5020,S,629642050,1383689,Both,934121801.8125,160300.922538238
225,6,71,12002,6071012002,120.02,Census Tract 120.02,G5020,S,13301305,135415,Both,20011079.6328125,25785.2100684242
226,6,71,12103,6071012103,121.03,Census Tract 121.03,G5020,S,141928635,0,LIC,208994831.519531,66860.2607297593
227,6,71,9913,6071009913,99.13,Census Tract 99.13,G5020,S,12394317,120971,Both,18478285.5078125,22740.2957368063
228,6,71,10422,6071010422,104.22,Census Tract 104.22,G5020,S,33688871,0,LIC,49361001.671875,39217.8561629619
229,6,71,10420,6071010420,104.2,Census Tract 104.20,G5020,S,97382827,0,LIC,142616870.792969,55001.4311231265
230,6,71,11205,6071011205,112.05,Census Tract 112.05,G5020,S,2783714,50424,LIC,4157351.5234375,11959.2220039879
231,6,71,10419,6071010419,104.19,Census Tract 104.19,G5020,S,65424543,0,LIC,95673247.8242188,51630.6202122619
232,6,71,4603,6071004603,46.03,Census Tract 46.03,G5020,S,4265988,0,Both,6245394.15234375,10640.1658738819
233,6,71,9116,6071009116,91.16,Census Tract 91.16,G5020,S,19809329,0,Both,29290830.5625,25663.8847371638
234,6,71,11403,6071011403,114.03,Census Tract 114.03,G5020,S,9928494,0,LIC,14564806.9453125,19558.4923733333
