namevalue,statevalue,lat,long,mrc
Baldy Mountain,CO,37.25,-107.375,37107-C4
Banta Ridge,CO,39.875,-108.875,39108-H8
Banty Point,CO,40.0,-108.875,40108-A8
Bar J H Ranch,CO,38.375,-104.375,38104-D4
Bar X Wash,UT,39.25,-109.0,39109-C1
Barcus Creek,CO,40.0,-108.375,40108-A4
Barcus Creek SE,CO,40.0,-108.25,40108-A3
Barela,CO,37.0,-104.25,37104-A3
Barkelew Draw,CO,38.0,-108.375,38108-A4
Barking Dog Spring,CO,39.375,-103.75,39103-D7
Barnesville,CO,40.375,-104.375,40104-D4
Barrel Spring,CO,37.75,-102.375,37102-G4
Barrel Springs Draw,CO,38.625,-103.25,38103-F3
Barron Creek,CO,39.125,-103.5,39103-B5
Bartlett,CO,37.375,-102.125,37102-D2
Basalt,CO,39.25,-107.0,39107-C1
Basin,CO,38.0,-108.5,38108-A5
Basin Mountain,CO,37.125,-107.875,37107-B8
Bates Lake,CO,37.5,-104.125,37104-E2
Battle Canyon,CO,40.875,-103.625,40103-H6
Battle Mountain,CO,39.875,-106.125,39106-H2
Battle Rock,CO,37.25,-108.75,37108-C7
Battleship Rock,CO,39.0,-108.75,39108-A7
Baxter Pass,CO,39.5,-108.875,39108-E8
Bayfield,CO,37.125,-107.5,37107-B5
Bear Creek,CO,37.875,-105.125,37105-H2
Bear Mountain,CO,37.375,-107.25,37107-D3
Bears Ears Peaks,CO,40.75,-107.125,40107-G2
Beaty Canyon,CO,37.5,-103.5,37103-E5
Beaver Basin,CO,40.875,-108.875,40108-H8
Beaver Creek Reservoir,CO,37.5,-106.625,37106-E6
Beaver Park,CO,37.875,-108.125,37108-H2
Beck Mountain,CO,37.875,-105.375,37105-H4
Beckman Lake,CO,38.875,-103.5,38103-H5
Beckwith Mountain,CO,38.125,-105.5,38105-B5
Beecher Island,CO,39.75,-102.125,39102-G2
Beecher Island NW,CO,39.875,-102.125,39102-H2
Bennett,CO,39.75,-104.375,39104-G4
Berthoud,CO,40.25,-105.0,40105-C1
Berthoud Pass,CO,39.75,-105.75,39105-G7
Bethune,CO,39.25,-102.375,39102-C4
Beuck Draw,CO,39.25,-103.875,39103-C8
Beulah,CO,38.0,-104.875,38104-A8
Beulah NE,CO,38.125,-104.75,38104-B7
Beverly Grove,CO,39.875,-102.625,39102-H6
Bieser Creek,CO,38.875,-108.875,38108-H8
Big Beaver Reservoir,CO,39.875,-107.625,39107-H6
Big Bucktail Creek,CO,38.25,-108.375,38108-C4
Big Bull Mountain,CO,38.625,-105.0,38105-F1
Big Foundation Creek,CO,39.625,-108.75,39108-F7
Big Gulch,CO,39.25,-104.25,39104-C3
Big Hole Canyon,CO,37.0,-102.875,37102-A8
Big Joe Basin,CO,40.75,-108.75,40108-G7
Big Marvine Peak,CO,39.875,-107.25,39107-H3
Big Mesa,CO,38.375,-107.0,38107-D1
Big Narrows,CO,40.625,-105.375,40105-F4
Big Rock Grange,CO,37.5,-102.625,37102-E6
Big Soap Park,CO,38.625,-107.25,38107-F3
Big Spring,CO,38.875,-102.75,38102-H7
Big Springs Ranch,CO,38.75,-104.25,38104-G3
Bighole Butte,CO,40.875,-107.875,40107-H8
Bijou,CO,39.375,-104.125,39104-D2
Bijou Basin,CO,39.125,-104.375,39104-B4
Bijou SW,CO,39.25,-104.125,39104-C2
Bishop Ranch,CO,38.125,-103.125,38103-B2
Bisonte,CO,37.25,-102.5,37102-C5
Bitter Creek Well,UT,39.125,-109.0,39109-B1
Black Cabin Gulch,CO,39.75,-108.5,39108-G5
Black Forest,CO,39.0,-104.625,39104-A6
Black Hawk,CO,39.75,-105.375,39105-G4
Black Hills,CO,37.625,-104.875,37104-F8
Black Mountain,CO,38.625,-105.625,38105-F6
Black Ridge,CO,38.625,-107.75,38107-F7
Blackhead Peak,CO,37.25,-106.75,37106-C7
Blacktail Mountain,CO,40.25,-106.75,40106-C7
Blair Mountain,CO,39.75,-107.375,39107-G4
Blanca,CO,37.375,-105.5,37105-D5
Blanca Peak,CO,37.5,-105.375,37105-E4
Blanca SE,CO,37.25,-105.5,37105-C5
Bledsoe Ranch,CO,39.0,-103.125,39103-A2
Bloom,CO,37.625,-103.875,37103-F8
Blue Hill,CO,39.875,-106.75,39106-H7
Bluff Spring,CO,38.5,-103.25,38103-E3
Boettcher Lake,CO,40.75,-106.5,40106-G5
Boggy Draw,CO,37.5,-108.375,37108-E4
Bonanza,CO,38.25,-106.125,38106-C2
Bondad Hill,CO,37.0,-107.75,37107-A7
Bonny Reservoir North,CO,39.625,-102.125,39102-F2
Bonny Reservoir South,CO,39.5,-102.125,39102-E2
Boone Hill,CO,38.25,-104.125,38104-C2
Boreas Pass,CO,39.375,-105.875,39105-D8
Boston Peak,CO,40.625,-105.75,40105-F7
Bottle Pass,CO,39.875,-105.875,39105-H8
Boulder,CO,40.0,-105.25,40105-A3
Bowdish Canyon,CO,37.25,-108.875,37108-C8
Bowen Mountain,CO,40.25,-105.875,40105-C8
Bowers Peak,CO,37.875,-106.5,37106-H5
Bowie,CO,38.875,-107.5,38107-H5
Denver International Airport,CO,39.75,-104.625,39104-G6
Box Ranch,CO,37.125,-103.75,37103-B7
Box Springs,CO,38.375,-103.625,38103-D6
Boyero,CO,38.875,-103.25,38103-H3
Bracewell,CO,40.375,-104.75,40104-D7
Brandon,CO,38.375,-102.375,38102-D4
Branson,CO,37.0,-103.875,37103-A8
Branson SE,CO,37.0,-103.75,37103-A7
Breckenridge,CO,39.375,-106.0,39106-D1
Breeze Mountain,CO,40.375,-107.375,40107-D4
Briggsdale,CO,40.625,-104.25,40104-F3
Brighton,CO,39.875,-104.75,39104-H7
Bristol Head,CO,37.75,-107.0,37107-G1
Broken Rib Creek,CO,39.625,-107.125,39107-F2
Brown Canyon,CO,37.5,-103.25,37103-E3
Brown Sheep Camp,CO,37.375,-104.0,37104-D1
Brush East,CO,40.25,-103.5,40103-C5
Brush West,CO,40.25,-103.625,40103-C6
Brushy Point,CO,39.625,-108.625,39108-F6
Buck Canyon,CO,37.375,-103.125,37103-D2
Buck Point,CO,40.75,-107.25,40107-G3
Buckeye,CO,40.75,-105.0,40105-G1
Buckeye Reservoir,CO,38.375,-109.0,38109-D1
Buckhorn Lakes,CO,38.25,-107.625,38107-C6
Buckhorn Mountain,CO,40.5,-105.25,40105-E3
Buckingham,CO,40.5,-103.875,40103-E8
Buckskin Point,CO,40.0,-108.0,40108-A1
Buena Vista East,CO,38.75,-106.0,38106-G1
Buena Vista West,CO,38.75,-106.125,38106-G2
Buffalo Pass,CO,40.5,-106.625,40106-E6
Buffalo Peak,CO,40.375,-106.25,40106-D3
Buffalo Springs Ranch,CO,40.25,-103.125,40103-C2
Buffalo Springs Ranch NE,CO,40.375,-103.0,40103-D1
Buffalo Springs Ranch NW,CO,40.375,-103.125,40103-D2
Buffalo Springs Ranch SE,CO,40.25,-103.0,40103-C1
Buford,CO,39.875,-107.5,39107-H5
Bull Canyon,CO,38.125,-108.75,38108-B7
Bull Fork,CO,39.625,-108.25,39108-F3
Bull Mountain,CO,39.0,-107.375,39107-A4
Burdett,CO,40.25,-102.875,40102-C8
Burlington,CO,39.25,-102.25,39102-C3
South of Burlington,CO,39.125,-102.25,39102-B3
South of Bethune,CO,39.125,-102.375,39102-B4
East of Rock Creek,CO,39.0,-102.25,39102-A3
Rock Creek,CO,39.0,-102.375,39102-A4
Burlington NE,CO,39.375,-102.25,39102-D3
Burns North,CO,39.875,-106.875,39106-H8
Burns South,CO,39.75,-106.875,39106-G8
Burnt Cabin Creek,CO,37.625,-109.0,37109-F1
Bushnell Peak,CO,38.25,-105.875,38105-C8
Buttes,CO,38.5,-104.625,38104-E6
Byers,CO,39.625,-104.125,39104-F2
Byers Peak,CO,39.75,-105.875,39105-G8
Byers SW,CO,39.5,-104.125,39104-E2
Cabin Creek,CO,40.125,-106.0,40106-B1
Cabin Gulch,CO,39.375,-104.5,39104-D5
Cactus Reservoir,CO,40.125,-108.625,40108-B6
Cahone,CO,37.625,-108.75,37108-F7
Calamity Mesa,CO,38.5,-108.75,38108-E7
Calamity Ridge,CO,40.0,-108.5,40108-A5
Calf Canyon,CO,39.5,-108.625,39108-E6
Calhan,CO,39.0,-104.25,39104-A3
Camel Back,CO,38.5,-108.125,38108-E2
Cameo,CO,39.125,-108.25,39108-B3
Cameron Mountain,CO,38.625,-105.875,38105-F8
Campo,CO,37.0,-102.5,37102-A5
Campo NE,CO,37.125,-102.5,37102-B5
Campo NW,CO,37.125,-102.625,37102-B6
Campo SW,CO,37.0,-102.625,37102-A6
Cannibal Plateau,CO,38.0,-107.125,38107-A2
Canon City,CO,38.375,-105.125,38105-D2
Canyon of Lodore North,CO,40.625,-108.875,40108-F8
Canyon of Lodore South,CO,40.5,-108.875,40108-E8
Capitol Peak,CO,39.125,-107.0,39107-B1
Capps Springs,CO,37.75,-104.5,37104-G5
Capulin,CO,37.25,-106.0,37106-C1
Carbonate,CO,39.625,-107.25,39107-F3
Carbondale,CO,39.375,-107.125,39107-D2
Carbonera,CO,39.375,-108.875,39108-D8
Carlton,CO,38.0,-102.375,38102-A4
Carpenter Ridge,CO,38.375,-107.125,38107-D2
Carr East,CO,40.875,-104.75,40104-H7
Carr SW,CO,40.75,-104.875,40104-G8
Carr West,CO,40.875,-104.875,40104-H8
Carracas,CO,37.0,-107.25,37107-A3
Carrizo Mountain,CO,37.125,-103.0,37103-B1
Carter Lake Reservoir,CO,40.25,-105.125,40105-C2
Cascade,CO,38.875,-104.875,38104-H8
Castle Peak,CO,39.75,-106.75,39106-G7
Castle Rock Gulch,CO,38.75,-105.875,38105-G8
Castle Rock North,CO,39.375,-104.75,39104-D7
Castle Rock South,CO,39.25,-104.75,39104-C7
Casto Reservoir,CO,38.625,-108.625,38108-F6
Castor Gulch,CO,40.375,-107.5,40107-D5
Cat Creek,CO,37.75,-102.625,37102-G6
Cat Creek NE,CO,37.875,-102.5,37102-H5
Cat Creek NW,CO,37.875,-102.625,37102-H6
Cathedral Peak,CO,38.5,-107.5,38107-E5
Cattle Creek,CO,39.375,-107.25,39107-D3
Cattle Gulch,CO,39.375,-104.0,39104-D1
Cedar Knob,CO,40.375,-108.125,40108-D2
Cedaredge,CO,38.875,-107.875,38107-H8
Cedarwood,CO,37.875,-104.5,37104-H5
Cement Mountain,CO,38.75,-106.75,38106-G7
Center Mountain,CO,39.375,-107.375,39107-D4
Center North,CO,37.75,-106.0,37106-G1
Center South,CO,37.625,-106.0,37106-F1
Central City,CO,39.75,-105.5,39105-G5
Centro,CO,37.25,-106.125,37106-C2
Cerro Summit,CO,38.375,-107.625,38107-D6
Chair Mountain,CO,39.0,-107.25,39107-A3
Chalk Bluffs East,CO,40.875,-104.5,40104-H5
Chalk Bluffs West,CO,40.875,-104.625,40104-H6
Chalk Mountain,CO,39.0,-107.625,39107-A6
Chama Peak,CO,37.0,-106.625,37106-A6
Chambers Lake,CO,40.5,-105.75,40105-E7
Champagne Spring,CO,37.625,-108.875,37108-F8
Cheesman Lake,CO,39.125,-105.25,39105-B3
Cheraw,CO,38.0,-103.5,38103-A5
Cherokee Park,CO,40.875,-105.375,40105-H4
Cherry Canyon,CO,37.25,-103.375,37103-C4
Cherry Valley School,CO,39.125,-104.625,39104-B6
Chester,CO,38.25,-106.25,38106-C3
Cheyenne Mountain,CO,38.625,-104.75,38104-F7
Cheyenne Wells,CO,38.75,-102.25,38102-G3
South of Cheyenne Wells,CO,38.625,-102.25,38102-F3
South Ladder Creek,CO,38.625,-102.375,38102-F4
North of Sheridan Lake,CO,38.5,-102.25,38102-E3
North of Brandon,CO,38.5,-102.375,38102-E4
Cheyenne Wells NE,CO,38.875,-102.25,38102-H3
Cheyenne Wells NW,CO,38.875,-102.375,38102-H4
Cheyenne Wells SW,CO,38.75,-102.375,38102-G4
Chicos Well,CO,38.0,-104.25,38104-A3
Chimney Canyons,CO,40.875,-103.375,40103-H4
Chimney Rock,CO,37.125,-107.25,37107-B3
Chivington,CO,38.375,-102.5,38102-D5
Chivington SE,CO,38.25,-102.5,38102-C5
Chris Mountain,CO,37.25,-107.125,37107-C2
Chromo,CO,37.0,-106.75,37106-A7
Cimarron,CO,38.375,-107.5,38107-D5
Cimarrona Peak,CO,37.5,-107.125,37107-E2
Circle Dot Gulch,CO,39.5,-108.125,39108-E2
Citadel Plateau,CO,40.25,-108.125,40108-C2
Clark,CO,40.625,-106.875,40106-F8
Clark Peak,CO,40.5,-105.875,40105-E8
Clarkville,CO,40.375,-102.625,40102-D6
Clarkville NE,CO,40.375,-102.5,40102-D5
Clarkville SE,CO,40.25,-102.5,40102-C5
Clarkville SW,CO,40.25,-102.625,40102-C6
Clay Buttes,CO,40.625,-108.375,40108-F4
Clay Ranch,CO,37.625,-103.0,37103-F1
Clifford,CO,39.0,-103.25,39103-A3
Clifton,CO,39.0,-108.375,39108-A4
Climax,CO,39.25,-106.125,39106-C2
Clyde Lake,CO,37.625,-108.125,37108-F2
Coal Creek,CO,39.625,-104.625,39104-F6
Coaldale,CO,38.25,-105.75,38105-C7
Coalmont,CO,40.5,-106.375,40106-E4
Cobb Lake,CO,40.625,-104.875,40104-F8
Cobert Mesa North,CO,37.0,-103.5,37103-A5
Cochetopa Park,CO,38.125,-106.625,38106-B6
Cockleburr Springs,CO,38.5,-103.875,38103-E8
Coffeepot Spring,CO,40.875,-108.375,40108-H4
Cold Spring Park,CO,38.125,-106.75,38106-B7
Collbran,CO,39.125,-107.875,39107-B8
Colona,CO,38.25,-107.75,38107-C7
Colorado City,CO,37.875,-104.75,37104-H7
Colorado National Monument,CO,39.0,-108.625,39108-A6
Colorado Springs,CO,38.75,-104.75,38104-G7
Columbine Pass,CO,37.5,-107.5,37107-E5
Comanche Peak,CO,40.5,-105.625,40105-E6
Commerce City,CO,39.75,-104.875,39104-G8
Como,CO,39.25,-105.875,39105-C8
Conifer,CO,39.5,-105.25,39105-E3
Cooper Mountain,CO,38.5,-105.125,38105-E2
Cope,CO,39.625,-102.75,39102-F7
Cope NW,CO,39.625,-102.875,39102-F8
Cope SE,CO,39.5,-102.75,39102-E7
Cope SW,CO,39.5,-102.875,39102-E8
Copper Mountain,CO,39.375,-106.125,39106-D2
Corbin Canyon,CO,37.625,-103.375,37103-F4
Corcoran Peak,CO,39.25,-108.5,39108-C5
Corcoran Point,CO,39.125,-108.5,39108-B5
Cornelia,CO,38.0,-103.25,38103-A3
Cornish,CO,40.5,-104.375,40104-E4
Corral Bluffs,CO,38.75,-104.5,38104-G5
Corral Peaks,CO,40.125,-106.125,40106-B2
Cortez,CO,37.25,-108.5,37108-C5
Cotopaxi,CO,38.25,-105.625,38105-C6
Cottonwood Basin,CO,38.5,-108.25,38108-E3
Cottonwood Pass,CO,39.5,-107.0,39107-E1
Cottonwood Valley North,CO,39.625,-103.75,39103-F7
Cottonwood Valley South,CO,39.5,-103.75,39103-E7
Courthouse Mountain,CO,38.125,-107.5,38107-B5
Cover Mountain,CO,38.625,-105.375,38105-F4
Cow Creek,CO,40.375,-106.875,40106-D8
Cowdrey,CO,40.75,-106.25,40106-G3
Craig,CO,40.5,-107.5,40107-E5
Craig NE,CO,40.625,-107.5,40107-F5
Craig NW,CO,40.625,-107.625,40107-F6
Crawford,CO,38.625,-107.5,38107-F5
Crazy Mountain,CO,40.875,-105.875,40105-H8
Creager Reservoir,CO,37.75,-105.25,37105-G3
Creede,CO,37.75,-106.875,37106-G8
Crested Butte,CO,38.75,-106.875,38106-G8
Crestone,CO,37.875,-105.625,37105-H6
Crestone Peak,CO,37.875,-105.5,37105-H5
Cripple Creek North,CO,38.75,-105.125,38105-G2
Cripple Creek South,CO,38.625,-105.125,38105-F2
Crook,CO,40.75,-102.75,40102-G7
Crooked Creek Pass,CO,39.375,-106.625,39106-D6
Cross Mountain Canyon,CO,40.375,-108.25,40108-D3
Crystal Creek,CO,38.625,-106.625,38106-F6
Crystal Mountain,CO,40.5,-105.375,40105-E4
Cuchara,CO,37.375,-105.0,37105-D1
Cucharas Pass,CO,37.25,-105.0,37105-C1
Cucharas Reservoir,CO,37.625,-104.5,37104-F5
Culebra Peak,CO,37.0,-105.125,37105-A2
Cumberland Pass,CO,38.625,-106.375,38106-F4
Cumbres,CO,37.0,-106.375,37106-A4
Curecanti Needle,CO,38.375,-107.375,38107-D4
Curley Peak,CO,38.25,-105.25,38105-C3
Cutoff Gulch,CO,39.625,-108.125,39108-F2
Dakan Mountain,CO,39.125,-105.0,39105-B1
Dalerose Mesa,CO,37.125,-103.375,37103-B4
Dallas,CO,38.125,-107.625,38107-B6
Davis Canyon,CO,39.625,-109.0,39109-F1
Davis Mesa,CO,38.25,-108.75,38108-C7
Davis Peak,CO,40.875,-106.625,40106-H6
Davis Point,CO,38.375,-108.125,38108-D2
Dawson Butte,CO,39.25,-104.875,39104-C8
Dawson Draw,CO,37.875,-108.625,37108-H6
De Beque,CO,39.25,-108.125,39108-C2
De Nova,CO,39.75,-102.875,39102-G8
De Nova NE,CO,39.875,-102.75,39102-H7
De Nova NW,CO,39.875,-102.875,39102-H8
De Nova SE,CO,39.75,-102.75,39102-G7
Dead Horse Springs,CO,40.375,-103.625,40103-D6
Deadman,CO,40.75,-105.75,40105-G7
Deadman Camp,CO,37.75,-105.75,37105-G7
Deadman Camp SW,CO,37.75,-105.875,37105-G8
Dearfield,CO,40.25,-104.25,40104-C3
Deckers,CO,39.25,-105.125,39105-C2
Deep Creek Point,CO,39.625,-107.5,39107-F5
Deep Lake,CO,39.75,-107.25,39107-G3
Deer Peak,CO,38.0,-105.125,38105-A2
Deer Trail,CO,39.5,-104.0,39104-E1
Del Norte,CO,37.625,-106.25,37106-F3
Del Norte Peak,CO,37.5,-106.5,37106-E5
Delagua,CO,37.25,-104.625,37104-C6
Delaney Butte,CO,40.625,-106.375,40106-F4
Delhi,CO,37.625,-104.0,37104-F1
Delta,CO,38.625,-108.0,38108-F1
Dennis Canyon,CO,37.0,-103.25,37103-A3
Denny Lake,CO,37.875,-102.75,37102-H7
Deora,CO,37.5,-102.875,37102-E8
Desert Gulch,CO,39.5,-108.375,39108-E4
Devil Mountain,CO,37.25,-107.25,37107-C3
Devils Causeway,CO,40.0,-107.125,40107-A2
Devils Gulch,CO,37.875,-105.25,37105-H3
Devils Head,CO,39.25,-105.0,39105-C1
Devils Hole Gulch,CO,40.125,-107.875,40107-B8
Devine,CO,38.25,-104.375,38104-C4
Diamond Peak,CO,40.875,-105.5,40105-H5
Dicks Peak,CO,38.75,-105.625,38105-G6
Dillon,CO,39.625,-106.0,39106-F1
Dinosaur,CO,40.125,-109.0,40109-B1
Dipper Spring,CO,40.875,-103.5,40103-H5
Divide,CO,38.875,-105.125,38105-H2
Divide Creek,CO,40.125,-108.5,40108-B5
Doe Canyon,CO,37.625,-108.625,37108-F6
Dog Mountain,CO,37.5,-106.25,37106-E3
Dolan Spring,CO,40.875,-103.875,40103-H8
Dolores East,CO,37.375,-108.375,37108-D4
Dolores Peak,CO,37.75,-108.0,37108-G1
Dolores Point North,CO,38.625,-109.0,38109-F1
Dolores Point South,CO,38.5,-109.0,38109-E1
Dolores West,CO,37.375,-108.5,37108-D5
Dome Peak,CO,39.875,-107.0,39107-H1
Dominguez,CO,38.75,-108.25,38108-G3
Doss Canyon North,CO,37.375,-103.75,37103-D7
Doss Canyon South,CO,37.25,-103.75,37103-C7
Dotsero,CO,39.625,-107.0,39107-F1
Douglas Pass,CO,39.5,-108.75,39108-E7
Dove Creek,CO,37.75,-108.875,37108-G8
Dover,CO,40.75,-104.75,40104-G7
Doyle Bridge,CO,38.0,-104.375,38104-A4
Doyleville,CO,38.375,-106.5,38106-D5
Dragon,UT,39.75,-109.0,39109-G1
Drake,CO,40.375,-105.25,40105-D3
Dripping Spring,CO,37.75,-102.75,37102-G7
Dry Creek,CO,38.875,-107.75,38107-H7
Dry Creek Basin,CO,38.375,-108.0,38108-D1
Dry Gulch,CO,39.75,-103.375,39103-G4
Dry Lakes,CO,37.5,-105.625,37105-E6
Dunckley,CO,40.25,-107.125,40107-C2
Dunckley Pass,CO,40.125,-107.125,40107-B2
Dunlap Ranch,CO,38.5,-102.75,38102-E7
Durango East,CO,37.25,-107.75,37107-C7
Durango West,CO,37.25,-107.875,37107-C8
Durkee Creek NW,CO,37.875,-102.125,37102-H2
Dutch Girl Lake,CO,40.5,-104.125,40104-E2
Eads,CO,38.375,-102.75,38102-D7
Eagle,CO,39.625,-106.75,39106-F7
Eagle Hill,CO,40.75,-106.125,40106-G2
Eagle Rock,CO,39.125,-105.625,39105-B6
Earl,CO,37.25,-104.25,37104-C3
East Evacuation Creek,CO,39.625,-108.875,39108-F8
East Portal,CO,39.875,-105.625,39105-H6
East Timberlake Creek,CO,40.75,-107.625,40107-G6
Eastlake,CO,39.875,-104.875,39104-H8
Eastman Creek SE,CO,40.75,-104.5,40104-G5
Eastman Creek South,CO,40.75,-104.625,40104-G6
Easton Gulch,CO,40.25,-107.875,40107-C8
Eastonville,CO,39.0,-104.5,39104-A5
Eaton,CO,40.5,-104.625,40104-E6
Eaton Reservoir,CO,40.875,-105.625,40105-H6
Echo,CO,38.375,-105.5,38105-D5
Eckley,CO,40.0,-102.375,40102-A4
Eckley NE,CO,40.125,-102.25,40102-B3
Eckley NW,CO,40.125,-102.375,40102-B4
Edison School,CO,38.5,-104.125,38104-E2
Edith,CO,37.0,-106.875,37106-A8
Edler,CO,37.125,-102.75,37102-B7
Edwards,CO,39.625,-106.5,39106-F5
Egnar,CO,37.875,-108.875,37108-H8
El Valle Creek,CO,37.125,-105.125,37105-B2
Elba,CO,39.875,-103.125,39103-H2
Elba NE,CO,39.875,-103.0,39103-H1
Elba SE,CO,39.75,-103.0,39103-G1
Elba SW,CO,39.75,-103.125,39103-G2
Elbert,CO,39.125,-104.5,39104-B5
Elder,CO,38.0,-103.875,38103-A8
Eldorado Springs,CO,39.875,-105.25,39105-H3
Electra Lake,CO,37.5,-107.75,37107-E7
Electric Mountain,CO,39.0,-107.5,39107-A5
Electric Peak,CO,38.125,-105.625,38105-B6
Elephant Head Rock,CO,37.125,-106.625,37106-B6
Elevenmile Canyon,CO,38.875,-105.375,38105-H4
Elizabeth,CO,39.25,-104.5,39104-C5
Elk Creek,CO,37.5,-107.875,37107-E8
Elk Knob,CO,39.125,-107.375,39107-B4
Elk Park,CO,38.0,-106.75,38106-A7
Elk Springs,CO,40.25,-108.375,40108-C4
Elkhorn,CO,39.125,-105.75,39105-B7
Elkhorn Mountain,CO,40.875,-106.875,40106-H8
Ellicott,CO,38.75,-104.375,38104-G4
Elsmere,CO,38.75,-104.625,38104-G6
Elwood Pass,CO,37.375,-106.625,37106-D6
Emerald Lake,CO,37.5,-107.375,37107-E4
Empire,CO,39.75,-105.625,39105-G6
Engineer Mountain,CO,37.625,-107.75,37107-F7
Englewood,CO,39.625,-104.875,39104-F8
Erie,CO,40.0,-105.0,40105-A1
Escalante Forks,CO,38.625,-108.375,38108-F4
Estes Park,CO,40.375,-105.5,40105-D5
Eureka Creek North,CO,38.875,-102.625,38102-H6
Eureka Creek South,CO,38.75,-102.625,38102-G6
Evergreen,CO,39.625,-105.25,39105-F3
Fairplay East,CO,39.125,-105.875,39105-B8
Fairplay West,CO,39.125,-106.0,39106-B1
Fairview Peak,CO,38.625,-106.5,38106-F5
Falcon,CO,38.875,-104.5,38104-H5
Falcon NW,CO,38.875,-104.625,38104-H6
Fall River Pass,CO,40.375,-105.75,40105-D7
Farisita,CO,37.625,-105.0,37105-F1
Farnum Peak,CO,39.125,-105.5,39105-B5
Farwell Mountain,CO,40.75,-106.75,40106-G7
Fawn Creek,CO,40.0,-107.5,40107-A5
