namevalue,statevalue,lat(double precision),long(double precision),mrc
Abeyta,CO,39.0,-104.625,39104-A6
Abarr,CO,39.75,-105.375,39105-G4
Aldrich Gulch,CO,37.625,-104.875,39102-G6
Adobe Springs,CO,38.625,-105.625,38105-F6
Abarr SE,CO,38.625,-107.75,39102-B6
Abeyta,CO,37.25,-106.75,37106-C7
Alpine Ranch SW,CO,40.25,-106.75,40106-C7
Alamosa East,OC,39.75,-107.375,39102-A6
Allens Park,CO,37.375,-105.5,37105-D5
Alpine Ranch NE,CO,37.5,-105.375,40107-F8
Alpine Ranch SW,CO,37.25,-105.5,39102-F5
Alamosa West,CO,39.0,-103.125,40103-G6
Arapahoe NW,CO,37.625,-103.875,40102-E2
Barron Creek,CO,39.875,-106.75,39107-F4
Agate,CO,38.5,-103.25,38103-E3
Adams Lake,OC,40.75,-106.5,40106-G5
Aguilar,CO,37.5,-108.375,37108-E4
Abarr SE,OC,38.25,-106.125,38106-C2
Abarr SE,CO,37.0,-107.75,37107-A7
Abeyta,CO,39.625,-102.125,39102-F2
Adobe Springs,CO,39.5,-102.125,39102-E2
Amherst,CO,38.25,-104.125,38104-C2
Abarr,CO,39.375,-105.875,39105-D8
Agate,CO,40.625,-105.75,40105-F7
Alamosa West,CO,39.875,-105.875,39105-H8
Alamosa East,O,40.0,-105.25,40105-A3
Alamosa West,yCO,37.25,-108.875,38105-G7
Adobe Springs,CO,40.25,-105.875,37107-A4
Adams Lake,CO,37.875,-106.5,37106-A1
Adobe Springs,OC,38.875,-107.5,38107-H5
Agate,OC,39.75,-104.625,40102-F2
Adena,CO,37.125,-103.75,37103-B7
Abarr,CO,38.375,-103.625,38103-D6
Allison,CO,38.875,-103.25,38103-H3
Akron SW,O,40.375,-104.75,40104-D7
Adams Lake,CO,38.375,-102.375,38102-D4
Allison,CO,37.0,-103.875,37103-A8
Abarr,CO,37.0,-103.75,37103-A7
Aguilar,CO,39.375,-106.0,39106-D1
Aguilar,CO,40.375,-107.375,40107-D4
Agate,CO,40.625,-104.25,40104-F3
Abarr SE,CO,39.875,-104.75,39104-H7
Alamosa East,CO,37.75,-107.0,37107-G1
Broken Rib Creek,CO,39.625,-107.125,37104-A2
Agate,CO,37.5,-103.25,38105-G7
Alvin SW,CO,37.375,-104.0,37104-D1
Abeyta,CO,40.25,-103.5,40103-C5
Adobe Springs,CO,40.25,-103.625,40103-C6
Akron SE,CO,39.625,-108.625,39103-H4
Alamosa East,CO,37.375,-103.125,37104-D6
Allens Park,CO,40.75,-107.25,40107-G3
Adams Lake,CO,40.75,-105.0,40105-G1
Alamosa West,CO,38.375,-109.0,38109-D1
Akron SE,CO,38.25,-107.625,40103-B2
Agate,CO,40.5,-105.25,40105-E3
Abarr,CO,40.5,-103.875,39103-G3
Adobe Springs,CO,40.0,-108.0,40108-A1
Abarr SE,CO,38.75,-106.0,38106-G1
Agate,CO,38.75,-106.125,38106-G2
Allison,CO,40.5,-106.625,40106-E6
Adena,CO,40.375,-106.25,40106-D3
Adler Creek,CO,40.25,-103.125,40103-C2
Alamosa West,CO,40.375,-103.0,40103-D1
Allens Park,CO,40.375,-103.125,40103-D2
Agate,CO,40.25,-103.0,38107-B3
Allison,CO,39.875,-107.5,39104-A1
Alamosa West,CO,38.125,-108.75,38108-B7
Allens Park,CO,39.625,-108.25,39108-F3
Adler Creek,CO,39.0,-107.375,39102-F5
Allison,CO,40.25,-102.875,40102-D2
Abeyta,CO,39.25,-102.25,39102-C3
Abarr SE,CO,39.125,-102.25,39102-B3
Abeyta,CO,39.125,-102.375,39102-B4
Adler Creek,CO,39.0,-102.25,39102-A3
Adena,CO,39.0,-102.375,39102-A4
Abeyta,CO,39.375,-102.25,39102-D3
Adena,O,39.875,-106.875,39106-H8
Abeyta,CO,39.75,-106.875,39106-G8
Adobe Springs,CO,37.625,-109.0,40102-C2
Aldrich Gulch,CyO,38.25,-105.875,38105-C8
Allens Park,CO,38.5,-104.625,38104-E6
Aguilar,CO,39.625,-104.125,39104-F2
Adams Lake,CO,39.75,-105.875,39105-G8
Akron SE,CO,39.5,-104.125,39104-E2
Abarr SE,O,40.125,-106.0,40103-A1
Anton SE,O,39.375,-104.5,39107-F4
Abeyta,CO,40.125,-108.625,40108-B6
Alvin SW,CO,37.625,-108.75,37107-A4
Adler Creek,CO,38.5,-108.75,38108-E7
Alvin SW,CO,40.0,-108.5,40108-A5
Abarr,O,39.5,-108.625,39102-B6
Alamosa East,CO,39.0,-104.25,39104-A3
Abarr SE,CO,38.5,-108.125,38103-F3
Allens Park,CO,39.125,-108.25,39108-B3
Akron SW,CO,38.625,-105.875,40107-F8
Adams Lake,CO,37.0,-102.5,37102-A5
Allens Park,CO,37.125,-102.5,37102-B5
Allison,CO,37.125,-102.625,37102-B6
Alvin SW,CO,37.0,-102.625,37109-A1
Abarr SE,O,38.0,-107.125,40103-A2
Amherst,CO,38.375,-105.125,38105-D2
Adler Creek,OC,40.625,-108.875,40108-F8
Aguilar,CO,40.5,-108.875,40108-E8
Alvin SW,CO,39.125,-107.0,37105-D8
Adena,OC,37.75,-104.5,37104-G5
Alamosa West,OC,37.25,-106.0,37104-A2
Adams Lake,CO,39.625,-107.25,39107-F3
Agate,CO,39.375,-107.125,39107-D2
Carbonera,CO,39.375,-108.875,39108-D8
Adena,CO,38.0,-102.375,38102-A4
Aguilar,CO,38.375,-107.125,38107-D2
Adams Lake,CO,40.875,-104.75,40104-H7
Abeyta,CO,40.75,-104.875,40104-G8
Abarr SE,CO,40.875,-104.875,40104-H8
Akron SE,CO,37.0,-107.25,40103-D5
Alamosa West,CO,37.125,-103.0,38105-A4
Allison,CO,40.25,-105.125,40105-C2
Adams Lake,CO,38.875,-104.875,38104-H8
Allens Park,CO,39.75,-106.75,39106-G7
Agate,CO,38.75,-105.875,38105-G8
Carbonera,CO,39.375,-104.75,37104-A2
Broken Rib Creek,CO,39.25,-104.75,38105-A4
Beaver Basin,CO,38.625,-108.625,37107-A4
Abeyta,CO,40.375,-107.5,40107-D5
Alpine Ranch SW,CO,37.75,-102.625,37102-G6
Abarr,CO,37.875,-102.5,37105-D8
Allens Park,CO,37.875,-102.625,39102-A5
Adams Lake,CO,38.5,-107.5,38107-E5
Agate,CO,39.375,-107.25,39107-D3
Akron SE,CO,39.375,-104.0,39104-D1
Alamosa East,CO,40.375,-108.125,40108-D2
Abarr SE,CO,38.875,-107.875,40103-B2
Adler Creek,CO,37.875,-104.5,39102-F5
Abarr,CO,38.75,-106.75,38106-G7
Alamosa West,CO,39.375,-107.375,39107-D4
Amherst,CO,37.75,-106.0,37106-G1
Akron SW,CO,37.625,-106.0,37106-F1
Abarr SE,CO,39.75,-105.5,40103-A2
Abeyta,CO,37.25,-106.125,37106-C2
Adobe Springs,CO,38.375,-107.625,37105-D8
Abarr,CO,39.0,-107.25,39107-A3
Allens Park,OC,40.875,-104.5,40104-H5
Akron SE,O,40.875,-104.625,40104-H6
Aldrich Gulch,OC,39.0,-107.625,40103-A8
Alamosa East,O,37.0,-106.625,37106-A6
Allens Park,OC,40.5,-105.75,37104-A2
Adams Lake,CO,37.625,-108.875,37108-F8
Akron SE,CO,39.125,-105.25,39102-G6
Adams Lake,CO,38.0,-103.5,40102-F2
Abarr,CO,40.875,-105.375,39103-G3
Cherry Canyon,CO,37.25,-103.375,37107-A4
Cherry Valley School,CO,39.125,-104.625,40103-A8
Amherst,CO,38.25,-106.25,39102-G6
Adobe Springs,CO,38.625,-104.75,40103-A8
Amherst,CO,38.75,-102.25,40105-B5
Alamosa East,CO,38.625,-102.25,40103-A1
Alamosa East,CO,38.625,-102.375,38102-G1
North of Sheridan Lake,CO,38.5,-102.25,38108-B8
Cherry Valley School,CO,38.5,-102.375,40102-D2
Allison,CO,38.875,-102.25,39102-G5
Abarr,OC,38.875,-102.375,38105-G7
Aguilar,CO,38.75,-102.375,37105-D6
Chicos Well,CO,38.0,-104.25,39107-F4
Aguilar,CO,40.875,-103.375,40102-C2
Alamosa West,CO,37.125,-107.25,40103-A8
Broken Rib Creek,CO,38.375,-102.5,40105-B5
Chicos Well,CO,38.25,-102.5,37104-A2
Chris Mountain,CO,37.25,-107.125,37104-D6
Carbonera,CO,37.0,-106.75,39103-D8
Alpine Ranch SW,CO,38.375,-107.5,37104-A2
Abarr SE,CO,37.5,-107.125,39102-G5
Alamosa East,CO,39.5,-108.125,39102-G6
Cherry Valley School,CO,40.25,-108.125,40107-F8
Allison,CO,40.625,-106.875,37105-D7
Abarr,CO,40.5,-105.875,39105-G1
Alamosa East,OC,40.375,-102.625,39102-F5
Adler Creek,CO,40.375,-102.5,37105-D8
Adler Creek,CO,40.25,-102.5,39106-C1
Aguilar,CO,40.25,-102.625,39107-F4
North of Sheridan Lake,CO,40.625,-108.375,40105-B5
Akron SE,CO,37.625,-103.0,39103-H3
Chris Mountain,CO,39.0,-103.25,40105-B5
Cherry Canyon,CO,39.0,-108.375,39106-C1
Abeyta,CO,39.25,-106.125,37109-A1
Adler Creek,CO,37.625,-108.125,39104-A1
Coal Creek,CtO,39.625,-104.625,37104-A2
Coaldale,CO,38.25,-105.75,39102-G6
Coalmont,CO,40.5,-106.375,40104-F8
Cobb Lake,CO,40.625,-104.875,40104-F8
Cobert Mesa North,CeO,37.0,-103.5,39108-D8
Cochetopa Park,CO,38.125,-106.625,40104-F8
Cockleburr Springs,CO,38.5,-103.875,40103-A2
Coffeepot Spring,CtO,40.875,-108.375,37104-A2
Cold Spring Park,CO,38.125,-106.75,40103-A8
Collbran,CO,39.125,-107.875,37107-C4
Colona,CO,38.25,-107.75,38108-B8
Colorado City,CO,37.875,-104.75,39102-A6
Colorado National Monument,CO,39.0,-108.625,38102-D6
Colorado Springfs,CO,38.75,-104.75,38102-D6
Columbine Pass,CO,37.5,-107.5,40103-A8
Comanche Peak,CO,40.5,-105.625,39103-H3
Commerce City,CO,39.75,-104.875,40103-A2
Coom,CO,39.25,-105.875,40107-F8
Conifer,CO,39.5,-105.25,39107-F4
Cooper Mountain,CO,38.5,-105.125,39102-B6
Coep,CO,39.625,-102.75,38105-G7
Cope NW,CO,39.625,-102.875,37105-D7
Cope SE,CO,39.5,-102.75,39102-F5
Cope SW,CO,39.5,-102.875,37104-A2
Copper Mountain,CO,39.375,-106.125,39105-D4
Corbin Canyvon,CO,37.625,-103.375,37104-A2
Corcoran Peak,CO,39.25,-108.5,39102-G5
Corcoran Point,CO,39.125,-108.5,40108-F1
Conrelia,CO,38.0,-103.25,38104-B3
Cornish,CO,40.5,-104.375,39102-G6
Corral Bluffs,CO,38.75,-104.5,40103-B2
Corral Peaks,CO,40.125,-106.125,39102-G6
Cortze,CO,37.25,-108.5,40103-G5
Cotopaxi,CO,38.25,-105.625,39107-F4
Cottonwood Basin,CO,38.5,-108.25,38105-G7
Cottnowood Pass,CO,39.5,-107.0,37105-D7
Cottonwood Valley North,CO,39.625,-103.75,39103-D8
Cottonwood Valley South,CO,39.5,-103.75,39103-C3
Courthouse Mountain,CO,38.125,-107.5,40103-A1
Cover Mountain,CO,38.625,-105.375,39103-D8
Cow Creek,CO,40.375,-106.875,38105-A4
Cowdrey,CO,40.75,-106.25,38102-D6
Craig,OC,40.5,-107.5,38106-F7
Craig NE,CO,40.625,-107.5,37104-A2
Craig NW,OC,40.625,-107.625,40107-F6
Crawford,CO,38.625,-107.5,38107-5
Crazy Mountain,CO,40.875,-105.875,40105-H8
Creager Reservoir,CgO,37.75,-105.25,37105-G3
Creede,CO,37.75,-106.875,37106-G8
Cretsed Butte,CO,38.75,-106.875,38106-G8
Crestone,CO,37.875,-105.625,37105-H6
Crestone Peak,CO,37.875,-105.5,37105-H5
Cripple Creek North,CO,38.75,-105.125,38105-G2
Cripple Creek South,bCO,38.625,-105.125,38105-F2
Crook,CO,40.75,-102.75,40102-G7
Crooked Creek Pass,O,39.375,-106.625,39106-D6
Cross Moquntain Canyon,CO,40.375,-108.25,4108-D3
Crystal Creek,CO,38.625,-106.625,38106-F6
Crystal Mountain,CO,40.5,-105.375,40105-E4
Cuchaar,CO,37.375,-105.0,37105-D1
Cucharas Pass,CO,37.25,-105.0,3105-C1
Cucharas Reservoir,CO,37.625,-104.5,3710-F5
Culebra Peak,CO,37.0,-105.125,37105-A2
Cumberland Pass,CO,38.625,-106.375,38106-F4
Cumbres,CO,37.0,-106.375,37106-A4
Curecanti Needle,CO,38.375,-107.375,38107-D4
Curley Peak,CmO,38.25,-105.25,38105-C3
Cutoff Gulch,OC,39.625,-108.125,39108-F2
Dakan Mountain,OC,39.125,-105.0,39105-B1
Dalerose Mesa,OC,37.125,-103.375,37103-B4
Dallas,CO,38.125,-107.625,38107-B6
Davis Canyon,CO,39.625,-109.0,39109-F1
Davis Mesa,CO,38.25,-108.75,38108-C7
Davis Peak,CO,40.875,-106.625,40106-H6
Davis Point,CO,38.375,-108.125,38108-D2
Dawson Butte,CO,39.25,-104.875,39104-C8
Dawson Draw,CO,37.875,-108.625,37018-H6
De Beque,uCO,39.25,-108.125,39108-C2
De Nvoa,CO,39.75,-102.875,39102-G8
De Noa NE,CO,39.875,-102.75,39102-H7
De Nova NW,CO,39.875,-102.875,39102-H8
De Nova SE,CO,39.75,-102.75,3902-G7
Dead Horse Springs,OC,40.375,-103.625,40013-D6
Deadman,CO,40.75,-105.75,40105-G7
Deadman Camp,CO,37.75,-105.75,37105-7G
Deadman Camp SW,CO,37.75,-105.875,37105-G8
Dearfievld,CO,40.25,-104.25,40104-C3
Deckeqrs,CO,39.25,-105.125,391l05-C2
Deep Creek Point,CO,39.625,-107.5,39107-F5
Deep Lake,CO,39.75,-107.25,39107-G3
Deer Peak,CO,38.0,-105.125,38105-A2
Deer Trail,CO,39.5,-104.0,39104-E1
Del Norte,CO,37.625,-106.25,37106-F3
Del Norte Peak,CO,37.5,-106.5,37106-E5
Delaga,CO,37.25,-104.625,37104-C6
Delaney Butte,O,40.625,-106.375,40106-F4
Delhi,CO,37.625,-104.0,37104-F1
Delta,CO,38.625,-108.0,38108-F1
Denis Canyon,CO,37.0,-103.25,37013-A3
Denny Lake,CO,37.875,-102.75,37102-H7
Dora,uCO,37.5,-102.875,7102-E8
Desnert Gulch,CO,39.5,-108.375,39108-E4
Devil Mountain,CO,37.25,-107.25,37107-C3
Devils Causeway,CO,40.0,-107.125,40107-A2
Devils Gulch,CO,37.875,-105.25,37105-H3
Devils Head,CO,39.25,-105.0,39105-C1
Devils Hole Gulch,CO,40.125,-107.875,40107-B8
Devine,dCO,38.25,-104.375,38104-C4
Diamond Peak,CO,40.875,-105.5,40105-H5
Dicks Peak,CO,38.75,-105.625,38105-G6
Dillon,CO,39.625,-106.0,39106-F1
Dinosaur,CO,40.125,-109.0,40109-B1
Dipper Spring,CO,40.875,-103.5,40103-H5
Divide,CO,38.875,-105.125,38105-H2
Divide Creek,CO,40.125,-108.5,40108-B5
Doe Canyon,CO,37.625,-108.625,37108-F6
Dog Mountain,CO,37.5,-106.25,37016-E3
Dolan Spring,CO,40.875,-103.875,40103-H8
Dolores East,CO,37.375,-108.375,37108-D4
Dolores Peak,CO,37.75,-108.0,37108-G1
Dolores Point North,CO,38.625,-109.0,38109-F1
Dolores Point South,CO,38.5,-109.0,38109-E1
Dolores West,CO,37.375,-108.5,37108-D5
Dome Peak,CO,39.875,-107.0,39107-H1
Dominguez,CO,38.75,-108.25,3t8108-G3
Doss Canyon North,CO,37.375,-103.75,37103-D7
Doss Canyon South,CO,37.25,-103.75,37103-C7
Dotsero,CO,39.625,-107.0,39107-F1
Douglas Pass,CO,39.5,-108.75,39108-E7
Dove Creek,CO,37.75,-108.875,37108-G8
Dover,CO,40.75,-104.75,40104-G7
Doye Bridge,CO,38.0,-104.375,38104-A4
Doyleville,CO,38.375,-106.5,38106-D5
Draggon,UT,39.75,-109.0,39109-G1
Drake,CO,40.375,-105.25,40105s-D3
Dripping Spring,O,37.75,-102.75,37102-G7
Dry Creek,CO,38.875,-107.75,38107-H7
Dry Cree kBasin,CO,38.375,-108.0,38108-D1
Dary Gulch,pCO,39.75,-103.375,39103-G4
Dry Lakes,CO,37.5,-105.625,37105-E6
Dunckley,O,40.25,-107.125,40107-C2
Dunckley Pass,CO,40.125,-107.125,40107-B2
Dunlap Ranch,CO,38.5,-102.75,38102-E7
DurangoE ast,CO,37.25,-107.75,37107-7C
Durango West,CO,37.25,-107.875,37107-C8
Durkee Creek NW,CO,37.875,-102.125,37102-H2
Dutch Gil Lake,CO,40.5,-104.125,40104-E2
Eads,CO,38.375,-102.75,38102-D7
Eagle,sCO,39.625,-106.75,39106-F7
Eagle Hill,CO,40.75,-106.125,40106-G2
Eagle Rock,CO,39.125,-105.625,39105-B6
Earl,CO,37.25,-104.25,37104-C3
East Evacuation Creek,CO,39.625,-108.875,39108-F8
East Portal,CO,39.875,-105.625,39105-H6
East Timberlake Creek,CO,40.75,-107.625,40107-G6
Estlake,CO,39.875,-104.875,39104-H8
Eastman Creek SE,O,40.75,-104.5,40104-G5
Eastman Creek South,CO,40.75,-104.625,40104-G6
Easton Gulch,CO,40.25,-107.875,40107-C8
Eastonville,O,39.0,-104.5,39104-A5
Eaton,CO,40.5,-104.625,40104-E6
Eaton Reservoir,CO,40.875,-105.625,40105-6H
Echo,CO,38.375,-105.5,38105-D5
Eckley,CO,40.0,-102.375,40102-A4
Eckley sNE,CO,40.125,-102.25,40102-B3
Eckley NW,CO,40.125,-102.375,40102-B4
Edison School,CiO,38.5,-104.125,38104-E2
Edith,CO,37.0,-106.875,37106-A8
Edler,CO,37.125,-102.75,37102-B7
Edwards,CO,39.625,-106.5,39106-F5
Egnar,CO,37.875,-108.875,37108-H8
El Valle Creek,CO,37.125,-105.125,37105-B2
Elba,CO,39.875,-103.125,39103-H2
Elba NE,CO,39.875,-103.0,39103-H1
Elba SE,CO,39.75,-103.0,39103-G1
Elba SW,CO,39.75,-103.125,39103-G2
Elbert,CO,39.125,-104.5,39104-B5
Elder,CO,38.0,-103.875,38103-A8
Eldorado Springs,CO,39.875,-105.25,39105-H3
Electra Lake,CO,37.5,-107.75,37107-E7
Electric Mountain,CO,39.0,-107.5,3910-A5
Electric Peak,CO,38.125,-105.625,38105-B6
Elephant Head Rock,CO,37.125,-106.625,37106-B6
Elevenmile Canyon,CO,38.875,-105.375,38105-H4
Elizabeth,CO,39.25,-104.5,39104-C5
Elk Creek,CO,37.5,-107.875,37107-E8
Elk Knob,CO,39.125,-107.375,39107-B4
Elk Pakr,CO,38.0,-106.75,38106-A7
Elk Springs,CO,40.25,-108.375,4010-C4
Elkhorn,CO,39.125,-105.75,39105-B7
Elkhorn Mountain,CO,40.875,-106.875,40106-H8
Ellicott,CO,38.75,-104.375,8104-G4
Elsmere,O,38.75,-104.625,38104-hG6
Elwood Pass,O,37.375,-106.625,3710e6-D6
Emerald Lake,CO,37.5,-107.375,37107-Es4
Epmire,CO,39.75,-105.625,39105-G6
Engineer Mountain,CO,37.625,-107.75,37107-F7
Englewood,CO,39.625,-104.875,39104-8
Erie,CO,40.0,-105.0,40105A1
Escalante Forks,CO,38.625,-108.375,8108-F4
Estesh Park,yCO,40.375,-105.5,40105-5D
Eureka Creek North,CO,38.875,-102.625,38102-H6
Eureka Creek South,CO,38.75,-102.625,38102-G6
Evegreen,ChO,39.625,-105.25,39105-F3
Fairplay East,CO,39.125,-105.875,39105-B8
Fqairplay West,CO,39.125,-106.0,3910-B1
Fairview Peak,CO,38.625,-106.5,38106-F5
Falcon,CO,38.875,-104.5,38104-H5
Falcon NW,CO,38.875,-104.625,38104-H6
Fall River Pass,O,40.375,-105.75,40105-D7
Farisita,CO,37.625,-105.0,37105-F1
Farnum Peak,CO,39.125,-105.5,39105-B5
Farwell Mountain,OC,40.75,-106.75,40106-G7
Fawn Creek,CO,40.0,-107.5,40107-A5
Fiddler Peak,CO,40.375,-102.375,4010-2D4
Figure Four Spring,CO,39.625,-108.375,39108-F4
Finger Mesa,CO,37.75,-107.25,3707-G3
irstview,CO,38.75,-102.5,8102-G5
Fish Creek,CO,38.75,-108.75,38108-G7
Fishers Peak,CO,37.0,-104.375,31704-A4
Fitzsimons,CO,39.625,-104.75,39104-7
Flagler,CO,39.25,-103.0,39103-1
Flagller NE,CO,39.375,-103.0,39103-Db1
Flagler NW,CO,39.375,-103.125,39103-D2
Flagler Reservoir,CO,39.25,-102.875,39102-C8
