1707.mrc,3q7104-F7,37104-F7
323.mrc,37105-D7,40106-F8
1451.statevalue,OC,CO
264.namevalue,Akron SE,Carracas
358.mrc,37104-A2,39102-E8
1471.statevalue,CcO,CO
329.mrc,40105-B5,40108-F4
754.mrc,v37104-C4,37104-C4
584.statevalue,CtO,CO
226.namevalue,Adena,Burns North
275.namevalue,Abarr,Cat Creek NE
365.mrc,40103-B2,38104-G5
211.namevalue,Adler Creek,Buffalo Springs Ranch
334.mrc,39104-A1,37108-F2
1126.statevalue,CkO,CO
209.namevalue,Allison,Buffalo Pass
339.statevalue,CeO,CO
1379.mrc,38102C-8,38102-C8
691.statevalue,OC,CO
214.mrc,38107-B3,40103-C1
1309.statevalue,O,CO
363.namevalue,Conrelia,Cornelia
1332.statevalue,OC,CO
160.namevalue,Alpine Ranch SW,Blanca SE
135.namevalue,Adobe Springs,Big Marvine Peak
306.namevalue,Alamosa East,South Ladder Creek
1543.statevalue,CyO,CO
226.statevalue,O,CO
1335.namevalue,Red Cliff***,Red Cliff
969.statevalue,pCO,CO
282.namevalue,Adler Creek,Cedarwood
1510.mrc,37102-6C,37102-C6
75.namevalue,Akron SW,Badito Cone
391.mrc,4108-D3,40108-D3
734.namevalue,Herefor dSE,Hereford SE
764.statevalue,CyO,CO
1014.mrc,38107-2H,38107-H2
228.mrc,40102-C2,37109-F1
442.statevalue,dCO,CO
1470.mrc,38160-E7,38106-E7
46.statevalue,OC,CO
718.mrc,40h102-F5,40102-F5
354.mrc,39102-B6,38105-E2
112.namevalue,Alamosa East,Beaver Creek Reservoir
1497.statevalue,CxO,CO
196.namevalue,Abeyta,Brush East
1632.namevalue,Tpriangle Park,Triangle Park
302.mrc,39102-G6,38106-C3
571.statevalue,OC,CO
1662.statevalue,jCO,CO
1210.statevalue,OC,CO
652.mrc,3717-E3,37107-E3
33.namevalue,Akron SE,Andrix
353.mrc,39107-F4,39105-E3
87.namevalue,Aguilar,Barcus Creek
72.statevalue,CbO,CO
273.namevalue,Abeyta,Castor Gulch
128.namevalue,Akron SE,Big Beaver Reservoir
1499.statevalue,jCO,CO
298.namevalue,Adams Lake,Cheraw
417.mrc,40013-D6,40103-D6
1167.mrc,3702-G3,37102-G3
1610.statevalue,O,CO
186.namevalue,Allison,Branson
352.namevalue,Coom,Como
685.statevalue,CoO,CO
1578.statevalue,O,CO
475.statevalue,O,CO
1641.statevalue,OC,CO
1566.namevalue,Swalldows,Swallows
384.namevalue,Cretsed Butte,Crested Butte
753.mrc,38h104-C8,38104-C8
1240.namevalue,Petz,Peetz
342.statevalue,CtO,CO
523.mrc,4010-C4,40108-C4
912.namevalue,Lake Geroge,Lake George
1012.mrc,391j07-A2,39107-A2
861.mrc,d38108-E4,38108-E4
1197.namevalue,Osirer,Osier
309.namevalue,Allison,Cheyenne Wells NE
303.namevalue,Adobe Springs,Cheyenne Mountain
380.mrc,38107-5,38107-F5
1074.statevalue,OC,CO
978.mrc,3710-2C8,37102-C8
590.mrc,40103-Bs3,40103-B3
118.namevalue,Akron SW,Beecher Island NW
466.namevalue,Doye Bridge,Doyle Bridge
1243.statevalue,O,CO
330.mrc,39103-H3,37103-F1
1221.statevalue,wCO,CO
1654.namevalue,Twin Mountainss SE,Twin Mountains SE
528.mrc,3710e6-D6,37106-D6
1605.namevalue,Thuman,Thurman
1005.mrc,37104-cB6,37104-B6
1452.mrc,391z03-G7,39103-G7
270.namevalue,Carbonera,Castle Rock North
228.namevalue,Adobe Springs,Burnt Cabin Creek
47.namevalue,Adobe Springs,Antonito
1594.statevalue,O,CO
123.namevalue,Alamosa East,Beuck Draw
227.namevalue,Abeyta,Burns South
501.statevalue,CiO,CO
1573.namevalue,Table Mountani,Table Mountain
667.statevalue,O,CO
1283.mrc,4010-4D3,40104-D3
540.mrc,3910-B1,39106-B1
1264.statevalue,OC,CO
268.namevalue,Allens Park,Castle Peak
1072.statevalue,O,CO
1750.namevalue,Wvickiup Canyon,Wickiup Canyon
1350.mrc,40z104-G4,40104-G4
149.mrc,39102-B5,39108-G5
1591.namevalue,Th Nipple,The Nipple
1512.statevalue,OC,CO
244.namevalue,Akron SW,Cameron Mountain
1664.namevalue,Uhler Ranhc,Uhler Ranch
1017.statevalue,O,CO
148.namevalue,Barron Creek,Bitter Creek Well
1718.namevalue,Watkins ES,Watkins SE
1420.namevalue,Snand Camp,Sand Camp
255.statevalue,OC,CO
60.namevalue,Adams Lake,Arriba NE
242.namevalue,Abarr SE,Camel Back
966.mrc,37107-2F,37107-F2
1163.statevalue,O,CO
1256.mrc,40t107-E6,40107-E6
749.mrc,9108-C7,39108-C7
701.namevalue,arbord,Harbord
271.mrc,38105-A4,39104-C7
1693.mrc,37102-aC4,37102-C4
969.mrc,40h105-G3,40105-G3
1590.mrc,3910w7-B7,39107-B7
755.mrc,3714-H4,37104-H4
922.mrc,40103B-7,40103-B7
1692.statevalue,jCO,CO
1344.statevalue,O,CO
883.mrc,3812-H8,38102-H8
374.mrc,39103-D8,38105-F4
240.mrc,39102-B6,39108-E6
95.mrc,39103-E1,39103-B5
1611.mrc,3710-H8,37103-H8
240.statevalue,O,CO
90.namevalue,Akron SW,Barkelew Draw
221.namevalue,Abarr SE,South of Burlington
1286.mrc,37107-4G,37107-G4
1004.statevalue,OC,CO
1199.mrc,40102-Bw8,40102-B8
128.statevalue,OC,CO
1586.namevalue,Texsa Mountain,Texas Mountain
1184.statevalue,O,CO
265.namevalue,Alamosa West,Carrizo Mountain
62.statevalue,O,CO
177.mrc,37107-A4,40105-C8
556.mrc,39103-1,39103-C1
121.namevalue,Akron SW,Berthoud Pass
295.statevalue,OC,CO
292.statevalue,O,CO
154.mrc,39102-B6,38107-F7
139.namevalue,Aguilar,Big Soap Park
1702.statevalue,OC,CO
310.mrc,38105-G7,38102-H4
847.namevalue,udson Hills,Judson Hills
1661.mrc,3108-G8,38108-G8
1070.statevalue,cCO,CO
293.mrc,40103-A8,39107-A6
85.namevalue,Abarr,Bar J H Ranch
321.namevalue,Alamosa East,Circle Dot Gulch
1645.mrc,3710b7-A1,37107-A1
295.namevalue,Allens Park,Chambers Lake
737.mrc,x37107-D7,37107-D7
402.statevalue,OC,CO
1713.namevalue,WapitiP eak,Wapiti Peak
1141.namevalue,aturita NW,Naturita NW
611.mrc,38108l-F8,38108-F8
1704.statevalue,OC,CO
1268.mrc,381f06-E5,38106-E5
711.statevalue,OC,CO
102.namevalue,Adobe Springs,Battle Mountain
1702.namevalue,Waldegn,Walden
597.namevalue,Gg Spring,G Spring
1043.namevalue,McKdenna Peak,McKenna Peak
38.namevalue,Abarr,Antelope Mesa
1803.statevalue,O,CO
316.namevalue,Chicos Well,Chivington SE
882.namevalue,North of Chiington,North of Chivington
215.mrc,39104-A1,39107-H5
755.namevalue,Hg Ranch Canyon,Hog Ranch Canyon
356.mrc,37105-D7,39102-F8
1060.namevalue,Mesito Reserovir,Mesito Reservoir
159.namevalue,Alpine Ranch NE,Blanca Peak
64.namevalue,Adobe Springs,Arsenic Lake SW
255.mrc,37104-A2,37106-C1
1689.statevalue,CzO,CO
689.mrc,3a8104-H4,38104-H4
46.mrc,38106-F7,38108-C2
534.mrc,8108-F4,38108-F4
895.statevalue,O,CO
219.namevalue,Allison,Burdett
132.namevalue,Adobe Springs,Big Gulch
1817.namevalue,Mlidway SE,Midway SE
1577.namevalue,Tannre Mesa,Tanner Mesa
1622.namevalue,Torers,Torres
31.namevalue,Adler Creek,Amherst SW
781.mrc,3108-B1,38108-B1
97.namevalue,Agate,Basalt
308.namevalue,Cherry Valley School,North of Brandon
1149.namevalue,New ork Peak,New York Peak
79.namevalue,Abeyta,Bald Mountain
1532.namevalue,Stoneharm NW,Stoneham NW
101.namevalue,Akron SW,Battle Canyon
1647.statevalue,O,CO
967.namevalue,Litttleton,Littleton
544.statevalue,O,CO
1246.statevalue,OC,CO
1341.mrc,39108D2,39108-D2
370.mrc,37105-D7,39107-E1
1579.statevalue,O,CO
1307.mrc,38103-6,38103-H6
1785.mrc,3908-G4,39108-G4
1245.namevalue,Philadeelphia Creek,Philadelphia Creek
675.namevalue,Grover EN,Grover NE
1070.mrc,37108-3,37108-D3
790.mrc,3810j3-F4,38103-F4
732.statevalue,CaO,CO
1497.namevalue,cSouth River Peak,South River Peak
595.mrc,3103-A1,37103-A1
1402.mrc,z39104-G7,39104-G7
765.mrc,4010-E2,40107-E2
1770.mrc,4g0107-E1,40107-E1
894.statevalue,bCO,CO
361.mrc,39102-G5,39108-C5
1096.mrc,3810-8D3,38108-D3
71.namevalue,Allison,Avalo SE
1258.mrc,39104E6,39104-E6
161.mrc,40103-G6,39103-A2
1653.statevalue,CrO,CO
1596.namevalue,The Seevn Hermits,The Seven Hermits
129.namevalue,Aldrich Gulch,Big Bucktail Creek
1110.namevalue,Moumnt Guero,Mount Guero
176.namevalue,Alamosa West,Bowdish Canyon
885.statevalue,OC,CO
264.mrc,40103-D5,37107-A3
56.namevalue,Agate,Arlington
1807.namevalue,Durkee Creeek NE,Durkee Creek NE
598.statevalue,O,CO
65.namevalue,Abarr SE,Arvada
784.mrc,8103-C4,38103-C4
873.namevalue,Kioaw,Kiowa
1625.namevalue,Trial Mountain,Trail Mountain
244.mrc,40107-F8,38105-F8
1473.mrc,31904-B1,39104-B1
975.mrc,7107-B7,37107-B7
347.mrc,38102-D6,39108-A6
1216.namevalue,Palsade,Palisade
257.namevalue,Agate,Carbondale
1572.mrc,371b03-D1,37103-D1
87.statevalue,OC,CO
1794.statevalue,O,CO
956.mrc,3913-C6,39103-C6
319.namevalue,Alpine Ranch SW,Cimarron
1378.statevalue,O,CO
528.statevalue,O,CO
142.namevalue,Alpine Ranch SW,Bighole Butte
35.namevalue,Anderson Mesa,Antelope Creek East
333.namevalue,Abeyta,Climax
89.namevalue,Aldrich Gulch,Barela
688.mrc,38130-A4,38103-A4
348.namevalue,Colorado Springfs,Colorado Springs
1543.namevalue,Strasubrg SW,Strasburg SW
584.mrc,38104-Ey5,38104-E5
137.namevalue,Allison,Big Narrows
515.mrc,3910-A5,39107-A5
140.namevalue,Alvin SW,Big Spring
870.statevalue,OC,CO
185.namevalue,Adams Lake,Brandon
555.mrc,39104-7,39104-F7
1330.mrc,40105-dB4,40105-B4
1799.namevalue,Venanjgo,Venango
657.statevalue,CbO,CO
1236.statevalue,CcO,CO
1551.namevalue,tSuart,Stuart
1387.namevalue,Roya lGorge,Royal Gorge
1722.statevalue,OC,CO
655.namevalue,Graya Head,Gray Head
27.namevalue,Adler Creek,Alta Vista
997.mrc,u39103-E5,39103-E5
234.namevalue,Abarr SE,Cabin Creek
166.namevalue,Aguilar,Boggy Draw
1048.mrc,7105-F6,37105-F6
119.statevalue,CvO,CO
416.mrc,3902-G7,39102-G7
1216.statevalue,kCO,CO
126.namevalue,Agate,Beverly Grove
1434.statevalue,OC,CO
646.namevalue,Praachute,Parachute
1294.statevalue,OC,CO
305.namevalue,Alamosa East,South of Cheyenne Wells
1440.namevalue,eibert NW,Seibert NW
225.namevalue,Abeyta,Burlington NE
1147.mrc,39107E-5,39107-E5
1620.statevalue,O,CO
992.statevalue,OC,CO
1767.statevalue,CkO,CO
978.namevalue,Lnoe Rock,Lone Rock
1191.namevalue,pOhir,Ophir
253.mrc,37105-D8,39107-B1
122.namevalue,Aguilar,Bethune
910.statevalue,O,CO
28.namevalue,Abarr,Alvin NW
41.namevalue,Allens Park,Antero Reservoir
884.mrc,371f08-B1,37108-B1
1468.statevalue,O,CO
435.mrc,7102-E8,37102-E8
345.mrc,38108-B8,38107-C7
319.mrc,37104-A2,38107-D5
34.namevalue,Alpine Ranch SW,Yellow Rock Point East
1425.mrc,37p104-D7,37104-D7
231.namevalue,Aguilar,Byers
1252.namevalue,ine,Pine
219.mrc,40102-D2,40102-C8
71.statevalue,O,CO
141.namevalue,Adobe Springs,Big Springs Ranch
203.mrc,40103-B2,38107-C6
377.mrc,38106-F7,40107-E5
149.namevalue,Abarr SE,Black Cabin Gulch
1294.namevalue,oPwder Wash,Powder Wash
780.statevalue,O,CO
1015.statevalue,zCO,CO
704.mrc,38015-B2,38105-B2
1168.statevalue,OC,CO
1227.statevalue,O,CO
114.namevalue,Allens Park,Beck Mountain
1466.namevalue,Shipmana Mountain,Shipman Mountain
1430.statevalue,ClO,CO
1417.namevalue,Scanborn Park,Sanborn Park
1099.statevalue,O,CO
275.mrc,37105-D8,37102-H5
193.mrc,37104-A2,39107-F2
163.namevalue,Barron Creek,Blue Hill
311.namevalue,Aguilar,Cheyenne Wells SW
869.statevalue,CpO,CO
706.namevalue,Harrsi Lake,Harris Lake
1713.mrc,41008-C3,40108-C3
117.mrc,37106-A5,39102-G2
124.namevalue,Abeyta,Beulah
1651.mrc,4010-D4,40108-D4
535.statevalue,yCO,CO
232.namevalue,Adams Lake,Byers Peak
997.statevalue,CuO,CO
1816.namevalue,Midway EN,Midway NE
55.namevalue,Akron SE,Arkansas Mountain
160.mrc,39102-F5,37105-C5
720.mrc,40102F-6,40102-F6
59.namevalue,Adler Creek,Arriba
289.mrc,37105-D8,38107-D6
325.mrc,39102-F5,40102-D6
841.namevalue,Johtnson Canyon,Johnson Canyon
38.statevalue,CrO,CO
1293.mrc,n40105-F3,40105-F3
212.namevalue,Alamosa West,Buffalo Springs Ranch NE
189.namevalue,Aguilar,Breeze Mountain
322.namevalue,Cherry Valley School,Citadel Plateau
156.namevalue,Alpine Ranch SW,Blacktail Mountain
1524.statevalue,OC,CO
321.mrc,39102-G6,39108-E2
376.mrc,38102-D6,40106-G3
1431.namevalue,Schafer Resservoir,Schafer Reservoir
1582.mrc,31707-H7,37107-H7
1531.mrc,0103-F5,40103-F5
758.namevalue,Hiolly West,Holly West
1749.mrc,31808-H4,38108-H4
1737.statevalue,OC,CO
327.namevalue,Adler Creek,Clarkville SE
1536.statevalue,zCO,CO
1632.statevalue,OC,CO
1601.statevalue,O,CO
478.mrc,37107-7C,37107-C7
1781.statevalue,O,CO
820.namevalue,uIrish Canyon,Irish Canyon
1010.mrc,38104-Ga8,38104-G8
163.mrc,39107-F4,39106-H7
49.mrc,37105-D7,37104-H1
737.statevalue,O,CO
999.mrc,0106-A6,40106-A6
310.statevalue,OC,CO
66.namevalue,Allison,Aspen
1042.mrc,38105-Dn4,38105-D4
1731.statevalue,vCO,CO
413.namevalue,De Nvoa,De Nova
113.namevalue,Adams Lake,Beaver Park
1491.mrc,3710-6F5,37106-F5
1279.mrc,4010m8-C8,40108-C8
522.namevalue,Elk Pakr,Elk Park
222.namevalue,Abeyta,South of Bethune
343.mrc,40103-A8,38106-B7
1154.statevalue,OC,CO
288.namevalue,Abeyta,Centro
1362.statevalue,O,CO
473.namevalue,Dary Gulch,Dry Gulch
328.mrc,39107-F4,40102-C6
109.namevalue,Alpine Ranch SW,Bears Ears Peaks
1117.mrc,39106-uD4,39106-D4
814.namevalue,Indian ills,Indian Hills
285.namevalue,Amherst,Center North
48.namevalue,Adams Lake,Anvil Points
704.statevalue,OC,CO
1176.mrc,40o104-F7,40104-F7
278.namevalue,Agate,Cattle Creek
1795.namevalue,Alviwn NE,Alvin NE
825.mrc,4z0105-B6,40105-B6
277.namevalue,Adams Lake,Cathedral Peak
1648.statevalue,fCO,CO
98.mrc,39102-G6,38108-A5
214.namevalue,Agate,Buffalo Springs Ranch SE
261.namevalue,Adams Lake,Carr East
113.mrc,39102-G5,37108-H2
279.namevalue,Akron SE,Cattle Gulch
1276.mrc,o40104-B7,40104-B7
412.statevalue,uCO,CO
1455.mrc,39105-5D,39105-D5
1440.statevalue,CrO,CO
230.namevalue,Allens Park,Buttes
1384.namevalue,ound Butte,Round Butte
1303.statevalue,nCO,CO
1301.statevalue,O,CO
304.namevalue,Amherst,Cheyenne Wells
1604.mrc,40107-lH7,40107-H7
371.mrc,39103-D8,39103-F7
1698.mrc,4x0105-H3,40105-H3
1162.mrc,3910c7-D7,39107-D7
861.namevalue,Kelso Pioint,Kelso Point
168.namevalue,Abarr SE,Bondad Hill
331.namevalue,Chris Mountain,Clifford
1013.statevalue,yUT,UT
120.mrc,37104-A2,40105-C1
1240.mrc,40103v-H1,40103-H1
190.namevalue,Agate,Briggsdale
155.namevalue,Abeyta,Blackhead Peak
1445.mrc,31704-D3,37104-D3
874.mrc,3x7105-A7,37105-A7
395.mrc,3105-C1,37105-C1
217.namevalue,Allens Park,Bull Fork
1063.namevalue,Middlee Dry Fork,Middle Dry Fork
1153.namevalue,Ninmeile Spring,Ninemile Spring
1362.mrc,31704-E8,37104-E8
1214.namevalue,Pahlone eak,Pahlone Peak
179.statevalue,OC,CO
63.namevalue,Aguilar,Arsenic Lake
964.namevalue,Little Sheep Mountahin,Little Sheep Mountain
1231.statevalue,OC,CO
17.namevalue,Abarr SE,Alkali Lake
1771.mrc,31908-H4,39108-H4
1670.namevalue,Utldeyville,Utleyville
97.mrc,40103-A8,39107-C1
1479.namevalue,Slumgullino Pass,Slumgullion Pass
1013.mrc,38s109-H1,38109-H1
314.namevalue,Alamosa West,Chimney Rock
1289.mrc,i39104-D6,39104-D6
1694.namevalue,Villa rGove,Villa Grove
1673.statevalue,O,CO
303.mrc,40103-A8,38104-F7
157.mrc,39102-A6,39107-G4
1731.namevalue,West Elk Peka,West Elk Peak
750.mrc,3917-C6,39107-C6
322.mrc,40107-F8,40108-C2
1011.mrc,3x8103-A7,38103-A7
127.namevalue,Alvin SW,Bieser Creek
162.namevalue,Arapahoe NW,Bloom
46.namevalue,Adobe Springs,Antone Spring
1324.statevalue,CmO,CO
1214.mrc,38016-D3,38106-D3
324.mrc,39105-G1,40105-E8
1733.statevalue,O,CO
1628.statevalue,tCO,CO
1287.namevalue,Pole Gulhc,Pole Gulch
1071.mrc,4007-D1,40107-D1
1186.mrc,38107F8,38107-F8
118.mrc,39106-C1,39102-H2
1301.namevalue,jProspect Valley,Prospect Valley
1034.namevalue,McClvae,McClave
735.namevalue,Herlick Cayon,Herlick Canyon
213.namevalue,Allens Park,Buffalo Springs Ranch NW
1558.mrc,3706-C6,37106-C6
218.mrc,39102-F5,39107-A4
1721.mrc,40120-D3,40102-D3
1566.mrc,31804-C7,38104-C7
1339.namevalue,Red HorseGulch,Red Horse Gulch
52.namevalue,Adler Creek,Arapahoe SE
843.namevalue,Jons Hill,Jones Hill
287.namevalue,Abarr SE,Central City
1556.namevalue,Suicride Mountain,Suicide Mountain
783.statevalue,CyO,CO
741.namevalue,Hicke yBridge,Hickey Bridge
92.namevalue,Arapahoe NW,Barnesville
88.namevalue,Abeyta,Barcus Creek SE
263.namevalue,Abarr SE,Carr West
1809.statevalue,O,CO
1109.namevalue,Mountt Evans,Mount Evans
147.namevalue,Adobe Springs,Bisonte
216.namevalue,Alamosa West,Bull Canyon
604.namevalue,Garddner,Gardner
473.statevalue,pCO,CO
205.mrc,39103-G3,40103-E8
1734.statevalue,CxO,CO
177.namevalue,Adobe Springs,Bowen Mountain
965.mrc,31807-E3,38107-E3
1778.namevalue,Workman reek,Workman Creek
1814.namevalue,Lyan NE,Lycan NE
1074.namevalue,Mniers Peak,Miners Peak
1520.mrc,3710c4-A5,37104-A5
81.namevalue,Aguilar,Baldy Cinco
589.namevalue,Freman Reservoir,Freeman Reservoir
994.statevalue,eCO,CO
893.statevalue,O,CO
63.mrc,38105-G7,38102-F8
93.statevalue,CkO,CO
39.mrc,40103-B2,40104-F6
857.namevalue,aKrval,Karval
165.statevalue,OC,CO
197.namevalue,Adobe Springs,Brush West
269.namevalue,Agate,Castle Rock Gulch
1004.namevalue,Mad reek,Mad Creek
390.statevalue,O,CO
99.namevalue,Alpine Ranch SW,Basin Mountain
804.mrc,7103-D4,37103-D4
1740.mrc,38105-rB1,38105-B1
314.mrc,40103-A8,37107-B3
606.statevalue,aCO,CO
982.mrc,38103C2,38103-C2
643.mrc,39108-qA5,39108-A5
139.statevalue,O,CO
1821.namevalue,Stonington E,Stonington SE
377.statevalue,OC,CO
115.namevalue,Akron SW,Beckman Lake
883.namevalue,Ki Carson NW,Kit Carson NW
43.namevalue,Allens Park,Anthracite Range
1373.statevalue,kCO,CO
1372.statevalue,CkO,CO
93.namevalue,Adams Lake,Barrel Spring
1749.statevalue,CiO,CO
1806.namevalue,Coolny Township West,Colony Township West
1150.statevalue,O,CO
941.mrc,39104j-H1,39104-H1
656.mrc,3810-H6,38107-H6
779.mrc,40016-A1,40106-A1
1443.statevalue,O,CO
111.statevalue,OC,CO
1257.namevalue,PinewoodL ake,Pinewood Lake
310.namevalue,Abarr,Cheyenne Wells NW
1638.namevalue,Trinchera Paek,Trinchera Peak
1072.mrc,40140-B6,40104-B6
1263.namevalue,Pidnneo SE,Pinneo SE
238.namevalue,Adler Creek,Calamity Mesa
1435.mrc,3r9104-D8,39104-D8
1319.namevalue,Rampart Hills***,Rampart Hills
535.namevalue,Estesh Park,Estes Park
373.mrc,40103-A1,38107-B5
1352.statevalue,O,CO
276.mrc,39102-A5,37102-H6
307.mrc,38108-B8,38102-E3
1426.namevalue,Saprinero,Sapinero
83.mrc,39102-G5,39108-H8
663.statevalue,O,CO
82.namevalue,Akron SW,Baldy Mountain
1418.statevalue,O,CO
253.namevalue,Alvin SW,Capitol Peak
306.mrc,38102-G1,38102-F4
44.mrc,39103-H3,39103-F2
1629.mrc,38103w-B1,38103-B1
50.namevalue,Abarr SE,Arapahoe
1727.mrc,31805-D8,38105-D8
360.namevalue,Corbin Canyvon,Corbin Canyon
838.namevalue,Jpoes,Joes
995.namevalue,udlow,Ludlow
1581.statevalue,lCO,CO
665.namevalue,Greenie ountain,Greenie Mountain
714.namevalue,Haswelsl SE,Haswell SE
182.namevalue,Abarr,Box Springs
198.namevalue,Akron SE,Brushy Point
699.statevalue,wCO,CO
325.namevalue,Alamosa East,Clarkville
1299.statevalue,O,CO
609.statevalue,rCO,CO
1224.mrc,37109-1E,37109-E1
255.namevalue,Alamosa West,Capulin
1115.namevalue,Moutn Logan,Mount Logan
260.namevalue,Aguilar,Carpenter Ridge
1008.mrc,3708-C3,37108-C3
1058.statevalue,CgO,CO
180.namevalue,Agate,Denver International Airport
1477.namevalue,Slide Crek,Slide Creek
1112.namevalue,Mount Havrard,Mount Harvard
68.namevalue,Alpine Ranch SW,Atwood
1293.namevalue,Poudr ePark,Poudre Park
287.mrc,40103-A2,39105-G5
57.mrc,37105-D7,38103-D3
161.namevalue,Alamosa West,Bledsoe Ranch
1656.statevalue,OC,CO
326.mrc,37105-D8,40102-D5
1447.namevalue,Sevenmile Pldaza,Sevenmile Plaza
433.namevalue,Denis Canyon,Dennis Canyon
180.mrc,40102-F2,39104-G6
1238.mrc,40108E-3,40108-E3
527.statevalue,O,CO
677.namevalue,Grover ES,Grover SE
678.namevalue,Grovqer South,Grover South
245.namevalue,Adams Lake,Campo
1282.statevalue,O,CO
1778.statevalue,O,CO
433.mrc,37013-A3,37103-A3
1673.namevalue,Vaail West,Vail West
234.statevalue,O,CO
205.namevalue,Abarr,Buckingham
1687.statevalue,vCO,CO
367.namevalue,Cortze,Cortez
851.namevalue,Julesbunrg SW,Julesburg SW
396.mrc,3710-F5,37104-F5
110.namevalue,Alpine Ranch SW,Beaty Canyon
1789.mrc,40102-mB5,40102-B5
1172.mrc,0106-H3,40106-H3
980.mrc,37107B-2,37107-B2
146.namevalue,Adobe Springs,Bishop Ranch
422.mrc,391l05-C2,39105-C2
1060.statevalue,zCO,CO
775.statevalue,OC,CO
240.namevalue,Abarr,Calf Canyon
1201.mrc,38107-6A,38107-A6
91.namevalue,Allens Park,Barking Dog Spring
1155.namevalue,Niqwot,Niwot
315.mrc,40105-B5,38102-D5
1148.statevalue,CfO,CO
108.statevalue,O,CO
1502.statevalue,O,CO
1000.statevalue,OC,CO
348.mrc,38102-D6,38104-G7
653.statevalue,O,CO
320.namevalue,Abarr SE,Cimarrona Peak
266.namevalue,Allison,Carter Lake Reservoir
243.namevalue,Allens Park,Cameo
1649.namevalue,Turkey Cayon,Turkey Canyon
499.namevalue,Eckley sNE,Eckley NE
283.namevalue,Abarr,Cement Mountain
1225.statevalue,CfO,CO
1128.statevalue,CdO,CO
150.namevalue,Abeyta,Black Forest
1261.mrc,3b7108-A1,37108-A1
1613.namevalue,iTncup,Tincup
7.statevalue,OC,CO
1159.mrc,i38104-C3,38104-C3
1526.namevalue,fSterling North,Sterling North
1576.statevalue,O,CO
961.namevalue,Litle Cone,Little Cone
123.mrc,39103-E1,39103-C8
1678.namevalue,Valleyh View Hot Springs,Valley View Hot Springs
632.statevalue,ClO,CO
58.namevalue,Anderson Mesa,Aroya
318.mrc,39103-D8,37106-A7
229.statevalue,CyO,CO
262.namevalue,Abeyta,Carr SW
291.namevalue,Allens Park,Chalk Bluffs East
1358.namevalue,Rio Blano,Rio Blanco
152.mrc,39102-G6,37104-F8
105.statevalue,OC,CO
481.namevalue,Dutch Gil Lake,Dutch Girl Lake
5.statevalue,OC,CO
320.mrc,39102-G5,37107-E2
687.statevalue,hCO,CO
331.mrc,40105-B5,39103-A3
