Co,Agency,FY 2018 Classified End Count,Average Years of Service,Average Age,Number Eligible to Retire,Percent Eligible to Retire,Number Eligible to Retire in 5 Years,Percent Eligible to Retire in 5 Years,Traditional,Percent Traditional,Boomer,Percent Boomer,Gen X,Percent Gen X,Millennials,Percent Millennials,Voluntary Turnover,Involuntary Turnover,Total Turnover,Male,Percent Male,Female,Percent Female,White,Percent White,African American,Percent African American,American Indian,Percent American Indian,Hispanic,Percent Hispanic,Asian,Percent Asian,Pacific Islander,Percent Pacific Islander,Not Specified,Percent Not Specified,Percent Minority,Officials & Administrators,Percent Officials & Administrators,Professionals,Percent Professionals,Technicians,Percent Technicians,Protective Service Workers,Percent Protective Service Workers,Paraprofessionals ,Percent Paraprofessionals ,Office-Clerical,Percent Office-Clerical,Skilled Craft,Percent Skilled Craft,Service/Maintence,Percent Service/Maintence,Cabinet
60,Aeronautics Commission (0060) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Transportation
65,Banking Department (0065) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,"Finance, Administration and Information Technology"
90,"Management and Enterprise Services, Office of (0090) ",131,21.15265608,56.61108439,58,44.27%,85,64.89%,1,0.76%,88,67.18%,39,29.77%,3,2.29%,7.53%,0.68%,8.22%,83,63.36%,48,36.64%,88,67.18%,20,15.27%,6,4.58%,2,1.53%,15,11.45%,0,0.00%,0,0.00%,32.82%,5,3.82%,39,29.77%,68,51.91%,0,0.00%,4,3.05%,5,3.82%,4,3.05%,6,4.58%,"Finance, Administration and Information Technology"
92,Tobacco Settlement Endowment Trust (0092) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,#DIV/0!,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Health & Human Services
125,Mines Department (0125) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,#DIV/0!,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Energy/Environment
127,Children & Youth Commission (0127) ,10,15.28569473,47.90821918,1,10.00%,2,20.00%,0,0.00%,3,30.00%,5,50.00%,2,20.00%,21.43%,0.00%,21.43%,3,30.00%,7,70.00%,9,90.00%,1,10.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10.00%,1,10.00%,9,90.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,Health & Human Services
131,Corrections Department (0131) ,3748,8.353417967,42.52321238,301,8.03%,572,15.26%,11,0.29%,811,21.64%,1444,38.53%,1482,39.54%,28.34%,4.93%,33.26%,2055,54.83%,1693,45.17%,2800,74.71%,369,9.85%,390,10.41%,131,3.50%,45,1.20%,0,0.00%,11,0.29%,24.95%,15,0.40%,954,25.45%,128,3.42%,2058,54.91%,66,1.76%,378,10.09%,19,0.51%,130,3.47%,Safety and Security
145,Chiropractic Examiners (0145) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Health & Human Services
148,Board of Behavioral Health and Licensure (0148),0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Health & Human Services
160,Commerce Department (0160) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Commerce/Tourism
170,Construction Industries Board (0170) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,"Finance, Administration and Information Technology"
185,Corporation Commission (0185) ,342,11.6332881,49.34309861,75,21.93%,104,30.41%,9,2.63%,125,36.55%,127,37.13%,81,23.68%,12.81%,2.50%,15.31%,227,66.37%,114,33.33%,277,80.99%,23,6.73%,26,7.60%,5,1.46%,5,1.46%,0,0.00%,0,0.00%,17.25%,9,2.63%,83,24.27%,2,0.58%,188,54.97%,8,2.34%,52,15.20%,0,0.00%,0,0.00%,Energy/Environment
190,Cosmetology Board (0190) ,12,8.235911476,48.08333333,2,16.67%,4,33.33%,0,0.00%,6,50.00%,3,25.00%,3,25.00%,25.00%,0.00%,25.00%,2,16.67%,10,83.33%,7,58.33%,4,33.33%,0,0.00%,1,8.33%,0,0.00%,0,0.00%,0,0.00%,41.67%,0,0.00%,1,8.33%,6,50.00%,0,0.00%,0,0.00%,5,41.67%,0,0.00%,0,0.00%,Health & Human Services
199,Criminal Appeals Court (0199) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Judiciary
204,J.M. Davis Memorial Commission (0204) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Commerce/Tourism
215,Dentistry Board (0215) ,1,22.72416153,65.98630137,1,100.00%,1,100.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,1,100.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,Health & Human Services
219,District Courts (0219) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Judiciary
220,District Attorneys Council (0220) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Safety and Security
265,Education Department (0265) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Education
266,Educational Television Authority (0266) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Education
270,Election Board (0270) ,7,15.08321111,52.12054795,3,42.86%,3,42.86%,0,0.00%,3,42.86%,3,42.86%,1,14.29%,0.00%,0.00%,0.00%,3,42.86%,4,57.14%,2,28.57%,2,28.57%,0,0.00%,1,14.29%,0,0.00%,0,0.00%,2,28.57%,42.86%,0,0.00%,4,57.14%,1,14.29%,0,0.00%,1,14.29%,1,14.29%,0,0.00%,0,0.00%,Secretary of State
275,Office of Educational Quality and Accountability,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Education
285,Funeral Board (0285) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Health & Human Services
290,Employment Security Commission (0290) ,450,13.99554035,51.79772907,117,26.00%,187,41.56%,2,0.44%,215,47.78%,175,38.89%,58,12.89%,11.71%,1.19%,12.90%,142,31.56%,308,68.44%,293,65.11%,94,20.89%,23,5.11%,14,3.11%,21,4.67%,0,0.00%,0,0.00%,33.78%,73,16.22%,319,70.89%,28,6.22%,0,0.00%,5,1.11%,24,5.33%,1,0.22%,0,0.00%,Commerce/Tourism
292,Environmental Quality Department (0292) ,454,12.82794055,43.44501841,74,16.30%,106,23.35%,3,0.66%,114,25.11%,161,35.46%,176,38.77%,9.73%,0.63%,10.36%,238,52.42%,216,47.58%,356,78.41%,28,6.17%,30,6.61%,15,3.30%,24,5.29%,1,0.22%,0,0.00%,21.59%,42,9.25%,353,77.75%,5,1.10%,0,0.00%,0,0.00%,49,10.79%,0,0.00%,5,1.10%,Energy/Environment
296,Ethics Commission (0296) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Secretary of State
298,Merit Protection Commission (0298) ,1,20.69267625,55.9890411,0,0.00%,0,0.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,1,100.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"Finance, Administration and Information Technology"
300,Auditor and Inspector (0300) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,"Finance, Administration and Information Technology"
305,Governor (0305) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Governor
306,Pardon and Parole Board (0306) ,17,13.94290776,47.79548751,3,17.65%,5,29.41%,0,0.00%,7,41.18%,7,41.18%,3,17.65%,33.33%,11.11%,44.44%,7,41.18%,10,58.82%,12,70.59%,2,11.76%,2,11.76%,1,5.88%,0,0.00%,0,0.00%,0,0.00%,29.41%,0,0.00%,0,0.00%,0,0.00%,15,88.24%,0,0.00%,2,11.76%,0,0.00%,0,0.00%,Safety and Security
307,Interstate Oil Compact Commission (0307) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Energy/Environment
308,Bureau of Investigation - OSBI (0308) ,241,14.07410942,46.08540897,33,13.69%,53,21.99%,0,0.00%,62,25.73%,113,46.89%,66,27.39%,5.74%,0.41%,6.15%,100,41.49%,141,58.51%,195,80.91%,16,6.64%,18,7.47%,6,2.49%,3,1.24%,2,0.83%,0,0.00%,18.67%,8,3.32%,64,26.56%,70,29.05%,58,24.07%,1,0.41%,39,16.18%,1,0.41%,0,0.00%,Safety and Security
309,Emergency Management (0309) ,6,26.02829112,64.47990868,4,66.67%,5,83.33%,0,0.00%,5,83.33%,1,16.67%,0,0.00%,0.00%,0.00%,0.00%,4,66.67%,2,33.33%,5,83.33%,0,0.00%,0,0.00%,1,16.67%,0,0.00%,0,0.00%,0,0.00%,16.67%,0,0.00%,5,83.33%,0,0.00%,0,0.00%,0,0.00%,1,16.67%,0,0.00%,0,0.00%,Safety and Security
310,Fire Marshal (0310) ,13,10.40825567,49.78018967,3,23.08%,4,30.77%,0,0.00%,5,38.46%,7,53.85%,1,7.69%,21.43%,0.00%,21.43%,10,76.92%,3,23.08%,11,84.62%,0,0.00%,2,15.38%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,15.38%,0,0.00%,1,7.69%,0,0.00%,11,84.62%,0,0.00%,1,7.69%,0,0.00%,0,0.00%,Safety and Security
315,Firefighters Pension & Retirement (0315) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,"Finance, Administration and Information Technology"
320,Wildlife Conservation (0320) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Energy/Environment
326,Disability Concerns (0326) ,3,14.90394707,54.75159817,1,33.33%,2,66.67%,0,0.00%,2,66.67%,0,0.00%,1,33.33%,0.00%,0.00%,0.00%,2,66.67%,1,33.33%,2,66.67%,1,33.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,33.33%,0,0.00%,3,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,Health & Human Services
340,Health Department (0340) ,1120,11.61425882,48.42229207,142,12.68%,314,28.04%,6,0.54%,404,36.07%,474,42.32%,236,21.07%,18.92%,11.51%,30.42%,162,14.46%,958,85.54%,839,74.91%,103,9.20%,91,8.13%,58,5.18%,27,2.41%,1,0.09%,0,0.00%,25.00%,46,4.11%,661,59.02%,43,3.84%,1,0.09%,18,1.61%,339,30.27%,6,0.54%,6,0.54%,Health & Human Services
342,"Medicolegal Investigations, Board of (0342) ",0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,#DIV/0!,Safety and Security
345,Transportation Department (0345) ,2234,12.86376864,46.62658785,416,18.62%,652,29.19%,6,0.27%,736,32.95%,872,39.03%,620,27.75%,10.23%,1.73%,11.95%,1796,80.39%,438,19.61%,1776,79.50%,99,4.43%,236,10.56%,91,4.07%,32,1.43%,0,0.00%,0,0.00%,20.50%,145,6.49%,641,28.69%,223,9.98%,0,0.00%,184,8.24%,141,6.31%,69,3.09%,830,37.15%,Transportation
346,Space Industry Development Authority (0346) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,#DIV/0!,Science and Technology
350,Historical Society (0350) ,92,12.96092611,50.07209649,28,30.43%,39,42.39%,1,1.09%,40,43.48%,28,30.43%,23,25.00%,9.68%,0.00%,9.68%,43,46.74%,49,53.26%,77,83.70%,2,2.17%,8,8.70%,0,0.00%,2,2.17%,1,1.09%,0,0.00%,14.13%,8,8.70%,38,41.30%,6,6.52%,0,0.00%,12,13.04%,11,11.96%,6,6.52%,11,11.96%,Commerce/Tourism
353,Horse Racing Commission (0353) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Agriculture
369,Workers' Compensation Court (0369),0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Judiciary
370,Industrial Finance Authority (0370) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Commerce/Tourism
385,Insurance Department (0385) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,"Finance, Administration and Information Technology"
391,Multiple Injury Trust Fund (0391),4,21.10335387,58.72191781,2,50.00%,2,50.00%,0,0.00%,2,50.00%,2,50.00%,0,0.00%,0.00%,0.00%,0.00%,1,25.00%,3,75.00%,4,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0.00%,1,25.00%,1,25.00%,0,0.00%,0,0.00%,0,0.00%,2,50.00%,0,0.00%,0,0.00%,"Finance, Administration and Information Technology"
400,Office of Juvenile Affairs (0400) ,559,9.780225028,45.28957777,69,12.34%,121,21.65%,4,0.72%,159,28.44%,216,38.64%,180,32.20%,34.31%,1.31%,35.62%,232,41.50%,327,58.50%,353,63.15%,123,22.00%,38,6.80%,39,6.98%,5,0.89%,1,0.18%,0,0.00%,36.85%,11,1.97%,265,47.41%,4,0.72%,86,15.38%,103,18.43%,61,10.91%,8,1.43%,21,3.76%,Health & Human Services
405,Labor Department (0405) ,46,10.10022915,48.48921977,5,10.87%,16,34.78%,0,0.00%,19,41.30%,15,32.61%,12,26.09%,13.04%,0.00%,13.04%,31,67.39%,15,32.61%,37,80.43%,2,4.35%,2,4.35%,2,4.35%,3,6.52%,0,0.00%,0,0.00%,19.57%,3,6.52%,24,52.17%,11,23.91%,0,0.00%,0,0.00%,8,17.39%,0,0.00%,0,0.00%,Commerce/Tourism
410,"Land Office, Commissioners of the (0410) ",27,13.69746749,50.75738204,8,29.63%,10,37.04%,0,0.00%,12,44.44%,11,40.74%,4,14.81%,11.11%,0.00%,11.11%,14,51.85%,13,48.15%,15,55.56%,2,7.41%,0,0.00%,0,0.00%,3,11.11%,0,0.00%,0,0.00%,18.52%,2,7.41%,5,18.52%,15,55.56%,0,0.00%,0,0.00%,5,18.52%,0,0.00%,0,0.00%,"Finance, Administration and Information Technology"
415,Council on Law Enforcement Education & Training - CLEET (0415) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Safety and Security
416,Law Enforcement Retirement System (0416) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,"Finance, Administration and Information Technology"
421,State Senate (0421) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Legislative
422,House of Representatives (0422) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Legislative
423,Legislative Service Bureau (0423) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Legislative
