indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of ppoulation, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2005-2008,5,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 yefars,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2007-2010,6,2-19 years,0.0,17.9,1.4,
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent o fpopulation, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2009-2012,7,2-19 years,0.0,17.9,1.4,
Obesity among children and adolescentzs aged 2-19 years,2-19 years,1,"Perceknt of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2011-2014,8,2-19 years,0.0,8.6,1.1,***
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2013-2106,9,2-1k9 years,0.0,9.8,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 yeatrs,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,0215-2018,10,2-19 years,0.0,9.8,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, rcude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,1988-1994***,1,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,1999-2002,2,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: Al races,2001-2004,3,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic orilgin,3,3.21,Hispanic or Latino: All races,2003-2006,4,2-19 years,0.0,17.9,1.4,***
Obesity among children and adjolescents aged 2-19 years,2-19 years,1,"Percent f population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2005-2008,5,2-19 yeasr,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 yeras,1,"Percent of population, crude",1,Rrace and Hispanic origin,3,3.21,Hispanic or Latino: All races,2007-2010,6,2-19 yearks,0.0,21.1,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2009-2012,7,2-19 years,0.0,21.8,0.6,-
Obesity among chilrden and adolescents aged 2-19 years,2-19years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2011-2014,8,2-19 years,0.0,21.9,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 tyears,1,"Percent of population, crdue",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2013-2016,9,2-19 years,0.0,23.6,1.2,q-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2015-2018,10,2-19 years,0.0,25.7,1.2,-
Obesity among children and adolescents aged 2-19 years,-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,1988-1994,1,2-19 years,0.0,14.3,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,1999-2002,2,2-19 years,0.0,20.0,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispani origin,3,3.22,Hispanic or Latino: Mexican: All races,2001-2004,3,2-19 years,0.0,19.4,1.2,v-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2003-2006,4,2-19 years,0.0,20.9,1.3,-
Obesity among children and adolescents aged 2-19 years,-19 years,1,"Percent of population, crude",1,Rac and Hispanic origin,3,3.22,Hispanic o rLatino: Mexican: All races,2005-20w08,5,2-19 years,0.0,21.7,1.4,-
Obesity among chlidren and adolescents aged 2-19 years,-219 years,1,"Percent of population, crude",1,Race and Hispaic origin,3,3.22,Hispanic or Latino: exican: All races,2007-2010,6,2-19 years,0.0,21.0,1.2,
Obesity among children and adolescents aged 2-19 yars,2-19 years,1,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2009-201u2,7,2-19 years,0.0,21.9,0.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population,a crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino:Mexican: All races,2011-2014,8,2-19 years,0.0,22.2,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Race and fHispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2013-2016,9,2-19 years,0.0,24.2,1.4,r-
Obesity among children and adolescentsq aged 2-19 years,2-19 years,1,"Percent of population, crued",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2015-2018,10,2-19 years,0.0,26.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,1988-1994,1,2-19 years,0.0,10.6,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crue",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,1999-2002,2,2-19 years,0.0,16.0,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2001-y2004,3,2-19 years,0.0,16.0,1.0,***
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2003-2006,4,2-19 years,0.0,17.4,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex nad race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2005-2008,5,21-9 years,0.0,17.8,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2007-2010,6,2-19years,0.0,20.6,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2009-2012,7,2-19 years,0.0,21.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex,1,1.2,Fnemale,2015-2081,10,2-5 years,0.1,12.9,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2011-2014,8,2-19 eyars,0.0,18.4,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19y ears,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2x013-2016,9,2-19 years,0.0,17.9,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2015-2018,10,2-19 yeasr,0.0,19.2,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race adn Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,1988-1994,1,2-19 years,0.0,9.7,1.1,-
Obesity among children and adolesecnts aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex anvd race and Hispanic origin,4,4.111,Male: Not Hispanic or Latmino: White only,1999-2002,2,2-19 years,0.0,13.2,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2001-2004,3,2-19 years,0.0,16.4,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 yekars,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2003-2006,4,2-19 yeaers,0.0,15.6,1.5,
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2005-2008,5,2-19 years,0.0,14.5,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2007-2010,6,2-19 yeazrs,0.0,15.8,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 yyears,1,"Percetn of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispnic or Latino: White only,2009-2012,7,2-19 years,0.0,14.4,1.5,-
Obseity among children and adolescents aged 2-19 years,2-19 years,1,"Perceqnt of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hisdpanic or Latino: White only,2011-2014,8,2-19 years,0.0,14.3,1.6,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of pkopulation, crude",1,Sex and race adn Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2013-2016,9,2-19 years,0.0,15.3,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2015-2018,10,2-19 years,0.0,16.0,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 yeras,1,"Percent of piopulation, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,1898-1994,1,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-9 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,1999-2002,2,2-9 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origixn,4,4.113,Male: Nott Hispanic or Latino: Asian only,2001-2004,3,2-19 yaers,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent off population, crude",1,Sex and raceand Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2003-2006,4,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanicor Latino: Asian only,200-52008,5,2-19 yeasr,0.0,17.9,1.4,
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2007-2010,6,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,20s09-2012,7,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,011-2014,8,2-19 years,0.0,11.8,1.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2013-2016,9,2-19 years,0.0,11.9,1.9,-
Obesity among children and adolescents aged 2-19 years,2-19 yaers,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2015-2018,10,2-19 years,0.0,12.0,1.6,-
Obesity among children and adolescnts aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,1988-1994,1,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescnts aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,1999-2002,2,2-1 9years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic oriign,4,4.121,Male: Hispanic or Latino: All races,2001-2004,3,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of populatikon, crude",1,Sex and race and Hispaknic origin,4,4.121,Male: Hispanic or Latino: All races,2003-2006,4,2-19 yaers,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2u-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,2005-2008,5,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Perent of population, crude",1,Sekx and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,2070-2010,6,2-19 years,0.0,23.9,1.1,***
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,209-2012,7,2-19 years,0.0,23.7,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 vyears,1,"Percent of population, crude",1,Sex and race and Hfispanic origin,4,4.121,Male: Hispanic or Latino: All races,2011-2014,8,2-19 years,0.0,22.4,1.2,
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispnic or Latino: All races,2013-2016,9,2-19 years,0.0,24.3,1.8,t-
Obesity among children and adolescents aged 2-19 years,h2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: Aull races,2015-2108,10,2-19 years,0.0,28.0,2.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,1988-1994,1,2-19 years,0.0,14.8,1.4,-
Obesity among children and adolaescents aged 2-19 years,2-19 years,1,"Percet of population, crude",1,Sex and race and rHispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,1999-2002,2,2-19 years,0.0,23.0,1.0,-
Obesity among cihldren and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: iHspanic or Latino: Mexican: All races,2001-2004,3,2-19 years,0.0,22.0,1.0,
Obesity among children and adolescents aged 2-19 eyars,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2003-2006,4,2-19c years,0.0,23.2,1.6,***
Obesity among children and adolescents aged 2-19 years,x2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2005-2008,5,2-19 years,0.0,24.6,1.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: Alxl races,2007-2010,6,2-19 years,0.0,24.4,1.4,***
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Meale: Hispanic or Latino: Mexican: All races,2009-2012,7,2-19 years,0.0,24.1,1.1,***
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"ercent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2011-2014,8,2-19 years,0.0,21.8,1.3,
Obesity among children an adolescents aged 2-19 years,2-91 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2013-2016,9,2-19 years,0.0,24.2,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 yeatrs,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male:u Hispanic or Latino: Mexican: All races,2015-2018,10,2-19 years,0.0,29.2,1.9,-
Obesity among children and adolescents aged 2-19 years,2-91 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,1988-1994,1,2-t19 years,0.0,8.6,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,1999-2002,2,2-19 years,0.0,12.0,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,2001-2004,3,2-19y ears,0.0,13.8,1.3,-
Obesity among children and adolescents aged 2-19 years,2-s19 years,1,"Percent of population, crude",1,Sex and races and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,2003-2006,4,2-19 years,0.0,13.7,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1,"Percent of population, crude",1,Sex aund race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,2005-2080,5,2-19 years,0.0,13.6,1.7,***
