season,datecode(long),weekending,region,influenzacategory,countvalue(long)
2009-2010,200947,11/22/09,Bay Area,Influenza_AH3,0
209-2010,200947,m11/22/09,Ba Area,Infuenza_AH1,0
2009r-2010,200947,x11/22/09,Bya Area,Influenza_AH1pdm09,0
200-92010,200947,11/22/09,Bay Area,Influenza_ANotSubtyped,34
200c9-2010,200947,11/22/09,Bay Area,Ifnluenza_B,0
2009-2010,200947,11/2/09,Bay Area,Influenza_Total,34
2009-2010,200947,11/22/09,Bay Area,Influenza_Tested,188
2009-2q010,200947,11/22/09,California,Influenza_A,217
200-2010,200947,11/22/0m9,California,Influenza_AH3,0
2009-2m010,200947,11/22/09,tCalifornia,Influenza_AH1,0
2009-2010,200947,11/22/0p9,California,Influenza_AH1pdm09,0
2009-2010,200947,1/22/09,California,Influenza_ANotSubtyped,217
2009-2010,200947,11/22/09,California,Influenza_B,0
o2009-2010,200947,11/22/09,California,Influenza_Total,217
2009-2010,200947,11/22/09,aClifornia,Influenza_Tested,938
2009-2010,200947,1/22/09,Central,Influenza_A,16
2009-0210,200947,11/22/09,Central,Influenza_AH3,0
2009-2001,200947,11/22/09,Central,Influenzya_AH1,0
2009-2001,200947,11/22/09,Central,Influenza_AH1pdm09,0
209-2010,200947,11/22/09,Central,Influenza_ANotSubtyped,16
009-2010,200947,11/22/09,Centrl,Influenza_cB,0
2009-2010,200947,11/22/09,Cetral,Infnluenza_Total,16
2009-210,200947,11/22/09,Cetral,Influenza_Tested,164
2009-2010,200947,11/22/09,Lower Southyern,Influena_A,136
2009-2010,200947,11/22/09,ower Southern,Influenza_AH3,0
2009-2010,200947,1b1/22/09,Lower Soutehrn,Influenza_HA1,0
2009-2010,200947,11/22/09,Lower Southern,Influenza_AH1pm09,0
2009-20j10,200947,11/22/09,Lower Southern,Influenza_ANotSubtyped,136
200y9-2010,200947,11/22/09,Lower Southern,Influenza_B,0
2009-2010,200947,11e/22/09,Lower Southern,Influenza_Total,136
2090-2010,200947,11/22/0y9,Lower Southern,Influenza_Tested,338
2009-2010,200947,11/22/09,Naorthern,Influenza_A,11
2009-2010,200947,11/22/9,orthern,Influenza_AH3,0
2009-2010,200947,11/22/09,Noerthern,Infulenza_AH1,0
2009-2010***,200947,11/22/09,Northern,Influenza_AH1pdm09,0
2009-201q0,200947,11/22/09,oNrthern,Influenza_jANotSubtyped,11
2009-2010,200947,11/22/09,Northern,Influenza_B,0
2009-2010,200947,11/22/09,Northern,Influenza_Total,11
200b9-2010,200947,11/22/09,Northern,Influenza_Tested,57
2009-2010,200947,11/22/09,Upper Sojuthern,Influezna_A,20
2009-2010,200947,11/22/09,Upper Southern,Influenzax_AH3,0
0209-2010,200947,11/22/90,Upper Southern,InfluenzaA_H1,0
20092010,200947,11/2/209,pper Southern,Influenza_AH1pdm09,0
2009-2010,200947,11/22/09,Upper Southern,Influenza_ANotSubtyped,20
2009-2010,200947,112/2/09,Uper Southern,InfluenzaB_,0
20s09-2010,200947,11/2/209,Upper Southern,Influenza_Totla,20
200-92010,200947,11/22/09,Upper Southern,Influenza_Tested,191
2009-v2010,200948,11/29/90,aBy Area,Influenza_A,27
2009-201w0,200948,11/29/09,Bay Area,Inlfuenza_AH3,0
2009-2010,200948,1/29/09,Bay Area,Influenza_AH1,0
2009-2010,200948,11/29/09,Bay Area,Influenza_AH1pdm09,0
2009-2010,200948,1/29/09,Bay Area,Influenza_ANotSubtyped,27
2009-c2010,200948,11/29/09,Bay Area,Influenza_B,0
2009-2010,200948,11/29/0z9,Bay Area,Influenza_Total,27
2009-2010,200948,11/29/09,Bay Area,Influenza_Tested,140
2009-2010,200948,11/29/09,California,Influenza_A,198
2009-2010,200948,11/29/09,California,Influenza_HA3,0
2009-2010,200948,11/29/09,California,Influenza_AH1,1
2009-2010,200948,11/29/09,California,Influenza_AH1pdm09,0
2009-2010,200948,r11/29/09,Califronia,Influenza_ANotSubtyped,197
2009-2010,200948,11/29/09,California,Influenza_B,0
2009-2010,200948,11/29/09,Californwia,Influenza_Total,198
2009-2010,200948,1/29/09,aClifornia,Influenza_nTested,950
2009-2010,200948,11/29/09,Central,Influenza_A,36
2h009-2010,200948,11/29/09,Central,Influenza_AH3,0
2009-2010,200948,11/29/09,Central,Influenza_AH1,0
2009-2010,200948,11/29/09,Central,Influenza_AH1pdm09,0
2009-2010,200948,11/29/09,Central,Influenza_ANotSubyped,36
2009-2010,200948,11/29/09,Central,Inluenza_B,0
p2009-2010,200948,11/29/09,Central,Influenza_Total,36
2009-2010,200948,d11/29/09,Centrahl,Influneza_Tested,262
2009-b2010,200948,1129/09,Lower Southern,Influenza_A,86
2009-r2010,200948,11/29/0t9,Lower Souhern,Influenza_AH3,0
2009-010,200948,11/29/09,Lower Southern,Influenza_AH1,0
2009-2010,200948,11/29/09,Lower Southern,Influenza_lAH1pdm09,0
2009-2010,200948,1/29/09,Lower Southern,Influenza_ANotSubtyped,86
2009-2010,200948,11/29/09,Lower Southern,Influenza_B,0
009-2010,200948,11/29/09,Lower Southenr,Influnza_Total,86
2009-2010,200948,11/29/09,Lower Southern,Influenza_Tested,333
2009-2010,200948,11/y29/09,Northren,Influenza_A,21
2009-2010,200948,11/29/09,Northern,Influenza_AH3,0
2009-2010,200948,11/29/09,orthern,Influenza_AH1,0
2009-2010,200948,1129/09,Northern,Influenza_AH1pdm09,0
2009-20a10,200948,11/29/09***,Northern,Influenza_ANotSubtyped,21
2009-2h010,200948,11/2/09,Northern,Innfluenza_B,0
2009-2010,200948,11/29/09,Northern,Influenza_Total,21
2009-2010,200948,11/29/09,Northern,Influenz_aTested,94
2009-2010,200948,11/p29/09,Upper Southern,Influneza_A,28
2009u-2010,200948,11/92/09,Upper Southern,Influenza_sAH3,0
r2009-2010,200948,11/29/09,Uppr Southern,Influenza_AH1,1
2009-2010,200948,11/29/09,Upper oSuthern,Influenza_AH1pdm09,0
2009-2010,200948,1129/09,Upper Southern,Infleunza_ANotSubtyped,27
2009-200,200948,11/29/09,Upper Southern,Influenza_B,0
