3215.weekending,01/30/y11,01/30/11
18819.season,2016-207,2016-2017
28761.weekending,5/03/20,05/03/20
11042.season,2013-0214,2013-2014
24339.region,Centoral,Central
14222.weekending,09/06n/15,09/06/15
12823.region,Lower Sotuhern,Lower Southern
10833.region,Ceontral,Central
17557.region,Cnetral,Central
19254.region,Nsorthern,Northern
1425.weekending,0/25/10,04/25/10
1568.weekending,05/161/0,05/16/10
17480.region,Byay Area,Bay Area
27290.season,2019-g2020,2019-2020
11665.season,2014-2051,2014-2015
13233.region,Cenral,Central
14792.weekending,11/15/5,11/15/15
26267.influenzacategory,InfluenzaB_,Influenza_B
4245.influenzacategory,Influenaz_Total,Influenza_Total
19372.region,Lower Southenr,Lower Southern
2806.region,Cenrtal,Central
20119.influenzacategory,Influnza_BYamagata,Influenza_BYamagata
14042.region,Nodrthern,Northern
22871.region,pper Southern,Upper Southern
29908.weekending,9/13/20,09/13/20
23165.season,2p017-2018,2017-2018
16308.influenzacategory,Inluenza_BVictoria,Influenza_BVictoria
24066.influenzacategory,qInfluenza_ANotSubtyped,Influenza_ANotSubtyped
29849.region,Cyalifornia,California
12282.region,Centpral,Central
445.influenzacategory,Influetnza_ANotSubtyped,Influenza_ANotSubtyped
518.weekending,12/31/09,12/13/09
7463.region,alifornia,California
15427.region,pper Southern,Upper Southern
16318.weekending,05/d08/16,05/08/16
11753.season,2014-v2015,2014-2015
16277.influenzacategory,Infzluenza_B,Influenza_B
1833.season,20092010,2009-2010
19933.weekending,0/09/17,07/09/17
13088.influenzacategory,Influenza_BVictria,Influenza_BVictoria
9826.season,201-2014,2013-2014
4259.region,Upper outhern,Upper Southern
2101.influenzacategory,Influenza_ANotubtyped,Influenza_ANotSubtyped
13778.season,2014-215,2014-2015
25959.season,208-2019,2018-2019
11624.weekending,11/09/4,11/09/14
4019.region,Calimfornia,California
5924.influenzacategory,nfluenza_B,Influenza_B
20499.season,2016-2071,2016-2017
7196.season,g2012-2013,2012-2013
6945.region,Upper Southern***,Upper Southern
3583.influenzacategory,Ifnluenza_AH3,Influenza_AH3
25397.influenzacategory,Influernza_B,Influenza_B
29625.influenzacategory,Influenza_AH1pdm90,Influenza_AH1pdm09
20663.season,017-2018,2017-2018
27368.weekending,11/17/19***,11/17/19
14973.season,215-2016,2015-2016
18527.weekending,01/2217,01/22/17
26263.season,20i18-2019,2018-2019
23030.season,l2017-2018,2017-2018
25482.season,0218-2019,2018-2019
22570.weekending,0w5/06/18,05/06/18
4140.influenzacategory,Influeza_Total,Influenza_Total
14647.region,Uppe Southern,Upper Southern
2694.weekending,1/31/10,10/31/10
29653.region,Bay Arela,Bay Area
8904.influenzacategory,Inluenza_AH1pdm09,Influenza_AH1pdm09
26259.region,eCntral,Central
23164.season,2017-20j18,2017-2018
3070.influenzacategory,Influenza_Testeld,Influenza_Tested
25978.weekending,06/09/1c9,06/09/19
7034.region,Bay Aea,Bay Area
23741.influenzacategory,Influenza_Totavl,Influenza_Total
2937.influenzacategory,Influenza_Tvested,Influenza_Tested
25245.influenzacategory,Influenz_aAH1pdm09,Influenza_AH1pdm09
26556.weekending,08/18/p19,08/18/19
4486.weekending,8/28/11,08/28/11
26503.region,Lowjer Southern,Lower Southern
19591.season,216-2017,2016-2017
13525.weekending,06/u21/15,06/21/15
17876.region,Nortlhern,Northern
19946.region,Californkia,California
11912.season,2014-215,2014-2015
19847.weekending,06u/25/17,06/25/17
26030.region,Lowe rSouthern,Lower Southern
26600.season,2z018-2019,2018-2019
5999.season,20112012,2011-2012
12043.influenzacategory,Influena_A,Influenza_A
17211.weekending,08/2116,08/21/16
4493.region,Lower Southren,Lower Southern
25823.influenzacategory,Influenz_A,Influenza_A
1459.weekending,5/02/10,05/02/10
26410.influenzacategory,Influenza_BNotLineagetTyped,Influenza_BNotLineageTyped
18804.influenzacategory,Influenz_aAH3,Influenza_AH3
3179.influenzacategory,Inflenza_ANotSubtyped,Influenza_ANotSubtyped
18096.influenzacategory,Infleunza_ANotSubtyped,Influenza_ANotSubtyped
26158.influenzacategory,Influenza_BVictorija,Influenza_BVictoria
4379.weekending,08/07/11***,08/07/11
15349.region,ower Southern,Lower Southern
50.influenzacategory,Influneza_AH3,Influenza_AH3
10929.influenzacategory,Ingfluenza_B,Influenza_B
20661.season,217-2018,2017-2018
24170.region,Lower Sotuhern,Lower Southern
18775.season,2106-2017,2016-2017
9181.season,z2013-2014,2013-2014
26320.weekending,07/21/9,07/21/19
8576.influenzacategory,Influenza_ANtoSubtyped,Influenza_ANotSubtyped
19707.weekending,0/11/17,06/11/17
26506.influenzacategory,Influenza_ANotSubtyepd,Influenza_ANotSubtyped
2588.season,2010-2011***,2010-2011
732.region,alifornia,California
7373.influenzacategory,Ifnluenza_B,Influenza_B
4882.weekending,10/03/11,10/30/11
18370.influenzacategory,Influneza_BNotLineageTyped,Influenza_BNotLineageTyped
15576.influenzacategory,Inmfluenza_ANotSubtyped,Influenza_ANotSubtyped
17050.region,Upper Southenr,Upper Southern
29021.region,Centrawl,Central
25.region,Lower Soutehrn,Lower Southern
18247.region,Uppenr Southern,Upper Southern
6949.influenzacategory,Influeza_A,Influenza_A
2335.influenzacategory,Influenza_Totval,Influenza_Total
19569.weekending,05/21/71,05/21/17
17724.weekending,10/2316,10/23/16
9462.season,2013-20g14,2013-2014
9908.influenzacategory,Influenza_Totl,Influenza_Total
1394.season,200-2010,2009-2010
4097.influenzacategory,Influezna_B,Influenza_B
1040.season,2009-2001,2009-2010
1806.season,20x09-2010,2009-2010
29153.region,Northeqrn,Northern
22774.influenzacategory,nIfluenza_AH3,Influenza_AH3
2102.season,209-2010,2009-2010
3120.weekending,0/109/11,01/09/11
575.region,Upper Sotuhern,Upper Southern
17539.region,Bray Area,Bay Area
13416.weekending,06/e07/15,06/07/15
9343.influenzacategory,Influenaz_A,Influenza_A
20629.influenzacategory,Influenza_BYmagata,Influenza_BYamagata
24669.season,2081-2019,2018-2019
12709.influenzacategory,Influenza_BYammagata,Influenza_BYamagata
5251.season,0211-2012,2011-2012
3722.influenzacategory,Influenzla_A,Influenza_A
8319.weekending,0526/13,05/26/13
26337.weekending,07/21/91,07/21/19
20007.influenzacategory,Inflenza_B,Influenza_B
14233.influenzacategory,Influenz_A,Influenza_A
24607.region,Uper Southern,Upper Southern
9047.weekending,z09/22/13,09/22/13
716.influenzacategory,Influenza_AHp1dm09,Influenza_AH1pdm09
23451.region,Lower Southmern,Lower Southern
10130.region,Nortehrn,Northern
21575.region,Centrla,Central
29327.influenzacategory,Influezna_B,Influenza_B
42.weekending,100/4/09,10/04/09
10852.region,Uper Southern,Upper Southern
15167.influenzacategory,Influenz_B,Influenza_B
29273.weekending,06/2820,06/28/20
28802.season,0219-2020,2019-2020
2523.region,Lower Southedrn,Lower Southern
5618.weekending,30/04/12,03/04/12
16834.weekending,07/01/16,07/10/16
20813.region,Northwern,Northern
16628.weekending,06/12/1o6,06/12/16
19243.weekending,04/1617,04/16/17
5207.influenzacategory,Influenza_A3H,Influenza_AH3
8259.region,Clifornia,California
2380.weekending,09/1/210,09/12/10
28879.region,Btay Area,Bay Area
13736.influenzacategory,Inflenza_ANotSubtyped,Influenza_ANotSubtyped
18856.season,w2016-2017,2016-2017
13929.season,20142-015,2014-2015
22542.influenzacategory,Iunfluenza_Tested,Influenza_Tested
29656.region,Ba yArea,Bay Area
16599.weekending,0l6/12/16,06/12/16
24840.influenzacategory,Influenza_BNotLineaeTyped,Influenza_BNotLineageTyped
3135.season,2010-2101,2010-2011
26424.season,2018-20m19,2018-2019
26927.influenzacategory,Influenz_B,Influenza_B
29694.season,2019-2002,2019-2020
23664.influenzacategory,Infuenza_AH3,Influenza_AH3
12627.region,Californfia,California
22526.weekending,05/0/18,05/06/18
8520.weekending,06/03/13,06/30/13
1786.weekending,06/p20/10,06/20/10
11110.influenzacategory,Influenza_ANotSutyped,Influenza_ANotSubtyped
22789.influenzacategory,InfluenzaB_Yamagata,Influenza_BYamagata
15021.influenzacategory,Influqenza_Total,Influenza_Total
27674.region,Bay Arlea,Bay Area
14350.influenzacategory,Inflkuenza_BNotLineageTyped,Influenza_BNotLineageTyped
17961.region,Bay Aera,Bay Area
19665.season,2016a-2017,2016-2017
7753.region,Biay Area,Bay Area
21969.influenzacategory,Infuluenza_BYamagata,Influenza_BYamagata
15815.weekending,03/1m3/16,03/13/16
15762.weekending,0/06/16,03/06/16
27394.season,2109-2020,2019-2020
9891.influenzacategory,Influenza_AHp1dm09,Influenza_AH1pdm09
5470.region,Northehrn,Northern
24113.season,c2018-2019,2018-2019
24558.influenzacategory,Influenza_BVictroia,Influenza_BVictoria
16271.region,Upper Southenr,Upper Southern
22220.region,Ba yArea,Bay Area
22209.season,201-2018,2017-2018
13391.influenzacategory,Influtenza_Total,Influenza_Total
20394.season,2061-2017,2016-2017
6194.region,Bay rAea,Bay Area
25869.season,018-2019,2018-2019
27423.influenzacategory,nIfluenza_A,Influenza_A
14143.influenzacategory,Infuenza_A,Influenza_A
6792.region,Caliornia,California
5196.influenzacategory,Inlfuenza_B,Influenza_B
5439.season,2011-2012***,2011-2012
22886.weekending,06/1n7/18,06/17/18
9186.weekending,01/20/13,10/20/13
17724.influenzacategory,Influenza_A3,Influenza_AH3
11779.season,014-2015,2014-2015
22148.season,201-2018,2017-2018
18015.weekending,11/27/1z6,11/27/16
5666.influenzacategory,Influnza_Total,Influenza_Total
16480.season,2015-20s16,2015-2016
2384.season,209-2010,2009-2010
4294.weekending,70/24/11,07/24/11
13972.season,214-2015,2014-2015
11576.region,oNorthern,Northern
4970.weekending,11/1311,11/13/11
11022.influenzacategory,Influena_Tested,Influenza_Tested
541.influenzacategory,Inflluenza_ANotSubtyped,Influenza_ANotSubtyped
26947.region,Upper Southenr,Upper Southern
20194.region,Cbentral,Central
28145.influenzacategory,Inflenza_AH1pdm09,Influenza_AH1pdm09
7490.weekending,01/06/31,01/06/13
24180.weekending,11/11/1x8,11/11/18
25989.region,Uper Southern,Upper Southern
27442.weekending,12/0/119,12/01/19
22456.region,Bay rAea,Bay Area
26004.season,018-2019,2018-2019
4719.season,201-2012,2011-2012
19989.weekending,07/09g/17,07/09/17
1117.region,Caliornia,California
14328.season,2014t-2015,2014-2015
2625.weekending,10/4/10,10/24/10
16470.region,Californa,California
8672.influenzacategory,Ifnluenza_AH3,Influenza_AH3
13325.weekending,05/2415,05/24/15
22931.weekending,06/17/8,06/17/18
22588.influenzacategory,Influenza_BVctoria,Influenza_BVictoria
25135.region,orthern,Northern
22792.influenzacategory,InfluenzaT_ested,Influenza_Tested
14213.weekending,9/06/15,09/06/15
12839.season,2104-2015,2014-2015
13796.season,20142-015,2014-2015
1877.weekending,e07/04/10,07/04/10
29635.weekending,08/0y9/20,08/09/20
9439.weekending,y12/01/13,12/01/13
8113.weekending,04/211/3,04/21/13
14836.region,Bay rea,Bay Area
17219.season,2015-2b016,2015-2016
9388.season,201b3-2014,2013-2014
17414.season,20152016,2015-2016
6866.influenzacategory,Influenza_A3H,Influenza_AH3
16549.weekending,060/5/16,06/05/16
13545.influenzacategory,Influenza_AH1pdm90,Influenza_AH1pdm09
20565.influenzacategory,Influenzac_AH1pdm09,Influenza_AH1pdm09
9245.region,Northren,Northern
9529.influenzacategory,Influenz_aB,Influenza_B
27894.season,2019-w2020,2019-2020
630.region,BayArea,Bay Area
422.weekending,11/2/09,11/29/09
8810.influenzacategory,Influenza_Tesed,Influenza_Tested
20761.weekending,10/0817,10/08/17
14536.region,Bay Aea,Bay Area
1051.season,20b09-2010,2009-2010
4497.influenzacategory,Influenz_aTotal,Influenza_Total
4684.region,BayA rea,Bay Area
8720.season,2012-213,2012-2013
21334.season,2017x-2018,2017-2018
22169.region,Califoyrnia,California
17230.region,Upper Syouthern,Upper Southern
17844.weekending,1106/16,11/06/16
21994.season,2017-018,2017-2018
6528.region,Upper Soutahern,Upper Southern
5324.season,201i1-2012,2011-2012
27573.region,Cefntral,Central
25890.season,20182019,2018-2019
26854.season,2018-219,2018-2019
14009.region,Californija,California
16062.season,2015-2061,2015-2016
18334.region,Cental,Central
23170.weekending,i07/15/18,07/15/18
16225.influenzacategory,Influenzaz_AH1pdm09,Influenza_AH1pdm09
20514.season,2016-a2017,2016-2017
14449.influenzacategory,nIfluenza_BYamagata,Influenza_BYamagata
6388.region,ower Southern,Lower Southern
1841.influenzacategory,Influenz_A,Influenza_A
16547.region,Lower Soutehrn,Lower Southern
15996.influenzacategory,Influsenza_ANotSubtyped,Influenza_ANotSubtyped
3371.influenzacategory,Influenza_Tsted,Influenza_Tested
8189.season,2012-213,2012-2013
3409.influenzacategory,Influenza_AH1pdm90,Influenza_AH1pdm09
4857.weekending,10/30/b11,10/30/11
67.weekending,10/1j1/09,10/11/09
27679.weekending,12/29/1k9,12/29/19
16581.weekending,60/12/16,06/12/16
10093.weekending,03/1/614,03/16/14
20739.season,201-72018,2017-2018
17675.region,Cetnral,Central
22725.region,Lower aSouthern,Lower Southern
3976.region,Claifornia,California
3464.influenzacategory,Influenza_A3H,Influenza_AH3
19452.season,016-2017,2016-2017
166.season,009-2010,2009-2010
23510.region,Lower Southrn,Lower Southern
16418.weekending,05/22/61,05/22/16
15788.influenzacategory,Influenz_BVictoria,Influenza_BVictoria
24499.season,n2018-2019,2018-2019
15530.weekending,02f/07/16,02/07/16
4180.weekending,07/1/011,07/10/11
25641.weekending,05/d05/19,05/05/19
10095.region,UpperSouthern,Upper Southern
3617.region,Northren,Northern
20450.influenzacategory,Influneza_BNotLineageTyped,Influenza_BNotLineageTyped
15398.region,Cetral,Central
29633.influenzacategory,Influenaz_A,Influenza_A
11320.weekending,10/0514,10/05/14
13188.season,2014-2051,2014-2015
3458.weekending,0b3/06/11,03/06/11
2123.weekending,08n/08/10,08/08/10
26228.region,UpperS outhern,Upper Southern
13032.influenzacategory,Injfluenza_Tested,Influenza_Tested
497.weekending,12/31/09,12/13/09
5334.region,Lwoer Southern,Lower Southern
659.region,Nothern,Northern
22396.region,By Area,Bay Area
6684.region,Northren,Northern
370.region,orthern,Northern
20680.region,entral,Central
27856.season,2019-200,2019-2020
8403.season,2012-2103,2012-2013
24913.region,Bay Aea,Bay Area
1464.season,0209-2010,2009-2010
12546.influenzacategory,Influenzka_ANotSubtyped,Influenza_ANotSubtyped
658.influenzacategory,Ifnluenza_AH3,Influenza_AH3
12647.influenzacategory,Infulenza_B,Influenza_B
3621.season,201-2011,2010-2011
8400.weekending,06m/09/13,06/09/13
20266.influenzacategory,Influenza_fANotSubtyped,Influenza_ANotSubtyped
27783.season,2019-2002,2019-2020
26242.season,2018-2n019,2018-2019
18536.season,201-62017,2016-2017
27790.season,2019-2200,2019-2020
27425.influenzacategory,Influenz_AH1pdm09,Influenza_AH1pdm09
2916.weekending,12/05/i10,12/05/10
9306.weekending,11/10/u13,11/10/13
8380.weekending,0/609/13,06/09/13
19518.weekending,05/21w/17,05/21/17
24478.weekending,12/16/81,12/16/18
18349.region,Lower Soutern,Lower Southern
1819.region,hUpper Southern,Upper Southern
16571.influenzacategory,Influeynza_Total,Influenza_Total
9431.season,201-2014,2013-2014
6166.influenzacategory,Ionfluenza_AH3,Influenza_AH3
16543.weekending,0605/16,06/05/16
7347.weekending,2/16/12,12/16/12
13693.region,ay Area,Bay Area
13212.season,20142015,2014-2015
5121.weekending,12/11/d11,12/11/11
23630.weekending,09/09/a18,09/09/18
10822.season,2013-014,2013-2014
23190.influenzacategory,Influenza_BNotLnieageTyped,Influenza_BNotLineageTyped
5812.weekending,0/01/12,04/01/12
23342.region,Nrthern,Northern
1857.weekending,06/2/10,06/27/10
10738.region,Calfiornia,California
9211.weekending,0/20/13,10/20/13
21294.region,Nothern,Northern
27815.weekending,1/12/20,01/12/20
1048.season,2009-2100,2009-2010
10980.region,uUpper Southern,Upper Southern
29641.influenzacategory,rInfluenza_Total,Influenza_Total
6794.season,011-2012,2011-2012
15908.influenzacategory,Ignfluenza_BVictoria,Influenza_BVictoria
28963.influenzacategory,Influenz_A,Influenza_A
14797.weekending,11/15/51,11/15/15
809.weekending,01/24/01,01/24/10
23024.influenzacategory,Influenz_AH3,Influenza_AH3
26306.influenzacategory,Influenza_ANotSdubtyped,Influenza_ANotSubtyped
9789.season,2013-201f4,2013-2014
21637.season,201c7-2018,2017-2018
2489.season,2009-2100,2009-2010
20025.season,2016-207,2016-2017
20125.region,Caelifornia,California
24469.region,Lower Sofuthern,Lower Southern
16580.season,2015-206,2015-2016
12058.influenzacategory,Influenza_BVitoria,Influenza_BVictoria
17121.influenzacategory,nIfluenza_Total,Influenza_Total
16032.weekending,0h4/03/16,04/03/16
19237.region,eCntral,Central
20175.region,aBy Area,Bay Area
9899.weekending,02/16/1l4,02/16/14
29839.weekending,09/60/20,09/06/20
17326.influenzacategory,Influenzah_ANotSubtyped,Influenza_ANotSubtyped
12533.influenzacategory,Incfluenza_A,Influenza_A
1654.weekending,05/03/10,05/30/10
25735.influenzacategory,Ifnluenza_AH1pdm09,Influenza_AH1pdm09
1752.season,2009-2001,2009-2010
13497.season,2014-201v5,2014-2015
28455.weekending,0b3/29/20,03/29/20
11072.weekending,p08/31/14,08/31/14
14641.season,015-2016,2015-2016
12559.influenzacategory,Inflenza_BYamagata,Influenza_BYamagata
11216.region,Lower outhern,Lower Southern
17722.region,Bay kArea,Bay Area
27853.region,Ba yArea,Bay Area
27160.influenzacategory,Influenza_BNotLiwneageTyped,Influenza_BNotLineageTyped
10244.region,entral,Central
23352.weekending,08/0e5/18,08/05/18
17766.influenzacategory,Influenzla_ANotSubtyped,Influenza_ANotSubtyped
18023.influenzacategory,InfluenzaA_,Influenza_A
1372.region,Lower Soutvhern,Lower Southern
22246.region,ower Southern,Lower Southern
21880.season,2017-218,2017-2018
3138.season,201-02011,2010-2011
24077.influenzacategory,Influenz_aB,Influenza_B
17667.region,Califoqrnia,California
20657.weekending,10/01/71,10/01/17
7939.region,LowerS outhern,Lower Southern
6868.season,2012-203,2012-2013
3243.region,orthern,Northern
189.influenzacategory,Inflenza_ANotSubtyped,Influenza_ANotSubtyped
17014.weekending,t07/31/16,07/31/16
3673.influenzacategory,nfluenza_A,Influenza_A
28293.weekending,03/0820,03/08/20
24530.influenzacategory,Influenza_BoNtLineageTyped,Influenza_BNotLineageTyped
4216.season,2010g-2011,2010-2011
14598.weekending,10/25/51,10/25/15
28013.season,201x9-2020,2019-2020
7401.weekending,12/231/2,12/23/12
27150.season,2019-2200,2019-2020
16.region,Claifornia,California
20035.region,Northpern,Northern
2960.weekending,12/1/910,12/19/10
420.weekending,1129/09,11/29/09
9719.influenzacategory,nIfluenza_Total,Influenza_Total
12519.weekending,0/22/15,02/22/15
24859.region,Bay aArea,Bay Area
12302.season,2014-201o5,2014-2015
23615.region,sCentral,Central
9395.region,Californa,California
15447.region,Californai,California
29259.region,Centrla,Central
9541.weekending,12/15k/13,12/15/13
8257.influenzacategory,Influenza_Testqed,Influenza_Tested
15290.influenzacategory,Influenza_BNotLineageTlyped,Influenza_BNotLineageTyped
20786.weekending,10/15e/17,10/15/17
3933.influenzacategory,Influenzsa_AH3,Influenza_AH3
7769.season,2012-2z013,2012-2013
8510.region,Califoria,California
19479.region,Centrla,Central
19573.influenzacategory,Inflruenza_A,Influenza_A
10776.weekending,07t/13/14,07/13/14
22210.influenzacategory,Influeza_BNotLineageTyped,Influenza_BNotLineageTyped
17388.weekending,9/11/16,09/11/16
21712.region,Lwoer Southern,Lower Southern
17098.influenzacategory,Influenza_BVictria,Influenza_BVictoria
21078.influenzacategory,Influenza_BVictroia,Influenza_BVictoria
7045.region,Calijfornia,California
25975.region,Nrothern,Northern
25216.season,0218-2019,2018-2019
6229.weekending,06/10/p12,06/10/12
27166.weekending,10/27/1e9,10/27/19
954.influenzacategory,Infleunza_AH3,Influenza_AH3
6385.weekending,07/80/12,07/08/12
21543.influenzacategory,Influezna_A,Influenza_A
5526.region,Ba yArea,Bay Area
2988.season,010-2011,2010-2011
8450.region,Norwthern,Northern
29050.season,2019-2002,2019-2020
23364.influenzacategory,Influenza_A3H,Influenza_AH3
10329.weekending,04/2/714,04/27/14
9365.season,2031-2014,2013-2014
1371.season,2009-2100,2009-2010
21028.season,20172018,2017-2018
19528.influenzacategory,Influenza_BVictroia,Influenza_BVictoria
4991.weekending,11/2l0/11,11/20/11
21775.region,orthern,Northern
18722.weekending,02/21/17,02/12/17
25690.weekending,50/05/19,05/05/19
29005.weekending,05/1/20,05/31/20
21308.season,2m017-2018,2017-2018
9951.influenzacategory,Ifnluenza_Tested,Influenza_Tested
11993.influenzacategory,Influlenza_A,Influenza_A
9810.season,2031-2014,2013-2014
20423.influenzacategory,nfluenza_A,Influenza_A
18426.influenzacategory,Influenza_ANovtSubtyped,Influenza_ANotSubtyped
25743.season,x2018-2019,2018-2019
25688.weekending,0/505/19,05/05/19
7094.weekending,11/0412,11/04/12
5701.weekending,0d3/18/12,03/18/12
14074.region,Cental,Central
18296.influenzacategory,InfluenzaANotSubtyped,Influenza_ANotSubtyped
9578.season,201b3-2014,2013-2014
12979.region,ay Area,Bay Area
28988.region,Upper Sotuhern,Upper Southern
5148.season,201-12012,2011-2012
22453.influenzacategory,Infulenza_A,Influenza_A
3393.season,201-02011,2010-2011
1120.season,2009-20p10,2009-2010
20904.region,Califorrnia,California
26631.season,201-82019,2018-2019
6265.region,orthern,Northern
1424.region,Lower Sbouthern,Lower Southern
9111.season,20u13-2014,2013-2014
14021.region,Centraal,Central
23016.region,Cenrtal,Central
23687.weekending,09/161/8,09/16/18
9755.weekending,01/19/k14,01/19/14
18494.weekending,01/22/1f7,01/22/17
19488.season,20162-017,2016-2017
19193.region,Nrthern,Northern
23827.influenzacategory,Influneza_B,Influenza_B
12979.season,2014-015,2014-2015
6979.region,Nrthern,Northern
28804.region,Upper Sougthern,Upper Southern
14294.weekending,09/2m0/15,09/20/15
10920.season,20132014,2013-2014
6333.weekending,0s7/01/12,07/01/12
5595.region,vNorthern,Northern
8126.season,201-2013,2012-2013
12708.weekending,0v3/15/15,03/15/15
26979.season,201-2020,2019-2020
450.influenzacategory,Infleunza_AH3,Influenza_AH3
13414.influenzacategory,Influenwza_AH3,Influenza_AH3
13812.season,0214-2015,2014-2015
3965.region,Upeper Southern,Upper Southern
25566.weekending,04/2/119,04/21/19
22619.region,Northrn,Northern
7139.region,Lowevr Southern,Lower Southern
28165.influenzacategory,Influeunza_AH1pdm09,Influenza_AH1pdm09
18676.region,Bay Areqa,Bay Area
12173.season,2041-2015,2014-2015
16064.influenzacategory,Influrenza_AH3,Influenza_AH3
29870.region,Lower Southen,Lower Southern
16804.region,Uppere Southern,Upper Southern
1331.weekending,04/1/110,04/11/10
851.season,200-2010,2009-2010
1266.season,2090-2010,2009-2010
