code,category,description,size,total_inventory,price,sale_price,sale_end_date
12378,BOURBON/RYE,Rebel Yell Kentucky Straight Bourbon Whiskey 80 Proof,1.75L,3,30.99,NULL,NULL
335540,SPAIN/PORTUGAL,Bodegas Arrayan Rosado Syrah,750ML,0,13.69,NULL,NULL
84550,SCOTCH,CHIVAS REGAL 12YR  W/HIGHBALL GLASS,750ML,115,33.99,NULL,NULL
359234,VODKA,Sugarlands Bristol Motor Speedway 60th Anniversary Corn Whiskey,750ML,2,18.99,NULL,NULL
298599,CHAMPAGNE/SPARKLING,BEAU JOIE BRUT 750ML,750ML,422,64.99,NULL,NULL
240586,CANADIAN/BLENDED WHISKEY,Eight & Sand Blended Bourbon Whiskey,750ML,1,18.99,NULL,NULL
42534,ITALY,Tenuta Dell'Ornellaia Le Volte Toscana IGT Red Blend,750ML,0,28.99,NULL,NULL
71645,SPECIALTY,WOODFORD RESERVE KY WHEAT WHISKEY,750ML,5,34.99,NULL,NULL
63045,FRANCE,Chateau Greysac Cru Bourgeois Medoc Bordeaux Blend,750ML,268,27.99,NULL,NULL
315535,AMERICAN RED,Horton Vineyards Norton,750ML,0,27.99,NULL,NULL
298075,AMERICAN RED,MERRY EDWARDS R/R P/NOIR,750ML,0,88.99,NULL,NULL
433795,ARGENTINA,Errazuriz Alto Tierruca Reserva Pinot Noir,750ML,0,12.99,NULL,NULL
160008,FRANCE,Domaine du Colombier (Jouvault) Cuvee Vieilles Vignes Chinon Cabernet Franc,750ML,0,24.99,NULL,NULL
42250,AMERICAN WHITE,Woodbridge Buttery Bag in Box Chardonnay,3L,88,19.99,NULL,NULL
241010,MISCELLANEOUS IMPORTED,JINRO STRAWBERRY SOJU   375ML,375ML,23,7.99,NULL,NULL
308651,NEW ZEALAND,Seifried Old Coach Road Sauvignon Blanc,750ML,0,17.99,NULL,NULL
237566,FRANCE,Louis Latour Les Pierres Dorees Pinot Noir,750ML,0,31.99,NULL,NULL
232132,SPAIN/PORTUGAL,VILARNAU CAVA BRUT   750ML,750ML,505,19.99,NULL,NULL
315535,AMERICAN RED,De Loach Heritage Reserve Pinot Noir,750ML,1,17.99,NULL,NULL
166346,AMERICAN RED,Gnarly Head 1924 Limited Edition Double Black Cabernet Sauvignon,750ML,117,11.99,NULL,NULL
342307,KOSHER,Psagot Rose Jerusalem Mountain Vineyards Rare Rose Blend,750ML,0,27.99,NULL,NULL
337955,AMERICAN RED,Francis Ford Coppola Director's Cut Pinot Noir,750ML,0,14.69,NULL,NULL
315535,AUSTRALIA,d'Arenberg d'Arry's Original Shiraz,750ML,0,22.99,NULL,NULL
42250,AMERICAN RED,Les Domaines Paul Mas la Madeleine Cabernet Sauvignon,750ML,0,10.99,NULL,NULL
42250,BRANDY/COGNAC/GRAPPA,Remy Martin VSOP Cognac,750ML,466,49.99,NULL,NULL
69901,DOMESTIC CAN,OSKAR BLUES DEATH BY AFFOGATO 6/4 CANS - 4 Pack,12.0Z,0,12.99,NULL,NULL
332339,SPAIN/PORTUGAL,Santiago Queirolo Intipalka Valle Del Sol Sauvignon Blanc,750ML,0,16.49,NULL,NULL
368904,BOURBON/RYE,Ragged Branch Signature Bourbon Virginia Straight Bourbon Whiskey,750ML,99,39.99,NULL,NULL
71297,SPECIALTY,Skrewball Peanut Butter Whiskey,750ML,348,24.99,NULL,NULL
335940,IMPORTED BOTTLE,N'Ice Chouffe - 4 Pack,11.2Z,0,13.99,NULL,NULL
243020,GIN,Aviation American Gin 1.75L,1.75L,42,48.99,NULL,NULL
41327,IMPORTED CAN,Sapporo Premium Beer Can - 4 Pack,16.0Z,0,7.99,NULL,NULL
81038,AMERICAN RED,Franzia Vintner Select Merlot,1.5L,0,10.99,NULL,NULL
80699,PORT/SHERRY/DESSERT/VERMOUTH,Celler Sort del Castell Yzaguirre Blanco Reserva Vermouth White Blend,1L,0,31.99,NULL,NULL
14902,MIXERS,DEVILS BACKBONE SMASH PACK RTD 2/12 CANS - 12 Pack,12.0Z,1428,31.99,NULL,NULL
385468,ARGENTINA,Michel Torino / Bodega El Esteco Cuma Organic Malbec,750ML,0,18.99,NULL,NULL
315535,RUM,El Dorado 21 Year Old Special Reserve Rum,750ML,2,140.99,NULL,NULL
42534,AMERICAN RED,Stimson Estate Cellars (Chateau Ste. Michelle) Merlot,1.5L,0,14.49,NULL,NULL
35939,VODKA,Stoli Premium Vodka,1L,33,26.99,NULL,NULL
51637,SPECIALTY,JACK DANIELS TENNESSEE HONEY W/GLASS,750ML,176,22.99,NULL,NULL
193488,CHAMPAGNE/SPARKLING,ZARDETTO PROSECCO BRUT 24/C,187ML,0,7.99,NULL,NULL
315535,CHAMPAGNE/SPARKLING,Korbel Brut California Champagne Sparkling Blend,187ML,390,5.99,NULL,NULL
42250,CHAMPAGNE/SPARKLING,LA MARCA PROSECCO ROSE,187ML,667,5.99,NULL,NULL
42250,TEQUILA,G4 Blanco Tequila,750ML,27,59.99,NULL,NULL
42250,ITALY,Falesco Vitiano Rosato Umbria IGT Sangiovese,750ML,0,16.99,NULL,NULL
228507,IRISH WHISKEY,JAMESON ORANGE 10/12PK   50ML - 12 Pack,50ML,4394,47.99,NULL,NULL
57541,BOURBON/RYE,Maker's Mark Kentucky Straight Bourbon Whisky,1.75L,1302,51.99,NULL,NULL
323645,ITALY,Tenuta Sant'Antonio Selezione Antonio Castagnedi Amarone della Valpolicella DOCG Valpolicella Blend,750ML,0,52.99,NULL,NULL
337518,SPAIN/PORTUGAL,Cosecheros y Criadores Buenas Viura,750ML,0,9.99,NULL,NULL
70808,BOURBON/RYE,WhistlePig 12 year Old World Cask Finish Straight Rye Whiskey,750ML,9,179.99,NULL,NULL
42250,AMERICAN BLUSH/ROSE,Franzia Vintner Select Pink Moscato Muscat,5L,0,18.99,NULL,NULL
80299,AMERICAN RED,Once Upon a Vine A Charming Pinot Noir,750ML,0,13.99,NULL,NULL
42250,AMERICAN RED,Fat Cat Cellars Cabernet Sauvignon,750ML,0,11.99,NULL,NULL
70806,TEQUILA,Maestro Dobel Diamante Tequila,750ML,145,42.99,NULL,NULL
43706,SPAIN/PORTUGAL,Cellers Can Blau Can Blau Carignan,750ML,0,18.69,NULL,NULL
68333,AMERICAN TABLE,Bota Box Nighthawk Black Cabernet Sauvignon,3L,147,19.99,NULL,NULL
42250,CHILE,Montes Alpha Syrah,750ML,0,22.99,NULL,NULL
42250,IRISH WHISKEY,Concannon Irish Whiskey,750ML,0,24.99,NULL,NULL
10103,VODKA,Grey Goose Vodka,750ML,1565,29.99,23.99,11/30/2022
42250,AMERICAN RED,Simi Cabernet Sauvignon,750ML,388,23.99,16.99,11/30/2022
84550,AMERICAN WHITE,Novelty Hill Stillwater Creek Vineyard Chardonnay,750ML,287,27.99,NULL,NULL
29416,CANADIAN/BLENDED WHISKEY,Canadian Mist Blended Canadian Whisky,1L,0,12.99,NULL,NULL
309402,AMERICAN WHITE,The Dreaming Tree Chardonnay,750ML,138,14.99,NULL,NULL
302227,FRANCE,Hob Nob Vineyards Merlot,750ML,0,13.99,NULL,NULL
65730,VODKA,Absolut Citron Vodka,50ML,1503,2.49,NULL,NULL
22462,SPAIN/PORTUGAL,Adega Cooperativa de Borba Portuguese Red Blend,750ML,0,10.49,NULL,NULL
333610,ITALY,Zenato Rosso Veronese Alanera Verona IGT Valpolicella Blend,750ML,0,22.99,NULL,NULL
42534,AMERICAN RED,Thomas Henry Wines Zinfandel,750ML,0,18.99,NULL,NULL
42250,ARGENTINA,Bodega Ruca Malen Reserva Petit Verdot,750ML,0,23.99,NULL,NULL
75237,CORDIALS,Bols Natural Yoghurt Liqueur,750ML,0,17.99,NULL,NULL
315535,DOMESTIC BOTTLE,Samuel Adams Winter Lager - 12 Pack,12.0Z,0,20.99,NULL,NULL
341580,AMERICAN RED,Failla Pinot Noir,750ML,29,44.99,NULL,NULL
312370,NEW ZEALAND,Robert Oatley Pikorua Sauvignon Blanc,750ML,0,11.99,NULL,NULL
167827,CORDIALS,CASK & KETTLE IRISH COFFEE POD,200ML,0,21.99,NULL,NULL
89656,PORT/SHERRY/DESSERT/VERMOUTH,Gallo Family Vineyards / Gallo of Sonoma Extra Dry Vermouth White Blend,750ML,7,7.99,NULL,NULL
328963,ITALY,Cantina Montelliana Extra Dry Prosecco di Treviso Glera,750ML,0,11.99,NULL,NULL
42250,VODKA,CiROC Mango Vodka,1.75L,114,56.99,NULL,NULL
56103,ARGENTINA,Bodega Catena Zapata High Mountain Vines Malbec,750ML,301,21.99,NULL,NULL
407887,AMERICAN RED,Sean Minor Four Bears Cabernet Sauvignon,750ML,0,17.99,NULL,NULL
84263,AMERICAN TABLE,Peter Vella Delicious Red Rare Red Blend,5L,120,14.99,NULL,NULL
72782,RUM,Havana Club Anejo Blanco Puerto Rican Rum,50ML,74,2.99,NULL,NULL
301309,GREECE,Tetramythos Merlot,750ML,0,8.99,NULL,NULL
42250,PORT/SHERRY/DESSERT/VERMOUTH,Martini & Rossi Vermouth Extra Dry White Blend,1L,72,14.49,NULL,NULL
336755,AMERICAN RED,Liberated Wine Graduate Pinot Noir,750ML,0,15.49,NULL,NULL
238192,LIQ BASED RTD,Fabrizia Italian Margarita Can - 4 Pack,12.0Z,498,10.99,NULL,NULL
42250,CHILE,Ventisquero Root:1 Heritage Red Vina Ventisquero Cabernet Sauvignon,750ML,0,14.99,NULL,NULL
315535,ITALY,Pasco Grion Delle Venezie IGT Pinot Grigio,750ML,0,10.99,NULL,NULL
315535,BOURBON/RYE,Wathen's Single Barrel Eight Generations Kentucky Straight Bourbon Whiskey,750ML,0,66.99,NULL,NULL
231927,OTHER WINE,Cramele Reca? Legendary Estate Series Chardonnay,750ML,3,11.99,NULL,NULL
11837,RUM,Cane Run Estate Original Rum,750ML,0,10.99,NULL,NULL
303426,AMERICAN RED,TORTOISE CREEK ZIN,750ML,0,16.99,NULL,NULL
42250,VODKA,New Amsterdam Apple Vodka,1.75L,200,21.99,NULL,NULL
240532,TEQUILA,Santo Puro Mezquila,750ML,170,65.99,NULL,NULL
333973,SPAIN/PORTUGAL,Terra de Asorei Nai e Senora Albarino,750ML,0,17.99,NULL,NULL
347480,ITALY,Il Conte Stella Rosa Stella Pink L'Originale Semi Sweet Muscat,750ML,60,13.99,NULL,NULL
240674,BOURBON/RYE,Penelope Four Grain Straight Bourbon Whiskey,750ML,195,29.99,NULL,NULL
179426,AMERICAN RED,Canyon Road Cabernet Sauvignon,750ML,10,7.59,NULL,NULL
315535,AMERICAN WHITE,Badger Mountain NSA Organic Riesling,750ML,0,18.99,NULL,NULL
315535,BOURBON/RYE,JACK DANIELS BLACK W/CAPS GLASS,750ML,1347,22.99,NULL,NULL
42250,AMERICAN RED,Ramian Estate Payout Cabernet Franc,750ML,0,11.99,NULL,NULL
354562,SPAIN/PORTUGAL,Bodegas Ateca Atteca Old Vines Garnacha,750ML,0,17.99,NULL,NULL
21474,FRANCE,Chateau des Tours Brouilly Gamay,750ML,8,24.99,NULL,NULL
166409,AMERICAN RED,Balverne Estate Grown Pinot Noir,750ML,0,38.99,NULL,NULL
167675,CORDIALS,MR BOSTON AMARETTO 1L,1LTR,0,7.99,NULL,NULL
327913,AMERICAN RED,Mettler Family Vineyards Estate Grown Petite Sirah,750ML,0,27.99,NULL,NULL
70397,VODKA,Pinnacle Peach Vodka,750ML,0,10.99,NULL,NULL
86746,AMERICAN TABLE,Taylor Country Cellars White Blend,3L,0,15.99,NULL,NULL
44727,RUM,Bacardi 1873 Ron Solera Rum,750ML,0,22.99,NULL,NULL
42534,GIN,Svedka Gin,750ML,168,11.99,NULL,NULL
335762,ITALY,Agricola Punica Barrua Isola Dei Nuraghi IGT Carignan,750ML,0,46.99,NULL,NULL
80012,AMERICAN RED,CK Mondavi Merlot,1.5L,59,13.99,NULL,NULL
315535,FRANCE,Domaine des Caves du Prieure Sancerre Sauvignon Blanc,375ML,7,17.99,NULL,NULL
315535,MIXERS,Bittermilk No.1 Bourbon Barrel Aged Old Fashioned Mixer 15ML,.51Z,9115,1.99,NULL,NULL
42250,GIN,Batch & Bottle Monkey Shoulder Lazy Old Fashioned 375ML,375ML,166,14.99,10.99,11/30/2022
44296,CORDIALS,John D. Taylor's Velvet Falernum Liqueur,750ML,0,21.99,NULL,NULL
88904,TEQUILA,Casa Del Sol Anejo Tequila,750ML,42,105.99,NULL,NULL
318752,KOSHER,Goose Bay Sauvignon Blanc,750ML,0,22.99,NULL,NULL
166268,AMERICAN RED,Joel Gott Pinot Noir,750ML,0,16.99,NULL,NULL
89257,AMERICAN WHITE,Mirassou Vineyards Chardonnay,750ML,238,10.99,NULL,NULL
42250,GIN,Tanqueray Rangpur Gin,750ML,183,23.99,NULL,NULL
358648,MIXERS,Flybird Grapefruit Paloma,750ML,2,13.99,NULL,NULL
42250,AMERICAN RED,Pine Ridge Cabernet Sauvignon,750ML,3,72.99,NULL,NULL
238910,RUM,Bumbu The Original Rum,750ML,148,39.99,NULL,NULL
242080,ITALY,Monteforte d'Alpone Casa Lunardi Delle Venezie IGT Pinot Grigio,750ML,0,11.99,NULL,NULL
241376,AMERICAN RED,Austerity Pinot Noir,750ML,1,15.99,NULL,NULL
88516,CHAMPAGNE/SPARKLING,Domaine Chandon Garden Spritz Sparkling Blend,750ML,105,27.99,NULL,NULL
71543,CORDIALS,Galliano L'Autentico Liqueur,750ML,0,35.99,NULL,NULL
323877,ITALY,Corte Viola Veneto IGT Cabernet Sauvignon,750ML,0,10.99,NULL,NULL
314607,CHILE,YALI CAB/CARM WETLAND,750ML,0,9.59,NULL,NULL
84550,CORDIALS,Antcia Masti Sambuca,1L,0,25.99,NULL,NULL
241374,AMERICAN WHITE,Austerity Chardonnay,750ML,1,15.99,NULL,NULL
355763,AMERICAN RED,Paso Creek Cabernet Sauvignon,750ML,0,17.99,NULL,NULL
315535,SPAIN/PORTUGAL,Vinhos Borges Lello Touriga Nacional,750ML,0,8.49,NULL,NULL
50038,DOMESTIC CAN,AVERY VARIETY PACK 2/12 12OZ CANS - 12 Pack,12.0Z,0,24.99,NULL,NULL
315535,AMERICAN WHITE,Lake Sonoma Winery Chardonnay,750ML,0,23.99,NULL,NULL
42250,AMERICAN RED,Red Diamond Malbec,750ML,0,11.99,NULL,NULL
42250,AMERICAN RED,Estrella River Winery Proprietor's Reserve Cabernet Sauvignon,1.5L,0,11.99,NULL,NULL
11390,GIN,Sloane's Original Dry Gin,750ML,0,29.99,NULL,NULL
236976,FRANCE,J. Moreau & Fils Montmains Chablis Premier Cru Chardonnay,750ML,0,76.99,NULL,NULL
42250,AMERICAN WHITE,Cupcake Vineyards Pinot Grigio,750ML,122,10.99,NULL,NULL
42250,AMERICAN RED,Murphy Goode Merlot,750ML,336,13.99,10.99,11/30/2022
302693,FRANCE,CHABERT CAB 08 C/O,750ML,0,8.59,NULL,NULL
12136,BOURBON/RYE,Ezra Brooks Straight Rye Whiskey,750ML,0,11.99,NULL,NULL
315535,FRANCE,Saint Hilaire d'Ozilhan Reserve de la Dame a l'Oiseau Cotes du Rhone Red Southern Rhone Blend,750ML,0,10.79,NULL,NULL
73102,TEQUILA,Riazul Plata Tequila,750ML,0,54.99,NULL,NULL
49310,ARGENTINA,Valentin Bianchi Elsa Cabernet Sauvignon,750ML,2,12.99,NULL,NULL
45259,CHAMPAGNE/SPARKLING,Domaine Chandon Rose Sparkling Blend,187ML,0,8.99,NULL,NULL
48494,CANADIAN/BLENDED WHISKEY,Reservoir Wheat Whiskey,750ML,0,90.99,NULL,NULL
88927,CANADIAN/BLENDED WHISKEY,Proclamation Blended Irish Whiskey,750ML,78,31.99,NULL,NULL
42250,VODKA,Dogfish Head Roasted Peanut Vodka,750ML,0,22.99,NULL,NULL
20311,RUM,Don Q Cristal Rum,1L,1,16.99,NULL,NULL
331564,ITALY,TESTA CAB,1.5L,0,13.69,NULL,NULL
392944,AMERICAN RED,M COSENTINO THE FRANC,750ML,0,18.99,NULL,NULL
51594,AMERICAN TABLE,Linganore Winecellars Raspberry Red Blend,750ML,220,11.99,NULL,NULL
42250,SPAIN/PORTUGAL,Bodegas Ateca Honoro Vera Garnacha,750ML,3,10.99,NULL,NULL
315535,AMERICAN WHITE,Almaden Heritage Almaden Vineyards Chardonnay,5L,184,18.99,NULL,NULL
70541,BRANDY/COGNAC/GRAPPA,D'usse VSOP Cognac,750ML,481,58.99,NULL,NULL
315535,AMERICAN TABLE,Noble Vines 152 Pinot Grigio,750ML,20,12.99,NULL,NULL
42537,TEQUILA,Patron Cask Collection Sherry Cask Aged Anejo Tequila,750ML,132,99.99,NULL,NULL
83020,AMERICAN WHITE,Benziger Family Winery Chardonnay,750ML,13,14.49,NULL,NULL
57037,CORDIALS,Gran Gala Rare Triple Orange Liqueur,750ML,243,18.99,NULL,NULL
42250,RUM,Lyon Rock & Rum,750ML,153,39.99,34.99,11/30/2022
41373,SPAIN/PORTUGAL,Emilio Lustau Don Nuno Solera Reserva Dry Oloroso Palomino,750ML,0,36.99,NULL,NULL
335940,ITALY,Candoni Organic Merlot,750ML,8,13.99,NULL,NULL
326987,CHILE,MARCHIGUE CAB,750ML,0,14.99,NULL,NULL
84550,FRANCE,Thierry and Guy Fat Bastard Chardonnay,750ML,11,14.99,NULL,NULL
244123,AMERICAN RED,DECOY LIMITED NAPA VALLEY CABERNET 750ML,750ML,43,27.99,NULL,NULL
42250,AMERICAN WHITE,99 VINES CHARD,750ML,0,10.99,NULL,NULL
42250,GIN,Hendrick's Orbium Gin,750ML,112,38.99,NULL,NULL
29955,CORDIALS,Romana Sambuca Liquore Classico,50ML,1179,1.99,NULL,NULL
377703,TEQUILA,Macurichos Espadin Destilado con Cacao Mezcal,750ML,7,109.99,NULL,NULL
42278,CHAMPAGNE/SPARKLING,The Chook Sparkling Shiraz,750ML,3,22.99,NULL,NULL
42250,ITALY,Bricco Dei Tati Barbera,750ML,0,9.99,NULL,NULL
311902,CHILE,Terra Vega Bin 959 Sauvignon Blanc,750ML,0,11.99,NULL,NULL
405159,FRANCE,CH LA ROCHE JOUBERT,750ML,0,14.69,NULL,NULL
315535,RUM,Brugal XV Ron Reserva Rum,750ML,0,25.99,NULL,NULL
335162,ITALY,Tre Baci Rosato Veneto IGT Merlot,750ML,0,4.39,NULL,NULL
83755,AMERICAN WHITE,Sutter Home Winery Chardonnay,1.5L,317,10.99,NULL,NULL
78739,CORDIALS,Ancho Reyes Chile Liqueur,750ML,56,31.99,NULL,NULL
46272,AMERICAN WHITE,Trinity Oaks Chardonnay,750ML,0,8.99,NULL,NULL
47503,AMERICAN RED,Folie a Deux Menage a Trois Red Zinfandel,750ML,599,10.99,NULL,NULL
42250,AUSTRALIA,Pikes The Red Mullet Red Southern Rhone Blend,750ML,0,12.99,NULL,NULL
326608,CHILE,SWEET BITCH CHARD,1.5L,0,9.39,NULL,NULL
29955,MIXERS,George's Lime Margarita Mix,32.0Z,225,5.99,NULL,NULL
237264,ITALY,Donna Laura Ali Toscana IGT Sangiovese,750ML,62,14.99,NULL,NULL
42250,ARGENTINA,Black Box Malbec,3L,178,19.99,NULL,NULL
42250,NEW ZEALAND,Loveblock Vintners Ltd Pinot Gris,750ML,0,31.99,NULL,NULL
