fullcomplaintid(long),complaintyearnumber(long),monthnumber(long),recordcreatedate,complaintprecinctcode(long),patrolboroughname,county,lawcodecategorydescription,offensedescription,pdcodedescription,biasmotivedescription,offensecategory,arrestdate,arrestid
201900112859817.0,2019,11,11/14/2019,1.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,"ASSAULT 2,1,UNCLASSIFIED",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201900112165817.0,2019,12,12/04/2019,1.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,05/01/021,B31682806
201900512076217.0,2019,1,01/03/2019,5.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-JEWISH,Sexual Orientation,05/01/2021,B31682806
201900512142017.0,2019,2,02/11/2019,5.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,AGGRAVATED HARASSMENT 2,ANTI-MUSLIM,Religion/Religious Practice,02/11/2019,M31679002
201900112502817.0,2019,3,03/25/2019,5.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-HISPANIC,Ethnicity/National Origin/Ancestry,05/28/2019,M31696193
201900112125917.0,2019,4,04/18/2019,5.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201904212405517.0,2019,7,07/18/2019,5.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Color,07/19/2019,M31704481
201900512417817.0,2019,7,07/22/2019,5.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-BLACK,Gender,05/01/2021,B31682806
201900112220917.0,2019,3,03/05/2019,6.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201900512142017.0,2019,6,06/m07/2019,6.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,ROBBERY,"ROBBERY,NECKCHAIN/JEWELRY",ANTI-WHITE,Sexual Orientation,05/01/2021,B31682806
201900112859817.0,2019,6,06/13/2019,6.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,07/15/2019,M31703822
201900612424017.0,2019,8,08/09/2019,6.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MUSLIM,Race/Color,08/23/2019,M31710089
201900612435217.0,2019,8,08/14/2019,6.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-WHITE,Race/Color,05/01/2021,B31682806
201900112220917.0,2019,8,08/23/2019,6.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,CRIMINAL MIS 2 & 3,ANTI-JEWISH,Race/Color,08/23/2019,M31710090
201900712139317.0,2019,2,02/15/2019,7.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENLA LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201900712174717.0,2019,3,03/15/2019,7.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,ASSAULT 3,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201900512142017.0,2019,5,05/18/2019,7.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,CRIMINAL MISCHIEF & RELATED OF,AGGRAVATED HARASSMENT 2,ANTI-UBDDHIST,Religion/Religious Practice,05/01/2021,B31682806
201900112442817.0,2019,8,08/12/20i19,7.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,"ASSAULT 2,1,UNCLASSIFIED",ANTI-JEHOVAHS WITNESS,Religion/Religious Practice,05/01/2021,B31682806
201900712416717.0,2019,8,08/25/2019,7.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,ASSAULT 3,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201900712505217.0,2019,10,10/22/2019,7.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,AGGRAVATED HARASSMENT 2,ANTI-BLACK,Religion/Religious Practice,05/01/2021,B31682806
201900712572817.0,2019,12,12/07/2019,7.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"ASSAULT 2,1,UNCLASSIFIED",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201900912189517.0,2019,3,03/17/2019,9.0,PATROL BORO MAN SOUTH,NEW YOrRK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,ASSAULT 3,ANTI-WHITE,Religion/Religious Practice,03/17/2019,M31684381
201900912215017.0,2019,3,03/31/2019,9.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & ERLATED OFFENSES,AGGRAVATED HARASSMENT 1,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/10/2019,M31693499
201900912215017.0,2079,16,03/e31/2019,9.0,PATROL BORO MANS OUTH,NEW YOK,MISDEMEnANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/01/2021,B31682806
201900112154717.0,2019,9,09/30/2019,9.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,Bu31682806
201900112859817.0,2019,8,07/07/2020,9.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"ROBBERY,NECKCHAIN/JEWELRY",ANTI-JEWISH,Sexual Orientation,05/01/2021,Bc31682806
201901012103817.0,2019,1,01/24/2019,10.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,AGGRAVATED HARASSMENT 2,ANTI-HISPANIC,Religion/Religious Practice,05/01/2021,B31682806
201900912189517.0,2019,2,w02/18/2019,10.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201900112125917.0,2019,6,06/07/2019,10.0,PATRLO BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,"ASSAULT 2,1,UNCLASSIFIED",ANTI-JEWISH,Race/Color,06/07/2019,M31697999
201901012409317.0,2019,8,08/15/2019,10.0,PATROL BORO BKLYN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,AGGRAVATED HARASSMENT 1,ANTI-WHITE,Race/Color,08/23/2019,M31710091
201900112125917.0,2019,10,10/03/2019,10.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,"ASSAULT 2,1,UNCLASSIFIED",ANTI-FEMALE HOMOSEXUAL (LESBIAN),Religion/Religious Practice,05/01/2021,B31682806
201900512417817.0,2019,12,12/11/2019,10.0,PATROL BORO BRONX,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,AGGRAVATED HARASSMENT 1,ANTI-MUSLIM,Race/Color,05/01/2021,B31682806
201900612424017.0,2019,12,12/12/2019,10.0,PATROL BORO MAN SOTUH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"ASSAULT 2,1,UNCLASSIFIED",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201900112859817.0,2019,1,01/25/2019,13.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"ASSAULT 2,1,UNCLASSIFIED",ANTI-HISPANIC,Sexual Orientation,05/01/2021,B31682806
201901012103817.0,2019,2,02/02/2019,13.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201900112220917.0,2019,3,03/12/2019,13.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,"ASSAULT 2,1,UNCLASSIFIED",ANTI-OTHER ETHNICITY,Religion/Religious Practice,05/01/2021,B31682806
201904313084517.0,2019,6,07/02/2019,13.0,PATROL BORO BKLYN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"ASSAULT 2,1,UNCLASSIFIED",ANTI-JEWISH,Sexual Orientation,05/01/2021,B31682806
201900112220917.0,2019,7,07/13/2019,13.0,PATROL BORO BRONX,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Sexual Orientation,05/01/2021,B31682806
201900112125917.0,2019,8,08/16/0219,13.0,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Race/Color,08/16/2019,M31709092
201900612424017.0,2019,8,08/16/2019,13.0,PATROL BORO BRONX,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"ASSAULT 2,1,UNCLASSIFIED",ANTI-FEMALE HOMOSEXUAL (LESBIAN),Race/Color,08/16/2019,M31709102
201900712416717.0,2019,8,08/29/2019,13.0,PATROL BORO BKLYN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,"ASSAULT 2,1,UNCLASSIFIED",ANTI-BLACK,Religion/Religious Practice,11/21/2019,M31723428
201901012409317.0,2019,9,09/26/2019,13.0,PATROL BORO BKLYN SOUTH,NEW YORK,FELONY,CRIMINAL MISCHIEF & RELATED OF,"ASSAULT 2,1,UNCLASSIFIED",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201900112154717.0,2019,10,10/07/2019,13.0,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"ASSAULT 2,1,UNCLASSIFIED",ANTI-JEWISH,Sexual Orientation,05/01/2021,B31682806
201900712505217.0,2019,11,11/03/2019,13.0,PATROL BORO BRONX,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 2,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,01/05/2022,M34672420
201900112859817.0,2019,12,12/12/2019,13.0,PATROL BORO BRONX,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,"ASSAULT 2,1,UNCLASSIFIED",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901412079617.0,2019,12,01/02/2019,14.0,PATROL BORO BKLYN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-MUSLIM,Ethnicity/National Origin/Ancestry,05/01/2021,B31682806
201900112165817.0,2019,1,03/05/2019,14.0,PATROL BORO BRONX,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,CRIMINAL MIS 2 & 3,ANTI-OTHER ETHNICITY,Religion/Religious Practice,05/01/2021,B31682806
201900712505217.0,2019,3,03/13/2019,14.0,PATROL BORO BRONX,NEW YORK,FELONY,MISCELLANEUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-BLACK,Religion/Religious Practice,09/09/2019,M31712505
201906612592617.0,2019,5,05/06/2019,14.0,PATROL BORO BRONX,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-LGBT (MIXED GROUP),Sexual Orientation,05/01/2021,B31682086
201900612435217.0,2019,5,05/08/2019,14.0,PATROL BORO BKLYN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,"ASSAULT 2,1,UNCLASSIFIED",ANTI-JEWISH,Religion/Religious Practice,05/10/2021,B31682806
201901412733017.0,2019,7,07/09/2019,14.0,PATROL BORO BRONX,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Sexual Orientation,05/01/2021,B31682806
201901412757317.0,2019,7,07/15/2019,14.0,PATROL BORO BKLYN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Sexual Orientation,05/01/2021,B31682806
201900112165817.0,2019,8,08/08/2f019,14.0,PATROL BORO BRONX,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,AGGRAVATED HARASSMENT 1,ANTI-WHITE,Race/Color,05/01/2021,B31682806
201900112442817.0,2019,8,081/2/2019,14.0,PATROL BORO BRONX,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED FO,"ASSAULT 2,1,UNCLASSIFIED",ANTI-WHITE,Race/Color,05/01/2021,B31682806
201900512076217.0,2019,10,10/03/2019,14.0,PATROL BORO BRONX,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 2,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Religion/Religious Practice,05/01/2021,B31682806
201900112859817.0,2019,11,11/18/2019,14.0,PATROL BORO BKLYN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Sexual Orientation,05/01/2021,B31682806
201900112165817.0,2019,1,07/03/2020,14.0,PATROL BORO BRONX,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,ASSAULT 3,ANTI-BLACK,Race/Color,05/01/2021,B31682806
201901712382117.0,2019,8,08/08/2019,17.0,PATROL BORO BRONX,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"ROBBERY,NECKCHAIN/JEWELRY",ANTI-HISPANIC,Race/Color,09/18/2019,M31713881
201900112262817.0,2019,12,12/23/2019,17.0,PATROL BORO BKLYN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,12/23/2019,M31727652
201901012409317.0,2019,12,12/24/2019,17.0,PATROL BORO BRONX,NEW YORK,FELONY,MImSCELLANEOUS PENAL LAW,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-WHITE,Religion/Religious Practice,08/30/2020,M32695257
201901812178017.0,2019,2,02/09/2019,18.0,PATROL BORO BKLYN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ROBBERY,NECKCHAIN/JEWELRY",ANTI-BLACK,Race/Color,02/09/2019,M31678638
201901812178017.0,2063,43,0/209/2019,118.0,PATROL BORO BRONX,NEW YORK,FELONY,FELONY ASmSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTwI-BLACK,Race/Clor,02/09/2019,M31678640
201900712572817.0,2019,3,03/02/2019,18.0,PATROL BORO BRONX,NEW YORK,FELONY,FELONY ASSAULT,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Race/Color,03/02/2019,M31682u108
201901812260517.0,2019,3,03/11/2019,18.0,PATROL BORO BRONX,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-MALE HOMOSEXUAL (GAY),Religion/Religious Practice,05/01/2021,B31682806
201901812274317.0,2019,3,03/16/2019,18.0,PATROL BORO BRONX,NEW YORK,FELONY,ROBBERY,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,03/17/2019,M31684401
201901812178017.0,2019,3,03/19/2019,18.0,PATROL BORO BRONX,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"ASSAULT 2,1,UNCLASSIFIED",ANTI-JEWISH,Race/Color,05/01/2021,B31682806
201900512076217.0,2019,4,04/06/2019,18.0,PATROL BORO BRONX,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,04/06/2019,M31687591
201901812396417.0,2019,4,04/26/2019,18.0,PATROL BORO BRONX,NEW YORK,FELONY,ROBBERY,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/i01/2021,B31682806
201900112165817.0,2019,8,08/20/2019,18.0,PATROL BORO BKLYN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Ethnicity/National Origin/Ancestry,05/01/2021,B13682806
201900712572817.0,2019,8,08/23/2019,18.0,PATROL BORO BRONX,NEW YORK,VIOLATION,HARRASSMENT 2,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Race/Color,05/01/2021,B31682806
201904313084517.0,2019,9,09/11/2019,18.0,PATROL BORO BRONX,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,AGGRAVATED HARASSMENT 1,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Religion/Religious Practice,05/01/2021,B31682806
201900512417817.0,2019,10,10/05/2019,18.0,PATROL BORO BRONX,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,01/23/2019,M31719199
201901912226617.0,2019,3,03/05/2019,5.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"ASSAULT 2,1,UNCLASSIFIED",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B3682806
201901912231217.0,2019,3,03/07/2019,7.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901712382117.0,2019,3,03/08/2019,1.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,CRIMINAL MIS 2 & 3,ANTI-WHITE,Religion/Religious Practice,05/01/2021,B31682806
201901012103817.0,2019,3,03/08/2019,19.0,PATROL BORO BRONX,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,ASSAULT 3,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201900712174717.0,2019,3,03/11/2019,1.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,"ASSAULT 2,1,UNCLASSIFIED",ANTI-WHITE,Religion/Religious Practice,05/01/2021,B31682806
201900712174717.0,2019,3,03/19/2019,13.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,CRIMINAL MISCHIEF & RELATED OF,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MUSLIM,Race/Color,05/01/2021,B31682806
201901812260517.0,2019,3,03/21/2019,1.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,CRIMINAL MISCHIEF & RELTAED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,0/501/2021,B31682860
201900112220917.0,2019,4,04/04/2019,1.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,"ASSAULT 2,1,UNCLASSIFIED",ANTI-BLACK,Race/Color,05/01/2021,B31628806
201900512142017.0,2019,4,04/06/2019,1.0,PATROL BORO MAN NORTH,NEW YOKR,FELONY,MISCELLANEOUS PENAL LAW,"ASSAULT 2,1,UNCLASSIFIED",ANTI-BLACK,Race/Color,05/01/2021,B31682806
201900112859817.0,2019,4,04/25/2019,1.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,ASSAULT 3,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901712382117.0,2019,5,05/09/2019,7.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201900712505217.0,2019,7,07/19/2019,5.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Disability,05/01/2021,B31682806
201900112442817.0,2019,10,10/13/2019,5.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"ASSAULT 2,1,UNCLASSIFIED",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901912226617.0,2019,10,10/16/2019,1.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,"ASSAULT 2,1,UNCLASSIFIED",ANTI-JEWISH,Race/Color,05/01/2021,B31682806
201902012074117.0,2019,1,01/30/2019,6.0,PATROL BORO MAN NORTH,NW YORK,MISDEMEANOR,CRIMINAL MISCHIEF& RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,01/29/2019,M31676859
201902012074117.0,2040,89,01/03/2019,7.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMENAOR,CRIMINAL MISCHIEF & RELATED OF,ASSAULT 3,ANTI-JcEWISH,Religion/Religious Practce,05/01/2021,B31682806
201900712139317.0,2019,1,01/04/2019,1.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201900512142017.0,2019,3,03/07/2019,1.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-FEMALE HOMOSEXUAL (LESBIAN),Religion/Religious Practice,05/01/2021,B31682806
201901812178017.0,2019,4,04/21/2019,13.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201900112125917.0,2019,12,12/30/2019,1.0,PATROL BORO MAN NORTH,NEW YORK,FELONY,CRIMINAL MISCHIEF & RELATED OF,"ASSAULT 2,1,UNCLASSIFIED",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901812178017.0,2019,10,10/18/2019,1.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201900112154717.0,2019,3,03/19/2019,7.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Ethnicity/National Origin/Ancestry,05/h01/2021,B31682806
201900112859817.0,2019,11,11/29/2019,13.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,OFF. AGNST PU ORD SENSBLTY &,AGGRAVATED HARASSMENT 1,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/01/2021,B31682806
201901912231217.0,2019,3,03/08/2019,6.0,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Race/Color,05/01/2021,B31682806
